# _root_ Nearby Paul Craig Roberts , a distinguished supply-sider with monetarist sympathies , argues the case for Sir Alan .
#goldHeads=13,4,4,13,4,8,8,4,8,11,9,4,0,15,13,15,18,16,13,
#predictedHeads=4,4,4,13,4,8,8,4,8,11,9,4,0,15,13,15,18,16,13,
(2,4),(4,15),-0.298312 # DEPENDENCYPART_GRANDPAR
(2,4),(4,16),-0.201738 # DEPENDENCYPART_GRANDPAR
(2,4),(4,18),-0.309369 # DEPENDENCYPART_GRANDPAR
(2,4),(4,19),-0.634548 # DEPENDENCYPART_GRANDPAR
(2,7),(7,1),-0.529017 # DEPENDENCYPART_GRANDPAR
(2,7),(7,4),0.199755 # DEPENDENCYPART_GRANDPAR
(2,7),(7,5),0.0258544 # DEPENDENCYPART_GRANDPAR
(2,7),(7,6),0.110918 # DEPENDENCYPART_GRANDPAR
(2,7),(7,8),-0.0148495 # DEPENDENCYPART_GRANDPAR
(2,7),(7,9),0.210962 # DEPENDENCYPART_GRANDPAR
(2,7),(7,10),-0.254644 # DEPENDENCYPART_GRANDPAR
(2,7),(7,11),-0.0268822 # DEPENDENCYPART_GRANDPAR
(2,7),(7,12),-0.100279 # DEPENDENCYPART_GRANDPAR
(2,7),(7,13),-0.193813 # DEPENDENCYPART_GRANDPAR
(2,7),(7,16),-0.0744008 # DEPENDENCYPART_GRANDPAR
(2,7),(7,19),-0.774547 # DEPENDENCYPART_GRANDPAR
(2,8),(8,1),-0.499451 # DEPENDENCYPART_GRANDPAR
(2,8),(8,2),-0.708023 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,8),(8,3),0.474169 # DEPENDENCYPART_GRANDPAR
(2,8),(8,4),0.315317 # DEPENDENCYPART_GRANDPAR
(2,8),(8,5),0.157739 # DEPENDENCYPART_GRANDPAR
(2,8),(8,6),0.428634 # DEPENDENCYPART_GRANDPAR
(2,8),(8,7),0.140222 # DEPENDENCYPART_GRANDPAR
(2,8),(8,9),0.0351742 # DEPENDENCYPART_GRANDPAR
(2,8),(8,10),-0.279537 # DEPENDENCYPART_GRANDPAR
(2,8),(8,11),-0.052183 # DEPENDENCYPART_GRANDPAR
(2,8),(8,12),0.0169732 # DEPENDENCYPART_GRANDPAR
(2,8),(8,13),-0.190157 # DEPENDENCYPART_GRANDPAR
(2,8),(8,15),-0.295462 # DEPENDENCYPART_GRANDPAR
(2,8),(8,16),-0.201143 # DEPENDENCYPART_GRANDPAR
(2,8),(8,19),-0.634548 # DEPENDENCYPART_GRANDPAR
(2,9),(9,8),-0.22768 # DEPENDENCYPART_GRANDPAR
(2,9),(9,10),-0.170713 # DEPENDENCYPART_GRANDPAR
(2,9),(9,11),0.0566407 # DEPENDENCYPART_GRANDPAR
(2,9),(9,12),-0.0564334 # DEPENDENCYPART_GRANDPAR
(2,9),(9,13),-0.207285 # DEPENDENCYPART_GRANDPAR
(2,9),(9,15),-0.201359 # DEPENDENCYPART_GRANDPAR
(2,9),(9,16),-0.160731 # DEPENDENCYPART_GRANDPAR
(2,11),(11,2),-0.708023 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,11),(11,4),0.315317 # DEPENDENCYPART_GRANDPAR
(2,11),(11,5),0.157739 # DEPENDENCYPART_GRANDPAR
(2,11),(11,6),0.428634 # DEPENDENCYPART_GRANDPAR
(2,11),(11,7),0.140222 # DEPENDENCYPART_GRANDPAR
(2,11),(11,8),-0.0837801 # DEPENDENCYPART_GRANDPAR
(2,11),(11,9),0.0745564 # DEPENDENCYPART_GRANDPAR
(2,11),(11,10),-0.322758 # DEPENDENCYPART_GRANDPAR
(2,11),(11,12),0.0169732 # DEPENDENCYPART_GRANDPAR
(2,11),(11,13),-0.190157 # DEPENDENCYPART_GRANDPAR
(2,11),(11,15),-0.295462 # DEPENDENCYPART_GRANDPAR
(2,11),(11,16),-0.201143 # DEPENDENCYPART_GRANDPAR
(2,11),(11,18),-0.30652 # DEPENDENCYPART_GRANDPAR
(2,11),(11,19),-0.634548 # DEPENDENCYPART_GRANDPAR
(2,19),(19,16),-0.215002 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),-0.0988765 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-1.19807 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,4),-0.113853 # DEPENDENCYPART_GRANDPAR
(3,1),(1,5),-0.576004 # DEPENDENCYPART_GRANDPAR
(3,1),(1,7),-0.549447 # DEPENDENCYPART_GRANDPAR
(3,1),(1,8),-0.62348 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),-0.268101 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-1.2009 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,4),-0.116682 # DEPENDENCYPART_GRANDPAR
(3,2),(2,5),-0.679331 # DEPENDENCYPART_GRANDPAR
(3,2),(2,7),-0.622896 # DEPENDENCYPART_GRANDPAR
(3,2),(2,8),-0.626308 # DEPENDENCYPART_GRANDPAR
(3,2),(2,9),-0.362958 # DEPENDENCYPART_GRANDPAR
(3,2),(2,11),-0.702982 # DEPENDENCYPART_GRANDPAR
(3,2),(2,12),-0.659377 # DEPENDENCYPART_GRANDPAR
(3,2),(2,19),-1.21065 # DEPENDENCYPART_GRANDPAR
(3,4),(4,1),-0.662375 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),-0.573149 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-0.669214 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,5),-0.0388716 # DEPENDENCYPART_GRANDPAR
(3,4),(4,7),-0.128055 # DEPENDENCYPART_GRANDPAR
(3,4),(4,8),-0.0558675 # DEPENDENCYPART_GRANDPAR
(3,4),(4,9),0.0571308 # DEPENDENCYPART_GRANDPAR
(3,4),(4,11),-0.132541 # DEPENDENCYPART_GRANDPAR
(3,4),(4,12),-0.0189175 # DEPENDENCYPART_GRANDPAR
(3,4),(4,13),-0.304036 # DEPENDENCYPART_GRANDPAR
(3,4),(4,15),-0.364884 # DEPENDENCYPART_GRANDPAR
(3,4),(4,16),-0.245749 # DEPENDENCYPART_GRANDPAR
(3,4),(4,18),-0.337959 # DEPENDENCYPART_GRANDPAR
(3,4),(4,19),-0.659166 # DEPENDENCYPART_GRANDPAR
(3,7),(7,1),-0.691941 # DEPENDENCYPART_GRANDPAR
(3,7),(7,4),0.298129 # DEPENDENCYPART_GRANDPAR
(3,7),(7,5),-0.202827 # DEPENDENCYPART_GRANDPAR
(3,7),(7,6),0.127031 # DEPENDENCYPART_GRANDPAR
(3,7),(7,8),-0.027053 # DEPENDENCYPART_GRANDPAR
(3,7),(7,9),0.234552 # DEPENDENCYPART_GRANDPAR
(3,7),(7,10),-0.253714 # DEPENDENCYPART_GRANDPAR
(3,7),(7,11),-0.103726 # DEPENDENCYPART_GRANDPAR
(3,7),(7,12),-0.135558 # DEPENDENCYPART_GRANDPAR
(3,7),(7,13),-0.307031 # DEPENDENCYPART_GRANDPAR
(3,7),(7,16),-0.117076 # DEPENDENCYPART_GRANDPAR
(3,7),(7,19),-0.7985 # DEPENDENCYPART_GRANDPAR
(3,8),(8,1),-0.662375 # DEPENDENCYPART_GRANDPAR
(3,8),(8,2),-0.573149 # DEPENDENCYPART_GRANDPAR
(3,8),(8,3),-0.670111 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,8),(8,4),0.413782 # DEPENDENCYPART_GRANDPAR
(3,8),(8,5),-0.0708833 # DEPENDENCYPART_GRANDPAR
(3,8),(8,6),0.444827 # DEPENDENCYPART_GRANDPAR
(3,8),(8,7),0.0424083 # DEPENDENCYPART_GRANDPAR
(3,8),(8,9),0.0574285 # DEPENDENCYPART_GRANDPAR
(3,8),(8,10),-0.279272 # DEPENDENCYPART_GRANDPAR
(3,8),(8,11),-0.129691 # DEPENDENCYPART_GRANDPAR
(3,8),(8,12),-0.0189646 # DEPENDENCYPART_GRANDPAR
(3,8),(8,13),-0.304036 # DEPENDENCYPART_GRANDPAR
(3,8),(8,15),-0.362034 # DEPENDENCYPART_GRANDPAR
(3,8),(8,16),-0.245153 # DEPENDENCYPART_GRANDPAR
(3,8),(8,19),-0.659166 # DEPENDENCYPART_GRANDPAR
(3,9),(9,8),-0.239838 # DEPENDENCYPART_GRANDPAR
(3,9),(9,10),-0.169815 # DEPENDENCYPART_GRANDPAR
(3,9),(9,11),-0.0202341 # DEPENDENCYPART_GRANDPAR
(3,9),(9,12),-0.0917282 # DEPENDENCYPART_GRANDPAR
(3,9),(9,13),-0.320517 # DEPENDENCYPART_GRANDPAR
(3,9),(9,15),-0.267298 # DEPENDENCYPART_GRANDPAR
(3,9),(9,16),-0.203421 # DEPENDENCYPART_GRANDPAR
(3,11),(11,2),-0.573149 # DEPENDENCYPART_GRANDPAR
(3,11),(11,4),0.413782 # DEPENDENCYPART_GRANDPAR
(3,11),(11,5),-0.0708833 # DEPENDENCYPART_GRANDPAR
(3,11),(11,6),0.444827 # DEPENDENCYPART_GRANDPAR
(3,11),(11,7),0.0424083 # DEPENDENCYPART_GRANDPAR
(3,11),(11,8),-0.095843 # DEPENDENCYPART_GRANDPAR
(3,11),(11,9),0.0988808 # DEPENDENCYPART_GRANDPAR
(3,11),(11,10),-0.321688 # DEPENDENCYPART_GRANDPAR
(3,11),(11,12),-0.0189646 # DEPENDENCYPART_GRANDPAR
(3,11),(11,13),-0.304036 # DEPENDENCYPART_GRANDPAR
(3,11),(11,15),-0.362034 # DEPENDENCYPART_GRANDPAR
(3,11),(11,16),-0.245153 # DEPENDENCYPART_GRANDPAR
(3,11),(11,18),-0.33511 # DEPENDENCYPART_GRANDPAR
(3,11),(11,19),-0.659166 # DEPENDENCYPART_GRANDPAR
(4,1),(1,2),-0.017154 # DEPENDENCYPART_GRANDPAR
(4,1),(1,3),-0.0625332 # DEPENDENCYPART_GRANDPAR
(4,1),(1,4),-0.984111 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,1),(1,5),-0.30934 # DEPENDENCYPART_GRANDPAR
(4,1),(1,7),-0.36952 # DEPENDENCYPART_GRANDPAR
(4,1),(1,8),-0.425423 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),-0.377568 # DEPENDENCYPART_GRANDPAR
(4,2),(2,3),-0.0012953 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-0.98694 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,2),(2,5),-0.412667 # DEPENDENCYPART_GRANDPAR
(4,2),(2,7),-0.44297 # DEPENDENCYPART_GRANDPAR
(4,2),(2,8),-0.428252 # DEPENDENCYPART_GRANDPAR
(4,2),(2,9),0.108696 # DEPENDENCYPART_GRANDPAR
(4,2),(2,11),-0.570099 # DEPENDENCYPART_GRANDPAR
(4,2),(2,12),-0.552676 # DEPENDENCYPART_GRANDPAR
(4,2),(2,19),-0.900628 # DEPENDENCYPART_GRANDPAR
(4,3),(3,1),-0.377473 # DEPENDENCYPART_GRANDPAR
(4,3),(3,2),0.0789052 # DEPENDENCYPART_GRANDPAR
(4,3),(3,4),-0.98694 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,3),(3,5),-0.412667 # DEPENDENCYPART_GRANDPAR
(4,3),(3,7),-0.44297 # DEPENDENCYPART_GRANDPAR
(4,3),(3,8),-0.428252 # DEPENDENCYPART_GRANDPAR
(4,3),(3,9),0.108696 # DEPENDENCYPART_GRANDPAR
(4,3),(3,11),-0.570099 # DEPENDENCYPART_GRANDPAR
(4,3),(3,12),-0.552676 # DEPENDENCYPART_GRANDPAR
(4,7),(7,1),-0.802565 # DEPENDENCYPART_GRANDPAR
(4,7),(7,4),-0.571268 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,7),(7,5),0.0638263 # DEPENDENCYPART_GRANDPAR
(4,7),(7,6),0.336967 # DEPENDENCYPART_GRANDPAR
(4,7),(7,8),0.169815 # DEPENDENCYPART_GRANDPAR
(4,7),(7,9),0.708944 # DEPENDENCYPART_GRANDPAR
(4,7),(7,10),-0.0149725 # DEPENDENCYPART_GRANDPAR
(4,7),(7,11),0.0279678 # DEPENDENCYPART_GRANDPAR
(4,7),(7,12),-0.0344044 # DEPENDENCYPART_GRANDPAR
(4,7),(7,13),-0.235926 # DEPENDENCYPART_GRANDPAR
(4,7),(7,16),0.345571 # DEPENDENCYPART_GRANDPAR
(4,7),(7,19),-0.488477 # DEPENDENCYPART_GRANDPAR
(4,8),(8,1),-0.772999 # DEPENDENCYPART_GRANDPAR
(4,8),(8,2),-0.492288 # DEPENDENCYPART_GRANDPAR
(4,8),(8,3),-0.535136 # DEPENDENCYPART_GRANDPAR
(4,8),(8,4),-0.453054 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,8),(8,5),0.197055 # DEPENDENCYPART_GRANDPAR
(4,8),(8,6),0.656054 # DEPENDENCYPART_GRANDPAR
(4,8),(8,7),0.223619 # DEPENDENCYPART_GRANDPAR
(4,8),(8,9),0.535737 # DEPENDENCYPART_GRANDPAR
(4,8),(8,10),-0.0399706 # DEPENDENCYPART_GRANDPAR
(4,8),(8,11),0.00256211 # DEPENDENCYPART_GRANDPAR
(4,8),(8,12),0.0777994 # DEPENDENCYPART_GRANDPAR
(4,8),(8,13),-0.231775 # DEPENDENCYPART_GRANDPAR
(4,8),(8,15),-0.22102 # DEPENDENCYPART_GRANDPAR
(4,8),(8,16),0.223472 # DEPENDENCYPART_GRANDPAR
(4,8),(8,19),-0.347986 # DEPENDENCYPART_GRANDPAR
(4,9),(9,8),-0.0409201 # DEPENDENCYPART_GRANDPAR
(4,9),(9,10),0.0684257 # DEPENDENCYPART_GRANDPAR
(4,9),(9,11),0.110958 # DEPENDENCYPART_GRANDPAR
(4,9),(9,12),0.00914071 # DEPENDENCYPART_GRANDPAR
(4,9),(9,13),-0.249698 # DEPENDENCYPART_GRANDPAR
(4,9),(9,15),-0.127344 # DEPENDENCYPART_GRANDPAR
(4,9),(9,16),0.258941 # DEPENDENCYPART_GRANDPAR
(4,11),(11,2),-0.492288 # DEPENDENCYPART_GRANDPAR
(4,11),(11,4),-0.453054 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,11),(11,5),0.197055 # DEPENDENCYPART_GRANDPAR
(4,11),(11,6),0.656054 # DEPENDENCYPART_GRANDPAR
(4,11),(11,7),0.223619 # DEPENDENCYPART_GRANDPAR
(4,11),(11,8),0.105636 # DEPENDENCYPART_GRANDPAR
(4,11),(11,9),0.571819 # DEPENDENCYPART_GRANDPAR
(4,11),(11,10),-0.0783353 # DEPENDENCYPART_GRANDPAR
(4,11),(11,12),0.0777994 # DEPENDENCYPART_GRANDPAR
(4,11),(11,13),-0.231775 # DEPENDENCYPART_GRANDPAR
(4,11),(11,15),-0.22102 # DEPENDENCYPART_GRANDPAR
(4,11),(11,16),0.223472 # DEPENDENCYPART_GRANDPAR
(4,11),(11,18),-0.291181 # DEPENDENCYPART_GRANDPAR
(4,11),(11,19),-0.347986 # DEPENDENCYPART_GRANDPAR
(4,13),(13,1),-0.802565 # DEPENDENCYPART_GRANDPAR
(4,13),(13,2),-0.630745 # DEPENDENCYPART_GRANDPAR
(4,13),(13,3),-0.673596 # DEPENDENCYPART_GRANDPAR
(4,13),(13,4),-0.559042 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,13),(13,5),0.0882504 # DEPENDENCYPART_GRANDPAR
(4,13),(13,6),0.347219 # DEPENDENCYPART_GRANDPAR
(4,13),(13,7),0.154784 # DEPENDENCYPART_GRANDPAR
(4,13),(13,8),-0.000335629 # DEPENDENCYPART_GRANDPAR
(4,13),(13,9),0.527102 # DEPENDENCYPART_GRANDPAR
(4,13),(13,10),-0.184539 # DEPENDENCYPART_GRANDPAR
(4,13),(13,11),-0.142183 # DEPENDENCYPART_GRANDPAR
(4,13),(13,12),-0.051759 # DEPENDENCYPART_GRANDPAR
(4,13),(13,14),-0.0618795 # DEPENDENCYPART_GRANDPAR
(4,13),(13,15),-0.173661 # DEPENDENCYPART_GRANDPAR
(4,13),(13,16),0.341913 # DEPENDENCYPART_GRANDPAR
(4,13),(13,17),-0.281318 # DEPENDENCYPART_GRANDPAR
(4,13),(13,18),-0.269336 # DEPENDENCYPART_GRANDPAR
(4,13),(13,19),-0.482467 # DEPENDENCYPART_GRANDPAR
(4,15),(15,6),0.664725 # DEPENDENCYPART_GRANDPAR
(4,15),(15,9),0.570674 # DEPENDENCYPART_GRANDPAR
(4,15),(15,11),-0.023415 # DEPENDENCYPART_GRANDPAR
(4,15),(15,12),0.0458739 # DEPENDENCYPART_GRANDPAR
(4,15),(15,14),0.186099 # DEPENDENCYPART_GRANDPAR
(4,15),(15,16),0.209599 # DEPENDENCYPART_GRANDPAR
(4,15),(15,17),-0.317409 # DEPENDENCYPART_GRANDPAR
(4,15),(15,18),-0.307019 # DEPENDENCYPART_GRANDPAR
(4,15),(15,19),-0.348992 # DEPENDENCYPART_GRANDPAR
(4,16),(16,15),-0.342704 # DEPENDENCYPART_GRANDPAR
(4,16),(16,17),-0.249659 # DEPENDENCYPART_GRANDPAR
(4,16),(16,18),-0.239928 # DEPENDENCYPART_GRANDPAR
(4,16),(16,19),-0.455592 # DEPENDENCYPART_GRANDPAR
(4,18),(18,14),0.18636 # DEPENDENCYPART_GRANDPAR
(4,18),(18,15),-0.267492 # DEPENDENCYPART_GRANDPAR
(4,18),(18,16),0.237205 # DEPENDENCYPART_GRANDPAR
(4,18),(18,17),-0.342476 # DEPENDENCYPART_GRANDPAR
(4,18),(18,19),-0.348039 # DEPENDENCYPART_GRANDPAR
(4,19),(19,16),0.200863 # DEPENDENCYPART_GRANDPAR
(6,7),(7,1),-0.365727 # DEPENDENCYPART_GRANDPAR
(6,7),(7,4),-0.401218 # DEPENDENCYPART_GRANDPAR
(6,7),(7,5),-0.213796 # DEPENDENCYPART_GRANDPAR
(6,7),(7,6),-0.665392 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,8),0.108643 # DEPENDENCYPART_GRANDPAR
(6,7),(7,9),0.190435 # DEPENDENCYPART_GRANDPAR
(6,7),(7,10),-0.00397955 # DEPENDENCYPART_GRANDPAR
(6,7),(7,11),-0.0193362 # DEPENDENCYPART_GRANDPAR
(6,7),(7,12),-0.0775754 # DEPENDENCYPART_GRANDPAR
(6,7),(7,13),-0.0655341 # DEPENDENCYPART_GRANDPAR
(6,7),(7,16),0.00447248 # DEPENDENCYPART_GRANDPAR
(6,7),(7,19),-0.323223 # DEPENDENCYPART_GRANDPAR
(6,9),(9,8),-0.00712481 # DEPENDENCYPART_GRANDPAR
(6,9),(9,10),0.142734 # DEPENDENCYPART_GRANDPAR
(6,9),(9,11),0.127147 # DEPENDENCYPART_GRANDPAR
(6,9),(9,12),-0.00807582 # DEPENDENCYPART_GRANDPAR
(6,9),(9,13),-0.0593156 # DEPENDENCYPART_GRANDPAR
(6,9),(9,15),-0.0915069 # DEPENDENCYPART_GRANDPAR
(6,9),(9,16),-0.0339768 # DEPENDENCYPART_GRANDPAR
(7,1),(1,2),-0.138397 # DEPENDENCYPART_GRANDPAR
(7,1),(1,3),-0.218622 # DEPENDENCYPART_GRANDPAR
(7,1),(1,4),-0.461881 # DEPENDENCYPART_GRANDPAR
(7,1),(1,5),-0.0949821 # DEPENDENCYPART_GRANDPAR
(7,1),(1,7),-0.972978 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,1),(1,8),0.0563077 # DEPENDENCYPART_GRANDPAR
(7,4),(4,1),-0.176543 # DEPENDENCYPART_GRANDPAR
(7,4),(4,2),-0.104357 # DEPENDENCYPART_GRANDPAR
(7,4),(4,3),-0.192588 # DEPENDENCYPART_GRANDPAR
(7,4),(4,5),0.0356231 # DEPENDENCYPART_GRANDPAR
(7,4),(4,7),-1.00419 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,4),(4,8),0.14406 # DEPENDENCYPART_GRANDPAR
(7,4),(4,9),0.0070912 # DEPENDENCYPART_GRANDPAR
(7,4),(4,11),-0.20452 # DEPENDENCYPART_GRANDPAR
(7,4),(4,12),-0.404605 # DEPENDENCYPART_GRANDPAR
(7,4),(4,13),-0.30989 # DEPENDENCYPART_GRANDPAR
(7,4),(4,15),-0.490616 # DEPENDENCYPART_GRANDPAR
(7,4),(4,16),-0.192996 # DEPENDENCYPART_GRANDPAR
(7,4),(4,18),-0.653008 # DEPENDENCYPART_GRANDPAR
(7,4),(4,19),-0.833735 # DEPENDENCYPART_GRANDPAR
(7,6),(6,5),-0.0912439 # DEPENDENCYPART_GRANDPAR
(7,6),(6,7),-1.03216 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,6),(6,9),-0.112302 # DEPENDENCYPART_GRANDPAR
(7,8),(8,1),-0.621407 # DEPENDENCYPART_GRANDPAR
(7,8),(8,2),-0.464697 # DEPENDENCYPART_GRANDPAR
(7,8),(8,3),-0.544541 # DEPENDENCYPART_GRANDPAR
(7,8),(8,4),-0.786049 # DEPENDENCYPART_GRANDPAR
(7,8),(8,5),-0.578808 # DEPENDENCYPART_GRANDPAR
(7,8),(8,6),-0.477377 # DEPENDENCYPART_GRANDPAR
(7,8),(8,7),-0.523283 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,8),(8,9),-0.053405 # DEPENDENCYPART_GRANDPAR
(7,8),(8,10),-0.0077305 # DEPENDENCYPART_GRANDPAR
(7,8),(8,11),0.149628 # DEPENDENCYPART_GRANDPAR
(7,8),(8,12),0.126745 # DEPENDENCYPART_GRANDPAR
(7,8),(8,13),0.0167838 # DEPENDENCYPART_GRANDPAR
(7,8),(8,15),-0.146543 # DEPENDENCYPART_GRANDPAR
(7,8),(8,16),-0.0971767 # DEPENDENCYPART_GRANDPAR
(7,8),(8,19),-0.461696 # DEPENDENCYPART_GRANDPAR
(7,9),(9,8),0.256638 # DEPENDENCYPART_GRANDPAR
(7,9),(9,10),0.155052 # DEPENDENCYPART_GRANDPAR
(7,9),(9,11),0.31241 # DEPENDENCYPART_GRANDPAR
(7,9),(9,12),0.196659 # DEPENDENCYPART_GRANDPAR
(7,9),(9,13),0.00566866 # DEPENDENCYPART_GRANDPAR
(7,9),(9,15),0.00699609 # DEPENDENCYPART_GRANDPAR
(7,9),(9,16),-0.0275909 # DEPENDENCYPART_GRANDPAR
(7,10),(10,6),-0.477377 # DEPENDENCYPART_GRANDPAR
(7,10),(10,7),-0.523749 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,10),(10,8),0.436324 # DEPENDENCYPART_GRANDPAR
(7,10),(10,9),0.0587321 # DEPENDENCYPART_GRANDPAR
(7,10),(10,11),0.155984 # DEPENDENCYPART_GRANDPAR
(7,10),(10,12),0.14582 # DEPENDENCYPART_GRANDPAR
(7,10),(10,13),0.0294948 # DEPENDENCYPART_GRANDPAR
(7,10),(10,15),-0.140186 # DEPENDENCYPART_GRANDPAR
(7,11),(11,2),-0.464697 # DEPENDENCYPART_GRANDPAR
(7,11),(11,4),-0.786049 # DEPENDENCYPART_GRANDPAR
(7,11),(11,5),-0.578808 # DEPENDENCYPART_GRANDPAR
(7,11),(11,6),-0.477377 # DEPENDENCYPART_GRANDPAR
(7,11),(11,7),-0.523283 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,11),(11,8),0.43679 # DEPENDENCYPART_GRANDPAR
(7,11),(11,9),0.0591977 # DEPENDENCYPART_GRANDPAR
(7,11),(11,10),-0.0679033 # DEPENDENCYPART_GRANDPAR
(7,11),(11,12),0.126745 # DEPENDENCYPART_GRANDPAR
(7,11),(11,13),0.0167838 # DEPENDENCYPART_GRANDPAR
(7,11),(11,15),-0.146543 # DEPENDENCYPART_GRANDPAR
(7,11),(11,16),-0.0971767 # DEPENDENCYPART_GRANDPAR
(7,11),(11,18),-0.296379 # DEPENDENCYPART_GRANDPAR
(7,11),(11,19),-0.461696 # DEPENDENCYPART_GRANDPAR
(7,13),(13,1),-0.63406 # DEPENDENCYPART_GRANDPAR
(7,13),(13,2),-0.640454 # DEPENDENCYPART_GRANDPAR
(7,13),(13,3),-0.720304 # DEPENDENCYPART_GRANDPAR
(7,13),(13,4),-0.961811 # DEPENDENCYPART_GRANDPAR
(7,13),(13,5),-0.554143 # DEPENDENCYPART_GRANDPAR
(7,13),(13,6),-0.465471 # DEPENDENCYPART_GRANDPAR
(7,13),(13,7),-0.668359 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,13),(13,8),0.402491 # DEPENDENCYPART_GRANDPAR
(7,13),(13,9),0.109124 # DEPENDENCYPART_GRANDPAR
(7,13),(13,10),-0.102667 # DEPENDENCYPART_GRANDPAR
(7,13),(13,11),0.0539102 # DEPENDENCYPART_GRANDPAR
(7,13),(13,12),0.0693731 # DEPENDENCYPART_GRANDPAR
(7,13),(13,14),-0.194578 # DEPENDENCYPART_GRANDPAR
(7,13),(13,15),-0.0530203 # DEPENDENCYPART_GRANDPAR
(7,13),(13,16),0.0493842 # DEPENDENCYPART_GRANDPAR
(7,13),(13,17),-0.436327 # DEPENDENCYPART_GRANDPAR
(7,13),(13,18),-0.222282 # DEPENDENCYPART_GRANDPAR
(7,13),(13,19),-0.500331 # DEPENDENCYPART_GRANDPAR
(7,16),(16,15),-0.265675 # DEPENDENCYPART_GRANDPAR
(7,16),(16,17),-0.418957 # DEPENDENCYPART_GRANDPAR
(7,16),(16,18),-0.206998 # DEPENDENCYPART_GRANDPAR
(7,16),(16,19),-0.529708 # DEPENDENCYPART_GRANDPAR
(7,19),(19,16),-0.120991 # DEPENDENCYPART_GRANDPAR
(8,1),(1,2),-0.506703 # DEPENDENCYPART_GRANDPAR
(8,1),(1,3),-0.408618 # DEPENDENCYPART_GRANDPAR
(8,1),(1,4),-0.425255 # DEPENDENCYPART_GRANDPAR
(8,1),(1,5),0.0911969 # DEPENDENCYPART_GRANDPAR
(8,1),(1,7),0.149464 # DEPENDENCYPART_GRANDPAR
(8,1),(1,8),-1.11136 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,2),(2,1),-0.331342 # DEPENDENCYPART_GRANDPAR
(8,2),(2,3),-0.349921 # DEPENDENCYPART_GRANDPAR
(8,2),(2,4),-0.367088 # DEPENDENCYPART_GRANDPAR
(8,2),(2,5),0.219685 # DEPENDENCYPART_GRANDPAR
(8,2),(2,7),0.221636 # DEPENDENCYPART_GRANDPAR
(8,2),(2,8),-1.11419 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,2),(2,9),-0.120293 # DEPENDENCYPART_GRANDPAR
(8,2),(2,11),-0.257702 # DEPENDENCYPART_GRANDPAR
(8,2),(2,12),-0.345172 # DEPENDENCYPART_GRANDPAR
(8,2),(2,19),-1.02094 # DEPENDENCYPART_GRANDPAR
(8,3),(3,1),-0.331246 # DEPENDENCYPART_GRANDPAR
(8,3),(3,2),-0.408446 # DEPENDENCYPART_GRANDPAR
(8,3),(3,4),-0.367434 # DEPENDENCYPART_GRANDPAR
(8,3),(3,5),0.219687 # DEPENDENCYPART_GRANDPAR
(8,3),(3,7),0.221634 # DEPENDENCYPART_GRANDPAR
(8,3),(3,8),-1.11419 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,3),(3,9),-0.120293 # DEPENDENCYPART_GRANDPAR
(8,3),(3,11),-0.257702 # DEPENDENCYPART_GRANDPAR
(8,3),(3,12),-0.345172 # DEPENDENCYPART_GRANDPAR
(8,4),(4,1),-0.331246 # DEPENDENCYPART_GRANDPAR
(8,4),(4,2),-0.410484 # DEPENDENCYPART_GRANDPAR
