# _root_ Trade Representative Carla Hills , who along with Agriculture Secretary Clayton Yeutter unveiled the proposal , said she is confident it will gain considerable support from the U.S. 's trading partners .
#goldHeads=4,4,4,17,4,13,13,7,12,12,12,8,4,15,13,4,0,19,17,19,22,20,22,25,23,25,28,31,28,31,26,17,
#predictedHeads=4,4,4,17,4,13,13,7,12,12,12,13,4,15,13,4,0,19,17,19,22,20,22,25,23,25,28,31,28,31,26,17,
(1,1),(1,3),-0.561262 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,4),-0.454738 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,5),-0.565183 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,7),-0.276879 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,8),-0.209125 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,13),-0.00631568 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,16),-1.25502 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,19),-0.492817 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,33),-0.515573 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,2),(1,3),-1.10557 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,4),-1.20773 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,5),-0.610971 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,7),-1.06575 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,8),-1.16396 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,13),-0.991903 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,16),-0.257943 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,19),-0.744557 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,33),-0.990437 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,3),(1,4),-1.05063 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,5),-0.575478 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,7),-0.980476 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,8),-1.0592 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,13),-0.925433 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,16),-0.196581 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,19),-0.728187 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,33),-1.05201 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,4),(1,5),-0.20298 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,7),-0.796163 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,8),-0.791734 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,13),-0.717735 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,16),0.145882 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,19),-0.500445 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,33),-0.796242 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,5),(1,7),0.00120495 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,8),-0.113106 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,13),0.758486 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,16),-0.795085 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,19),-0.0890924 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,33),-1.22641 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,7),(1,8),-0.766851 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,13),-0.534296 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,16),-0.628797 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,19),-1.03022 # DEPENDENCYPART_NEXTSIBL
(1,7),(1,33),-0.730577 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,8),(1,13),-0.544377 # DEPENDENCYPART_NEXTSIBL
(1,8),(1,16),-0.417321 # DEPENDENCYPART_NEXTSIBL
(1,8),(1,19),-1.01757 # DEPENDENCYPART_NEXTSIBL
(1,8),(1,33),-0.781341 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,13),(1,16),-0.200254 # DEPENDENCYPART_NEXTSIBL
(1,13),(1,19),-0.653789 # DEPENDENCYPART_NEXTSIBL
(1,13),(1,33),-0.287824 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,16),(1,19),-0.762732 # DEPENDENCYPART_NEXTSIBL
(1,16),(1,33),-0.191739 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,19),(1,33),-0.373862 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,1),(1,-1),-0.529563 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,2),(2,3),-0.540401 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,4),-0.433877 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,5),-0.595765 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,7),-0.268621 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,8),-0.206886 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,12),-0.485186 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,13),0.00472164 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,16),-1.2856 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,33),-0.529069 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,3),(2,4),-1.03522 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,5),-0.59046 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,7),-0.978681 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,8),-1.06347 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,12),-1.26062 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,13),-0.916535 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,16),-0.211564 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,33),-1.0217 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,4),(2,5),-0.217962 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,7),-0.794367 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,8),-0.796004 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,12),-1.16739 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,13),-0.708838 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,16),0.130899 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,33),-0.765931 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,5),(2,7),-0.0306833 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,8),-0.154977 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,12),-0.437075 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,13),0.732741 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,16),-0.840478 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,33),-1.26654 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,7),(2,8),-0.780794 # DEPENDENCYPART_NEXTSIBL
(2,7),(2,12),-0.658029 # DEPENDENCYPART_NEXTSIBL
(2,7),(2,13),-0.536009 # DEPENDENCYPART_NEXTSIBL
(2,7),(2,16),-0.673148 # DEPENDENCYPART_NEXTSIBL
(2,7),(2,33),-0.721555 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,8),(2,12),-0.615168 # DEPENDENCYPART_NEXTSIBL
(2,8),(2,13),-0.552157 # DEPENDENCYPART_NEXTSIBL
(2,8),(2,16),-0.467738 # DEPENDENCYPART_NEXTSIBL
(2,8),(2,33),-0.784722 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,12),(2,13),-0.88548 # DEPENDENCYPART_NEXTSIBL
(2,12),(2,16),-0.414051 # DEPENDENCYPART_NEXTSIBL
(2,12),(2,33),-0.500142 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,13),(2,16),-0.221572 # DEPENDENCYPART_NEXTSIBL
(2,13),(2,33),-0.285596 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,16),(2,33),-0.231867 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,2),(2,1),-0.517854 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,-1),-0.578081 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,1),(2,-1),-0.574394 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,4),-0.430806 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,5),-0.59576 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,16),-1.2856 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,33),-0.533946 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,4),(3,5),-0.216825 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,16),0.132037 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,33),-0.764381 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,5),(3,16),-0.840468 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,33),-1.26654 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,16),(3,33),-0.231862 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,2),-0.459729 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,1),-0.518961 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,-1),-0.572257 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,2),(3,1),-0.114698 # DEPENDENCYPART_NEXTSIBL
(3,2),(3,-1),-0.953769 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,1),(3,-1),-0.574758 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,4),(4,5),-0.589402 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,7),-0.271046 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,8),-0.209311 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,9),-0.666501 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,10),-0.826745 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,11),-0.525132 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,12),-0.488146 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,13),0.00633271 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,15),-0.872051 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,16),-1.27924 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,17),0.242723 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,19),-0.48186 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,26),-0.703532 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,32),-1.14483 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,33),-0.524914 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,5),(4,7),-0.0258812 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,8),-0.150175 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,9),-0.559056 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,10),-0.37015 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,11),-0.409201 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,12),-0.426976 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,13),0.738915 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,15),-0.459337 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,16),-0.829725 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,17),0.0297534 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,19),-0.110357 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,26),-1.63542 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,32),-1.21927 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,33),-1.25817 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,7),(4,8),-0.78241 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,9),-0.895107 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,10),-0.802085 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,11),-0.747533 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,12),-0.658602 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,13),-0.536254 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,15),-0.776319 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,16),-0.668345 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,17),-0.735956 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,19),-1.03385 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,26),-1.3496 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,32),-0.938887 # DEPENDENCYPART_NEXTSIBL
(4,7),(4,33),-0.72429 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,8),(4,9),-0.932286 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,10),-0.813876 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,11),-0.768909 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,12),-0.61574 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,13),-0.552402 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,15),-0.687783 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,16),-0.462936 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,17),-0.691197 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,19),-1.02726 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,26),-1.35443 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,32),-1.29625 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,33),-0.787457 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,9),(4,10),-1.29746 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,11),-1.35656 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,12),-1.47916 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,13),-1.19768 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,15),-1.56947 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,16),-0.660106 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,17),-1.34621 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,19),-1.17996 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,26),-1.24699 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,32),-1.38147 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,33),-0.701304 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,10),(4,11),-1.15687 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,12),-1.15478 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,13),-1.08441 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,15),-1.38588 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,16),-0.501831 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,17),-1.19015 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,19),-1.04959 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,26),-1.10249 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,32),-1.29244 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,33),-0.856319 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,11),(4,12),-0.861851 # DEPENDENCYPART_NEXTSIBL
(4,11),(4,13),-0.903314 # DEPENDENCYPART_NEXTSIBL
(4,11),(4,15),-1.18756 # DEPENDENCYPART_NEXTSIBL
(4,11),(4,16),-0.357741 # DEPENDENCYPART_NEXTSIBL
(4,11),(4,17),-1.00768 # DEPENDENCYPART_NEXTSIBL
(4,11),(4,19),-0.907237 # DEPENDENCYPART_NEXTSIBL
(4,11),(4,26),-0.927192 # DEPENDENCYPART_NEXTSIBL
(4,11),(4,32),-0.971121 # DEPENDENCYPART_NEXTSIBL
(4,11),(4,33),-0.981459 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,12),(4,13),-0.884836 # DEPENDENCYPART_NEXTSIBL
(4,12),(4,15),-1.32238 # DEPENDENCYPART_NEXTSIBL
(4,12),(4,16),-0.402626 # DEPENDENCYPART_NEXTSIBL
(4,12),(4,17),-1.1058 # DEPENDENCYPART_NEXTSIBL
(4,12),(4,19),-1.00271 # DEPENDENCYPART_NEXTSIBL
(4,12),(4,26),-1.04266 # DEPENDENCYPART_NEXTSIBL
(4,12),(4,32),-0.966179 # DEPENDENCYPART_NEXTSIBL
(4,12),(4,33),-0.509874 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,13),(4,15),-0.682618 # DEPENDENCYPART_NEXTSIBL
(4,13),(4,16),-0.215398 # DEPENDENCYPART_NEXTSIBL
(4,13),(4,17),-0.623429 # DEPENDENCYPART_NEXTSIBL
(4,13),(4,19),-0.651961 # DEPENDENCYPART_NEXTSIBL
(4,13),(4,26),-0.890173 # DEPENDENCYPART_NEXTSIBL
(4,13),(4,32),-0.553998 # DEPENDENCYPART_NEXTSIBL
(4,13),(4,33),-0.283906 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,15),(4,16),-0.256971 # DEPENDENCYPART_NEXTSIBL
(4,15),(4,17),-1.02228 # DEPENDENCYPART_NEXTSIBL
(4,15),(4,19),-0.994522 # DEPENDENCYPART_NEXTSIBL
(4,15),(4,26),-0.93726 # DEPENDENCYPART_NEXTSIBL
(4,15),(4,32),-0.622028 # DEPENDENCYPART_NEXTSIBL
(4,15),(4,33),-0.349597 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,16),(4,17),-0.308037 # DEPENDENCYPART_NEXTSIBL
(4,16),(4,19),-0.783996 # DEPENDENCYPART_NEXTSIBL
(4,16),(4,26),-1.31992 # DEPENDENCYPART_NEXTSIBL
(4,16),(4,32),-1.28425 # DEPENDENCYPART_NEXTSIBL
(4,16),(4,33),-0.223498 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,17),(4,19),-0.494331 # DEPENDENCYPART_NEXTSIBL
(4,17),(4,26),-0.391626 # DEPENDENCYPART_NEXTSIBL
(4,17),(4,32),0.896394 # DEPENDENCYPART_NEXTSIBL
(4,17),(4,33),-0.796713 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,19),(4,26),-0.837699 # DEPENDENCYPART_NEXTSIBL
(4,19),(4,32),-0.0235357 # DEPENDENCYPART_NEXTSIBL
(4,19),(4,33),-0.37333 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,26),(4,32),-0.254369 # DEPENDENCYPART_NEXTSIBL
(4,26),(4,33),-0.606129 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,32),(4,33),-1.8443 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,4),(4,3),-0.46666 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,2),-0.486779 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,1),-0.546011 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,-1),-0.545193 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,3),(4,2),-0.253609 # DEPENDENCYPART_NEXTSIBL
(4,3),(4,1),-0.524174 # DEPENDENCYPART_NEXTSIBL
(4,3),(4,-1),-1.02521 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,2),(4,1),-0.132735 # DEPENDENCYPART_NEXTSIBL
(4,2),(4,-1),-0.962713 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,1),(4,-1),-0.583702 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,7),-0.481828 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,33),-0.250565 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,7),(5,33),-0.893813 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,-1),-0.347377 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,6),(6,7),-0.386751 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,8),-0.370989 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,33),-0.526697 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,7),(6,8),-0.858562 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,33),-0.786933 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,8),(6,33),-0.875907 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,-1),-0.535422 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,7),(7,8),-0.283747 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,9),-0.529373 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,10),-0.675807 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,11),-0.383004 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,12),-0.34601 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,13),-0.00646939 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,15),-0.728074 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,17),0.233756 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,22),-0.161567 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,33),-0.841537 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,8),(7,9),-0.875565 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,10),-0.75689 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,11),-0.71057 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,12),-0.557396 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,13),-0.623009 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,15),-0.627859 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,17),-0.778745 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,22),-1.08661 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,33),-0.850149 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,9),(7,10),-1.45452 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,11),-1.51242 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,12),-1.63501 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,13),-1.2813 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,15),-1.72375 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,17),-1.43804 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,22),-1.44979 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,33),-0.625914 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,10),(7,11),-1.31223 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,12),-1.31014 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,13),-1.16777 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,15),-1.53966 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,17),-1.28172 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,22),-1.26098 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,33),-0.791396 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,11),(7,12),-1.01609 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,13),-0.985315 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,15),-1.34023 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,17),-1.09789 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,22),-1.05888 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,33),-0.901069 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,12),(7,13),-0.966831 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,15),-1.47504 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,17),-1.19601 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,22),-1.13827 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,33),-0.429469 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,13),(7,15),-0.744326 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,17),-0.768936 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,22),-1.05972 # DEPENDENCYPART_NEXTSIBL
(7,13),(7,33),-0.339134 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,15),(7,17),-1.11091 # DEPENDENCYPART_NEXTSIBL
(7,15),(7,22),-0.966632 # DEPENDENCYPART_NEXTSIBL
(7,15),(7,33),-0.26354 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,17),(7,22),-0.714417 # DEPENDENCYPART_NEXTSIBL
(7,17),(7,33),-0.872008 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,22),(7,33),-0.660021 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,6),-0.715176 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,5),-0.853947 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,-1),-0.41925 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,6),(7,5),-0.391063 # DEPENDENCYPART_NEXTSIBL
(7,6),(7,-1),-0.376996 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,5),(7,-1),-1.45715 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,9),-0.482645 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,10),-0.62908 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,11),-0.336276 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,12),-0.299283 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,13),0.122566 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,15),-0.681348 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,17),0.347344 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,19),-0.41539 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,33),-0.915709 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,9),(8,10),-1.44737 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,11),-1.50527 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,12),-1.62786 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,13),-1.24899 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,15),-1.7166 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,17),-1.41345 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,19),-1.24881 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,33),-0.557993 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,10),(8,11),-1.30508 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,12),-1.30299 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,13),-1.13546 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,15),-1.53251 # DEPENDENCYPART_NEXTSIBL
