# _root_ Like Lebanon , and however unfairly , Israel is regarded by the Arab world as a colonial aberration .
#goldHeads=4,1,4,0,4,5,4,4,4,9,10,14,14,11,10,18,18,15,4,
#predictedHeads=9,4,4,1,4,5,9,9,0,9,10,14,14,11,10,18,18,15,9,
(1,8),(8,19),-0.437606 # DEPENDENCYPART_GRANDPAR
(1,9),(9,1),-0.573105 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,9),(9,2),0.875624 # DEPENDENCYPART_GRANDPAR
(1,9),(9,3),0.482451 # DEPENDENCYPART_GRANDPAR
(1,9),(9,4),0.378054 # DEPENDENCYPART_GRANDPAR
(1,9),(9,5),0.240507 # DEPENDENCYPART_GRANDPAR
(1,9),(9,6),0.23507 # DEPENDENCYPART_GRANDPAR
(1,9),(9,7),0.24282 # DEPENDENCYPART_GRANDPAR
(1,9),(9,8),0.406178 # DEPENDENCYPART_GRANDPAR
(1,9),(9,10),0.0368958 # DEPENDENCYPART_GRANDPAR
(1,9),(9,11),0.049976 # DEPENDENCYPART_GRANDPAR
(1,9),(9,14),-0.168186 # DEPENDENCYPART_GRANDPAR
(1,9),(9,15),0.17146 # DEPENDENCYPART_GRANDPAR
(1,9),(9,18),-0.133301 # DEPENDENCYPART_GRANDPAR
(1,9),(9,19),-0.474635 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-1.27379 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-0.358801 # DEPENDENCYPART_GRANDPAR
(2,1),(1,4),-0.516762 # DEPENDENCYPART_GRANDPAR
(2,1),(1,5),-0.179364 # DEPENDENCYPART_GRANDPAR
(2,1),(1,6),-0.315323 # DEPENDENCYPART_GRANDPAR
(2,1),(1,7),-0.129851 # DEPENDENCYPART_GRANDPAR
(2,1),(1,8),-0.348911 # DEPENDENCYPART_GRANDPAR
(2,1),(1,9),-0.499579 # DEPENDENCYPART_GRANDPAR
(2,4),(4,1),-1.05313 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-0.730634 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,3),0.208292 # DEPENDENCYPART_GRANDPAR
(2,4),(4,5),0.369388 # DEPENDENCYPART_GRANDPAR
(2,4),(4,6),0.246413 # DEPENDENCYPART_GRANDPAR
(2,4),(4,7),0.380269 # DEPENDENCYPART_GRANDPAR
(2,4),(4,8),0.272786 # DEPENDENCYPART_GRANDPAR
(2,4),(4,9),0.0445999 # DEPENDENCYPART_GRANDPAR
(2,4),(4,10),0.0847602 # DEPENDENCYPART_GRANDPAR
(2,4),(4,11),0.098353 # DEPENDENCYPART_GRANDPAR
(2,4),(4,13),-0.253537 # DEPENDENCYPART_GRANDPAR
(2,4),(4,14),-0.385669 # DEPENDENCYPART_GRANDPAR
(2,4),(4,15),0.0506672 # DEPENDENCYPART_GRANDPAR
(2,4),(4,18),-0.538452 # DEPENDENCYPART_GRANDPAR
(2,4),(4,19),-0.481182 # DEPENDENCYPART_GRANDPAR
(2,5),(5,1),-0.937053 # DEPENDENCYPART_GRANDPAR
(2,5),(5,2),-0.698444 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,5),(5,4),0.0876018 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),0.129282 # DEPENDENCYPART_GRANDPAR
(2,5),(5,7),0.364443 # DEPENDENCYPART_GRANDPAR
(2,5),(5,8),0.243806 # DEPENDENCYPART_GRANDPAR
(2,5),(5,9),-0.0437826 # DEPENDENCYPART_GRANDPAR
(2,5),(5,11),-0.00304016 # DEPENDENCYPART_GRANDPAR
(2,5),(5,15),-0.0644606 # DEPENDENCYPART_GRANDPAR
(2,6),(6,1),-0.937053 # DEPENDENCYPART_GRANDPAR
(2,6),(6,2),-0.702494 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,6),(6,3),0.13274 # DEPENDENCYPART_GRANDPAR
(2,6),(6,4),0.0795135 # DEPENDENCYPART_GRANDPAR
(2,6),(6,5),0.297103 # DEPENDENCYPART_GRANDPAR
(2,6),(6,7),0.344673 # DEPENDENCYPART_GRANDPAR
(2,6),(6,8),0.245287 # DEPENDENCYPART_GRANDPAR
(2,6),(6,9),-0.0422899 # DEPENDENCYPART_GRANDPAR
(2,6),(6,11),0.00219838 # DEPENDENCYPART_GRANDPAR
(2,7),(7,6),0.0602989 # DEPENDENCYPART_GRANDPAR
(2,8),(8,2),-0.701067 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,8),(8,4),0.0617346 # DEPENDENCYPART_GRANDPAR
(2,8),(8,5),0.260848 # DEPENDENCYPART_GRANDPAR
(2,8),(8,6),0.133868 # DEPENDENCYPART_GRANDPAR
(2,8),(8,7),0.387475 # DEPENDENCYPART_GRANDPAR
(2,8),(8,9),-0.0968791 # DEPENDENCYPART_GRANDPAR
(2,8),(8,10),-0.0434085 # DEPENDENCYPART_GRANDPAR
(2,8),(8,11),-0.0936285 # DEPENDENCYPART_GRANDPAR
(2,8),(8,14),-0.391495 # DEPENDENCYPART_GRANDPAR
(2,8),(8,15),-0.128595 # DEPENDENCYPART_GRANDPAR
(2,8),(8,18),-0.541508 # DEPENDENCYPART_GRANDPAR
(2,8),(8,19),-0.469211 # DEPENDENCYPART_GRANDPAR
(2,9),(9,1),-1.11289 # DEPENDENCYPART_GRANDPAR
(2,9),(9,2),-0.801989 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,9),(9,3),0.0425793 # DEPENDENCYPART_GRANDPAR
(2,9),(9,4),-0.0375043 # DEPENDENCYPART_GRANDPAR
(2,9),(9,5),0.259359 # DEPENDENCYPART_GRANDPAR
(2,9),(9,6),0.114188 # DEPENDENCYPART_GRANDPAR
(2,9),(9,7),0.271529 # DEPENDENCYPART_GRANDPAR
(2,9),(9,8),0.14604 # DEPENDENCYPART_GRANDPAR
(2,9),(9,10),-0.0670363 # DEPENDENCYPART_GRANDPAR
(2,9),(9,11),0.156345 # DEPENDENCYPART_GRANDPAR
(2,9),(9,14),-0.351767 # DEPENDENCYPART_GRANDPAR
(2,9),(9,15),0.00919024 # DEPENDENCYPART_GRANDPAR
(2,9),(9,18),-0.502227 # DEPENDENCYPART_GRANDPAR
(2,9),(9,19),-0.563186 # DEPENDENCYPART_GRANDPAR
(2,10),(10,1),-1.08447 # DEPENDENCYPART_GRANDPAR
(2,10),(10,2),-0.820188 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,10),(10,3),0.0334281 # DEPENDENCYPART_GRANDPAR
(2,10),(10,4),-0.00905036 # DEPENDENCYPART_GRANDPAR
(2,10),(10,5),0.260131 # DEPENDENCYPART_GRANDPAR
(2,10),(10,6),0.12081 # DEPENDENCYPART_GRANDPAR
(2,10),(10,7),0.262378 # DEPENDENCYPART_GRANDPAR
(2,10),(10,8),0.120246 # DEPENDENCYPART_GRANDPAR
(2,10),(10,9),0.0467897 # DEPENDENCYPART_GRANDPAR
(2,10),(10,11),0.181635 # DEPENDENCYPART_GRANDPAR
(2,10),(10,12),-0.214882 # DEPENDENCYPART_GRANDPAR
(2,10),(10,13),-0.460123 # DEPENDENCYPART_GRANDPAR
(2,10),(10,14),-0.340279 # DEPENDENCYPART_GRANDPAR
(2,10),(10,15),0.0555765 # DEPENDENCYPART_GRANDPAR
(2,10),(10,17),-0.531006 # DEPENDENCYPART_GRANDPAR
(2,10),(10,18),-0.493619 # DEPENDENCYPART_GRANDPAR
(2,10),(10,19),-0.600186 # DEPENDENCYPART_GRANDPAR
(2,11),(11,12),-0.194709 # DEPENDENCYPART_GRANDPAR
(2,11),(11,13),-0.464058 # DEPENDENCYPART_GRANDPAR
(2,11),(11,14),-0.324667 # DEPENDENCYPART_GRANDPAR
(2,11),(11,15),-0.0573644 # DEPENDENCYPART_GRANDPAR
(2,11),(11,17),-0.535909 # DEPENDENCYPART_GRANDPAR
(2,11),(11,18),-0.480769 # DEPENDENCYPART_GRANDPAR
(2,11),(11,19),-0.590962 # DEPENDENCYPART_GRANDPAR
(2,14),(14,7),0.404815 # DEPENDENCYPART_GRANDPAR
(2,14),(14,8),0.230906 # DEPENDENCYPART_GRANDPAR
(2,14),(14,11),-0.122727 # DEPENDENCYPART_GRANDPAR
(2,14),(14,12),0.0124714 # DEPENDENCYPART_GRANDPAR
(2,14),(14,13),-0.347485 # DEPENDENCYPART_GRANDPAR
(2,14),(14,15),-0.130299 # DEPENDENCYPART_GRANDPAR
(2,14),(14,16),-0.304272 # DEPENDENCYPART_GRANDPAR
(2,14),(14,17),-0.589321 # DEPENDENCYPART_GRANDPAR
(2,14),(14,18),-0.530066 # DEPENDENCYPART_GRANDPAR
(2,14),(14,19),-0.454697 # DEPENDENCYPART_GRANDPAR
(2,18),(18,7),0.386828 # DEPENDENCYPART_GRANDPAR
(2,18),(18,11),-0.128259 # DEPENDENCYPART_GRANDPAR
(2,18),(18,12),0.0190762 # DEPENDENCYPART_GRANDPAR
(2,18),(18,13),-0.347534 # DEPENDENCYPART_GRANDPAR
(2,18),(18,14),-0.403843 # DEPENDENCYPART_GRANDPAR
(2,18),(18,15),-0.122207 # DEPENDENCYPART_GRANDPAR
(2,18),(18,16),0.135721 # DEPENDENCYPART_GRANDPAR
(2,18),(18,17),-0.41745 # DEPENDENCYPART_GRANDPAR
(2,18),(18,19),-0.467488 # DEPENDENCYPART_GRANDPAR
(2,19),(19,18),-0.696723 # DEPENDENCYPART_GRANDPAR
(4,1),(1,2),0.128303 # DEPENDENCYPART_GRANDPAR
(4,1),(1,3),0.152214 # DEPENDENCYPART_GRANDPAR
(4,1),(1,4),-1.07325 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,1),(1,5),0.384836 # DEPENDENCYPART_GRANDPAR
(4,1),(1,6),0.0121675 # DEPENDENCYPART_GRANDPAR
(4,1),(1,7),0.0297468 # DEPENDENCYPART_GRANDPAR
(4,1),(1,8),-0.00735555 # DEPENDENCYPART_GRANDPAR
(4,1),(1,9),-0.0904616 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),0.173649 # DEPENDENCYPART_GRANDPAR
(4,2),(2,3),0.369908 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-1.10549 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,2),(2,5),0.369583 # DEPENDENCYPART_GRANDPAR
(4,2),(2,6),-0.00309262 # DEPENDENCYPART_GRANDPAR
(4,2),(2,7),-0.0701673 # DEPENDENCYPART_GRANDPAR
(4,2),(2,8),0.0147959 # DEPENDENCYPART_GRANDPAR
(4,2),(2,9),-0.138358 # DEPENDENCYPART_GRANDPAR
(4,2),(2,10),-0.224801 # DEPENDENCYPART_GRANDPAR
(4,2),(2,11),-0.357467 # DEPENDENCYPART_GRANDPAR
(4,2),(2,14),-0.289954 # DEPENDENCYPART_GRANDPAR
(4,2),(2,18),-0.393648 # DEPENDENCYPART_GRANDPAR
(4,2),(2,19),-1.00256 # DEPENDENCYPART_GRANDPAR
(4,5),(5,1),-0.227213 # DEPENDENCYPART_GRANDPAR
(4,5),(5,2),-0.147746 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),-0.573143 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,6),0.377798 # DEPENDENCYPART_GRANDPAR
(4,5),(5,7),0.539419 # DEPENDENCYPART_GRANDPAR
(4,5),(5,8),0.405352 # DEPENDENCYPART_GRANDPAR
(4,5),(5,9),0.328847 # DEPENDENCYPART_GRANDPAR
(4,5),(5,11),0.00103083 # DEPENDENCYPART_GRANDPAR
(4,5),(5,15),-0.246835 # DEPENDENCYPART_GRANDPAR
(4,6),(6,1),-0.227213 # DEPENDENCYPART_GRANDPAR
(4,6),(6,2),-0.147746 # DEPENDENCYPART_GRANDPAR
(4,6),(6,3),-0.301269 # DEPENDENCYPART_GRANDPAR
(4,6),(6,4),-0.571757 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,6),(6,5),0.788562 # DEPENDENCYPART_GRANDPAR
(4,6),(6,7),0.529496 # DEPENDENCYPART_GRANDPAR
(4,6),(6,8),0.408041 # DEPENDENCYPART_GRANDPAR
(4,6),(6,9),0.331183 # DEPENDENCYPART_GRANDPAR
(4,6),(6,11),0.00569043 # DEPENDENCYPART_GRANDPAR
(4,7),(7,6),0.375575 # DEPENDENCYPART_GRANDPAR
(4,8),(8,2),-0.118618 # DEPENDENCYPART_GRANDPAR
(4,8),(8,4),-0.387393 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,8),(8,5),0.814634 # DEPENDENCYPART_GRANDPAR
(4,8),(8,6),0.454857 # DEPENDENCYPART_GRANDPAR
(4,8),(8,7),0.694679 # DEPENDENCYPART_GRANDPAR
(4,8),(8,9),0.364832 # DEPENDENCYPART_GRANDPAR
(4,8),(8,10),0.288799 # DEPENDENCYPART_GRANDPAR
(4,8),(8,11),-0.0411314 # DEPENDENCYPART_GRANDPAR
(4,8),(8,14),0.240709 # DEPENDENCYPART_GRANDPAR
(4,8),(8,15),-0.286272 # DEPENDENCYPART_GRANDPAR
(4,8),(8,18),0.155003 # DEPENDENCYPART_GRANDPAR
(4,8),(8,19),-0.480014 # DEPENDENCYPART_GRANDPAR
(4,9),(9,1),-0.437442 # DEPENDENCYPART_GRANDPAR
(4,9),(9,2),-0.262219 # DEPENDENCYPART_GRANDPAR
(4,9),(9,3),-0.440766 # DEPENDENCYPART_GRANDPAR
(4,9),(9,4),-0.434913 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,9),(9,5),0.903566 # DEPENDENCYPART_GRANDPAR
(4,9),(9,6),0.518128 # DEPENDENCYPART_GRANDPAR
(4,9),(9,7),0.50444 # DEPENDENCYPART_GRANDPAR
(4,9),(9,8),0.372013 # DEPENDENCYPART_GRANDPAR
(4,9),(9,10),0.286378 # DEPENDENCYPART_GRANDPAR
(4,9),(9,11),0.124293 # DEPENDENCYPART_GRANDPAR
(4,9),(9,14),0.275321 # DEPENDENCYPART_GRANDPAR
(4,9),(9,15),-0.153401 # DEPENDENCYPART_GRANDPAR
(4,9),(9,18),0.197587 # DEPENDENCYPART_GRANDPAR
(4,9),(9,19),-0.548203 # DEPENDENCYPART_GRANDPAR
(4,10),(10,1),-0.387033 # DEPENDENCYPART_GRANDPAR
(4,10),(10,2),-0.227962 # DEPENDENCYPART_GRANDPAR
(4,10),(10,3),-0.420991 # DEPENDENCYPART_GRANDPAR
(4,10),(10,4),-0.440648 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,10),(10,5),0.837727 # DEPENDENCYPART_GRANDPAR
(4,10),(10,6),0.461478 # DEPENDENCYPART_GRANDPAR
(4,10),(10,7),0.460202 # DEPENDENCYPART_GRANDPAR
(4,10),(10,8),0.392945 # DEPENDENCYPART_GRANDPAR
(4,10),(10,9),0.470234 # DEPENDENCYPART_GRANDPAR
(4,10),(10,11),0.0894718 # DEPENDENCYPART_GRANDPAR
(4,10),(10,12),-0.0378557 # DEPENDENCYPART_GRANDPAR
(4,10),(10,13),0.119518 # DEPENDENCYPART_GRANDPAR
(4,10),(10,14),0.194675 # DEPENDENCYPART_GRANDPAR
(4,10),(10,15),-0.158378 # DEPENDENCYPART_GRANDPAR
(4,10),(10,17),-0.0336134 # DEPENDENCYPART_GRANDPAR
(4,10),(10,18),0.112573 # DEPENDENCYPART_GRANDPAR
(4,10),(10,19),-0.627504 # DEPENDENCYPART_GRANDPAR
(4,11),(11,12),-0.00216144 # DEPENDENCYPART_GRANDPAR
(4,11),(11,13),0.137902 # DEPENDENCYPART_GRANDPAR
(4,11),(11,14),0.219699 # DEPENDENCYPART_GRANDPAR
(4,11),(11,15),-0.256662 # DEPENDENCYPART_GRANDPAR
(4,11),(11,17),-0.0157137 # DEPENDENCYPART_GRANDPAR
(4,11),(11,18),0.133536 # DEPENDENCYPART_GRANDPAR
(4,11),(11,19),-0.613752 # DEPENDENCYPART_GRANDPAR
(4,13),(13,12),0.0358847 # DEPENDENCYPART_GRANDPAR
(4,13),(13,15),-0.222877 # DEPENDENCYPART_GRANDPAR
(4,13),(13,18),0.0404007 # DEPENDENCYPART_GRANDPAR
(4,14),(14,7),0.701713 # DEPENDENCYPART_GRANDPAR
(4,14),(14,8),0.555459 # DEPENDENCYPART_GRANDPAR
(4,14),(14,11),-0.0579782 # DEPENDENCYPART_GRANDPAR
(4,14),(14,12),0.144818 # DEPENDENCYPART_GRANDPAR
(4,14),(14,13),0.144449 # DEPENDENCYPART_GRANDPAR
(4,14),(14,15),-0.320585 # DEPENDENCYPART_GRANDPAR
(4,14),(14,16),-0.356953 # DEPENDENCYPART_GRANDPAR
(4,14),(14,17),0.0130234 # DEPENDENCYPART_GRANDPAR
(4,14),(14,18),0.139491 # DEPENDENCYPART_GRANDPAR
(4,14),(14,19),-0.493037 # DEPENDENCYPART_GRANDPAR
(4,15),(15,11),-0.0785952 # DEPENDENCYPART_GRANDPAR
(4,15),(15,13),-0.0709267 # DEPENDENCYPART_GRANDPAR
(4,15),(15,14),-0.0898638 # DEPENDENCYPART_GRANDPAR
(4,15),(15,16),-0.360397 # DEPENDENCYPART_GRANDPAR
(4,15),(15,17),0.0250391 # DEPENDENCYPART_GRANDPAR
(4,15),(15,18),0.0927589 # DEPENDENCYPART_GRANDPAR
(4,15),(15,19),-0.622326 # DEPENDENCYPART_GRANDPAR
(4,18),(18,7),0.694679 # DEPENDENCYPART_GRANDPAR
(4,18),(18,11),-0.0515973 # DEPENDENCYPART_GRANDPAR
(4,18),(18,12),0.166707 # DEPENDENCYPART_GRANDPAR
(4,18),(18,13),0.155408 # DEPENDENCYPART_GRANDPAR
(4,18),(18,14),0.291356 # DEPENDENCYPART_GRANDPAR
(4,18),(18,15),-0.28053 # DEPENDENCYPART_GRANDPAR
(4,18),(18,16),-0.114058 # DEPENDENCYPART_GRANDPAR
(4,18),(18,17),0.00275868 # DEPENDENCYPART_GRANDPAR
(4,18),(18,19),-0.478291 # DEPENDENCYPART_GRANDPAR
(4,19),(19,18),-0.121617 # DEPENDENCYPART_GRANDPAR
(5,1),(1,2),-0.682825 # DEPENDENCYPART_GRANDPAR
(5,1),(1,3),-0.620394 # DEPENDENCYPART_GRANDPAR
(5,1),(1,4),-0.52792 # DEPENDENCYPART_GRANDPAR
(5,1),(1,5),-1.25287 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,1),(1,6),-0.278972 # DEPENDENCYPART_GRANDPAR
(5,1),(1,7),-0.445406 # DEPENDENCYPART_GRANDPAR
(5,1),(1,8),-0.465059 # DEPENDENCYPART_GRANDPAR
(5,1),(1,9),-0.536221 # DEPENDENCYPART_GRANDPAR
(5,2),(2,1),-0.483015 # DEPENDENCYPART_GRANDPAR
(5,2),(2,3),-0.515777 # DEPENDENCYPART_GRANDPAR
(5,2),(2,4),-0.349626 # DEPENDENCYPART_GRANDPAR
(5,2),(2,5),-1.25721 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,2),(2,6),-0.283324 # DEPENDENCYPART_GRANDPAR
(5,2),(2,7),-0.505837 # DEPENDENCYPART_GRANDPAR
(5,2),(2,8),-0.395528 # DEPENDENCYPART_GRANDPAR
(5,2),(2,9),-0.564619 # DEPENDENCYPART_GRANDPAR
(5,2),(2,10),-0.624654 # DEPENDENCYPART_GRANDPAR
(5,2),(2,11),-0.557936 # DEPENDENCYPART_GRANDPAR
(5,2),(2,14),-0.773805 # DEPENDENCYPART_GRANDPAR
(5,2),(2,18),-0.889906 # DEPENDENCYPART_GRANDPAR
(5,2),(2,19),-0.895391 # DEPENDENCYPART_GRANDPAR
(5,4),(4,1),-0.405302 # DEPENDENCYPART_GRANDPAR
(5,4),(4,2),-0.52395 # DEPENDENCYPART_GRANDPAR
(5,4),(4,3),-0.54005 # DEPENDENCYPART_GRANDPAR
(5,4),(4,5),-1.25212 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,4),(4,6),-0.278235 # DEPENDENCYPART_GRANDPAR
(5,4),(4,7),-0.469571 # DEPENDENCYPART_GRANDPAR
(5,4),(4,8),-0.507787 # DEPENDENCYPART_GRANDPAR
(5,4),(4,9),-0.59229 # DEPENDENCYPART_GRANDPAR
(5,4),(4,10),-0.651963 # DEPENDENCYPART_GRANDPAR
(5,4),(4,11),-0.655621 # DEPENDENCYPART_GRANDPAR
(5,4),(4,13),-0.766832 # DEPENDENCYPART_GRANDPAR
(5,4),(4,14),-0.886705 # DEPENDENCYPART_GRANDPAR
(5,4),(4,15),-0.410898 # DEPENDENCYPART_GRANDPAR
(5,4),(4,18),-1.00216 # DEPENDENCYPART_GRANDPAR
(5,4),(4,19),-0.897103 # DEPENDENCYPART_GRANDPAR
(5,6),(6,1),-0.813204 # DEPENDENCYPART_GRANDPAR
(5,6),(6,2),-1.04329 # DEPENDENCYPART_GRANDPAR
(5,6),(6,3),-0.955287 # DEPENDENCYPART_GRANDPAR
(5,6),(6,4),-0.890313 # DEPENDENCYPART_GRANDPAR
(5,6),(6,5),-0.888828 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,6),(6,7),-0.114482 # DEPENDENCYPART_GRANDPAR
(5,6),(6,8),-0.110175 # DEPENDENCYPART_GRANDPAR
(5,6),(6,9),-0.196352 # DEPENDENCYPART_GRANDPAR
(5,6),(6,11),-0.295342 # DEPENDENCYPART_GRANDPAR
(5,7),(7,6),0.0774369 # DEPENDENCYPART_GRANDPAR
(5,8),(8,2),-0.993867 # DEPENDENCYPART_GRANDPAR
(5,8),(8,4),-0.929782 # DEPENDENCYPART_GRANDPAR
(5,8),(8,5),-0.898226 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,8),(8,6),0.0862996 # DEPENDENCYPART_GRANDPAR
(5,8),(8,7),-0.00441981 # DEPENDENCYPART_GRANDPAR
(5,8),(8,9),-0.166807 # DEPENDENCYPART_GRANDPAR
(5,8),(8,10),-0.218571 # DEPENDENCYPART_GRANDPAR
(5,8),(8,11),-0.287011 # DEPENDENCYPART_GRANDPAR
(5,8),(8,14),-0.423347 # DEPENDENCYPART_GRANDPAR
(5,8),(8,15),-0.0325616 # DEPENDENCYPART_GRANDPAR
(5,8),(8,18),-0.532575 # DEPENDENCYPART_GRANDPAR
(5,8),(8,19),-0.466078 # DEPENDENCYPART_GRANDPAR
(5,9),(9,1),-0.8794 # DEPENDENCYPART_GRANDPAR
(5,9),(9,2),-1.07722 # DEPENDENCYPART_GRANDPAR
(5,9),(9,3),-0.979364 # DEPENDENCYPART_GRANDPAR
(5,9),(9,4),-0.964741 # DEPENDENCYPART_GRANDPAR
(5,9),(9,5),-0.814536 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,9),(9,6),0.151498 # DEPENDENCYPART_GRANDPAR
(5,9),(9,7),0.00171742 # DEPENDENCYPART_GRANDPAR
(5,9),(9,8),0.0461113 # DEPENDENCYPART_GRANDPAR
(5,9),(9,10),-0.292688 # DEPENDENCYPART_GRANDPAR
(5,9),(9,11),-0.194855 # DEPENDENCYPART_GRANDPAR
(5,9),(9,14),-0.411109 # DEPENDENCYPART_GRANDPAR
(5,9),(9,15),0.0170344 # DEPENDENCYPART_GRANDPAR
(5,9),(9,18),-0.519468 # DEPENDENCYPART_GRANDPAR
(5,9),(9,19),-0.491904 # DEPENDENCYPART_GRANDPAR
(5,11),(11,12),-0.222147 # DEPENDENCYPART_GRANDPAR
(5,11),(11,13),-0.348932 # DEPENDENCYPART_GRANDPAR
(5,11),(11,14),-0.361094 # DEPENDENCYPART_GRANDPAR
(5,11),(11,15),-0.00498697 # DEPENDENCYPART_GRANDPAR
(5,11),(11,17),-0.488114 # DEPENDENCYPART_GRANDPAR
(5,11),(11,18),-0.472027 # DEPENDENCYPART_GRANDPAR
(5,11),(11,19),-0.538906 # DEPENDENCYPART_GRANDPAR
(5,15),(15,11),-0.165657 # DEPENDENCYPART_GRANDPAR
(5,15),(15,13),-0.375011 # DEPENDENCYPART_GRANDPAR
(5,15),(15,14),-0.483502 # DEPENDENCYPART_GRANDPAR
(5,15),(15,16),-0.318892 # DEPENDENCYPART_GRANDPAR
(5,15),(15,17),-0.479467 # DEPENDENCYPART_GRANDPAR
(5,15),(15,18),-0.571163 # DEPENDENCYPART_GRANDPAR
(5,15),(15,19),-0.570036 # DEPENDENCYPART_GRANDPAR
(6,1),(1,2),-0.0900114 # DEPENDENCYPART_GRANDPAR
(6,1),(1,3),-0.157091 # DEPENDENCYPART_GRANDPAR
(6,1),(1,4),-0.0261886 # DEPENDENCYPART_GRANDPAR
(6,1),(1,5),0.0572056 # DEPENDENCYPART_GRANDPAR
(6,1),(1,6),-1.16469 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,1),(1,7),-0.220526 # DEPENDENCYPART_GRANDPAR
(6,1),(1,8),-0.343457 # DEPENDENCYPART_GRANDPAR
(6,1),(1,9),-0.4513 # DEPENDENCYPART_GRANDPAR
(6,2),(2,1),0.0434391 # DEPENDENCYPART_GRANDPAR
(6,2),(2,3),-0.0550805 # DEPENDENCYPART_GRANDPAR
(6,2),(2,4),0.149276 # DEPENDENCYPART_GRANDPAR
(6,2),(2,5),0.07555 # DEPENDENCYPART_GRANDPAR
(6,2),(2,6),-1.16904 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,2),(2,7),-0.280957 # DEPENDENCYPART_GRANDPAR
(6,2),(2,8),-0.273926 # DEPENDENCYPART_GRANDPAR
(6,2),(2,9),-0.479697 # DEPENDENCYPART_GRANDPAR
(6,2),(2,10),-0.554948 # DEPENDENCYPART_GRANDPAR
(6,2),(2,11),-0.464547 # DEPENDENCYPART_GRANDPAR
(6,2),(2,14),-0.740561 # DEPENDENCYPART_GRANDPAR
(6,2),(2,18),-0.860543 # DEPENDENCYPART_GRANDPAR
(6,2),(2,19),-0.822958 # DEPENDENCYPART_GRANDPAR
(6,4),(4,1),0.113516 # DEPENDENCYPART_GRANDPAR
(6,4),(4,2),0.0685485 # DEPENDENCYPART_GRANDPAR
(6,4),(4,3),-0.0823319 # DEPENDENCYPART_GRANDPAR
(6,4),(4,5),0.075989 # DEPENDENCYPART_GRANDPAR
(6,4),(4,6),-1.16395 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,4),(4,7),-0.244691 # DEPENDENCYPART_GRANDPAR
(6,4),(4,8),-0.386185 # DEPENDENCYPART_GRANDPAR
(6,4),(4,9),-0.507368 # DEPENDENCYPART_GRANDPAR
(6,4),(4,10),-0.582257 # DEPENDENCYPART_GRANDPAR
(6,4),(4,11),-0.562231 # DEPENDENCYPART_GRANDPAR
(6,4),(4,13),-0.616905 # DEPENDENCYPART_GRANDPAR
(6,4),(4,14),-0.853462 # DEPENDENCYPART_GRANDPAR
(6,4),(4,15),-0.306598 # DEPENDENCYPART_GRANDPAR
(6,4),(4,18),-0.972802 # DEPENDENCYPART_GRANDPAR
(6,4),(4,19),-0.82467 # DEPENDENCYPART_GRANDPAR
(6,5),(5,1),0.00102482 # DEPENDENCYPART_GRANDPAR
(6,5),(5,2),-0.118434 # DEPENDENCYPART_GRANDPAR
(6,5),(5,4),-0.0320644 # DEPENDENCYPART_GRANDPAR
(6,5),(5,6),-1.16732 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,5),(5,7),-0.21905 # DEPENDENCYPART_GRANDPAR
(6,5),(5,8),-0.323354 # DEPENDENCYPART_GRANDPAR
(6,5),(5,9),-0.446095 # DEPENDENCYPART_GRANDPAR
(6,5),(5,11),-0.498671 # DEPENDENCYPART_GRANDPAR
(6,5),(5,15),-0.242868 # DEPENDENCYPART_GRANDPAR
