# _root_ `` We did n't trade much today , as our policy now is to wait and see , '' said a fund manager at Taisho Life Insurance Co .
#goldHeads=20,3,20,3,3,5,5,5,5,11,13,11,9,13,14,15,16,20,20,0,23,23,20,23,27,27,24,27,20,
#predictedHeads=20,3,20,3,3,7,5,5,5,11,13,13,9,13,14,15,16,20,20,0,23,23,20,23,27,27,24,27,20,
(13,9),(13,24),-0.0813854 # DEPENDENCYPART_SIBL
(13,9),(13,27),-0.0547017 # DEPENDENCYPART_SIBL
(13,9),(13,28),-0.0671 # DEPENDENCYPART_SIBL
(13,9),(13,29),0.0526205 # DEPENDENCYPART_SIBL
(13,10),(13,11),-0.13657 # DEPENDENCYPART_SIBL
(13,10),(13,12),-0.0573417 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0905321 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.0797429 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0226575 # DEPENDENCYPART_SIBL
(13,10),(13,17),-0.0882707 # DEPENDENCYPART_SIBL
(13,10),(13,18),-0.0089841 # DEPENDENCYPART_SIBL
(13,10),(13,19),-0.00272865 # DEPENDENCYPART_SIBL
(13,10),(13,20),-0.0630914 # DEPENDENCYPART_SIBL
(13,10),(13,23),-0.024608 # DEPENDENCYPART_SIBL
(13,10),(13,24),-0.105282 # DEPENDENCYPART_SIBL
(13,10),(13,27),-0.00630774 # DEPENDENCYPART_SIBL
(13,10),(13,28),-0.0333075 # DEPENDENCYPART_SIBL
(13,10),(13,29),-0.11807 # DEPENDENCYPART_SIBL
(13,11),(13,12),-0.167014 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.0412458 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0454641 # DEPENDENCYPART_SIBL
(13,11),(13,16),0.0472528 # DEPENDENCYPART_SIBL
(13,11),(13,17),-0.0322306 # DEPENDENCYPART_SIBL
(13,11),(13,18),0.00563176 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.0178391 # DEPENDENCYPART_SIBL
(13,11),(13,20),-0.0580267 # DEPENDENCYPART_SIBL
(13,11),(13,23),-0.078414 # DEPENDENCYPART_SIBL
(13,11),(13,24),-0.0412964 # DEPENDENCYPART_SIBL
(13,11),(13,27),0.0180764 # DEPENDENCYPART_SIBL
(13,11),(13,28),-0.0550459 # DEPENDENCYPART_SIBL
(13,11),(13,29),-0.073987 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.179503 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0418416 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.035899 # DEPENDENCYPART_SIBL
(13,12),(13,17),-0.070809 # DEPENDENCYPART_SIBL
(13,12),(13,18),-0.00499587 # DEPENDENCYPART_SIBL
(13,12),(13,19),0.0880686 # DEPENDENCYPART_SIBL
(13,12),(13,20),-0.0474135 # DEPENDENCYPART_SIBL
(13,12),(13,23),-0.0230164 # DEPENDENCYPART_SIBL
(13,12),(13,24),-0.173774 # DEPENDENCYPART_SIBL
(13,12),(13,27),0.00109861 # DEPENDENCYPART_SIBL
(13,12),(13,28),-0.0298618 # DEPENDENCYPART_SIBL
(13,12),(13,29),0.118998 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.22743 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.0464393 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.220744 # DEPENDENCYPART_SIBL
(13,14),(13,18),-0.0356407 # DEPENDENCYPART_SIBL
(13,14),(13,19),-0.0666283 # DEPENDENCYPART_SIBL
(13,14),(13,20),-0.106178 # DEPENDENCYPART_SIBL
(13,14),(13,23),-0.163017 # DEPENDENCYPART_SIBL
(13,14),(13,24),-0.15273 # DEPENDENCYPART_SIBL
(13,14),(13,27),-0.137771 # DEPENDENCYPART_SIBL
(13,14),(13,28),-0.138205 # DEPENDENCYPART_SIBL
(13,14),(13,29),-0.00123182 # DEPENDENCYPART_SIBL
(13,15),(13,16),0.0197738 # DEPENDENCYPART_SIBL
(13,15),(13,17),-0.493827 # DEPENDENCYPART_SIBL
(13,15),(13,18),0.00163939 # DEPENDENCYPART_SIBL
(13,15),(13,19),0.00441506 # DEPENDENCYPART_SIBL
(13,15),(13,20),-0.170464 # DEPENDENCYPART_SIBL
(13,15),(13,23),-0.291513 # DEPENDENCYPART_SIBL
(13,15),(13,24),-0.15272 # DEPENDENCYPART_SIBL
(13,15),(13,27),-0.237554 # DEPENDENCYPART_SIBL
(13,15),(13,28),-0.236747 # DEPENDENCYPART_SIBL
(13,15),(13,29),-0.00801639 # DEPENDENCYPART_SIBL
(13,16),(13,17),-0.191307 # DEPENDENCYPART_SIBL
(13,16),(13,18),-0.0377599 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.0336294 # DEPENDENCYPART_SIBL
(13,16),(13,20),-0.113718 # DEPENDENCYPART_SIBL
(13,16),(13,23),-0.0464627 # DEPENDENCYPART_SIBL
(13,16),(13,24),-0.149887 # DEPENDENCYPART_SIBL
(13,16),(13,27),-0.0818506 # DEPENDENCYPART_SIBL
(13,16),(13,28),-0.102822 # DEPENDENCYPART_SIBL
(13,16),(13,29),0.00647169 # DEPENDENCYPART_SIBL
(13,17),(13,18),0.0182937 # DEPENDENCYPART_SIBL
(13,17),(13,19),-0.00784734 # DEPENDENCYPART_SIBL
(13,17),(13,20),-0.17361 # DEPENDENCYPART_SIBL
(13,17),(13,23),-0.295576 # DEPENDENCYPART_SIBL
(13,17),(13,24),-0.159432 # DEPENDENCYPART_SIBL
(13,17),(13,27),-0.238633 # DEPENDENCYPART_SIBL
(13,17),(13,28),-0.237826 # DEPENDENCYPART_SIBL
(13,17),(13,29),0.0146901 # DEPENDENCYPART_SIBL
(13,18),(13,19),0.0496837 # DEPENDENCYPART_SIBL
(13,18),(13,20),-0.0959908 # DEPENDENCYPART_SIBL
(13,18),(13,23),0.249458 # DEPENDENCYPART_SIBL
(13,18),(13,24),0.323041 # DEPENDENCYPART_SIBL
(13,18),(13,27),0.200967 # DEPENDENCYPART_SIBL
(13,18),(13,28),0.131693 # DEPENDENCYPART_SIBL
(13,18),(13,29),0.0047359 # DEPENDENCYPART_SIBL
(13,19),(13,20),-0.133477 # DEPENDENCYPART_SIBL
(13,19),(13,23),0.00733374 # DEPENDENCYPART_SIBL
(13,19),(13,24),0.129301 # DEPENDENCYPART_SIBL
(13,19),(13,27),-0.0695601 # DEPENDENCYPART_SIBL
(13,19),(13,28),-0.0696287 # DEPENDENCYPART_SIBL
(13,19),(13,29),-0.0645488 # DEPENDENCYPART_SIBL
(13,20),(13,23),-0.27022 # DEPENDENCYPART_SIBL
(13,20),(13,24),-0.189911 # DEPENDENCYPART_SIBL
(13,20),(13,27),-0.227528 # DEPENDENCYPART_SIBL
(13,20),(13,28),-0.229572 # DEPENDENCYPART_SIBL
(13,20),(13,29),0.0109698 # DEPENDENCYPART_SIBL
(13,23),(13,24),0.00910211 # DEPENDENCYPART_SIBL
(13,23),(13,27),-0.19021 # DEPENDENCYPART_SIBL
(13,23),(13,28),-0.185412 # DEPENDENCYPART_SIBL
(13,23),(13,29),0.00255902 # DEPENDENCYPART_SIBL
(13,24),(13,27),-0.128376 # DEPENDENCYPART_SIBL
(13,24),(13,28),-0.125309 # DEPENDENCYPART_SIBL
(13,24),(13,29),-0.0513089 # DEPENDENCYPART_SIBL
(13,27),(13,28),-0.236559 # DEPENDENCYPART_SIBL
(13,27),(13,29),-0.00795001 # DEPENDENCYPART_SIBL
(13,28),(13,29),-0.0745259 # DEPENDENCYPART_SIBL
(14,11),(14,12),0.0339658 # DEPENDENCYPART_SIBL
(14,11),(14,15),0.0718351 # DEPENDENCYPART_SIBL
(14,11),(14,16),0.193989 # DEPENDENCYPART_SIBL
(14,11),(14,17),0.0833613 # DEPENDENCYPART_SIBL
(14,11),(14,18),0.00927377 # DEPENDENCYPART_SIBL
(14,12),(14,15),-0.0937075 # DEPENDENCYPART_SIBL
(14,12),(14,16),-0.0717704 # DEPENDENCYPART_SIBL
(14,12),(14,17),-0.0968692 # DEPENDENCYPART_SIBL
(14,12),(14,18),-0.0999688 # DEPENDENCYPART_SIBL
(14,15),(14,16),0.240517 # DEPENDENCYPART_SIBL
(14,15),(14,17),-0.796808 # DEPENDENCYPART_SIBL
(14,15),(14,18),0.21698 # DEPENDENCYPART_SIBL
(14,16),(14,17),-0.0997704 # DEPENDENCYPART_SIBL
(14,16),(14,18),-0.0249544 # DEPENDENCYPART_SIBL
(14,17),(14,18),0.201461 # DEPENDENCYPART_SIBL
(15,1),(15,3),0.0699924 # DEPENDENCYPART_SIBL
(15,1),(15,5),0.0291447 # DEPENDENCYPART_SIBL
(15,1),(15,6),0.0526888 # DEPENDENCYPART_SIBL
(15,1),(15,7),0.0789577 # DEPENDENCYPART_SIBL
(15,1),(15,8),-0.00294952 # DEPENDENCYPART_SIBL
(15,1),(15,9),-0.041921 # DEPENDENCYPART_SIBL
(15,1),(15,10),0.0395375 # DEPENDENCYPART_SIBL
(15,1),(15,11),0.0884244 # DEPENDENCYPART_SIBL
(15,1),(15,12),0.036762 # DEPENDENCYPART_SIBL
(15,1),(15,13),0.205949 # DEPENDENCYPART_SIBL
(15,1),(15,14),-0.0222073 # DEPENDENCYPART_SIBL
(15,1),(15,16),-0.061102 # DEPENDENCYPART_SIBL
(15,1),(15,17),0.00772863 # DEPENDENCYPART_SIBL
(15,1),(15,18),-0.0146091 # DEPENDENCYPART_SIBL
(15,1),(15,19),0.70364 # DEPENDENCYPART_SIBL
(15,1),(15,20),-0.0518796 # DEPENDENCYPART_SIBL
(15,1),(15,22),0.0207635 # DEPENDENCYPART_SIBL
(15,1),(15,23),0.0323038 # DEPENDENCYPART_SIBL
(15,1),(15,24),0.0456538 # DEPENDENCYPART_SIBL
(15,1),(15,25),0.025027 # DEPENDENCYPART_SIBL
(15,1),(15,26),0.00750735 # DEPENDENCYPART_SIBL
(15,1),(15,27),0.0223277 # DEPENDENCYPART_SIBL
(15,1),(15,28),0.0237827 # DEPENDENCYPART_SIBL
(15,1),(15,29),0.139191 # DEPENDENCYPART_SIBL
(15,3),(15,5),-0.0281286 # DEPENDENCYPART_SIBL
(15,3),(15,6),0.02189 # DEPENDENCYPART_SIBL
(15,3),(15,7),0.0103141 # DEPENDENCYPART_SIBL
(15,3),(15,8),0.147087 # DEPENDENCYPART_SIBL
(15,3),(15,9),-0.118233 # DEPENDENCYPART_SIBL
(15,3),(15,10),-0.0173266 # DEPENDENCYPART_SIBL
(15,3),(15,11),0.0109145 # DEPENDENCYPART_SIBL
(15,3),(15,12),-0.0166577 # DEPENDENCYPART_SIBL
(15,3),(15,13),-0.0261665 # DEPENDENCYPART_SIBL
(15,3),(15,14),-0.055639 # DEPENDENCYPART_SIBL
(15,3),(15,16),-0.0780028 # DEPENDENCYPART_SIBL
(15,3),(15,17),-0.0575736 # DEPENDENCYPART_SIBL
(15,3),(15,18),-0.0700011 # DEPENDENCYPART_SIBL
(15,3),(15,19),-0.0037385 # DEPENDENCYPART_SIBL
(15,3),(15,20),-0.0846193 # DEPENDENCYPART_SIBL
(15,3),(15,22),-0.041038 # DEPENDENCYPART_SIBL
(15,3),(15,23),-0.0356905 # DEPENDENCYPART_SIBL
(15,3),(15,24),-0.00747127 # DEPENDENCYPART_SIBL
(15,3),(15,25),-0.0304367 # DEPENDENCYPART_SIBL
(15,3),(15,26),-0.0236281 # DEPENDENCYPART_SIBL
(15,3),(15,27),-0.0292202 # DEPENDENCYPART_SIBL
(15,3),(15,28),-0.0304819 # DEPENDENCYPART_SIBL
(15,3),(15,29),0.0455504 # DEPENDENCYPART_SIBL
(15,5),(15,6),0.0269581 # DEPENDENCYPART_SIBL
(15,5),(15,7),-0.0306287 # DEPENDENCYPART_SIBL
(15,5),(15,8),0.0585636 # DEPENDENCYPART_SIBL
(15,5),(15,9),-0.0808133 # DEPENDENCYPART_SIBL
(15,5),(15,10),-0.00149309 # DEPENDENCYPART_SIBL
(15,5),(15,11),-0.0306095 # DEPENDENCYPART_SIBL
(15,5),(15,12),0.00771772 # DEPENDENCYPART_SIBL
(15,5),(15,13),0.00714115 # DEPENDENCYPART_SIBL
(15,5),(15,14),-0.0420409 # DEPENDENCYPART_SIBL
(15,5),(15,16),-0.00668348 # DEPENDENCYPART_SIBL
(15,5),(15,17),-0.0301019 # DEPENDENCYPART_SIBL
(15,5),(15,18),-0.0887599 # DEPENDENCYPART_SIBL
(15,5),(15,19),-0.0434419 # DEPENDENCYPART_SIBL
(15,5),(15,20),-0.046511 # DEPENDENCYPART_SIBL
(15,5),(15,22),-0.033948 # DEPENDENCYPART_SIBL
(15,5),(15,23),-0.033063 # DEPENDENCYPART_SIBL
(15,5),(15,24),0.0673739 # DEPENDENCYPART_SIBL
(15,5),(15,25),0.014365 # DEPENDENCYPART_SIBL
(15,5),(15,26),0.0190513 # DEPENDENCYPART_SIBL
(15,5),(15,27),0.0156423 # DEPENDENCYPART_SIBL
(15,5),(15,28),0.0143282 # DEPENDENCYPART_SIBL
(15,5),(15,29),0.0376747 # DEPENDENCYPART_SIBL
(15,6),(15,7),-0.0660201 # DEPENDENCYPART_SIBL
(15,6),(15,8),-0.0250995 # DEPENDENCYPART_SIBL
(15,6),(15,9),0.146617 # DEPENDENCYPART_SIBL
(15,6),(15,10),-0.128596 # DEPENDENCYPART_SIBL
(15,6),(15,11),-0.0394691 # DEPENDENCYPART_SIBL
(15,6),(15,12),-0.00429323 # DEPENDENCYPART_SIBL
(15,6),(15,13),-0.0225369 # DEPENDENCYPART_SIBL
(15,6),(15,14),0.0440182 # DEPENDENCYPART_SIBL
(15,6),(15,16),0.00480044 # DEPENDENCYPART_SIBL
(15,6),(15,17),0.0101765 # DEPENDENCYPART_SIBL
(15,6),(15,18),-0.03054 # DEPENDENCYPART_SIBL
(15,6),(15,19),0.0755281 # DEPENDENCYPART_SIBL
(15,6),(15,20),0.0370522 # DEPENDENCYPART_SIBL
(15,6),(15,22),0.0602806 # DEPENDENCYPART_SIBL
(15,6),(15,23),0.050016 # DEPENDENCYPART_SIBL
(15,6),(15,24),0.181677 # DEPENDENCYPART_SIBL
(15,6),(15,25),0.0448203 # DEPENDENCYPART_SIBL
(15,6),(15,26),0.0564644 # DEPENDENCYPART_SIBL
(15,6),(15,27),0.0477214 # DEPENDENCYPART_SIBL
(15,6),(15,28),0.0405672 # DEPENDENCYPART_SIBL
(15,6),(15,29),0.160465 # DEPENDENCYPART_SIBL
(15,7),(15,8),0.213073 # DEPENDENCYPART_SIBL
(15,7),(15,9),0.072326 # DEPENDENCYPART_SIBL
(15,7),(15,10),0.0339214 # DEPENDENCYPART_SIBL
(15,7),(15,11),-0.0994193 # DEPENDENCYPART_SIBL
(15,7),(15,12),0.16416 # DEPENDENCYPART_SIBL
(15,7),(15,13),0.073383 # DEPENDENCYPART_SIBL
(15,7),(15,14),-0.0027607 # DEPENDENCYPART_SIBL
(15,7),(15,16),0.0178915 # DEPENDENCYPART_SIBL
(15,7),(15,17),-0.0166328 # DEPENDENCYPART_SIBL
(15,7),(15,18),-0.121987 # DEPENDENCYPART_SIBL
(15,7),(15,19),0.00449482 # DEPENDENCYPART_SIBL
(15,7),(15,20),-0.0368856 # DEPENDENCYPART_SIBL
(15,7),(15,22),-0.0125515 # DEPENDENCYPART_SIBL
(15,7),(15,23),-0.0206588 # DEPENDENCYPART_SIBL
(15,7),(15,24),0.0530117 # DEPENDENCYPART_SIBL
(15,7),(15,25),-0.0438876 # DEPENDENCYPART_SIBL
(15,7),(15,26),-0.0528179 # DEPENDENCYPART_SIBL
(15,7),(15,27),-0.0249576 # DEPENDENCYPART_SIBL
(15,7),(15,28),-0.0605818 # DEPENDENCYPART_SIBL
(15,7),(15,29),0.120868 # DEPENDENCYPART_SIBL
(15,8),(15,9),0.000543132 # DEPENDENCYPART_SIBL
(15,8),(15,10),0.0233558 # DEPENDENCYPART_SIBL
(15,8),(15,11),0.0215834 # DEPENDENCYPART_SIBL
(15,8),(15,12),0.0784006 # DEPENDENCYPART_SIBL
(15,8),(15,13),0.00371696 # DEPENDENCYPART_SIBL
(15,8),(15,14),-0.00531627 # DEPENDENCYPART_SIBL
(15,8),(15,16),-0.0122981 # DEPENDENCYPART_SIBL
(15,8),(15,17),0.0510644 # DEPENDENCYPART_SIBL
(15,8),(15,18),0.0590346 # DEPENDENCYPART_SIBL
(15,8),(15,19),0.0661763 # DEPENDENCYPART_SIBL
(15,8),(15,20),0.209736 # DEPENDENCYPART_SIBL
(15,8),(15,22),-0.0189027 # DEPENDENCYPART_SIBL
(15,8),(15,23),-0.0278131 # DEPENDENCYPART_SIBL
(15,8),(15,24),0.0722522 # DEPENDENCYPART_SIBL
(15,8),(15,25),-0.000572824 # DEPENDENCYPART_SIBL
(15,8),(15,26),0.0330333 # DEPENDENCYPART_SIBL
(15,8),(15,27),0.0117714 # DEPENDENCYPART_SIBL
(15,8),(15,28),-0.00697322 # DEPENDENCYPART_SIBL
(15,8),(15,29),0.286063 # DEPENDENCYPART_SIBL
(15,9),(15,10),-0.00219332 # DEPENDENCYPART_SIBL
(15,9),(15,11),-0.0335296 # DEPENDENCYPART_SIBL
(15,9),(15,12),-0.0450698 # DEPENDENCYPART_SIBL
(15,9),(15,13),0.0212844 # DEPENDENCYPART_SIBL
(15,9),(15,14),0.0620051 # DEPENDENCYPART_SIBL
(15,9),(15,16),-0.0204425 # DEPENDENCYPART_SIBL
(15,9),(15,17),0.0284771 # DEPENDENCYPART_SIBL
(15,9),(15,18),-0.120172 # DEPENDENCYPART_SIBL
(15,9),(15,19),0.0330829 # DEPENDENCYPART_SIBL
(15,9),(15,20),-0.0774937 # DEPENDENCYPART_SIBL
(15,9),(15,22),-0.0889054 # DEPENDENCYPART_SIBL
(15,9),(15,23),-0.0886608 # DEPENDENCYPART_SIBL
(15,9),(15,24),0.0307403 # DEPENDENCYPART_SIBL
(15,9),(15,25),-0.0806545 # DEPENDENCYPART_SIBL
(15,9),(15,26),-0.0759121 # DEPENDENCYPART_SIBL
(15,9),(15,27),-0.0866675 # DEPENDENCYPART_SIBL
(15,9),(15,28),-0.0815449 # DEPENDENCYPART_SIBL
(15,9),(15,29),0.159321 # DEPENDENCYPART_SIBL
(15,10),(15,11),-0.000798355 # DEPENDENCYPART_SIBL
(15,10),(15,12),0.0268182 # DEPENDENCYPART_SIBL
(15,10),(15,13),0.00654782 # DEPENDENCYPART_SIBL
(15,10),(15,14),-0.0879254 # DEPENDENCYPART_SIBL
(15,10),(15,16),0.0167563 # DEPENDENCYPART_SIBL
(15,10),(15,17),-0.063676 # DEPENDENCYPART_SIBL
(15,10),(15,18),-0.00902751 # DEPENDENCYPART_SIBL
(15,10),(15,19),0.0442425 # DEPENDENCYPART_SIBL
(15,10),(15,20),-0.0403609 # DEPENDENCYPART_SIBL
(15,10),(15,22),-0.0255313 # DEPENDENCYPART_SIBL
(15,10),(15,23),-0.0307088 # DEPENDENCYPART_SIBL
(15,10),(15,24),-0.0357357 # DEPENDENCYPART_SIBL
(15,10),(15,25),-0.00771936 # DEPENDENCYPART_SIBL
(15,10),(15,26),-0.00312148 # DEPENDENCYPART_SIBL
(15,10),(15,27),-0.00653473 # DEPENDENCYPART_SIBL
(15,10),(15,28),-0.0136139 # DEPENDENCYPART_SIBL
(15,10),(15,29),0.0117203 # DEPENDENCYPART_SIBL
(15,11),(15,12),0.147453 # DEPENDENCYPART_SIBL
(15,11),(15,13),0.0552432 # DEPENDENCYPART_SIBL
(15,11),(15,14),-0.02293 # DEPENDENCYPART_SIBL
(15,11),(15,16),0.0500403 # DEPENDENCYPART_SIBL
(15,11),(15,17),-0.00129343 # DEPENDENCYPART_SIBL
(15,11),(15,18),-0.03958 # DEPENDENCYPART_SIBL
(15,11),(15,19),0.0142662 # DEPENDENCYPART_SIBL
(15,11),(15,20),-0.0418491 # DEPENDENCYPART_SIBL
(15,11),(15,22),0.000714209 # DEPENDENCYPART_SIBL
(15,11),(15,23),-0.00739052 # DEPENDENCYPART_SIBL
(15,11),(15,24),0.00502048 # DEPENDENCYPART_SIBL
(15,11),(15,25),-0.0384301 # DEPENDENCYPART_SIBL
(15,11),(15,26),-0.0473697 # DEPENDENCYPART_SIBL
(15,11),(15,27),-0.0194954 # DEPENDENCYPART_SIBL
(15,11),(15,28),-0.0551243 # DEPENDENCYPART_SIBL
(15,11),(15,29),-0.0159447 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.0300948 # DEPENDENCYPART_SIBL
(15,12),(15,14),0.0232048 # DEPENDENCYPART_SIBL
(15,12),(15,16),0.0682114 # DEPENDENCYPART_SIBL
(15,12),(15,17),-0.0836597 # DEPENDENCYPART_SIBL
(15,12),(15,18),-0.0697479 # DEPENDENCYPART_SIBL
(15,12),(15,19),0.0278885 # DEPENDENCYPART_SIBL
(15,12),(15,20),-0.0483857 # DEPENDENCYPART_SIBL
(15,12),(15,22),-0.0232762 # DEPENDENCYPART_SIBL
(15,12),(15,23),-0.0215955 # DEPENDENCYPART_SIBL
(15,12),(15,24),-0.0654035 # DEPENDENCYPART_SIBL
(15,12),(15,25),-0.0358299 # DEPENDENCYPART_SIBL
(15,12),(15,26),-0.0344059 # DEPENDENCYPART_SIBL
(15,12),(15,27),-0.024598 # DEPENDENCYPART_SIBL
(15,12),(15,28),-0.0358501 # DEPENDENCYPART_SIBL
(15,12),(15,29),0.248018 # DEPENDENCYPART_SIBL
(15,13),(15,14),-0.0155072 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.00466645 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.000978203 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.0236517 # DEPENDENCYPART_SIBL
(15,13),(15,19),0.00545664 # DEPENDENCYPART_SIBL
(15,13),(15,20),-0.0316682 # DEPENDENCYPART_SIBL
(15,13),(15,22),0.0170646 # DEPENDENCYPART_SIBL
(15,13),(15,23),0.0253886 # DEPENDENCYPART_SIBL
(15,13),(15,24),-0.0273859 # DEPENDENCYPART_SIBL
(15,13),(15,25),0.0552731 # DEPENDENCYPART_SIBL
(15,13),(15,26),0.0599411 # DEPENDENCYPART_SIBL
(15,13),(15,27),0.0558585 # DEPENDENCYPART_SIBL
(15,13),(15,28),0.0552575 # DEPENDENCYPART_SIBL
(15,13),(15,29),0.131836 # DEPENDENCYPART_SIBL
(15,14),(15,16),-0.0360092 # DEPENDENCYPART_SIBL
(15,14),(15,17),-0.0130952 # DEPENDENCYPART_SIBL
(15,14),(15,18),-0.121247 # DEPENDENCYPART_SIBL
(15,14),(15,19),0.0187407 # DEPENDENCYPART_SIBL
(15,14),(15,20),-0.0665314 # DEPENDENCYPART_SIBL
(15,14),(15,22),0.0290508 # DEPENDENCYPART_SIBL
(15,14),(15,23),0.030265 # DEPENDENCYPART_SIBL
(15,14),(15,24),0.043528 # DEPENDENCYPART_SIBL
(15,14),(15,25),-0.0358308 # DEPENDENCYPART_SIBL
(15,14),(15,26),-0.0311668 # DEPENDENCYPART_SIBL
(15,14),(15,27),-0.039233 # DEPENDENCYPART_SIBL
(15,14),(15,28),-0.0358308 # DEPENDENCYPART_SIBL
(15,14),(15,29),-0.00470858 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.0831827 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.100304 # DEPENDENCYPART_SIBL
(15,16),(15,19),0.0609077 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.109565 # DEPENDENCYPART_SIBL
(15,16),(15,22),0.0164998 # DEPENDENCYPART_SIBL
(15,16),(15,23),-0.0121843 # DEPENDENCYPART_SIBL
(15,16),(15,24),0.0158939 # DEPENDENCYPART_SIBL
(15,16),(15,25),-0.00476711 # DEPENDENCYPART_SIBL
(15,16),(15,26),-0.0107526 # DEPENDENCYPART_SIBL
(15,16),(15,27),-0.0167379 # DEPENDENCYPART_SIBL
(15,16),(15,28),-0.0296488 # DEPENDENCYPART_SIBL
(15,16),(15,29),0.101831 # DEPENDENCYPART_SIBL
(15,17),(15,18),0.0313103 # DEPENDENCYPART_SIBL
(15,17),(15,19),0.0778277 # DEPENDENCYPART_SIBL
(15,17),(15,20),-0.132052 # DEPENDENCYPART_SIBL
(15,17),(15,22),-0.188279 # DEPENDENCYPART_SIBL
(15,17),(15,23),-0.205497 # DEPENDENCYPART_SIBL
(15,17),(15,24),-0.0103897 # DEPENDENCYPART_SIBL
(15,17),(15,25),-0.148315 # DEPENDENCYPART_SIBL
(15,17),(15,26),-0.151747 # DEPENDENCYPART_SIBL
(15,17),(15,27),-0.157218 # DEPENDENCYPART_SIBL
(15,17),(15,28),-0.148317 # DEPENDENCYPART_SIBL
(15,17),(15,29),0.0272214 # DEPENDENCYPART_SIBL
(15,18),(15,19),0.172682 # DEPENDENCYPART_SIBL
(15,18),(15,20),0.0655711 # DEPENDENCYPART_SIBL
(15,18),(15,22),0.286387 # DEPENDENCYPART_SIBL
(15,18),(15,23),0.238566 # DEPENDENCYPART_SIBL
(15,18),(15,24),0.254401 # DEPENDENCYPART_SIBL
(15,18),(15,25),0.163814 # DEPENDENCYPART_SIBL
(15,18),(15,26),0.171501 # DEPENDENCYPART_SIBL
(15,18),(15,27),0.209046 # DEPENDENCYPART_SIBL
(15,18),(15,28),0.147873 # DEPENDENCYPART_SIBL
(15,18),(15,29),-0.00919476 # DEPENDENCYPART_SIBL
(15,19),(15,20),-0.0650543 # DEPENDENCYPART_SIBL
(15,19),(15,22),0.143661 # DEPENDENCYPART_SIBL
(15,19),(15,23),0.132173 # DEPENDENCYPART_SIBL
(15,19),(15,24),0.379087 # DEPENDENCYPART_SIBL
(15,19),(15,25),0.0651488 # DEPENDENCYPART_SIBL
(15,19),(15,26),0.0614443 # DEPENDENCYPART_SIBL
(15,19),(15,27),0.0562663 # DEPENDENCYPART_SIBL
(15,19),(15,28),0.0651381 # DEPENDENCYPART_SIBL
(15,19),(15,29),-0.0510377 # DEPENDENCYPART_SIBL
(15,20),(15,22),-0.220706 # DEPENDENCYPART_SIBL
(15,20),(15,23),-0.23123 # DEPENDENCYPART_SIBL
(15,20),(15,24),-0.0294413 # DEPENDENCYPART_SIBL
(15,20),(15,25),-0.154945 # DEPENDENCYPART_SIBL
(15,20),(15,26),-0.158195 # DEPENDENCYPART_SIBL
(15,20),(15,27),-0.160997 # DEPENDENCYPART_SIBL
(15,20),(15,28),-0.154948 # DEPENDENCYPART_SIBL
(15,20),(15,29),0.0629192 # DEPENDENCYPART_SIBL
(15,22),(15,23),-0.279333 # DEPENDENCYPART_SIBL
(15,22),(15,24),0.124712 # DEPENDENCYPART_SIBL
(15,22),(15,25),-0.118321 # DEPENDENCYPART_SIBL
(15,22),(15,26),-0.125233 # DEPENDENCYPART_SIBL
(15,22),(15,27),-0.135006 # DEPENDENCYPART_SIBL
(15,22),(15,28),-0.118461 # DEPENDENCYPART_SIBL
(15,22),(15,29),-0.0617079 # DEPENDENCYPART_SIBL
(15,23),(15,24),0.136689 # DEPENDENCYPART_SIBL
(15,23),(15,25),-0.118865 # DEPENDENCYPART_SIBL
(15,23),(15,26),-0.125777 # DEPENDENCYPART_SIBL
(15,23),(15,27),-0.13555 # DEPENDENCYPART_SIBL
(15,23),(15,28),-0.119005 # DEPENDENCYPART_SIBL
(15,23),(15,29),-0.0588347 # DEPENDENCYPART_SIBL
(15,24),(15,25),-0.0795293 # DEPENDENCYPART_SIBL
(15,24),(15,26),-0.088478 # DEPENDENCYPART_SIBL
(15,24),(15,27),-0.0925365 # DEPENDENCYPART_SIBL
(15,24),(15,28),-0.0842976 # DEPENDENCYPART_SIBL
(15,24),(15,29),-0.0170104 # DEPENDENCYPART_SIBL
(15,25),(15,26),-0.208088 # DEPENDENCYPART_SIBL
