# _root_ But most of them , led by Morgan Stanley & Co. , moved back in earlier this year .
#goldHeads=13,13,2,3,13,13,6,9,10,7,10,13,0,13,14,18,18,13,13,
#predictedHeads=13,13,2,3,13,13,6,9,10,7,10,13,0,13,14,18,18,13,13,
(14,7),(7,8),-0.124945 # DEPENDENCYPART_GRANDPAR
(14,7),(7,9),-0.176038 # DEPENDENCYPART_GRANDPAR
(14,7),(7,10),-0.177645 # DEPENDENCYPART_GRANDPAR
(14,7),(7,11),-0.147054 # DEPENDENCYPART_GRANDPAR
(14,7),(7,12),-0.14882 # DEPENDENCYPART_GRANDPAR
(14,7),(7,13),-0.0729108 # DEPENDENCYPART_GRANDPAR
(14,7),(7,14),-1.23276 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,7),(7,15),-0.15803 # DEPENDENCYPART_GRANDPAR
(14,7),(7,16),-0.243863 # DEPENDENCYPART_GRANDPAR
(14,10),(10,1),-0.277356 # DEPENDENCYPART_GRANDPAR
(14,10),(10,3),-0.167411 # DEPENDENCYPART_GRANDPAR
(14,10),(10,4),-0.0786347 # DEPENDENCYPART_GRANDPAR
(14,10),(10,5),-0.23561 # DEPENDENCYPART_GRANDPAR
(14,10),(10,6),-0.184747 # DEPENDENCYPART_GRANDPAR
(14,10),(10,7),-0.124226 # DEPENDENCYPART_GRANDPAR
(14,10),(10,8),0.100074 # DEPENDENCYPART_GRANDPAR
(14,10),(10,9),0.0453526 # DEPENDENCYPART_GRANDPAR
(14,10),(10,11),0.00770461 # DEPENDENCYPART_GRANDPAR
(14,10),(10,12),-0.00203199 # DEPENDENCYPART_GRANDPAR
(14,10),(10,13),-0.0270411 # DEPENDENCYPART_GRANDPAR
(14,10),(10,14),-1.23558 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,10),(10,15),-0.167709 # DEPENDENCYPART_GRANDPAR
(14,10),(10,16),-0.246073 # DEPENDENCYPART_GRANDPAR
(14,10),(10,18),-0.188143 # DEPENDENCYPART_GRANDPAR
(14,10),(10,19),-0.472534 # DEPENDENCYPART_GRANDPAR
(14,15),(15,1),-0.751537 # DEPENDENCYPART_GRANDPAR
(14,15),(15,5),-0.748718 # DEPENDENCYPART_GRANDPAR
(14,15),(15,7),-0.568517 # DEPENDENCYPART_GRANDPAR
(14,15),(15,8),-0.55656 # DEPENDENCYPART_GRANDPAR
(14,15),(15,10),-0.594089 # DEPENDENCYPART_GRANDPAR
(14,15),(15,12),-0.543698 # DEPENDENCYPART_GRANDPAR
(14,15),(15,14),-0.843957 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,15),(15,16),0.268635 # DEPENDENCYPART_GRANDPAR
(14,15),(15,17),0.110434 # DEPENDENCYPART_GRANDPAR
(14,15),(15,18),0.42455 # DEPENDENCYPART_GRANDPAR
(14,15),(15,19),-0.0590538 # DEPENDENCYPART_GRANDPAR
(14,16),(16,15),0.244431 # DEPENDENCYPART_GRANDPAR
(14,16),(16,18),0.339611 # DEPENDENCYPART_GRANDPAR
(14,16),(16,19),-0.0966508 # DEPENDENCYPART_GRANDPAR
(14,18),(18,10),-0.624038 # DEPENDENCYPART_GRANDPAR
(14,18),(18,13),-0.549359 # DEPENDENCYPART_GRANDPAR
(14,18),(18,14),-0.83495 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,18),(18,15),0.261031 # DEPENDENCYPART_GRANDPAR
(14,18),(18,16),0.187551 # DEPENDENCYPART_GRANDPAR
(14,18),(18,17),0.260086 # DEPENDENCYPART_GRANDPAR
(14,18),(18,19),0.0755352 # DEPENDENCYPART_GRANDPAR
(14,19),(19,18),0.297709 # DEPENDENCYPART_GRANDPAR
(15,1),(1,2),-0.190283 # DEPENDENCYPART_GRANDPAR
(15,1),(1,3),-0.0934775 # DEPENDENCYPART_GRANDPAR
(15,1),(1,5),-0.133168 # DEPENDENCYPART_GRANDPAR
(15,1),(1,6),-0.0410082 # DEPENDENCYPART_GRANDPAR
(15,1),(1,13),0.0345483 # DEPENDENCYPART_GRANDPAR
(15,1),(1,19),-0.374709 # DEPENDENCYPART_GRANDPAR
(15,5),(5,3),-0.289108 # DEPENDENCYPART_GRANDPAR
(15,7),(7,3),-0.182764 # DEPENDENCYPART_GRANDPAR
(15,7),(7,5),-0.0922545 # DEPENDENCYPART_GRANDPAR
(15,7),(7,6),-0.197466 # DEPENDENCYPART_GRANDPAR
(15,7),(7,8),-0.0648011 # DEPENDENCYPART_GRANDPAR
(15,7),(7,9),-0.101157 # DEPENDENCYPART_GRANDPAR
(15,7),(7,10),-0.113599 # DEPENDENCYPART_GRANDPAR
(15,7),(7,11),-0.0321902 # DEPENDENCYPART_GRANDPAR
(15,7),(7,12),-0.148094 # DEPENDENCYPART_GRANDPAR
(15,7),(7,13),-0.0267804 # DEPENDENCYPART_GRANDPAR
(15,7),(7,14),0.217763 # DEPENDENCYPART_GRANDPAR
(15,7),(7,15),-1.32526 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,7),(7,16),-0.158178 # DEPENDENCYPART_GRANDPAR
(15,8),(8,6),-0.123481 # DEPENDENCYPART_GRANDPAR
(15,8),(8,7),-0.210597 # DEPENDENCYPART_GRANDPAR
(15,8),(8,9),0.0511438 # DEPENDENCYPART_GRANDPAR
(15,8),(8,12),-0.0650444 # DEPENDENCYPART_GRANDPAR
(15,8),(8,13),0.0381914 # DEPENDENCYPART_GRANDPAR
(15,8),(8,18),-0.0910169 # DEPENDENCYPART_GRANDPAR
(15,10),(10,1),-0.175817 # DEPENDENCYPART_GRANDPAR
(15,10),(10,3),-0.122572 # DEPENDENCYPART_GRANDPAR
(15,10),(10,4),-0.0161612 # DEPENDENCYPART_GRANDPAR
(15,10),(10,5),-0.100594 # DEPENDENCYPART_GRANDPAR
(15,10),(10,6),-0.0797756 # DEPENDENCYPART_GRANDPAR
(15,10),(10,7),-0.0870391 # DEPENDENCYPART_GRANDPAR
(15,10),(10,8),0.254318 # DEPENDENCYPART_GRANDPAR
(15,10),(10,9),0.214369 # DEPENDENCYPART_GRANDPAR
(15,10),(10,11),0.0911489 # DEPENDENCYPART_GRANDPAR
(15,10),(10,12),-0.021079 # DEPENDENCYPART_GRANDPAR
(15,10),(10,13),0.00357896 # DEPENDENCYPART_GRANDPAR
(15,10),(10,14),0.216638 # DEPENDENCYPART_GRANDPAR
(15,10),(10,15),-1.33597 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,10),(10,16),-0.161423 # DEPENDENCYPART_GRANDPAR
(15,10),(10,18),-0.191287 # DEPENDENCYPART_GRANDPAR
(15,10),(10,19),-0.374289 # DEPENDENCYPART_GRANDPAR
(15,14),(14,1),-0.237908 # DEPENDENCYPART_GRANDPAR
(15,14),(14,3),-0.251147 # DEPENDENCYPART_GRANDPAR
(15,14),(14,7),-0.177264 # DEPENDENCYPART_GRANDPAR
(15,14),(14,10),-0.0653715 # DEPENDENCYPART_GRANDPAR
(15,14),(14,12),-4.14802e-05 # DEPENDENCYPART_GRANDPAR
(15,14),(14,15),-1.32985 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,14),(14,16),-0.162794 # DEPENDENCYPART_GRANDPAR
(15,14),(14,18),-0.144188 # DEPENDENCYPART_GRANDPAR
(15,14),(14,19),-0.368216 # DEPENDENCYPART_GRANDPAR
(15,16),(16,15),-0.879942 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,16),(16,18),0.353504 # DEPENDENCYPART_GRANDPAR
(15,16),(16,19),0.00365878 # DEPENDENCYPART_GRANDPAR
(15,17),(17,19),0.0861047 # DEPENDENCYPART_GRANDPAR
(15,18),(18,10),-0.552226 # DEPENDENCYPART_GRANDPAR
(15,18),(18,13),-0.517267 # DEPENDENCYPART_GRANDPAR
(15,18),(18,14),-0.210174 # DEPENDENCYPART_GRANDPAR
(15,18),(18,15),-0.873553 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,18),(18,16),0.317135 # DEPENDENCYPART_GRANDPAR
(15,18),(18,17),0.456542 # DEPENDENCYPART_GRANDPAR
(15,18),(18,19),0.183658 # DEPENDENCYPART_GRANDPAR
(15,19),(19,18),0.294973 # DEPENDENCYPART_GRANDPAR
(16,15),(15,1),-0.00110292 # DEPENDENCYPART_GRANDPAR
(16,15),(15,5),0.013314 # DEPENDENCYPART_GRANDPAR
(16,15),(15,7),0.127494 # DEPENDENCYPART_GRANDPAR
(16,15),(15,8),0.198859 # DEPENDENCYPART_GRANDPAR
(16,15),(15,10),0.192667 # DEPENDENCYPART_GRANDPAR
(16,15),(15,12),0.203078 # DEPENDENCYPART_GRANDPAR
(16,15),(15,14),0.442326 # DEPENDENCYPART_GRANDPAR
(16,15),(15,16),-1.28526 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,15),(15,17),-0.207444 # DEPENDENCYPART_GRANDPAR
(16,15),(15,18),-0.119659 # DEPENDENCYPART_GRANDPAR
(16,15),(15,19),-0.416522 # DEPENDENCYPART_GRANDPAR
(16,18),(18,10),-0.265569 # DEPENDENCYPART_GRANDPAR
(16,18),(18,13),-0.185471 # DEPENDENCYPART_GRANDPAR
(16,18),(18,14),-0.0445042 # DEPENDENCYPART_GRANDPAR
(16,18),(18,15),-0.00518874 # DEPENDENCYPART_GRANDPAR
(16,18),(18,16),-0.859279 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,18),(18,17),0.398615 # DEPENDENCYPART_GRANDPAR
(16,18),(18,19),0.179274 # DEPENDENCYPART_GRANDPAR
(16,19),(19,18),0.31966 # DEPENDENCYPART_GRANDPAR
(17,19),(19,18),0.191386 # DEPENDENCYPART_GRANDPAR
(18,10),(10,1),-0.578044 # DEPENDENCYPART_GRANDPAR
(18,10),(10,3),-0.328839 # DEPENDENCYPART_GRANDPAR
(18,10),(10,4),-0.40937 # DEPENDENCYPART_GRANDPAR
(18,10),(10,5),-0.420263 # DEPENDENCYPART_GRANDPAR
(18,10),(10,6),-0.678518 # DEPENDENCYPART_GRANDPAR
(18,10),(10,7),-0.368926 # DEPENDENCYPART_GRANDPAR
(18,10),(10,8),-0.471628 # DEPENDENCYPART_GRANDPAR
(18,10),(10,9),-0.803072 # DEPENDENCYPART_GRANDPAR
(18,10),(10,11),-0.445263 # DEPENDENCYPART_GRANDPAR
(18,10),(10,12),-0.350045 # DEPENDENCYPART_GRANDPAR
(18,10),(10,13),-0.0172553 # DEPENDENCYPART_GRANDPAR
(18,10),(10,14),0.191748 # DEPENDENCYPART_GRANDPAR
(18,10),(10,15),0.154531 # DEPENDENCYPART_GRANDPAR
(18,10),(10,16),0.0317757 # DEPENDENCYPART_GRANDPAR
(18,10),(10,18),-1.40255 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,10),(10,19),-0.265986 # DEPENDENCYPART_GRANDPAR
(18,13),(13,1),-0.543393 # DEPENDENCYPART_GRANDPAR
(18,13),(13,2),-0.249419 # DEPENDENCYPART_GRANDPAR
(18,13),(13,3),-0.450197 # DEPENDENCYPART_GRANDPAR
(18,13),(13,4),-0.506705 # DEPENDENCYPART_GRANDPAR
(18,13),(13,5),-0.460683 # DEPENDENCYPART_GRANDPAR
(18,13),(13,6),-0.801521 # DEPENDENCYPART_GRANDPAR
(18,13),(13,7),-0.204798 # DEPENDENCYPART_GRANDPAR
(18,13),(13,8),-0.531235 # DEPENDENCYPART_GRANDPAR
(18,13),(13,9),-0.859277 # DEPENDENCYPART_GRANDPAR
(18,13),(13,10),-0.40836 # DEPENDENCYPART_GRANDPAR
(18,13),(13,11),-0.44907 # DEPENDENCYPART_GRANDPAR
(18,13),(13,12),-0.404561 # DEPENDENCYPART_GRANDPAR
(18,13),(13,14),0.135423 # DEPENDENCYPART_GRANDPAR
(18,13),(13,15),0.0998638 # DEPENDENCYPART_GRANDPAR
(18,13),(13,16),-0.0305124 # DEPENDENCYPART_GRANDPAR
(18,13),(13,17),0.160397 # DEPENDENCYPART_GRANDPAR
(18,13),(13,18),-1.467 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,13),(13,19),-0.343897 # DEPENDENCYPART_GRANDPAR
(18,14),(14,1),-0.591963 # DEPENDENCYPART_GRANDPAR
(18,14),(14,3),-0.402578 # DEPENDENCYPART_GRANDPAR
(18,14),(14,7),-0.388962 # DEPENDENCYPART_GRANDPAR
(18,14),(14,10),-0.40125 # DEPENDENCYPART_GRANDPAR
(18,14),(14,12),-0.350527 # DEPENDENCYPART_GRANDPAR
(18,14),(14,15),0.0773639 # DEPENDENCYPART_GRANDPAR
(18,14),(14,16),-0.0184079 # DEPENDENCYPART_GRANDPAR
(18,14),(14,18),-1.30179 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,14),(14,19),-0.21734 # DEPENDENCYPART_GRANDPAR
(18,15),(15,1),-0.640638 # DEPENDENCYPART_GRANDPAR
(18,15),(15,5),-0.442679 # DEPENDENCYPART_GRANDPAR
(18,15),(15,7),-0.475634 # DEPENDENCYPART_GRANDPAR
(18,15),(15,8),-0.632968 # DEPENDENCYPART_GRANDPAR
(18,15),(15,10),-0.447796 # DEPENDENCYPART_GRANDPAR
(18,15),(15,12),-0.386557 # DEPENDENCYPART_GRANDPAR
(18,15),(15,14),0.142241 # DEPENDENCYPART_GRANDPAR
(18,15),(15,16),-0.0245302 # DEPENDENCYPART_GRANDPAR
(18,15),(15,17),0.199408 # DEPENDENCYPART_GRANDPAR
(18,15),(15,18),-1.30873 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,15),(15,19),-0.219479 # DEPENDENCYPART_GRANDPAR
(18,16),(16,15),0.145776 # DEPENDENCYPART_GRANDPAR
(18,16),(16,18),-1.30132 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,16),(16,19),-0.217062 # DEPENDENCYPART_GRANDPAR
(18,17),(17,19),-0.217024 # DEPENDENCYPART_GRANDPAR
(18,19),(19,18),-0.843663 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,18),(18,10),-0.269882 # DEPENDENCYPART_GRANDPAR
(19,18),(18,13),0.039299 # DEPENDENCYPART_GRANDPAR
(19,18),(18,14),0.0319189 # DEPENDENCYPART_GRANDPAR
(19,18),(18,15),0.0399911 # DEPENDENCYPART_GRANDPAR
(19,18),(18,16),0.0668458 # DEPENDENCYPART_GRANDPAR
(19,18),(18,17),-0.197763 # DEPENDENCYPART_GRANDPAR
(19,18),(18,19),-1.17556 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(0,1),(1,1),(1,2),-0.128108 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,3),-0.137913 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,5),0.116955 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,6),0.148348 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,13),0.153127 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,19),-0.034378 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,20),-0.129267 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,1),(1,2),(1,3),-0.0420002 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,5),-0.0426593 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,6),-0.0499095 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,13),-0.0499095 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,19),-0.119077 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,20),-0.0457924 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,3),(1,5),-0.0413824 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,6),-0.029221 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,13),-0.029221 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,19),-0.0885713 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,20),-0.0555785 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,5),(1,6),-0.00546886 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,5),(1,13),-0.0054686 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,5),(1,19),-0.0469744 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,5),(1,20),-0.0575291 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,6),(1,13),-0.101923 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,6),(1,19),0.17488 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,6),(1,20),-0.101233 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,13),(1,19),0.179473 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,13),(1,20),-0.101234 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,19),(1,20),-0.0295374 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,1),(1,-1),-0.427278 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,3),(3,3),(3,4),-0.0431671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,5),-0.0432136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,6),-0.0674055 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,7),-0.0498397 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,8),-0.0856445 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,10),-0.0349486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,12),-0.0432136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,13),-0.0674053 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,14),-0.0476394 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,15),-0.0484653 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,16),-0.0476394 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,19),-0.0448644 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,20),-0.0439003 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,3),(3,4),(3,5),-0.0425896 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,6),-0.0420016 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,7),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,8),-0.0423636 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,10),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,12),-0.0425896 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,13),-0.0420016 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,14),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,15),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,16),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,19),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,20),-0.0420249 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,5),(3,6),-0.0484296 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,7),-0.0480697 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,8),-0.0575854 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,10),-0.0432523 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,12),-0.0420049 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,13),-0.0484296 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,14),-0.0429268 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,15),-0.0430908 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,16),-0.0429268 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,19),-0.042136 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,20),-0.0472423 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,6),(3,7),-0.0419994 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,8),-0.0420466 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,10),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,12),-0.043039 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,13),-0.0420061 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,14),-0.0420156 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,15),-0.0420158 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,16),-0.0420156 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,19),-0.0299363 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,20),-0.0491654 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,7),(3,8),-0.0433555 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,10),-0.0420047 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,12),-0.0432311 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,13),-0.0423444 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,14),-0.0420388 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,15),-0.0420388 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,16),-0.0420388 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,19),-0.0562229 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,20),-0.042768 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,8),(3,10),-0.0424996 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,12),-0.0693704 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,13),-0.042843 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,14),-0.0427814 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,15),-0.0446218 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,16),-0.0427814 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,19),-0.0418088 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,20),-0.139985 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,10),(3,12),0.0935627 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,10),(3,13),-0.0380385 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,10),(3,14),0.00612356 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,10),(3,15),0.254499 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,10),(3,16),-0.0427088 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,10),(3,19),0.310487 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,10),(3,20),-0.0462524 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,12),(3,13),-0.0484296 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,12),(3,14),-0.0429268 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,12),(3,15),-0.0430908 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,12),(3,16),-0.0429268 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,12),(3,19),-0.042136 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,12),(3,20),-0.0472423 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,13),(3,14),-0.0420156 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,13),(3,15),-0.0420158 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,13),(3,16),-0.0420156 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,13),(3,19),-0.0299398 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,13),(3,20),-0.0491617 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,14),(3,15),-0.0421128 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,14),(3,16),-0.0421127 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,14),(3,19),-0.0481093 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,14),(3,20),-0.0429273 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,15),(3,16),-0.0421127 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,15),(3,19),-0.0492643 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,15),(3,20),-0.0429412 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,16),(3,19),-0.0481093 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,16),(3,20),-0.0429273 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,19),(3,20),-0.0292889 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,3),(3,2),0.104517 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,1),0.117318 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,-1),-0.201004 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,3),(3,2),(3,1),0.119153 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,2),(3,-1),-0.134749 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,1),(3,-1),-0.112694 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,6),(6,7),-0.235332 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,8),-0.0753619 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,9),-0.0766146 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,10),0.0326084 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,11),-0.0748825 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,12),-0.0367843 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,13),-0.101908 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,14),-0.0343798 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,15),-0.0199885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,18),-0.0812855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,19),-0.144976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,20),-0.240693 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,6),(6,7),(6,8),-0.0424504 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,9),-0.0424504 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,10),-0.0492862 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,11),-0.0424504 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,12),0.000520547 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,13),-0.0651231 # DEPENDENCYPART_GRANDSIBL
