# _root_ Laboring in blue and gray overalls , they are supposed to concentrate on cleaning out crevices , and not strain their eyes looking for diamonds .
#goldHeads=9,1,4,6,4,2,9,9,0,9,12,18,12,13,14,14,18,10,18,18,22,20,20,23,24,9,
#predictedHeads=18,1,4,6,4,2,9,9,18,9,12,10,12,13,14,14,18,0,20,18,22,20,20,23,24,18,
(3,5),(5,4),(5,3),0.329424 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,4),(5,-1),-0.15392 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,3),(5,-1),-0.145435 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,1),(1,1),(1,2),0.0673939 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,3),0.201453 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,4),-0.166252 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,5),-0.145055 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,6),-0.0962775 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,7),-0.144941 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,9),-0.165506 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,10),-0.162429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,12),-0.162429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,17),-0.144941 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,18),-0.166252 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,20),-0.162429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,27),-0.211996 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,1),(1,2),(1,3),0.106603 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,4),-0.145171 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,5),-0.144718 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,6),-0.151296 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,7),-0.145859 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,9),-0.145602 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,10),-0.145602 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,12),-0.145602 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,17),-0.145859 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,18),-0.145171 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,20),-0.145602 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,26),-0.146291 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,27),-0.0780934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,3),(1,4),-0.144781 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,5),-0.145499 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,6),-0.14477 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,9),-0.145984 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,10),-0.145984 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,12),-0.145984 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,18),-0.144781 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,20),-0.145984 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,27),-0.139386 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,4),(1,5),-0.097686 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,6),0.00298342 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,7),0.00190183 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,9),-0.111808 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,10),-0.0493177 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,12),-0.0964112 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,17),-0.083123 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,18),-0.254638 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,20),0.0588363 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,26),-0.0367912 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,27),-0.117114 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,1),(1,5),(1,6),-0.14477 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,9),-0.145984 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,10),-0.145984 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,12),-0.145984 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,18),-0.144781 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,20),-0.145984 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,27),-0.139403 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,6),(1,7),-0.147761 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,6),(1,9),-0.14941 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,6),(1,10),-0.149107 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,6),(1,12),-0.149107 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,6),(1,17),-0.147761 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,6),(1,18),-0.147235 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,6),(1,20),-0.149107 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,6),(1,26),-0.144792 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,6),(1,27),-0.0690382 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,7),(1,9),-0.15354 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,7),(1,10),-0.153537 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,7),(1,12),-0.153537 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,7),(1,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,7),(1,18),-0.148938 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,7),(1,20),-0.153537 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,7),(1,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,7),(1,27),-0.155134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,9),(1,10),-0.145246 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,9),(1,12),-0.145246 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,9),(1,17),-0.145886 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,9),(1,18),-0.144775 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,9),(1,20),-0.145246 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,9),(1,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,9),(1,27),-0.0586448 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,10),(1,12),-0.145246 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,10),(1,17),-0.145886 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,10),(1,18),-0.144775 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,10),(1,20),-0.145246 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,10),(1,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,10),(1,27),-0.0529728 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,12),(1,17),-0.145886 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,12),(1,18),-0.144775 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,12),(1,20),-0.145246 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,12),(1,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,12),(1,27),-0.0551304 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,17),(1,18),-0.148938 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,17),(1,20),-0.153537 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,17),(1,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,17),(1,27),-0.155134 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,18),(1,20),0.0588363 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,18),(1,26),-0.0367912 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,18),(1,27),-0.117114 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,20),(1,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,20),(1,27),-0.0551304 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,26),(1,27),-0.149644 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,1),(1,-1),0.197351 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,2),(2,2),(2,3),0.0666081 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,4),-0.150838 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,5),-0.145016 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,6),-0.118505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,27),-0.0820854 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,2),(2,3),(2,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,6),-0.14482 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,27),-0.189496 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,2),(2,4),(2,5),-0.0976832 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,4),(2,6),0.00416627 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,4),(2,7),0.00293102 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,4),(2,27),-0.162869 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,2),(2,5),(2,6),-0.14482 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,5),(2,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,5),(2,27),-0.189496 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,2),(2,6),(2,7),-0.145904 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,6),(2,27),-0.150235 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,2),(2,7),(2,27),-0.081858 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,2),(2,2),(2,1),0.00590427 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,-1),-0.116207 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,2),(2,1),(2,-1),0.00399207 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,3),(3,4),-0.146407 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,5),-0.144866 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,27),-0.176172 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,3),(3,4),(3,5),-0.0976832 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,4),(3,27),-0.151341 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,3),(3,5),(3,27),-0.119552 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,3),(3,2),-0.0129113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,-1),0.0244664 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,3),(3,2),(3,-1),-0.0143254 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,5),(5,6),-0.0419323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,7),-0.0234444 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,27),0.0253239 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,5),(5,6),(5,7),-0.0196948 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,27),-0.0371299 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,7),(5,27),-0.0232142 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,5),(5,4),0.106152 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,3),-0.144866 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,-1),-0.174172 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,5),(5,4),(5,3),0.0653486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,4),(5,-1),-0.151341 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,5),(5,3),(5,-1),-0.119552 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,6),(6,7),-0.039619 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,9),-0.105827 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,10),-0.0956376 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,12),-0.0956376 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,17),-0.039619 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,18),0.00064595 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,27),0.180862 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,7),(6,9),-0.0125268 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,10),-0.0118964 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,12),-0.0118964 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,17),-0.0195821 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,18),-0.0278342 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,27),-0.0399925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,9),(6,10),-0.0228352 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,12),-0.0228352 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,17),-0.0493357 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,18),-0.00958145 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,27),-0.0170877 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,10),(6,12),-0.0228352 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,17),-0.0487566 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,18),-0.00958145 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,27),-0.0062182 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,12),(6,17),-0.0487566 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,12),(6,18),-0.00958145 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,12),(6,27),-0.0062182 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,17),(6,18),-0.0278342 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,17),(6,27),-0.0399925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,18),(6,27),-0.0860246 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,6),(6,5),0.0855645 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,4),0.128058 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,3),-0.145489 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,2),-0.0757506 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,1),-0.150747 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,-1),-0.0192466 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,5),(6,4),0.101898 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,5),(6,3),-0.146358 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,5),(6,2),-0.144704 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,5),(6,1),-0.144727 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,5),(6,-1),-0.184559 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,4),(6,3),0.0653473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,4),(6,2),0.109542 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,4),(6,1),0.0355087 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,4),(6,-1),-0.174785 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,3),(6,2),-0.144704 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,3),(6,1),-0.144727 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,3),(6,-1),-0.184374 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,2),(6,1),-0.147329 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,2),(6,-1),-0.0213892 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,1),(6,-1),-0.169888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,7),(7,27),0.0694301 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,7),(7,7),(7,-1),-0.0464494 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,9),(9,9),(9,10),0.0301386 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,11),-0.0508265 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,12),0.0293726 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,13),-0.0441806 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,14),0.0293726 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,16),-0.0214846 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,17),-0.0459968 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,18),-0.0086604 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,19),0.0350565 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,23),0.0291676 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,26),-0.0235284 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,27),0.220014 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,9),(9,10),(9,11),-0.0324908 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,12),-0.0264181 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,13),-0.0230808 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,14),-0.0264181 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,16),-0.0126345 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,17),-0.0339268 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,18),-0.0215324 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,19),-0.0226353 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,23),-0.0264188 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,26),-0.0218966 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,27),0.0745815 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,11),(9,12),0.00128418 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,13),0.00270643 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,14),0.00128418 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,16),-0.0552035 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,17),-0.032213 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,18),-0.0239233 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,19),-0.00886634 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,23),0.00128418 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,26),-0.0199863 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,27),0.00650225 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,12),(9,13),-0.0229759 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,14),-0.0262402 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,16),-0.0126345 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,17),-0.0339268 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,18),-0.0215324 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,19),-0.0226353 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,23),-0.0262409 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,26),-0.0218966 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,27),0.0735326 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,13),(9,14),-0.0156209 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,16),-0.00944976 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,17),-0.0449386 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,18),-0.0237555 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,19),-0.0266666 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,23),-0.0156209 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,26),-0.0213882 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,27),-0.098215 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,14),(9,16),-0.0126345 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,14),(9,17),-0.0339268 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,14),(9,18),-0.0215324 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,14),(9,19),-0.0226353 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,14),(9,23),-0.0262409 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,14),(9,26),-0.0218966 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,14),(9,27),0.0735326 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,16),(9,17),-0.00491866 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,16),(9,18),-0.0386562 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,16),(9,19),-0.0161851 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,16),(9,23),0.0165486 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,16),(9,26),-0.0249677 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,16),(9,27),-0.00436902 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,17),(9,18),-0.0452618 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,17),(9,19),-0.013714 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,17),(9,23),-0.0754486 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,17),(9,26),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,17),(9,27),-0.0309327 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,18),(9,19),0.0539283 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,18),(9,23),0.178799 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,18),(9,26),0.0882704 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,18),(9,27),-0.0301284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,19),(9,23),-0.0245101 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,19),(9,26),-0.0198099 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,19),(9,27),-0.0137041 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,23),(9,26),-0.0218966 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,23),(9,27),0.0734018 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,26),(9,27),-0.0429407 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,9),(9,8),0.0971675 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,7),0.0874601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,6),0.239582 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,5),0.193202 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,4),0.213608 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,3),-0.145055 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,2),-0.141032 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,1),-0.162435 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,-1),-0.201338 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,9),(9,8),(9,7),0.15807 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,6),0.121055 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,5),0.11987 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,4),0.123077 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,3),-0.144715 # DEPENDENCYPART_GRANDSIBL
