# _root_ Further , under the agreement , First Tennesse would continue to develop the software that creates customer products and sevices .
#goldHeads=9,9,9,5,3,9,8,9,0,9,12,10,14,12,16,14,19,19,16,19,9,
#predictedHeads=9,9,9,5,3,9,8,9,0,9,12,10,14,12,16,14,18,19,16,19,9,
(19,13),(19,15),-0.0341843 # DEPENDENCYPART_SIBL
(19,13),(19,16),-0.00234976 # DEPENDENCYPART_SIBL
(19,13),(19,17),0.0771515 # DEPENDENCYPART_SIBL
(19,13),(19,18),0.0840907 # DEPENDENCYPART_SIBL
(19,13),(19,20),0.208727 # DEPENDENCYPART_SIBL
(19,13),(19,21),-0.0893287 # DEPENDENCYPART_SIBL
(19,14),(19,15),-0.0786154 # DEPENDENCYPART_SIBL
(19,14),(19,16),0.0120081 # DEPENDENCYPART_SIBL
(19,14),(19,17),-0.0101232 # DEPENDENCYPART_SIBL
(19,14),(19,18),0.0244987 # DEPENDENCYPART_SIBL
(19,14),(19,20),0.0679908 # DEPENDENCYPART_SIBL
(19,14),(19,21),-0.0123723 # DEPENDENCYPART_SIBL
(19,15),(19,16),0.00880905 # DEPENDENCYPART_SIBL
(19,15),(19,17),-0.0823977 # DEPENDENCYPART_SIBL
(19,15),(19,18),-0.0789765 # DEPENDENCYPART_SIBL
(19,15),(19,20),-0.183486 # DEPENDENCYPART_SIBL
(19,15),(19,21),-0.137996 # DEPENDENCYPART_SIBL
(19,16),(19,17),-0.0505681 # DEPENDENCYPART_SIBL
(19,16),(19,18),-0.0439517 # DEPENDENCYPART_SIBL
(19,16),(19,20),-0.383396 # DEPENDENCYPART_SIBL
(19,16),(19,21),-0.00144965 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.00564628 # DEPENDENCYPART_SIBL
(19,17),(19,20),0.0477271 # DEPENDENCYPART_SIBL
(19,17),(19,21),-0.017332 # DEPENDENCYPART_SIBL
(19,18),(19,20),0.0792037 # DEPENDENCYPART_SIBL
(19,18),(19,21),-0.0105704 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.0509429 # DEPENDENCYPART_SIBL
(20,17),(20,18),0.0214726 # DEPENDENCYPART_SIBL
(20,17),(20,21),0.016482 # DEPENDENCYPART_SIBL
(20,18),(20,21),0.0182461 # DEPENDENCYPART_SIBL
(0,0),(0,1),-0.627254 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,8),-0.342947 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,9),0.395426 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,10),0.0470895 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,12),0.0735389 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,16),-0.332252 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,19),0.301988 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,22),-0.891088 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(0,1),(0,8),-0.822906 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,9),-0.439058 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,10),-0.654411 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,12),-0.807358 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,16),-0.805676 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,19),-0.406901 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,22),-0.43457 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,8),(0,9),-0.892463 # DEPENDENCYPART_NEXTSIBL
(0,8),(0,10),-1.00304 # DEPENDENCYPART_NEXTSIBL
(0,8),(0,12),-1.11902 # DEPENDENCYPART_NEXTSIBL
(0,8),(0,16),-0.974094 # DEPENDENCYPART_NEXTSIBL
(0,8),(0,19),-1.14338 # DEPENDENCYPART_NEXTSIBL
(0,8),(0,22),-0.737496 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,9),(0,10),-0.70818 # DEPENDENCYPART_NEXTSIBL
(0,9),(0,12),-0.768773 # DEPENDENCYPART_NEXTSIBL
(0,9),(0,16),-0.657353 # DEPENDENCYPART_NEXTSIBL
(0,9),(0,19),-0.900451 # DEPENDENCYPART_NEXTSIBL
(0,9),(0,22),-0.375855 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,10),(0,12),-1.25469 # DEPENDENCYPART_NEXTSIBL
(0,10),(0,16),-1.13184 # DEPENDENCYPART_NEXTSIBL
(0,10),(0,19),-1.31994 # DEPENDENCYPART_NEXTSIBL
(0,10),(0,22),-0.473615 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,12),(0,16),-1.18559 # DEPENDENCYPART_NEXTSIBL
(0,12),(0,19),-1.42701 # DEPENDENCYPART_NEXTSIBL
(0,12),(0,22),-0.701764 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,16),(0,19),-1.29909 # DEPENDENCYPART_NEXTSIBL
(0,16),(0,22),-0.524429 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,19),(0,22),-0.735906 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,0),(0,-1),-0.370078 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,1),(1,2),-1.27031 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,3),-0.44656 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,5),-0.295025 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,6),-0.755985 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,9),0.0720428 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,22),-0.174605 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,2),(1,3),-0.336627 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,5),-0.661679 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,6),-0.9167 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,9),-0.229151 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,22),-0.823212 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,3),(1,5),-0.493168 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,6),-0.46651 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,9),-0.606343 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,22),-0.771875 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,5),(1,6),-0.923757 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,9),-1.01965 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,22),-0.724452 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,6),(1,9),-0.751973 # DEPENDENCYPART_NEXTSIBL
(1,6),(1,22),-0.602601 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,9),(1,22),-0.638352 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,1),(1,-1),-0.35017 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,2),(2,3),-0.532241 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,22),-0.0720583 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,3),(2,22),-0.863856 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,2),(2,1),-0.654175 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,-1),-0.168871 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,1),(2,-1),-0.361796 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,4),-0.727788 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,5),-0.0715983 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,6),-0.842658 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,7),-0.112001 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,8),-0.095786 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,9),0.0273088 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,19),0.23069 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,22),-0.769439 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,4),(3,5),-0.983663 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,6),-1.1421 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,7),-1.2103 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,8),-1.22381 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,9),-1.14573 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,19),-1.18683 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,22),-1.28751 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,5),(3,6),-0.863773 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,7),-1.14681 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,8),-1.34599 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,9),-0.997269 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,19),-1.3156 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,22),-0.445468 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,6),(3,7),-0.598285 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,8),-0.47268 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,9),-0.754047 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,19),-0.33465 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,22),-0.540687 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,7),(3,8),-0.886147 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,9),-0.848286 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,19),-1.10359 # DEPENDENCYPART_NEXTSIBL
(3,7),(3,22),-0.70876 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,8),(3,9),-0.923914 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,19),-1.12636 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,22),-0.515132 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,9),(3,19),-0.996523 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,22),-0.723652 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,19),(3,22),-0.814397 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,2),-1.41782 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,1),-0.470073 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,-1),-0.262035 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,2),(3,1),-0.51631 # DEPENDENCYPART_NEXTSIBL
(3,2),(3,-1),-0.926403 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,1),(3,-1),-0.183858 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,4),(4,5),-0.377804 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,22),-0.0739391 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,5),(4,22),-0.7698 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,4),(4,3),-0.395112 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,2),-1.49814 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,-1),-0.207831 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,3),(4,2),-0.410299 # DEPENDENCYPART_NEXTSIBL
(4,3),(4,-1),-0.746283 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,2),(4,-1),-1.06397 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,6),-0.69162 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,7),-0.449856 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,8),-0.405116 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,9),0.111324 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,10),-0.152083 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,12),-0.0966192 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,14),-0.445875 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,16),-0.518499 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,19),0.0519855 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,21),-0.525606 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,22),-0.3872 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,6),(5,7),-0.375371 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,8),-0.252964 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,9),-0.681333 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,10),-0.653055 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,12),-0.854412 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,14),-0.75398 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,16),-0.70158 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,19),-0.00244091 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,21),-1.55912 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,22),-0.54573 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,7),(5,8),-0.847167 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,9),-0.840373 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,10),-0.824183 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,12),-0.930654 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,14),-1.06807 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,16),-0.733253 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,19),-1.03168 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,21),-0.321242 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,22),-0.988032 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,8),(5,9),-0.909468 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,10),-0.865544 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,12),-0.968938 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,14),-1.11937 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,16),-0.831205 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,19),-1.04792 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,21),-0.514316 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,22),-0.758492 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,9),(5,10),-0.671795 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,12),-0.720134 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,14),-0.712613 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,16),-0.615673 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,19),-0.891205 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,21),0.234643 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,22),-0.625793 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,10),(5,12),-0.947886 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,14),-0.762348 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,16),-0.831633 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,19),-1.12577 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,21),0.234163 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,22),-0.623554 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,12),(5,14),-0.827258 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,16),-0.873876 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,19),-1.22058 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,21),-0.190244 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,22),-0.826909 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,14),(5,16),-0.607343 # DEPENDENCYPART_NEXTSIBL
(5,14),(5,19),-0.816938 # DEPENDENCYPART_NEXTSIBL
(5,14),(5,21),-0.127828 # DEPENDENCYPART_NEXTSIBL
(5,14),(5,22),-0.792176 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,16),(5,19),-1.09963 # DEPENDENCYPART_NEXTSIBL
(5,16),(5,21),-0.18752 # DEPENDENCYPART_NEXTSIBL
(5,16),(5,22),-0.662756 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,19),(5,21),-1.05302 # DEPENDENCYPART_NEXTSIBL
(5,19),(5,22),-0.759048 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,21),(5,22),-1.23053 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,4),-0.286906 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,3),-0.253607 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,2),-1.6874 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,1),-0.393019 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,-1),-0.444656 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,4),(5,3),-0.624419 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,2),-1.01796 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,1),-0.909879 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,-1),-0.446206 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,3),(5,2),-0.50372 # DEPENDENCYPART_NEXTSIBL
(5,3),(5,1),-0.760633 # DEPENDENCYPART_NEXTSIBL
(5,3),(5,-1),-0.605003 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,2),(5,1),-0.635796 # DEPENDENCYPART_NEXTSIBL
(5,2),(5,-1),-1.16095 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,1),(5,-1),-0.180046 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,22),-0.0720583 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,6),(6,3),-0.396013 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,-1),-0.168871 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,3),(6,-1),-0.739886 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,8),-0.386832 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,9),0.111982 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,10),-0.173502 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,12),-0.118111 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,22),-0.359132 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,8),(7,9),-0.900244 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,10),-0.863448 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,12),-0.967422 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,22),-0.729737 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,9),(7,10),-0.6774 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,12),-0.726318 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,22),-0.624244 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,10),(7,12),-0.961518 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,22),-0.645738 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,12),(7,22),-0.850254 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,6),-1.16803 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,5),-0.370233 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,4),-0.240479 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,-1),-0.400351 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,6),(7,5),-0.0168701 # DEPENDENCYPART_NEXTSIBL
(7,6),(7,4),-0.913806 # DEPENDENCYPART_NEXTSIBL
(7,6),(7,-1),-0.938946 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,5),(7,4),-0.0136007 # DEPENDENCYPART_NEXTSIBL
(7,5),(7,-1),-0.716065 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,4),(7,-1),-0.415206 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,9),0.115328 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,10),-0.196856 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,12),-0.141464 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,14),-0.439253 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,16),-0.563272 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,19),0.0647555 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,21),-0.525266 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,22),-0.35544 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,9),(8,10),-0.686469 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,12),-0.735387 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,14),-0.706384 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,16),-0.630346 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,19),-0.883706 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,21),0.237591 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,22),-0.620602 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,10),(8,12),-0.981824 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,14),-0.774583 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,16),-0.86499 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,19),-1.13718 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,21),0.217688 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,22),-0.677923 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,12),(8,14),-0.840074 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,16),-0.907813 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,19),-1.23257 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,21),-0.207299 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,22),-0.882439 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,14),(8,16),-0.62011 # DEPENDENCYPART_NEXTSIBL
(8,14),(8,19),-0.80756 # DEPENDENCYPART_NEXTSIBL
(8,14),(8,21),-0.123434 # DEPENDENCYPART_NEXTSIBL
(8,14),(8,22),-0.781032 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,16),(8,19),-1.11104 # DEPENDENCYPART_NEXTSIBL
(8,16),(8,21),-0.203995 # DEPENDENCYPART_NEXTSIBL
(8,16),(8,22),-0.717126 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,19),(8,21),-1.04735 # DEPENDENCYPART_NEXTSIBL
(8,19),(8,22),-0.74718 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,21),(8,22),-1.22968 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,7),-0.338151 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,6),-1.16717 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,5),-0.35573 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,4),-0.312626 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,2),-1.6815 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,-1),-0.393751 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,7),(8,6),-0.716217 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,5),-0.714309 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,4),-0.362429 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,2),-1.396 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,-1),-1.01129 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,6),(8,5),-0.0103134 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,4),-0.943457 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,2),-1.16816 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,-1),-0.938064 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,5),(8,4),-0.0387467 # DEPENDENCYPART_NEXTSIBL
(8,5),(8,2),-1.17466 # DEPENDENCYPART_NEXTSIBL
(8,5),(8,-1),-0.70062 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,4),(8,2),-1.03337 # DEPENDENCYPART_NEXTSIBL
(8,4),(8,-1),-0.495287 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,2),(8,-1),-1.15868 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,9),(9,10),-0.114776 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,12),-0.0807642 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,14),-0.314432 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,16),-0.483548 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,19),0.401316 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,21),-0.682002 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,22),-0.702537 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(9,10),(9,12),-0.952734 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,14),-0.700548 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,16),-0.833749 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,19),-1.0632 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,21),0.50966 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,22),-0.307648 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,12),(9,14),-0.778132 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,16),-0.888513 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,19),-1.16934 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,21),0.0683121 # DEPENDENCYPART_NEXTSIBL
(9,12),(9,22),-0.538569 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,14),(9,16),-0.509411 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,19),-0.809101 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,21),-0.171831 # DEPENDENCYPART_NEXTSIBL
(9,14),(9,22),-0.855003 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,16),(9,19),-1.04251 # DEPENDENCYPART_NEXTSIBL
(9,16),(9,21),0.0779666 # DEPENDENCYPART_NEXTSIBL
(9,16),(9,22),-0.364933 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,19),(9,21),-0.981664 # DEPENDENCYPART_NEXTSIBL
(9,19),(9,22),-0.745249 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,21),(9,22),-1.21738 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,9),(9,8),-0.0988221 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
