# _root_ If the pound falls closer to 2.80 marks , the Bank of England may raise Britain 's base lending rate by one percentage point to 16 % , says Mr. Rendell .
#goldHeads=4,3,4,14,4,5,8,6,14,11,14,11,12,29,14,20,16,20,20,15,15,24,24,21,15,27,25,29,0,31,29,29,
#predictedHeads=4,3,4,14,4,4,8,6,14,11,14,11,12,29,14,20,16,20,20,15,15,24,24,21,15,27,25,29,0,31,29,29,
(0,4),(4,21),(4,32),0.0594449 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,21),(4,33),-0.0920742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,28),(4,29),-0.0201517 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,28),(4,32),-0.00172918 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,28),(4,33),-0.0762482 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,29),(4,32),-0.0619829 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,29),(4,33),-0.117734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,32),(4,33),0.140061 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,4),(4,3),0.293378 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,2),0.223292 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,1),0.211453 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,-1),-0.643998 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,4),(4,3),(4,2),0.0773923 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,3),(4,1),-0.102138 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,3),(4,-1),0.0448553 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,2),(4,1),0.0949679 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,2),(4,-1),-0.12402 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,1),(4,-1),-0.303459 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,6),(6,7),-0.0423397 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,8),-0.047323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,9),-0.0420268 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,11),-0.047323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,12),-0.0421005 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,33),-0.0427906 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,6),(6,7),(6,8),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,9),-0.0420031 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,11),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,12),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,33),-0.0423143 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,8),(6,9),-0.0420687 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,11),-0.0420028 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,12),-0.0420094 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,33),-0.0560692 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,9),(6,11),-0.0420106 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,12),-0.0420063 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,33),-0.0421071 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,11),(6,12),-0.0420094 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,11),(6,33),-0.0560692 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,12),(6,33),-0.0421109 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,6),(6,1),0.118913 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,-1),-0.15684 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,6),(6,1),(6,-1),-0.125753 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,14),(14,15),-0.0391637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,16),0.00323957 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,18),0.00323957 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,19),0.00323957 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,20),0.00323957 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,29),-0.0452218 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,32),-0.0687321 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,33),-0.0452537 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,14),(14,15),(14,16),-0.0272259 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,15),(14,18),-0.0272259 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,15),(14,19),-0.0272259 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,15),(14,20),-0.0272259 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,15),(14,29),-0.0736164 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,15),(14,32),0.117113 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,15),(14,33),-0.0827406 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,16),(14,18),-0.0421717 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,16),(14,19),-0.0421717 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,16),(14,20),-0.0421717 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,16),(14,29),-0.00373435 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,16),(14,32),-0.0323837 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,16),(14,33),-0.0427253 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,18),(14,19),-0.0421717 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,18),(14,20),-0.0421717 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,18),(14,29),-0.00373435 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,18),(14,32),-0.0323837 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,18),(14,33),-0.0427253 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,19),(14,20),-0.0421717 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,19),(14,29),-0.00373435 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,19),(14,32),-0.0323837 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,19),(14,33),-0.0427253 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,20),(14,29),-0.00373435 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,20),(14,32),-0.0323837 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,20),(14,33),-0.0427253 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,29),(14,32),0.107694 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,29),(14,33),-0.0827409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,32),(14,33),0.0400652 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,14),(14,13),0.241682 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,12),0.120321 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,11),0.241552 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,10),0.172821 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,9),0.068286 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,8),0.241682 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,7),0.122542 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,4),0.0581462 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,3),0.241682 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,1),0.120615 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,14),(14,14),(14,-1),-0.140055 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,14),(14,13),(14,12),0.0273952 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,11),0.115176 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,10),0.100831 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,9),0.176893 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,8),0.115176 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,7),0.117841 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,4),0.16189 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,3),0.115176 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,1),0.0248706 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,13),(14,-1),-0.0804323 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,12),(14,11),0.13408 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,10),0.114115 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,9),0.117605 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,8),0.13408 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,7),0.119164 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,4),0.123221 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,3),0.13408 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,1),0.105458 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,12),(14,-1),-0.197609 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,11),(14,10),0.100831 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,9),0.176891 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,8),0.115176 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,7),0.117841 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,4),0.161888 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,3),0.115176 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,1),0.0247206 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,11),(14,-1),-0.0809101 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,10),(14,9),0.12619 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,10),(14,8),0.118786 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,10),(14,7),0.119139 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,10),(14,4),0.118777 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,10),(14,3),0.118786 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,10),(14,1),0.119672 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,10),(14,-1),-0.134527 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,9),(14,8),0.0587378 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,9),(14,7),0.113794 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,9),(14,4),0.0760312 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,9),(14,3),0.0587378 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,9),(14,1),0.255237 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,9),(14,-1),-0.0958405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,8),(14,7),0.117841 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,8),(14,4),0.16189 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,8),(14,3),0.115176 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,8),(14,1),0.0248706 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,8),(14,-1),-0.0804323 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,7),(14,4),0.128057 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,7),(14,3),0.115986 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,7),(14,1),0.117451 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,7),(14,-1),-0.130127 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,4),(14,3),0.0768507 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,4),(14,1),0.111223 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,4),(14,-1),-0.0685255 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,3),(14,1),0.0248706 # DEPENDENCYPART_GRANDSIBL
(0,14),(14,3),(14,-1),-0.0804718 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,14),(14,1),(14,-1),-0.200398 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,15),(15,16),-0.0707038 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,18),-0.0729467 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,19),-0.0704153 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,20),-0.0719541 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,21),-0.233172 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,22),0.0300947 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,23),-0.0774809 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,24),-0.0618728 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,25),-0.077119 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,26),0.0328233 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,27),-0.0676637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,28),-0.0367839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,29),-0.109287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,32),-0.144976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,33),-0.240693 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,15),(15,16),(15,18),-0.00705146 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,16),(15,19),-0.00705146 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,16),(15,20),-0.00719011 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,16),(15,21),0.0632972 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,16),(15,22),-0.0170419 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,16),(15,23),-0.00705146 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,16),(15,24),-0.00907551 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,16),(15,25),-0.0763902 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,16),(15,26),-0.0168919 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,16),(15,27),-0.00856908 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,16),(15,28),-0.058782 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,16),(15,29),-0.0287423 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,16),(15,32),0.0263044 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,16),(15,33),-0.137934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,18),(15,19),-0.00705146 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,18),(15,20),-0.00719011 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,18),(15,21),0.0632972 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,18),(15,22),-0.0170419 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,18),(15,23),-0.00705146 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,18),(15,24),-0.00907551 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,18),(15,25),-0.0763902 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,18),(15,26),-0.0168919 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,18),(15,27),-0.00856908 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,18),(15,28),-0.0588668 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,18),(15,29),-0.0289645 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,18),(15,32),0.0243684 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,18),(15,33),-0.137934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,19),(15,20),-0.00899179 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,19),(15,21),0.0632972 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,19),(15,22),-0.0170419 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,19),(15,23),-0.00885315 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,19),(15,24),-0.0108772 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,19),(15,25),-0.0763902 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,19),(15,26),-0.0168919 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,19),(15,27),-0.0103708 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,19),(15,28),-0.058782 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,19),(15,29),-0.0287423 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,19),(15,32),0.0263061 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,19),(15,33),-0.137934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,20),(15,21),0.0640693 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,20),(15,22),-0.0170419 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,20),(15,23),-0.00751728 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,20),(15,24),-0.00954133 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,20),(15,25),-0.0788653 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,20),(15,26),-0.0168919 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,20),(15,27),-0.0090349 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,20),(15,28),-0.059368 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,20),(15,29),-0.0287468 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,20),(15,32),0.0220517 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,20),(15,33),-0.137941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,21),(15,22),-0.04233 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,21),(15,23),-0.0423749 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,21),(15,24),-0.0423751 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,21),(15,25),0.0118897 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,21),(15,26),-0.04233 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,21),(15,27),-0.0418683 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,21),(15,28),0.00161214 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,21),(15,29),-0.0638718 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,21),(15,32),0.0603047 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,21),(15,33),-0.0920742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,22),(15,23),-0.0371112 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,22),(15,24),-0.0371112 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,22),(15,25),-0.0126096 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,22),(15,26),-0.0550424 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,22),(15,27),-0.0413582 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,22),(15,28),-0.0169055 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,22),(15,29),-0.053869 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,22),(15,32),-0.0256139 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,22),(15,33),-0.0523979 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,23),(15,24),-0.0091965 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,23),(15,25),-0.0765356 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,23),(15,26),-0.0168919 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,23),(15,27),-0.00869007 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,23),(15,28),-0.058782 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,23),(15,29),-0.0287423 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,23),(15,32),0.0207824 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,23),(15,33),-0.137934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,24),(15,25),-0.0792409 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,24),(15,26),-0.0168919 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,24),(15,27),-0.00837322 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,24),(15,28),-0.0549143 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,24),(15,29),-0.0284027 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,24),(15,32),0.0242037 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,24),(15,33),-0.137934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,25),(15,26),-0.0476829 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,25),(15,27),-0.0277247 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,25),(15,28),0.000540267 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,25),(15,29),-0.0673538 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,25),(15,32),-0.00597751 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,25),(15,33),-0.066496 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,26),(15,27),-0.040458 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,26),(15,28),-0.0180297 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,26),(15,29),-0.0526227 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,26),(15,32),-0.0252463 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,26),(15,33),-0.0519257 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,27),(15,28),-0.047743 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,27),(15,29),-0.0273775 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,27),(15,32),0.00860738 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,27),(15,33),-0.138456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,28),(15,29),-0.0202956 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,28),(15,32),-0.0017292 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,28),(15,33),-0.0762482 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,29),(15,32),-0.0620495 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,29),(15,33),-0.117734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,32),(15,33),0.136757 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,15),(15,14),0.0597816 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,13),0.290065 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,12),0.206776 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,11),0.277031 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,9),0.127561 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,8),0.290152 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,4),0.0295851 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,1),0.211383 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,15),(15,15),(15,-1),-0.644093 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,15),(15,14),(15,13),0.0928306 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,14),(15,12),0.115682 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,14),(15,11),0.0928306 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,14),(15,9),0.0697047 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,14),(15,8),0.0928306 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,14),(15,4),0.107786 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,14),(15,1),0.115682 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,14),(15,-1),-0.0265675 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,13),(15,12),-0.0896367 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,13),(15,11),0.145955 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,13),(15,9),0.345003 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,13),(15,8),0.14367 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,13),(15,4),0.167195 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,13),(15,1),-0.102138 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,13),(15,-1),0.0404992 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,12),(15,11),0.177675 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,12),(15,9),0.113697 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,12),(15,8),0.178991 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,12),(15,4),0.107569 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,12),(15,1),0.15505 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,12),(15,-1),-0.242539 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,11),(15,9),0.344506 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,11),(15,8),0.141891 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,11),(15,4),0.17052 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,11),(15,1),-0.098875 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,11),(15,-1),0.0209569 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,9),(15,8),0.105839 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,9),(15,4),0.129562 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,9),(15,1),0.312517 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,9),(15,-1),-0.367498 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,15),(15,8),(15,4),0.167195 # DEPENDENCYPART_GRANDSIBL
(0,15),(15,8),(15,1),-0.102138 # DEPENDENCYPART_GRANDSIBL
