# _root_ In addition to increasing costs as a result of greater financial exposure for members , these measures could have other , far-reaching repercussions .
#goldHeads=18,1,2,3,4,4,8,6,8,12,12,9,12,13,18,17,18,0,18,22,22,23,19,18,
#predictedHeads=18,1,2,5,3,5,8,6,8,12,12,9,12,13,18,17,18,0,18,23,23,23,19,18,
(19,2),(19,22),-0.042099 # DEPENDENCYPART_SIBL
(19,2),(19,23),-0.00572933 # DEPENDENCYPART_SIBL
(19,2),(19,24),0.00331481 # DEPENDENCYPART_SIBL
(19,5),(19,6),-0.0351009 # DEPENDENCYPART_SIBL
(19,5),(19,13),0.0150295 # DEPENDENCYPART_SIBL
(19,5),(19,15),0.0113977 # DEPENDENCYPART_SIBL
(19,5),(19,16),-0.0707984 # DEPENDENCYPART_SIBL
(19,5),(19,17),-0.112433 # DEPENDENCYPART_SIBL
(19,5),(19,18),-0.0442291 # DEPENDENCYPART_SIBL
(19,5),(19,20),-0.05035 # DEPENDENCYPART_SIBL
(19,5),(19,21),0.0522831 # DEPENDENCYPART_SIBL
(19,5),(19,22),-0.0415227 # DEPENDENCYPART_SIBL
(19,5),(19,23),0.0215273 # DEPENDENCYPART_SIBL
(19,5),(19,24),0.0243437 # DEPENDENCYPART_SIBL
(19,6),(19,13),-0.0454103 # DEPENDENCYPART_SIBL
(19,6),(19,15),0.000484526 # DEPENDENCYPART_SIBL
(19,6),(19,16),-0.00325606 # DEPENDENCYPART_SIBL
(19,6),(19,17),-0.0316478 # DEPENDENCYPART_SIBL
(19,6),(19,18),-0.0195482 # DEPENDENCYPART_SIBL
(19,6),(19,20),-0.143358 # DEPENDENCYPART_SIBL
(19,6),(19,21),-0.139372 # DEPENDENCYPART_SIBL
(19,6),(19,22),-0.116918 # DEPENDENCYPART_SIBL
(19,6),(19,23),-0.0577132 # DEPENDENCYPART_SIBL
(19,6),(19,24),-0.0918639 # DEPENDENCYPART_SIBL
(19,13),(19,15),0.0901515 # DEPENDENCYPART_SIBL
(19,13),(19,16),0.0645751 # DEPENDENCYPART_SIBL
(19,13),(19,17),-0.000143527 # DEPENDENCYPART_SIBL
(19,13),(19,18),0.0352934 # DEPENDENCYPART_SIBL
(19,13),(19,20),-0.0732879 # DEPENDENCYPART_SIBL
(19,13),(19,21),-0.0289614 # DEPENDENCYPART_SIBL
(19,13),(19,22),-0.0467994 # DEPENDENCYPART_SIBL
(19,13),(19,23),0.0291029 # DEPENDENCYPART_SIBL
(19,13),(19,24),0.0745244 # DEPENDENCYPART_SIBL
(19,15),(19,16),0.0278919 # DEPENDENCYPART_SIBL
(19,15),(19,17),-0.0114109 # DEPENDENCYPART_SIBL
(19,15),(19,18),-0.0500285 # DEPENDENCYPART_SIBL
(19,15),(19,20),-0.0691336 # DEPENDENCYPART_SIBL
(19,15),(19,21),0.185726 # DEPENDENCYPART_SIBL
(19,15),(19,22),-0.0671178 # DEPENDENCYPART_SIBL
(19,15),(19,23),-0.0550006 # DEPENDENCYPART_SIBL
(19,15),(19,24),0.0581282 # DEPENDENCYPART_SIBL
(19,16),(19,17),-0.0569148 # DEPENDENCYPART_SIBL
(19,16),(19,18),-0.0718667 # DEPENDENCYPART_SIBL
(19,16),(19,20),-0.0300146 # DEPENDENCYPART_SIBL
(19,16),(19,21),-0.0118773 # DEPENDENCYPART_SIBL
(19,16),(19,22),-0.0305572 # DEPENDENCYPART_SIBL
(19,16),(19,23),-0.0175772 # DEPENDENCYPART_SIBL
(19,16),(19,24),0.0693809 # DEPENDENCYPART_SIBL
(19,17),(19,18),-0.0533709 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0435975 # DEPENDENCYPART_SIBL
(19,17),(19,21),0.0246932 # DEPENDENCYPART_SIBL
(19,17),(19,22),-0.0347717 # DEPENDENCYPART_SIBL
(19,17),(19,23),0.00590967 # DEPENDENCYPART_SIBL
(19,17),(19,24),0.032015 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.111971 # DEPENDENCYPART_SIBL
(19,18),(19,21),-0.102662 # DEPENDENCYPART_SIBL
(19,18),(19,22),-0.0983954 # DEPENDENCYPART_SIBL
(19,18),(19,23),-0.0680319 # DEPENDENCYPART_SIBL
(19,18),(19,24),0.0357275 # DEPENDENCYPART_SIBL
(19,20),(19,21),0.00608719 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.0670343 # DEPENDENCYPART_SIBL
(19,20),(19,23),-0.0495007 # DEPENDENCYPART_SIBL
(19,20),(19,24),-0.0420963 # DEPENDENCYPART_SIBL
(19,21),(19,22),-0.0134712 # DEPENDENCYPART_SIBL
(19,21),(19,23),-0.0160473 # DEPENDENCYPART_SIBL
(19,21),(19,24),-0.00620596 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.0568613 # DEPENDENCYPART_SIBL
(19,22),(19,24),-0.0434055 # DEPENDENCYPART_SIBL
(19,23),(19,24),0.00238904 # DEPENDENCYPART_SIBL
(20,16),(20,17),-0.0431806 # DEPENDENCYPART_SIBL
(20,16),(20,19),0.0160953 # DEPENDENCYPART_SIBL
(20,16),(20,21),0.09669 # DEPENDENCYPART_SIBL
(20,16),(20,22),-0.00640765 # DEPENDENCYPART_SIBL
(20,16),(20,23),0.00847796 # DEPENDENCYPART_SIBL
(20,16),(20,24),0.0307548 # DEPENDENCYPART_SIBL
(20,17),(20,19),0.0463537 # DEPENDENCYPART_SIBL
(20,17),(20,21),0.0212731 # DEPENDENCYPART_SIBL
(20,17),(20,22),-0.0565291 # DEPENDENCYPART_SIBL
(20,17),(20,23),0.0107711 # DEPENDENCYPART_SIBL
(20,17),(20,24),-0.0175361 # DEPENDENCYPART_SIBL
(20,19),(20,21),0.0848675 # DEPENDENCYPART_SIBL
(20,19),(20,22),-0.0290693 # DEPENDENCYPART_SIBL
(20,19),(20,23),-0.0282795 # DEPENDENCYPART_SIBL
(20,19),(20,24),0.0536764 # DEPENDENCYPART_SIBL
(20,21),(20,22),0.0373007 # DEPENDENCYPART_SIBL
(20,21),(20,23),0.104421 # DEPENDENCYPART_SIBL
(20,21),(20,24),0.0447633 # DEPENDENCYPART_SIBL
(20,22),(20,23),0.0210725 # DEPENDENCYPART_SIBL
(20,22),(20,24),-0.010979 # DEPENDENCYPART_SIBL
(20,23),(20,24),-0.0238441 # DEPENDENCYPART_SIBL
(22,12),(22,17),0.000683249 # DEPENDENCYPART_SIBL
(22,12),(22,20),0.0352514 # DEPENDENCYPART_SIBL
(22,12),(22,21),0.213736 # DEPENDENCYPART_SIBL
(22,12),(22,23),0.0201954 # DEPENDENCYPART_SIBL
(22,17),(22,20),0.0354456 # DEPENDENCYPART_SIBL
(22,17),(22,21),0.218444 # DEPENDENCYPART_SIBL
(22,17),(22,23),0.0169605 # DEPENDENCYPART_SIBL
(22,20),(22,21),0.149967 # DEPENDENCYPART_SIBL
(22,20),(22,23),0.00171083 # DEPENDENCYPART_SIBL
(22,21),(22,23),0.00208608 # DEPENDENCYPART_SIBL
(23,16),(23,17),0.0025409 # DEPENDENCYPART_SIBL
(23,16),(23,19),0.0885877 # DEPENDENCYPART_SIBL
(23,16),(23,20),-0.0349774 # DEPENDENCYPART_SIBL
(23,16),(23,21),0.00855198 # DEPENDENCYPART_SIBL
(23,16),(23,22),0.0159689 # DEPENDENCYPART_SIBL
(23,16),(23,24),-0.0944814 # DEPENDENCYPART_SIBL
(23,17),(23,19),0.0282025 # DEPENDENCYPART_SIBL
(23,17),(23,20),-0.0430589 # DEPENDENCYPART_SIBL
(23,17),(23,21),0.047597 # DEPENDENCYPART_SIBL
(23,17),(23,22),0.0179807 # DEPENDENCYPART_SIBL
(23,17),(23,24),0.018318 # DEPENDENCYPART_SIBL
(23,19),(23,20),-0.0293811 # DEPENDENCYPART_SIBL
(23,19),(23,21),0.125779 # DEPENDENCYPART_SIBL
(23,19),(23,22),0.0107499 # DEPENDENCYPART_SIBL
(23,19),(23,24),0.0557842 # DEPENDENCYPART_SIBL
(23,20),(23,21),0.0859077 # DEPENDENCYPART_SIBL
(23,20),(23,22),0.080733 # DEPENDENCYPART_SIBL
(23,20),(23,24),-0.0642265 # DEPENDENCYPART_SIBL
(23,21),(23,22),0.0347154 # DEPENDENCYPART_SIBL
(23,21),(23,24),0.0331259 # DEPENDENCYPART_SIBL
(23,22),(23,24),-0.0438185 # DEPENDENCYPART_SIBL
(0,0),(0,1),-1.09277 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,2),-0.394413 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,3),-0.536357 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,4),-0.165837 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,5),-0.24575 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,8),-0.400323 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,18),-0.162701 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,19),0.269576 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,25),-0.941041 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(0,1),(0,2),-0.985969 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,3),-0.835705 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,4),-0.748465 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,5),-0.922233 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,8),-0.819579 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,18),-1.1031 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,19),-1.09674 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,25),-0.623148 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,2),(0,3),-0.797343 # DEPENDENCYPART_NEXTSIBL
(0,2),(0,4),-0.931035 # DEPENDENCYPART_NEXTSIBL
(0,2),(0,5),-1.26935 # DEPENDENCYPART_NEXTSIBL
(0,2),(0,8),-1.20855 # DEPENDENCYPART_NEXTSIBL
(0,2),(0,18),-1.13955 # DEPENDENCYPART_NEXTSIBL
(0,2),(0,19),-0.965831 # DEPENDENCYPART_NEXTSIBL
(0,2),(0,25),-0.642464 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,3),(0,4),-1.0042 # DEPENDENCYPART_NEXTSIBL
(0,3),(0,5),-0.940281 # DEPENDENCYPART_NEXTSIBL
(0,3),(0,8),-0.81409 # DEPENDENCYPART_NEXTSIBL
(0,3),(0,18),-1.16624 # DEPENDENCYPART_NEXTSIBL
(0,3),(0,19),-0.928947 # DEPENDENCYPART_NEXTSIBL
(0,3),(0,25),-0.538053 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,4),(0,5),-1.09951 # DEPENDENCYPART_NEXTSIBL
(0,4),(0,8),-1.06953 # DEPENDENCYPART_NEXTSIBL
(0,4),(0,18),-1.36003 # DEPENDENCYPART_NEXTSIBL
(0,4),(0,19),-1.208 # DEPENDENCYPART_NEXTSIBL
(0,4),(0,25),-0.511658 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,5),(0,8),-0.999573 # DEPENDENCYPART_NEXTSIBL
(0,5),(0,18),-0.779541 # DEPENDENCYPART_NEXTSIBL
(0,5),(0,19),-0.707643 # DEPENDENCYPART_NEXTSIBL
(0,5),(0,25),-0.583849 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,8),(0,18),-0.830845 # DEPENDENCYPART_NEXTSIBL
(0,8),(0,19),-0.795583 # DEPENDENCYPART_NEXTSIBL
(0,8),(0,25),-0.380226 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,18),(0,19),-0.790745 # DEPENDENCYPART_NEXTSIBL
(0,18),(0,25),-0.0915419 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,19),(0,25),-0.339529 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,0),(0,-1),-0.420032 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,1),(1,2),-0.018156 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,3),-0.511604 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,4),-0.383021 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,5),0.0522894 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,6),-0.786217 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,25),-0.999455 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,2),(1,3),-0.691146 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,4),-0.797017 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,5),-1.19551 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,6),-0.778716 # DEPENDENCYPART_NEXTSIBL
(1,2),(1,25),-0.419238 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,3),(1,4),-0.968274 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,5),-0.871813 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,6),-0.792992 # DEPENDENCYPART_NEXTSIBL
(1,3),(1,25),-0.642291 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,4),(1,5),-1.02011 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,6),-1.13693 # DEPENDENCYPART_NEXTSIBL
(1,4),(1,25),-0.72252 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,5),(1,6),-0.553499 # DEPENDENCYPART_NEXTSIBL
(1,5),(1,25),-0.424408 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,6),(1,25),-0.930064 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,1),(1,-1),-0.185548 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,2),(2,3),-0.328884 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,4),-0.417722 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,5),-0.335909 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,6),-0.557765 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,8),-0.476774 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,9),-0.0570305 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,15),-1.13489 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,21),-0.993726 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,24),-0.890304 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,25),-0.443524 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,3),(2,4),-0.889291 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,5),-0.850369 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,6),-0.608927 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,8),-0.714858 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,9),-0.793569 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,15),-0.61925 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,21),-0.75313 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,24),-0.623492 # DEPENDENCYPART_NEXTSIBL
(2,3),(2,25),-0.365133 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,4),(2,5),-1.03282 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,6),-1.05459 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,8),-0.993983 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,9),-0.999656 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,15),-0.363026 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,21),-0.665632 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,24),-1.47857 # DEPENDENCYPART_NEXTSIBL
(2,4),(2,25),-0.734584 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,5),(2,6),-0.549914 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,8),-0.891719 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,9),-0.465244 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,15),-0.400507 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,21),-0.446466 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,24),-0.13175 # DEPENDENCYPART_NEXTSIBL
(2,5),(2,25),-0.640109 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,6),(2,8),-0.816427 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,9),-0.658619 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,15),-0.208878 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,21),-0.311046 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,24),-0.679338 # DEPENDENCYPART_NEXTSIBL
(2,6),(2,25),-0.713515 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,8),(2,9),-0.512698 # DEPENDENCYPART_NEXTSIBL
(2,8),(2,15),-0.42715 # DEPENDENCYPART_NEXTSIBL
(2,8),(2,21),-0.435079 # DEPENDENCYPART_NEXTSIBL
(2,8),(2,24),-0.280187 # DEPENDENCYPART_NEXTSIBL
(2,8),(2,25),-0.414212 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,9),(2,15),-0.446422 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,21),-0.623306 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,24),-0.350187 # DEPENDENCYPART_NEXTSIBL
(2,9),(2,25),-0.53064 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,15),(2,21),-1.11736 # DEPENDENCYPART_NEXTSIBL
(2,15),(2,24),-0.975337 # DEPENDENCYPART_NEXTSIBL
(2,15),(2,25),-0.658157 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,21),(2,24),-0.834314 # DEPENDENCYPART_NEXTSIBL
(2,21),(2,25),-0.48435 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,24),(2,25),-1.50007 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,2),(2,1),-0.808576 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,-1),-0.446974 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,1),(2,-1),-0.579144 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,4),-0.448042 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,5),-0.0341256 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,6),-0.780459 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,8),-0.189825 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,9),-0.326941 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,12),-0.0160363 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,25),-0.767188 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,4),(3,5),-1.04123 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,6),-1.15593 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,8),-1.01086 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,9),-1.12076 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,12),-1.01113 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,25),-0.748754 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,5),(3,6),-0.573023 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,8),-0.927841 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,9),-0.495713 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,12),-1.06757 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,25),-0.470809 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,6),(3,8),-0.84118 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,9),-0.799177 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,12),-0.813713 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,25),-0.895815 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,8),(3,9),-0.551463 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,12),-1.17424 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,25),-0.267433 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,9),(3,12),-0.819596 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,25),-0.744675 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,12),(3,25),0.0490719 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,2),-0.496362 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,1),-0.802055 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,-1),-0.29517 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,2),(3,1),-0.576462 # DEPENDENCYPART_NEXTSIBL
(3,2),(3,-1),-0.840842 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,1),(3,-1),-0.578003 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,4),(4,5),-0.122552 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,6),-0.754483 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,8),-0.310435 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,9),-0.403404 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,12),-0.133362 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,13),-0.588956 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,14),-0.539697 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,15),-1.14688 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,19),-0.0462413 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,24),-1.24944 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,25),-0.637972 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,5),(4,6),-0.629342 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,8),-0.844103 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,9),-0.637553 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,12),-0.985716 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,13),-0.539728 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,14),-1.10949 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,15),-0.666779 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,19),-0.658012 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,24),-0.22251 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,25),-0.607871 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,6),(4,8),-0.898268 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,9),-0.850812 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,12),-0.87081 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,13),-0.722837 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,14),-0.915807 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,15),-0.317751 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,19),-0.979065 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,24),-0.755566 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,25),-0.785547 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,8),(4,9),-0.685579 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,12),-1.10182 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,13),-0.638123 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,14),-1.22432 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,15),-0.713555 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,19),-0.753573 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,24),-0.39235 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,25),-0.438877 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,9),(4,12),-0.918923 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,13),-0.542192 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,14),-0.954157 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,15),-0.613919 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,19),-0.788585 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,24),-0.451592 # DEPENDENCYPART_NEXTSIBL
(4,9),(4,25),-0.675051 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,12),(4,13),-0.53577 # DEPENDENCYPART_NEXTSIBL
(4,12),(4,14),-0.963371 # DEPENDENCYPART_NEXTSIBL
(4,12),(4,15),-0.752091 # DEPENDENCYPART_NEXTSIBL
(4,12),(4,19),-0.795647 # DEPENDENCYPART_NEXTSIBL
(4,12),(4,24),-0.558763 # DEPENDENCYPART_NEXTSIBL
(4,12),(4,25),-0.120891 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,13),(4,14),-1.08902 # DEPENDENCYPART_NEXTSIBL
(4,13),(4,15),-0.614073 # DEPENDENCYPART_NEXTSIBL
(4,13),(4,19),-0.810863 # DEPENDENCYPART_NEXTSIBL
(4,13),(4,24),-0.729543 # DEPENDENCYPART_NEXTSIBL
(4,13),(4,25),-0.50812 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,14),(4,15),-0.791666 # DEPENDENCYPART_NEXTSIBL
(4,14),(4,19),-1.12935 # DEPENDENCYPART_NEXTSIBL
(4,14),(4,24),-0.819709 # DEPENDENCYPART_NEXTSIBL
(4,14),(4,25),-0.649076 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,15),(4,19),-0.692047 # DEPENDENCYPART_NEXTSIBL
(4,15),(4,24),-1.03158 # DEPENDENCYPART_NEXTSIBL
(4,15),(4,25),-0.856055 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,19),(4,24),-0.26596 # DEPENDENCYPART_NEXTSIBL
(4,19),(4,25),-0.520695 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,24),(4,25),-1.59731 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,4),(4,3),-0.205263 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,2),-0.253149 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,1),-0.895305 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,-1),-0.646321 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,3),(4,2),-0.117552 # DEPENDENCYPART_NEXTSIBL
(4,3),(4,1),-0.693766 # DEPENDENCYPART_NEXTSIBL
(4,3),(4,-1),-0.509584 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,2),(4,1),-0.537071 # DEPENDENCYPART_NEXTSIBL
(4,2),(4,-1),-0.877748 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,1),(4,-1),-0.632845 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,6),-0.528317 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,8),-0.490359 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,9),-0.0177503 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,10),-0.555995 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,12),-0.308305 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
