# _root_ All the while , Ms. Bartlett had been busy at her assignment , serene in her sense of self-tilth .
#goldHeads=3,3,7,7,6,7,0,7,14,9,12,10,14,8,14,17,15,17,18,7,
#predictedHeads=3,3,7,7,6,7,0,7,8,8,12,10,8,8,14,17,15,17,18,7,
(3,6),(6,13),(6,21),-0.0437622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,6),(6,5),0.143702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,4),0.165785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,3),0.14489 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,6),(6,2),-0.125504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,-1),0.0010178 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,5),(6,4),0.122615 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,5),(6,3),0.110081 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,5),(6,2),-0.12581 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,5),(6,-1),-0.148174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,4),(6,3),0.112757 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,4),(6,2),-0.124894 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,4),(6,-1),-0.00337174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,3),(6,2),-0.12581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,3),(6,-1),-0.147524 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,2),(6,-1),-0.179314 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,7),(7,8),-0.0733604 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,9),-0.00956405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,10),-0.0148066 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,12),-0.0550383 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,13),-0.0745592 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,14),-0.0114104 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,15),-0.00357967 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,20),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,21),0.0514761 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,7),(7,8),(7,9),-0.0433435 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,10),-0.0522228 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,12),-0.0486714 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,13),-0.035137 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,14),-0.0433435 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,15),-0.0382287 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,20),-0.0433344 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,21),-0.0925485 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,9),(7,10),-0.0483493 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,12),-0.039417 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,13),-0.0349983 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,14),-0.045478 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,15),-0.0539627 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,20),-0.0428785 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,9),(7,21),0.0292664 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,10),(7,12),-0.0396982 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,13),-0.0215079 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,14),-0.0473302 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,15),-0.0406551 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,20),-0.0531962 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,10),(7,21),-0.0279053 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,12),(7,13),-0.0663198 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,12),(7,14),-0.038947 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,12),(7,15),-0.00191821 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,12),(7,20),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,12),(7,21),-0.0821753 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,13),(7,14),-0.0402455 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,13),(7,15),-0.0621511 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,13),(7,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,13),(7,21),-0.093499 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,14),(7,15),-0.0539627 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,14),(7,20),-0.0428785 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,14),(7,21),0.030302 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,15),(7,20),-0.0558769 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,15),(7,21),-0.000542879 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,20),(7,21),-0.0874137 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,7),(7,6),0.187373 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,5),0.188263 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,4),0.144194 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,3),0.191781 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,7),(7,7),(7,2),-0.12684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,-1),-0.030168 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,7),(7,6),(7,5),0.0936381 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,6),(7,4),0.0549915 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,6),(7,3),0.091043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,6),(7,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,6),(7,-1),0.0188253 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,5),(7,4),0.0552703 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,5),(7,3),0.091043 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,5),(7,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,5),(7,-1),0.0194382 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,4),(7,3),0.118435 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,4),(7,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,4),(7,-1),-0.188935 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,3),(7,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,3),(7,-1),0.0198063 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,7),(7,2),(7,-1),-0.13607 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,8),(8,9),-0.00651013 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,10),-0.0206734 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,12),-0.0449928 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,13),-0.0734479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,14),-0.00835644 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,15),-0.00944649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,17),-0.0448434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,18),-0.0428013 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,20),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,21),0.0535824 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,8),(8,9),(8,10),-0.0476556 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,12),-0.0393933 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,13),-0.0349983 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,14),-0.045478 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,15),-0.053269 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,17),-0.0393933 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,18),-0.0504785 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,20),-0.0428785 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,21),0.0327401 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,10),(8,12),-0.0427255 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,13),-0.0214917 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,14),-0.0473302 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,15),-0.0427966 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,17),-0.0427255 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,18),-0.0419539 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,20),-0.0529877 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,21),-0.0270534 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,12),(8,13),-0.0662857 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,12),(8,14),-0.038947 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,12),(8,15),-0.0038992 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,12),(8,17),-0.0341773 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,12),(8,18),-0.0165286 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,12),(8,20),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,12),(8,21),-0.0645313 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,13),(8,14),-0.0402358 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,13),(8,15),-0.0607619 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,13),(8,17),-0.0356726 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,13),(8,18),-0.0631773 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,13),(8,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,13),(8,21),-0.0932717 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,14),(8,15),-0.053269 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,14),(8,17),-0.0393933 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,14),(8,18),-0.0504785 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,14),(8,20),-0.0428785 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,14),(8,21),0.0337757 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,15),(8,17),-0.0362064 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,15),(8,18),-0.0608261 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,15),(8,20),-0.0556684 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,15),(8,21),0.000309036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,17),(8,18),-0.0168041 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,17),(8,20),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,17),(8,21),-0.0664515 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,18),(8,20),-0.0530068 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,18),(8,21),-0.0282323 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,20),(8,21),-0.0871039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,8),(8,7),0.180653 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,6),0.164081 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,5),0.164971 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,4),0.139982 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,3),0.168489 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,8),(8,8),(8,-1),-0.0126869 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,8),(8,7),(8,6),0.116307 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,7),(8,5),0.116307 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,7),(8,4),0.129893 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,7),(8,3),0.115984 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,7),(8,-1),-0.141589 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,6),(8,5),0.0945991 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,6),(8,4),0.0564678 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,6),(8,3),0.0920039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,6),(8,-1),-0.0309441 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,5),(8,4),0.0567465 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,5),(8,3),0.0920039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,5),(8,-1),-0.0303311 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,4),(8,3),0.117317 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,4),(8,-1),-0.188082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,3),(8,-1),-0.029963 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,9),(9,9),(9,10),0.0317133 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,12),-0.0433981 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,13),0.0334177 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,14),-0.0741053 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,15),0.0687453 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,17),-0.0433981 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,18),0.0376925 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,19),-0.0433981 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,20),-0.042021 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,21),0.0248759 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,9),(9,10),(9,12),-0.0442697 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,13),-0.0423871 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,14),-0.0366996 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,15),-0.0461716 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,17),-0.0442697 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,18),-0.0467641 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,19),-0.0442697 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,20),-0.0420146 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,21),0.0281404 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,12),(9,13),-0.0504705 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,12),(9,14),-0.0422944 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,12),(9,15),-0.0493959 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,12),(9,17),-0.0178255 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,12),(9,18),-0.0493024 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,12),(9,19),-0.0178255 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,12),(9,20),-0.0419993 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,12),(9,21),0.00335231 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,13),(9,14),-0.0352161 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,13),(9,15),-0.0512083 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,13),(9,17),0.0393327 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,13),(9,18),-0.0530364 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,13),(9,19),0.0393327 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,13),(9,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,13),(9,21),-0.0813326 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,14),(9,15),-0.0442554 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,14),(9,17),-0.03643 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,14),(9,18),-0.0439091 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,14),(9,19),-0.03643 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,14),(9,20),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,14),(9,21),-0.0256793 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,15),(9,17),-0.0442836 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,15),(9,18),-0.0451028 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,15),(9,19),-0.0442836 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,15),(9,20),-0.0420146 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,15),(9,21),0.0569867 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,17),(9,18),-0.0493024 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,17),(9,19),-0.0178255 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,17),(9,20),-0.0419993 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,17),(9,21),0.00335231 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,18),(9,19),-0.0445315 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,18),(9,20),-0.0420223 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,18),(9,21),0.0192431 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,19),(9,20),-0.0419993 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,19),(9,21),0.00335231 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,20),(9,21),-0.042022 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,9),(9,6),0.123629 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,5),0.123629 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,3),0.122524 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,9),(9,9),(9,-1),-0.00240129 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,9),(9,6),(9,5),0.117557 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,6),(9,3),0.117555 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,6),(9,-1),-0.121307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,5),(9,3),0.117555 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,5),(9,-1),-0.121307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,3),(9,-1),-0.122413 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,10),(10,10),(10,11),0.00356804 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,12),0.0969724 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,13),-0.0855493 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,14),-0.0593162 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,15),-0.0660877 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,17),0.0993532 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,18),-0.0799318 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,21),-0.343703 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,10),(10,11),(10,12),-0.0395679 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,13),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,14),-0.0420032 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,15),-0.0424836 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,17),-0.0395679 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,18),-0.0424836 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,21),0.00246854 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,12),(10,13),-0.0249291 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,14),-0.0447063 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,15),-0.0529126 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,17),-0.0801217 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,18),-0.0499823 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,21),0.0613301 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,13),(10,14),-0.0428517 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,15),-0.0496125 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,17),-0.0597677 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,18),-0.0481634 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,21),-0.0366775 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,14),(10,15),-0.0471756 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,17),-0.0438994 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,18),-0.0458877 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,21),-0.0565237 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,15),(10,17),-0.0497288 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,18),-0.0457643 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,21),-0.105777 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,17),(10,18),-0.0499823 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,17),(10,21),0.063732 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,18),(10,21),-0.106068 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,10),(10,9),0.180367 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,-1),-0.066716 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,10),(10,9),(10,-1),-0.169049 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,12),(12,13),0.138962 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,14),-0.0655465 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,15),-0.0507308 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,17),-0.182988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,18),-0.0287234 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,19),-0.182988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,20),0.0853674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,21),0.0586042 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,12),(12,13),(12,14),-0.0511051 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,15),-0.0286937 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,17),0.13421 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,18),-0.0267764 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,19),0.13421 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,20),-0.0439761 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,21),-0.0437622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,14),(12,15),-0.0431745 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,17),-0.0605472 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,18),-0.0395578 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,19),-0.0605472 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,20),-0.0421103 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,21),-0.0504587 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,15),(12,17),-0.0428613 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,18),-0.038748 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,19),-0.0428613 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,20),-0.0454354 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,21),-0.136505 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,17),(12,18),-0.037029 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,17),(12,19),-0.0133061 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,17),(12,20),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,17),(12,21),0.00288948 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,18),(12,19),-0.0360075 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,18),(12,20),-0.0471799 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,18),(12,21),-0.0582765 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,19),(12,20),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,19),(12,21),0.00288948 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
