# _root_ `` They all went in the wrong direction , '' said Andreas Insam , an investment adviser for the Bank in Liechtenstein 's Frankfurt branch .
#goldHeads=11,4,2,11,4,8,8,5,11,11,0,13,11,13,17,17,13,17,20,18,17,25,22,25,21,11,
#predictedHeads=11,4,4,11,4,8,8,5,11,11,0,13,11,13,17,17,13,17,20,25,20,21,20,25,18,11,
(5,2),(5,17),0.0143199 # DEPENDENCYPART_SIBL
(5,3),(5,4),-0.00192063 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0521565 # DEPENDENCYPART_SIBL
(5,3),(5,7),-0.0246935 # DEPENDENCYPART_SIBL
(5,3),(5,8),0.122584 # DEPENDENCYPART_SIBL
(5,3),(5,9),0.0583168 # DEPENDENCYPART_SIBL
(5,3),(5,10),-0.0532003 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.0722042 # DEPENDENCYPART_SIBL
(5,3),(5,13),0.0270534 # DEPENDENCYPART_SIBL
(5,3),(5,14),0.0583168 # DEPENDENCYPART_SIBL
(5,3),(5,17),0.13224 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0119454 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.000829195 # DEPENDENCYPART_SIBL
(5,4),(5,8),0.114787 # DEPENDENCYPART_SIBL
(5,4),(5,9),0.108378 # DEPENDENCYPART_SIBL
(5,4),(5,10),-0.0249489 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.069473 # DEPENDENCYPART_SIBL
(5,4),(5,13),0.0445457 # DEPENDENCYPART_SIBL
(5,4),(5,14),0.108378 # DEPENDENCYPART_SIBL
(5,4),(5,17),0.127112 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.228495 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.703021 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.115124 # DEPENDENCYPART_SIBL
(5,6),(5,10),-0.173493 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.32468 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.469664 # DEPENDENCYPART_SIBL
(5,6),(5,14),-0.115124 # DEPENDENCYPART_SIBL
(5,6),(5,17),-0.702171 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.632922 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0348678 # DEPENDENCYPART_SIBL
(5,7),(5,10),-0.0386784 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.332822 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.374141 # DEPENDENCYPART_SIBL
(5,7),(5,14),-0.0348678 # DEPENDENCYPART_SIBL
(5,7),(5,17),-0.632453 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.0481721 # DEPENDENCYPART_SIBL
(5,8),(5,10),-0.113523 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.453233 # DEPENDENCYPART_SIBL
(5,8),(5,13),-0.563346 # DEPENDENCYPART_SIBL
(5,8),(5,14),0.0481721 # DEPENDENCYPART_SIBL
(5,8),(5,17),-1.03172 # DEPENDENCYPART_SIBL
(5,9),(5,10),0.141749 # DEPENDENCYPART_SIBL
(5,9),(5,11),0.346 # DEPENDENCYPART_SIBL
(5,9),(5,13),0.0739697 # DEPENDENCYPART_SIBL
(5,9),(5,14),-0.0166881 # DEPENDENCYPART_SIBL
(5,9),(5,17),0.0102909 # DEPENDENCYPART_SIBL
(5,10),(5,11),-0.18694 # DEPENDENCYPART_SIBL
(5,10),(5,13),-0.231146 # DEPENDENCYPART_SIBL
(5,10),(5,14),-0.05769 # DEPENDENCYPART_SIBL
(5,10),(5,17),-0.302597 # DEPENDENCYPART_SIBL
(5,11),(5,13),-0.238269 # DEPENDENCYPART_SIBL
(5,11),(5,14),0.222815 # DEPENDENCYPART_SIBL
(5,11),(5,17),-0.499758 # DEPENDENCYPART_SIBL
(5,13),(5,14),-0.120396 # DEPENDENCYPART_SIBL
(5,13),(5,17),-0.974169 # DEPENDENCYPART_SIBL
(5,14),(5,17),0.0102909 # DEPENDENCYPART_SIBL
(7,1),(7,2),0.0904921 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.161475 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.213831 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0712941 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.610586 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.0712941 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.00201834 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0120561 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0359094 # DEPENDENCYPART_SIBL
(7,2),(7,10),0.0748195 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0359094 # DEPENDENCYPART_SIBL
(7,3),(7,6),0.137574 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.111244 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.024359 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.111244 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0576312 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.186976 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0576312 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.211872 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.0337842 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.0734269 # DEPENDENCYPART_SIBL
(8,1),(8,2),0.136777 # DEPENDENCYPART_SIBL
(8,1),(8,3),-0.0445051 # DEPENDENCYPART_SIBL
(8,1),(8,4),0.132115 # DEPENDENCYPART_SIBL
(8,1),(8,6),-0.0326208 # DEPENDENCYPART_SIBL
(8,1),(8,7),0.147331 # DEPENDENCYPART_SIBL
(8,1),(8,9),0.0279222 # DEPENDENCYPART_SIBL
(8,1),(8,10),0.727041 # DEPENDENCYPART_SIBL
(8,1),(8,11),-0.0210677 # DEPENDENCYPART_SIBL
(8,1),(8,12),0.0607114 # DEPENDENCYPART_SIBL
(8,1),(8,13),0.0607662 # DEPENDENCYPART_SIBL
(8,1),(8,14),0.0279222 # DEPENDENCYPART_SIBL
(8,1),(8,17),0.0377155 # DEPENDENCYPART_SIBL
(8,1),(8,18),0.0668892 # DEPENDENCYPART_SIBL
(8,1),(8,20),0.0567218 # DEPENDENCYPART_SIBL
(8,1),(8,25),0.0440816 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.24295 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.0565189 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.293632 # DEPENDENCYPART_SIBL
(8,2),(8,7),0.125315 # DEPENDENCYPART_SIBL
(8,2),(8,9),0.00734645 # DEPENDENCYPART_SIBL
(8,2),(8,10),0.150839 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0207994 # DEPENDENCYPART_SIBL
(8,2),(8,12),0.0141633 # DEPENDENCYPART_SIBL
(8,2),(8,13),0.0141633 # DEPENDENCYPART_SIBL
(8,2),(8,14),0.00734645 # DEPENDENCYPART_SIBL
(8,2),(8,17),0.0183942 # DEPENDENCYPART_SIBL
(8,2),(8,18),0.0311567 # DEPENDENCYPART_SIBL
(8,2),(8,20),0.00182013 # DEPENDENCYPART_SIBL
(8,2),(8,25),0.0227544 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.0633162 # DEPENDENCYPART_SIBL
(8,3),(8,6),-0.159877 # DEPENDENCYPART_SIBL
(8,3),(8,7),-0.0154331 # DEPENDENCYPART_SIBL
(8,3),(8,9),-0.123958 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.05984 # DEPENDENCYPART_SIBL
(8,3),(8,11),0.0228471 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0316705 # DEPENDENCYPART_SIBL
(8,3),(8,13),-0.0316705 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.123958 # DEPENDENCYPART_SIBL
(8,3),(8,17),-0.0664739 # DEPENDENCYPART_SIBL
(8,3),(8,18),-0.0255746 # DEPENDENCYPART_SIBL
(8,3),(8,20),-0.0535173 # DEPENDENCYPART_SIBL
(8,3),(8,25),-0.0587157 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.121522 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0360867 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0120416 # DEPENDENCYPART_SIBL
(8,4),(8,10),0.0391451 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0119734 # DEPENDENCYPART_SIBL
(8,4),(8,12),0.0557137 # DEPENDENCYPART_SIBL
(8,4),(8,13),0.0557137 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0120416 # DEPENDENCYPART_SIBL
(8,4),(8,17),0.00834799 # DEPENDENCYPART_SIBL
(8,4),(8,18),0.0738853 # DEPENDENCYPART_SIBL
(8,4),(8,20),0.0489309 # DEPENDENCYPART_SIBL
(8,4),(8,25),0.0111813 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.14803 # DEPENDENCYPART_SIBL
(8,6),(8,9),0.0038522 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0806371 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0801459 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.053356 # DEPENDENCYPART_SIBL
(8,6),(8,13),0.053356 # DEPENDENCYPART_SIBL
(8,6),(8,14),0.0038522 # DEPENDENCYPART_SIBL
(8,6),(8,17),0.00387452 # DEPENDENCYPART_SIBL
(8,6),(8,18),0.0497921 # DEPENDENCYPART_SIBL
(8,6),(8,20),0.0368126 # DEPENDENCYPART_SIBL
(8,6),(8,25),0.0140937 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0182583 # DEPENDENCYPART_SIBL
(8,7),(8,10),0.065367 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.0193245 # DEPENDENCYPART_SIBL
(8,7),(8,12),0.0270375 # DEPENDENCYPART_SIBL
(8,7),(8,13),0.0261178 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.0182583 # DEPENDENCYPART_SIBL
(8,7),(8,17),0.00716544 # DEPENDENCYPART_SIBL
(8,7),(8,18),0.0123938 # DEPENDENCYPART_SIBL
(8,7),(8,20),0.0536872 # DEPENDENCYPART_SIBL
(8,7),(8,25),0.0104832 # DEPENDENCYPART_SIBL
(8,9),(8,10),0.342306 # DEPENDENCYPART_SIBL
(8,9),(8,11),0.293561 # DEPENDENCYPART_SIBL
(8,9),(8,12),0.612154 # DEPENDENCYPART_SIBL
(8,9),(8,13),0.610798 # DEPENDENCYPART_SIBL
(8,9),(8,14),0.0920836 # DEPENDENCYPART_SIBL
(8,9),(8,17),0.713001 # DEPENDENCYPART_SIBL
(8,9),(8,18),0.18349 # DEPENDENCYPART_SIBL
(8,9),(8,20),0.629351 # DEPENDENCYPART_SIBL
(8,9),(8,25),0.665874 # DEPENDENCYPART_SIBL
(8,10),(8,11),0.0343589 # DEPENDENCYPART_SIBL
(8,10),(8,12),0.121876 # DEPENDENCYPART_SIBL
(8,10),(8,13),0.121876 # DEPENDENCYPART_SIBL
(8,10),(8,14),0.0461183 # DEPENDENCYPART_SIBL
(8,10),(8,17),0.279656 # DEPENDENCYPART_SIBL
(8,10),(8,18),0.193932 # DEPENDENCYPART_SIBL
(8,10),(8,20),0.125283 # DEPENDENCYPART_SIBL
(8,10),(8,25),0.283673 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.0110718 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.0110718 # DEPENDENCYPART_SIBL
(8,11),(8,14),0.300888 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.0435354 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.0770088 # DEPENDENCYPART_SIBL
(8,11),(8,20),-0.0075701 # DEPENDENCYPART_SIBL
(8,11),(8,25),-0.040125 # DEPENDENCYPART_SIBL
(8,12),(8,13),-0.131081 # DEPENDENCYPART_SIBL
(8,12),(8,14),0.0591487 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.0891539 # DEPENDENCYPART_SIBL
(8,12),(8,18),-0.0993187 # DEPENDENCYPART_SIBL
(8,12),(8,20),-0.137227 # DEPENDENCYPART_SIBL
(8,12),(8,25),-0.0834768 # DEPENDENCYPART_SIBL
(8,13),(8,14),0.0597168 # DEPENDENCYPART_SIBL
(8,13),(8,17),-0.0891417 # DEPENDENCYPART_SIBL
(8,13),(8,18),-0.0993187 # DEPENDENCYPART_SIBL
(8,13),(8,20),-0.137227 # DEPENDENCYPART_SIBL
(8,13),(8,25),-0.0834646 # DEPENDENCYPART_SIBL
(8,14),(8,17),0.713001 # DEPENDENCYPART_SIBL
(8,14),(8,18),0.18349 # DEPENDENCYPART_SIBL
(8,14),(8,20),0.629351 # DEPENDENCYPART_SIBL
(8,14),(8,25),0.665874 # DEPENDENCYPART_SIBL
(8,17),(8,18),-0.0556829 # DEPENDENCYPART_SIBL
(8,17),(8,20),-0.0553646 # DEPENDENCYPART_SIBL
(8,17),(8,25),-0.112228 # DEPENDENCYPART_SIBL
(8,18),(8,20),0.0271035 # DEPENDENCYPART_SIBL
(8,18),(8,25),0.1502 # DEPENDENCYPART_SIBL
(8,20),(8,25),-0.1009 # DEPENDENCYPART_SIBL
(10,3),(10,4),0.0575181 # DEPENDENCYPART_SIBL
(10,3),(10,8),0.0206265 # DEPENDENCYPART_SIBL
(10,3),(10,9),0.0760965 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0530368 # DEPENDENCYPART_SIBL
(10,4),(10,8),0.024579 # DEPENDENCYPART_SIBL
(10,4),(10,9),0.249742 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.0207792 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.137945 # DEPENDENCYPART_SIBL
(10,8),(10,13),-0.0314038 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.00890356 # DEPENDENCYPART_SIBL
(11,1),(11,2),-0.180692 # DEPENDENCYPART_SIBL
(11,1),(11,3),0.144562 # DEPENDENCYPART_SIBL
(11,1),(11,4),0.0315863 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.0741523 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.0843572 # DEPENDENCYPART_SIBL
(11,1),(11,7),0.000608957 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.0559361 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.0743268 # DEPENDENCYPART_SIBL
(11,1),(11,10),0.312413 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.00563078 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.00557601 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.132649 # DEPENDENCYPART_SIBL
(11,1),(11,17),0.113416 # DEPENDENCYPART_SIBL
(11,1),(11,18),-0.0454877 # DEPENDENCYPART_SIBL
(11,1),(11,20),-0.0481695 # DEPENDENCYPART_SIBL
(11,1),(11,21),0.0875128 # DEPENDENCYPART_SIBL
(11,1),(11,23),-0.0996617 # DEPENDENCYPART_SIBL
(11,1),(11,26),0.415924 # DEPENDENCYPART_SIBL
(11,2),(11,3),-0.0315712 # DEPENDENCYPART_SIBL
(11,2),(11,4),-0.0530277 # DEPENDENCYPART_SIBL
(11,2),(11,5),0.0334963 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.101914 # DEPENDENCYPART_SIBL
(11,2),(11,7),0.036707 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.106183 # DEPENDENCYPART_SIBL
(11,2),(11,9),0.171113 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.0238078 # DEPENDENCYPART_SIBL
(11,2),(11,12),-0.118718 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.118718 # DEPENDENCYPART_SIBL
(11,2),(11,14),0.037938 # DEPENDENCYPART_SIBL
(11,2),(11,17),-0.0471229 # DEPENDENCYPART_SIBL
(11,2),(11,18),-0.00858756 # DEPENDENCYPART_SIBL
(11,2),(11,20),-0.175847 # DEPENDENCYPART_SIBL
(11,2),(11,21),0.0580959 # DEPENDENCYPART_SIBL
(11,2),(11,23),-0.00328223 # DEPENDENCYPART_SIBL
(11,2),(11,26),-0.062553 # DEPENDENCYPART_SIBL
(11,3),(11,4),-0.199403 # DEPENDENCYPART_SIBL
(11,3),(11,5),-0.0541866 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.119101 # DEPENDENCYPART_SIBL
(11,3),(11,7),-0.108299 # DEPENDENCYPART_SIBL
(11,3),(11,8),-0.201685 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.184872 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.180283 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0482537 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0482537 # DEPENDENCYPART_SIBL
(11,3),(11,14),-0.00922315 # DEPENDENCYPART_SIBL
(11,3),(11,17),0.00884285 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.159098 # DEPENDENCYPART_SIBL
(11,3),(11,20),-0.108171 # DEPENDENCYPART_SIBL
(11,3),(11,21),0.261133 # DEPENDENCYPART_SIBL
(11,3),(11,23),0.0372576 # DEPENDENCYPART_SIBL
(11,3),(11,26),0.141504 # DEPENDENCYPART_SIBL
(11,4),(11,5),-0.202469 # DEPENDENCYPART_SIBL
(11,4),(11,6),-0.11111 # DEPENDENCYPART_SIBL
(11,4),(11,7),-0.108219 # DEPENDENCYPART_SIBL
(11,4),(11,8),-0.0550822 # DEPENDENCYPART_SIBL
(11,4),(11,9),0.239603 # DEPENDENCYPART_SIBL
(11,4),(11,10),-0.0629912 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.0283683 # DEPENDENCYPART_SIBL
(11,4),(11,13),0.0283683 # DEPENDENCYPART_SIBL
(11,4),(11,14),0.0129388 # DEPENDENCYPART_SIBL
(11,4),(11,17),-0.0311803 # DEPENDENCYPART_SIBL
(11,4),(11,18),-0.114231 # DEPENDENCYPART_SIBL
(11,4),(11,20),-0.0201748 # DEPENDENCYPART_SIBL
(11,4),(11,21),-0.0333992 # DEPENDENCYPART_SIBL
(11,4),(11,23),-0.0769075 # DEPENDENCYPART_SIBL
(11,4),(11,26),0.0762976 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.0809793 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.062959 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.00809693 # DEPENDENCYPART_SIBL
(11,5),(11,9),0.166243 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.203587 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.105181 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.105181 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.122163 # DEPENDENCYPART_SIBL
(11,5),(11,17),-0.0115285 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.0403038 # DEPENDENCYPART_SIBL
(11,5),(11,20),-0.148181 # DEPENDENCYPART_SIBL
(11,5),(11,21),-0.0192016 # DEPENDENCYPART_SIBL
(11,5),(11,23),-0.0266722 # DEPENDENCYPART_SIBL
(11,5),(11,26),0.139989 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.0608022 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.172029 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.195682 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.173431 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.233063 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.233063 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.169969 # DEPENDENCYPART_SIBL
(11,6),(11,17),-0.176373 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.109116 # DEPENDENCYPART_SIBL
(11,6),(11,20),-0.289272 # DEPENDENCYPART_SIBL
(11,6),(11,21),-0.0451976 # DEPENDENCYPART_SIBL
(11,6),(11,23),0.19542 # DEPENDENCYPART_SIBL
(11,6),(11,26),-0.16066 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.0975689 # DEPENDENCYPART_SIBL
(11,7),(11,9),0.00117343 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.182819 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.104272 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.105192 # DEPENDENCYPART_SIBL
(11,7),(11,14),-0.0693545 # DEPENDENCYPART_SIBL
(11,7),(11,17),0.00139314 # DEPENDENCYPART_SIBL
(11,7),(11,18),-0.0927945 # DEPENDENCYPART_SIBL
(11,7),(11,20),-0.128092 # DEPENDENCYPART_SIBL
(11,7),(11,21),-0.0487886 # DEPENDENCYPART_SIBL
(11,7),(11,23),-0.0266909 # DEPENDENCYPART_SIBL
(11,7),(11,26),-0.00782464 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.240485 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.351322 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.158394 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.158394 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0790505 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.0921094 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.0807424 # DEPENDENCYPART_SIBL
(11,8),(11,20),-0.24846 # DEPENDENCYPART_SIBL
(11,8),(11,21),-0.0343037 # DEPENDENCYPART_SIBL
(11,8),(11,23),-0.0117704 # DEPENDENCYPART_SIBL
(11,8),(11,26),0.0355936 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.568542 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.0079332 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.0079332 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.0972144 # DEPENDENCYPART_SIBL
(11,9),(11,17),0.00801601 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.166607 # DEPENDENCYPART_SIBL
(11,9),(11,20),-0.110393 # DEPENDENCYPART_SIBL
(11,9),(11,21),-0.0239132 # DEPENDENCYPART_SIBL
(11,9),(11,23),-0.245274 # DEPENDENCYPART_SIBL
(11,9),(11,26),0.01006 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.0183778 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.0183778 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.180908 # DEPENDENCYPART_SIBL
(11,10),(11,17),0.0759008 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.0557948 # DEPENDENCYPART_SIBL
(11,10),(11,20),-0.0593002 # DEPENDENCYPART_SIBL
(11,10),(11,21),0.164091 # DEPENDENCYPART_SIBL
(11,10),(11,23),-0.0619466 # DEPENDENCYPART_SIBL
(11,10),(11,26),0.163678 # DEPENDENCYPART_SIBL
(11,12),(11,13),-0.279194 # DEPENDENCYPART_SIBL
(11,12),(11,14),-0.033149 # DEPENDENCYPART_SIBL
(11,12),(11,17),-0.166696 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.019668 # DEPENDENCYPART_SIBL
(11,12),(11,20),-0.303013 # DEPENDENCYPART_SIBL
(11,12),(11,21),-0.00627605 # DEPENDENCYPART_SIBL
(11,12),(11,23),-0.0483326 # DEPENDENCYPART_SIBL
(11,12),(11,26),-0.068072 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.0325808 # DEPENDENCYPART_SIBL
(11,13),(11,17),-0.166684 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.019668 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.303013 # DEPENDENCYPART_SIBL
(11,13),(11,21),-0.00627605 # DEPENDENCYPART_SIBL
(11,13),(11,23),-0.0483326 # DEPENDENCYPART_SIBL
(11,13),(11,26),-0.0680305 # DEPENDENCYPART_SIBL
(11,14),(11,17),0.163764 # DEPENDENCYPART_SIBL
(11,14),(11,18),-0.0361513 # DEPENDENCYPART_SIBL
(11,14),(11,20),-0.0604377 # DEPENDENCYPART_SIBL
(11,14),(11,21),-0.0619268 # DEPENDENCYPART_SIBL
(11,14),(11,23),0.0214606 # DEPENDENCYPART_SIBL
(11,14),(11,26),-0.220475 # DEPENDENCYPART_SIBL
(11,17),(11,18),0.000988884 # DEPENDENCYPART_SIBL
(11,17),(11,20),-0.157402 # DEPENDENCYPART_SIBL
(11,17),(11,21),-0.0378487 # DEPENDENCYPART_SIBL
(11,17),(11,23),0.00471921 # DEPENDENCYPART_SIBL
(11,17),(11,26),-0.12677 # DEPENDENCYPART_SIBL
(11,18),(11,20),-0.155598 # DEPENDENCYPART_SIBL
(11,18),(11,21),0.14614 # DEPENDENCYPART_SIBL
(11,18),(11,23),0.0443432 # DEPENDENCYPART_SIBL
(11,18),(11,26),-0.126603 # DEPENDENCYPART_SIBL
(11,20),(11,21),-0.043195 # DEPENDENCYPART_SIBL
(11,20),(11,23),-0.0506338 # DEPENDENCYPART_SIBL
(11,20),(11,26),-0.128346 # DEPENDENCYPART_SIBL
(11,21),(11,23),0.209364 # DEPENDENCYPART_SIBL
(11,21),(11,26),0.00363171 # DEPENDENCYPART_SIBL
(11,23),(11,26),-0.149928 # DEPENDENCYPART_SIBL
(12,10),(12,13),-0.025442 # DEPENDENCYPART_SIBL
(12,10),(12,14),-0.0333015 # DEPENDENCYPART_SIBL
(12,10),(12,16),-0.0220883 # DEPENDENCYPART_SIBL
(12,10),(12,17),0.00485706 # DEPENDENCYPART_SIBL
(12,13),(12,14),0.00642347 # DEPENDENCYPART_SIBL
(12,13),(12,16),-0.0785346 # DEPENDENCYPART_SIBL
(12,13),(12,17),-0.0336939 # DEPENDENCYPART_SIBL
(12,14),(12,16),0.652898 # DEPENDENCYPART_SIBL
(12,14),(12,17),0.788299 # DEPENDENCYPART_SIBL
(12,16),(12,17),-0.253418 # DEPENDENCYPART_SIBL
(13,1),(13,2),0.123038 # DEPENDENCYPART_SIBL
(13,1),(13,3),0.10677 # DEPENDENCYPART_SIBL
(13,1),(13,4),0.0802279 # DEPENDENCYPART_SIBL
(13,1),(13,6),0.113723 # DEPENDENCYPART_SIBL
(13,1),(13,7),0.198412 # DEPENDENCYPART_SIBL
(13,1),(13,8),0.284921 # DEPENDENCYPART_SIBL
(13,1),(13,9),0.0938178 # DEPENDENCYPART_SIBL
(13,1),(13,10),0.902488 # DEPENDENCYPART_SIBL
(13,1),(13,11),0.0831214 # DEPENDENCYPART_SIBL
(13,1),(13,12),0.0959322 # DEPENDENCYPART_SIBL
(13,1),(13,14),0.115559 # DEPENDENCYPART_SIBL
(13,1),(13,15),0.0831897 # DEPENDENCYPART_SIBL
(13,1),(13,16),0.221652 # DEPENDENCYPART_SIBL
(13,1),(13,17),0.247303 # DEPENDENCYPART_SIBL
(13,1),(13,18),0.0929104 # DEPENDENCYPART_SIBL
(13,1),(13,19),0.0564173 # DEPENDENCYPART_SIBL
(13,1),(13,20),0.211888 # DEPENDENCYPART_SIBL
(13,1),(13,21),0.193878 # DEPENDENCYPART_SIBL
(13,1),(13,23),-0.13849 # DEPENDENCYPART_SIBL
(13,1),(13,25),0.241499 # DEPENDENCYPART_SIBL
(13,2),(13,3),-0.00790447 # DEPENDENCYPART_SIBL
(13,2),(13,4),0.020087 # DEPENDENCYPART_SIBL
(13,2),(13,6),-0.0638958 # DEPENDENCYPART_SIBL
(13,2),(13,7),0.167005 # DEPENDENCYPART_SIBL
(13,2),(13,8),0.152431 # DEPENDENCYPART_SIBL
(13,2),(13,9),0.140156 # DEPENDENCYPART_SIBL
(13,2),(13,10),0.125457 # DEPENDENCYPART_SIBL
(13,2),(13,11),0.00780982 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.0723966 # DEPENDENCYPART_SIBL
(13,2),(13,14),-0.0225907 # DEPENDENCYPART_SIBL
