# _root_ UNC also is selling new parts , if needed , directly to the military instead of through a prime contractor .
#goldHeads=3,3,0,3,6,4,4,9,4,4,4,4,14,12,16,4,16,20,20,17,3,
#predictedHeads=3,3,0,3,6,4,4,9,4,9,9,11,14,12,16,14,16,20,20,17,3,
(1,9),(9,7),(9,-1),-0.188082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,6),(9,4),0.110909 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,6),(9,3),0.110427 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,6),(9,1),0.0946112 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,6),(9,-1),-0.0312323 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,4),(9,3),0.119063 # DEPENDENCYPART_GRANDSIBL
(1,9),(9,4),(9,1),0.116328 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,4),(9,-1),-0.146738 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,3),(9,1),0.115764 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,3),(9,-1),-0.148541 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,9),(9,1),(9,-1),-0.0312285 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,10),(10,10),(10,11),-0.0531538 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,22),-0.00626733 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,10),(10,11),(10,22),-0.0492396 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,10),(10,10),(10,8),0.11542 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,10),(10,10),(10,-1),-0.0911303 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,10),(10,8),(10,-1),-0.128869 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,11),(11,12),-0.0657508 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,13),-0.0495824 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,14),-0.0232641 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,15),-0.0283034 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,16),-0.0629358 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,17),-0.0575738 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,21),-0.046086 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,22),-0.0312824 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,11),(11,12),(11,13),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,12),(11,14),-0.0420639 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,12),(11,15),-0.0420014 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,12),(11,16),-0.0493541 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,12),(11,17),-0.049348 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,12),(11,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,12),(11,22),-0.00958707 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,13),(11,14),-0.0421512 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,13),(11,15),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,13),(11,16),-0.0437692 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,13),(11,17),-0.0436629 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,13),(11,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,13),(11,22),-0.0541413 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,14),(11,15),-0.042007 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,14),(11,16),-0.0471317 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,14),(11,17),-0.0469528 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,14),(11,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,14),(11,22),-0.00984902 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,15),(11,16),-0.0243152 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,15),(11,17),-0.0273612 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,15),(11,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,15),(11,22),-0.0494226 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,16),(11,17),-0.0417795 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,16),(11,21),-0.0420047 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,16),(11,22),-0.0312543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,17),(11,21),-0.0420047 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,17),(11,22),-0.0351995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,21),(11,22),-0.0440021 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,11),(11,10),0.157846 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,8),0.114496 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,7),0.157846 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,6),0.108536 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,5),0.0917988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,4),0.151232 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,11),(11,11),(11,1),0.108539 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,11),(11,11),(11,-1),-0.211598 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,11),(11,10),(11,8),0.119189 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,10),(11,7),0.119164 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,10),(11,6),0.104392 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,10),(11,5),0.118267 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,10),(11,4),0.125898 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,10),(11,1),0.104392 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,10),(11,-1),-0.114962 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,8),(11,7),0.118402 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,8),(11,6),0.122668 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,8),(11,5),0.126836 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,8),(11,4),0.118781 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,8),(11,1),0.122668 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,8),(11,-1),-0.107052 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,7),(11,6),0.104392 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,7),(11,5),0.118267 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,7),(11,4),0.125898 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,7),(11,1),0.104392 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,7),(11,-1),-0.114962 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,6),(11,5),0.119032 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,6),(11,4),0.119156 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,6),(11,1),0.118858 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,6),(11,-1),-0.133757 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,5),(11,4),0.11838 # DEPENDENCYPART_GRANDSIBL
(1,11),(11,5),(11,1),0.118968 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,5),(11,-1),-0.0884491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,4),(11,1),0.121951 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,4),(11,-1),-0.0887777 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,11),(11,1),(11,-1),-0.133754 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,20),(20,20),(20,21),0.0853674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,20),(20,20),(20,22),0.101194 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,20),(20,21),(20,22),0.0957853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,20),(20,20),(20,19),0.100321 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,20),(20,20),(20,18),0.145079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,20),(20,20),(20,17),0.195287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,20),(20,20),(20,16),0.25522 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,20),(20,20),(20,15),0.105459 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,20),(20,20),(20,14),0.0933537 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,20),(20,20),(20,13),0.113183 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,20),(20,20),(20,-1),0.0217228 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,20),(20,19),(20,18),0.14637 # DEPENDENCYPART_GRANDSIBL
(1,20),(20,19),(20,17),0.117203 # DEPENDENCYPART_GRANDSIBL
(1,20),(20,19),(20,16),0.115596 # DEPENDENCYPART_GRANDSIBL
(1,20),(20,19),(20,15),0.124414 # DEPENDENCYPART_GRANDSIBL
(1,20),(20,19),(20,14),0.127141 # DEPENDENCYPART_GRANDSIBL
(1,20),(20,19),(20,13),0.183336 # DEPENDENCYPART_GRANDSIBL
(1,20),(20,19),(20,-1),-0.157724 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,20),(20,18),(20,17),0.118876 # DEPENDENCYPART_GRANDSIBL
(1,20),(20,18),(20,16),0.118408 # DEPENDENCYPART_GRANDSIBL
(1,20),(20,18),(20,15),0.111044 # DEPENDENCYPART_GRANDSIBL
(1,20),(20,18),(20,14),0.138931 # DEPENDENCYPART_GRANDSIBL
(1,20),(20,18),(20,13),0.116476 # DEPENDENCYPART_GRANDSIBL
(1,20),(20,18),(20,-1),-0.0947052 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,20),(20,17),(20,16),0.124823 # DEPENDENCYPART_GRANDSIBL
(1,20),(20,17),(20,15),0.118607 # DEPENDENCYPART_GRANDSIBL
(1,20),(20,17),(20,14),0.121083 # DEPENDENCYPART_GRANDSIBL
(1,20),(20,17),(20,13),0.117515 # DEPENDENCYPART_GRANDSIBL
(1,20),(20,17),(20,-1),-0.0955934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,20),(20,16),(20,15),0.118095 # DEPENDENCYPART_GRANDSIBL
(1,20),(20,16),(20,14),0.119719 # DEPENDENCYPART_GRANDSIBL
(1,20),(20,16),(20,13),0.117413 # DEPENDENCYPART_GRANDSIBL
(1,20),(20,16),(20,-1),-0.0684608 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,20),(20,15),(20,14),0.117818 # DEPENDENCYPART_GRANDSIBL
(1,20),(20,15),(20,13),0.123235 # DEPENDENCYPART_GRANDSIBL
(1,20),(20,15),(20,-1),-0.119145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,20),(20,14),(20,13),0.179395 # DEPENDENCYPART_GRANDSIBL
(1,20),(20,14),(20,-1),-0.157926 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,20),(20,13),(20,-1),-0.156783 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,21),(21,21),(21,22),-0.00516393 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,21),(21,21),(21,20),0.102454 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,21),(21,21),(21,-1),-0.0509464 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,21),(21,20),(21,-1),-0.141525 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,1),(1,2),-0.125032 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,3),-0.126274 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,4),-0.126274 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,6),-0.125302 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,7),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,8),-0.128598 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,9),-0.126274 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,11),-0.125032 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,20),-0.125302 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,22),-0.178851 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,2),(1,3),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,6),-0.125065 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,7),-0.124899 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,8),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,9),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,10),-0.124899 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,11),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,20),-0.125065 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,22),-0.144693 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,3),(1,4),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,6),-0.124896 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,7),-0.124898 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,8),-0.124896 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,10),-0.124898 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,20),-0.124896 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,3),(1,22),-0.122398 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,4),(1,5),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,6),-0.124896 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,7),-0.124898 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,8),-0.124896 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,10),-0.124898 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,20),-0.124896 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,22),-0.121204 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,5),(1,6),-0.124887 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,5),(1,7),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,5),(1,8),-0.124898 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,5),(1,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,5),(1,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,5),(1,11),-0.124929 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,5),(1,20),-0.124887 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,5),(1,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,5),(1,22),-0.106765 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,6),(1,7),-0.12584 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,6),(1,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,6),(1,9),-0.124891 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,6),(1,10),-0.12584 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,6),(1,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,6),(1,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,6),(1,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,6),(1,22),-0.078656 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,7),(1,8),-0.126561 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,7),(1,9),-0.126146 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,7),(1,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,7),(1,11),-0.125398 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,7),(1,20),-0.127171 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,7),(1,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,7),(1,22),-0.125113 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,8),(1,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,8),(1,10),-0.12489 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,8),(1,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,8),(1,20),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,8),(1,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,8),(1,22),-0.112958 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,9),(1,10),-0.124898 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,9),(1,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,9),(1,20),-0.124896 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,9),(1,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,9),(1,22),-0.121179 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,10),(1,11),-0.125398 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,10),(1,20),-0.127171 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,10),(1,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,10),(1,22),-0.125113 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,11),(1,20),-0.125065 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,11),(1,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,11),(1,22),-0.144696 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,20),(1,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,20),(1,22),-0.0786559 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,21),(1,22),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,1),(1,-1),-0.0818542 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,3),(3,4),-0.0551342 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,5),-0.0576967 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,6),-0.079339 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,7),-0.0439165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,8),-0.0388338 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,9),-0.0548271 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,10),-0.0439165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,11),-0.0331567 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,12),-0.0522944 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,14),-0.0576967 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,15),-0.0331568 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,22),0.0703725 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,4),(3,5),-0.0421857 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,6),-0.0420035 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,7),-0.0420818 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,8),-0.0424435 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,9),-0.0422496 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,10),-0.0420818 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,11),-0.0420005 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,12),-0.0419992 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,14),-0.0421857 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,15),-0.0420005 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,22),-0.0232017 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,5),(3,6),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,7),-0.0420109 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,8),-0.0399717 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,9),-0.0374062 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,10),-0.0420109 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,11),-0.0420257 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,12),-0.0437891 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,14),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,15),-0.0420257 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,21),-0.0421159 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,22),-0.0661552 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,6),(3,7),-0.0453752 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,8),-0.0481982 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,9),-0.0310735 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,10),-0.0453752 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,11),-0.0441682 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,12),-0.0515156 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,14),-0.0420585 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,15),-0.0441682 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,21),-0.0453164 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,22),-0.070544 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,7),(3,8),-0.0452045 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,9),-0.0461075 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,10),-0.0420005 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,11),-0.0427576 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,12),-0.0420911 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,14),-0.0421433 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,15),-0.0427576 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,22),-0.0223413 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,8),(3,9),-0.0426186 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,10),-0.0443029 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,11),-0.0394212 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,12),-0.0445223 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,14),-0.0420079 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,15),-0.0394212 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,21),-0.0419998 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,22),-0.0645036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,9),(3,10),-0.0420796 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,11),-0.0420005 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,12),-0.0419992 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,14),-0.0421857 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,15),-0.0420005 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,22),-0.0228968 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,10),(3,11),-0.0427576 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,12),-0.0420911 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,14),-0.0421433 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,15),-0.0427576 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,22),-0.0223413 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,11),(3,12),-0.0345423 # DEPENDENCYPART_GRANDSIBL
