# _root_ The new generation of plants will possess the flourishing , high-production trait known as `` hybrid vigor , '' similar to that now seen in hybrid corn .
#goldHeads=3,3,6,3,4,0,6,12,12,12,12,7,12,13,14,17,14,12,12,12,20,21,24,22,24,27,25,6,
#predictedHeads=3,3,6,3,4,0,6,12,12,12,12,7,12,13,17,17,14,17,17,17,20,21,24,20,24,27,25,6,
(9,3),(3,5),-0.125768 # DEPENDENCYPART_GRANDPAR
(9,3),(3,6),-0.0693852 # DEPENDENCYPART_GRANDPAR
(9,3),(3,7),-0.194789 # DEPENDENCYPART_GRANDPAR
(9,3),(3,8),0.137668 # DEPENDENCYPART_GRANDPAR
(9,3),(3,9),-1.20919 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,3),(3,10),-0.031268 # DEPENDENCYPART_GRANDPAR
(9,3),(3,11),-0.469811 # DEPENDENCYPART_GRANDPAR
(9,3),(3,12),-0.252076 # DEPENDENCYPART_GRANDPAR
(9,3),(3,13),-0.379178 # DEPENDENCYPART_GRANDPAR
(9,3),(3,14),-0.284146 # DEPENDENCYPART_GRANDPAR
(9,3),(3,17),-0.588791 # DEPENDENCYPART_GRANDPAR
(9,3),(3,18),-0.237219 # DEPENDENCYPART_GRANDPAR
(9,3),(3,20),-0.645351 # DEPENDENCYPART_GRANDPAR
(9,3),(3,22),-0.486116 # DEPENDENCYPART_GRANDPAR
(9,3),(3,24),-0.583346 # DEPENDENCYPART_GRANDPAR
(9,3),(3,25),-0.343216 # DEPENDENCYPART_GRANDPAR
(9,3),(3,28),-0.724251 # DEPENDENCYPART_GRANDPAR
(9,4),(4,2),0.0199593 # DEPENDENCYPART_GRANDPAR
(9,4),(4,3),-0.0125711 # DEPENDENCYPART_GRANDPAR
(9,4),(4,5),-0.237205 # DEPENDENCYPART_GRANDPAR
(9,4),(4,6),-0.0978374 # DEPENDENCYPART_GRANDPAR
(9,4),(4,7),-0.243426 # DEPENDENCYPART_GRANDPAR
(9,4),(4,9),-1.18447 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,4),(4,12),-0.31763 # DEPENDENCYPART_GRANDPAR
(9,5),(5,1),-0.170603 # DEPENDENCYPART_GRANDPAR
(9,5),(5,2),-0.074578 # DEPENDENCYPART_GRANDPAR
(9,5),(5,3),-0.236592 # DEPENDENCYPART_GRANDPAR
(9,5),(5,4),0.0443368 # DEPENDENCYPART_GRANDPAR
(9,5),(5,6),-0.0709435 # DEPENDENCYPART_GRANDPAR
(9,5),(5,7),-0.196468 # DEPENDENCYPART_GRANDPAR
(9,5),(5,8),0.144379 # DEPENDENCYPART_GRANDPAR
(9,5),(5,9),-1.20919 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,5),(5,12),-0.25235 # DEPENDENCYPART_GRANDPAR
(9,5),(5,19),-0.297572 # DEPENDENCYPART_GRANDPAR
(9,5),(5,22),-0.486116 # DEPENDENCYPART_GRANDPAR
(9,8),(8,7),-0.257924 # DEPENDENCYPART_GRANDPAR
(9,8),(8,9),-1.18948 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,8),(8,10),0.0356897 # DEPENDENCYPART_GRANDPAR
(9,8),(8,13),-0.355311 # DEPENDENCYPART_GRANDPAR
(9,11),(11,3),-0.602177 # DEPENDENCYPART_GRANDPAR
(9,11),(11,8),-0.303088 # DEPENDENCYPART_GRANDPAR
(9,11),(11,9),-0.802668 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,11),(11,10),0.38644 # DEPENDENCYPART_GRANDPAR
(9,11),(11,13),0.0410765 # DEPENDENCYPART_GRANDPAR
(9,11),(11,14),0.0584395 # DEPENDENCYPART_GRANDPAR
(9,11),(11,17),-0.223992 # DEPENDENCYPART_GRANDPAR
(9,12),(12,1),-0.648174 # DEPENDENCYPART_GRANDPAR
(9,12),(12,2),-0.447599 # DEPENDENCYPART_GRANDPAR
(9,12),(12,8),-0.348916 # DEPENDENCYPART_GRANDPAR
(9,12),(12,9),-0.784093 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,12),(12,10),0.44478 # DEPENDENCYPART_GRANDPAR
(9,12),(12,11),-0.044714 # DEPENDENCYPART_GRANDPAR
(9,12),(12,13),-0.00365935 # DEPENDENCYPART_GRANDPAR
(9,12),(12,14),-0.00244475 # DEPENDENCYPART_GRANDPAR
(9,12),(12,15),0.0386559 # DEPENDENCYPART_GRANDPAR
(9,12),(12,16),-0.261357 # DEPENDENCYPART_GRANDPAR
(9,12),(12,17),-0.252351 # DEPENDENCYPART_GRANDPAR
(9,12),(12,18),0.190937 # DEPENDENCYPART_GRANDPAR
(9,12),(12,19),0.12829 # DEPENDENCYPART_GRANDPAR
(9,12),(12,20),-0.291148 # DEPENDENCYPART_GRANDPAR
(9,12),(12,21),-0.00594916 # DEPENDENCYPART_GRANDPAR
(9,12),(12,22),-0.11596 # DEPENDENCYPART_GRANDPAR
(9,12),(12,24),-0.222241 # DEPENDENCYPART_GRANDPAR
(9,12),(12,28),-0.316269 # DEPENDENCYPART_GRANDPAR
(9,13),(13,3),-0.607718 # DEPENDENCYPART_GRANDPAR
(9,13),(13,5),-0.543463 # DEPENDENCYPART_GRANDPAR
(9,13),(13,8),-0.280049 # DEPENDENCYPART_GRANDPAR
(9,13),(13,9),-0.8494 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,13),(13,10),0.374774 # DEPENDENCYPART_GRANDPAR
(9,13),(13,11),-0.110021 # DEPENDENCYPART_GRANDPAR
(9,13),(13,12),0.0748098 # DEPENDENCYPART_GRANDPAR
(9,13),(13,14),0.136114 # DEPENDENCYPART_GRANDPAR
(9,13),(13,15),0.113453 # DEPENDENCYPART_GRANDPAR
(9,13),(13,16),-0.215074 # DEPENDENCYPART_GRANDPAR
(9,13),(13,17),-0.197399 # DEPENDENCYPART_GRANDPAR
(9,13),(13,18),0.22078 # DEPENDENCYPART_GRANDPAR
(9,13),(13,19),0.152153 # DEPENDENCYPART_GRANDPAR
(9,13),(13,20),-0.252307 # DEPENDENCYPART_GRANDPAR
(9,13),(13,21),-0.00521449 # DEPENDENCYPART_GRANDPAR
(9,13),(13,23),0.185085 # DEPENDENCYPART_GRANDPAR
(9,13),(13,24),-0.199772 # DEPENDENCYPART_GRANDPAR
(9,13),(13,28),-0.366483 # DEPENDENCYPART_GRANDPAR
(9,14),(14,12),0.0244022 # DEPENDENCYPART_GRANDPAR
(9,14),(14,13),0.0117051 # DEPENDENCYPART_GRANDPAR
(9,14),(14,15),0.154841 # DEPENDENCYPART_GRANDPAR
(9,14),(14,16),-0.157603 # DEPENDENCYPART_GRANDPAR
(9,14),(14,17),-0.148048 # DEPENDENCYPART_GRANDPAR
(9,14),(14,18),0.235023 # DEPENDENCYPART_GRANDPAR
(9,14),(14,19),0.18024 # DEPENDENCYPART_GRANDPAR
(9,14),(14,20),-0.189763 # DEPENDENCYPART_GRANDPAR
(9,14),(14,21),-0.006153 # DEPENDENCYPART_GRANDPAR
(9,14),(14,23),0.207753 # DEPENDENCYPART_GRANDPAR
(9,17),(17,8),-0.348916 # DEPENDENCYPART_GRANDPAR
(9,17),(17,9),-0.784093 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,17),(17,10),0.44478 # DEPENDENCYPART_GRANDPAR
(9,17),(17,11),-0.044714 # DEPENDENCYPART_GRANDPAR
(9,17),(17,12),0.117063 # DEPENDENCYPART_GRANDPAR
(9,17),(17,13),0.0915111 # DEPENDENCYPART_GRANDPAR
(9,17),(17,14),0.00435489 # DEPENDENCYPART_GRANDPAR
(9,17),(17,15),0.0342358 # DEPENDENCYPART_GRANDPAR
(9,17),(17,16),-0.190612 # DEPENDENCYPART_GRANDPAR
(9,17),(17,18),0.190937 # DEPENDENCYPART_GRANDPAR
(9,17),(17,19),0.12829 # DEPENDENCYPART_GRANDPAR
(9,17),(17,20),-0.291148 # DEPENDENCYPART_GRANDPAR
(9,17),(17,21),-0.00594916 # DEPENDENCYPART_GRANDPAR
(9,17),(17,22),-0.11596 # DEPENDENCYPART_GRANDPAR
(9,17),(17,23),0.151353 # DEPENDENCYPART_GRANDPAR
(9,17),(17,24),-0.222241 # DEPENDENCYPART_GRANDPAR
(9,17),(17,25),-0.0645265 # DEPENDENCYPART_GRANDPAR
(9,17),(17,27),-0.343236 # DEPENDENCYPART_GRANDPAR
(11,3),(3,1),-0.339657 # DEPENDENCYPART_GRANDPAR
(11,3),(3,2),-0.157088 # DEPENDENCYPART_GRANDPAR
(11,3),(3,4),0.0151465 # DEPENDENCYPART_GRANDPAR
(11,3),(3,5),-0.341242 # DEPENDENCYPART_GRANDPAR
(11,3),(3,6),-0.151136 # DEPENDENCYPART_GRANDPAR
(11,3),(3,7),-0.205045 # DEPENDENCYPART_GRANDPAR
(11,3),(3,8),-0.125903 # DEPENDENCYPART_GRANDPAR
(11,3),(3,9),0.0037577 # DEPENDENCYPART_GRANDPAR
(11,3),(3,10),-0.0679158 # DEPENDENCYPART_GRANDPAR
(11,3),(3,11),-1.45983 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,3),(3,12),-0.175756 # DEPENDENCYPART_GRANDPAR
(11,3),(3,13),-0.357992 # DEPENDENCYPART_GRANDPAR
(11,3),(3,14),-0.444772 # DEPENDENCYPART_GRANDPAR
(11,3),(3,17),-0.778827 # DEPENDENCYPART_GRANDPAR
(11,3),(3,18),-0.392111 # DEPENDENCYPART_GRANDPAR
(11,3),(3,20),-0.863292 # DEPENDENCYPART_GRANDPAR
(11,3),(3,22),-0.74146 # DEPENDENCYPART_GRANDPAR
(11,3),(3,24),-0.81116 # DEPENDENCYPART_GRANDPAR
(11,3),(3,25),-0.580878 # DEPENDENCYPART_GRANDPAR
(11,3),(3,28),-0.996203 # DEPENDENCYPART_GRANDPAR
(11,8),(8,7),-0.26818 # DEPENDENCYPART_GRANDPAR
(11,8),(8,9),-0.0286913 # DEPENDENCYPART_GRANDPAR
(11,8),(8,10),-0.0960903 # DEPENDENCYPART_GRANDPAR
(11,8),(8,13),-0.334125 # DEPENDENCYPART_GRANDPAR
(11,9),(9,3),-0.416383 # DEPENDENCYPART_GRANDPAR
(11,9),(9,4),-0.0206268 # DEPENDENCYPART_GRANDPAR
(11,9),(9,5),-0.346775 # DEPENDENCYPART_GRANDPAR
(11,9),(9,8),-0.145071 # DEPENDENCYPART_GRANDPAR
(11,9),(9,10),-0.127641 # DEPENDENCYPART_GRANDPAR
(11,9),(9,11),-1.43381 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,9),(9,12),-0.215058 # DEPENDENCYPART_GRANDPAR
(11,9),(9,13),-0.327988 # DEPENDENCYPART_GRANDPAR
(11,9),(9,14),-0.456408 # DEPENDENCYPART_GRANDPAR
(11,9),(9,17),-0.818129 # DEPENDENCYPART_GRANDPAR
(11,9),(9,19),-0.557043 # DEPENDENCYPART_GRANDPAR
(11,13),(13,3),-0.826026 # DEPENDENCYPART_GRANDPAR
(11,13),(13,5),-0.758937 # DEPENDENCYPART_GRANDPAR
(11,13),(13,8),-0.543621 # DEPENDENCYPART_GRANDPAR
(11,13),(13,9),-0.363559 # DEPENDENCYPART_GRANDPAR
(11,13),(13,10),-0.47778 # DEPENDENCYPART_GRANDPAR
(11,13),(13,11),-1.10004 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,13),(13,12),0.15113 # DEPENDENCYPART_GRANDPAR
(11,13),(13,14),-0.0245118 # DEPENDENCYPART_GRANDPAR
(11,13),(13,15),-0.00110073 # DEPENDENCYPART_GRANDPAR
(11,13),(13,16),-0.371525 # DEPENDENCYPART_GRANDPAR
(11,13),(13,17),-0.387434 # DEPENDENCYPART_GRANDPAR
(11,13),(13,18),0.0658875 # DEPENDENCYPART_GRANDPAR
(11,13),(13,19),-0.119047 # DEPENDENCYPART_GRANDPAR
(11,13),(13,20),-0.470249 # DEPENDENCYPART_GRANDPAR
(11,13),(13,21),-0.21447 # DEPENDENCYPART_GRANDPAR
(11,13),(13,23),-0.136432 # DEPENDENCYPART_GRANDPAR
(11,13),(13,24),-0.427586 # DEPENDENCYPART_GRANDPAR
(11,13),(13,28),-0.638435 # DEPENDENCYPART_GRANDPAR
(11,14),(14,12),0.100722 # DEPENDENCYPART_GRANDPAR
(11,14),(14,13),0.0328909 # DEPENDENCYPART_GRANDPAR
(11,14),(14,15),0.0402873 # DEPENDENCYPART_GRANDPAR
(11,14),(14,16),-0.314055 # DEPENDENCYPART_GRANDPAR
(11,14),(14,17),-0.338083 # DEPENDENCYPART_GRANDPAR
(11,14),(14,18),0.0801306 # DEPENDENCYPART_GRANDPAR
(11,14),(14,19),-0.0909604 # DEPENDENCYPART_GRANDPAR
(11,14),(14,20),-0.407705 # DEPENDENCYPART_GRANDPAR
(11,14),(14,21),-0.215408 # DEPENDENCYPART_GRANDPAR
(11,14),(14,23),-0.113764 # DEPENDENCYPART_GRANDPAR
(11,17),(17,8),-0.612487 # DEPENDENCYPART_GRANDPAR
(11,17),(17,9),-0.421412 # DEPENDENCYPART_GRANDPAR
(11,17),(17,10),-0.54535 # DEPENDENCYPART_GRANDPAR
(11,17),(17,11),-1.03473 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,17),(17,12),0.193383 # DEPENDENCYPART_GRANDPAR
(11,17),(17,13),0.112697 # DEPENDENCYPART_GRANDPAR
(11,17),(17,14),-0.156271 # DEPENDENCYPART_GRANDPAR
(11,17),(17,15),-0.0803175 # DEPENDENCYPART_GRANDPAR
(11,17),(17,16),-0.347063 # DEPENDENCYPART_GRANDPAR
(11,17),(17,18),0.0360443 # DEPENDENCYPART_GRANDPAR
(11,17),(17,19),-0.14291 # DEPENDENCYPART_GRANDPAR
(11,17),(17,20),-0.509089 # DEPENDENCYPART_GRANDPAR
(11,17),(17,21),-0.215204 # DEPENDENCYPART_GRANDPAR
(11,17),(17,22),-0.371304 # DEPENDENCYPART_GRANDPAR
(11,17),(17,23),-0.170165 # DEPENDENCYPART_GRANDPAR
(11,17),(17,24),-0.450055 # DEPENDENCYPART_GRANDPAR
(11,17),(17,25),-0.302189 # DEPENDENCYPART_GRANDPAR
(11,17),(17,27),-0.724301 # DEPENDENCYPART_GRANDPAR
(12,1),(1,2),-0.0998416 # DEPENDENCYPART_GRANDPAR
(12,1),(1,4),-0.538486 # DEPENDENCYPART_GRANDPAR
(12,2),(2,1),-0.391051 # DEPENDENCYPART_GRANDPAR
(12,2),(2,4),-0.470643 # DEPENDENCYPART_GRANDPAR
(12,2),(2,5),-0.473016 # DEPENDENCYPART_GRANDPAR
(12,2),(2,6),-0.260928 # DEPENDENCYPART_GRANDPAR
(12,2),(2,7),-0.128801 # DEPENDENCYPART_GRANDPAR
(12,8),(8,7),-0.229657 # DEPENDENCYPART_GRANDPAR
(12,8),(8,9),0.430614 # DEPENDENCYPART_GRANDPAR
(12,8),(8,10),0.378099 # DEPENDENCYPART_GRANDPAR
(12,8),(8,13),-0.104594 # DEPENDENCYPART_GRANDPAR
(12,9),(9,3),-0.625092 # DEPENDENCYPART_GRANDPAR
(12,9),(9,4),-0.370472 # DEPENDENCYPART_GRANDPAR
(12,9),(9,5),-0.275649 # DEPENDENCYPART_GRANDPAR
(12,9),(9,8),-0.0836463 # DEPENDENCYPART_GRANDPAR
(12,9),(9,10),0.378026 # DEPENDENCYPART_GRANDPAR
(12,9),(9,11),0.479979 # DEPENDENCYPART_GRANDPAR
(12,9),(9,12),-0.886625 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,9),(9,13),-0.113725 # DEPENDENCYPART_GRANDPAR
(12,9),(9,14),-0.108468 # DEPENDENCYPART_GRANDPAR
(12,9),(9,17),-0.404849 # DEPENDENCYPART_GRANDPAR
(12,9),(9,19),-0.17307 # DEPENDENCYPART_GRANDPAR
(12,11),(11,3),-0.625092 # DEPENDENCYPART_GRANDPAR
(12,11),(11,8),-0.0836463 # DEPENDENCYPART_GRANDPAR
(12,11),(11,9),0.484114 # DEPENDENCYPART_GRANDPAR
(12,11),(11,10),0.559258 # DEPENDENCYPART_GRANDPAR
(12,11),(11,13),-0.113725 # DEPENDENCYPART_GRANDPAR
(12,11),(11,14),-0.108468 # DEPENDENCYPART_GRANDPAR
(12,11),(11,17),-0.404849 # DEPENDENCYPART_GRANDPAR
(12,13),(13,3),-1.41935 # DEPENDENCYPART_GRANDPAR
(12,13),(13,5),-1.06488 # DEPENDENCYPART_GRANDPAR
(12,13),(13,8),-0.594981 # DEPENDENCYPART_GRANDPAR
(12,13),(13,9),-0.0735284 # DEPENDENCYPART_GRANDPAR
(12,13),(13,10),-0.110843 # DEPENDENCYPART_GRANDPAR
(12,13),(13,11),-0.0791522 # DEPENDENCYPART_GRANDPAR
(12,13),(13,12),-0.477114 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,13),(13,14),0.532735 # DEPENDENCYPART_GRANDPAR
(12,13),(13,15),0.467729 # DEPENDENCYPART_GRANDPAR
(12,13),(13,16),0.0259615 # DEPENDENCYPART_GRANDPAR
(12,13),(13,17),0.211177 # DEPENDENCYPART_GRANDPAR
(12,13),(13,18),0.253466 # DEPENDENCYPART_GRANDPAR
(12,13),(13,19),0.351402 # DEPENDENCYPART_GRANDPAR
(12,13),(13,20),-0.0162214 # DEPENDENCYPART_GRANDPAR
(12,13),(13,21),0.193187 # DEPENDENCYPART_GRANDPAR
(12,13),(13,23),0.245336 # DEPENDENCYPART_GRANDPAR
(12,13),(13,24),0.165508 # DEPENDENCYPART_GRANDPAR
(12,13),(13,28),-0.446979 # DEPENDENCYPART_GRANDPAR
(12,14),(14,12),-0.406397 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,14),(14,13),0.477293 # DEPENDENCYPART_GRANDPAR
(12,14),(14,15),0.487597 # DEPENDENCYPART_GRANDPAR
(12,14),(14,16),0.12424 # DEPENDENCYPART_GRANDPAR
(12,14),(14,17),0.193622 # DEPENDENCYPART_GRANDPAR
(12,14),(14,18),0.277347 # DEPENDENCYPART_GRANDPAR
(12,14),(14,19),0.371093 # DEPENDENCYPART_GRANDPAR
(12,14),(14,20),0.0863597 # DEPENDENCYPART_GRANDPAR
(12,14),(14,21),0.194749 # DEPENDENCYPART_GRANDPAR
(12,14),(14,23),0.26518 # DEPENDENCYPART_GRANDPAR
(12,16),(16,9),0.0159313 # DEPENDENCYPART_GRANDPAR
(12,16),(16,11),0.0103074 # DEPENDENCYPART_GRANDPAR
(12,16),(16,12),-0.417499 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,16),(16,15),0.361485 # DEPENDENCYPART_GRANDPAR
(12,16),(16,17),0.248652 # DEPENDENCYPART_GRANDPAR
(12,16),(16,19),0.363431 # DEPENDENCYPART_GRANDPAR
(12,16),(16,20),0.0235822 # DEPENDENCYPART_GRANDPAR
(12,17),(17,8),-0.585479 # DEPENDENCYPART_GRANDPAR
(12,17),(17,9),-0.0439624 # DEPENDENCYPART_GRANDPAR
(12,17),(17,10),-0.101927 # DEPENDENCYPART_GRANDPAR
(12,17),(17,11),-0.0495863 # DEPENDENCYPART_GRANDPAR
(12,17),(17,12),-0.358961 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,17),(17,13),0.486027 # DEPENDENCYPART_GRANDPAR
(12,17),(17,14),0.291465 # DEPENDENCYPART_GRANDPAR
(12,17),(17,15),0.391988 # DEPENDENCYPART_GRANDPAR
(12,17),(17,16),0.121687 # DEPENDENCYPART_GRANDPAR
(12,17),(17,18),0.346651 # DEPENDENCYPART_GRANDPAR
(12,17),(17,19),0.300179 # DEPENDENCYPART_GRANDPAR
(12,17),(17,20),-0.107094 # DEPENDENCYPART_GRANDPAR
(12,17),(17,21),0.209764 # DEPENDENCYPART_GRANDPAR
(12,17),(17,22),0.134241 # DEPENDENCYPART_GRANDPAR
(12,17),(17,23),0.146807 # DEPENDENCYPART_GRANDPAR
(12,17),(17,24),0.126875 # DEPENDENCYPART_GRANDPAR
(12,17),(17,25),-0.191039 # DEPENDENCYPART_GRANDPAR
(12,17),(17,27),-0.166467 # DEPENDENCYPART_GRANDPAR
(12,20),(20,12),-0.420464 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,20),(20,14),0.252821 # DEPENDENCYPART_GRANDPAR
(12,20),(20,16),0.0616342 # DEPENDENCYPART_GRANDPAR
(12,20),(20,17),0.0613122 # DEPENDENCYPART_GRANDPAR
(12,20),(20,18),0.183172 # DEPENDENCYPART_GRANDPAR
(12,20),(20,19),0.179418 # DEPENDENCYPART_GRANDPAR
(12,20),(20,21),0.380262 # DEPENDENCYPART_GRANDPAR
(12,20),(20,23),0.240545 # DEPENDENCYPART_GRANDPAR
(12,20),(20,24),0.21629 # DEPENDENCYPART_GRANDPAR
(12,20),(20,25),-0.0156896 # DEPENDENCYPART_GRANDPAR
(12,20),(20,26),-0.110493 # DEPENDENCYPART_GRANDPAR
(12,20),(20,27),-0.0793852 # DEPENDENCYPART_GRANDPAR
(12,20),(20,28),-0.375962 # DEPENDENCYPART_GRANDPAR
(12,21),(21,18),0.145242 # DEPENDENCYPART_GRANDPAR
(12,21),(21,20),-0.111669 # DEPENDENCYPART_GRANDPAR
(12,21),(21,22),0.220476 # DEPENDENCYPART_GRANDPAR
(12,21),(21,23),0.106986 # DEPENDENCYPART_GRANDPAR
(12,21),(21,25),-0.0848207 # DEPENDENCYPART_GRANDPAR
(12,21),(21,27),-0.127424 # DEPENDENCYPART_GRANDPAR
(12,21),(21,28),-0.411625 # DEPENDENCYPART_GRANDPAR
(12,22),(22,23),0.12901 # DEPENDENCYPART_GRANDPAR
(12,22),(22,24),0.121762 # DEPENDENCYPART_GRANDPAR
(12,22),(22,25),-0.10261 # DEPENDENCYPART_GRANDPAR
(12,24),(24,10),-0.110843 # DEPENDENCYPART_GRANDPAR
(12,24),(24,14),0.353431 # DEPENDENCYPART_GRANDPAR
(12,24),(24,16),-0.0488434 # DEPENDENCYPART_GRANDPAR
(12,24),(24,17),0.00267153 # DEPENDENCYPART_GRANDPAR
(12,24),(24,18),0.183898 # DEPENDENCYPART_GRANDPAR
(12,24),(24,20),-0.0826117 # DEPENDENCYPART_GRANDPAR
(12,24),(24,22),0.321968 # DEPENDENCYPART_GRANDPAR
(12,24),(24,23),0.195449 # DEPENDENCYPART_GRANDPAR
(12,24),(24,25),0.00678661 # DEPENDENCYPART_GRANDPAR
(12,24),(24,26),-0.173589 # DEPENDENCYPART_GRANDPAR
(12,24),(24,27),-0.12034 # DEPENDENCYPART_GRANDPAR
(12,24),(24,28),-0.469561 # DEPENDENCYPART_GRANDPAR
(12,28),(28,24),0.165453 # DEPENDENCYPART_GRANDPAR
(12,28),(28,25),-0.119825 # DEPENDENCYPART_GRANDPAR
(12,28),(28,27),-0.331564 # DEPENDENCYPART_GRANDPAR
(13,3),(3,1),-0.00637495 # DEPENDENCYPART_GRANDPAR
(13,3),(3,2),-0.0746546 # DEPENDENCYPART_GRANDPAR
(13,3),(3,4),-0.245287 # DEPENDENCYPART_GRANDPAR
(13,3),(3,5),-0.162433 # DEPENDENCYPART_GRANDPAR
(13,3),(3,6),0.00304943 # DEPENDENCYPART_GRANDPAR
(13,3),(3,7),0.0760136 # DEPENDENCYPART_GRANDPAR
(13,3),(3,8),-0.0149169 # DEPENDENCYPART_GRANDPAR
(13,3),(3,9),-0.158463 # DEPENDENCYPART_GRANDPAR
(13,3),(3,10),-0.0580337 # DEPENDENCYPART_GRANDPAR
(13,3),(3,11),0.0293276 # DEPENDENCYPART_GRANDPAR
(13,3),(3,12),-0.0599129 # DEPENDENCYPART_GRANDPAR
(13,3),(3,13),-0.91656 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,3),(3,14),0.248532 # DEPENDENCYPART_GRANDPAR
(13,3),(3,17),-0.0479687 # DEPENDENCYPART_GRANDPAR
(13,3),(3,18),-0.136838 # DEPENDENCYPART_GRANDPAR
(13,3),(3,20),-0.420315 # DEPENDENCYPART_GRANDPAR
(13,3),(3,22),-0.620624 # DEPENDENCYPART_GRANDPAR
(13,3),(3,24),-0.222787 # DEPENDENCYPART_GRANDPAR
(13,3),(3,25),-0.32843 # DEPENDENCYPART_GRANDPAR
(13,3),(3,28),-0.687353 # DEPENDENCYPART_GRANDPAR
(13,5),(5,1),0.00844757 # DEPENDENCYPART_GRANDPAR
(13,5),(5,2),-0.0774412 # DEPENDENCYPART_GRANDPAR
(13,5),(5,3),-0.0797565 # DEPENDENCYPART_GRANDPAR
(13,5),(5,4),-0.224958 # DEPENDENCYPART_GRANDPAR
(13,5),(5,6),0.0224043 # DEPENDENCYPART_GRANDPAR
(13,5),(5,7),0.0934806 # DEPENDENCYPART_GRANDPAR
(13,5),(5,8),0.01803 # DEPENDENCYPART_GRANDPAR
(13,5),(5,9),-0.137847 # DEPENDENCYPART_GRANDPAR
(13,5),(5,12),-0.0326465 # DEPENDENCYPART_GRANDPAR
(13,5),(5,19),-0.214404 # DEPENDENCYPART_GRANDPAR
(13,5),(5,22),-0.621539 # DEPENDENCYPART_GRANDPAR
(13,8),(8,7),-0.12297 # DEPENDENCYPART_GRANDPAR
(13,8),(8,9),-0.157564 # DEPENDENCYPART_GRANDPAR
(13,8),(8,10),-0.118246 # DEPENDENCYPART_GRANDPAR
(13,8),(8,13),-0.945742 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,9),(9,3),-0.101404 # DEPENDENCYPART_GRANDPAR
(13,9),(9,4),-0.219757 # DEPENDENCYPART_GRANDPAR
(13,9),(9,5),-0.118332 # DEPENDENCYPART_GRANDPAR
(13,9),(9,8),-0.0183729 # DEPENDENCYPART_GRANDPAR
(13,9),(9,10),-0.169011 # DEPENDENCYPART_GRANDPAR
(13,9),(9,11),0.0165678 # DEPENDENCYPART_GRANDPAR
(13,9),(9,12),-0.0105856 # DEPENDENCYPART_GRANDPAR
(13,9),(9,13),-0.885042 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,9),(9,14),0.201485 # DEPENDENCYPART_GRANDPAR
(13,9),(9,17),-0.135174 # DEPENDENCYPART_GRANDPAR
(13,9),(9,19),-0.206912 # DEPENDENCYPART_GRANDPAR
(13,11),(11,3),-0.101404 # DEPENDENCYPART_GRANDPAR
(13,11),(11,8),-0.0183729 # DEPENDENCYPART_GRANDPAR
(13,11),(11,9),-0.12069 # DEPENDENCYPART_GRANDPAR
(13,11),(11,10),-0.17337 # DEPENDENCYPART_GRANDPAR
(13,11),(11,13),-0.885042 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,11),(11,14),0.201485 # DEPENDENCYPART_GRANDPAR
(13,11),(11,17),-0.135174 # DEPENDENCYPART_GRANDPAR
(13,12),(12,1),0.00508322 # DEPENDENCYPART_GRANDPAR
(13,12),(12,2),-0.0691965 # DEPENDENCYPART_GRANDPAR
(13,12),(12,8),-0.0162288 # DEPENDENCYPART_GRANDPAR
(13,12),(12,9),-0.0915625 # DEPENDENCYPART_GRANDPAR
(13,12),(12,10),-0.134362 # DEPENDENCYPART_GRANDPAR
(13,12),(12,11),0.0962276 # DEPENDENCYPART_GRANDPAR
(13,12),(12,13),-0.91656 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,12),(12,14),0.248534 # DEPENDENCYPART_GRANDPAR
(13,12),(12,15),0.128228 # DEPENDENCYPART_GRANDPAR
(13,12),(12,16),-0.409884 # DEPENDENCYPART_GRANDPAR
(13,12),(12,17),-0.0479682 # DEPENDENCYPART_GRANDPAR
(13,12),(12,18),-0.136837 # DEPENDENCYPART_GRANDPAR
(13,12),(12,19),-0.213489 # DEPENDENCYPART_GRANDPAR
