# _root_ The DAX Index of 30 West German blue chips plunged 12.8 % , a one-day record , wiping out the summer 's gains .
#goldHeads=3,3,10,3,9,9,9,9,4,0,12,10,12,16,16,12,12,10,18,21,23,21,18,10,
#predictedHeads=3,3,10,3,9,7,9,9,4,0,12,10,10,16,16,12,10,10,18,21,23,21,18,10,
(6,2),(6,8),-0.0700998 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0372193 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0461642 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.134845 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.067835 # DEPENDENCYPART_SIBL
(6,3),(6,7),-0.0797916 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0771928 # DEPENDENCYPART_SIBL
(6,3),(6,10),-0.0423983 # DEPENDENCYPART_SIBL
(6,3),(6,13),-0.106893 # DEPENDENCYPART_SIBL
(6,4),(6,5),-0.023037 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.0515082 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0505336 # DEPENDENCYPART_SIBL
(6,4),(6,10),-0.0491613 # DEPENDENCYPART_SIBL
(6,4),(6,13),-0.0559035 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0655343 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0664926 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.0334904 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.0588452 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0819497 # DEPENDENCYPART_SIBL
(6,7),(6,10),-0.080568 # DEPENDENCYPART_SIBL
(6,7),(6,13),-0.0805086 # DEPENDENCYPART_SIBL
(6,8),(6,10),-0.0779677 # DEPENDENCYPART_SIBL
(6,8),(6,13),-0.0774631 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0820706 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.120081 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.137521 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.0724078 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.00112031 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.0761924 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.0338964 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0419152 # DEPENDENCYPART_SIBL
(7,2),(7,11),-0.0377176 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0775687 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0576265 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.0576265 # DEPENDENCYPART_SIBL
(7,2),(7,18),-0.0831275 # DEPENDENCYPART_SIBL
(7,3),(7,4),0.133349 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0661345 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.00289344 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0832853 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0485398 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0470942 # DEPENDENCYPART_SIBL
(7,3),(7,11),-0.0300343 # DEPENDENCYPART_SIBL
(7,3),(7,12),-0.0930738 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.118355 # DEPENDENCYPART_SIBL
(7,3),(7,17),-0.118355 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.0916781 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0235898 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.0549206 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.0449836 # DEPENDENCYPART_SIBL
(7,4),(7,9),-0.00765441 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0435816 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.0823302 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0760132 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0570075 # DEPENDENCYPART_SIBL
(7,4),(7,17),-0.0570075 # DEPENDENCYPART_SIBL
(7,4),(7,18),-0.0625091 # DEPENDENCYPART_SIBL
(7,5),(7,6),0.0737569 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0724328 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.0419678 # DEPENDENCYPART_SIBL
(7,5),(7,10),0.039459 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.0822182 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.119141 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.0590711 # DEPENDENCYPART_SIBL
(7,5),(7,17),0.0590711 # DEPENDENCYPART_SIBL
(7,5),(7,18),0.0308235 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0459814 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0483693 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0170953 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.00799874 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0279246 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0774573 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.0774573 # DEPENDENCYPART_SIBL
(7,6),(7,18),0.0317545 # DEPENDENCYPART_SIBL
(7,8),(7,9),-0.0861419 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0746901 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.0730408 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0482585 # DEPENDENCYPART_SIBL
(7,8),(7,13),-0.0645219 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.0645219 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.103824 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0520733 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.019359 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.00342833 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.0492075 # DEPENDENCYPART_SIBL
(7,9),(7,17),0.0492075 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0177668 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0379311 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0403269 # DEPENDENCYPART_SIBL
(7,10),(7,13),0.106644 # DEPENDENCYPART_SIBL
(7,10),(7,17),0.106644 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.0454252 # DEPENDENCYPART_SIBL
(7,11),(7,12),-0.0384939 # DEPENDENCYPART_SIBL
(7,11),(7,13),-0.0754517 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.0754517 # DEPENDENCYPART_SIBL
(7,11),(7,18),-0.107331 # DEPENDENCYPART_SIBL
(7,12),(7,13),0.0360101 # DEPENDENCYPART_SIBL
(7,12),(7,17),0.0360101 # DEPENDENCYPART_SIBL
(7,12),(7,18),0.00955263 # DEPENDENCYPART_SIBL
(7,13),(7,17),-0.00968491 # DEPENDENCYPART_SIBL
(7,13),(7,18),0.416818 # DEPENDENCYPART_SIBL
(7,17),(7,18),0.416818 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0660334 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0183604 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0157891 # DEPENDENCYPART_SIBL
(8,3),(8,10),-0.041943 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0779566 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0951027 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.105053 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0396143 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.125732 # DEPENDENCYPART_SIBL
(8,6),(8,7),-0.138448 # DEPENDENCYPART_SIBL
(8,6),(8,10),-0.00756057 # DEPENDENCYPART_SIBL
(8,6),(8,12),-0.0411375 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0167222 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0536652 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0394031 # DEPENDENCYPART_SIBL
(9,1),(9,2),0.100757 # DEPENDENCYPART_SIBL
(9,1),(9,3),0.128945 # DEPENDENCYPART_SIBL
(9,1),(9,4),0.0121817 # DEPENDENCYPART_SIBL
(9,1),(9,5),0.13806 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.0409252 # DEPENDENCYPART_SIBL
(9,1),(9,7),0.0439119 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.0558138 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.148105 # DEPENDENCYPART_SIBL
(9,1),(9,11),-0.0160438 # DEPENDENCYPART_SIBL
(9,1),(9,12),-0.134547 # DEPENDENCYPART_SIBL
(9,1),(9,13),-0.0433353 # DEPENDENCYPART_SIBL
(9,1),(9,16),-0.0831396 # DEPENDENCYPART_SIBL
(9,1),(9,17),-0.0433353 # DEPENDENCYPART_SIBL
(9,1),(9,18),-0.0583901 # DEPENDENCYPART_SIBL
(9,1),(9,24),-0.111311 # DEPENDENCYPART_SIBL
(9,2),(9,3),0.0556135 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.0184165 # DEPENDENCYPART_SIBL
(9,2),(9,5),-0.07888 # DEPENDENCYPART_SIBL
(9,2),(9,6),-0.0443289 # DEPENDENCYPART_SIBL
(9,2),(9,7),-0.11058 # DEPENDENCYPART_SIBL
(9,2),(9,8),-0.0324144 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0367512 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.003648 # DEPENDENCYPART_SIBL
(9,2),(9,12),0.00617842 # DEPENDENCYPART_SIBL
(9,2),(9,13),0.0397357 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.0113413 # DEPENDENCYPART_SIBL
(9,2),(9,17),0.0397357 # DEPENDENCYPART_SIBL
(9,2),(9,18),-0.0933731 # DEPENDENCYPART_SIBL
(9,2),(9,24),0.0636081 # DEPENDENCYPART_SIBL
(9,3),(9,4),-0.0078354 # DEPENDENCYPART_SIBL
(9,3),(9,5),-0.106923 # DEPENDENCYPART_SIBL
(9,3),(9,6),-0.0732982 # DEPENDENCYPART_SIBL
(9,3),(9,7),-0.139549 # DEPENDENCYPART_SIBL
(9,3),(9,8),-0.0613837 # DEPENDENCYPART_SIBL
(9,3),(9,10),-0.0537991 # DEPENDENCYPART_SIBL
(9,3),(9,11),-0.000494299 # DEPENDENCYPART_SIBL
(9,3),(9,12),-0.021303 # DEPENDENCYPART_SIBL
(9,3),(9,13),-0.0413467 # DEPENDENCYPART_SIBL
(9,3),(9,16),-0.030774 # DEPENDENCYPART_SIBL
(9,3),(9,17),-0.0413467 # DEPENDENCYPART_SIBL
(9,3),(9,18),-0.116302 # DEPENDENCYPART_SIBL
(9,3),(9,24),0.0540414 # DEPENDENCYPART_SIBL
(9,4),(9,5),-0.0676299 # DEPENDENCYPART_SIBL
(9,4),(9,6),-0.12196 # DEPENDENCYPART_SIBL
(9,4),(9,7),-0.174266 # DEPENDENCYPART_SIBL
(9,4),(9,8),-0.124524 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0437786 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.0463035 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0372594 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0672938 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.0354571 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.0672938 # DEPENDENCYPART_SIBL
(9,4),(9,18),-0.0573529 # DEPENDENCYPART_SIBL
(9,4),(9,24),0.0605082 # DEPENDENCYPART_SIBL
(9,5),(9,6),0.200295 # DEPENDENCYPART_SIBL
(9,5),(9,7),0.147439 # DEPENDENCYPART_SIBL
(9,5),(9,8),0.194033 # DEPENDENCYPART_SIBL
(9,5),(9,10),0.0104022 # DEPENDENCYPART_SIBL
(9,5),(9,11),0.0908664 # DEPENDENCYPART_SIBL
(9,5),(9,12),0.0937194 # DEPENDENCYPART_SIBL
(9,5),(9,13),0.0442646 # DEPENDENCYPART_SIBL
(9,5),(9,16),0.0325655 # DEPENDENCYPART_SIBL
(9,5),(9,17),0.0442646 # DEPENDENCYPART_SIBL
(9,5),(9,18),0.0578312 # DEPENDENCYPART_SIBL
(9,5),(9,24),0.0317405 # DEPENDENCYPART_SIBL
(9,6),(9,7),-0.515012 # DEPENDENCYPART_SIBL
(9,6),(9,8),-0.257427 # DEPENDENCYPART_SIBL
(9,6),(9,10),-0.0581723 # DEPENDENCYPART_SIBL
(9,6),(9,11),-0.0320129 # DEPENDENCYPART_SIBL
(9,6),(9,12),-0.074135 # DEPENDENCYPART_SIBL
(9,6),(9,13),-0.0073915 # DEPENDENCYPART_SIBL
(9,6),(9,16),-0.0421392 # DEPENDENCYPART_SIBL
(9,6),(9,17),-0.0073915 # DEPENDENCYPART_SIBL
(9,6),(9,18),-0.0157306 # DEPENDENCYPART_SIBL
(9,6),(9,24),-0.142231 # DEPENDENCYPART_SIBL
(9,7),(9,8),-0.13153 # DEPENDENCYPART_SIBL
(9,7),(9,10),-0.0434861 # DEPENDENCYPART_SIBL
(9,7),(9,11),-0.0291436 # DEPENDENCYPART_SIBL
(9,7),(9,12),-0.065241 # DEPENDENCYPART_SIBL
(9,7),(9,13),0.0944563 # DEPENDENCYPART_SIBL
(9,7),(9,16),-0.0333565 # DEPENDENCYPART_SIBL
(9,7),(9,17),0.0944563 # DEPENDENCYPART_SIBL
(9,7),(9,18),0.000763411 # DEPENDENCYPART_SIBL
(9,7),(9,24),-0.136281 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.0897262 # DEPENDENCYPART_SIBL
(9,8),(9,11),-0.0749287 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.10982 # DEPENDENCYPART_SIBL
(9,8),(9,13),-0.0476959 # DEPENDENCYPART_SIBL
(9,8),(9,16),-0.0787351 # DEPENDENCYPART_SIBL
(9,8),(9,17),-0.0476959 # DEPENDENCYPART_SIBL
(9,8),(9,18),-0.0615686 # DEPENDENCYPART_SIBL
(9,8),(9,24),-0.173887 # DEPENDENCYPART_SIBL
(9,10),(9,11),-0.00503951 # DEPENDENCYPART_SIBL
(9,10),(9,12),3.22946e-05 # DEPENDENCYPART_SIBL
(9,10),(9,13),0.260716 # DEPENDENCYPART_SIBL
(9,10),(9,16),-0.0187907 # DEPENDENCYPART_SIBL
(9,10),(9,17),0.260716 # DEPENDENCYPART_SIBL
(9,10),(9,18),-0.00266211 # DEPENDENCYPART_SIBL
(9,10),(9,24),0.0937628 # DEPENDENCYPART_SIBL
(9,11),(9,12),0.00445706 # DEPENDENCYPART_SIBL
(9,11),(9,13),0.0171313 # DEPENDENCYPART_SIBL
(9,11),(9,16),-0.00344389 # DEPENDENCYPART_SIBL
(9,11),(9,17),0.0171313 # DEPENDENCYPART_SIBL
(9,11),(9,18),-0.048881 # DEPENDENCYPART_SIBL
(9,11),(9,24),0.0655188 # DEPENDENCYPART_SIBL
(9,12),(9,13),0.0353071 # DEPENDENCYPART_SIBL
(9,12),(9,16),-0.0167877 # DEPENDENCYPART_SIBL
(9,12),(9,17),0.0353071 # DEPENDENCYPART_SIBL
(9,12),(9,18),-0.00693295 # DEPENDENCYPART_SIBL
(9,12),(9,24),0.152654 # DEPENDENCYPART_SIBL
(9,13),(9,16),0.543253 # DEPENDENCYPART_SIBL
(9,13),(9,17),0.120759 # DEPENDENCYPART_SIBL
(9,13),(9,18),0.508733 # DEPENDENCYPART_SIBL
(9,13),(9,24),0.0468289 # DEPENDENCYPART_SIBL
(9,16),(9,17),0.0101319 # DEPENDENCYPART_SIBL
(9,16),(9,18),-0.0770271 # DEPENDENCYPART_SIBL
(9,16),(9,24),0.0679869 # DEPENDENCYPART_SIBL
(9,17),(9,18),0.508733 # DEPENDENCYPART_SIBL
(9,17),(9,24),0.0468289 # DEPENDENCYPART_SIBL
(9,18),(9,24),0.101921 # DEPENDENCYPART_SIBL
(10,1),(10,2),-0.2007 # DEPENDENCYPART_SIBL
(10,1),(10,3),-0.139815 # DEPENDENCYPART_SIBL
(10,1),(10,4),-0.169229 # DEPENDENCYPART_SIBL
(10,1),(10,5),-0.0737386 # DEPENDENCYPART_SIBL
(10,1),(10,6),-0.143413 # DEPENDENCYPART_SIBL
(10,1),(10,7),-0.0125342 # DEPENDENCYPART_SIBL
(10,1),(10,8),-0.0379243 # DEPENDENCYPART_SIBL
(10,1),(10,9),-0.2409 # DEPENDENCYPART_SIBL
(10,1),(10,11),-0.190444 # DEPENDENCYPART_SIBL
(10,1),(10,12),-0.196644 # DEPENDENCYPART_SIBL
(10,1),(10,13),-0.0968199 # DEPENDENCYPART_SIBL
(10,1),(10,14),-0.145937 # DEPENDENCYPART_SIBL
(10,1),(10,15),-0.152039 # DEPENDENCYPART_SIBL
(10,1),(10,16),-0.188456 # DEPENDENCYPART_SIBL
(10,1),(10,17),-0.0968199 # DEPENDENCYPART_SIBL
(10,1),(10,18),-0.088208 # DEPENDENCYPART_SIBL
(10,1),(10,19),-0.310104 # DEPENDENCYPART_SIBL
(10,1),(10,21),-0.109791 # DEPENDENCYPART_SIBL
(10,1),(10,22),0.196854 # DEPENDENCYPART_SIBL
(10,1),(10,23),-0.0755837 # DEPENDENCYPART_SIBL
(10,1),(10,24),-0.195758 # DEPENDENCYPART_SIBL
(10,2),(10,3),-0.390755 # DEPENDENCYPART_SIBL
(10,2),(10,4),-0.135249 # DEPENDENCYPART_SIBL
(10,2),(10,5),-0.240358 # DEPENDENCYPART_SIBL
(10,2),(10,6),-0.234095 # DEPENDENCYPART_SIBL
(10,2),(10,7),-0.242569 # DEPENDENCYPART_SIBL
(10,2),(10,8),-0.209431 # DEPENDENCYPART_SIBL
(10,2),(10,9),-0.352868 # DEPENDENCYPART_SIBL
(10,2),(10,11),-0.0130272 # DEPENDENCYPART_SIBL
(10,2),(10,12),-0.0701245 # DEPENDENCYPART_SIBL
(10,2),(10,13),0.0676442 # DEPENDENCYPART_SIBL
(10,2),(10,14),-0.0597764 # DEPENDENCYPART_SIBL
(10,2),(10,15),-0.0494325 # DEPENDENCYPART_SIBL
(10,2),(10,16),-0.0583927 # DEPENDENCYPART_SIBL
(10,2),(10,17),0.0676442 # DEPENDENCYPART_SIBL
(10,2),(10,18),0.0121899 # DEPENDENCYPART_SIBL
(10,2),(10,19),0.00853311 # DEPENDENCYPART_SIBL
(10,2),(10,21),0.0271954 # DEPENDENCYPART_SIBL
(10,2),(10,22),0.0151253 # DEPENDENCYPART_SIBL
(10,2),(10,23),0.000940437 # DEPENDENCYPART_SIBL
(10,2),(10,24),-0.00334482 # DEPENDENCYPART_SIBL
(10,3),(10,4),-0.136061 # DEPENDENCYPART_SIBL
(10,3),(10,5),-0.240182 # DEPENDENCYPART_SIBL
(10,3),(10,6),-0.231349 # DEPENDENCYPART_SIBL
(10,3),(10,7),-0.239822 # DEPENDENCYPART_SIBL
(10,3),(10,8),-0.206685 # DEPENDENCYPART_SIBL
(10,3),(10,9),-0.353078 # DEPENDENCYPART_SIBL
(10,3),(10,11),0.00181425 # DEPENDENCYPART_SIBL
(10,3),(10,12),-0.0968301 # DEPENDENCYPART_SIBL
(10,3),(10,13),-0.0714938 # DEPENDENCYPART_SIBL
(10,3),(10,14),-0.0493775 # DEPENDENCYPART_SIBL
(10,3),(10,15),-0.0531122 # DEPENDENCYPART_SIBL
(10,3),(10,16),-0.071394 # DEPENDENCYPART_SIBL
(10,3),(10,17),-0.0714938 # DEPENDENCYPART_SIBL
(10,3),(10,18),0.00972133 # DEPENDENCYPART_SIBL
(10,3),(10,19),0.0142447 # DEPENDENCYPART_SIBL
(10,3),(10,21),0.0145106 # DEPENDENCYPART_SIBL
(10,3),(10,22),0.0210825 # DEPENDENCYPART_SIBL
(10,3),(10,23),0.00223054 # DEPENDENCYPART_SIBL
(10,3),(10,24),0.00717741 # DEPENDENCYPART_SIBL
(10,4),(10,5),-0.147623 # DEPENDENCYPART_SIBL
(10,4),(10,6),-0.0845063 # DEPENDENCYPART_SIBL
(10,4),(10,7),-0.0844589 # DEPENDENCYPART_SIBL
(10,4),(10,8),-0.0797677 # DEPENDENCYPART_SIBL
(10,4),(10,9),-0.0917942 # DEPENDENCYPART_SIBL
(10,4),(10,11),-0.022739 # DEPENDENCYPART_SIBL
(10,4),(10,12),0.00196677 # DEPENDENCYPART_SIBL
(10,4),(10,13),0.021128 # DEPENDENCYPART_SIBL
(10,4),(10,14),-0.0735618 # DEPENDENCYPART_SIBL
(10,4),(10,15),-0.061808 # DEPENDENCYPART_SIBL
(10,4),(10,16),-0.0456654 # DEPENDENCYPART_SIBL
(10,4),(10,17),0.021128 # DEPENDENCYPART_SIBL
(10,4),(10,18),0.00774632 # DEPENDENCYPART_SIBL
(10,4),(10,19),0.0216052 # DEPENDENCYPART_SIBL
(10,4),(10,21),0.0163035 # DEPENDENCYPART_SIBL
(10,4),(10,22),-0.0348119 # DEPENDENCYPART_SIBL
(10,4),(10,23),0.0610833 # DEPENDENCYPART_SIBL
(10,4),(10,24),0.0192944 # DEPENDENCYPART_SIBL
(10,5),(10,6),-0.0302386 # DEPENDENCYPART_SIBL
(10,5),(10,7),-0.0259101 # DEPENDENCYPART_SIBL
(10,5),(10,8),-0.0269326 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.211154 # DEPENDENCYPART_SIBL
(10,5),(10,11),-0.0619487 # DEPENDENCYPART_SIBL
(10,5),(10,12),0.0372089 # DEPENDENCYPART_SIBL
(10,5),(10,13),-0.0153557 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0709454 # DEPENDENCYPART_SIBL
(10,5),(10,15),-0.0602086 # DEPENDENCYPART_SIBL
(10,5),(10,16),-0.062409 # DEPENDENCYPART_SIBL
(10,5),(10,17),-0.0153557 # DEPENDENCYPART_SIBL
(10,5),(10,18),-0.0378802 # DEPENDENCYPART_SIBL
(10,5),(10,19),-0.0543838 # DEPENDENCYPART_SIBL
(10,5),(10,21),-0.01655 # DEPENDENCYPART_SIBL
(10,5),(10,22),-0.13707 # DEPENDENCYPART_SIBL
(10,5),(10,23),0.00282854 # DEPENDENCYPART_SIBL
(10,5),(10,24),-0.0594519 # DEPENDENCYPART_SIBL
(10,6),(10,7),-0.336914 # DEPENDENCYPART_SIBL
(10,6),(10,8),-0.205318 # DEPENDENCYPART_SIBL
(10,6),(10,9),-0.157605 # DEPENDENCYPART_SIBL
(10,6),(10,11),-0.0690143 # DEPENDENCYPART_SIBL
(10,6),(10,12),0.0122375 # DEPENDENCYPART_SIBL
(10,6),(10,13),0.115764 # DEPENDENCYPART_SIBL
(10,6),(10,14),-0.000868168 # DEPENDENCYPART_SIBL
(10,6),(10,15),0.00218004 # DEPENDENCYPART_SIBL
(10,6),(10,16),0.0125773 # DEPENDENCYPART_SIBL
(10,6),(10,17),0.115764 # DEPENDENCYPART_SIBL
(10,6),(10,18),0.0261073 # DEPENDENCYPART_SIBL
(10,6),(10,19),0.0642198 # DEPENDENCYPART_SIBL
(10,6),(10,21),0.0698322 # DEPENDENCYPART_SIBL
(10,6),(10,22),-0.00294624 # DEPENDENCYPART_SIBL
(10,6),(10,23),0.0198247 # DEPENDENCYPART_SIBL
(10,6),(10,24),-0.0288771 # DEPENDENCYPART_SIBL
(10,7),(10,8),-0.134237 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.157686 # DEPENDENCYPART_SIBL
(10,7),(10,11),-0.106974 # DEPENDENCYPART_SIBL
(10,7),(10,12),-0.0232641 # DEPENDENCYPART_SIBL
(10,7),(10,13),0.0481455 # DEPENDENCYPART_SIBL
(10,7),(10,14),-0.0396482 # DEPENDENCYPART_SIBL
(10,7),(10,15),-0.0574657 # DEPENDENCYPART_SIBL
(10,7),(10,16),-0.0230356 # DEPENDENCYPART_SIBL
(10,7),(10,17),0.0481455 # DEPENDENCYPART_SIBL
(10,7),(10,18),-0.02838 # DEPENDENCYPART_SIBL
(10,7),(10,19),0.0302877 # DEPENDENCYPART_SIBL
(10,7),(10,21),0.0342193 # DEPENDENCYPART_SIBL
(10,7),(10,22),-0.0409254 # DEPENDENCYPART_SIBL
(10,7),(10,23),-0.0173732 # DEPENDENCYPART_SIBL
(10,7),(10,24),-0.0714823 # DEPENDENCYPART_SIBL
(10,8),(10,9),-0.149083 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0832323 # DEPENDENCYPART_SIBL
(10,8),(10,12),0.00194573 # DEPENDENCYPART_SIBL
(10,8),(10,13),0.0388266 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0180795 # DEPENDENCYPART_SIBL
(10,8),(10,15),-0.0294445 # DEPENDENCYPART_SIBL
(10,8),(10,16),0.00137485 # DEPENDENCYPART_SIBL
(10,8),(10,17),0.0388266 # DEPENDENCYPART_SIBL
(10,8),(10,18),-0.00762124 # DEPENDENCYPART_SIBL
(10,8),(10,19),0.051859 # DEPENDENCYPART_SIBL
(10,8),(10,21),0.0586298 # DEPENDENCYPART_SIBL
(10,8),(10,22),-0.0186024 # DEPENDENCYPART_SIBL
(10,8),(10,23),0.00383301 # DEPENDENCYPART_SIBL
(10,8),(10,24),-0.0297868 # DEPENDENCYPART_SIBL
(10,9),(10,11),-0.0409963 # DEPENDENCYPART_SIBL
(10,9),(10,12),0.0388384 # DEPENDENCYPART_SIBL
(10,9),(10,13),0.0807197 # DEPENDENCYPART_SIBL
(10,9),(10,14),-0.0424535 # DEPENDENCYPART_SIBL
(10,9),(10,15),-0.0239822 # DEPENDENCYPART_SIBL
(10,9),(10,16),-0.0288615 # DEPENDENCYPART_SIBL
(10,9),(10,17),0.0807197 # DEPENDENCYPART_SIBL
(10,9),(10,18),0.0472562 # DEPENDENCYPART_SIBL
(10,9),(10,19),0.0119336 # DEPENDENCYPART_SIBL
(10,9),(10,21),0.0334459 # DEPENDENCYPART_SIBL
(10,9),(10,22),-0.0441314 # DEPENDENCYPART_SIBL
(10,9),(10,23),0.0585081 # DEPENDENCYPART_SIBL
(10,9),(10,24),0.0262133 # DEPENDENCYPART_SIBL
(10,11),(10,12),-0.200632 # DEPENDENCYPART_SIBL
(10,11),(10,13),0.000168465 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.0495757 # DEPENDENCYPART_SIBL
(10,11),(10,15),-0.128309 # DEPENDENCYPART_SIBL
(10,11),(10,16),-0.147047 # DEPENDENCYPART_SIBL
(10,11),(10,17),0.000168465 # DEPENDENCYPART_SIBL
(10,11),(10,18),-0.0489129 # DEPENDENCYPART_SIBL
(10,11),(10,19),-0.0940571 # DEPENDENCYPART_SIBL
(10,11),(10,21),-0.136301 # DEPENDENCYPART_SIBL
(10,11),(10,22),0.010063 # DEPENDENCYPART_SIBL
(10,11),(10,23),-0.30586 # DEPENDENCYPART_SIBL
(10,11),(10,24),-0.034875 # DEPENDENCYPART_SIBL
(10,12),(10,13),0.0299976 # DEPENDENCYPART_SIBL
(10,12),(10,14),0.0530592 # DEPENDENCYPART_SIBL
(10,12),(10,15),-0.0955393 # DEPENDENCYPART_SIBL
(10,12),(10,16),-0.0824071 # DEPENDENCYPART_SIBL
(10,12),(10,17),0.0299976 # DEPENDENCYPART_SIBL
(10,12),(10,18),0.0817412 # DEPENDENCYPART_SIBL
(10,12),(10,19),-0.000926862 # DEPENDENCYPART_SIBL
(10,12),(10,21),-0.00925797 # DEPENDENCYPART_SIBL
(10,12),(10,22),-0.00628902 # DEPENDENCYPART_SIBL
(10,12),(10,23),-0.397551 # DEPENDENCYPART_SIBL
(10,12),(10,24),-0.0118542 # DEPENDENCYPART_SIBL
(10,13),(10,14),-0.00855079 # DEPENDENCYPART_SIBL
(10,13),(10,15),0.158808 # DEPENDENCYPART_SIBL
