# _root_ A Ford spokesman said the Dearborn , Mich. , auto maker is n't aware of any injuries caused by the windshield problem .
#goldHeads=3,3,4,0,11,8,8,11,8,11,12,4,12,12,14,17,15,17,18,22,22,19,4,
#predictedHeads=3,3,4,0,11,8,8,11,8,11,12,4,12,12,14,17,15,17,18,22,22,19,4,
(0,12),(12,12),(12,6),0.243883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,5),0.218297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,4),0.0702419 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,3),0.260468 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,2),0.242863 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,12),(12,12),(12,-1),-0.633804 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,12),(12,11),(12,10),0.138875 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,11),(12,9),0.354455 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,11),(12,8),0.138938 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,11),(12,7),0.354455 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,11),(12,6),0.138938 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,11),(12,5),0.0798725 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,11),(12,4),0.166897 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,11),(12,3),0.138122 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,11),(12,2),0.138937 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,11),(12,-1),0.00533901 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,10),(12,9),0.361572 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,10),(12,8),0.13895 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,10),(12,7),0.361572 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,10),(12,6),0.13895 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,10),(12,5),0.0798725 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,10),(12,4),0.166897 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,10),(12,3),0.138134 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,10),(12,2),0.138949 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,10),(12,-1),-0.00159945 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,9),(12,8),0.127835 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,9),(12,7),0.0824531 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,9),(12,6),0.127804 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,9),(12,5),0.122459 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,9),(12,4),0.0759093 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,9),(12,3),0.128189 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,9),(12,2),0.131505 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,9),(12,-1),-0.365539 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,8),(12,7),0.36066 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,8),(12,6),0.139073 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,8),(12,5),0.0798725 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,8),(12,4),0.166897 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,8),(12,3),0.138257 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,8),(12,2),0.139072 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,8),(12,-1),-0.0018585 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,7),(12,6),0.127804 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,7),(12,5),0.122459 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,7),(12,4),0.0759093 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,7),(12,3),0.128189 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,7),(12,2),0.131505 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,7),(12,-1),-0.365539 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,6),(12,5),0.0798725 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,6),(12,4),0.166897 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,6),(12,3),0.138257 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,6),(12,2),0.139072 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,6),(12,-1),-0.00191901 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,5),(12,4),0.112849 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,5),(12,3),0.131195 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,5),(12,2),0.131195 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,5),(12,-1),-0.129099 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,4),(12,3),0.0906079 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,4),(12,2),0.0930717 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,4),(12,-1),0.0115579 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,3),(12,2),0.138767 # DEPENDENCYPART_GRANDSIBL
(0,12),(12,3),(12,-1),0.00962292 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,12),(12,2),(12,-1),-0.00614082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,4),(4,5),-0.0433751 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,6),-0.0821408 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,7),-0.0479112 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,8),-0.0821408 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,9),-0.0479112 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,11),-0.0821408 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,12),-0.00464785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,13),-0.0396482 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,14),-0.03436 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,18),-0.00846625 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,19),-0.0255407 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,24),-0.013139 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,5),(4,6),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,7),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,8),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,9),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,11),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,12),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,13),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,14),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,19),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,5),(4,24),-0.0433751 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,6),(4,7),-0.0434494 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,8),-0.0426718 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,9),-0.0434494 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,11),-0.0426718 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,12),-0.0423995 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,13),-0.0427723 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,14),-0.042 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,18),-0.0423995 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,19),-0.0431918 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,23),-0.0420549 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,6),(4,24),-0.0630236 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,7),(4,8),-0.0420011 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,9),-0.0419999 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,11),-0.0420011 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,12),-0.0450544 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,13),-0.0428365 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,14),-0.0419999 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,18),-0.0445964 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,19),-0.0443884 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,7),(4,24),-0.0457623 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,8),(4,9),-0.0434494 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,11),-0.0426718 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,12),-0.0423995 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,13),-0.0427723 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,14),-0.042 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,18),-0.0423995 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,19),-0.0431918 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,23),-0.0420549 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,8),(4,24),-0.0630236 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,9),(4,11),-0.0420011 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,12),-0.0450544 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,13),-0.0428365 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,14),-0.0419999 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,18),-0.0445964 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,19),-0.0443884 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,9),(4,24),-0.0457623 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,11),(4,12),-0.0423995 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,11),(4,13),-0.0427723 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,11),(4,14),-0.042 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,11),(4,18),-0.0423995 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,11),(4,19),-0.0431918 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,11),(4,23),-0.0420549 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,11),(4,24),-0.0630236 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,12),(4,13),-0.0419999 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,12),(4,14),-0.0420002 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,12),(4,18),-0.0420007 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,12),(4,19),-0.0426415 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,12),(4,23),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,12),(4,24),-0.0111408 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,13),(4,14),-0.0422517 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,13),(4,18),-0.045673 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,13),(4,19),-0.0454994 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,13),(4,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,13),(4,24),-0.0390635 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,14),(4,18),-0.0423042 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,14),(4,19),-0.0426292 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,14),(4,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,14),(4,24),-0.03298 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,18),(4,19),-0.0426415 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,18),(4,23),-0.0420116 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,18),(4,24),-0.0170196 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,19),(4,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,19),(4,24),-0.0430496 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,23),(4,24),-0.0435871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,4),(4,3),0.128916 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,2),0.128916 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,4),(4,4),(4,1),0.108036 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,4),(4,-1),-0.151138 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,4),(4,3),(4,2),0.119164 # DEPENDENCYPART_GRANDSIBL
(1,4),(4,3),(4,1),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,3),(4,-1),-0.116485 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,2),(4,1),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,2),(4,-1),-0.116485 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,4),(4,1),(4,-1),-0.132826 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,4),-0.126126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,24),0.132777 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,4),(1,24),-0.116029 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,1),(1,-1),0.182417 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,3),(3,4),0.0482229 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,5),-0.0399843 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,6),-0.182988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,7),0.13885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,8),-0.180038 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,9),0.13885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,11),-0.184007 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,12),0.0525303 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,14),-0.0647593 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,24),0.104974 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,4),(3,5),-0.0319267 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,6),-0.0492033 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,7),-0.0560012 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,8),-0.0492033 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,9),-0.0560012 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,11),-0.0492033 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,12),-0.0450729 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,14),-0.0438367 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,24),-0.0101348 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,5),(3,6),-0.0452823 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,7),-0.0458383 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,8),-0.0452823 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,9),-0.0458383 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,11),-0.0452823 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,12),-0.0420477 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,14),-0.03936 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,24),-0.0100113 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,6),(3,7),-0.0517423 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,8),-0.0133061 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,9),-0.0517423 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,11),-0.01331 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,12),-0.044555 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,14),-0.0479565 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,24),0.00474831 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,7),(3,8),0.142221 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,9),-0.0496519 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,11),0.131845 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,12),-0.120657 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,14),-0.0511051 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,24),-0.0438737 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,8),(3,9),-0.0479911 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,11),-0.0135119 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,12),-0.044555 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,14),-0.0479565 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,24),0.0068943 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,9),(3,11),0.131845 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,12),-0.120657 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,14),-0.0511051 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,24),-0.0438737 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,11),(3,12),-0.0445892 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,14),-0.0479565 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,24),-0.000135667 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,12),(3,14),-0.0438368 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,12),(3,24),-0.0119468 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,14),(3,24),-0.0496714 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,3),(3,2),0.150768 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,3),(3,1),-0.125504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,-1),0.0231896 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,2),(3,1),-0.125509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,2),(3,-1),-0.143376 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,1),(3,-1),-0.101159 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,4),(4,5),-0.0388613 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,6),-0.0477647 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,7),-0.0795648 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,8),-0.0477647 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,9),-0.0795648 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,11),-0.0477954 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,12),-0.0257632 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,13),-0.0059973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,14),-0.0120136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,18),-0.0276878 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,19),0.0602163 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,23),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,24),0.065634 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,5),(4,6),-0.0440853 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,7),-0.042167 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,8),-0.0440853 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,9),-0.042167 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,11),-0.0440853 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,12),-0.038842 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,13),-0.043454 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,14),-0.0405312 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,18),-0.038842 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,19),-0.0522455 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,23),-0.0430447 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,5),(4,24),-0.0355696 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,6),(4,7),-0.0672083 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,8),-0.0342913 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,9),-0.0672083 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,11),-0.0342913 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,12),-0.0543126 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,13),-0.0327654 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,14),-0.0389862 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,18),-0.0545617 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,19),-0.00795546 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,23),-0.055061 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,6),(4,24),-0.0682476 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,7),(4,8),-0.0358161 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,9),-0.0295576 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,11),-0.0358367 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,12),-0.0837016 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,13),-0.0457187 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,14),-0.0402251 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,18),-0.0769726 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,19),-0.0648516 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,7),(4,24),-0.0977447 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,8),(4,9),-0.0672083 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,11),-0.0342913 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,12),-0.0543126 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,13),-0.0327654 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,14),-0.0389862 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,18),-0.0545617 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,19),-0.00795546 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,23),-0.055061 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,8),(4,24),-0.0682476 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,9),(4,11),-0.0358367 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,12),-0.0837016 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,13),-0.0457187 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,14),-0.0402251 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,18),-0.0769726 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,19),-0.0648516 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,9),(4,24),-0.0977447 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,11),(4,12),-0.0543126 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,13),-0.0327654 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,14),-0.0389862 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,18),-0.0545617 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,19),-0.00795592 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,23),-0.055061 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,11),(4,24),-0.068402 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,12),(4,13),-0.0424382 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,12),(4,14),-0.0433435 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,12),(4,18),-0.0441006 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,12),(4,19),-0.0546725 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,12),(4,23),-0.0419652 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,12),(4,24),-0.0657509 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,13),(4,14),-0.0499506 # DEPENDENCYPART_GRANDSIBL
(2,4),(4,13),(4,18),-0.0270863 # DEPENDENCYPART_GRANDSIBL
