# _root_ Jaguar 's own defenses against a hostile bid are weakened , analysts add , because fewer than 3 % of its shares are owned by employees and management .
#goldHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,23,17,19,17,23,19,22,20,10,23,24,27,25,27,9,
#predictedHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,23,17,19,17,23,19,22,20,13,23,24,27,25,27,9,
(5,4),(4,12),(4,13),-0.144715 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,12),(4,14),-0.144852 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,12),(4,24),-0.144715 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,12),(4,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,12),(4,30),-0.133098 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,13),(4,14),-0.144703 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,13),(4,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,13),(4,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,13),(4,30),-0.100146 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,14),(4,24),-0.145084 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,14),(4,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,14),(4,30),-0.152804 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,24),(4,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,24),(4,30),-0.100155 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,29),(4,30),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,4),(4,3),0.000251412 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,2),-0.0618733 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,1),-0.134924 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,4),(4,4),(4,-1),0.170062 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,4),(4,3),(4,2),-0.0194427 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,3),(4,1),-0.0161964 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,3),(4,-1),-0.017401 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,2),(4,1),-0.0173584 # DEPENDENCYPART_GRANDSIBL
(5,4),(4,2),(4,-1),-0.102482 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,1),(4,-1),-0.0929056 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,6),(6,7),-0.0335266 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,30),-0.0016249 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,6),(6,7),(6,30),-0.0335262 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,6),(6,6),(6,5),0.108232 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,6),(6,6),(6,-1),-0.134864 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,6),(6,5),(6,-1),-0.148874 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,7),(7,7),(7,9),-0.0145407 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,10),-0.0143727 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,12),-0.0290918 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,30),-0.00130721 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,7),(7,9),(7,10),-0.019445 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,12),-0.019449 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,9),(7,30),-0.0118869 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,10),(7,12),-0.019449 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,10),(7,30),-0.0117203 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,12),(7,30),0.00246707 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,7),(7,6),0.154299 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,4),-0.146288 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,3),-0.146482 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,7),(7,7),(7,-1),-0.200138 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,7),(7,6),(7,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,6),(7,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,6),(7,-1),-0.102532 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,4),(7,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,7),(7,4),(7,-1),-0.156644 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,7),(7,3),(7,-1),-0.144956 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,8),(8,9),-0.00900059 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,10),-0.00901777 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,11),-0.0517964 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,12),-0.135223 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,13),-0.00707664 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,14),-0.0517964 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,30),0.152904 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,8),(8,9),(8,10),-0.0197154 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,11),0.031663 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,12),-0.022253 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,13),-0.0197154 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,14),0.031663 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,30),-0.0196371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,10),(8,11),0.0331892 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,12),-0.0221209 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,13),-0.0196961 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,14),0.0331892 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,30),-0.0154783 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,11),(8,12),-0.0654313 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,11),(8,13),0.0338006 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,11),(8,14),-0.0449042 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,11),(8,30),-0.0176164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,12),(8,13),-0.0316874 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,12),(8,14),-0.044902 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,12),(8,30),-0.0958801 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,13),(8,14),0.0331887 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,13),(8,30),-0.0164402 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,14),(8,30),-0.0176164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,8),(8,7),0.159234 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,6),0.0396361 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,5),0.14089 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,4),-0.150005 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,3),-0.145601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,1),-0.150005 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,-1),-0.177716 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,8),(8,7),(8,6),0.11853 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,7),(8,5),0.102433 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,7),(8,4),-0.145812 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,7),(8,3),-0.145522 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,7),(8,1),-0.145812 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,7),(8,-1),-0.106272 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,6),(8,5),0.101478 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,6),(8,4),-0.144876 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,6),(8,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,6),(8,1),-0.144876 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,6),(8,-1),-0.117683 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,5),(8,4),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,5),(8,3),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,5),(8,1),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,5),(8,-1),-0.128277 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,8),(8,4),(8,3),-0.144706 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,4),(8,1),-0.147983 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,4),(8,-1),-0.137389 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,3),(8,1),-0.145812 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,3),(8,-1),-0.106407 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,1),(8,-1),-0.142588 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,9),(9,10),-0.0295296 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,11),-0.0510904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,12),0.0279111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,13),-0.0295296 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,14),-0.0510904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,15),-0.0322297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,16),-0.0311388 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,23),-0.0286965 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,27),-0.0748183 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,29),-0.0220538 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,30),-0.0202507 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,9),(9,10),(9,11),-0.0212557 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,12),-0.0205024 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,13),-0.0201445 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,14),-0.0212557 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,15),-0.0239539 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,16),-0.0194415 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,23),-0.0201445 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,27),-0.0204496 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,29),-0.0197471 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,30),-0.044791 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,11),(9,12),-0.0248167 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,13),-0.034797 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,14),-0.0196173 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,15),-0.0430005 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,16),-0.0194675 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,23),-0.0348501 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,27),-0.0263764 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,30),-0.0260214 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,12),(9,13),-0.00970752 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,12),(9,14),-0.0423523 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,12),(9,15),0.0115539 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,12),(9,16),-0.0210978 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,12),(9,23),-0.00860558 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,12),(9,27),-0.00643271 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,12),(9,29),-0.0229206 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,12),(9,30),-0.0761184 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,13),(9,14),-0.0212557 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,13),(9,15),-0.0239539 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,13),(9,16),-0.0194415 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,13),(9,23),-0.0201445 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,13),(9,27),-0.0204496 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,13),(9,29),-0.0197471 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,13),(9,30),-0.044791 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,14),(9,15),-0.0430005 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,14),(9,16),-0.0194675 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,14),(9,23),-0.0348501 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,14),(9,27),-0.0263764 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,14),(9,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,14),(9,30),-0.0260214 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,15),(9,16),-0.0194585 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,15),(9,23),-0.0211009 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,15),(9,27),-0.00505579 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,15),(9,29),-0.0194454 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,15),(9,30),0.0075801 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,16),(9,23),-0.0200977 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,16),(9,27),-0.0195096 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,16),(9,29),-0.0196837 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,16),(9,30),-0.0373566 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,23),(9,27),-0.0204496 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,23),(9,29),-0.0198525 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,23),(9,30),-0.0438673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,27),(9,29),0.257543 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,27),(9,30),-0.019889 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,29),(9,30),-0.0256361 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,9),(9,8),0.113024 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,7),0.0964269 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,6),0.0878092 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,5),0.120658 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,4),-0.153514 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,3),-0.144871 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,1),-0.153514 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,-1),-0.181697 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,9),(9,8),(9,7),0.105558 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,8),(9,6),0.103043 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,8),(9,5),0.10698 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,8),(9,4),-0.144732 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,8),(9,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,8),(9,1),-0.144732 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,8),(9,-1),-0.122856 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,7),(9,6),0.108806 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,7),(9,5),0.109043 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,7),(9,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,7),(9,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,7),(9,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,7),(9,-1),-0.162189 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,6),(9,5),0.108546 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,6),(9,4),-0.144706 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,6),(9,3),-0.144713 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,6),(9,1),-0.144706 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,6),(9,-1),-0.176516 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,5),(9,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,5),(9,3),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,5),(9,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,5),(9,-1),-0.159934 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,9),(9,4),(9,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,4),(9,1),-0.144732 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,4),(9,-1),-0.122854 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,3),(9,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,3),(9,-1),-0.162194 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,1),(9,-1),-0.12286 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,11),(11,11),(11,30),-0.036726 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,11),(11,11),(11,-1),-0.162827 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,12),(12,12),(12,13),-0.0219577 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,12),(12,12),(12,16),-0.00130952 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,12),(12,12),(12,30),0.167766 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,12),(12,13),(12,16),-0.0208167 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,13),(12,30),-0.0314531 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,12),(12,16),(12,30),-0.0183785 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,12),(12,12),(12,11),-0.0135682 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,12),(12,12),(12,10),0.121851 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,12),(12,12),(12,8),0.170183 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,12),(12,12),(12,7),0.157107 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,12),(12,12),(12,6),0.0413828 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,12),(12,12),(12,-1),-0.182079 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,12),(12,11),(12,10),0.121847 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,11),(12,8),0.0280519 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,11),(12,7),0.131628 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,11),(12,6),0.101663 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,11),(12,-1),-0.152804 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,12),(12,10),(12,8),0.120386 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,10),(12,7),0.125337 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,10),(12,6),0.123755 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,10),(12,-1),-0.100146 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,12),(12,8),(12,7),0.112519 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,8),(12,6),0.115266 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,8),(12,-1),-0.131888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,12),(12,7),(12,6),0.117804 # DEPENDENCYPART_GRANDSIBL
(5,12),(12,7),(12,-1),-0.108829 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,12),(12,6),(12,-1),-0.116527 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,13),(13,14),-0.0509788 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,15),-0.0317193 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,16),-0.0367097 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,17),-0.0315377 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,19),0.0369156 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,20),-0.0307465 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,23),-0.0280905 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,24),-0.0289236 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,25),-0.0487133 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,27),-0.0738328 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,29),-0.0220538 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,30),-0.0201986 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,13),(13,14),(13,15),-0.0429992 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,14),(13,16),-0.0194675 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,14),(13,17),-0.0429887 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,14),(13,19),-0.0248167 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,14),(13,20),-0.0429945 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,14),(13,23),-0.0348501 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,14),(13,24),-0.034797 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,14),(13,25),-0.0433668 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,14),(13,27),-0.0263752 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,14),(13,29),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,14),(13,30),-0.0260142 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,15),(13,16),-0.0194585 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,15),(13,17),-0.0188349 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,15),(13,19),-0.0242846 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,15),(13,20),-0.0188375 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,15),(13,23),-0.0210994 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,15),(13,24),-0.0208398 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,15),(13,25),-0.0202399 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,15),(13,27),-0.00505579 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,15),(13,29),-0.0194454 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,15),(13,30),0.00971372 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,16),(13,17),-0.0171378 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,16),(13,19),-0.0213025 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,16),(13,20),-0.017573 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,16),(13,23),-0.0200977 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,16),(13,24),-0.0200969 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,16),(13,25),-0.0171392 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,16),(13,27),-0.0195096 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,16),(13,29),-0.0196837 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,16),(13,30),-0.043052 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,17),(13,19),-0.0242851 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,17),(13,20),-0.018838 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,17),(13,23),-0.0207374 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,17),(13,24),-0.0204778 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,17),(13,25),-0.0202404 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,17),(13,27),-0.00505579 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,17),(13,29),-0.0194454 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,17),(13,30),0.0108206 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,19),(13,20),0.0132081 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,19),(13,23),-0.00812924 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,19),(13,24),-0.00923119 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,19),(13,25),0.0204859 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,19),(13,27),-0.00642784 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,19),(13,29),-0.0229206 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,19),(13,30),-0.0683506 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,20),(13,23),-0.0210207 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,20),(13,24),-0.0207611 # DEPENDENCYPART_GRANDSIBL
