# _root_ Today , with business activity in Hong Kong staggering along at an uneven pace , the economy itself seems locked in a struggle between hope and fear .
#goldHeads=19,19,19,5,9,5,8,6,3,9,9,14,14,11,19,17,19,17,0,19,20,23,21,23,26,24,26,19,
#predictedHeads=19,19,19,5,9,5,8,6,3,9,9,14,14,11,19,17,19,17,0,19,20,23,21,23,26,24,26,19,
(3,5),(5,11),(5,28),-0.0437497 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,11),(5,29),-0.0475234 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,14),(5,15),-0.0829638 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,14),(5,28),-0.0458861 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,14),(5,29),-0.129102 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,15),(5,28),-0.0420212 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,15),(5,29),-0.0643332 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,28),(5,29),-0.0639595 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,5),(5,4),0.186174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,3),0.164274 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,5),(5,2),-0.1257 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,1),-0.133287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,-1),-0.137948 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,4),(5,3),0.11669 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,4),(5,2),-0.124916 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,4),(5,1),-0.127479 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,4),(5,-1),-0.140226 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,3),(5,2),-0.124893 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,3),(5,1),-0.124942 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,3),(5,-1),-0.115057 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,2),(5,1),-0.124948 # DEPENDENCYPART_GRANDSIBL
(3,5),(5,2),(5,-1),-0.140685 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,5),(5,1),(5,-1),-0.133171 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,6),(6,7),-0.125003 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,8),-0.125357 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,9),-0.0536424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,10),-0.0544881 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,11),-0.0211054 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,14),-0.124986 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,29),-0.00575782 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,7),(6,8),-0.041498 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,9),-0.0425755 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,10),-0.0431428 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,11),-0.0526286 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,14),-0.0414811 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,7),(6,29),-0.0790084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,8),(6,9),-0.0425755 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,10),-0.0431428 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,11),-0.0526286 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,14),-0.0414811 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,8),(6,29),-0.079379 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,9),(6,10),-0.0419996 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,9),(6,11),-0.0420124 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,9),(6,14),-0.0420159 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,9),(6,29),-0.0593829 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,10),(6,11),-0.0420364 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,10),(6,14),-0.0420687 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,10),(6,29),-0.0563338 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,11),(6,14),-0.0459579 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,11),(6,29),-0.0170122 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,14),(6,29),-0.0790084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,6),(6,5),0.164251 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,1),-0.140641 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,6),(6,6),(6,-1),-0.0924368 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,6),(6,5),(6,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,6),(6,5),(6,-1),-0.0757501 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,6),(6,1),(6,-1),-0.0757647 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,7),(7,8),-0.176427 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,9),-0.11007 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,7),(7,7),(7,29),0.126892 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,7),(7,8),(7,9),-0.0584336 # DEPENDENCYPART_GRANDSIBL
(3,7),(7,8),(7,29),-0.134156 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,9),(7,29),-0.0815787 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,7),(7,7),(7,-1),-0.147619 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,8),(8,8),(8,9),-0.109807 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,10),0.00486936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,11),-0.0994309 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,14),-0.175352 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,15),-0.0627732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,17),-0.175529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,29),0.159217 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,8),(8,9),(8,10),-0.0322263 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,11),-0.0550649 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,14),-0.0458043 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,15),0.0270186 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,17),-0.0458043 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,9),(8,29),-0.0813162 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,10),(8,11),-0.0509833 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,14),-0.0359887 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,15),-0.039079 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,17),-0.0359887 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,10),(8,29),0.0812237 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,11),(8,14),-0.0500372 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,11),(8,15),-0.0216067 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,11),(8,17),-0.0500372 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,11),(8,29),-0.0461471 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,14),(8,15),-0.08361 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,14),(8,17),-0.0516841 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,14),(8,29),-0.130141 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,15),(8,17),-0.0843475 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,15),(8,29),-0.0649497 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,17),(8,29),-0.130569 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,8),(8,7),0.215187 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,5),0.190099 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,4),0.195216 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,2),-0.1257 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,1),-0.133287 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,8),(8,8),(8,-1),-0.13775 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,8),(8,7),(8,5),0.140135 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,7),(8,4),0.133938 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,7),(8,2),-0.124916 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,7),(8,1),-0.127187 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,7),(8,-1),-0.116163 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,5),(8,4),0.130967 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,5),(8,2),-0.124916 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,5),(8,1),-0.127187 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,5),(8,-1),-0.124565 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,4),(8,2),-0.124916 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,4),(8,1),-0.127479 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,4),(8,-1),-0.124646 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,2),(8,1),-0.124948 # DEPENDENCYPART_GRANDSIBL
(3,8),(8,2),(8,-1),-0.140685 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,8),(8,1),(8,-1),-0.117591 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,9),(9,10),-0.0795845 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,11),-0.0567744 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,12),-0.0425251 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,13),-0.0506539 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,14),0.0385707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,15),-0.0932877 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,17),0.0348341 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,19),-0.0525106 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,20),-0.05251 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,21),-0.0456074 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,26),-0.0912832 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,28),-0.0448079 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,29),-0.0130742 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,9),(9,10),(9,11),-0.0223479 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,12),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,13),-0.0452527 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,14),-0.0505162 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,15),-0.0518143 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,17),-0.0505162 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,19),-0.0624105 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,20),-0.0624105 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,21),-0.0143441 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,26),-0.0453943 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,10),(9,29),-0.0524038 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,11),(9,12),-0.0419993 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,11),(9,13),-0.0420102 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,11),(9,14),-0.0486989 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,11),(9,15),-0.0452227 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,11),(9,17),-0.0486989 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,11),(9,19),-0.0264445 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,11),(9,20),-0.0264445 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,11),(9,21),-0.0384209 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,11),(9,26),-0.0312479 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,11),(9,28),-0.0424293 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,11),(9,29),-0.0127718 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,12),(9,13),-0.0419995 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,12),(9,14),-0.0395206 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,12),(9,15),-0.0420138 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,12),(9,17),-0.0395206 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,12),(9,19),-0.0427326 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,12),(9,20),-0.0427326 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,12),(9,21),-0.0443483 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,12),(9,26),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,12),(9,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,12),(9,29),-0.0417575 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,13),(9,14),-0.0466417 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,13),(9,15),-0.0460589 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,13),(9,17),-0.0466417 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,13),(9,19),-0.0465468 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,13),(9,20),-0.0465468 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,13),(9,21),-0.034793 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,13),(9,26),-0.03782 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,13),(9,28),-0.0427869 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,13),(9,29),-0.0491762 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,14),(9,15),-0.0737925 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,14),(9,17),-0.0491516 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,14),(9,19),-0.0331184 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,14),(9,20),-0.0331184 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,14),(9,21),-0.029984 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,14),(9,26),-0.0297466 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,14),(9,28),-0.0443735 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,14),(9,29),-0.0721052 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,15),(9,17),-0.0536221 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,15),(9,19),-0.0548278 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,15),(9,20),-0.0548278 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,15),(9,21),-0.0643178 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,15),(9,26),-0.054738 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,15),(9,28),-0.0420085 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,15),(9,29),-0.0415705 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,17),(9,19),-0.0331184 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,17),(9,20),-0.0331184 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,17),(9,21),-0.0307969 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,17),(9,26),-0.0297466 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,17),(9,28),-0.0443735 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,17),(9,29),-0.0750293 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,19),(9,20),-0.0367849 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,19),(9,21),-0.051441 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,19),(9,26),-0.0432787 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,19),(9,28),-0.043116 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,19),(9,29),-0.0616557 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,20),(9,21),-0.051441 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,20),(9,26),-0.0432787 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,20),(9,28),-0.043116 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,20),(9,29),-0.0616551 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,21),(9,26),-0.0282911 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,21),(9,28),-0.0424985 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,21),(9,29),-0.0546593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,26),(9,28),0.0804904 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,26),(9,29),-0.0369615 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,28),(9,29),-0.0449092 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,9),(9,8),0.217993 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,7),0.218142 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,6),0.112457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,5),0.21814 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,4),0.218134 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,3),0.108576 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,9),(9,9),(9,1),-0.130772 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,9),(9,-1),-0.217127 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,9),(9,8),(9,7),0.105126 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,8),(9,6),0.113604 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,8),(9,5),0.105126 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,8),(9,4),0.105125 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,8),(9,3),0.113789 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,8),(9,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,8),(9,-1),-0.0231086 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,7),(9,6),0.113604 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,7),(9,5),0.105126 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,7),(9,4),0.105125 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,7),(9,3),0.113789 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,7),(9,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,7),(9,-1),-0.0229598 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,6),(9,5),0.117802 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,6),(9,4),0.117802 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,6),(9,3),0.118053 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,6),(9,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,6),(9,-1),-0.13304 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,5),(9,4),0.105123 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,5),(9,3),0.113789 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,5),(9,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,5),(9,-1),-0.02296 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,4),(9,3),0.113789 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,4),(9,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,9),(9,4),(9,-1),-0.0233793 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,9),(9,3),(9,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,9),(9,3),(9,-1),-0.144132 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,9),(9,1),(9,-1),-0.0230167 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,10),(10,11),0.0210252 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,12),-0.0327325 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,13),-0.0495352 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,14),-0.047708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,15),-0.0237518 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,17),-0.0477072 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,19),-0.0814359 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,21),0.010288 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,29),-0.0555663 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,10),(10,11),(10,12),-0.0420002 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,13),-0.0426329 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,14),-0.0138374 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,15),-0.0479671 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,17),-0.0138374 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,19),-0.01451 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,21),-0.0519541 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,11),(10,29),-0.102695 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,12),(10,13),-0.0445461 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,14),-0.0421938 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,15),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,17),-0.0421938 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,19),-0.0420119 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,21),-0.0351183 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,12),(10,29),-0.0453511 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,13),(10,14),-0.0421008 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,15),-0.0421589 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,17),-0.0421008 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,19),-0.0397451 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,21),-0.0500318 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,13),(10,29),-0.0445368 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,14),(10,15),-0.0500927 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,17),-0.0425679 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,19),-0.0423299 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,21),-0.048158 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,14),(10,29),0.0191107 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,15),(10,17),-0.0455898 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,19),-0.0475129 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,21),-0.0424679 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,15),(10,29),-0.0346917 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,17),(10,19),-0.0423299 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,17),(10,21),-0.048158 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,17),(10,29),0.0191115 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,19),(10,21),-0.0423185 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,19),(10,29),-0.0329046 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,21),(10,29),-0.11648 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,10),(10,10),(10,9),0.157598 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,8),0.136626 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,7),0.136626 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,6),0.119201 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,5),0.136508 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,3),0.119228 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,10),(10,10),(10,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,1),-0.132749 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,10),(10,10),(10,-1),-0.194276 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,10),(10,9),(10,8),0.128122 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,9),(10,7),0.128122 # DEPENDENCYPART_GRANDSIBL
(3,10),(10,9),(10,6),0.119146 # DEPENDENCYPART_GRANDSIBL
