# _root_ `` Parenthood , '' this summer 's successful and amusing movie about parents and children , apparently was only the beginning .
#goldHeads=2,18,2,2,6,11,6,9,11,9,2,11,14,12,14,2,18,0,21,21,18,18,
#predictedHeads=18,18,2,2,6,11,6,9,11,9,2,11,14,12,14,2,18,0,21,21,18,18,
(18,13),(13,11),0.213322 # DEPENDENCYPART_GRANDPAR
(18,13),(13,12),0.313508 # DEPENDENCYPART_GRANDPAR
(18,13),(13,15),0.118381 # DEPENDENCYPART_GRANDPAR
(18,13),(13,16),0.73861 # DEPENDENCYPART_GRANDPAR
(18,13),(13,18),-0.930961 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,14),(14,1),0.200314 # DEPENDENCYPART_GRANDPAR
(18,14),(14,2),0.107388 # DEPENDENCYPART_GRANDPAR
(18,14),(14,3),0.368119 # DEPENDENCYPART_GRANDPAR
(18,14),(14,5),0.670844 # DEPENDENCYPART_GRANDPAR
(18,14),(14,6),0.178823 # DEPENDENCYPART_GRANDPAR
(18,14),(14,8),0.25032 # DEPENDENCYPART_GRANDPAR
(18,14),(14,9),0.0680629 # DEPENDENCYPART_GRANDPAR
(18,14),(14,10),0.209079 # DEPENDENCYPART_GRANDPAR
(18,14),(14,11),0.25404 # DEPENDENCYPART_GRANDPAR
(18,14),(14,12),0.304851 # DEPENDENCYPART_GRANDPAR
(18,14),(14,13),0.357316 # DEPENDENCYPART_GRANDPAR
(18,14),(14,15),0.0113895 # DEPENDENCYPART_GRANDPAR
(18,14),(14,16),0.633731 # DEPENDENCYPART_GRANDPAR
(18,14),(14,17),0.221454 # DEPENDENCYPART_GRANDPAR
(18,14),(14,18),-1.14496 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,14),(14,19),-0.0247432 # DEPENDENCYPART_GRANDPAR
(18,14),(14,21),-0.240101 # DEPENDENCYPART_GRANDPAR
(18,14),(14,22),-0.514241 # DEPENDENCYPART_GRANDPAR
(18,15),(15,6),0.117332 # DEPENDENCYPART_GRANDPAR
(18,15),(15,8),0.149944 # DEPENDENCYPART_GRANDPAR
(18,15),(15,10),0.0851947 # DEPENDENCYPART_GRANDPAR
(18,15),(15,13),0.304019 # DEPENDENCYPART_GRANDPAR
(18,15),(15,14),-0.0263915 # DEPENDENCYPART_GRANDPAR
(18,15),(15,16),0.748669 # DEPENDENCYPART_GRANDPAR
(18,15),(15,17),0.415747 # DEPENDENCYPART_GRANDPAR
(18,15),(15,18),-0.93093 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,15),(15,19),0.148298 # DEPENDENCYPART_GRANDPAR
(18,15),(15,21),0.122019 # DEPENDENCYPART_GRANDPAR
(18,15),(15,22),-0.337584 # DEPENDENCYPART_GRANDPAR
(18,17),(17,2),0.0344902 # DEPENDENCYPART_GRANDPAR
(18,17),(17,6),0.100447 # DEPENDENCYPART_GRANDPAR
(18,17),(17,9),0.159421 # DEPENDENCYPART_GRANDPAR
(18,17),(17,11),0.182201 # DEPENDENCYPART_GRANDPAR
(18,17),(17,12),0.303325 # DEPENDENCYPART_GRANDPAR
(18,17),(17,13),0.268751 # DEPENDENCYPART_GRANDPAR
(18,17),(17,14),0.0155011 # DEPENDENCYPART_GRANDPAR
(18,17),(17,15),0.0255251 # DEPENDENCYPART_GRANDPAR
(18,17),(17,16),0.571412 # DEPENDENCYPART_GRANDPAR
(18,17),(17,18),-0.943676 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,17),(17,19),0.0993276 # DEPENDENCYPART_GRANDPAR
(18,17),(17,21),-0.0315403 # DEPENDENCYPART_GRANDPAR
(18,19),(19,2),-0.384632 # DEPENDENCYPART_GRANDPAR
(18,19),(19,9),-0.3803 # DEPENDENCYPART_GRANDPAR
(18,19),(19,11),-0.238274 # DEPENDENCYPART_GRANDPAR
(18,19),(19,12),0.0269596 # DEPENDENCYPART_GRANDPAR
(18,19),(19,15),-0.387788 # DEPENDENCYPART_GRANDPAR
(18,19),(19,17),0.0126619 # DEPENDENCYPART_GRANDPAR
(18,19),(19,20),0.566145 # DEPENDENCYPART_GRANDPAR
(18,19),(19,21),0.357101 # DEPENDENCYPART_GRANDPAR
(18,20),(20,19),0.531573 # DEPENDENCYPART_GRANDPAR
(18,21),(21,14),-0.528183 # DEPENDENCYPART_GRANDPAR
(18,21),(21,17),0.0628259 # DEPENDENCYPART_GRANDPAR
(18,21),(21,19),0.543053 # DEPENDENCYPART_GRANDPAR
(18,21),(21,20),0.65988 # DEPENDENCYPART_GRANDPAR
(18,21),(21,22),0.0231032 # DEPENDENCYPART_GRANDPAR
(18,22),(22,21),0.298495 # DEPENDENCYPART_GRANDPAR
(19,2),(2,1),-0.434025 # DEPENDENCYPART_GRANDPAR
(19,2),(2,3),-0.358169 # DEPENDENCYPART_GRANDPAR
(19,2),(2,4),-0.429196 # DEPENDENCYPART_GRANDPAR
(19,2),(2,5),-0.37667 # DEPENDENCYPART_GRANDPAR
(19,2),(2,6),-0.238897 # DEPENDENCYPART_GRANDPAR
(19,2),(2,8),-0.276368 # DEPENDENCYPART_GRANDPAR
(19,2),(2,9),-0.13332 # DEPENDENCYPART_GRANDPAR
(19,2),(2,10),-0.185758 # DEPENDENCYPART_GRANDPAR
(19,2),(2,11),-0.140538 # DEPENDENCYPART_GRANDPAR
(19,2),(2,12),0.0910247 # DEPENDENCYPART_GRANDPAR
(19,2),(2,14),-0.0614693 # DEPENDENCYPART_GRANDPAR
(19,2),(2,15),-0.0743734 # DEPENDENCYPART_GRANDPAR
(19,2),(2,16),-0.173453 # DEPENDENCYPART_GRANDPAR
(19,2),(2,17),-0.125056 # DEPENDENCYPART_GRANDPAR
(19,2),(2,18),0.0223608 # DEPENDENCYPART_GRANDPAR
(19,2),(2,19),-1.31291 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,2),(2,21),-0.517277 # DEPENDENCYPART_GRANDPAR
(19,2),(2,22),-0.609576 # DEPENDENCYPART_GRANDPAR
(19,9),(9,1),-0.337914 # DEPENDENCYPART_GRANDPAR
(19,9),(9,2),-0.295206 # DEPENDENCYPART_GRANDPAR
(19,9),(9,3),-0.373685 # DEPENDENCYPART_GRANDPAR
(19,9),(9,4),-0.453973 # DEPENDENCYPART_GRANDPAR
(19,9),(9,5),-0.380084 # DEPENDENCYPART_GRANDPAR
(19,9),(9,6),-0.208336 # DEPENDENCYPART_GRANDPAR
(19,9),(9,8),-0.188032 # DEPENDENCYPART_GRANDPAR
(19,9),(9,10),-0.229163 # DEPENDENCYPART_GRANDPAR
(19,9),(9,11),-0.123526 # DEPENDENCYPART_GRANDPAR
(19,9),(9,12),0.0799393 # DEPENDENCYPART_GRANDPAR
(19,9),(9,13),-0.094559 # DEPENDENCYPART_GRANDPAR
(19,9),(9,14),-0.11502 # DEPENDENCYPART_GRANDPAR
(19,9),(9,15),-0.0726266 # DEPENDENCYPART_GRANDPAR
(19,9),(9,16),-0.0675926 # DEPENDENCYPART_GRANDPAR
(19,9),(9,17),-0.115625 # DEPENDENCYPART_GRANDPAR
(19,9),(9,18),0.0793345 # DEPENDENCYPART_GRANDPAR
(19,9),(9,21),-0.629551 # DEPENDENCYPART_GRANDPAR
(19,9),(9,22),-0.611287 # DEPENDENCYPART_GRANDPAR
(19,11),(11,1),-0.434038 # DEPENDENCYPART_GRANDPAR
(19,11),(11,2),-0.405154 # DEPENDENCYPART_GRANDPAR
(19,11),(11,3),-0.391001 # DEPENDENCYPART_GRANDPAR
(19,11),(11,5),-0.487114 # DEPENDENCYPART_GRANDPAR
(19,11),(11,6),-0.328053 # DEPENDENCYPART_GRANDPAR
(19,11),(11,8),-0.296188 # DEPENDENCYPART_GRANDPAR
(19,11),(11,9),-0.31712 # DEPENDENCYPART_GRANDPAR
(19,11),(11,10),-0.225812 # DEPENDENCYPART_GRANDPAR
(19,11),(11,12),0.0891012 # DEPENDENCYPART_GRANDPAR
(19,11),(11,13),-0.102289 # DEPENDENCYPART_GRANDPAR
(19,11),(11,14),-0.0565672 # DEPENDENCYPART_GRANDPAR
(19,11),(11,15),-0.0743034 # DEPENDENCYPART_GRANDPAR
(19,11),(11,16),-0.173479 # DEPENDENCYPART_GRANDPAR
(19,11),(11,17),-0.125083 # DEPENDENCYPART_GRANDPAR
(19,11),(11,18),0.0223186 # DEPENDENCYPART_GRANDPAR
(19,11),(11,19),-1.31292 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,11),(11,21),-0.517285 # DEPENDENCYPART_GRANDPAR
(19,11),(11,22),-0.609581 # DEPENDENCYPART_GRANDPAR
(19,12),(12,9),-0.248786 # DEPENDENCYPART_GRANDPAR
(19,12),(12,10),-0.225567 # DEPENDENCYPART_GRANDPAR
(19,12),(12,11),-0.228148 # DEPENDENCYPART_GRANDPAR
(19,12),(12,13),-0.241246 # DEPENDENCYPART_GRANDPAR
(19,12),(12,14),-0.216535 # DEPENDENCYPART_GRANDPAR
(19,12),(12,15),-0.214405 # DEPENDENCYPART_GRANDPAR
(19,12),(12,16),-0.261654 # DEPENDENCYPART_GRANDPAR
(19,12),(12,17),-0.136942 # DEPENDENCYPART_GRANDPAR
(19,12),(12,18),-0.0726884 # DEPENDENCYPART_GRANDPAR
(19,12),(12,19),-1.30915 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,12),(12,21),-0.590012 # DEPENDENCYPART_GRANDPAR
(19,12),(12,22),-0.605297 # DEPENDENCYPART_GRANDPAR
(19,15),(15,6),-0.325834 # DEPENDENCYPART_GRANDPAR
(19,15),(15,8),-0.294127 # DEPENDENCYPART_GRANDPAR
(19,15),(15,10),-0.223751 # DEPENDENCYPART_GRANDPAR
(19,15),(15,13),-0.176958 # DEPENDENCYPART_GRANDPAR
(19,15),(15,14),-0.245378 # DEPENDENCYPART_GRANDPAR
(19,15),(15,16),-0.173584 # DEPENDENCYPART_GRANDPAR
(19,15),(15,17),-0.125065 # DEPENDENCYPART_GRANDPAR
(19,15),(15,18),0.0222668 # DEPENDENCYPART_GRANDPAR
(19,15),(15,19),-1.31291 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,15),(15,21),-0.517277 # DEPENDENCYPART_GRANDPAR
(19,15),(15,22),-0.609576 # DEPENDENCYPART_GRANDPAR
(19,17),(17,2),-0.484077 # DEPENDENCYPART_GRANDPAR
(19,17),(17,6),-0.397254 # DEPENDENCYPART_GRANDPAR
(19,17),(17,9),-0.290881 # DEPENDENCYPART_GRANDPAR
(19,17),(17,11),-0.295413 # DEPENDENCYPART_GRANDPAR
(19,17),(17,12),-0.0933871 # DEPENDENCYPART_GRANDPAR
(19,17),(17,13),-0.259174 # DEPENDENCYPART_GRANDPAR
(19,17),(17,14),-0.21903 # DEPENDENCYPART_GRANDPAR
(19,17),(17,15),-0.230117 # DEPENDENCYPART_GRANDPAR
(19,17),(17,16),-0.274553 # DEPENDENCYPART_GRANDPAR
(19,17),(17,18),-0.0627829 # DEPENDENCYPART_GRANDPAR
(19,17),(17,19),-1.31008 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,17),(17,21),-0.566704 # DEPENDENCYPART_GRANDPAR
(19,20),(20,19),-0.943078 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,21),(21,14),-0.620937 # DEPENDENCYPART_GRANDPAR
(19,21),(21,17),-0.471992 # DEPENDENCYPART_GRANDPAR
(19,21),(21,19),-0.946647 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,21),(21,20),0.156616 # DEPENDENCYPART_GRANDPAR
(19,21),(21,22),-0.185466 # DEPENDENCYPART_GRANDPAR
(20,19),(19,2),-0.487671 # DEPENDENCYPART_GRANDPAR
(20,19),(19,9),-0.18631 # DEPENDENCYPART_GRANDPAR
(20,19),(19,11),-0.281751 # DEPENDENCYPART_GRANDPAR
(20,19),(19,12),-0.177175 # DEPENDENCYPART_GRANDPAR
(20,19),(19,15),-0.208144 # DEPENDENCYPART_GRANDPAR
(20,19),(19,17),0.0185066 # DEPENDENCYPART_GRANDPAR
(20,19),(19,20),-1.17494 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,19),(19,21),-0.177703 # DEPENDENCYPART_GRANDPAR
(21,14),(14,1),-0.33575 # DEPENDENCYPART_GRANDPAR
(21,14),(14,2),-0.533315 # DEPENDENCYPART_GRANDPAR
(21,14),(14,3),-0.532162 # DEPENDENCYPART_GRANDPAR
(21,14),(14,5),-0.0597714 # DEPENDENCYPART_GRANDPAR
(21,14),(14,6),-0.747537 # DEPENDENCYPART_GRANDPAR
(21,14),(14,8),-0.0459917 # DEPENDENCYPART_GRANDPAR
(21,14),(14,9),-0.560562 # DEPENDENCYPART_GRANDPAR
(21,14),(14,10),-0.0572113 # DEPENDENCYPART_GRANDPAR
(21,14),(14,11),-0.806831 # DEPENDENCYPART_GRANDPAR
(21,14),(14,12),-0.278463 # DEPENDENCYPART_GRANDPAR
(21,14),(14,13),-0.476681 # DEPENDENCYPART_GRANDPAR
(21,14),(14,15),-0.366874 # DEPENDENCYPART_GRANDPAR
(21,14),(14,16),0.106394 # DEPENDENCYPART_GRANDPAR
(21,14),(14,17),0.143329 # DEPENDENCYPART_GRANDPAR
(21,14),(14,18),0.153867 # DEPENDENCYPART_GRANDPAR
(21,14),(14,19),0.200979 # DEPENDENCYPART_GRANDPAR
(21,14),(14,21),-1.14581 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,14),(14,22),-0.101545 # DEPENDENCYPART_GRANDPAR
(21,17),(17,2),-0.557763 # DEPENDENCYPART_GRANDPAR
(21,17),(17,6),-0.772558 # DEPENDENCYPART_GRANDPAR
(21,17),(17,9),-0.535812 # DEPENDENCYPART_GRANDPAR
(21,17),(17,11),-0.83233 # DEPENDENCYPART_GRANDPAR
(21,17),(17,12),-0.382354 # DEPENDENCYPART_GRANDPAR
(21,17),(17,13),-0.506987 # DEPENDENCYPART_GRANDPAR
(21,17),(17,14),-0.315102 # DEPENDENCYPART_GRANDPAR
(21,17),(17,15),-0.334278 # DEPENDENCYPART_GRANDPAR
(21,17),(17,16),-0.0143265 # DEPENDENCYPART_GRANDPAR
(21,17),(17,18),0.0183823 # DEPENDENCYPART_GRANDPAR
(21,17),(17,19),0.233384 # DEPENDENCYPART_GRANDPAR
(21,17),(17,21),-1.01756 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,19),(19,2),-0.588984 # DEPENDENCYPART_GRANDPAR
(21,19),(19,9),-0.57327 # DEPENDENCYPART_GRANDPAR
(21,19),(19,11),-0.863551 # DEPENDENCYPART_GRANDPAR
(21,19),(19,12),-0.421145 # DEPENDENCYPART_GRANDPAR
(21,19),(19,15),-0.365499 # DEPENDENCYPART_GRANDPAR
(21,19),(19,17),0.132188 # DEPENDENCYPART_GRANDPAR
(21,19),(19,20),0.286747 # DEPENDENCYPART_GRANDPAR
(21,19),(19,21),-1.01785 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,20),(20,19),0.127841 # DEPENDENCYPART_GRANDPAR
(21,22),(22,21),-0.607179 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,21),(21,14),-0.423124 # DEPENDENCYPART_GRANDPAR
(22,21),(21,17),-0.180882 # DEPENDENCYPART_GRANDPAR
(22,21),(21,19),-0.10687 # DEPENDENCYPART_GRANDPAR
(22,21),(21,20),-0.259416 # DEPENDENCYPART_GRANDPAR
(22,21),(21,22),-0.944136 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(0,2),(2,2),(2,3),-0.0577805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,4),-0.0219246 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,5),-0.0195704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,6),-0.0203685 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,8),-0.022013 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,9),-0.0755147 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,10),-0.0209329 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,11),-0.0203685 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,12),-0.0580037 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,14),-0.0755147 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,15),-0.0203685 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,16),-0.0577805 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,17),-0.0269703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,18),-0.0889732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,19),-0.0269693 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,21),-0.0203685 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,22),0.00810306 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,23),-0.0458627 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,2),(2,3),(2,4),-0.0262487 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,5),-0.020437 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,6),0.00959908 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,8),-0.0242403 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,9),-0.0181501 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,10),-0.0242403 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,11),0.00959908 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,12),-0.00264962 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,14),-0.0181501 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,15),0.00959908 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,16),-0.0203913 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,17),-0.0152857 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,18),-0.0654076 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,19),-0.0152961 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,21),0.00959908 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,22),-0.0384839 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,23),-0.039327 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,4),(2,5),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,6),-0.0206872 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,9),-0.0194503 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,11),-0.0207017 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,12),-0.0194897 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,14),-0.0194503 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,15),-0.0206872 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,16),-0.0212345 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,17),-0.0194431 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,18),-0.0263846 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,19),-0.0194431 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,21),-0.0206872 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,22),-0.0219619 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,23),-0.00639871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,5),(2,6),-0.0195149 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,9),-0.019441 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,11),-0.0195149 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,12),-0.0194428 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,14),-0.019441 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,15),-0.0195149 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,16),-0.0194522 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,18),-0.0194432 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,21),-0.0195149 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,22),-0.0204028 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,23),-0.0197315 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,6),(2,8),-0.0210544 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,9),-0.0203337 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,10),-0.0210544 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,11),0.00335548 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,12),-0.0237758 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,14),-0.0203337 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,15),0.00335548 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,16),-0.0177929 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,17),-0.0213528 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,18),-0.0272415 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,19),-0.0213528 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,21),0.00335548 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,22),0.0669074 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,23),-0.0279941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,8),(2,9),-0.0203488 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,8),(2,10),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,8),(2,11),-0.0200324 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,8),(2,12),-0.0195531 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,8),(2,14),-0.0203488 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,8),(2,15),-0.0200324 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,8),(2,16),-0.00842428 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,8),(2,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,8),(2,18),-0.0205975 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,8),(2,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,8),(2,21),-0.0200324 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,8),(2,22),-0.0139604 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,8),(2,23),-0.0303285 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,9),(2,10),0.0390996 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,9),(2,11),-0.17609 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,9),(2,12),0.0177542 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,9),(2,14),-0.376072 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,9),(2,15),-0.271955 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,9),(2,16),0.0414136 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,9),(2,17),-0.0302972 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,9),(2,18),-0.120242 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,9),(2,19),0.418306 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,9),(2,21),-0.183525 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,9),(2,22),0.543391 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,9),(2,23),-0.052972 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,10),(2,11),-0.0200324 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,12),-0.0195531 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,14),-0.0203488 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,15),-0.0200324 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,16),-0.00842428 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,18),-0.0205975 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,21),-0.0200324 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,22),-0.0128803 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,23),-0.0303285 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,11),(2,12),-0.0237758 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,11),(2,14),-0.0203337 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,11),(2,15),0.00335548 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,11),(2,16),-0.0177929 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,11),(2,17),-0.0213528 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,11),(2,18),-0.0272415 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,11),(2,19),-0.0213528 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,11),(2,21),0.00335548 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,11),(2,22),0.0668929 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,11),(2,23),-0.0279941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,12),(2,14),-0.0211297 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,12),(2,15),-0.0185571 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,12),(2,16),-0.00875645 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,12),(2,17),-0.0194492 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,12),(2,18),-0.0319061 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,12),(2,19),-0.0194492 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,12),(2,21),-0.0185604 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,12),(2,22),0.00557052 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,12),(2,23),-0.0752347 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,14),(2,15),-0.271955 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,14),(2,16),0.0414136 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,14),(2,17),-0.0302972 # DEPENDENCYPART_GRANDSIBL
