# _root_ `` I think we could very well have { an economic } slowdown , beginning very soon if not already , '' he says .
#goldHeads=24,3,24,5,3,5,6,5,13,13,13,13,8,13,13,18,16,15,18,18,24,24,24,0,24,
#predictedHeads=24,3,24,5,3,5,6,5,13,13,13,13,8,3,3,15,16,16,16,19,24,24,24,0,24,
(6,13),(13,19),0.188704 # DEPENDENCYPART_GRANDPAR
(6,13),(13,20),0.139855 # DEPENDENCYPART_GRANDPAR
(6,13),(13,21),-0.0211835 # DEPENDENCYPART_GRANDPAR
(6,13),(13,22),-0.130874 # DEPENDENCYPART_GRANDPAR
(6,13),(13,25),-0.320378 # DEPENDENCYPART_GRANDPAR
(6,14),(14,15),-0.192126 # DEPENDENCYPART_GRANDPAR
(7,6),(6,4),-0.200016 # DEPENDENCYPART_GRANDPAR
(7,6),(6,7),-1.4387 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,6),(6,8),-0.460611 # DEPENDENCYPART_GRANDPAR
(7,6),(6,11),-0.709192 # DEPENDENCYPART_GRANDPAR
(7,6),(6,13),-0.890968 # DEPENDENCYPART_GRANDPAR
(7,6),(6,14),-0.702468 # DEPENDENCYPART_GRANDPAR
(7,8),(8,1),-0.650698 # DEPENDENCYPART_GRANDPAR
(7,8),(8,2),-0.651064 # DEPENDENCYPART_GRANDPAR
(7,8),(8,3),-0.629574 # DEPENDENCYPART_GRANDPAR
(7,8),(8,4),-0.576594 # DEPENDENCYPART_GRANDPAR
(7,8),(8,5),-0.583561 # DEPENDENCYPART_GRANDPAR
(7,8),(8,6),-0.46635 # DEPENDENCYPART_GRANDPAR
(7,8),(8,7),-1.02791 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,8),(8,9),-0.30362 # DEPENDENCYPART_GRANDPAR
(7,8),(8,10),-0.355068 # DEPENDENCYPART_GRANDPAR
(7,8),(8,11),-0.375054 # DEPENDENCYPART_GRANDPAR
(7,8),(8,12),-0.235242 # DEPENDENCYPART_GRANDPAR
(7,8),(8,13),-0.491925 # DEPENDENCYPART_GRANDPAR
(7,8),(8,14),-0.370186 # DEPENDENCYPART_GRANDPAR
(7,8),(8,15),-0.519796 # DEPENDENCYPART_GRANDPAR
(7,8),(8,16),-0.310651 # DEPENDENCYPART_GRANDPAR
(7,8),(8,17),-0.307712 # DEPENDENCYPART_GRANDPAR
(7,8),(8,18),-0.300979 # DEPENDENCYPART_GRANDPAR
(7,8),(8,19),-0.241466 # DEPENDENCYPART_GRANDPAR
(7,8),(8,20),-0.232192 # DEPENDENCYPART_GRANDPAR
(7,8),(8,21),-0.395482 # DEPENDENCYPART_GRANDPAR
(7,8),(8,22),-0.509432 # DEPENDENCYPART_GRANDPAR
(7,8),(8,24),-0.477167 # DEPENDENCYPART_GRANDPAR
(7,8),(8,25),-0.770301 # DEPENDENCYPART_GRANDPAR
(7,11),(11,6),-0.447294 # DEPENDENCYPART_GRANDPAR
(7,11),(11,7),-1.08733 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,11),(11,10),-0.317586 # DEPENDENCYPART_GRANDPAR
(7,11),(11,12),-0.257155 # DEPENDENCYPART_GRANDPAR
(7,11),(11,13),-0.540456 # DEPENDENCYPART_GRANDPAR
(7,11),(11,14),-0.348915 # DEPENDENCYPART_GRANDPAR
(7,11),(11,15),-0.533828 # DEPENDENCYPART_GRANDPAR
(7,11),(11,16),-0.305095 # DEPENDENCYPART_GRANDPAR
(7,11),(11,18),-0.440629 # DEPENDENCYPART_GRANDPAR
(7,11),(11,22),-0.475334 # DEPENDENCYPART_GRANDPAR
(7,11),(11,24),-0.476612 # DEPENDENCYPART_GRANDPAR
(7,11),(11,25),-0.770394 # DEPENDENCYPART_GRANDPAR
(8,2),(2,3),0.146269 # DEPENDENCYPART_GRANDPAR
(8,2),(2,8),-0.981281 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,3),(3,1),0.112733 # DEPENDENCYPART_GRANDPAR
(8,3),(3,2),0.309885 # DEPENDENCYPART_GRANDPAR
(8,3),(3,4),-0.0461159 # DEPENDENCYPART_GRANDPAR
(8,3),(3,5),0.0173497 # DEPENDENCYPART_GRANDPAR
(8,3),(3,6),0.0741409 # DEPENDENCYPART_GRANDPAR
(8,3),(3,7),0.259256 # DEPENDENCYPART_GRANDPAR
(8,3),(3,8),-1.04465 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,3),(3,11),-0.197114 # DEPENDENCYPART_GRANDPAR
(8,3),(3,12),-0.355029 # DEPENDENCYPART_GRANDPAR
(8,3),(3,13),-0.451554 # DEPENDENCYPART_GRANDPAR
(8,3),(3,14),-0.384357 # DEPENDENCYPART_GRANDPAR
(8,3),(3,15),-0.299318 # DEPENDENCYPART_GRANDPAR
(8,3),(3,16),-0.451488 # DEPENDENCYPART_GRANDPAR
(8,3),(3,18),-0.0628701 # DEPENDENCYPART_GRANDPAR
(8,3),(3,21),-0.603792 # DEPENDENCYPART_GRANDPAR
(8,3),(3,22),-0.36355 # DEPENDENCYPART_GRANDPAR
(8,3),(3,25),-0.882176 # DEPENDENCYPART_GRANDPAR
(8,4),(4,8),-0.981277 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,5),(5,1),0.066565 # DEPENDENCYPART_GRANDPAR
(8,5),(5,2),0.255661 # DEPENDENCYPART_GRANDPAR
(8,5),(5,3),0.294379 # DEPENDENCYPART_GRANDPAR
(8,5),(5,4),0.206593 # DEPENDENCYPART_GRANDPAR
(8,5),(5,6),0.263155 # DEPENDENCYPART_GRANDPAR
(8,5),(5,7),0.446008 # DEPENDENCYPART_GRANDPAR
(8,5),(5,8),-1.06321 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,5),(5,12),-0.398706 # DEPENDENCYPART_GRANDPAR
(8,5),(5,14),-0.403239 # DEPENDENCYPART_GRANDPAR
(8,5),(5,16),-0.485912 # DEPENDENCYPART_GRANDPAR
(8,5),(5,17),-0.37555 # DEPENDENCYPART_GRANDPAR
(8,5),(5,18),-0.0392108 # DEPENDENCYPART_GRANDPAR
(8,5),(5,21),-0.622675 # DEPENDENCYPART_GRANDPAR
(8,5),(5,22),-0.404165 # DEPENDENCYPART_GRANDPAR
(8,5),(5,24),-0.47457 # DEPENDENCYPART_GRANDPAR
(8,5),(5,25),-0.926902 # DEPENDENCYPART_GRANDPAR
(8,6),(6,4),0.205581 # DEPENDENCYPART_GRANDPAR
(8,6),(6,7),0.412292 # DEPENDENCYPART_GRANDPAR
(8,6),(6,8),-1.00752 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,6),(6,11),-0.227162 # DEPENDENCYPART_GRANDPAR
(8,6),(6,13),-0.437171 # DEPENDENCYPART_GRANDPAR
(8,6),(6,14),-0.377146 # DEPENDENCYPART_GRANDPAR
(8,7),(7,6),0.175413 # DEPENDENCYPART_GRANDPAR
(8,7),(7,8),-1.00796 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,7),(7,9),-0.108413 # DEPENDENCYPART_GRANDPAR
(8,7),(7,11),-0.227465 # DEPENDENCYPART_GRANDPAR
(8,7),(7,12),-0.373973 # DEPENDENCYPART_GRANDPAR
(8,10),(10,11),0.16505 # DEPENDENCYPART_GRANDPAR
(8,10),(10,15),0.043846 # DEPENDENCYPART_GRANDPAR
(8,11),(11,6),-0.152761 # DEPENDENCYPART_GRANDPAR
(8,11),(11,7),0.0317237 # DEPENDENCYPART_GRANDPAR
(8,11),(11,10),0.141605 # DEPENDENCYPART_GRANDPAR
(8,11),(11,12),-0.00219861 # DEPENDENCYPART_GRANDPAR
(8,11),(11,13),-0.00387188 # DEPENDENCYPART_GRANDPAR
(8,11),(11,14),0.0568712 # DEPENDENCYPART_GRANDPAR
(8,11),(11,15),0.104272 # DEPENDENCYPART_GRANDPAR
(8,11),(11,16),-0.041351 # DEPENDENCYPART_GRANDPAR
(8,11),(11,18),0.221715 # DEPENDENCYPART_GRANDPAR
(8,11),(11,22),0.11005 # DEPENDENCYPART_GRANDPAR
(8,11),(11,24),-0.0699928 # DEPENDENCYPART_GRANDPAR
(8,11),(11,25),-0.56636 # DEPENDENCYPART_GRANDPAR
(8,13),(13,3),-0.134946 # DEPENDENCYPART_GRANDPAR
(8,13),(13,7),0.0399325 # DEPENDENCYPART_GRANDPAR
(8,13),(13,9),0.253111 # DEPENDENCYPART_GRANDPAR
(8,13),(13,10),0.352557 # DEPENDENCYPART_GRANDPAR
(8,13),(13,11),0.153251 # DEPENDENCYPART_GRANDPAR
(8,13),(13,12),-0.110319 # DEPENDENCYPART_GRANDPAR
(8,13),(13,14),0.0395098 # DEPENDENCYPART_GRANDPAR
(8,13),(13,15),0.0903194 # DEPENDENCYPART_GRANDPAR
(8,13),(13,16),-0.118733 # DEPENDENCYPART_GRANDPAR
(8,13),(13,17),0.0386584 # DEPENDENCYPART_GRANDPAR
(8,13),(13,19),0.16475 # DEPENDENCYPART_GRANDPAR
(8,13),(13,20),-0.0311815 # DEPENDENCYPART_GRANDPAR
(8,13),(13,21),-0.179926 # DEPENDENCYPART_GRANDPAR
(8,13),(13,22),0.121408 # DEPENDENCYPART_GRANDPAR
(8,13),(13,25),-0.511293 # DEPENDENCYPART_GRANDPAR
(8,14),(14,15),0.0440544 # DEPENDENCYPART_GRANDPAR
(8,15),(15,3),-0.209158 # DEPENDENCYPART_GRANDPAR
(8,15),(15,13),-0.165748 # DEPENDENCYPART_GRANDPAR
(8,15),(15,14),-0.0476346 # DEPENDENCYPART_GRANDPAR
(8,15),(15,16),0.0418162 # DEPENDENCYPART_GRANDPAR
(8,15),(15,17),0.206329 # DEPENDENCYPART_GRANDPAR
(8,15),(15,18),0.553046 # DEPENDENCYPART_GRANDPAR
(8,15),(15,19),0.299904 # DEPENDENCYPART_GRANDPAR
(8,15),(15,20),0.176176 # DEPENDENCYPART_GRANDPAR
(8,15),(15,21),0.0953797 # DEPENDENCYPART_GRANDPAR
(8,15),(15,22),0.227892 # DEPENDENCYPART_GRANDPAR
(8,15),(15,24),0.015844 # DEPENDENCYPART_GRANDPAR
(8,15),(15,25),-0.456408 # DEPENDENCYPART_GRANDPAR
(8,16),(16,8),-0.645711 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,16),(16,11),0.11838 # DEPENDENCYPART_GRANDPAR
(8,16),(16,13),-0.0296118 # DEPENDENCYPART_GRANDPAR
(8,16),(16,14),0.076521 # DEPENDENCYPART_GRANDPAR
(8,16),(16,15),0.0768978 # DEPENDENCYPART_GRANDPAR
(8,16),(16,17),0.201322 # DEPENDENCYPART_GRANDPAR
(8,16),(16,18),0.324786 # DEPENDENCYPART_GRANDPAR
(8,16),(16,19),0.300056 # DEPENDENCYPART_GRANDPAR
(8,16),(16,20),0.124556 # DEPENDENCYPART_GRANDPAR
(8,16),(16,21),-0.172844 # DEPENDENCYPART_GRANDPAR
(8,16),(16,24),-0.0415371 # DEPENDENCYPART_GRANDPAR
(8,17),(17,8),-0.650218 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,17),(17,11),0.119303 # DEPENDENCYPART_GRANDPAR
(8,17),(17,13),-0.0355094 # DEPENDENCYPART_GRANDPAR
(8,17),(17,14),0.0725863 # DEPENDENCYPART_GRANDPAR
(8,17),(17,15),0.0723878 # DEPENDENCYPART_GRANDPAR
(8,17),(17,16),-0.0752479 # DEPENDENCYPART_GRANDPAR
(8,17),(17,18),0.290074 # DEPENDENCYPART_GRANDPAR
(8,17),(17,19),0.222589 # DEPENDENCYPART_GRANDPAR
(8,17),(17,20),0.0470137 # DEPENDENCYPART_GRANDPAR
(8,17),(17,24),-0.0855007 # DEPENDENCYPART_GRANDPAR
(8,18),(18,16),-0.068824 # DEPENDENCYPART_GRANDPAR
(8,18),(18,17),0.0270179 # DEPENDENCYPART_GRANDPAR
(8,18),(18,19),0.154672 # DEPENDENCYPART_GRANDPAR
(8,18),(18,20),-0.062455 # DEPENDENCYPART_GRANDPAR
(8,18),(18,21),-0.0929916 # DEPENDENCYPART_GRANDPAR
(8,18),(18,22),0.0879652 # DEPENDENCYPART_GRANDPAR
(8,18),(18,24),-0.148314 # DEPENDENCYPART_GRANDPAR
(8,18),(18,25),-0.590951 # DEPENDENCYPART_GRANDPAR
(8,19),(19,13),0.037282 # DEPENDENCYPART_GRANDPAR
(8,19),(19,17),0.163063 # DEPENDENCYPART_GRANDPAR
(8,19),(19,18),0.384717 # DEPENDENCYPART_GRANDPAR
(8,19),(19,20),-0.0276947 # DEPENDENCYPART_GRANDPAR
(8,19),(19,21),-0.214827 # DEPENDENCYPART_GRANDPAR
(8,19),(19,22),0.0461674 # DEPENDENCYPART_GRANDPAR
(8,19),(19,24),-0.107593 # DEPENDENCYPART_GRANDPAR
(8,20),(20,13),-0.036782 # DEPENDENCYPART_GRANDPAR
(8,20),(20,15),0.0717432 # DEPENDENCYPART_GRANDPAR
(8,20),(20,18),0.334442 # DEPENDENCYPART_GRANDPAR
(8,20),(20,19),0.164194 # DEPENDENCYPART_GRANDPAR
(8,20),(20,21),-0.201956 # DEPENDENCYPART_GRANDPAR
(8,20),(20,22),0.0709573 # DEPENDENCYPART_GRANDPAR
(8,20),(20,24),-0.0651713 # DEPENDENCYPART_GRANDPAR
(8,21),(21,20),0.0154442 # DEPENDENCYPART_GRANDPAR
(8,24),(24,1),-0.44898 # DEPENDENCYPART_GRANDPAR
(8,24),(24,3),-0.219086 # DEPENDENCYPART_GRANDPAR
(8,24),(24,5),-0.266947 # DEPENDENCYPART_GRANDPAR
(8,24),(24,6),-0.2084 # DEPENDENCYPART_GRANDPAR
(8,24),(24,7),-0.024637 # DEPENDENCYPART_GRANDPAR
(8,24),(24,8),-0.730916 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,24),(24,11),-0.0208383 # DEPENDENCYPART_GRANDPAR
(8,24),(24,13),-0.178264 # DEPENDENCYPART_GRANDPAR
(8,24),(24,14),0.0303837 # DEPENDENCYPART_GRANDPAR
(8,24),(24,15),-0.0306677 # DEPENDENCYPART_GRANDPAR
(8,24),(24,16),-0.227859 # DEPENDENCYPART_GRANDPAR
(8,24),(24,17),-0.127826 # DEPENDENCYPART_GRANDPAR
(8,24),(24,18),0.245634 # DEPENDENCYPART_GRANDPAR
(8,24),(24,19),-0.0170362 # DEPENDENCYPART_GRANDPAR
(8,24),(24,20),-0.138998 # DEPENDENCYPART_GRANDPAR
(8,24),(24,21),-0.189052 # DEPENDENCYPART_GRANDPAR
(8,24),(24,22),-0.208336 # DEPENDENCYPART_GRANDPAR
(8,24),(24,23),-0.515789 # DEPENDENCYPART_GRANDPAR
(8,24),(24,25),-0.416725 # DEPENDENCYPART_GRANDPAR
(10,11),(11,6),-0.443984 # DEPENDENCYPART_GRANDPAR
(10,11),(11,7),-0.462231 # DEPENDENCYPART_GRANDPAR
(10,11),(11,10),-0.755661 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,11),(11,12),0.125029 # DEPENDENCYPART_GRANDPAR
(10,11),(11,13),-0.024741 # DEPENDENCYPART_GRANDPAR
(10,11),(11,14),0.0444349 # DEPENDENCYPART_GRANDPAR
(10,11),(11,15),-0.0291689 # DEPENDENCYPART_GRANDPAR
(10,11),(11,16),0.0394443 # DEPENDENCYPART_GRANDPAR
(10,11),(11,18),-0.1289 # DEPENDENCYPART_GRANDPAR
(10,11),(11,22),-0.0572243 # DEPENDENCYPART_GRANDPAR
(10,11),(11,24),-0.0804653 # DEPENDENCYPART_GRANDPAR
(10,11),(11,25),-0.342098 # DEPENDENCYPART_GRANDPAR
(10,15),(15,3),-0.616965 # DEPENDENCYPART_GRANDPAR
(10,15),(15,13),-0.0334942 # DEPENDENCYPART_GRANDPAR
(10,15),(15,14),0.0306953 # DEPENDENCYPART_GRANDPAR
(10,15),(15,16),0.00250265 # DEPENDENCYPART_GRANDPAR
(10,15),(15,17),0.0193226 # DEPENDENCYPART_GRANDPAR
(10,15),(15,18),-0.0359524 # DEPENDENCYPART_GRANDPAR
(10,15),(15,19),-0.0144541 # DEPENDENCYPART_GRANDPAR
(10,15),(15,20),0.00987214 # DEPENDENCYPART_GRANDPAR
(10,15),(15,21),-0.229636 # DEPENDENCYPART_GRANDPAR
(10,15),(15,22),-0.0959832 # DEPENDENCYPART_GRANDPAR
(10,15),(15,24),-0.137219 # DEPENDENCYPART_GRANDPAR
(10,15),(15,25),-0.376825 # DEPENDENCYPART_GRANDPAR
(11,6),(6,4),-0.0283961 # DEPENDENCYPART_GRANDPAR
(11,6),(6,7),0.00202069 # DEPENDENCYPART_GRANDPAR
(11,6),(6,8),-0.254237 # DEPENDENCYPART_GRANDPAR
(11,6),(6,11),-1.2531 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,6),(6,13),-0.218582 # DEPENDENCYPART_GRANDPAR
(11,6),(6,14),-0.150753 # DEPENDENCYPART_GRANDPAR
(11,7),(7,6),0.0132302 # DEPENDENCYPART_GRANDPAR
(11,7),(7,8),-0.252214 # DEPENDENCYPART_GRANDPAR
(11,7),(7,9),-0.0664516 # DEPENDENCYPART_GRANDPAR
(11,7),(7,11),-1.25304 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,7),(7,12),-0.0884016 # DEPENDENCYPART_GRANDPAR
(11,10),(10,11),-1.25133 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,10),(10,15),-0.369435 # DEPENDENCYPART_GRANDPAR
(11,13),(13,3),-0.777342 # DEPENDENCYPART_GRANDPAR
(11,13),(13,7),-0.380442 # DEPENDENCYPART_GRANDPAR
(11,13),(13,9),-0.461069 # DEPENDENCYPART_GRANDPAR
(11,13),(13,10),-0.423598 # DEPENDENCYPART_GRANDPAR
(11,13),(13,11),-0.875438 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,13),(13,12),0.235456 # DEPENDENCYPART_GRANDPAR
(11,13),(13,14),0.211699 # DEPENDENCYPART_GRANDPAR
(11,13),(13,15),-0.0301862 # DEPENDENCYPART_GRANDPAR
(11,13),(13,16),0.0263417 # DEPENDENCYPART_GRANDPAR
(11,13),(13,17),0.0817444 # DEPENDENCYPART_GRANDPAR
(11,13),(13,19),0.0429687 # DEPENDENCYPART_GRANDPAR
(11,13),(13,20),0.0460253 # DEPENDENCYPART_GRANDPAR
(11,13),(13,21),0.0516803 # DEPENDENCYPART_GRANDPAR
(11,13),(13,22),0.0925011 # DEPENDENCYPART_GRANDPAR
(11,13),(13,25),-0.247798 # DEPENDENCYPART_GRANDPAR
(11,14),(14,15),0.00280889 # DEPENDENCYPART_GRANDPAR
(11,15),(15,3),-0.770158 # DEPENDENCYPART_GRANDPAR
(11,15),(15,13),0.167686 # DEPENDENCYPART_GRANDPAR
(11,15),(15,14),0.194805 # DEPENDENCYPART_GRANDPAR
(11,15),(15,16),0.0452718 # DEPENDENCYPART_GRANDPAR
(11,15),(15,17),0.0938436 # DEPENDENCYPART_GRANDPAR
(11,15),(15,18),0.0891767 # DEPENDENCYPART_GRANDPAR
(11,15),(15,19),0.0449239 # DEPENDENCYPART_GRANDPAR
(11,15),(15,20),0.0908132 # DEPENDENCYPART_GRANDPAR
(11,15),(15,21),0.0956689 # DEPENDENCYPART_GRANDPAR
(11,15),(15,22),0.117874 # DEPENDENCYPART_GRANDPAR
(11,15),(15,24),-0.119301 # DEPENDENCYPART_GRANDPAR
(11,15),(15,25),-0.29571 # DEPENDENCYPART_GRANDPAR
(11,16),(16,8),-0.642606 # DEPENDENCYPART_GRANDPAR
(11,16),(16,11),-0.869327 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,16),(16,13),0.224086 # DEPENDENCYPART_GRANDPAR
(11,16),(16,14),0.264432 # DEPENDENCYPART_GRANDPAR
(11,16),(16,15),0.0255614 # DEPENDENCYPART_GRANDPAR
(11,16),(16,17),0.110835 # DEPENDENCYPART_GRANDPAR
(11,16),(16,18),-0.0285832 # DEPENDENCYPART_GRANDPAR
(11,16),(16,19),0.0577757 # DEPENDENCYPART_GRANDPAR
(11,16),(16,20),0.0738133 # DEPENDENCYPART_GRANDPAR
(11,16),(16,21),0.0448651 # DEPENDENCYPART_GRANDPAR
(11,16),(16,24),-0.0979085 # DEPENDENCYPART_GRANDPAR
(11,18),(18,16),-0.0402493 # DEPENDENCYPART_GRANDPAR
(11,18),(18,17),0.021421 # DEPENDENCYPART_GRANDPAR
(11,18),(18,19),0.0602042 # DEPENDENCYPART_GRANDPAR
(11,18),(18,20),0.0557938 # DEPENDENCYPART_GRANDPAR
(11,18),(18,21),0.13155 # DEPENDENCYPART_GRANDPAR
(11,18),(18,22),0.13207 # DEPENDENCYPART_GRANDPAR
(11,18),(18,24),-0.0975905 # DEPENDENCYPART_GRANDPAR
(11,18),(18,25),-0.28014 # DEPENDENCYPART_GRANDPAR
(11,24),(24,1),-0.572221 # DEPENDENCYPART_GRANDPAR
(11,24),(24,3),-0.773101 # DEPENDENCYPART_GRANDPAR
(11,24),(24,5),-0.529736 # DEPENDENCYPART_GRANDPAR
(11,24),(24,6),-0.383818 # DEPENDENCYPART_GRANDPAR
(11,24),(24,7),-0.365425 # DEPENDENCYPART_GRANDPAR
(11,24),(24,8),-0.667592 # DEPENDENCYPART_GRANDPAR
(11,24),(24,11),-0.914962 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,24),(24,13),0.161196 # DEPENDENCYPART_GRANDPAR
(11,24),(24,14),0.255037 # DEPENDENCYPART_GRANDPAR
(11,24),(24,15),0.0137421 # DEPENDENCYPART_GRANDPAR
(11,24),(24,16),-0.0495075 # DEPENDENCYPART_GRANDPAR
(11,24),(24,17),0.0116219 # DEPENDENCYPART_GRANDPAR
(11,24),(24,18),-0.0414484 # DEPENDENCYPART_GRANDPAR
(11,24),(24,19),-0.00689606 # DEPENDENCYPART_GRANDPAR
(11,24),(24,20),-0.00239157 # DEPENDENCYPART_GRANDPAR
(11,24),(24,21),0.0950174 # DEPENDENCYPART_GRANDPAR
(11,24),(24,22),0.0167397 # DEPENDENCYPART_GRANDPAR
(11,24),(24,23),-0.179228 # DEPENDENCYPART_GRANDPAR
(11,24),(24,25),-0.220856 # DEPENDENCYPART_GRANDPAR
(13,3),(3,1),0.0680211 # DEPENDENCYPART_GRANDPAR
(13,3),(3,2),-0.13308 # DEPENDENCYPART_GRANDPAR
(13,3),(3,4),-0.0516609 # DEPENDENCYPART_GRANDPAR
(13,3),(3,5),-0.0662393 # DEPENDENCYPART_GRANDPAR
(13,3),(3,6),0.275916 # DEPENDENCYPART_GRANDPAR
(13,3),(3,7),0.299267 # DEPENDENCYPART_GRANDPAR
(13,3),(3,8),0.132057 # DEPENDENCYPART_GRANDPAR
(13,3),(3,11),0.578491 # DEPENDENCYPART_GRANDPAR
(13,3),(3,12),0.571633 # DEPENDENCYPART_GRANDPAR
(13,3),(3,13),-1.1623 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,3),(3,14),-0.292176 # DEPENDENCYPART_GRANDPAR
(13,3),(3,15),-0.639941 # DEPENDENCYPART_GRANDPAR
(13,3),(3,16),-0.403335 # DEPENDENCYPART_GRANDPAR
(13,3),(3,18),-0.492348 # DEPENDENCYPART_GRANDPAR
(13,3),(3,21),-0.13021 # DEPENDENCYPART_GRANDPAR
(13,3),(3,22),-0.504227 # DEPENDENCYPART_GRANDPAR
(13,3),(3,25),-0.675004 # DEPENDENCYPART_GRANDPAR
(13,7),(7,6),0.286878 # DEPENDENCYPART_GRANDPAR
(13,7),(7,8),0.214383 # DEPENDENCYPART_GRANDPAR
(13,7),(7,9),0.50345 # DEPENDENCYPART_GRANDPAR
(13,7),(7,11),0.764534 # DEPENDENCYPART_GRANDPAR
(13,7),(7,12),0.696979 # DEPENDENCYPART_GRANDPAR
(13,10),(10,11),0.649771 # DEPENDENCYPART_GRANDPAR
(13,10),(10,15),-0.475156 # DEPENDENCYPART_GRANDPAR
(13,11),(11,6),0.396255 # DEPENDENCYPART_GRANDPAR
(13,11),(11,7),0.365628 # DEPENDENCYPART_GRANDPAR
(13,11),(11,10),0.289209 # DEPENDENCYPART_GRANDPAR
(13,11),(11,12),0.645097 # DEPENDENCYPART_GRANDPAR
(13,11),(11,13),-1.02111 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,11),(11,14),-0.179716 # DEPENDENCYPART_GRANDPAR
(13,11),(11,15),-0.485616 # DEPENDENCYPART_GRANDPAR
(13,11),(11,16),-0.296575 # DEPENDENCYPART_GRANDPAR
(13,11),(11,18),-0.304331 # DEPENDENCYPART_GRANDPAR
(13,11),(11,22),-0.408302 # DEPENDENCYPART_GRANDPAR
(13,11),(11,24),-0.715832 # DEPENDENCYPART_GRANDPAR
(13,11),(11,25),-0.580346 # DEPENDENCYPART_GRANDPAR
(13,14),(14,15),-0.104063 # DEPENDENCYPART_GRANDPAR
(13,15),(15,3),-0.712692 # DEPENDENCYPART_GRANDPAR
(13,15),(15,13),-0.614668 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,15),(15,14),0.194081 # DEPENDENCYPART_GRANDPAR
(13,15),(15,16),0.20548 # DEPENDENCYPART_GRANDPAR
(13,15),(15,17),0.112983 # DEPENDENCYPART_GRANDPAR
(13,15),(15,18),0.251679 # DEPENDENCYPART_GRANDPAR
(13,15),(15,19),0.0169778 # DEPENDENCYPART_GRANDPAR
(13,15),(15,20),0.0667944 # DEPENDENCYPART_GRANDPAR
(13,15),(15,21),0.419982 # DEPENDENCYPART_GRANDPAR
(13,15),(15,22),0.0927951 # DEPENDENCYPART_GRANDPAR
(13,15),(15,24),-0.305582 # DEPENDENCYPART_GRANDPAR
(13,15),(15,25),-0.21723 # DEPENDENCYPART_GRANDPAR
(13,16),(16,8),-0.371085 # DEPENDENCYPART_GRANDPAR
(13,16),(16,11),0.221532 # DEPENDENCYPART_GRANDPAR
(13,16),(16,13),-0.487679 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,16),(16,14),0.301213 # DEPENDENCYPART_GRANDPAR
(13,16),(16,15),0.100622 # DEPENDENCYPART_GRANDPAR
(13,16),(16,17),0.0986195 # DEPENDENCYPART_GRANDPAR
(13,16),(16,18),0.157775 # DEPENDENCYPART_GRANDPAR
(13,16),(16,19),-0.00400907 # DEPENDENCYPART_GRANDPAR
(13,16),(16,20),0.012686 # DEPENDENCYPART_GRANDPAR
(13,16),(16,21),0.441586 # DEPENDENCYPART_GRANDPAR
(13,16),(16,24),-0.254577 # DEPENDENCYPART_GRANDPAR
(13,17),(17,8),-0.371082 # DEPENDENCYPART_GRANDPAR
(13,17),(17,11),0.221534 # DEPENDENCYPART_GRANDPAR
(13,17),(17,13),-0.490433 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,17),(17,14),0.299962 # DEPENDENCYPART_GRANDPAR
(13,17),(17,15),0.0987992 # DEPENDENCYPART_GRANDPAR
(13,17),(17,16),0.149427 # DEPENDENCYPART_GRANDPAR
(13,17),(17,18),0.159187 # DEPENDENCYPART_GRANDPAR
(13,17),(17,19),-0.0275379 # DEPENDENCYPART_GRANDPAR
(13,17),(17,20),-0.010917 # DEPENDENCYPART_GRANDPAR
(13,17),(17,24),-0.258918 # DEPENDENCYPART_GRANDPAR
(13,19),(19,13),-0.481295 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,19),(19,17),0.097412 # DEPENDENCYPART_GRANDPAR
(13,19),(19,18),0.132922 # DEPENDENCYPART_GRANDPAR
(13,19),(19,20),-0.0419764 # DEPENDENCYPART_GRANDPAR
(13,19),(19,21),0.44826 # DEPENDENCYPART_GRANDPAR
