# _root_ In 1987 , it sold a 2.5 % stake in the Veslefrikk field to the Swedish national oil company , resulting in a $ 7 million after-tax gain .
#goldHeads=5,1,5,5,0,9,8,9,5,9,13,13,10,5,19,19,19,19,14,5,5,21,28,28,24,24,28,22,5,
#predictedHeads=5,1,5,5,0,9,8,9,5,9,13,13,10,5,19,19,19,19,14,19,19,21,28,28,24,24,28,22,5,
(5,13),(13,15),(13,17),-0.0716384 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,15),(13,18),-0.063971 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,15),(13,19),-0.0639825 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,15),(13,20),-0.0183305 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,15),(13,21),-0.0474462 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,15),(13,22),-0.0326728 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,15),(13,28),-0.063971 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,15),(13,29),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,15),(13,30),0.0583675 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,16),(13,17),-0.0271548 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,16),(13,18),-0.0241519 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,16),(13,19),-0.0251307 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,16),(13,20),-0.0575032 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,16),(13,21),-0.0463524 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,16),(13,22),-0.046206 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,16),(13,28),-0.0241517 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,16),(13,29),-0.0420081 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,16),(13,30),-0.0471441 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,17),(13,18),-0.0261428 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,17),(13,19),-0.0271216 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,17),(13,20),-0.0575032 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,17),(13,21),-0.0463524 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,17),(13,22),-0.046206 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,17),(13,28),-0.0261426 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,17),(13,29),-0.0420081 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,17),(13,30),-0.0569121 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,18),(13,19),-0.0378049 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,18),(13,20),-0.0582346 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,18),(13,21),-0.0128741 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,18),(13,22),-0.0531213 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,18),(13,28),-0.0428925 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,18),(13,29),-0.0396058 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,18),(13,30),-0.0267861 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,19),(13,20),-0.0547896 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,19),(13,21),-0.013044 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,19),(13,22),-0.0545077 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,19),(13,28),-0.0439669 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,19),(13,29),-0.0396058 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,19),(13,30),-0.0329454 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,20),(13,21),-0.0222239 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,20),(13,22),0.00132015 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,20),(13,28),-0.0901221 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,20),(13,29),-0.042224 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,20),(13,30),-0.0295139 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,21),(13,22),0.000908361 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,21),(13,28),-0.0597627 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,21),(13,29),-0.0434198 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,21),(13,30),-0.0693742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,22),(13,28),-0.084497 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,22),(13,29),-0.0441029 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,22),(13,30),-0.0573145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,28),(13,29),-0.0396058 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,28),(13,30),-0.0218172 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,29),(13,30),-0.0468059 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,13),(13,12),0.0387339 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,11),0.102662 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,10),0.178883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,9),0.0373371 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,8),0.0506136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,7),0.154245 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,6),0.0866537 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,3),-0.127499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,13),(13,13),(13,-1),-0.172535 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,13),(13,12),(13,11),0.0381927 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,12),(13,10),0.122224 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,12),(13,9),0.11937 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,12),(13,8),0.121863 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,12),(13,7),0.114479 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,12),(13,6),0.0602754 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,12),(13,3),-0.140291 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,12),(13,-1),-0.108093 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,11),(13,10),0.150567 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,11),(13,9),0.144754 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,11),(13,8),0.143928 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,11),(13,7),0.116883 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,11),(13,6),0.114305 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,11),(13,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,11),(13,-1),-0.218779 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,10),(13,9),0.132512 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,10),(13,8),0.131446 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,10),(13,7),0.115706 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,10),(13,6),0.111047 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,10),(13,3),-0.127055 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,10),(13,-1),-0.0166651 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,9),(13,8),0.119274 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,9),(13,7),0.114474 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,9),(13,6),0.0602754 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,9),(13,3),-0.140291 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,9),(13,-1),-0.108354 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,8),(13,7),0.0964117 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,8),(13,6),0.0670631 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,8),(13,3),-0.140297 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,8),(13,-1),-0.0839214 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,7),(13,6),0.13053 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,7),(13,3),-0.124926 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,7),(13,-1),-0.0615297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,6),(13,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,13),(13,6),(13,-1),-0.165182 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,13),(13,3),(13,-1),-0.124751 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,14),(14,14),(14,15),-0.0384767 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,14),(14,14),(14,16),-0.0241308 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,14),(14,14),(14,18),0.0686353 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,14),(14,14),(14,19),0.0724481 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,14),(14,14),(14,20),-0.0493885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,14),(14,14),(14,22),-0.064415 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,14),(14,14),(14,30),-0.145388 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,14),(14,15),(14,16),-0.0442099 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,15),(14,18),-0.042406 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,15),(14,19),-0.042406 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,15),(14,20),-0.0421025 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,15),(14,22),-0.0420452 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,15),(14,30),-0.031833 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,14),(14,16),(14,18),-0.0430883 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,16),(14,19),-0.0430883 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,16),(14,20),-0.0423185 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,16),(14,22),-0.0359038 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,16),(14,30),-0.0334685 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,14),(14,18),(14,19),-0.0679694 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,18),(14,20),-0.0387283 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,18),(14,22),-0.0031962 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,18),(14,30),0.0247808 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,14),(14,19),(14,20),-0.0387283 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,19),(14,22),-0.0031962 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,19),(14,30),0.0284768 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,14),(14,20),(14,22),-0.0584353 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,20),(14,30),-0.0365358 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,14),(14,22),(14,30),-0.0540943 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,14),(14,14),(14,13),0.135423 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,14),(14,14),(14,10),0.105393 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,14),(14,14),(14,-1),0.158536 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,14),(14,13),(14,10),0.116877 # DEPENDENCYPART_GRANDSIBL
(5,14),(14,13),(14,-1),-0.204478 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,14),(14,10),(14,-1),-0.143215 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,16),(16,16),(16,17),-0.00799566 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,18),-0.0269714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,20),-0.0657537 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,21),-0.0353188 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,30),-0.0742398 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,16),(16,17),(16,18),-0.0436624 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,17),(16,20),-0.0482316 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,17),(16,21),-0.0350598 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,17),(16,30),-0.029722 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,16),(16,18),(16,20),-0.0552217 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,18),(16,21),-0.0406014 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,18),(16,30),-0.0725754 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,16),(16,20),(16,21),-0.0480117 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,20),(16,30),-0.0653346 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,16),(16,21),(16,30),-0.0342118 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,16),(16,16),(16,15),0.113335 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,14),0.0974912 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,13),0.150369 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,12),0.15037 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,9),0.150365 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,16),(16,16),(16,-1),-0.211003 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,16),(16,15),(16,14),0.11915 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,15),(16,13),0.113018 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,15),(16,12),0.113018 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,15),(16,9),0.113018 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,15),(16,-1),-0.152787 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,16),(16,14),(16,13),0.118728 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,14),(16,12),0.118728 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,14),(16,9),0.118728 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,14),(16,-1),-0.105898 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,16),(16,13),(16,12),0.111956 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,13),(16,9),0.111956 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,13),(16,-1),-0.0141957 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,16),(16,12),(16,9),0.111956 # DEPENDENCYPART_GRANDSIBL
(5,16),(16,12),(16,-1),-0.0141951 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,16),(16,9),(16,-1),-0.0142003 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,17),(17,17),(17,18),-0.0286489 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,17),(17,17),(17,30),-0.0744616 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,17),(17,18),(17,30),-0.0743691 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,17),(17,17),(17,16),0.116909 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,17),(17,17),(17,15),0.112619 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,17),(17,17),(17,14),0.0974912 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,17),(17,17),(17,13),0.152612 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,17),(17,17),(17,10),0.11044 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,17),(17,17),(17,9),0.152607 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,17),(17,17),(17,-1),-0.216167 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,17),(17,16),(17,15),0.125215 # DEPENDENCYPART_GRANDSIBL
(5,17),(17,16),(17,14),0.119152 # DEPENDENCYPART_GRANDSIBL
(5,17),(17,16),(17,13),0.117892 # DEPENDENCYPART_GRANDSIBL
(5,17),(17,16),(17,10),0.117169 # DEPENDENCYPART_GRANDSIBL
(5,17),(17,16),(17,9),0.117892 # DEPENDENCYPART_GRANDSIBL
(5,17),(17,16),(17,-1),-0.111118 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,17),(17,15),(17,14),0.11915 # DEPENDENCYPART_GRANDSIBL
(5,17),(17,15),(17,13),0.11288 # DEPENDENCYPART_GRANDSIBL
(5,17),(17,15),(17,10),0.115439 # DEPENDENCYPART_GRANDSIBL
(5,17),(17,15),(17,9),0.11288 # DEPENDENCYPART_GRANDSIBL
(5,17),(17,15),(17,-1),-0.153503 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,17),(17,14),(17,13),0.118728 # DEPENDENCYPART_GRANDSIBL
(5,17),(17,14),(17,10),0.118983 # DEPENDENCYPART_GRANDSIBL
(5,17),(17,14),(17,9),0.118728 # DEPENDENCYPART_GRANDSIBL
(5,17),(17,14),(17,-1),-0.105898 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,17),(17,13),(17,10),0.109855 # DEPENDENCYPART_GRANDSIBL
(5,17),(17,13),(17,9),0.111956 # DEPENDENCYPART_GRANDSIBL
(5,17),(17,13),(17,-1),-0.0127457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,17),(17,10),(17,9),0.115344 # DEPENDENCYPART_GRANDSIBL
(5,17),(17,10),(17,-1),-0.121596 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,17),(17,9),(17,-1),-0.0127504 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,18),(18,18),(18,19),0.00447674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,18),(18,18),(18,21),-0.021692 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,18),(18,18),(18,30),0.0419614 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,18),(18,19),(18,21),-0.0130653 # DEPENDENCYPART_GRANDSIBL
(5,18),(18,19),(18,30),-0.0299038 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,18),(18,21),(18,30),-0.0654467 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,18),(18,18),(18,17),0.127088 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,18),(18,18),(18,16),0.135173 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,18),(18,18),(18,15),0.103823 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,18),(18,18),(18,11),0.103823 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,18),(18,18),(18,-1),-0.187733 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,18),(18,17),(18,16),0.116514 # DEPENDENCYPART_GRANDSIBL
(5,18),(18,17),(18,15),0.16211 # DEPENDENCYPART_GRANDSIBL
(5,18),(18,17),(18,11),0.16211 # DEPENDENCYPART_GRANDSIBL
(5,18),(18,17),(18,-1),-0.0674501 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,18),(18,16),(18,15),0.158178 # DEPENDENCYPART_GRANDSIBL
(5,18),(18,16),(18,11),0.158178 # DEPENDENCYPART_GRANDSIBL
(5,18),(18,16),(18,-1),-0.0579999 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,18),(18,15),(18,11),0.114528 # DEPENDENCYPART_GRANDSIBL
(5,18),(18,15),(18,-1),-0.21886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,18),(18,11),(18,-1),-0.21886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,19),(19,20),0.0446942 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,21),-0.0285391 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,22),-0.123305 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,24),-0.0643199 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,28),0.0117716 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,29),-0.0190753 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,30),0.0400757 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,19),(19,20),(19,21),-0.0258352 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,20),(19,22),0.00507191 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,20),(19,24),-0.0387398 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,20),(19,28),-0.0916458 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,20),(19,29),-0.042224 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,20),(19,30),-0.0299032 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,21),(19,22),0.000406212 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,21),(19,24),-0.0439738 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,21),(19,28),-0.0508911 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,21),(19,29),-0.0434198 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,21),(19,30),-0.0829918 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,22),(19,24),-0.0478363 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,22),(19,28),-0.0858393 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,22),(19,29),-0.0441029 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,22),(19,30),-0.0578086 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,24),(19,28),-0.0381732 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,24),(19,29),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,24),(19,30),-0.0725415 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,28),(19,29),-0.0396058 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,28),(19,30),-0.0247856 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,29),(19,30),-0.0468059 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,19),(19,18),0.0490196 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,17),0.137419 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,16),0.145504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,15),0.105866 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,13),0.03407 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,12),0.036928 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,11),0.105866 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,10),0.18072 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,9),0.0355312 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,8),0.0488076 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,6),0.0898583 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,19),(19,19),(19,-1),-0.163347 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,19),(19,18),(19,17),0.12489 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,18),(19,16),0.127238 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,18),(19,15),0.0369637 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,18),(19,13),0.11706 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,18),(19,12),0.11706 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,18),(19,11),0.0369637 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,18),(19,10),0.122212 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,18),(19,9),0.117059 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,18),(19,8),0.119553 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,18),(19,6),0.0590465 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,18),(19,-1),-0.0956602 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,17),(19,16),0.111894 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,17),(19,15),0.175315 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,17),(19,13),0.0614503 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,17),(19,12),0.0614503 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,17),(19,11),0.175315 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,17),(19,10),0.134105 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,17),(19,9),0.0590516 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,17),(19,8),0.05949 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,17),(19,6),0.173666 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,17),(19,-1),-0.0689319 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,16),(19,15),0.171382 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,16),(19,13),0.0609488 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,16),(19,12),0.0609488 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,16),(19,11),0.171382 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,16),(19,10),0.134148 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,16),(19,9),0.0585502 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,16),(19,8),0.0589886 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,16),(19,6),0.169733 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,16),(19,-1),-0.0594817 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,15),(19,13),0.14474 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,15),(19,12),0.14474 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,15),(19,11),0.116504 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,15),(19,10),0.150476 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,15),(19,9),0.14474 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,15),(19,8),0.143914 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,15),(19,6),0.116282 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,15),(19,-1),-0.224565 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,19),(19,13),(19,12),0.117894 # DEPENDENCYPART_GRANDSIBL
(5,19),(19,13),(19,11),0.0358804 # DEPENDENCYPART_GRANDSIBL
