# _root_ The sky filled with 12.8-pound shells , several of which fell back to Earth , destroying homes and buildings .
#goldHeads=2,3,0,3,6,4,6,9,11,9,6,11,11,13,11,11,18,16,18,3,
#predictedHeads=2,3,0,3,6,4,6,6,8,9,10,11,11,13,11,11,18,16,18,3,
(0,18),(18,2),0.288722 # DEPENDENCYPART_GRANDPAR
(0,18),(18,3),0.665191 # DEPENDENCYPART_GRANDPAR
(0,18),(18,4),-0.365134 # DEPENDENCYPART_GRANDPAR
(0,18),(18,5),-0.393118 # DEPENDENCYPART_GRANDPAR
(0,18),(18,6),-0.342586 # DEPENDENCYPART_GRANDPAR
(0,18),(18,7),0.399214 # DEPENDENCYPART_GRANDPAR
(0,18),(18,8),-0.495521 # DEPENDENCYPART_GRANDPAR
(0,18),(18,9),-0.609454 # DEPENDENCYPART_GRANDPAR
(0,18),(18,10),-0.972144 # DEPENDENCYPART_GRANDPAR
(0,18),(18,11),-0.0632325 # DEPENDENCYPART_GRANDPAR
(0,18),(18,12),-0.643086 # DEPENDENCYPART_GRANDPAR
(0,18),(18,13),-0.536765 # DEPENDENCYPART_GRANDPAR
(0,18),(18,14),-0.541974 # DEPENDENCYPART_GRANDPAR
(0,18),(18,15),0.296078 # DEPENDENCYPART_GRANDPAR
(0,18),(18,16),-0.20423 # DEPENDENCYPART_GRANDPAR
(0,18),(18,17),-0.766495 # DEPENDENCYPART_GRANDPAR
(0,18),(18,19),-0.419261 # DEPENDENCYPART_GRANDPAR
(0,18),(18,20),1.95686 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-0.951589 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),0.120069 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),-0.0540538 # DEPENDENCYPART_GRANDPAR
(1,3),(3,5),-0.288032 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),-0.326843 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),-0.318847 # DEPENDENCYPART_GRANDPAR
(1,3),(3,8),-0.380616 # DEPENDENCYPART_GRANDPAR
(1,3),(3,9),-0.343404 # DEPENDENCYPART_GRANDPAR
(1,3),(3,11),-0.388516 # DEPENDENCYPART_GRANDPAR
(1,3),(3,12),-0.176711 # DEPENDENCYPART_GRANDPAR
(1,3),(3,13),-0.614212 # DEPENDENCYPART_GRANDPAR
(1,3),(3,15),-0.515488 # DEPENDENCYPART_GRANDPAR
(1,3),(3,16),-0.405724 # DEPENDENCYPART_GRANDPAR
(1,3),(3,18),-0.367815 # DEPENDENCYPART_GRANDPAR
(1,3),(3,20),-0.622884 # DEPENDENCYPART_GRANDPAR
(1,4),(4,2),0.0133357 # DEPENDENCYPART_GRANDPAR
(1,4),(4,5),-0.220916 # DEPENDENCYPART_GRANDPAR
(1,4),(4,6),-0.179314 # DEPENDENCYPART_GRANDPAR
(1,4),(4,7),-0.247045 # DEPENDENCYPART_GRANDPAR
(1,4),(4,8),-0.315113 # DEPENDENCYPART_GRANDPAR
(1,4),(4,9),-0.271489 # DEPENDENCYPART_GRANDPAR
(1,4),(4,11),-0.374823 # DEPENDENCYPART_GRANDPAR
(1,4),(4,12),-0.178011 # DEPENDENCYPART_GRANDPAR
(1,4),(4,13),-0.588415 # DEPENDENCYPART_GRANDPAR
(1,4),(4,18),-0.310321 # DEPENDENCYPART_GRANDPAR
(2,1),(1,3),-0.401172 # DEPENDENCYPART_GRANDPAR
(2,1),(1,4),-0.401073 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-0.332229 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-0.730501 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),0.193594 # DEPENDENCYPART_GRANDPAR
(2,3),(3,5),-0.169703 # DEPENDENCYPART_GRANDPAR
(2,3),(3,6),0.00516622 # DEPENDENCYPART_GRANDPAR
(2,3),(3,7),-0.049817 # DEPENDENCYPART_GRANDPAR
(2,3),(3,8),-0.225197 # DEPENDENCYPART_GRANDPAR
(2,3),(3,9),0.0344718 # DEPENDENCYPART_GRANDPAR
(2,3),(3,11),0.143344 # DEPENDENCYPART_GRANDPAR
(2,3),(3,12),-0.19202 # DEPENDENCYPART_GRANDPAR
(2,3),(3,13),-0.279191 # DEPENDENCYPART_GRANDPAR
(2,3),(3,15),0.0109907 # DEPENDENCYPART_GRANDPAR
(2,3),(3,16),-0.125257 # DEPENDENCYPART_GRANDPAR
(2,3),(3,18),-0.162433 # DEPENDENCYPART_GRANDPAR
(2,3),(3,20),-0.851368 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-0.762528 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,5),-0.131069 # DEPENDENCYPART_GRANDPAR
(2,4),(4,6),0.0884615 # DEPENDENCYPART_GRANDPAR
(2,4),(4,7),-0.00564346 # DEPENDENCYPART_GRANDPAR
(2,4),(4,8),-0.188242 # DEPENDENCYPART_GRANDPAR
(2,4),(4,9),0.0401915 # DEPENDENCYPART_GRANDPAR
(2,4),(4,11),0.137219 # DEPENDENCYPART_GRANDPAR
(2,4),(4,12),-0.245993 # DEPENDENCYPART_GRANDPAR
(2,4),(4,13),-0.278527 # DEPENDENCYPART_GRANDPAR
(2,4),(4,18),-0.193196 # DEPENDENCYPART_GRANDPAR
(2,5),(5,2),-0.677051 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,5),(5,4),-0.00858325 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),0.0628423 # DEPENDENCYPART_GRANDPAR
(2,5),(5,7),0.0878765 # DEPENDENCYPART_GRANDPAR
(2,5),(5,8),-0.155804 # DEPENDENCYPART_GRANDPAR
(2,5),(5,9),0.0886412 # DEPENDENCYPART_GRANDPAR
(2,6),(6,1),-0.322727 # DEPENDENCYPART_GRANDPAR
(2,6),(6,2),-0.618428 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,6),(6,3),0.182129 # DEPENDENCYPART_GRANDPAR
(2,6),(6,4),0.0455063 # DEPENDENCYPART_GRANDPAR
(2,6),(6,5),-0.0501089 # DEPENDENCYPART_GRANDPAR
(2,6),(6,7),0.0678021 # DEPENDENCYPART_GRANDPAR
(2,6),(6,8),-0.282867 # DEPENDENCYPART_GRANDPAR
(2,6),(6,9),-0.0423409 # DEPENDENCYPART_GRANDPAR
(2,6),(6,11),0.151539 # DEPENDENCYPART_GRANDPAR
(2,6),(6,12),-0.266265 # DEPENDENCYPART_GRANDPAR
(2,6),(6,13),-0.237556 # DEPENDENCYPART_GRANDPAR
(2,6),(6,14),-0.325293 # DEPENDENCYPART_GRANDPAR
(2,6),(6,15),0.12861 # DEPENDENCYPART_GRANDPAR
(2,6),(6,16),-0.124207 # DEPENDENCYPART_GRANDPAR
(2,6),(6,18),-0.331902 # DEPENDENCYPART_GRANDPAR
(2,6),(6,20),-0.704979 # DEPENDENCYPART_GRANDPAR
(2,8),(8,2),-0.669661 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,8),(8,4),-0.00118744 # DEPENDENCYPART_GRANDPAR
(2,8),(8,5),-0.107821 # DEPENDENCYPART_GRANDPAR
(2,8),(8,6),-0.1143 # DEPENDENCYPART_GRANDPAR
(2,8),(8,7),-0.08595 # DEPENDENCYPART_GRANDPAR
(2,8),(8,9),0.0906255 # DEPENDENCYPART_GRANDPAR
(2,8),(8,11),0.237313 # DEPENDENCYPART_GRANDPAR
(2,8),(8,12),-0.178607 # DEPENDENCYPART_GRANDPAR
(2,8),(8,14),-0.245853 # DEPENDENCYPART_GRANDPAR
(2,8),(8,15),0.145458 # DEPENDENCYPART_GRANDPAR
(2,8),(8,18),-0.21051 # DEPENDENCYPART_GRANDPAR
(2,8),(8,20),-0.758729 # DEPENDENCYPART_GRANDPAR
(2,9),(9,4),-0.00950287 # DEPENDENCYPART_GRANDPAR
(2,9),(9,6),-0.190595 # DEPENDENCYPART_GRANDPAR
(2,9),(9,7),-0.0796735 # DEPENDENCYPART_GRANDPAR
(2,9),(9,8),-0.237612 # DEPENDENCYPART_GRANDPAR
(2,9),(9,10),-0.554297 # DEPENDENCYPART_GRANDPAR
(2,9),(9,11),0.245205 # DEPENDENCYPART_GRANDPAR
(2,9),(9,12),-0.151604 # DEPENDENCYPART_GRANDPAR
(2,9),(9,13),-0.248586 # DEPENDENCYPART_GRANDPAR
(2,9),(9,14),-0.175563 # DEPENDENCYPART_GRANDPAR
(2,9),(9,18),-0.183875 # DEPENDENCYPART_GRANDPAR
(2,9),(9,20),-0.741159 # DEPENDENCYPART_GRANDPAR
(2,11),(11,2),-0.724648 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,11),(11,3),0.10544 # DEPENDENCYPART_GRANDPAR
(2,11),(11,4),-0.00235379 # DEPENDENCYPART_GRANDPAR
(2,11),(11,5),-0.219681 # DEPENDENCYPART_GRANDPAR
(2,11),(11,6),-0.172835 # DEPENDENCYPART_GRANDPAR
(2,11),(11,7),-0.0998576 # DEPENDENCYPART_GRANDPAR
(2,11),(11,8),-0.28653 # DEPENDENCYPART_GRANDPAR
(2,11),(11,9),-0.045532 # DEPENDENCYPART_GRANDPAR
(2,11),(11,10),-0.0579999 # DEPENDENCYPART_GRANDPAR
(2,11),(11,12),-0.206125 # DEPENDENCYPART_GRANDPAR
(2,11),(11,13),-0.269152 # DEPENDENCYPART_GRANDPAR
(2,11),(11,14),-0.299262 # DEPENDENCYPART_GRANDPAR
(2,11),(11,15),0.0116392 # DEPENDENCYPART_GRANDPAR
(2,11),(11,16),-0.131091 # DEPENDENCYPART_GRANDPAR
(2,11),(11,17),-0.182077 # DEPENDENCYPART_GRANDPAR
(2,11),(11,18),-0.168856 # DEPENDENCYPART_GRANDPAR
(2,11),(11,19),-0.43971 # DEPENDENCYPART_GRANDPAR
(2,11),(11,20),-0.847671 # DEPENDENCYPART_GRANDPAR
(2,13),(13,12),-0.3867 # DEPENDENCYPART_GRANDPAR
(2,13),(13,14),-0.285738 # DEPENDENCYPART_GRANDPAR
(2,13),(13,15),0.0406791 # DEPENDENCYPART_GRANDPAR
(2,13),(13,16),-0.0849657 # DEPENDENCYPART_GRANDPAR
(2,13),(13,17),-0.168289 # DEPENDENCYPART_GRANDPAR
(2,13),(13,18),-0.177788 # DEPENDENCYPART_GRANDPAR
(2,13),(13,19),-0.431983 # DEPENDENCYPART_GRANDPAR
(2,15),(15,16),-0.161046 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-0.9749 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,4),0.054559 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),0.711211 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-0.945519 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,4),0.174608 # DEPENDENCYPART_GRANDPAR
(3,2),(2,5),-0.475804 # DEPENDENCYPART_GRANDPAR
(3,2),(2,6),-0.148578 # DEPENDENCYPART_GRANDPAR
(3,2),(2,7),-0.196827 # DEPENDENCYPART_GRANDPAR
(3,2),(2,8),-0.425911 # DEPENDENCYPART_GRANDPAR
(3,2),(2,9),-0.217846 # DEPENDENCYPART_GRANDPAR
(3,2),(2,11),-0.274833 # DEPENDENCYPART_GRANDPAR
(3,2),(2,13),-0.425934 # DEPENDENCYPART_GRANDPAR
(3,2),(2,15),-0.45927 # DEPENDENCYPART_GRANDPAR
(3,2),(2,20),-0.73317 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),-0.349022 # DEPENDENCYPART_GRANDPAR
(3,4),(4,5),0.00578411 # DEPENDENCYPART_GRANDPAR
(3,4),(4,6),0.371955 # DEPENDENCYPART_GRANDPAR
(3,4),(4,7),0.406383 # DEPENDENCYPART_GRANDPAR
(3,4),(4,8),0.0540522 # DEPENDENCYPART_GRANDPAR
(3,4),(4,9),0.048827 # DEPENDENCYPART_GRANDPAR
(3,4),(4,11),0.0345776 # DEPENDENCYPART_GRANDPAR
(3,4),(4,12),-0.0580723 # DEPENDENCYPART_GRANDPAR
(3,4),(4,13),-0.0487758 # DEPENDENCYPART_GRANDPAR
(3,4),(4,18),0.0440938 # DEPENDENCYPART_GRANDPAR
(3,5),(5,2),-0.269132 # DEPENDENCYPART_GRANDPAR
(3,5),(5,4),0.262823 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),0.155844 # DEPENDENCYPART_GRANDPAR
(3,5),(5,7),0.286267 # DEPENDENCYPART_GRANDPAR
(3,5),(5,8),-0.0179896 # DEPENDENCYPART_GRANDPAR
(3,5),(5,9),-0.143595 # DEPENDENCYPART_GRANDPAR
(3,6),(6,1),0.182869 # DEPENDENCYPART_GRANDPAR
(3,6),(6,2),-0.181694 # DEPENDENCYPART_GRANDPAR
(3,6),(6,3),-0.465453 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,6),(6,4),0.222131 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),-0.0938408 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),0.332007 # DEPENDENCYPART_GRANDPAR
(3,6),(6,8),0.0250016 # DEPENDENCYPART_GRANDPAR
(3,6),(6,9),-0.116637 # DEPENDENCYPART_GRANDPAR
(3,6),(6,11),0.0402237 # DEPENDENCYPART_GRANDPAR
(3,6),(6,12),-0.0552581 # DEPENDENCYPART_GRANDPAR
(3,6),(6,13),-0.112643 # DEPENDENCYPART_GRANDPAR
(3,6),(6,14),-0.546019 # DEPENDENCYPART_GRANDPAR
(3,6),(6,15),0.0695647 # DEPENDENCYPART_GRANDPAR
(3,6),(6,16),0.204016 # DEPENDENCYPART_GRANDPAR
(3,6),(6,18),-0.128714 # DEPENDENCYPART_GRANDPAR
(3,6),(6,20),-0.363646 # DEPENDENCYPART_GRANDPAR
(3,8),(8,2),-0.262989 # DEPENDENCYPART_GRANDPAR
(3,8),(8,4),0.26279 # DEPENDENCYPART_GRANDPAR
(3,8),(8,5),-0.128381 # DEPENDENCYPART_GRANDPAR
(3,8),(8,6),0.173828 # DEPENDENCYPART_GRANDPAR
(3,8),(8,7),0.2888 # DEPENDENCYPART_GRANDPAR
(3,8),(8,9),-0.144601 # DEPENDENCYPART_GRANDPAR
(3,8),(8,11),0.0286727 # DEPENDENCYPART_GRANDPAR
(3,8),(8,12),-0.041498 # DEPENDENCYPART_GRANDPAR
(3,8),(8,14),-0.593743 # DEPENDENCYPART_GRANDPAR
(3,8),(8,15),0.0208934 # DEPENDENCYPART_GRANDPAR
(3,8),(8,18),-0.11244 # DEPENDENCYPART_GRANDPAR
(3,8),(8,20),-0.448256 # DEPENDENCYPART_GRANDPAR
(3,9),(9,4),0.195404 # DEPENDENCYPART_GRANDPAR
(3,9),(9,6),0.0545427 # DEPENDENCYPART_GRANDPAR
(3,9),(9,7),0.242918 # DEPENDENCYPART_GRANDPAR
(3,9),(9,8),-0.225911 # DEPENDENCYPART_GRANDPAR
(3,9),(9,10),-0.696544 # DEPENDENCYPART_GRANDPAR
(3,9),(9,11),-0.0373538 # DEPENDENCYPART_GRANDPAR
(3,9),(9,12),-0.12918 # DEPENDENCYPART_GRANDPAR
(3,9),(9,13),-0.165189 # DEPENDENCYPART_GRANDPAR
(3,9),(9,14),-0.534614 # DEPENDENCYPART_GRANDPAR
(3,9),(9,18),-0.078243 # DEPENDENCYPART_GRANDPAR
(3,9),(9,20),-0.485864 # DEPENDENCYPART_GRANDPAR
(3,11),(11,2),-0.357259 # DEPENDENCYPART_GRANDPAR
(3,11),(11,3),-0.627881 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,11),(11,4),0.256442 # DEPENDENCYPART_GRANDPAR
(3,11),(11,5),-0.216705 # DEPENDENCYPART_GRANDPAR
(3,11),(11,6),0.0887868 # DEPENDENCYPART_GRANDPAR
(3,11),(11,7),0.248795 # DEPENDENCYPART_GRANDPAR
(3,11),(11,8),-0.180302 # DEPENDENCYPART_GRANDPAR
(3,11),(11,9),-0.176891 # DEPENDENCYPART_GRANDPAR
(3,11),(11,10),-0.418557 # DEPENDENCYPART_GRANDPAR
(3,11),(11,12),-0.0237027 # DEPENDENCYPART_GRANDPAR
(3,11),(11,13),0.0122339 # DEPENDENCYPART_GRANDPAR
(3,11),(11,14),-0.459691 # DEPENDENCYPART_GRANDPAR
(3,11),(11,15),0.190693 # DEPENDENCYPART_GRANDPAR
(3,11),(11,16),0.177082 # DEPENDENCYPART_GRANDPAR
(3,11),(11,17),-0.170631 # DEPENDENCYPART_GRANDPAR
(3,11),(11,18),0.0549928 # DEPENDENCYPART_GRANDPAR
(3,11),(11,19),-0.531199 # DEPENDENCYPART_GRANDPAR
(3,11),(11,20),-0.403196 # DEPENDENCYPART_GRANDPAR
(3,12),(12,2),-0.322081 # DEPENDENCYPART_GRANDPAR
(3,12),(12,4),0.264697 # DEPENDENCYPART_GRANDPAR
(3,12),(12,6),0.151933 # DEPENDENCYPART_GRANDPAR
(3,12),(12,7),0.327794 # DEPENDENCYPART_GRANDPAR
(3,12),(12,8),-0.11756 # DEPENDENCYPART_GRANDPAR
(3,12),(12,9),-0.0931487 # DEPENDENCYPART_GRANDPAR
(3,12),(12,13),0.0328753 # DEPENDENCYPART_GRANDPAR
(3,12),(12,14),-0.561348 # DEPENDENCYPART_GRANDPAR
(3,12),(12,15),0.0146415 # DEPENDENCYPART_GRANDPAR
(3,12),(12,17),-0.28194 # DEPENDENCYPART_GRANDPAR
(3,12),(12,19),-0.641435 # DEPENDENCYPART_GRANDPAR
(3,13),(13,12),-0.0510522 # DEPENDENCYPART_GRANDPAR
(3,13),(13,14),-0.407076 # DEPENDENCYPART_GRANDPAR
(3,13),(13,15),0.0821358 # DEPENDENCYPART_GRANDPAR
(3,13),(13,16),0.23072 # DEPENDENCYPART_GRANDPAR
(3,13),(13,17),-0.127674 # DEPENDENCYPART_GRANDPAR
(3,13),(13,18),0.0453611 # DEPENDENCYPART_GRANDPAR
(3,13),(13,19),-0.487234 # DEPENDENCYPART_GRANDPAR
(3,15),(15,16),0.142682 # DEPENDENCYPART_GRANDPAR
(3,16),(16,3),-0.617342 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,16),(16,6),0.100459 # DEPENDENCYPART_GRANDPAR
(3,16),(16,14),-0.639304 # DEPENDENCYPART_GRANDPAR
(3,16),(16,15),0.0129561 # DEPENDENCYPART_GRANDPAR
(3,16),(16,17),-0.180995 # DEPENDENCYPART_GRANDPAR
(3,16),(16,18),0.0497162 # DEPENDENCYPART_GRANDPAR
(3,16),(16,19),-0.541563 # DEPENDENCYPART_GRANDPAR
(3,16),(16,20),-0.414479 # DEPENDENCYPART_GRANDPAR
(3,18),(18,1),0.0664804 # DEPENDENCYPART_GRANDPAR
(3,18),(18,2),-0.514519 # DEPENDENCYPART_GRANDPAR
(3,18),(18,3),-0.582354 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,18),(18,4),0.234917 # DEPENDENCYPART_GRANDPAR
(3,18),(18,5),-0.204974 # DEPENDENCYPART_GRANDPAR
(3,18),(18,6),0.154692 # DEPENDENCYPART_GRANDPAR
(3,18),(18,7),0.442045 # DEPENDENCYPART_GRANDPAR
(3,18),(18,8),-0.184197 # DEPENDENCYPART_GRANDPAR
(3,18),(18,9),-0.270762 # DEPENDENCYPART_GRANDPAR
(3,18),(18,10),-0.397753 # DEPENDENCYPART_GRANDPAR
(3,18),(18,11),0.10033 # DEPENDENCYPART_GRANDPAR
(3,18),(18,12),-0.191734 # DEPENDENCYPART_GRANDPAR
(3,18),(18,13),-0.0842567 # DEPENDENCYPART_GRANDPAR
(3,18),(18,14),-0.590218 # DEPENDENCYPART_GRANDPAR
(3,18),(18,15),0.179602 # DEPENDENCYPART_GRANDPAR
(3,18),(18,16),0.240723 # DEPENDENCYPART_GRANDPAR
(3,18),(18,17),-0.323603 # DEPENDENCYPART_GRANDPAR
(3,18),(18,19),-0.534429 # DEPENDENCYPART_GRANDPAR
(3,18),(18,20),-0.370023 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),-0.253686 # DEPENDENCYPART_GRANDPAR
(4,2),(2,3),-0.0199704 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-0.917085 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,2),(2,5),0.0147791 # DEPENDENCYPART_GRANDPAR
(4,2),(2,6),0.469261 # DEPENDENCYPART_GRANDPAR
(4,2),(2,7),-0.0184953 # DEPENDENCYPART_GRANDPAR
(4,2),(2,8),-0.521445 # DEPENDENCYPART_GRANDPAR
(4,2),(2,9),-0.563146 # DEPENDENCYPART_GRANDPAR
(4,2),(2,11),-0.407449 # DEPENDENCYPART_GRANDPAR
(4,2),(2,13),-0.835096 # DEPENDENCYPART_GRANDPAR
(4,2),(2,15),-0.459952 # DEPENDENCYPART_GRANDPAR
(4,2),(2,20),-0.913747 # DEPENDENCYPART_GRANDPAR
(4,5),(5,2),-0.863309 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),-0.59713 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,6),0.929543 # DEPENDENCYPART_GRANDPAR
(4,5),(5,7),0.597693 # DEPENDENCYPART_GRANDPAR
(4,5),(5,8),-0.022124 # DEPENDENCYPART_GRANDPAR
(4,5),(5,9),0.0812798 # DEPENDENCYPART_GRANDPAR
(4,6),(6,1),-0.860843 # DEPENDENCYPART_GRANDPAR
(4,6),(6,2),-0.862431 # DEPENDENCYPART_GRANDPAR
(4,6),(6,3),-0.720313 # DEPENDENCYPART_GRANDPAR
(4,6),(6,4),-0.627041 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,6),(6,5),0.542999 # DEPENDENCYPART_GRANDPAR
(4,6),(6,7),0.665615 # DEPENDENCYPART_GRANDPAR
(4,6),(6,8),-0.00554027 # DEPENDENCYPART_GRANDPAR
(4,6),(6,9),0.0599394 # DEPENDENCYPART_GRANDPAR
(4,6),(6,11),0.107334 # DEPENDENCYPART_GRANDPAR
(4,6),(6,12),0.136176 # DEPENDENCYPART_GRANDPAR
(4,6),(6,13),-0.281514 # DEPENDENCYPART_GRANDPAR
(4,6),(6,14),-0.201867 # DEPENDENCYPART_GRANDPAR
(4,6),(6,15),0.224158 # DEPENDENCYPART_GRANDPAR
(4,6),(6,16),0.0275249 # DEPENDENCYPART_GRANDPAR
(4,6),(6,18),-0.25392 # DEPENDENCYPART_GRANDPAR
(4,6),(6,20),-0.454635 # DEPENDENCYPART_GRANDPAR
(4,8),(8,2),-0.863309 # DEPENDENCYPART_GRANDPAR
(4,8),(8,4),-0.597144 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,8),(8,5),0.477552 # DEPENDENCYPART_GRANDPAR
(4,8),(8,6),1.01498 # DEPENDENCYPART_GRANDPAR
(4,8),(8,7),0.473239 # DEPENDENCYPART_GRANDPAR
(4,8),(8,9),0.0842607 # DEPENDENCYPART_GRANDPAR
(4,8),(8,11),0.083515 # DEPENDENCYPART_GRANDPAR
(4,8),(8,12),0.0517068 # DEPENDENCYPART_GRANDPAR
(4,8),(8,14),-0.152337 # DEPENDENCYPART_GRANDPAR
(4,8),(8,15),0.154506 # DEPENDENCYPART_GRANDPAR
(4,8),(8,18),-0.187999 # DEPENDENCYPART_GRANDPAR
(4,8),(8,20),-0.505659 # DEPENDENCYPART_GRANDPAR
(4,9),(9,4),-0.699744 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,9),(9,6),0.891253 # DEPENDENCYPART_GRANDPAR
(4,9),(9,7),0.405346 # DEPENDENCYPART_GRANDPAR
(4,9),(9,8),-0.20265 # DEPENDENCYPART_GRANDPAR
(4,9),(9,10),-0.544726 # DEPENDENCYPART_GRANDPAR
(4,9),(9,11),-0.0635893 # DEPENDENCYPART_GRANDPAR
(4,9),(9,12),-0.0636655 # DEPENDENCYPART_GRANDPAR
(4,9),(9,13),-0.475764 # DEPENDENCYPART_GRANDPAR
(4,9),(9,14),-0.210497 # DEPENDENCYPART_GRANDPAR
(4,9),(9,18),-0.290819 # DEPENDENCYPART_GRANDPAR
(4,9),(9,20),-0.605008 # DEPENDENCYPART_GRANDPAR
(4,11),(11,2),-0.889101 # DEPENDENCYPART_GRANDPAR
(4,11),(11,3),-0.684125 # DEPENDENCYPART_GRANDPAR
(4,11),(11,4),-0.61652 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,11),(11,5),0.389892 # DEPENDENCYPART_GRANDPAR
(4,11),(11,6),1.0171 # DEPENDENCYPART_GRANDPAR
(4,11),(11,7),0.40061 # DEPENDENCYPART_GRANDPAR
(4,11),(11,8),-0.142344 # DEPENDENCYPART_GRANDPAR
(4,11),(11,9),-0.291483 # DEPENDENCYPART_GRANDPAR
(4,11),(11,10),-0.344682 # DEPENDENCYPART_GRANDPAR
(4,11),(11,12),0.0207609 # DEPENDENCYPART_GRANDPAR
(4,11),(11,13),-0.295393 # DEPENDENCYPART_GRANDPAR
(4,11),(11,14),-0.11458 # DEPENDENCYPART_GRANDPAR
(4,11),(11,15),0.026422 # DEPENDENCYPART_GRANDPAR
(4,11),(11,16),-0.060748 # DEPENDENCYPART_GRANDPAR
(4,11),(11,17),-0.228259 # DEPENDENCYPART_GRANDPAR
(4,11),(11,18),-0.16683 # DEPENDENCYPART_GRANDPAR
(4,11),(11,19),-0.166226 # DEPENDENCYPART_GRANDPAR
(4,11),(11,20),-0.523716 # DEPENDENCYPART_GRANDPAR
(4,12),(12,2),-0.878449 # DEPENDENCYPART_GRANDPAR
(4,12),(12,4),-0.608343 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,12),(12,6),1.04847 # DEPENDENCYPART_GRANDPAR
(4,12),(12,7),0.525816 # DEPENDENCYPART_GRANDPAR
(4,12),(12,8),-0.0950175 # DEPENDENCYPART_GRANDPAR
(4,12),(12,9),-0.222751 # DEPENDENCYPART_GRANDPAR
(4,12),(12,13),-0.300533 # DEPENDENCYPART_GRANDPAR
(4,12),(12,14),-0.156657 # DEPENDENCYPART_GRANDPAR
(4,12),(12,15),0.084162 # DEPENDENCYPART_GRANDPAR
(4,12),(12,17),-0.267172 # DEPENDENCYPART_GRANDPAR
(4,12),(12,19),-0.214066 # DEPENDENCYPART_GRANDPAR
(4,13),(13,12),-0.0872359 # DEPENDENCYPART_GRANDPAR
(4,13),(13,14),-0.172237 # DEPENDENCYPART_GRANDPAR
(4,13),(13,15),0.018858 # DEPENDENCYPART_GRANDPAR
(4,13),(13,16),-0.0771704 # DEPENDENCYPART_GRANDPAR
(4,13),(13,17),-0.282754 # DEPENDENCYPART_GRANDPAR
(4,13),(13,18),-0.211612 # DEPENDENCYPART_GRANDPAR
(4,13),(13,19),-0.229681 # DEPENDENCYPART_GRANDPAR
(4,18),(18,1),-0.812511 # DEPENDENCYPART_GRANDPAR
(4,18),(18,2),-0.963586 # DEPENDENCYPART_GRANDPAR
(4,18),(18,3),-0.743032 # DEPENDENCYPART_GRANDPAR
(4,18),(18,4),-0.751982 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,18),(18,5),0.272586 # DEPENDENCYPART_GRANDPAR
(4,18),(18,6),0.999592 # DEPENDENCYPART_GRANDPAR
(4,18),(18,7),0.567132 # DEPENDENCYPART_GRANDPAR
(4,18),(18,8),-0.271824 # DEPENDENCYPART_GRANDPAR
(4,18),(18,9),-0.437607 # DEPENDENCYPART_GRANDPAR
(4,18),(18,10),-0.394301 # DEPENDENCYPART_GRANDPAR
(4,18),(18,11),0.126003 # DEPENDENCYPART_GRANDPAR
(4,18),(18,12),-0.214055 # DEPENDENCYPART_GRANDPAR
