# _root_ Departing from its newspaper ads featuring prim sketches of a suit or a coat , Brooks Brothers is marketing an updated image in a new campaign that carries the slogan , `` The Surprise of Brooks Brothers . ''
#goldHeads=18,1,5,5,2,5,8,6,8,11,12,9,14,12,18,17,18,0,18,22,22,19,19,26,26,23,28,26,30,28,30,30,34,30,34,37,35,18,18,
#predictedHeads=18,1,5,5,2,5,8,6,8,11,12,9,14,12,18,17,18,0,18,22,22,19,19,26,26,23,28,26,30,28,28,28,34,28,34,37,35,18,18,
(4,6),(6,15),(6,40),-0.0246416 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,18),(6,19),-0.0223632 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,18),(6,21),-0.0223632 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,18),(6,23),-0.0166512 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,18),(6,38),-0.0229407 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,18),(6,39),-0.010215 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,18),(6,40),-0.0268473 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,19),(6,21),-0.0223406 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,19),(6,23),-0.0166139 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,19),(6,38),-0.0229407 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,19),(6,39),-0.0102148 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,19),(6,40),-0.0224803 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,21),(6,23),-0.0166139 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,21),(6,38),-0.0229407 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,21),(6,39),-0.0102148 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,21),(6,40),-0.0224749 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,23),(6,38),-0.0332546 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,23),(6,39),-0.00544797 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,23),(6,40),0.0231099 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,38),(6,39),-0.0295565 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,38),(6,40),-0.0609302 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,39),(6,40),-0.0205402 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,6),(6,5),0.132681 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,4),0.129706 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,2),-0.172638 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,-1),-0.00880014 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,5),(6,4),0.0935731 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,5),(6,2),-0.145537 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,5),(6,-1),-0.0817186 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,4),(6,2),-0.145537 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,4),(6,-1),-0.0842851 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,2),(6,-1),-0.229295 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,8),(8,9),0.00760718 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,10),-0.0491679 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,11),-0.131668 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,12),-0.0404138 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,13),-0.0491679 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,14),-0.131668 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,15),0.133886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,16),-0.131623 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,18),0.0491216 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,19),0.0488689 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,20),-0.038525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,21),0.0478594 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,23),-0.00420701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,28),0.0478594 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,31),0.133886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,38),0.0757667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,40),0.132546 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,8),(8,9),(8,10),-0.0194479 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,11),-0.017428 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,12),-0.017881 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,13),-0.0194479 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,14),-0.0174279 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,15),-0.0589335 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,16),-0.0174279 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,18),-0.0108491 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,19),-0.0119245 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,20),-0.0194483 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,21),-0.0119245 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,23),-0.0466695 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,28),-0.0119245 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,31),-0.0589335 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,38),-0.0210534 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,40),-0.00940314 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,10),(8,11),-0.0115753 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,12),-0.0204118 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,13),-0.0113748 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,14),-0.0115753 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,15),-0.0207824 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,16),-0.0115753 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,18),-0.0194622 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,19),-0.0194622 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,20),-0.0170371 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,21),-0.0194622 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,23),-0.0215369 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,28),-0.0194622 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,31),-0.0207824 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,38),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,40),-0.0720426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,11),(8,12),-0.0205486 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,11),(8,13),-0.0260996 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,11),(8,14),-0.00139317 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,11),(8,15),0.00445098 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,11),(8,16),-0.00139317 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,11),(8,18),-0.0208842 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,11),(8,19),-0.0207481 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,11),(8,20),-0.0194029 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,11),(8,21),-0.0207481 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,11),(8,23),-0.0211029 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,11),(8,28),-0.0207481 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,11),(8,31),0.00445098 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,11),(8,38),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,11),(8,40),0.026203 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,12),(8,13),0.247501 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,12),(8,14),0.00557085 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,12),(8,15),0.243527 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,12),(8,16),-0.000164904 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,12),(8,18),0.291492 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,12),(8,19),0.289541 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,12),(8,20),0.149036 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,12),(8,21),0.207878 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,12),(8,23),0.247757 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,12),(8,28),0.305088 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,12),(8,31),0.146024 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,12),(8,38),0.100334 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,12),(8,40),-0.0347996 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,13),(8,14),-0.0115753 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,13),(8,15),-0.0207824 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,13),(8,16),-0.0115753 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,13),(8,18),-0.0194622 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,13),(8,19),-0.0194622 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,13),(8,20),-0.0170371 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,13),(8,21),-0.0194622 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,13),(8,23),-0.0215369 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,13),(8,28),-0.0194622 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,13),(8,31),-0.0207824 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,13),(8,38),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,13),(8,40),-0.0720426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,14),(8,15),0.00445112 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,14),(8,16),-0.00139317 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,14),(8,18),-0.0208842 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,14),(8,19),-0.0207481 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,14),(8,20),-0.0194029 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,14),(8,21),-0.0207481 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,14),(8,23),-0.0211029 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,14),(8,28),-0.0207481 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,14),(8,31),0.00445112 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,14),(8,38),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,14),(8,40),0.026203 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,15),(8,16),0.135152 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,15),(8,18),-0.0672112 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,15),(8,19),-0.0624166 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,15),(8,20),-0.0231898 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,15),(8,21),-0.0676558 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,15),(8,23),0.000203626 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,15),(8,28),-0.0676667 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,15),(8,31),-0.0232074 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,15),(8,38),-0.0242318 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,15),(8,40),-0.02016 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,16),(8,18),-0.0208842 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,16),(8,19),-0.0207481 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,16),(8,20),-0.0194029 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,16),(8,21),-0.0207481 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,16),(8,23),-0.0211029 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,16),(8,28),-0.0207481 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,16),(8,31),0.00445112 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,16),(8,38),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,16),(8,40),0.026248 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,18),(8,19),-0.023794 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,18),(8,20),-0.0186973 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,18),(8,21),-0.023794 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,18),(8,23),-0.0259211 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,18),(8,28),-0.023794 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,18),(8,31),-0.0282886 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,18),(8,38),-0.0195606 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,18),(8,40),0.00392504 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,19),(8,20),-0.0186973 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,19),(8,21),-0.0237881 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,19),(8,23),-0.0220435 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,19),(8,28),-0.0237881 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,19),(8,31),-0.0295665 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,19),(8,38),-0.0195606 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,19),(8,40),0.00715261 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,20),(8,21),-0.0194622 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,20),(8,23),-0.0215369 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,20),(8,28),-0.0194622 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,20),(8,31),-0.0207683 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,20),(8,38),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,20),(8,40),-0.0433533 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,21),(8,23),-0.0247044 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,21),(8,28),-0.0237863 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,21),(8,31),-0.0272337 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,21),(8,38),-0.0195606 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,21),(8,40),0.00244891 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,23),(8,28),-0.0151236 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,23),(8,31),-0.0453199 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,23),(8,38),-0.020446 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,23),(8,40),-0.0465032 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,28),(8,31),-0.0272337 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,28),(8,38),-0.0195606 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,28),(8,40),0.00244891 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,31),(8,38),-0.0242318 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,31),(8,40),-0.02016 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,38),(8,40),0.0744321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,8),(8,7),0.0806917 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,6),0.0931894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,5),0.160979 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,4),0.162347 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,3),-0.14493 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,2),-0.155566 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,1),-0.172272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,-1),-0.0201294 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,8),(8,7),(8,6),0.114 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,5),0.123256 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,4),0.123256 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,3),-0.144706 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,2),-0.144704 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,1),-0.144706 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,-1),-0.193454 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,6),(8,5),0.113743 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,6),(8,4),0.113625 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,6),(8,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,6),(8,2),-0.144703 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,6),(8,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,6),(8,-1),-0.196509 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,5),(8,4),0.0910907 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,5),(8,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,5),(8,2),-0.14479 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,5),(8,1),-0.14473 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,5),(8,-1),-0.173907 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,4),(8,3),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,4),(8,2),-0.14479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,4),(8,1),-0.14473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,4),(8,-1),-0.17401 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,8),(8,3),(8,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,3),(8,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,3),(8,-1),-0.135322 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,2),(8,1),-0.144823 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,2),(8,-1),-0.116333 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,1),(8,-1),-0.196509 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,9),(9,10),-0.0190788 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,11),0.11869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,12),0.0424903 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,14),0.128358 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,40),-0.376976 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,9),(9,10),(9,11),-0.023913 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,12),-0.0194678 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,14),-0.023913 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,40),-0.000196987 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,11),(9,12),-0.0327651 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,14),-0.0616137 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,40),0.0338769 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,12),(9,14),-0.00762761 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,40),0.0298771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,14),(9,40),0.0435444 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,9),(9,7),0.139469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,6),0.0997232 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,-1),-0.0509067 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,9),(9,7),(9,6),0.108485 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,7),(9,-1),-0.177501 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,6),(9,-1),-0.157148 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,1),(1,2),0.163135 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,4),0.133559 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,5),-0.193413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,6),-0.189763 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,8),-0.193413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,9),-0.175041 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,12),-0.172581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,15),-0.144717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,18),-0.189764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,19),-0.189763 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,38),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,39),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,40),-0.00145552 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,1),(1,2),(1,4),0.101436 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,2),(1,5),-0.144709 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,2),(1,6),-0.144847 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,2),(1,8),-0.144709 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,2),(1,9),-0.14545 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,2),(1,12),-0.144708 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,2),(1,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,2),(1,18),-0.144847 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,2),(1,19),-0.144847 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,2),(1,38),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,2),(1,39),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,2),(1,40),-0.226535 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,4),(1,5),-0.144891 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,4),(1,6),-0.146174 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,4),(1,8),-0.144891 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,4),(1,9),-0.145537 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,4),(1,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,4),(1,15),-0.144936 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,4),(1,18),-0.146174 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,4),(1,19),-0.146174 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,4),(1,38),-0.144704 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,4),(1,39),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,4),(1,40),-0.0831897 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,5),(1,6),-0.146174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,5),(1,8),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,5),(1,9),-0.145537 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,5),(1,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,5),(1,15),-0.144936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,5),(1,18),-0.146174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,5),(1,19),-0.146174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,5),(1,38),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,5),(1,39),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,5),(1,40),-0.0806232 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,1),(1,6),(1,8),-0.144706 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,6),(1,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,6),(1,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,6),(1,15),-0.144702 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,6),(1,18),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,6),(1,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,6),(1,38),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,6),(1,39),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,6),(1,40),-0.157426 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,8),(1,9),-0.145537 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,8),(1,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,8),(1,15),-0.144936 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,8),(1,18),-0.146174 # DEPENDENCYPART_GRANDSIBL
(5,1),(1,8),(1,19),-0.146174 # DEPENDENCYPART_GRANDSIBL
