# _root_ In the third quarter , wages and salaries in all private industry rose 1.2 % , compared with 1 % increases in both the second quarter and in the third quarter of 1988 .
#goldHeads=13,4,4,1,13,7,13,7,7,12,12,9,0,15,13,13,13,17,21,21,18,27,26,26,26,22,21,27,31,31,28,31,32,13,
#predictedHeads=13,4,4,1,13,7,13,7,7,12,12,9,0,15,13,13,13,17,20,21,18,21,27,26,26,22,21,27,31,31,28,31,32,13,
(7,17),(17,18),(17,22),-0.0154346 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,18),(17,23),-0.0473019 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,18),(17,25),-0.0431671 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,18),(17,26),-0.0420306 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,18),(17,27),-0.0491983 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,18),(17,28),-0.0154346 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,18),(17,34),-0.0421435 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,18),(17,35),-0.0963039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,19),(17,20),-0.0461884 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,19),(17,21),-0.0461073 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,19),(17,22),-0.0590205 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,19),(17,23),-0.0423646 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,19),(17,25),-0.0428519 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,19),(17,26),-0.0461073 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,19),(17,27),-0.0423649 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,19),(17,28),-0.0590205 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,19),(17,34),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,19),(17,35),-0.0526153 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,20),(17,21),-0.00711511 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,20),(17,22),-0.12096 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,20),(17,23),-0.0319977 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,20),(17,25),-0.0386101 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,20),(17,26),-0.00716067 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,20),(17,27),-0.036412 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,20),(17,28),-0.12096 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,20),(17,34),-0.044558 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,20),(17,35),0.0138201 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,21),(17,22),-0.116827 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,21),(17,23),-0.0322594 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,21),(17,25),-0.0386101 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,21),(17,26),-0.00640905 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,21),(17,27),-0.0366737 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,21),(17,28),-0.116827 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,21),(17,34),-0.044558 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,21),(17,35),-0.0121157 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,22),(17,23),-0.0458035 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,22),(17,25),-0.0448874 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,22),(17,26),-0.0432274 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,22),(17,27),-0.0476999 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,22),(17,28),-0.011878 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,22),(17,34),-0.0426945 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,22),(17,35),-0.110172 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,23),(17,25),-0.141611 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,23),(17,26),0.00269269 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,23),(17,27),-0.167001 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,23),(17,28),-0.690343 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,23),(17,34),0.0111828 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,23),(17,35),-0.0169177 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,25),(17,26),-0.05819 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,25),(17,27),-0.0454082 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,25),(17,28),-0.000251782 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,25),(17,34),-0.0398114 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,25),(17,35),-0.0385471 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,26),(17,27),-0.0364202 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,26),(17,28),-0.117491 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,26),(17,34),-0.044558 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,26),(17,35),-0.0051884 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,27),(17,28),-0.695352 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,27),(17,34),0.0111824 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,27),(17,35),-0.017726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,28),(17,34),-0.0426945 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,28),(17,35),-0.110172 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,34),(17,35),-0.0364107 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,17),(17,16),0.0937841 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,17),(17,17),(17,15),0.267997 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,17),(17,17),(17,13),0.147543 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,17),(17,17),(17,9),0.0789918 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,17),(17,17),(17,7),0.249908 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,17),(17,17),(17,5),-0.125268 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,17),(17,17),(17,4),-0.0536761 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,17),(17,17),(17,1),-0.114864 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,17),(17,17),(17,-1),-0.225568 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,17),(17,16),(17,15),0.0675312 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,16),(17,13),0.115252 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,16),(17,9),0.143347 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,16),(17,7),0.0805152 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,16),(17,5),-0.125215 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,16),(17,4),-0.127276 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,16),(17,1),-0.140426 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,16),(17,-1),-0.109233 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,15),(17,13),0.104902 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,15),(17,9),0.145494 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,15),(17,7),0.112219 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,15),(17,5),-0.128646 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,15),(17,4),-0.134957 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,15),(17,1),-0.152562 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,15),(17,-1),-0.0363997 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,13),(17,9),0.061521 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,13),(17,7),0.108644 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,13),(17,5),-0.130471 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,13),(17,4),-0.125416 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,13),(17,1),-0.125294 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,13),(17,-1),-0.0124114 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,9),(17,7),0.11495 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,9),(17,5),-0.130599 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,9),(17,4),-0.126019 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,9),(17,1),-0.128324 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,9),(17,-1),-0.078584 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,7),(17,5),0.403671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,17),(17,7),(17,4),0.315226 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,17),(17,7),(17,1),0.38459 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,17),(17,7),(17,-1),-0.120104 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,17),(17,5),(17,4),-0.127276 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,5),(17,1),-0.140426 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,5),(17,-1),-0.109233 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,4),(17,1),-0.152498 # DEPENDENCYPART_GRANDSIBL
(7,17),(17,4),(17,-1),-0.0421009 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,17),(17,1),(17,-1),-0.078584 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,18),(18,19),-0.0602128 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,18),(18,20),0.0190297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,18),(18,21),0.0244921 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,18),(18,22),-0.0658929 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,18),(18,23),0.0437695 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,18),(18,25),-0.0280331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,18),(18,26),0.023145 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,18),(18,27),0.059946 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,18),(18,28),-0.0658929 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,18),(18,31),0.023145 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,18),(18,32),-0.0621132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,18),(18,35),-0.110317 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,18),(18,19),(18,20),-0.0428169 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,19),(18,21),-0.0428163 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,19),(18,22),-0.0406301 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,19),(18,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,19),(18,25),-0.0420003 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,19),(18,26),-0.0428163 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,19),(18,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,19),(18,28),-0.0406301 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,19),(18,31),-0.0428163 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,19),(18,32),-0.0410566 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,19),(18,35),-0.0666809 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,20),(18,21),-0.0468583 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,20),(18,22),-0.0367377 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,20),(18,23),-0.0427272 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,20),(18,25),-0.0432479 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,20),(18,26),-0.0468583 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,20),(18,27),-0.0430884 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,20),(18,28),-0.0367377 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,20),(18,31),-0.0468583 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,20),(18,32),-0.0421138 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,20),(18,35),-0.0517637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,21),(18,22),-0.0365265 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,21),(18,23),-0.0427272 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,21),(18,25),-0.0432479 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,21),(18,26),-0.0468583 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,21),(18,27),-0.0430884 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,21),(18,28),-0.0365265 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,21),(18,31),-0.0468583 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,21),(18,32),-0.0419025 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,21),(18,35),-0.0431967 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,22),(18,23),-0.0421631 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,22),(18,25),-0.0420905 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,22),(18,26),-0.0392597 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,22),(18,27),-0.0422459 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,22),(18,28),-0.0425516 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,22),(18,31),-0.0392597 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,22),(18,32),-0.0426267 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,22),(18,35),-0.0519637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,23),(18,25),-0.139871 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,23),(18,26),0.00646315 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,23),(18,27),-0.163748 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,23),(18,28),-0.659635 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,23),(18,31),-0.074144 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,23),(18,32),-0.569414 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,23),(18,35),0.0426203 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,25),(18,26),-0.0467389 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,25),(18,27),-0.0420037 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,25),(18,28),-0.0359729 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,25),(18,31),-0.0467389 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,25),(18,32),-0.0309614 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,25),(18,35),-0.0219364 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,26),(18,27),-0.0430884 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,26),(18,28),-0.0365266 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,26),(18,31),-0.0468583 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,26),(18,32),-0.0419027 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,26),(18,35),-0.0445376 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,27),(18,28),-0.659897 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,27),(18,31),-0.0752355 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,27),(18,32),-0.569676 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,27),(18,35),0.057577 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,28),(18,31),-0.0392597 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,28),(18,32),-0.0426267 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,28),(18,35),-0.0519637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,31),(18,32),-0.0419027 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,31),(18,35),-0.0445376 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,32),(18,35),-0.0476761 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,18),(18,17),0.133831 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,18),(18,15),0.0387991 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,18),(18,18),(18,-1),-0.0122988 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,18),(18,17),(18,15),0.118161 # DEPENDENCYPART_GRANDSIBL
(7,18),(18,17),(18,-1),-0.117224 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,18),(18,15),(18,-1),-0.16108 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,34),(34,34),(34,35),-0.0594877 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,34),(34,34),(34,-1),-0.0746485 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,2),(2,2),(2,3),0.103012 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,5),0.119309 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,35),0.147137 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,2),(2,3),(2,5),0.119164 # DEPENDENCYPART_GRANDSIBL
(8,2),(2,3),(2,35),-0.140235 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,5),(2,35),-0.129666 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,2),(2,2),(2,1),-0.0511016 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,2),(2,2),(2,-1),0.211264 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,2),(2,1),(2,-1),-0.0588212 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,3),(3,3),(3,35),0.00667792 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,3),(3,3),(3,2),-0.0630825 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,3),(3,3),(3,1),0.0683536 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,3),(3,3),(3,-1),0.0410619 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,3),(3,2),(3,1),-0.0285972 # DEPENDENCYPART_GRANDSIBL
(8,3),(3,2),(3,-1),-0.107771 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,3),(3,1),(3,-1),0.0569116 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,6),(6,8),-0.141313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,6),(6,6),(6,9),-0.144064 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,35),0.0218354 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,6),(6,8),(6,9),-0.125035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,8),(6,35),-0.143132 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,6),(6,9),(6,35),-0.0811493 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,6),(6,5),0.138962 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,4),-0.182988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,3),-0.0653424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,2),-0.0399498 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,1),-0.0434132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,6),(6,6),(6,-1),0.0973279 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,6),(6,5),(6,4),0.134197 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,5),(6,3),-0.0511051 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,5),(6,2),-0.0474936 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,5),(6,1),-0.0286937 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,5),(6,-1),-0.0437622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,4),(6,3),-0.0479565 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,4),(6,2),-0.0143623 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,4),(6,1),-0.031491 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,4),(6,-1),0.00286728 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,3),(6,2),-0.0628092 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,3),(6,1),-0.0431745 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,3),(6,-1),-0.0501861 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,2),(6,1),-0.0444761 # DEPENDENCYPART_GRANDSIBL
(8,6),(6,2),(6,-1),-0.00997678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,6),(6,1),(6,-1),-0.129557 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,7),(7,8),-0.145575 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,7),(7,7),(7,9),-0.127416 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,10),-0.124936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,11),-0.130443 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,12),-0.145575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,13),-0.136591 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,14),-0.126282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,15),-0.145575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,16),-0.125566 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,17),-0.136584 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,18),-0.127393 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,34),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,7),(7,35),-0.515856 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,7),(7,8),(7,9),-0.12926 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,10),-0.124957 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,11),-0.125453 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,12),-0.130147 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,13),-0.127112 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,14),-0.125585 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,15),-0.130147 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,16),-0.12646 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,17),-0.127112 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,18),-0.127877 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,34),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,7),(7,8),(7,35),-0.21416 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,7),(7,9),(7,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,11),-0.124896 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,12),-0.124994 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,13),-0.124889 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,14),-0.124914 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,15),-0.124994 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,16),-0.124942 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,17),-0.124889 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,9),(7,35),-0.0148016 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,10),(7,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,10),(7,12),-0.12489 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,10),(7,13),-0.124897 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,10),(7,14),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,10),(7,15),-0.12489 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,10),(7,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,10),(7,17),-0.124897 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,10),(7,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,10),(7,34),-0.124887 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,10),(7,35),-0.0686811 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,11),(7,12),-0.126474 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,11),(7,13),-0.126881 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,11),(7,14),-0.124923 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,11),(7,15),-0.126474 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,11),(7,16),-0.124886 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,11),(7,17),-0.126881 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,11),(7,18),-0.125542 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,11),(7,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,11),(7,35),0.00254311 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,7),(7,12),(7,13),-0.127112 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,12),(7,14),-0.125585 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,12),(7,15),-0.130147 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,12),(7,16),-0.12646 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,12),(7,17),-0.127112 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,12),(7,18),-0.127877 # DEPENDENCYPART_GRANDSIBL
(8,7),(7,12),(7,34),-0.124885 # DEPENDENCYPART_GRANDSIBL
