# _root_ The suits relate to a $ 200 million loss , disclosed in December , that was suffered by West Virginia 's consolidated investment pool .
#goldHeads=2,3,0,3,9,9,6,6,4,9,9,11,12,9,16,9,16,17,20,24,20,24,24,18,3,
#predictedHeads=2,3,0,3,9,9,6,6,4,3,3,11,12,13,16,13,16,17,20,24,20,24,24,18,3,
(2,9),(9,17),(9,22),-0.0198766 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,17),(9,24),-0.0233145 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,17),(9,25),-0.0195606 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,17),(9,26),0.00193338 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,18),(9,22),-0.0184824 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,18),(9,24),-0.0215518 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,18),(9,25),-0.0204459 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,18),(9,26),-0.0244726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,22),(9,24),-0.0388087 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,22),(9,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,22),(9,26),-0.0295589 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,24),(9,25),-0.0111699 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,24),(9,26),0.0286903 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,25),(9,26),0.0744321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,9),(9,8),0.167421 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,7),0.165979 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,6),0.0931724 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,5),0.113781 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,3),0.0931913 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,1),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,9),(9,9),(9,-1),-0.0249489 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,9),(9,8),(9,7),0.0993603 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,8),(9,6),0.105841 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,8),(9,5),0.100786 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,8),(9,3),0.108603 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,8),(9,1),-0.145202 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,8),(9,-1),-0.134181 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,7),(9,6),0.105939 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,7),(9,5),0.101208 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,7),(9,3),0.108603 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,7),(9,1),-0.144951 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,7),(9,-1),-0.144424 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,6),(9,5),0.106872 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,6),(9,3),0.109393 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,6),(9,1),-0.144702 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,6),(9,-1),-0.15265 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,5),(9,3),0.108001 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,5),(9,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,5),(9,-1),-0.0933741 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,3),(9,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,3),(9,-1),-0.197839 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,1),(9,-1),-0.163763 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,10),(10,26),-0.0461524 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,10),(10,10),(10,-1),-0.186589 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,11),(11,11),(11,12),0.00280453 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,13),-0.0232727 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,14),-0.0407696 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,16),-0.0490361 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,17),-0.0422964 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,18),0.0773614 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,25),-0.0230578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,26),0.054437 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,11),(11,12),(11,13),-0.0125365 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,12),(11,14),-0.0154327 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,12),(11,16),-0.0103986 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,12),(11,17),-0.00920229 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,12),(11,18),-0.0418747 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,12),(11,25),-0.033254 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,12),(11,26),0.0286508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,13),(11,14),-0.0346288 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,13),(11,16),-0.0347982 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,13),(11,17),-0.0342053 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,13),(11,18),0.0109464 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,13),(11,25),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,13),(11,26),-0.028491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,14),(11,16),-0.0166026 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,14),(11,17),-0.0158223 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,14),(11,18),-0.042559 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,14),(11,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,14),(11,26),-0.0246416 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,16),(11,17),-0.0223406 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,16),(11,18),-0.0302038 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,16),(11,25),-0.0229494 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,16),(11,26),-0.0307437 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,17),(11,18),-0.0302738 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,17),(11,25),-0.0229407 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,17),(11,26),-0.02339 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,18),(11,25),-0.0306476 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,18),(11,26),0.0360113 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,25),(11,26),-0.0609297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,11),(11,10),0.114419 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,9),0.129912 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,5),0.0882056 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,2),0.131356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,-1),-0.0209116 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,11),(11,10),(11,9),0.119951 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,10),(11,5),0.10947 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,10),(11,2),0.119952 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,10),(11,-1),-0.208604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,9),(11,5),0.109881 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,9),(11,2),0.094094 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,9),(11,-1),-0.0843582 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,5),(11,2),0.108709 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,5),(11,-1),-0.164004 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,2),(11,-1),-0.0831194 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,12),(12,12),(12,13),0.123539 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,14),-0.0458129 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,16),0.00746977 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,24),0.129006 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,26),-0.348642 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,12),(12,13),(12,14),-0.00236466 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,16),-0.0249698 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,24),-0.0588859 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,26),0.0564943 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,14),(12,16),-0.0194533 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,24),-0.0422402 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,26),-0.00495898 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,16),(12,24),-0.0213018 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,26),0.00666481 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,24),(12,26),0.0617383 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,12),(12,11),0.100748 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,10),0.0955025 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,9),0.0426097 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,-1),-0.137179 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,12),(12,11),(12,10),0.109467 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,11),(12,9),0.109351 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,11),(12,-1),-0.156228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,10),(12,9),0.108204 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,10),(12,-1),-0.14734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,9),(12,-1),-0.193545 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,14),(14,26),-0.0461524 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,14),(14,14),(14,-1),-0.186589 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,16),(16,16),(16,17),-0.0356596 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,18),0.0705112 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,20),-0.0257356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,22),0.0147211 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,24),-0.0257356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,25),-0.0231182 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,26),0.0601951 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,16),(16,17),(16,18),-0.0315292 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,17),(16,20),-0.0218614 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,17),(16,22),-0.0198437 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,17),(16,24),-0.0218614 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,17),(16,25),-0.0238251 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,17),(16,26),-0.0175829 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,18),(16,20),-0.000512326 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,18),(16,22),-0.0243057 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,18),(16,24),-0.000512326 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,18),(16,25),-0.0307027 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,18),(16,26),0.0125336 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,20),(16,22),-0.0189808 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,20),(16,24),-0.00113824 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,20),(16,25),-0.0254121 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,20),(16,26),-0.023613 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,22),(16,24),-0.0110565 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,22),(16,25),-0.0243432 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,22),(16,26),0.0336434 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,24),(16,25),-0.0254121 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,24),(16,26),-0.023613 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,25),(16,26),-0.0619727 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,16),(16,15),0.141905 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,14),0.117334 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,13),0.139711 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,12),0.164145 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,11),0.132771 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,9),0.138266 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,6),0.103177 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,5),0.0898003 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,4),0.179387 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,3),0.132771 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,2),0.139711 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,16),(16,16),(16,-1),-0.0306523 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,16),(16,15),(16,14),0.119889 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,13),0.107127 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,12),0.107488 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,11),0.109364 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,9),0.107127 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,6),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,5),0.109538 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,4),0.109196 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,3),0.109364 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,2),0.107127 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,15),(16,-1),-0.077029 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,14),(16,13),0.119054 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,12),0.147758 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,11),0.123 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,9),0.119053 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,6),0.10918 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,5),0.10947 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,4),0.106436 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,3),0.123 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,2),0.119054 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,14),(16,-1),-0.211857 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,13),(16,12),0.087803 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,11),0.103308 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,9),0.0932629 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,6),0.109312 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,5),0.109801 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,4),0.0905689 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,3),0.103308 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,2),0.0932629 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,13),(16,-1),-0.0671715 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,12),(16,11),0.108547 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,9),0.10143 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,6),0.108605 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,5),0.108536 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,4),0.10811 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,3),0.108547 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,2),0.10143 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,12),(16,-1),-0.242392 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,11),(16,9),0.107454 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,6),0.10954 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,5),0.109257 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,4),0.100892 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,3),0.109436 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,2),0.107454 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,11),(16,-1),-0.158806 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,9),(16,6),0.109312 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,9),(16,5),0.1098 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,9),(16,4),0.0905669 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,9),(16,3),0.103308 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,9),(16,2),0.0932629 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,9),(16,-1),-0.0684103 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,6),(16,5),0.109457 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,6),(16,4),0.109477 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,6),(16,3),0.109536 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,6),(16,2),0.10947 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,6),(16,-1),-0.1496 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,5),(16,4),0.108587 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,5),(16,3),0.109463 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,5),(16,2),0.108686 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,5),(16,-1),-0.162475 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,4),(16,3),0.108809 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,4),(16,2),0.117886 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,4),(16,-1),-0.100969 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,3),(16,2),0.107454 # DEPENDENCYPART_GRANDSIBL
(2,16),(16,3),(16,-1),-0.158806 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,16),(16,2),(16,-1),-0.0671715 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,17),(17,17),(17,18),0.0773874 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,17),(17,17),(17,19),-0.0242715 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,17),(17,17),(17,20),-0.0242715 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,17),(17,17),(17,22),0.00600379 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,17),(17,17),(17,23),-0.0245142 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,17),(17,17),(17,24),-0.0242715 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,17),(17,17),(17,25),-0.0230578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,17),(17,17),(17,26),0.0573534 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,17),(17,18),(17,19),-0.000423686 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,18),(17,20),-0.000423686 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,18),(17,22),-0.0242309 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,18),(17,23),-0.000423686 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,18),(17,24),-0.000423686 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,18),(17,25),-0.0306476 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,18),(17,26),0.0360374 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,17),(17,19),(17,20),-0.00100245 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,19),(17,22),-0.0186824 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,19),(17,23),-0.00100245 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,19),(17,24),-0.00100245 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,19),(17,25),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,19),(17,26),-0.029493 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,17),(17,20),(17,22),-0.0186824 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,20),(17,23),-0.00100245 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,20),(17,24),-0.00100245 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,20),(17,25),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,20),(17,26),-0.0294742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,17),(17,22),(17,23),-0.0133713 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,22),(17,24),-0.0133713 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,22),(17,25),-0.0243432 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,22),(17,26),0.0217833 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,17),(17,23),(17,24),-0.0010122 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,23),(17,25),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,23),(17,26),-0.031679 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,17),(17,24),(17,25),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,24),(17,26),-0.0294742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,17),(17,25),(17,26),-0.0609297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,17),(17,17),(17,16),0.134814 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,17),(17,17),(17,15),0.135145 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,17),(17,17),(17,14),0.114419 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,17),(17,17),(17,12),0.154761 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,17),(17,17),(17,9),0.130199 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,17),(17,17),(17,-1),-0.0172938 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,17),(17,16),(17,15),0.112407 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,16),(17,14),0.114423 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,16),(17,12),0.103206 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,16),(17,9),0.107565 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,16),(17,-1),-0.158375 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,17),(17,15),(17,14),0.119891 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,15),(17,12),0.107492 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,15),(17,9),0.107174 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,15),(17,-1),-0.0868231 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,17),(17,14),(17,12),0.145377 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,14),(17,9),0.119952 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,14),(17,-1),-0.208604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,17),(17,12),(17,9),0.102181 # DEPENDENCYPART_GRANDSIBL
(2,17),(17,12),(17,-1),-0.225714 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,17),(17,9),(17,-1),-0.0840707 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,25),(25,25),(25,26),0.00397982 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,25),(25,25),(25,24),0.107958 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,25),(25,25),(25,-1),-0.112602 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,25),(25,24),(25,-1),-0.1457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,1),(1,3),-0.148207 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,26),-0.325252 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,1),(1,3),(1,26),-0.148724 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,1),(1,1),(1,-1),-0.0560324 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,2),(2,3),-0.125783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,4),-0.14731 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,5),-0.149664 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,9),-0.0538671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,10),-0.144869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,11),-0.125783 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
