# _root_ After Mr. Stanley 's article was published in two Namibian newspapers , Mr. O'Linn had criminal charges brought against their editors , publisher and lawyer .
#goldHeads=15,3,5,3,6,1,6,7,11,11,8,15,14,15,0,17,15,15,18,21,19,21,21,23,24,15,
#predictedHeads=15,3,5,3,6,1,6,7,11,11,8,15,14,15,0,17,15,17,18,21,19,21,21,23,24,15,
(6,10),(6,11),-0.222684 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0525837 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.0999651 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.0265197 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.07141 # DEPENDENCYPART_SIBL
(6,10),(6,19),0.00366509 # DEPENDENCYPART_SIBL
(6,10),(6,22),0.0525837 # DEPENDENCYPART_SIBL
(6,10),(6,24),0.0367595 # DEPENDENCYPART_SIBL
(6,10),(6,26),0.0037308 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.0575116 # DEPENDENCYPART_SIBL
(6,11),(6,14),-0.167069 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.010846 # DEPENDENCYPART_SIBL
(6,11),(6,18),-0.125026 # DEPENDENCYPART_SIBL
(6,11),(6,19),-0.0787192 # DEPENDENCYPART_SIBL
(6,11),(6,22),0.0575116 # DEPENDENCYPART_SIBL
(6,11),(6,24),-0.0488169 # DEPENDENCYPART_SIBL
(6,11),(6,26),-0.121786 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.0763423 # DEPENDENCYPART_SIBL
(6,12),(6,15),0.277855 # DEPENDENCYPART_SIBL
(6,12),(6,18),0.25586 # DEPENDENCYPART_SIBL
(6,12),(6,19),0.242 # DEPENDENCYPART_SIBL
(6,12),(6,22),-0.127741 # DEPENDENCYPART_SIBL
(6,12),(6,24),0.70236 # DEPENDENCYPART_SIBL
(6,12),(6,26),0.0041776 # DEPENDENCYPART_SIBL
(6,14),(6,15),-0.0139157 # DEPENDENCYPART_SIBL
(6,14),(6,18),-0.171945 # DEPENDENCYPART_SIBL
(6,14),(6,19),-0.0715081 # DEPENDENCYPART_SIBL
(6,14),(6,22),-0.0145556 # DEPENDENCYPART_SIBL
(6,14),(6,24),-0.0493398 # DEPENDENCYPART_SIBL
(6,14),(6,26),-0.0273433 # DEPENDENCYPART_SIBL
(6,15),(6,18),-0.267347 # DEPENDENCYPART_SIBL
(6,15),(6,19),-0.190701 # DEPENDENCYPART_SIBL
(6,15),(6,22),-0.0305043 # DEPENDENCYPART_SIBL
(6,15),(6,24),-0.0331247 # DEPENDENCYPART_SIBL
(6,15),(6,26),0.0338357 # DEPENDENCYPART_SIBL
(6,18),(6,19),-0.415072 # DEPENDENCYPART_SIBL
(6,18),(6,22),-0.093604 # DEPENDENCYPART_SIBL
(6,18),(6,24),-0.0123067 # DEPENDENCYPART_SIBL
(6,18),(6,26),-0.0351239 # DEPENDENCYPART_SIBL
(6,19),(6,22),0.000921484 # DEPENDENCYPART_SIBL
(6,19),(6,24),-0.0101407 # DEPENDENCYPART_SIBL
(6,19),(6,26),-0.00346598 # DEPENDENCYPART_SIBL
(6,22),(6,24),0.70236 # DEPENDENCYPART_SIBL
(6,22),(6,26),0.0041776 # DEPENDENCYPART_SIBL
(6,24),(6,26),0.00100235 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0585702 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.0199673 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.0438487 # DEPENDENCYPART_SIBL
(7,1),(7,8),-0.109166 # DEPENDENCYPART_SIBL
(7,1),(7,9),-0.0113211 # DEPENDENCYPART_SIBL
(7,1),(7,10),-0.0516999 # DEPENDENCYPART_SIBL
(7,1),(7,11),-0.0217706 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.0166314 # DEPENDENCYPART_SIBL
(7,1),(7,14),-0.0625302 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0466641 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.00413663 # DEPENDENCYPART_SIBL
(7,1),(7,18),-0.0533538 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.0168159 # DEPENDENCYPART_SIBL
(7,1),(7,21),-0.0241636 # DEPENDENCYPART_SIBL
(7,1),(7,22),0.0166314 # DEPENDENCYPART_SIBL
(7,1),(7,23),-0.0348305 # DEPENDENCYPART_SIBL
(7,1),(7,24),-0.0102515 # DEPENDENCYPART_SIBL
(7,1),(7,26),0.0454263 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0175109 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.0286112 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0540796 # DEPENDENCYPART_SIBL
(7,3),(7,9),-0.0030902 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0427876 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.0537149 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.00294547 # DEPENDENCYPART_SIBL
(7,3),(7,14),-0.000692557 # DEPENDENCYPART_SIBL
(7,3),(7,15),-0.0128407 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.093175 # DEPENDENCYPART_SIBL
(7,3),(7,18),0.0290356 # DEPENDENCYPART_SIBL
(7,3),(7,19),0.041737 # DEPENDENCYPART_SIBL
(7,3),(7,21),0.0491874 # DEPENDENCYPART_SIBL
(7,3),(7,22),0.00294547 # DEPENDENCYPART_SIBL
(7,3),(7,23),0.0700038 # DEPENDENCYPART_SIBL
(7,3),(7,24),0.0751886 # DEPENDENCYPART_SIBL
(7,3),(7,26),0.166659 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.0140311 # DEPENDENCYPART_SIBL
(7,5),(7,8),-0.0621246 # DEPENDENCYPART_SIBL
(7,5),(7,9),-0.0233763 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.0351208 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.0481525 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.0568308 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.0268414 # DEPENDENCYPART_SIBL
(7,5),(7,15),-0.00897652 # DEPENDENCYPART_SIBL
(7,5),(7,17),0.0741901 # DEPENDENCYPART_SIBL
(7,5),(7,18),0.00788121 # DEPENDENCYPART_SIBL
(7,5),(7,19),0.0427936 # DEPENDENCYPART_SIBL
(7,5),(7,21),0.0543704 # DEPENDENCYPART_SIBL
(7,5),(7,22),0.0568308 # DEPENDENCYPART_SIBL
(7,5),(7,23),0.00954697 # DEPENDENCYPART_SIBL
(7,5),(7,24),0.0484182 # DEPENDENCYPART_SIBL
(7,5),(7,26),0.198529 # DEPENDENCYPART_SIBL
(7,6),(7,8),-0.113747 # DEPENDENCYPART_SIBL
(7,6),(7,9),-0.0675757 # DEPENDENCYPART_SIBL
(7,6),(7,10),-0.0655919 # DEPENDENCYPART_SIBL
(7,6),(7,11),-0.0371003 # DEPENDENCYPART_SIBL
(7,6),(7,12),-0.0200891 # DEPENDENCYPART_SIBL
(7,6),(7,14),-0.0100188 # DEPENDENCYPART_SIBL
(7,6),(7,15),-0.0986675 # DEPENDENCYPART_SIBL
(7,6),(7,17),-0.0142182 # DEPENDENCYPART_SIBL
(7,6),(7,18),-0.0479169 # DEPENDENCYPART_SIBL
(7,6),(7,19),-0.0148648 # DEPENDENCYPART_SIBL
(7,6),(7,21),-0.0371033 # DEPENDENCYPART_SIBL
(7,6),(7,22),-0.0200891 # DEPENDENCYPART_SIBL
(7,6),(7,23),-0.0250362 # DEPENDENCYPART_SIBL
(7,6),(7,24),-0.0484484 # DEPENDENCYPART_SIBL
(7,6),(7,26),-0.0029763 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.00413063 # DEPENDENCYPART_SIBL
(7,8),(7,10),-0.0853668 # DEPENDENCYPART_SIBL
(7,8),(7,11),-0.107386 # DEPENDENCYPART_SIBL
(7,8),(7,12),-0.0187017 # DEPENDENCYPART_SIBL
(7,8),(7,14),-0.0709017 # DEPENDENCYPART_SIBL
(7,8),(7,15),-0.0136599 # DEPENDENCYPART_SIBL
(7,8),(7,17),-0.105853 # DEPENDENCYPART_SIBL
(7,8),(7,18),-0.0121317 # DEPENDENCYPART_SIBL
(7,8),(7,19),-0.0148194 # DEPENDENCYPART_SIBL
(7,8),(7,21),-0.1064 # DEPENDENCYPART_SIBL
(7,8),(7,22),-0.0187017 # DEPENDENCYPART_SIBL
(7,8),(7,23),-0.0518437 # DEPENDENCYPART_SIBL
(7,8),(7,24),0.0128183 # DEPENDENCYPART_SIBL
(7,8),(7,26),-0.0313209 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.0999343 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.256773 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.0314975 # DEPENDENCYPART_SIBL
(7,9),(7,14),-0.120697 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.0555655 # DEPENDENCYPART_SIBL
(7,9),(7,17),-0.246725 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.0698336 # DEPENDENCYPART_SIBL
(7,9),(7,19),-0.128497 # DEPENDENCYPART_SIBL
(7,9),(7,21),-0.256773 # DEPENDENCYPART_SIBL
(7,9),(7,22),-0.0314975 # DEPENDENCYPART_SIBL
(7,9),(7,23),-0.158081 # DEPENDENCYPART_SIBL
(7,9),(7,24),-0.0824216 # DEPENDENCYPART_SIBL
(7,9),(7,26),-0.0809982 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.16552 # DEPENDENCYPART_SIBL
(7,10),(7,12),0.0182395 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0846776 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.0685272 # DEPENDENCYPART_SIBL
(7,10),(7,17),-0.160791 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.000417929 # DEPENDENCYPART_SIBL
(7,10),(7,19),-0.0295582 # DEPENDENCYPART_SIBL
(7,10),(7,21),-0.16552 # DEPENDENCYPART_SIBL
(7,10),(7,22),0.0182395 # DEPENDENCYPART_SIBL
(7,10),(7,23),-0.156573 # DEPENDENCYPART_SIBL
(7,10),(7,24),-0.0179865 # DEPENDENCYPART_SIBL
(7,10),(7,26),-0.0387032 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.0861843 # DEPENDENCYPART_SIBL
(7,11),(7,14),-0.0925069 # DEPENDENCYPART_SIBL
(7,11),(7,15),-0.0148498 # DEPENDENCYPART_SIBL
(7,11),(7,17),-0.288059 # DEPENDENCYPART_SIBL
(7,11),(7,18),0.0180164 # DEPENDENCYPART_SIBL
(7,11),(7,19),0.0362866 # DEPENDENCYPART_SIBL
(7,11),(7,21),-0.296174 # DEPENDENCYPART_SIBL
(7,11),(7,22),0.0861843 # DEPENDENCYPART_SIBL
(7,11),(7,23),-0.123503 # DEPENDENCYPART_SIBL
(7,11),(7,24),0.0193313 # DEPENDENCYPART_SIBL
(7,11),(7,26),0.0828072 # DEPENDENCYPART_SIBL
(7,12),(7,14),0.141284 # DEPENDENCYPART_SIBL
(7,12),(7,15),0.261337 # DEPENDENCYPART_SIBL
(7,12),(7,17),0.110081 # DEPENDENCYPART_SIBL
(7,12),(7,18),0.545975 # DEPENDENCYPART_SIBL
(7,12),(7,19),0.297679 # DEPENDENCYPART_SIBL
(7,12),(7,21),0.132311 # DEPENDENCYPART_SIBL
(7,12),(7,22),-0.0204198 # DEPENDENCYPART_SIBL
(7,12),(7,23),0.252578 # DEPENDENCYPART_SIBL
(7,12),(7,24),0.38261 # DEPENDENCYPART_SIBL
(7,12),(7,26),0.0333487 # DEPENDENCYPART_SIBL
(7,14),(7,15),-0.0394007 # DEPENDENCYPART_SIBL
(7,14),(7,17),-0.163401 # DEPENDENCYPART_SIBL
(7,14),(7,18),-0.0423328 # DEPENDENCYPART_SIBL
(7,14),(7,19),-0.013621 # DEPENDENCYPART_SIBL
(7,14),(7,21),-0.173495 # DEPENDENCYPART_SIBL
(7,14),(7,22),-0.0109404 # DEPENDENCYPART_SIBL
(7,14),(7,23),-0.121148 # DEPENDENCYPART_SIBL
(7,14),(7,24),0.0125103 # DEPENDENCYPART_SIBL
(7,14),(7,26),0.0120539 # DEPENDENCYPART_SIBL
(7,15),(7,17),-0.188201 # DEPENDENCYPART_SIBL
(7,15),(7,18),-0.104132 # DEPENDENCYPART_SIBL
(7,15),(7,19),-0.0539266 # DEPENDENCYPART_SIBL
(7,15),(7,21),-0.198201 # DEPENDENCYPART_SIBL
(7,15),(7,22),0.103425 # DEPENDENCYPART_SIBL
(7,15),(7,23),-0.19377 # DEPENDENCYPART_SIBL
(7,15),(7,24),0.00748927 # DEPENDENCYPART_SIBL
(7,15),(7,26),0.00356434 # DEPENDENCYPART_SIBL
(7,17),(7,18),0.0114619 # DEPENDENCYPART_SIBL
(7,17),(7,19),0.00152451 # DEPENDENCYPART_SIBL
(7,17),(7,21),-0.297515 # DEPENDENCYPART_SIBL
(7,17),(7,22),0.0537331 # DEPENDENCYPART_SIBL
(7,17),(7,23),-0.126743 # DEPENDENCYPART_SIBL
(7,17),(7,24),0.000888517 # DEPENDENCYPART_SIBL
(7,17),(7,26),0.14779 # DEPENDENCYPART_SIBL
(7,18),(7,19),-0.111867 # DEPENDENCYPART_SIBL
(7,18),(7,21),-0.266621 # DEPENDENCYPART_SIBL
(7,18),(7,22),-0.0498778 # DEPENDENCYPART_SIBL
(7,18),(7,23),-0.320966 # DEPENDENCYPART_SIBL
(7,18),(7,24),-0.0545989 # DEPENDENCYPART_SIBL
(7,18),(7,26),0.0193387 # DEPENDENCYPART_SIBL
(7,19),(7,21),-0.242829 # DEPENDENCYPART_SIBL
(7,19),(7,22),-0.0325556 # DEPENDENCYPART_SIBL
(7,19),(7,23),-0.119186 # DEPENDENCYPART_SIBL
(7,19),(7,24),0.0311838 # DEPENDENCYPART_SIBL
(7,19),(7,26),-0.0366709 # DEPENDENCYPART_SIBL
(7,21),(7,22),0.0717857 # DEPENDENCYPART_SIBL
(7,21),(7,23),-0.123504 # DEPENDENCYPART_SIBL
(7,21),(7,24),0.0174896 # DEPENDENCYPART_SIBL
(7,21),(7,26),0.0857446 # DEPENDENCYPART_SIBL
(7,22),(7,23),0.252578 # DEPENDENCYPART_SIBL
(7,22),(7,24),0.38261 # DEPENDENCYPART_SIBL
(7,22),(7,26),0.0333487 # DEPENDENCYPART_SIBL
(7,23),(7,24),0.0222094 # DEPENDENCYPART_SIBL
(7,23),(7,26),0.0151199 # DEPENDENCYPART_SIBL
(7,24),(7,26),-0.00914796 # DEPENDENCYPART_SIBL
(8,5),(8,9),-0.0597796 # DEPENDENCYPART_SIBL
(8,5),(8,10),-0.0365664 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.122998 # DEPENDENCYPART_SIBL
(8,5),(8,12),0.0536009 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.0698242 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0526575 # DEPENDENCYPART_SIBL
(8,5),(8,17),-0.104441 # DEPENDENCYPART_SIBL
(8,5),(8,26),-0.00772381 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.448693 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.845603 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.1663 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.549052 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.549897 # DEPENDENCYPART_SIBL
(8,9),(8,17),-0.851417 # DEPENDENCYPART_SIBL
(8,9),(8,26),-0.17541 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.55482 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.0292546 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.374141 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.391298 # DEPENDENCYPART_SIBL
(8,10),(8,17),-0.56592 # DEPENDENCYPART_SIBL
(8,10),(8,26),0.0085809 # DEPENDENCYPART_SIBL
(8,11),(8,12),0.112875 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.481953 # DEPENDENCYPART_SIBL
(8,11),(8,15),-0.456024 # DEPENDENCYPART_SIBL
(8,11),(8,17),-0.902633 # DEPENDENCYPART_SIBL
(8,11),(8,26),0.0564532 # DEPENDENCYPART_SIBL
(8,12),(8,14),0.0739697 # DEPENDENCYPART_SIBL
(8,12),(8,15),0.320206 # DEPENDENCYPART_SIBL
(8,12),(8,17),-0.0862511 # DEPENDENCYPART_SIBL
(8,12),(8,26),0.395117 # DEPENDENCYPART_SIBL
(8,14),(8,15),-0.577145 # DEPENDENCYPART_SIBL
(8,14),(8,17),-0.843357 # DEPENDENCYPART_SIBL
(8,14),(8,26),-0.0569606 # DEPENDENCYPART_SIBL
(8,15),(8,17),-0.446309 # DEPENDENCYPART_SIBL
(8,15),(8,26),0.450323 # DEPENDENCYPART_SIBL
(8,17),(8,26),0.0541181 # DEPENDENCYPART_SIBL
(9,8),(9,10),-0.00931755 # DEPENDENCYPART_SIBL
(9,8),(9,12),-0.0665156 # DEPENDENCYPART_SIBL
(9,8),(9,14),-0.0789371 # DEPENDENCYPART_SIBL
(9,8),(9,15),-0.0785189 # DEPENDENCYPART_SIBL
(9,8),(9,22),-0.0665156 # DEPENDENCYPART_SIBL
(9,10),(9,12),0.0722385 # DEPENDENCYPART_SIBL
(9,10),(9,14),0.0555017 # DEPENDENCYPART_SIBL
(9,10),(9,15),-0.0296818 # DEPENDENCYPART_SIBL
(9,10),(9,22),0.0722385 # DEPENDENCYPART_SIBL
(9,12),(9,14),0.517175 # DEPENDENCYPART_SIBL
(9,12),(9,15),0.453903 # DEPENDENCYPART_SIBL
(9,12),(9,22),0.228665 # DEPENDENCYPART_SIBL
(9,14),(9,15),-0.0602358 # DEPENDENCYPART_SIBL
(9,14),(9,22),0.0818182 # DEPENDENCYPART_SIBL
(9,15),(9,22),0.281398 # DEPENDENCYPART_SIBL
(10,5),(10,9),0.0232725 # DEPENDENCYPART_SIBL
(11,1),(11,3),0.0258043 # DEPENDENCYPART_SIBL
(11,1),(11,5),-0.0366518 # DEPENDENCYPART_SIBL
(11,1),(11,6),0.0185108 # DEPENDENCYPART_SIBL
(11,1),(11,7),-0.026514 # DEPENDENCYPART_SIBL
(11,1),(11,8),-0.117735 # DEPENDENCYPART_SIBL
(11,1),(11,9),0.065401 # DEPENDENCYPART_SIBL
(11,1),(11,10),-0.044573 # DEPENDENCYPART_SIBL
(11,1),(11,12),-0.0164861 # DEPENDENCYPART_SIBL
(11,1),(11,13),-0.0148595 # DEPENDENCYPART_SIBL
(11,1),(11,14),-0.0107692 # DEPENDENCYPART_SIBL
(11,1),(11,15),-0.0336292 # DEPENDENCYPART_SIBL
(11,1),(11,16),-0.00976657 # DEPENDENCYPART_SIBL
(11,1),(11,17),-0.0178653 # DEPENDENCYPART_SIBL
(11,1),(11,18),-0.0534185 # DEPENDENCYPART_SIBL
(11,1),(11,19),0.0110555 # DEPENDENCYPART_SIBL
(11,1),(11,21),-0.0182953 # DEPENDENCYPART_SIBL
(11,1),(11,22),-0.0164861 # DEPENDENCYPART_SIBL
(11,1),(11,23),-0.01396 # DEPENDENCYPART_SIBL
(11,1),(11,24),-0.0795151 # DEPENDENCYPART_SIBL
(11,1),(11,25),-0.0138074 # DEPENDENCYPART_SIBL
(11,1),(11,26),0.0462543 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.0308294 # DEPENDENCYPART_SIBL
(11,3),(11,6),0.0580545 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.0752067 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.0206993 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.0944402 # DEPENDENCYPART_SIBL
(11,3),(11,10),-0.0278555 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.0267841 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0069543 # DEPENDENCYPART_SIBL
(11,3),(11,14),0.00478829 # DEPENDENCYPART_SIBL
(11,3),(11,15),-0.0527341 # DEPENDENCYPART_SIBL
(11,3),(11,16),-0.0780738 # DEPENDENCYPART_SIBL
(11,3),(11,17),-0.00980315 # DEPENDENCYPART_SIBL
(11,3),(11,18),-0.0783205 # DEPENDENCYPART_SIBL
(11,3),(11,19),0.00121916 # DEPENDENCYPART_SIBL
(11,3),(11,21),-0.013533 # DEPENDENCYPART_SIBL
(11,3),(11,22),-0.0267841 # DEPENDENCYPART_SIBL
(11,3),(11,23),0.0446337 # DEPENDENCYPART_SIBL
(11,3),(11,24),-0.025832 # DEPENDENCYPART_SIBL
(11,3),(11,25),0.0156719 # DEPENDENCYPART_SIBL
(11,3),(11,26),-0.00880014 # DEPENDENCYPART_SIBL
(11,5),(11,6),0.0579413 # DEPENDENCYPART_SIBL
(11,5),(11,7),-0.0489971 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.0107151 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.153164 # DEPENDENCYPART_SIBL
(11,5),(11,10),-0.0863609 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.00540764 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0188119 # DEPENDENCYPART_SIBL
(11,5),(11,14),-0.00768165 # DEPENDENCYPART_SIBL
(11,5),(11,15),0.00171728 # DEPENDENCYPART_SIBL
(11,5),(11,16),-0.0188697 # DEPENDENCYPART_SIBL
(11,5),(11,17),-0.000444593 # DEPENDENCYPART_SIBL
(11,5),(11,18),-0.0085393 # DEPENDENCYPART_SIBL
(11,5),(11,19),-0.0420811 # DEPENDENCYPART_SIBL
(11,5),(11,21),0.00751771 # DEPENDENCYPART_SIBL
(11,5),(11,22),-0.00540764 # DEPENDENCYPART_SIBL
(11,5),(11,23),0.00904559 # DEPENDENCYPART_SIBL
(11,5),(11,24),-0.000583044 # DEPENDENCYPART_SIBL
(11,5),(11,25),0.00822646 # DEPENDENCYPART_SIBL
(11,5),(11,26),0.0298765 # DEPENDENCYPART_SIBL
(11,6),(11,7),0.00647973 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.0392547 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.0496999 # DEPENDENCYPART_SIBL
(11,6),(11,10),0.0190016 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.0503526 # DEPENDENCYPART_SIBL
(11,6),(11,13),0.0423975 # DEPENDENCYPART_SIBL
(11,6),(11,14),0.0452418 # DEPENDENCYPART_SIBL
(11,6),(11,15),-0.0891036 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.0204636 # DEPENDENCYPART_SIBL
(11,6),(11,17),-0.0236829 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.0739209 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.00230626 # DEPENDENCYPART_SIBL
(11,6),(11,21),-0.0184083 # DEPENDENCYPART_SIBL
(11,6),(11,22),-0.0503526 # DEPENDENCYPART_SIBL
(11,6),(11,23),0.00917863 # DEPENDENCYPART_SIBL
(11,6),(11,24),-0.0746854 # DEPENDENCYPART_SIBL
(11,6),(11,25),0.00724299 # DEPENDENCYPART_SIBL
(11,6),(11,26),0.00809681 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.0841698 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.0579825 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.0297408 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0435903 # DEPENDENCYPART_SIBL
(11,7),(11,13),0.0268771 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.0277801 # DEPENDENCYPART_SIBL
(11,7),(11,15),-0.0962196 # DEPENDENCYPART_SIBL
(11,7),(11,16),-0.0537588 # DEPENDENCYPART_SIBL
(11,7),(11,17),0.0133587 # DEPENDENCYPART_SIBL
(11,7),(11,18),-0.0319308 # DEPENDENCYPART_SIBL
(11,7),(11,19),-0.030573 # DEPENDENCYPART_SIBL
(11,7),(11,21),0.0210161 # DEPENDENCYPART_SIBL
(11,7),(11,22),-0.0435903 # DEPENDENCYPART_SIBL
(11,7),(11,23),-0.035398 # DEPENDENCYPART_SIBL
(11,7),(11,24),-0.0315779 # DEPENDENCYPART_SIBL
(11,7),(11,25),-0.0359957 # DEPENDENCYPART_SIBL
(11,7),(11,26),0.0249645 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.0430438 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.122791 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0816677 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.0493262 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0439749 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.0783709 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.0339721 # DEPENDENCYPART_SIBL
(11,8),(11,17),-0.0430836 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.10939 # DEPENDENCYPART_SIBL
(11,8),(11,19),0.00962152 # DEPENDENCYPART_SIBL
(11,8),(11,21),-0.0494352 # DEPENDENCYPART_SIBL
(11,8),(11,22),-0.0816677 # DEPENDENCYPART_SIBL
(11,8),(11,23),-0.00578477 # DEPENDENCYPART_SIBL
(11,8),(11,24),-0.157862 # DEPENDENCYPART_SIBL
(11,8),(11,25),-0.00533614 # DEPENDENCYPART_SIBL
(11,8),(11,26),0.0263337 # DEPENDENCYPART_SIBL
(11,9),(11,10),0.303939 # DEPENDENCYPART_SIBL
(11,9),(11,12),0.129945 # DEPENDENCYPART_SIBL
(11,9),(11,13),0.287599 # DEPENDENCYPART_SIBL
(11,9),(11,14),0.289592 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0515009 # DEPENDENCYPART_SIBL
(11,9),(11,16),0.0471712 # DEPENDENCYPART_SIBL
(11,9),(11,17),-0.0264512 # DEPENDENCYPART_SIBL
(11,9),(11,18),0.0136184 # DEPENDENCYPART_SIBL
(11,9),(11,19),0.00684042 # DEPENDENCYPART_SIBL
(11,9),(11,21),-0.0195275 # DEPENDENCYPART_SIBL
(11,9),(11,22),0.129945 # DEPENDENCYPART_SIBL
(11,9),(11,23),0.072159 # DEPENDENCYPART_SIBL
(11,9),(11,24),-0.0578925 # DEPENDENCYPART_SIBL
(11,9),(11,25),0.0811578 # DEPENDENCYPART_SIBL
(11,9),(11,26),0.0960103 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.00762703 # DEPENDENCYPART_SIBL
(11,10),(11,13),0.0492424 # DEPENDENCYPART_SIBL
(11,10),(11,14),0.0535121 # DEPENDENCYPART_SIBL
(11,10),(11,15),0.0274402 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0665188 # DEPENDENCYPART_SIBL
(11,10),(11,17),-0.024596 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.0279698 # DEPENDENCYPART_SIBL
(11,10),(11,19),0.0375268 # DEPENDENCYPART_SIBL
(11,10),(11,21),-0.0311566 # DEPENDENCYPART_SIBL
(11,10),(11,22),-0.00762703 # DEPENDENCYPART_SIBL
(11,10),(11,23),0.00470171 # DEPENDENCYPART_SIBL
(11,10),(11,24),-0.0510897 # DEPENDENCYPART_SIBL
(11,10),(11,25),-0.00227795 # DEPENDENCYPART_SIBL
(11,10),(11,26),-0.128173 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.490243 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.520036 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.453748 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.318584 # DEPENDENCYPART_SIBL
(11,12),(11,17),0.639393 # DEPENDENCYPART_SIBL
(11,12),(11,18),0.44851 # DEPENDENCYPART_SIBL
