# _root_ A few years ago , Mrs. Hammack insisted on buying earthquake insurance for this house , which had been converted into apartments .
#goldHeads=3,3,4,8,8,7,8,0,8,9,12,10,12,15,13,15,18,15,18,19,20,21,8,
#predictedHeads=3,3,4,8,8,7,8,0,8,9,12,10,10,15,13,15,18,15,18,19,20,21,8,
(13,10),(10,16),(10,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,16),(10,24),-0.153623 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,18),(10,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,18),(10,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,18),(10,21),-0.144712 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,18),(10,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,18),(10,24),-0.136554 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,19),(10,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,19),(10,21),-0.144712 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,19),(10,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,19),(10,24),-0.136546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,20),(10,21),-0.144712 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,20),(10,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,20),(10,24),-0.136546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,21),(10,23),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,21),(10,24),-0.160158 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,23),(10,24),-0.14475 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,10),(10,9),-0.0264842 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,8),-0.0309163 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,3),0.0534841 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,10),(10,10),(10,-1),-0.0343058 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,10),(10,9),(10,8),-0.0199573 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,9),(10,3),-0.020086 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,9),(10,-1),0.0374659 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,8),(10,3),-0.0207212 # DEPENDENCYPART_GRANDSIBL
(13,10),(10,8),(10,-1),-0.0430605 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,10),(10,3),(10,-1),-0.0581846 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,12),(12,13),-0.152433 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,14),-0.148481 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,15),-0.150186 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,16),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,18),-0.150791 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,19),-0.150765 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,20),-0.150765 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,21),-0.152267 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,24),-0.210574 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,12),(12,13),(12,14),-0.144707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,15),-0.144712 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,16),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,18),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,19),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,20),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,21),-0.145166 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,13),(12,24),-0.110798 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,12),(12,14),(12,15),-0.144789 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,14),(12,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,14),(12,18),-0.144736 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,14),(12,19),-0.144736 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,14),(12,20),-0.144736 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,14),(12,21),-0.144713 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,14),(12,24),-0.0943021 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,15),(12,16),-0.144852 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,15),(12,18),-0.144715 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,15),(12,19),-0.144715 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,15),(12,20),-0.144715 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,15),(12,21),-0.144938 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,15),(12,24),-0.111815 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,16),(12,18),-0.145085 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,16),(12,19),-0.145085 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,16),(12,20),-0.145085 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,16),(12,21),-0.144836 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,16),(12,24),-0.152812 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,18),(12,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,18),(12,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,18),(12,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,18),(12,24),-0.114298 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,19),(12,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,19),(12,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,19),(12,24),-0.114387 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,20),(12,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,20),(12,24),-0.114268 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,21),(12,24),-0.104253 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,12),(12,11),-0.115765 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,10),-0.00652505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,9),-0.0474519 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,8),-0.00345355 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,7),-0.115759 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,6),-0.115759 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,2),0.00355938 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,1),0.021666 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,12),(12,12),(12,-1),0.166017 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,12),(12,11),(12,10),-0.0338217 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,11),(12,9),-0.00485262 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,11),(12,8),-0.0340741 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,11),(12,7),-0.0308866 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,11),(12,6),-0.0308866 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,11),(12,2),-0.0221301 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,11),(12,1),-0.0211626 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,11),(12,-1),-0.0817136 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,10),(12,9),-0.0268382 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,10),(12,8),-0.0199592 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,10),(12,7),-0.0216304 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,10),(12,6),-0.0216304 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,10),(12,2),-0.0208367 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,10),(12,1),-0.019463 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,10),(12,-1),-0.0191867 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,9),(12,8),0.0157384 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,9),(12,7),-0.0282928 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,9),(12,6),-0.0282928 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,9),(12,2),-0.0154093 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,9),(12,1),-0.0199571 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,9),(12,-1),-0.0625948 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,8),(12,7),-0.0216304 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,8),(12,6),-0.0216304 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,8),(12,2),-0.0208367 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,8),(12,1),-0.019463 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,8),(12,-1),-0.0166869 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,7),(12,6),-0.0308866 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,7),(12,2),-0.0221301 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,7),(12,1),-0.0211626 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,7),(12,-1),-0.0817072 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,6),(12,2),-0.0221301 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,6),(12,1),-0.0211626 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,6),(12,-1),-0.0817072 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,2),(12,1),-0.0155614 # DEPENDENCYPART_GRANDSIBL
(13,12),(12,2),(12,-1),-0.0249299 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,12),(12,1),(12,-1),0.0266048 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,14),(14,14),(14,24),-0.0090571 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,14),(14,14),(14,-1),-0.158877 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,15),(15,15),(15,16),-0.0698017 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,18),-0.00755808 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,19),-0.0107892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,20),-0.00744886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,21),-0.0683462 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,22),-0.115757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,23),-0.0468703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,24),0.170218 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,15),(15,16),(15,18),0.0416477 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,16),(15,19),0.0444771 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,16),(15,20),0.0441288 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,16),(15,21),0.0281787 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,16),(15,22),-0.0812522 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,16),(15,23),-0.021676 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,16),(15,24),-0.0175593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,18),(15,19),-0.0199609 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,18),(15,20),-0.0199603 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,18),(15,21),-0.0255571 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,18),(15,22),-0.0215707 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,18),(15,23),-0.0204464 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,18),(15,24),-0.0215698 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,19),(15,20),-0.0199592 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,19),(15,21),-0.0254478 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,19),(15,22),-0.0215707 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,19),(15,23),-0.0204464 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,19),(15,24),-0.0169962 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,20),(15,21),-0.0254478 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,20),(15,22),-0.0215707 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,20),(15,23),-0.0204464 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,20),(15,24),-0.0204949 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,21),(15,22),-0.0260145 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,21),(15,23),-0.0218935 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,21),(15,24),-0.0479944 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,22),(15,23),-0.0207817 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,22),(15,24),-0.082294 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,23),(15,24),-0.0446417 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,15),(15,14),0.0721857 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,13),0.143266 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,12),-0.15016 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,11),-0.15016 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,10),-0.150765 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,15),(15,-1),-0.210181 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,15),(15,14),(15,13),0.107022 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,14),(15,12),-0.144789 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,14),(15,11),-0.144789 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,14),(15,10),-0.144736 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,14),(15,-1),-0.0990085 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,13),(15,12),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,13),(15,11),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,13),(15,10),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,15),(15,13),(15,-1),-0.110828 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,15),(15,12),(15,11),-0.148212 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,12),(15,10),-0.144715 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,12),(15,-1),-0.11175 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,11),(15,10),-0.144715 # DEPENDENCYPART_GRANDSIBL
(13,15),(15,11),(15,-1),-0.109457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,15),(15,10),(15,-1),-0.119189 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,16),(16,16),(16,24),-0.0149316 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,16),(16,16),(16,-1),-0.141204 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,18),(18,18),(18,19),-0.0284017 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,20),-0.0253823 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,21),-0.0317766 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,22),0.0511282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,23),-0.0220538 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,24),-0.0295197 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,18),(18,19),(18,20),-0.0201445 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,21),-0.0257126 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,22),-0.0207212 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,23),-0.0197475 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,19),(18,24),-0.0452663 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,20),(18,21),-0.0257126 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,20),(18,22),-0.0207212 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,20),(18,23),-0.0197475 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,20),(18,24),-0.0400399 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,21),(18,22),-0.0224311 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,21),(18,23),-0.0194455 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,21),(18,24),0.034349 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,22),(18,23),-0.0229801 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,22),(18,24),-0.0695551 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,23),(18,24),-0.0256362 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,18),(18,17),0.0917614 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,16),0.0946414 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,15),0.088886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,14),0.0843683 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,13),0.119208 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,12),-0.153377 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,10),-0.124669 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,9),-0.145928 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,8),-0.124669 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,7),-0.153377 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,4),-0.144764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,3),-0.154077 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,18),(18,-1),-0.161322 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,18),(18,17),(18,16),0.109536 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,15),0.109539 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,14),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,13),0.109504 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,17),(18,-1),-0.166913 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,16),(18,15),0.0883259 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,14),0.10954 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,13),0.10232 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,10),-0.144943 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,9),-0.147192 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,8),-0.144943 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,16),(18,-1),-0.153623 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,15),(18,14),0.103192 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,13),0.105005 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,12),-0.144732 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,10),-0.144722 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,9),-0.146682 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,8),-0.144722 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,7),-0.144732 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,3),-0.144739 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,15),(18,-1),-0.151253 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,14),(18,13),0.108456 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,14),(18,12),-0.144706 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,14),(18,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,14),(18,9),-0.144705 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,14),(18,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,14),(18,7),-0.144706 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,14),(18,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,14),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,14),(18,3),-0.144706 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,14),(18,-1),-0.174162 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,13),(18,12),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,13),(18,10),-0.144729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,13),(18,9),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,13),(18,8),-0.144729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,13),(18,7),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,13),(18,5),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,13),(18,4),-0.144906 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,13),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(13,18),(18,13),(18,-1),-0.158493 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(13,18),(18,12),(18,10),-0.144722 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,12),(18,9),-0.146682 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,12),(18,8),-0.144722 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,12),(18,7),-0.144732 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,12),(18,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,12),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,12),(18,3),-0.144739 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,12),(18,-1),-0.151244 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,10),(18,9),-0.144712 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,10),(18,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,10),(18,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,10),(18,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,10),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,10),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,10),(18,-1),-0.136355 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,9),(18,8),-0.144729 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,9),(18,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,9),(18,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,9),(18,4),-0.144906 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,9),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,9),(18,-1),-0.157783 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,8),(18,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,8),(18,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,8),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,8),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,8),(18,-1),-0.136342 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,7),(18,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,7),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,7),(18,3),-0.144739 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,7),(18,-1),-0.151244 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(13,18),(18,5),(18,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(13,18),(18,5),(18,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
