# _root_ Armstrong , which has faced a takeover threat from the Belzberg family of Canada since July , said that disposing of the carpet business would improve `` total financial performance . ''
#goldHeads=18,1,4,1,4,8,8,5,8,12,12,9,12,13,5,15,1,0,25,25,20,24,24,21,18,25,26,30,30,26,18,18,
#predictedHeads=18,1,4,1,4,8,8,5,8,12,12,9,12,13,5,15,1,0,25,25,20,24,24,21,18,25,26,30,30,26,18,18,
(18,14),(18,-1),-0.848272 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,13),(18,12),-0.92234 # DEPENDENCYPART_NEXTSIBL
(18,13),(18,11),-1.27066 # DEPENDENCYPART_NEXTSIBL
(18,13),(18,9),-1.58992 # DEPENDENCYPART_NEXTSIBL
(18,13),(18,8),-1.39241 # DEPENDENCYPART_NEXTSIBL
(18,13),(18,7),-1.51548 # DEPENDENCYPART_NEXTSIBL
(18,13),(18,6),-1.80152 # DEPENDENCYPART_NEXTSIBL
(18,13),(18,5),-1.57712 # DEPENDENCYPART_NEXTSIBL
(18,13),(18,4),-1.60205 # DEPENDENCYPART_NEXTSIBL
(18,13),(18,3),-1.17353 # DEPENDENCYPART_NEXTSIBL
(18,13),(18,2),-1.79557 # DEPENDENCYPART_NEXTSIBL
(18,13),(18,1),-1.42342 # DEPENDENCYPART_NEXTSIBL
(18,13),(18,-1),-0.867326 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,12),(18,11),-0.864259 # DEPENDENCYPART_NEXTSIBL
(18,12),(18,9),-0.850006 # DEPENDENCYPART_NEXTSIBL
(18,12),(18,8),-1.41579 # DEPENDENCYPART_NEXTSIBL
(18,12),(18,7),-1.35628 # DEPENDENCYPART_NEXTSIBL
(18,12),(18,6),-1.18134 # DEPENDENCYPART_NEXTSIBL
(18,12),(18,5),-1.24864 # DEPENDENCYPART_NEXTSIBL
(18,12),(18,4),-1.25153 # DEPENDENCYPART_NEXTSIBL
(18,12),(18,3),-1.66101 # DEPENDENCYPART_NEXTSIBL
(18,12),(18,2),-1.4832 # DEPENDENCYPART_NEXTSIBL
(18,12),(18,1),-1.42869 # DEPENDENCYPART_NEXTSIBL
(18,12),(18,-1),-1.13048 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,11),(18,9),-0.802317 # DEPENDENCYPART_NEXTSIBL
(18,11),(18,8),-1.44322 # DEPENDENCYPART_NEXTSIBL
(18,11),(18,7),-1.30138 # DEPENDENCYPART_NEXTSIBL
(18,11),(18,6),-1.22459 # DEPENDENCYPART_NEXTSIBL
(18,11),(18,5),-1.23761 # DEPENDENCYPART_NEXTSIBL
(18,11),(18,4),-1.2749 # DEPENDENCYPART_NEXTSIBL
(18,11),(18,3),-1.73181 # DEPENDENCYPART_NEXTSIBL
(18,11),(18,2),-1.95401 # DEPENDENCYPART_NEXTSIBL
(18,11),(18,1),-1.38559 # DEPENDENCYPART_NEXTSIBL
(18,11),(18,-1),-1.10664 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,9),(18,8),-0.796924 # DEPENDENCYPART_NEXTSIBL
(18,9),(18,7),-1.09733 # DEPENDENCYPART_NEXTSIBL
(18,9),(18,6),-1.37497 # DEPENDENCYPART_NEXTSIBL
(18,9),(18,5),-1.32012 # DEPENDENCYPART_NEXTSIBL
(18,9),(18,4),-1.38111 # DEPENDENCYPART_NEXTSIBL
(18,9),(18,3),-1.05603 # DEPENDENCYPART_NEXTSIBL
(18,9),(18,2),-1.47257 # DEPENDENCYPART_NEXTSIBL
(18,9),(18,1),-1.18916 # DEPENDENCYPART_NEXTSIBL
(18,9),(18,-1),-0.890747 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,8),(18,7),-0.786473 # DEPENDENCYPART_NEXTSIBL
(18,8),(18,6),-0.577055 # DEPENDENCYPART_NEXTSIBL
(18,8),(18,5),-1.10864 # DEPENDENCYPART_NEXTSIBL
(18,8),(18,4),-1.16844 # DEPENDENCYPART_NEXTSIBL
(18,8),(18,3),-1.35669 # DEPENDENCYPART_NEXTSIBL
(18,8),(18,2),-1.25768 # DEPENDENCYPART_NEXTSIBL
(18,8),(18,1),-1.28326 # DEPENDENCYPART_NEXTSIBL
(18,8),(18,-1),-0.777303 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,7),(18,6),-0.657576 # DEPENDENCYPART_NEXTSIBL
(18,7),(18,5),-1.13517 # DEPENDENCYPART_NEXTSIBL
(18,7),(18,4),-1.29134 # DEPENDENCYPART_NEXTSIBL
(18,7),(18,3),-1.53342 # DEPENDENCYPART_NEXTSIBL
(18,7),(18,2),-1.62118 # DEPENDENCYPART_NEXTSIBL
(18,7),(18,1),-1.49131 # DEPENDENCYPART_NEXTSIBL
(18,7),(18,-1),-1.23679 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,6),(18,5),-1.17056 # DEPENDENCYPART_NEXTSIBL
(18,6),(18,4),-1.39796 # DEPENDENCYPART_NEXTSIBL
(18,6),(18,3),-1.28448 # DEPENDENCYPART_NEXTSIBL
(18,6),(18,2),-1.26916 # DEPENDENCYPART_NEXTSIBL
(18,6),(18,1),-1.38558 # DEPENDENCYPART_NEXTSIBL
(18,6),(18,-1),-0.895487 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,5),(18,4),-1.34476 # DEPENDENCYPART_NEXTSIBL
(18,5),(18,3),-0.908808 # DEPENDENCYPART_NEXTSIBL
(18,5),(18,2),-1.10056 # DEPENDENCYPART_NEXTSIBL
(18,5),(18,1),-1.24218 # DEPENDENCYPART_NEXTSIBL
(18,5),(18,-1),-0.965003 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,4),(18,3),-0.470345 # DEPENDENCYPART_NEXTSIBL
(18,4),(18,2),-0.970929 # DEPENDENCYPART_NEXTSIBL
(18,4),(18,1),-1.02979 # DEPENDENCYPART_NEXTSIBL
(18,4),(18,-1),-0.894638 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,3),(18,2),-0.322054 # DEPENDENCYPART_NEXTSIBL
(18,3),(18,1),-0.644245 # DEPENDENCYPART_NEXTSIBL
(18,3),(18,-1),-0.0560465 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,2),(18,1),-0.962502 # DEPENDENCYPART_NEXTSIBL
(18,2),(18,-1),-1.44604 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,1),(18,-1),-0.483752 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,19),(19,20),-0.656499 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,21),-0.367186 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,33),-0.26054 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(19,20),(19,21),-1.02052 # DEPENDENCYPART_NEXTSIBL
(19,20),(19,33),-0.218575 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,21),(19,33),-0.463817 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,19),(19,-1),-0.268536 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,20),(20,21),-0.581074 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,22),-1.55457 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,23),-0.520668 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,24),-0.391014 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,25),-0.415795 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,26),-0.603321 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,27),-0.774721 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,28),-0.518965 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,29),-0.183187 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,30),-0.215479 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,31),-1.52267 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,32),-0.77185 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,33),-0.811578 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,21),(20,22),-0.913262 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,23),-0.598506 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,24),-0.448895 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,25),-0.707207 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,26),-0.702839 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,27),-0.889215 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,28),-0.943858 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,29),-0.904606 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,30),-0.559537 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,31),-0.41502 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,32),-0.934848 # DEPENDENCYPART_NEXTSIBL
(20,21),(20,33),-0.461885 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,22),(20,23),-1.021 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,24),-1.2061 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,25),-1.18044 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,26),-1.25052 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,27),-1.36451 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,28),-1.34456 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,29),-1.36226 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,30),-1.41491 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,31),-1.3629 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,32),-1.35903 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,33),-0.834942 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,23),(20,24),-0.988754 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,25),-1.07683 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,26),-1.15776 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,27),-1.20844 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,28),-1.11087 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,29),-1.08682 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,30),-1.4515 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,31),-0.934529 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,32),-1.11117 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,33),-0.604805 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,24),(20,25),-0.966726 # DEPENDENCYPART_NEXTSIBL
(20,24),(20,26),-1.01245 # DEPENDENCYPART_NEXTSIBL
(20,24),(20,27),-1.1388 # DEPENDENCYPART_NEXTSIBL
(20,24),(20,28),-0.995611 # DEPENDENCYPART_NEXTSIBL
(20,24),(20,29),-1.00531 # DEPENDENCYPART_NEXTSIBL
(20,24),(20,30),-1.33439 # DEPENDENCYPART_NEXTSIBL
(20,24),(20,31),-0.842899 # DEPENDENCYPART_NEXTSIBL
(20,24),(20,32),-1.03959 # DEPENDENCYPART_NEXTSIBL
(20,24),(20,33),-0.255436 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,25),(20,26),-0.860598 # DEPENDENCYPART_NEXTSIBL
(20,25),(20,27),-0.842445 # DEPENDENCYPART_NEXTSIBL
(20,25),(20,28),-0.826373 # DEPENDENCYPART_NEXTSIBL
(20,25),(20,29),-0.809452 # DEPENDENCYPART_NEXTSIBL
(20,25),(20,30),-0.806008 # DEPENDENCYPART_NEXTSIBL
(20,25),(20,31),0.0929595 # DEPENDENCYPART_NEXTSIBL
(20,25),(20,32),-0.7123 # DEPENDENCYPART_NEXTSIBL
(20,25),(20,33),0.00766631 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,26),(20,27),-0.940934 # DEPENDENCYPART_NEXTSIBL
(20,26),(20,28),-1.11593 # DEPENDENCYPART_NEXTSIBL
(20,26),(20,29),-1.07555 # DEPENDENCYPART_NEXTSIBL
(20,26),(20,30),-0.913896 # DEPENDENCYPART_NEXTSIBL
(20,26),(20,31),-0.160346 # DEPENDENCYPART_NEXTSIBL
(20,26),(20,32),-0.745316 # DEPENDENCYPART_NEXTSIBL
(20,26),(20,33),-0.402727 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,27),(20,28),-0.485686 # DEPENDENCYPART_NEXTSIBL
(20,27),(20,29),-0.583036 # DEPENDENCYPART_NEXTSIBL
(20,27),(20,30),-0.277547 # DEPENDENCYPART_NEXTSIBL
(20,27),(20,31),-1.25703 # DEPENDENCYPART_NEXTSIBL
(20,27),(20,32),-1.13008 # DEPENDENCYPART_NEXTSIBL
(20,27),(20,33),-0.810754 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,28),(20,29),-0.973274 # DEPENDENCYPART_NEXTSIBL
(20,28),(20,30),-1.07806 # DEPENDENCYPART_NEXTSIBL
(20,28),(20,31),-0.943082 # DEPENDENCYPART_NEXTSIBL
(20,28),(20,32),-0.807852 # DEPENDENCYPART_NEXTSIBL
(20,28),(20,33),-0.49476 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,29),(20,30),-0.838719 # DEPENDENCYPART_NEXTSIBL
(20,29),(20,31),-0.807208 # DEPENDENCYPART_NEXTSIBL
(20,29),(20,32),-0.752282 # DEPENDENCYPART_NEXTSIBL
(20,29),(20,33),-0.961955 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,30),(20,31),-0.5961 # DEPENDENCYPART_NEXTSIBL
(20,30),(20,32),-0.686186 # DEPENDENCYPART_NEXTSIBL
(20,30),(20,33),-0.392073 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,31),(20,32),-0.196124 # DEPENDENCYPART_NEXTSIBL
(20,31),(20,33),-2.14906 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,32),(20,33),-1.41166 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,20),(20,19),-1.118 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,-1),-0.765388 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,19),(20,-1),0.140778 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,21),(21,22),-1.58464 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,23),-0.490829 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,24),-0.371797 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,25),-0.537383 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,26),-0.542697 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,27),-0.652658 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,28),-0.643744 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,30),-0.191992 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,33),-1.03028 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(21,22),(21,23),-1.01502 # DEPENDENCYPART_NEXTSIBL
(21,22),(21,24),-1.19702 # DEPENDENCYPART_NEXTSIBL
(21,22),(21,25),-1.19661 # DEPENDENCYPART_NEXTSIBL
(21,22),(21,26),-1.21466 # DEPENDENCYPART_NEXTSIBL
(21,22),(21,27),-1.34167 # DEPENDENCYPART_NEXTSIBL
(21,22),(21,28),-1.33923 # DEPENDENCYPART_NEXTSIBL
(21,22),(21,30),-1.41034 # DEPENDENCYPART_NEXTSIBL
(21,22),(21,33),-0.880429 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,23),(21,24),-1.1756 # DEPENDENCYPART_NEXTSIBL
(21,23),(21,25),-1.1136 # DEPENDENCYPART_NEXTSIBL
(21,23),(21,26),-1.15013 # DEPENDENCYPART_NEXTSIBL
(21,23),(21,27),-1.23001 # DEPENDENCYPART_NEXTSIBL
(21,23),(21,28),-1.12913 # DEPENDENCYPART_NEXTSIBL
(21,23),(21,30),-1.64454 # DEPENDENCYPART_NEXTSIBL
(21,23),(21,33),-0.415031 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,24),(21,25),-1.00026 # DEPENDENCYPART_NEXTSIBL
(21,24),(21,26),-0.998065 # DEPENDENCYPART_NEXTSIBL
(21,24),(21,27),-1.15726 # DEPENDENCYPART_NEXTSIBL
(21,24),(21,28),-1.01014 # DEPENDENCYPART_NEXTSIBL
(21,24),(21,30),-1.52324 # DEPENDENCYPART_NEXTSIBL
(21,24),(21,33),-0.061429 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,25),(21,26),-0.861189 # DEPENDENCYPART_NEXTSIBL
(21,25),(21,27),-0.852729 # DEPENDENCYPART_NEXTSIBL
(21,25),(21,28),-0.855391 # DEPENDENCYPART_NEXTSIBL
(21,25),(21,30),-0.857612 # DEPENDENCYPART_NEXTSIBL
(21,25),(21,33),-0.135344 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,26),(21,27),-0.924622 # DEPENDENCYPART_NEXTSIBL
(21,26),(21,28),-1.09672 # DEPENDENCYPART_NEXTSIBL
(21,26),(21,30),-0.927175 # DEPENDENCYPART_NEXTSIBL
(21,26),(21,33),-0.470113 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,27),(21,28),-0.480848 # DEPENDENCYPART_NEXTSIBL
(21,27),(21,30),-0.25174 # DEPENDENCYPART_NEXTSIBL
(21,27),(21,33),-0.935039 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,28),(21,30),-1.07848 # DEPENDENCYPART_NEXTSIBL
(21,28),(21,33),-0.567914 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,30),(21,33),-0.200825 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,21),(21,20),-0.668627 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,19),-1.19594 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,-1),-0.31512 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(21,20),(21,19),-0.285253 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,-1),-0.288264 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,19),(21,-1),-0.172149 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,22),(22,23),-0.724983 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,26),-0.634741 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,33),-0.218497 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(22,23),(22,26),-1.14578 # DEPENDENCYPART_NEXTSIBL
(22,23),(22,33),-0.691169 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,26),(22,33),-0.458611 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,22),(22,-1),-0.352389 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(23,23),(23,24),-0.669688 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,25),-0.463264 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,26),-0.532707 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,30),-0.458531 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,33),-0.498476 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(23,24),(23,25),-0.966674 # DEPENDENCYPART_NEXTSIBL
(23,24),(23,26),-0.939632 # DEPENDENCYPART_NEXTSIBL
(23,24),(23,30),-1.41162 # DEPENDENCYPART_NEXTSIBL
(23,24),(23,33),-0.305112 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,25),(23,26),-0.774444 # DEPENDENCYPART_NEXTSIBL
(23,25),(23,30),-0.80861 # DEPENDENCYPART_NEXTSIBL
(23,25),(23,33),-0.0420469 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,26),(23,30),-0.879601 # DEPENDENCYPART_NEXTSIBL
(23,26),(23,33),-0.421652 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,30),(23,33),-0.42141 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,23),(23,22),-1.17443 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,21),-0.442484 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,-1),-0.526425 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(23,22),(23,21),-0.726982 # DEPENDENCYPART_NEXTSIBL
(23,22),(23,-1),-0.0816722 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,21),(23,-1),-0.461173 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(24,24),(24,25),-0.473526 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(24,24),(24,26),-0.527191 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(24,24),(24,30),-0.463195 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(24,24),(24,33),-0.460862 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(24,25),(24,26),-0.782489 # DEPENDENCYPART_NEXTSIBL
(24,25),(24,30),-0.813972 # DEPENDENCYPART_NEXTSIBL
(24,25),(24,33),-0.0640784 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(24,26),(24,30),-0.875418 # DEPENDENCYPART_NEXTSIBL
(24,26),(24,33),-0.422256 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(24,30),(24,33),-0.41202 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(24,24),(24,23),-0.601337 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(24,24),(24,22),-1.18125 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(24,24),(24,21),-0.434943 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(24,24),(24,20),-0.713868 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(24,24),(24,19),-1.14315 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(24,24),(24,-1),-0.519992 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(24,23),(24,22),-0.227506 # DEPENDENCYPART_NEXTSIBL
(24,23),(24,21),-0.772089 # DEPENDENCYPART_NEXTSIBL
(24,23),(24,20),-0.880663 # DEPENDENCYPART_NEXTSIBL
(24,23),(24,19),-1.23528 # DEPENDENCYPART_NEXTSIBL
(24,23),(24,-1),-0.573859 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(24,22),(24,21),-0.72023 # DEPENDENCYPART_NEXTSIBL
(24,22),(24,20),-1.16496 # DEPENDENCYPART_NEXTSIBL
(24,22),(24,19),-0.955524 # DEPENDENCYPART_NEXTSIBL
(24,22),(24,-1),-0.0812073 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(24,21),(24,20),-1.05032 # DEPENDENCYPART_NEXTSIBL
(24,21),(24,19),-1.24206 # DEPENDENCYPART_NEXTSIBL
(24,21),(24,-1),-0.458297 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(24,20),(24,19),-0.325219 # DEPENDENCYPART_NEXTSIBL
(24,20),(24,-1),-0.269702 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(24,19),(24,-1),-0.193679 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,25),(25,26),-0.4694 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,27),-0.676475 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,28),-0.674349 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,30),-0.327262 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,31),-1.32285 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,32),-0.751945 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,33),-0.847095 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(25,26),(25,27),-0.832267 # DEPENDENCYPART_NEXTSIBL
(25,26),(25,28),-1.00948 # DEPENDENCYPART_NEXTSIBL
(25,26),(25,30),-0.815742 # DEPENDENCYPART_NEXTSIBL
(25,26),(25,31),0.136689 # DEPENDENCYPART_NEXTSIBL
(25,26),(25,32),-0.603118 # DEPENDENCYPART_NEXTSIBL
(25,26),(25,33),-0.0854761 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,27),(25,28),-0.501652 # DEPENDENCYPART_NEXTSIBL
(25,27),(25,30),-0.289107 # DEPENDENCYPART_NEXTSIBL
(25,27),(25,31),-1.14087 # DEPENDENCYPART_NEXTSIBL
(25,27),(25,32),-1.08486 # DEPENDENCYPART_NEXTSIBL
(25,27),(25,33),-0.885744 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,28),(25,30),-1.09035 # DEPENDENCYPART_NEXTSIBL
(25,28),(25,31),-0.932177 # DEPENDENCYPART_NEXTSIBL
(25,28),(25,32),-0.800163 # DEPENDENCYPART_NEXTSIBL
(25,28),(25,33),-0.583558 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,30),(25,31),-0.566458 # DEPENDENCYPART_NEXTSIBL
(25,30),(25,32),-0.702965 # DEPENDENCYPART_NEXTSIBL
(25,30),(25,33),-0.490826 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,31),(25,32),-0.147613 # DEPENDENCYPART_NEXTSIBL
(25,31),(25,33),-2.04595 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,32),(25,33),-1.29035 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,25),(25,24),-0.367981 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,23),-0.444326 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,22),-1.27245 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,21),-0.585301 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,20),-0.661507 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,19),-1.1243 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,18),0.0175873 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,17),-1.71795 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,16),-0.342347 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,15),-0.841806 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,14),-0.015975 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,13),-0.424305 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,12),0.000639424 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,11),-0.249511 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,9),-0.667658 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,8),0.0906262 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,7),-0.274845 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,5),-0.542519 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,4),-0.585136 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,2),-1.26586 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,-1),-0.844494 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
