# _root_ Simulated golf games , in which players hit golf balls into nets , have been installed at airports in Denver and Pittsburgh ... .
#goldHeads=3,3,14,3,8,5,8,3,10,8,8,11,3,0,14,15,16,17,18,21,19,21,14,14,
#predictedHeads=3,3,14,3,8,5,8,3,10,8,8,11,3,0,14,15,16,17,18,21,19,21,14,14,
(1,8),(8,14),(8,21),-0.042203 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,14),(8,23),-0.0421872 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,14),(8,24),-0.0435475 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,14),(8,25),-0.023098 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,15),(8,16),-0.042514 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,15),(8,17),-0.0526998 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,15),(8,19),-0.0560523 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,15),(8,21),-0.042203 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,15),(8,23),-0.0421872 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,15),(8,24),-0.0435475 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,15),(8,25),-0.0348388 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,16),(8,17),-0.052333 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,16),(8,19),-0.0556855 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,16),(8,21),-0.042203 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,16),(8,23),-0.0421872 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,16),(8,24),-0.0435475 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,16),(8,25),-0.0304915 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,17),(8,19),-0.0278281 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,17),(8,21),-0.0438948 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,17),(8,23),-0.0368234 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,17),(8,24),-0.0429702 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,17),(8,25),-0.0447015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,19),(8,21),-0.0439286 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,19),(8,23),-0.0369882 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,19),(8,24),-0.0434038 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,19),(8,25),-0.0337115 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,21),(8,23),0.0824159 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,21),(8,24),0.125631 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,21),(8,25),-0.0662827 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,23),(8,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,23),(8,25),-0.042538 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,24),(8,25),-0.0456856 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,8),(8,7),0.135354 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,6),0.131378 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,5),0.1297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,4),0.104434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,3),0.135356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,2),0.135356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,8),(8,8),(8,1),0.121861 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,8),(8,8),(8,-1),-0.222808 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,8),(8,7),(8,6),0.119145 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,7),(8,5),0.129896 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,7),(8,4),0.102072 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,7),(8,3),0.125092 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,7),(8,2),0.125092 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,7),(8,1),0.118906 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,7),(8,-1),-0.118577 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,6),(8,5),0.119142 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,6),(8,4),0.119151 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,6),(8,3),0.11914 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,6),(8,2),0.11914 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,6),(8,1),0.119005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,6),(8,-1),-0.102209 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,5),(8,4),0.113564 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,5),(8,3),0.11495 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,5),(8,2),0.11495 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,5),(8,1),0.118998 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,5),(8,-1),-0.0531764 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,4),(8,3),0.113809 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,4),(8,2),0.113809 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,4),(8,1),0.116606 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,4),(8,-1),-0.140347 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,3),(8,2),0.125095 # DEPENDENCYPART_GRANDSIBL
(1,8),(8,3),(8,1),0.118906 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,3),(8,-1),-0.118578 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,2),(8,1),0.118906 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,2),(8,-1),-0.118577 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,8),(8,1),(8,-1),-0.121695 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,2),-0.126863 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,8),-0.135911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,25),0.00835104 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,2),(1,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,8),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,2),(1,25),-0.1213 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,4),(1,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,1),(1,4),(1,25),-0.111979 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,8),(1,25),-0.144888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,1),(1,1),(1,-1),0.0355064 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,3),(3,4),0.138879 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,5),-0.0474869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,7),-0.182988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,8),0.0481627 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,10),-0.182988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,12),-0.182988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,13),0.138879 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,14),0.0415496 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,15),0.0466118 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,16),0.0466285 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,23),-0.0100936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,24),0.0853674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,25),0.103036 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,4),(3,5),-0.0286937 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,7),0.133877 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,8),-0.118323 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,10),0.133877 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,12),0.133877 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,13),-0.0496519 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,14),-0.123044 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,15),-0.117144 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,16),-0.117144 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,23),-0.0494021 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,24),-0.0439761 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,25),-0.0437622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,5),(3,7),-0.0428613 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,8),-0.0432517 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,10),-0.0428613 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,12),-0.0428613 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,13),-0.067616 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,14),-0.0436786 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,15),-0.0432538 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,16),-0.0432516 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,23),-0.0311296 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,24),-0.0454354 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,25),-0.133631 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,7),(3,8),-0.0429856 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,10),-0.0133061 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,12),-0.0133061 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,13),-0.0517586 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,14),-0.0429864 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,15),-0.0429856 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,16),-0.0429856 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,23),-0.038918 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,24),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,25),0.00257312 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,8),(3,10),-0.0484081 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,12),-0.0484081 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,13),-0.0561725 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,14),-0.0450649 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,15),-0.0450654 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,16),-0.0450649 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,23),-0.0315417 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,24),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,25),-0.0122498 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,10),(3,12),-0.0133061 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,13),-0.0517586 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,14),-0.0429864 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,15),-0.0429856 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,16),-0.0429856 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,23),-0.038918 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,24),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,25),0.00257318 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,12),(3,13),-0.0517586 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,12),(3,14),-0.0429864 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,12),(3,15),-0.0429856 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,12),(3,16),-0.0429856 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,12),(3,23),-0.038918 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,12),(3,24),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,12),(3,25),0.00257318 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,13),(3,14),-0.123044 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,13),(3,15),-0.117144 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,13),(3,16),-0.117144 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,13),(3,23),-0.0494021 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,13),(3,24),-0.0439761 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,13),(3,25),-0.0437622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,14),(3,15),-0.045061 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,14),(3,16),-0.0450605 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,14),(3,23),-0.0315417 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,14),(3,24),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,14),(3,25),-0.0250832 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,15),(3,16),-0.0450603 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,15),(3,23),-0.0315417 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,15),(3,24),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,15),(3,25),-0.0126584 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,16),(3,23),-0.0315417 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,16),(3,24),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,16),(3,25),-0.0126378 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,23),(3,24),-0.042813 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,23),(3,25),0.0139646 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,24),(3,25),0.0957853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,3),(3,2),0.150869 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,3),(3,1),-0.126121 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,-1),0.0213055 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,2),(3,1),-0.125126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,2),(3,-1),-0.144005 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,1),(3,-1),-0.157578 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,4),(4,5),-0.0588733 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,4),(4,4),(4,25),-0.0107392 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,5),(4,25),-0.0625933 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,4),(4,-1),-0.0956097 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,5),(5,6),-0.137305 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,7),0.0883468 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,8),-0.0248819 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,9),0.0869395 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,10),0.085599 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,11),-0.0698255 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,12),0.085599 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,25),-0.362224 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,6),(5,7),-0.045526 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,8),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,9),-0.045526 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,10),-0.045526 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,11),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,12),-0.045526 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,25),-0.14591 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,7),(5,8),-0.0519586 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,9),-0.0842748 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,10),-0.0842748 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,11),-0.04576 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,12),-0.0842748 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,25),0.0400944 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,8),(5,9),-0.044723 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,10),-0.044723 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,11),-0.0435573 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,12),-0.044723 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,8),(5,25),-0.0126015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,9),(5,10),-0.0842748 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,11),-0.04576 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,12),-0.0842748 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,25),0.0386865 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,10),(5,11),-0.04576 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,12),-0.0842748 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,25),0.037346 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,11),(5,12),-0.0485445 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,11),(5,25),-0.101473 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,12),(5,25),0.037346 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,5),(5,4),0.105855 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,3),0.06125 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,2),0.0612487 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,5),(5,-1),-0.0758404 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,4),(5,3),0.116221 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,4),(5,2),0.116221 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,4),(5,-1),-0.11174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,3),(5,2),0.118903 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,3),(5,-1),-0.141654 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,2),(5,-1),-0.141656 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,7),(7,7),(7,8),0.0484583 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,10),-0.183055 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,11),-0.0414213 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,13),0.138962 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,14),0.0418452 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,25),0.0970328 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,7),(7,8),(7,10),-0.0484081 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,11),-0.0510821 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,13),-0.0559389 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,14),-0.0450649 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,25),-0.0121879 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,10),(7,11),-0.0332177 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,10),(7,13),-0.0517423 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,10),(7,14),-0.0429864 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,10),(7,25),0.0028218 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,11),(7,13),-0.0735989 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,11),(7,14),-0.0393068 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,11),(7,25),-0.0789304 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,13),(7,14),-0.123044 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,13),(7,25),-0.0437622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,14),(7,25),-0.0250213 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,7),(7,6),0.111996 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,5),0.207744 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,4),0.165794 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,3),0.15215 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,2),0.151272 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,7),(7,7),(7,1),-0.126121 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,-1),0.0223096 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,7),(7,6),(7,5),0.119164 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,6),(7,4),0.119145 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,6),(7,3),0.119164 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,6),(7,2),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,6),(7,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,6),(7,-1),-0.147909 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,5),(7,4),0.112996 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,5),(7,3),0.116268 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,5),(7,2),0.116268 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,5),(7,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,5),(7,-1),-0.0813959 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,4),(7,3),0.112775 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,4),(7,2),0.112774 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,4),(7,1),-0.12731 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,4),(7,-1),-0.00337374 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,3),(7,2),0.111193 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,3),(7,1),-0.125126 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,3),(7,-1),-0.143135 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,2),(7,1),-0.125126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,2),(7,-1),-0.144008 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,7),(7,1),(7,-1),-0.157495 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,8),(8,9),-0.0292131 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,10),-0.0292131 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,11),-0.0459165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,12),-0.0292131 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,13),-0.0777344 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,14),-0.03778 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,15),-0.0594624 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,16),-0.0384303 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,17),-0.0149879 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,19),-0.00376099 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,21),-0.0766572 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,23),-0.0353851 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,24),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,25),0.0726897 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,8),(8,9),(8,10),-0.0342202 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,11),0.00914808 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,12),-0.0342202 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,13),-0.0662857 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,14),-0.0532748 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,15),-0.0538322 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,16),-0.0538322 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,17),-0.00546323 # DEPENDENCYPART_GRANDSIBL
