# _root_ But the guidelines could `` make it impossible to commercialize research , '' says Kenneth Smith , associate provost and vice president for research at Massachusetts Institute of Technology .
#goldHeads=4,3,4,14,4,4,10,10,10,6,10,14,14,0,16,14,16,19,20,16,22,20,22,23,20,27,25,27,28,14,
#predictedHeads=4,3,4,14,4,4,10,10,10,6,10,14,14,0,16,14,16,19,20,16,22,20,22,23,22,27,25,27,28,14,
(27,25),(25,27),-1.21461 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(27,25),(25,28),-0.34518 # DEPENDENCYPART_GRANDPAR
(27,25),(25,29),-0.445172 # DEPENDENCYPART_GRANDPAR
(27,26),(26,27),-1.17182 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(27,26),(26,28),-0.351884 # DEPENDENCYPART_GRANDPAR
(27,26),(26,29),-0.402369 # DEPENDENCYPART_GRANDPAR
(27,28),(28,29),0.321542 # DEPENDENCYPART_GRANDPAR
(27,29),(29,26),-0.18901 # DEPENDENCYPART_GRANDPAR
(27,29),(29,27),-0.636021 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(27,30),(30,28),0.0904498 # DEPENDENCYPART_GRANDPAR
(28,29),(29,26),-0.686077 # DEPENDENCYPART_GRANDPAR
(28,29),(29,27),-0.657453 # DEPENDENCYPART_GRANDPAR
(29,26),(26,27),-0.625792 # DEPENDENCYPART_GRANDPAR
(29,26),(26,28),-0.392177 # DEPENDENCYPART_GRANDPAR
(29,26),(26,29),-1.24391 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(29,27),(27,18),-1.1947 # DEPENDENCYPART_GRANDPAR
(29,27),(27,19),-0.740854 # DEPENDENCYPART_GRANDPAR
(29,27),(27,21),-0.50008 # DEPENDENCYPART_GRANDPAR
(29,27),(27,24),-0.40798 # DEPENDENCYPART_GRANDPAR
(29,27),(27,25),-0.578203 # DEPENDENCYPART_GRANDPAR
(29,27),(27,26),-0.257957 # DEPENDENCYPART_GRANDPAR
(29,27),(27,28),-0.396543 # DEPENDENCYPART_GRANDPAR
(29,27),(27,29),-1.24391 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(29,27),(27,30),-0.273581 # DEPENDENCYPART_GRANDPAR
(30,28),(28,29),-0.252756 # DEPENDENCYPART_GRANDPAR
(0,1),(1,1),(1,2),-0.0528217 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,3),-0.253552 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,4),0.144542 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,5),-0.020997 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,6),0.161322 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,8),-0.0839151 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,12),0.0927728 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,13),-0.0286286 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,14),0.178347 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,30),-0.025305 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,31),-0.0793752 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,1),(1,2),(1,3),-0.0194605 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,4),-0.0194418 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,5),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,6),-0.0238938 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,8),-0.0228968 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,12),-0.0194772 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,14),-0.0238938 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,30),-0.0353212 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,31),-0.019457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,3),(1,4),-0.0208153 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,5),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,6),-0.0166674 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,8),-0.0207102 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,12),-0.054067 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,13),-0.0203493 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,14),-0.0165796 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,30),-0.107666 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,31),-0.0163873 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,4),(1,5),-0.0195756 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,4),(1,6),-0.0342805 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,4),(1,8),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,4),(1,12),-4.94076e-05 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,4),(1,13),-0.0212667 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,4),(1,14),-0.0346214 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,4),(1,30),0.110071 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,4),(1,31),-0.0208488 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,5),(1,6),-0.0244136 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,5),(1,8),-0.0194516 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,5),(1,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,5),(1,13),-0.0196494 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,5),(1,14),-0.0244136 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,5),(1,30),-0.0268462 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,5),(1,31),-8.93426e-05 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,6),(1,8),-0.0205567 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,6),(1,12),-0.0408268 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,6),(1,13),-0.0254875 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,6),(1,14),-0.0665418 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,6),(1,30),0.171616 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,6),(1,31),-0.0585734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,8),(1,12),-0.0219868 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,8),(1,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,8),(1,14),-0.0260138 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,8),(1,30),-0.0818535 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,8),(1,31),-0.021445 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,12),(1,13),-0.0230958 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,12),(1,14),-0.00438946 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,12),(1,30),-0.027029 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,12),(1,31),-0.0270543 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,13),(1,14),-0.0284311 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,13),(1,30),-0.0271086 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,13),(1,31),-0.0217279 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,14),(1,30),0.187541 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,14),(1,31),-0.0586225 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,30),(1,31),-0.0419018 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,1),(1,-1),-0.411514 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,3),(3,3),(3,4),-0.0246764 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,5),-0.0300808 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,6),-0.0880113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,8),-0.0209329 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,9),0.00996867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,10),-0.0877395 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,14),-0.0882656 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,31),-0.0458627 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,3),(3,4),(3,5),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,6),-0.00656925 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,8),-0.0194407 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,10),-0.00656925 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,14),-0.00656925 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,31),-0.0251071 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,5),(3,6),-0.0274439 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,8),-0.0194409 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,10),-0.0274439 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,14),-0.0274439 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,31),-0.0194984 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,6),(3,8),-0.0195551 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,9),-0.0194898 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,10),-0.00040164 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,14),-0.000404132 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,31),-0.0342685 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,8),(3,9),-0.0194468 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,10),-0.0205975 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,14),-0.0205975 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,31),-0.0303285 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,9),(3,10),-0.0213554 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,9),(3,14),-0.0213554 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,9),(3,31),-0.0206796 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,10),(3,14),-0.000403649 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,10),(3,31),-0.0342648 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,14),(3,31),-0.0343381 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,3),(3,2),0.181599 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,1),0.0876592 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,-1),-0.275735 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,3),(3,2),(3,1),0.118423 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,2),(3,-1),-0.198188 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,1),(3,-1),-0.161695 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,4),(4,5),0.00539893 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,6),-0.0248339 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,10),-0.0302671 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,12),-0.0108996 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,13),-0.0216668 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,14),-0.0311525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,17),-0.0108996 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,20),0.00088446 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,30),-0.0376007 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,31),-0.0197289 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,4),(4,5),(4,6),-0.0071697 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,10),-0.00705671 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,12),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,13),-0.0194671 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,14),-0.00705671 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,20),-0.0225089 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,30),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,5),(4,31),-0.0194405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,6),(4,10),-0.0329126 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,12),-0.0644653 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,13),-0.0264317 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,14),-0.0335248 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,17),-0.0644653 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,20),-0.0382073 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,30),0.114138 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,6),(4,31),-0.0468118 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,10),(4,12),-0.0670135 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,13),-0.0264146 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,14),-0.0331668 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,17),-0.0670135 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,20),-0.0382073 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,30),0.116168 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,10),(4,31),-0.0467308 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,12),(4,13),-0.0331011 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,14),-0.0314211 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,20),-0.0282695 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,30),-0.0267118 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,12),(4,31),-0.0199709 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,13),(4,14),-0.0303983 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,17),-0.0201688 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,20),-0.0222536 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,30),-0.0246038 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,13),(4,31),0.0172396 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,14),(4,17),-0.0670135 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,14),(4,20),-0.0382073 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,14),(4,30),0.112861 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,14),(4,31),-0.0467308 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,17),(4,20),-0.0282695 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,17),(4,30),-0.0267118 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,17),(4,31),-0.0199709 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,20),(4,30),0.574798 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,20),(4,31),-0.0215221 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,30),(4,31),0.0487544 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,4),(4,3),0.259393 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,2),0.134144 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,1),0.077886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,4),(4,4),(4,-1),-0.166471 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,4),(4,3),(4,2),0.0948432 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,3),(4,1),0.099196 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,3),(4,-1),-0.0357725 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,2),(4,1),0.116832 # DEPENDENCYPART_GRANDSIBL
(0,4),(4,2),(4,-1),-0.178277 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,4),(4,1),(4,-1),-0.101053 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,6),(6,7),-0.0327313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,8),0.0675037 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,9),-0.0815465 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,10),-0.0445393 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,11),-0.0302838 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,12),0.0139075 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,13),-0.0491538 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,14),-0.0440972 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,16),-0.0336728 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,17),0.0139075 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,18),0.0654122 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,19),-0.0305558 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,20),0.085545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,22),-0.0356624 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,23),-0.196401 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,25),-0.188041 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,30),-0.11115 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,31),-0.195809 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,6),(6,7),(6,8),-0.0134955 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,9),-0.0221673 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,10),-0.00327398 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,11),-0.0141082 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,12),-0.0186562 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,13),-0.0266192 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,14),-0.0032749 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,16),-0.0141082 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,17),-0.0186562 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,18),-0.0134955 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,19),-0.0141082 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,20),-0.0113086 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,22),-0.0141082 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,23),-0.00445995 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,25),-0.00524633 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,30),-0.0390642 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,31),-0.019492 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,8),(6,9),0.022267 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,10),-0.0279075 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,11),-0.0206344 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,12),-0.0677405 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,13),-0.0176633 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,14),-0.0288597 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,16),-0.0206344 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,17),-0.0677405 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,18),-0.0219498 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,19),-0.0206344 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,20),-0.0274999 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,22),-0.0206344 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,23),0.0213065 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,25),0.017021 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,30),0.072208 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,31),-0.0328443 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,9),(6,10),-0.0394179 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,11),0.00434503 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,12),0.0628095 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,13),-0.0239677 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,14),-0.0394216 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,16),0.00434503 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,17),0.0628095 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,18),-0.0219397 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,19),0.00434503 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,20),-0.0279168 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,22),0.00434503 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,23),-0.0301736 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,25),-0.0271525 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,30),0.0171636 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,31),-0.051534 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,10),(6,11),-0.000573664 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,12),-0.0493888 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,13),-0.0621636 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,14),-0.0510518 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,16),-0.000573664 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,17),-0.0493888 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,18),-0.0172769 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,19),-0.000573664 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,20),-0.0317764 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,22),-0.000718865 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,23),0.0440542 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,25),0.0416496 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,30),-0.0364264 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,10),(6,31),-0.0597044 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,11),(6,12),-0.0666654 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,11),(6,13),-0.0168224 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,11),(6,14),0.00145947 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,11),(6,16),0.0259389 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,11),(6,17),-0.0666654 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,11),(6,18),-0.0350247 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,11),(6,19),0.0259389 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,11),(6,20),-0.0082971 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,11),(6,22),0.0259384 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,11),(6,23),0.0613247 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,11),(6,25),0.0653964 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,11),(6,30),0.050227 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,11),(6,31),-0.0753829 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,12),(6,13),-0.068024 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,12),(6,14),-0.0160198 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,12),(6,16),-0.0987174 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,12),(6,17),-0.0438422 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,12),(6,18),-0.0125129 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,12),(6,19),-0.0987174 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,12),(6,20),0.00849453 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,12),(6,22),-0.0991781 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,12),(6,23),0.0785972 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,12),(6,25),0.0732508 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,12),(6,30),-0.013299 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,12),(6,31),-0.056355 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,13),(6,14),-0.0817405 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,13),(6,16),-0.0360328 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,13),(6,17),-0.0274344 # DEPENDENCYPART_GRANDSIBL
