# _root_ In the U.S. , radiation limits are set and monitored by the Nuclear Regulatory Commission , which licenses reactors that process the topaz .
#goldHeads=7,3,1,7,6,7,0,9,7,9,9,15,15,15,11,15,18,15,18,21,19,23,21,7,
#predictedHeads=7,3,1,7,6,7,0,9,7,9,10,15,15,15,11,15,18,15,18,21,19,23,21,7,
(0,1),(1,2),(1,7),-0.0420365 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,9),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,11),-0.0423118 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,25),-0.0452497 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,3),(1,4),-0.0730281 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,5),-0.0450882 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,6),-0.0450882 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,7),-0.0428429 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,9),-0.0425905 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,11),-0.0474063 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,25),-0.145601 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,4),(1,5),-0.0612249 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,4),(1,6),-0.0612261 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,4),(1,7),-0.0484561 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,4),(1,9),-0.0436117 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,4),(1,11),-0.0481429 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,4),(1,25),-0.0471732 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,5),(1,6),-0.0450882 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,5),(1,7),-0.0428429 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,5),(1,9),-0.0425905 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,5),(1,11),-0.0474063 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,5),(1,25),-0.1456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,6),(1,7),-0.0428429 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,6),(1,9),-0.0425905 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,6),(1,11),-0.0474063 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,6),(1,25),-0.1456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,7),(1,9),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,7),(1,11),-0.0419994 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,7),(1,25),-0.0499348 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,9),(1,11),0.152369 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,9),(1,25),-0.0473876 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,11),(1,25),-0.0428491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,1),(1,-1),-0.202691 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,3),(3,3),(3,4),-0.0998857 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,5),-0.0478733 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,6),-0.0478733 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,7),-0.136896 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,8),-0.138877 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,9),-0.0669009 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,11),-0.0752595 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,15),-0.0478744 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,16),-0.0998857 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,18),-0.13822 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,21),-0.13822 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,24),-0.0181404 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,25),-0.0864734 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,3),(3,4),(3,5),-0.00213516 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,6),-0.00213963 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,7),-0.104145 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,8),-0.107406 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,9),-0.049322 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,11),-0.00761226 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,15),-0.00214402 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,16),-0.043308 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,18),-0.106925 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,21),-0.106925 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,24),-0.074127 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,25),-0.0696832 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,5),(3,6),-0.00931707 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,7),-0.0529502 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,8),-0.0529307 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,9),-0.0468461 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,11),-0.0470663 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,15),-0.00931707 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,16),0.00013576 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,18),-0.0529307 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,21),-0.0529307 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,24),0.0520273 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,25),-0.0837751 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,6),(3,7),-0.0529502 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,8),-0.0529307 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,9),-0.0468461 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,11),-0.0470663 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,15),-0.00931707 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,16),0.00013576 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,18),-0.0529307 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,21),-0.0529307 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,24),0.0520273 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,25),-0.0837751 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,7),(3,8),-0.0163245 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,9),-0.0421122 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,11),-0.033929 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,15),-0.0505414 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,16),-0.0778124 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,18),-0.0163245 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,21),-0.0163245 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,24),-0.205491 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,7),(3,25),-0.0708813 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,8),(3,9),-0.0421049 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,11),-0.0339496 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,15),-0.0511022 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,16),-0.0773518 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,18),-0.0163205 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,21),-0.0163205 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,24),-0.206491 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,8),(3,25),-0.0706142 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,9),(3,11),0.149685 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,9),(3,15),0.0104251 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,9),(3,16),0.0639497 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,9),(3,18),-0.212389 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,9),(3,21),-0.0510348 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,9),(3,24),0.843804 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,9),(3,25),-0.0601476 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,11),(3,15),-0.0390804 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,11),(3,16),-0.0332613 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,11),(3,18),-0.0629945 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,11),(3,21),-0.0629945 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,11),(3,24),0.0307363 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,11),(3,25),-0.0978834 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,15),(3,16),0.000129636 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,15),(3,18),-0.052931 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,15),(3,21),-0.052931 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,15),(3,24),0.0520248 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,15),(3,25),-0.0837757 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,16),(3,18),-0.106925 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,16),(3,21),-0.106925 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,16),(3,24),-0.074127 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,16),(3,25),-0.0696832 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,18),(3,21),-0.0163205 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,18),(3,24),-0.211129 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,18),(3,25),-0.0705701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,21),(3,24),-0.211129 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,21),(3,25),-0.0705701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,24),(3,25),-0.0520673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,3),(3,2),0.206162 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,-1),-0.258485 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,3),(3,2),(3,-1),-0.198132 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,6),(6,7),-0.133932 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,8),-0.135912 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,9),-0.0684617 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,11),-0.0752635 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,15),-0.0474936 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,16),-0.0997809 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,25),-0.0864733 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,6),(6,7),(6,8),-0.0163245 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,9),-0.0421122 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,11),-0.0339286 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,15),-0.0505414 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,16),-0.0778121 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,7),(6,25),-0.0708769 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,8),(6,9),-0.0421049 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,11),-0.0339492 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,15),-0.0511022 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,16),-0.0773514 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,8),(6,25),-0.0706099 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,9),(6,11),0.149634 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,15),0.0104251 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,16),0.0639497 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,9),(6,25),-0.0601476 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,11),(6,15),-0.039078 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,11),(6,16),-0.0332602 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,11),(6,25),-0.0978834 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,15),(6,16),0.000129636 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,15),(6,25),-0.083766 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,16),(6,25),-0.0696832 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,6),(6,5),0.266666 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,4),0.0319461 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,3),0.266284 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,2),0.206793 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,1),0.118367 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,6),(6,6),(6,-1),-0.258485 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,6),(6,5),(6,4),0.147538 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,5),(6,3),0.0591461 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,5),(6,2),0.0823613 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,5),(6,1),0.100848 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,5),(6,-1),-0.0564469 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,4),(6,3),0.0542903 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,4),(6,2),0.118927 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,4),(6,1),0.150924 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,4),(6,-1),-0.128444 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,3),(6,2),0.0823585 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,3),(6,1),0.100848 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,3),(6,-1),-0.0565724 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,2),(6,1),0.114609 # DEPENDENCYPART_GRANDSIBL
(0,6),(6,2),(6,-1),-0.198019 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,6),(6,1),(6,-1),-0.132452 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,7),(7,8),-0.112322 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,9),0.0867073 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,10),-0.108689 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,11),-0.239913 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,16),-0.0354357 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,24),-0.147806 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,25),-0.240696 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,7),(7,8),(7,9),-0.0447092 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,8),(7,10),-0.065016 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,8),(7,11),0.0231398 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,8),(7,16),-0.140652 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,8),(7,24),-0.0540201 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,8),(7,25),-0.108816 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,9),(7,10),-0.022392 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,9),(7,11),0.158246 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,9),(7,16),0.101743 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,9),(7,24),0.774299 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,9),(7,25),-0.155135 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,10),(7,11),0.0215764 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,10),(7,16),-0.140118 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,10),(7,24),-0.0486792 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,10),(7,25),-0.108494 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,11),(7,16),0.00376845 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,11),(7,24),0.0560664 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,11),(7,25),-0.091538 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,16),(7,24),0.00317052 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,16),(7,25),-0.0762641 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,24),(7,25),0.154156 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,7),(7,6),0.26288 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,5),0.262896 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,4),0.133993 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,3),0.256305 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,2),0.223894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,1),0.235407 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,7),(7,7),(7,-1),-0.634462 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,7),(7,6),(7,5),0.14887 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,6),(7,4),0.332308 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,6),(7,3),0.148228 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,6),(7,2),0.0765008 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,6),(7,1),-0.0357732 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,6),(7,-1),0.0467695 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,5),(7,4),0.332533 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,5),(7,3),0.148228 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,5),(7,2),0.0765008 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,5),(7,1),-0.0357732 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,5),(7,-1),0.0467855 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,4),(7,3),0.114999 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,4),(7,2),0.124567 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,4),(7,1),0.269209 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,4),(7,-1),-0.366556 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,3),(7,2),0.0765007 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,3),(7,1),-0.0386652 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,3),(7,-1),0.0475005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,2),(7,1),0.0940776 # DEPENDENCYPART_GRANDSIBL
(0,7),(7,2),(7,-1),-0.127058 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,7),(7,1),(7,-1),-0.245917 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,8),(8,9),0.0526124 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,10),-0.108754 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,11),-0.231431 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,15),-0.0733812 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,24),-0.145184 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,25),-0.240693 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,8),(8,9),(8,10),-0.0210948 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,11),0.158038 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,15),0.0171084 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,24),0.754911 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,9),(8,25),-0.153755 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,10),(8,11),0.0268774 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,15),0.0086686 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,24),-0.0393725 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,10),(8,25),-0.117449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,11),(8,15),-0.0371385 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,11),(8,24),0.0547596 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,11),(8,25),-0.0920742 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,15),(8,24),0.0313098 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,15),(8,25),-0.13786 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,24),(8,25),0.136187 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,8),(8,7),0.030583 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,6),0.288673 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,4),0.127561 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,1),0.206394 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,8),(8,8),(8,-1),-0.643998 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,8),(8,7),(8,6),0.0933106 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,7),(8,4),0.0557766 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,7),(8,1),0.109373 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,7),(8,-1),0.0323447 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,6),(8,4),0.345867 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,6),(8,1),-0.0216551 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,6),(8,-1),0.0382506 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,4),(8,1),0.298258 # DEPENDENCYPART_GRANDSIBL
(0,8),(8,4),(8,-1),-0.36784 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,8),(8,1),(8,-1),-0.225274 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,9),(9,9),(9,10),0.185784 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,9),(9,9),(9,11),-0.129618 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,9),(9,9),(9,12),-0.0751251 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,9),(9,9),(9,13),-0.357331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,9),(9,9),(9,14),-0.357331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,9),(9,9),(9,15),-0.358011 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,9),(9,9),(9,16),0.128357 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,9),(9,9),(9,18),0.187112 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,9),(9,9),(9,19),-0.357331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,9),(9,9),(9,21),0.187112 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,9),(9,9),(9,23),-0.357331 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,9),(9,9),(9,24),0.00813116 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,9),(9,9),(9,25),-0.138526 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,9),(9,10),(9,11),0.0136356 # DEPENDENCYPART_GRANDSIBL
(0,9),(9,10),(9,12),-0.0421087 # DEPENDENCYPART_GRANDSIBL
(0,9),(9,10),(9,13),0.0109773 # DEPENDENCYPART_GRANDSIBL
(0,9),(9,10),(9,14),0.0109773 # DEPENDENCYPART_GRANDSIBL
(0,9),(9,10),(9,15),0.0109773 # DEPENDENCYPART_GRANDSIBL
(0,9),(9,10),(9,16),-0.0443419 # DEPENDENCYPART_GRANDSIBL
(0,9),(9,10),(9,18),-0.116357 # DEPENDENCYPART_GRANDSIBL
(0,9),(9,10),(9,19),0.0109773 # DEPENDENCYPART_GRANDSIBL
(0,9),(9,10),(9,21),-0.116357 # DEPENDENCYPART_GRANDSIBL
(0,9),(9,10),(9,23),0.0109773 # DEPENDENCYPART_GRANDSIBL
(0,9),(9,10),(9,24),0.168738 # DEPENDENCYPART_GRANDSIBL
(0,9),(9,10),(9,25),-0.107828 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,9),(9,11),(9,12),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(0,9),(9,11),(9,13),-0.0227783 # DEPENDENCYPART_GRANDSIBL
(0,9),(9,11),(9,14),-0.0227783 # DEPENDENCYPART_GRANDSIBL
(0,9),(9,11),(9,15),-0.0227783 # DEPENDENCYPART_GRANDSIBL
(0,9),(9,11),(9,16),-0.0384211 # DEPENDENCYPART_GRANDSIBL
(0,9),(9,11),(9,18),-0.0219743 # DEPENDENCYPART_GRANDSIBL
(0,9),(9,11),(9,19),-0.0227783 # DEPENDENCYPART_GRANDSIBL
(0,9),(9,11),(9,21),-0.0219743 # DEPENDENCYPART_GRANDSIBL
