# _root_ With the exception of August , when exports rose 2.1 % , exports have declined every month from year-earlier levels since March .
#goldHeads=14,3,1,3,4,5,9,9,5,11,9,14,14,0,14,17,15,15,20,18,15,21,14,
#predictedHeads=14,3,1,3,4,5,9,9,5,11,9,14,14,0,14,17,15,15,20,18,20,21,14,
(1,4),(4,6),0.427865 # DEPENDENCYPART_GRANDPAR
(1,4),(4,8),-0.138642 # DEPENDENCYPART_GRANDPAR
(1,4),(4,9),0.23457 # DEPENDENCYPART_GRANDPAR
(1,4),(4,11),-0.162067 # DEPENDENCYPART_GRANDPAR
(1,4),(4,13),-0.625131 # DEPENDENCYPART_GRANDPAR
(1,5),(5,2),0.886163 # DEPENDENCYPART_GRANDPAR
(1,5),(5,3),0.817384 # DEPENDENCYPART_GRANDPAR
(1,5),(5,4),0.288004 # DEPENDENCYPART_GRANDPAR
(1,5),(5,6),0.620972 # DEPENDENCYPART_GRANDPAR
(1,5),(5,8),-0.128463 # DEPENDENCYPART_GRANDPAR
(1,5),(5,9),0.40948 # DEPENDENCYPART_GRANDPAR
(1,5),(5,10),-0.230184 # DEPENDENCYPART_GRANDPAR
(1,5),(5,11),-0.142024 # DEPENDENCYPART_GRANDPAR
(1,5),(5,12),0.23578 # DEPENDENCYPART_GRANDPAR
(1,5),(5,13),-0.614952 # DEPENDENCYPART_GRANDPAR
(1,5),(5,14),0.48657 # DEPENDENCYPART_GRANDPAR
(1,5),(5,15),0.112082 # DEPENDENCYPART_GRANDPAR
(1,5),(5,18),0.502398 # DEPENDENCYPART_GRANDPAR
(1,5),(5,23),-0.554442 # DEPENDENCYPART_GRANDPAR
(1,8),(8,1),-0.562971 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,8),(8,2),0.884535 # DEPENDENCYPART_GRANDPAR
(1,8),(8,3),0.814643 # DEPENDENCYPART_GRANDPAR
(1,8),(8,4),0.293341 # DEPENDENCYPART_GRANDPAR
(1,8),(8,5),0.525028 # DEPENDENCYPART_GRANDPAR
(1,8),(8,6),0.429023 # DEPENDENCYPART_GRANDPAR
(1,8),(8,7),-0.202449 # DEPENDENCYPART_GRANDPAR
(1,8),(8,9),0.41771 # DEPENDENCYPART_GRANDPAR
(1,8),(8,10),-0.220831 # DEPENDENCYPART_GRANDPAR
(1,8),(8,11),-0.131933 # DEPENDENCYPART_GRANDPAR
(1,8),(8,12),0.235001 # DEPENDENCYPART_GRANDPAR
(1,8),(8,13),-0.604862 # DEPENDENCYPART_GRANDPAR
(1,8),(8,14),0.494799 # DEPENDENCYPART_GRANDPAR
(1,9),(9,1),-0.540803 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,9),(9,3),0.773775 # DEPENDENCYPART_GRANDPAR
(1,9),(9,4),0.225403 # DEPENDENCYPART_GRANDPAR
(1,9),(9,5),0.479679 # DEPENDENCYPART_GRANDPAR
(1,9),(9,6),0.360433 # DEPENDENCYPART_GRANDPAR
(1,9),(9,7),-0.209985 # DEPENDENCYPART_GRANDPAR
(1,9),(9,8),0.00262068 # DEPENDENCYPART_GRANDPAR
(1,9),(9,10),-0.266968 # DEPENDENCYPART_GRANDPAR
(1,9),(9,11),-0.0847512 # DEPENDENCYPART_GRANDPAR
(1,9),(9,12),0.0279253 # DEPENDENCYPART_GRANDPAR
(1,9),(9,13),-0.55199 # DEPENDENCYPART_GRANDPAR
(1,9),(9,14),0.357636 # DEPENDENCYPART_GRANDPAR
(1,9),(9,15),0.00478523 # DEPENDENCYPART_GRANDPAR
(1,9),(9,17),-0.622896 # DEPENDENCYPART_GRANDPAR
(1,9),(9,18),0.548679 # DEPENDENCYPART_GRANDPAR
(1,9),(9,21),0.282371 # DEPENDENCYPART_GRANDPAR
(1,9),(9,23),-0.641209 # DEPENDENCYPART_GRANDPAR
(1,14),(14,1),-0.595311 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,14),(14,3),0.710463 # DEPENDENCYPART_GRANDPAR
(1,14),(14,4),0.187084 # DEPENDENCYPART_GRANDPAR
(1,14),(14,5),0.417555 # DEPENDENCYPART_GRANDPAR
(1,14),(14,6),0.314496 # DEPENDENCYPART_GRANDPAR
(1,14),(14,7),-0.221432 # DEPENDENCYPART_GRANDPAR
(1,14),(14,8),-0.0589277 # DEPENDENCYPART_GRANDPAR
(1,14),(14,9),0.387641 # DEPENDENCYPART_GRANDPAR
(1,14),(14,10),-0.437803 # DEPENDENCYPART_GRANDPAR
(1,14),(14,11),0.0106481 # DEPENDENCYPART_GRANDPAR
(1,14),(14,12),-0.0706962 # DEPENDENCYPART_GRANDPAR
(1,14),(14,13),-0.545417 # DEPENDENCYPART_GRANDPAR
(1,14),(14,15),0.027914 # DEPENDENCYPART_GRANDPAR
(1,14),(14,16),-0.563651 # DEPENDENCYPART_GRANDPAR
(1,14),(14,17),-0.586377 # DEPENDENCYPART_GRANDPAR
(1,14),(14,18),0.56015 # DEPENDENCYPART_GRANDPAR
(1,14),(14,19),-0.652066 # DEPENDENCYPART_GRANDPAR
(1,14),(14,20),-0.742528 # DEPENDENCYPART_GRANDPAR
(1,14),(14,21),0.315336 # DEPENDENCYPART_GRANDPAR
(1,14),(14,23),-0.632232 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-1.24305 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-0.247401 # DEPENDENCYPART_GRANDPAR
(2,1),(1,4),-0.408546 # DEPENDENCYPART_GRANDPAR
(2,1),(1,5),-0.558346 # DEPENDENCYPART_GRANDPAR
(2,1),(1,6),-0.49588 # DEPENDENCYPART_GRANDPAR
(2,1),(1,8),-0.751225 # DEPENDENCYPART_GRANDPAR
(2,1),(1,9),-0.603982 # DEPENDENCYPART_GRANDPAR
(2,1),(1,12),-0.769859 # DEPENDENCYPART_GRANDPAR
(2,1),(1,14),-0.702509 # DEPENDENCYPART_GRANDPAR
(2,4),(4,1),-0.487529 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-0.916894 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,5),0.0343829 # DEPENDENCYPART_GRANDPAR
(2,4),(4,6),-0.0557872 # DEPENDENCYPART_GRANDPAR
(2,4),(4,8),-0.167202 # DEPENDENCYPART_GRANDPAR
(2,4),(4,9),-0.232755 # DEPENDENCYPART_GRANDPAR
(2,4),(4,11),-0.344824 # DEPENDENCYPART_GRANDPAR
(2,4),(4,13),-0.314095 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),0.388387 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-1.078 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,4),-0.298974 # DEPENDENCYPART_GRANDPAR
(3,1),(1,5),-0.447534 # DEPENDENCYPART_GRANDPAR
(3,1),(1,6),-0.201568 # DEPENDENCYPART_GRANDPAR
(3,1),(1,8),-0.256405 # DEPENDENCYPART_GRANDPAR
(3,1),(1,9),-0.330633 # DEPENDENCYPART_GRANDPAR
(3,1),(1,12),-0.4653 # DEPENDENCYPART_GRANDPAR
(3,1),(1,14),-0.520796 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),-0.0889289 # DEPENDENCYPART_GRANDPAR
(3,2),(2,4),-0.286987 # DEPENDENCYPART_GRANDPAR
(3,4),(4,1),-0.570837 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),-0.094204 # DEPENDENCYPART_GRANDPAR
(3,4),(4,5),0.299013 # DEPENDENCYPART_GRANDPAR
(3,4),(4,6),0.374342 # DEPENDENCYPART_GRANDPAR
(3,4),(4,8),0.51284 # DEPENDENCYPART_GRANDPAR
(3,4),(4,9),0.190509 # DEPENDENCYPART_GRANDPAR
(3,4),(4,11),0.0618363 # DEPENDENCYPART_GRANDPAR
(3,4),(4,13),0.284096 # DEPENDENCYPART_GRANDPAR
(3,5),(5,2),-0.164134 # DEPENDENCYPART_GRANDPAR
(3,5),(5,3),-0.508049 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,5),(5,4),0.250765 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),0.352895 # DEPENDENCYPART_GRANDPAR
(3,5),(5,8),0.360328 # DEPENDENCYPART_GRANDPAR
(3,5),(5,9),0.102124 # DEPENDENCYPART_GRANDPAR
(3,5),(5,10),-0.0672778 # DEPENDENCYPART_GRANDPAR
(3,5),(5,11),-0.0660233 # DEPENDENCYPART_GRANDPAR
(3,5),(5,12),0.0891626 # DEPENDENCYPART_GRANDPAR
(3,5),(5,13),0.131585 # DEPENDENCYPART_GRANDPAR
(3,5),(5,14),-0.0817934 # DEPENDENCYPART_GRANDPAR
(3,5),(5,15),-0.237031 # DEPENDENCYPART_GRANDPAR
(3,5),(5,18),-0.476003 # DEPENDENCYPART_GRANDPAR
(3,5),(5,23),-0.708671 # DEPENDENCYPART_GRANDPAR
(3,8),(8,1),-0.559229 # DEPENDENCYPART_GRANDPAR
(3,8),(8,2),-0.164134 # DEPENDENCYPART_GRANDPAR
(3,8),(8,3),-0.508376 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,8),(8,4),0.25773 # DEPENDENCYPART_GRANDPAR
(3,8),(8,5),0.122043 # DEPENDENCYPART_GRANDPAR
(3,8),(8,6),0.314767 # DEPENDENCYPART_GRANDPAR
(3,8),(8,7),-0.0177306 # DEPENDENCYPART_GRANDPAR
(3,8),(8,9),0.100139 # DEPENDENCYPART_GRANDPAR
(3,8),(8,10),-0.0682179 # DEPENDENCYPART_GRANDPAR
(3,8),(8,11),-0.0664594 # DEPENDENCYPART_GRANDPAR
(3,8),(8,12),0.0829295 # DEPENDENCYPART_GRANDPAR
(3,8),(8,13),0.131148 # DEPENDENCYPART_GRANDPAR
(3,8),(8,14),-0.0837786 # DEPENDENCYPART_GRANDPAR
(3,9),(9,1),-0.715491 # DEPENDENCYPART_GRANDPAR
(3,9),(9,3),-0.61114 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,9),(9,4),0.119344 # DEPENDENCYPART_GRANDPAR
(3,9),(9,5),0.0160444 # DEPENDENCYPART_GRANDPAR
(3,9),(9,6),0.195689 # DEPENDENCYPART_GRANDPAR
(3,9),(9,7),-0.0839857 # DEPENDENCYPART_GRANDPAR
(3,9),(9,8),0.202709 # DEPENDENCYPART_GRANDPAR
(3,9),(9,10),-0.0629094 # DEPENDENCYPART_GRANDPAR
(3,9),(9,11),-0.0983925 # DEPENDENCYPART_GRANDPAR
(3,9),(9,12),-0.0292752 # DEPENDENCYPART_GRANDPAR
(3,9),(9,13),0.132183 # DEPENDENCYPART_GRANDPAR
(3,9),(9,14),-0.112693 # DEPENDENCYPART_GRANDPAR
(3,9),(9,15),-0.257413 # DEPENDENCYPART_GRANDPAR
(3,9),(9,17),0.0587669 # DEPENDENCYPART_GRANDPAR
(3,9),(9,18),-0.369136 # DEPENDENCYPART_GRANDPAR
(3,9),(9,21),-0.195913 # DEPENDENCYPART_GRANDPAR
(3,9),(9,23),-0.865586 # DEPENDENCYPART_GRANDPAR
(3,11),(11,1),-0.56058 # DEPENDENCYPART_GRANDPAR
(3,11),(11,4),0.288024 # DEPENDENCYPART_GRANDPAR
(3,11),(11,5),0.130265 # DEPENDENCYPART_GRANDPAR
(3,11),(11,6),0.325931 # DEPENDENCYPART_GRANDPAR
(3,11),(11,8),0.323017 # DEPENDENCYPART_GRANDPAR
(3,11),(11,9),0.278759 # DEPENDENCYPART_GRANDPAR
(3,11),(11,10),-0.0546474 # DEPENDENCYPART_GRANDPAR
(3,11),(11,12),0.145691 # DEPENDENCYPART_GRANDPAR
(3,11),(11,13),0.218975 # DEPENDENCYPART_GRANDPAR
(3,11),(11,14),-0.0433608 # DEPENDENCYPART_GRANDPAR
(3,11),(11,15),-0.198597 # DEPENDENCYPART_GRANDPAR
(3,11),(11,17),0.134404 # DEPENDENCYPART_GRANDPAR
(3,11),(11,20),-0.196272 # DEPENDENCYPART_GRANDPAR
(3,11),(11,22),-0.233017 # DEPENDENCYPART_GRANDPAR
(3,11),(11,23),-0.652924 # DEPENDENCYPART_GRANDPAR
(3,13),(13,1),-0.559229 # DEPENDENCYPART_GRANDPAR
(3,13),(13,4),0.25773 # DEPENDENCYPART_GRANDPAR
(3,13),(13,5),0.122043 # DEPENDENCYPART_GRANDPAR
(3,13),(13,7),-0.0177306 # DEPENDENCYPART_GRANDPAR
(3,13),(13,8),0.314782 # DEPENDENCYPART_GRANDPAR
(3,13),(13,9),0.268073 # DEPENDENCYPART_GRANDPAR
(3,13),(13,10),-0.101483 # DEPENDENCYPART_GRANDPAR
(3,13),(13,11),-0.0443141 # DEPENDENCYPART_GRANDPAR
(3,13),(13,12),0.0510349 # DEPENDENCYPART_GRANDPAR
(3,13),(13,14),-0.0837786 # DEPENDENCYPART_GRANDPAR
(3,13),(13,15),-0.239016 # DEPENDENCYPART_GRANDPAR
(3,13),(13,17),0.0388855 # DEPENDENCYPART_GRANDPAR
(3,13),(13,18),-0.4766 # DEPENDENCYPART_GRANDPAR
(3,14),(14,1),-0.721986 # DEPENDENCYPART_GRANDPAR
(3,14),(14,3),-0.653441 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,14),(14,4),0.104178 # DEPENDENCYPART_GRANDPAR
(3,14),(14,5),-0.0256622 # DEPENDENCYPART_GRANDPAR
(3,14),(14,6),0.167346 # DEPENDENCYPART_GRANDPAR
(3,14),(14,7),-0.0797425 # DEPENDENCYPART_GRANDPAR
(3,14),(14,8),0.162171 # DEPENDENCYPART_GRANDPAR
(3,14),(14,9),0.182478 # DEPENDENCYPART_GRANDPAR
(3,14),(14,10),-0.184506 # DEPENDENCYPART_GRANDPAR
(3,14),(14,11),-0.190574 # DEPENDENCYPART_GRANDPAR
(3,14),(14,12),-0.0963865 # DEPENDENCYPART_GRANDPAR
(3,14),(14,13),-0.0665719 # DEPENDENCYPART_GRANDPAR
(3,14),(14,15),-0.196994 # DEPENDENCYPART_GRANDPAR
(3,14),(14,16),-0.147042 # DEPENDENCYPART_GRANDPAR
(3,14),(14,17),0.111471 # DEPENDENCYPART_GRANDPAR
(3,14),(14,18),-0.356572 # DEPENDENCYPART_GRANDPAR
(3,14),(14,19),-0.363636 # DEPENDENCYPART_GRANDPAR
(3,14),(14,20),-0.228714 # DEPENDENCYPART_GRANDPAR
(3,14),(14,21),-0.160318 # DEPENDENCYPART_GRANDPAR
(3,14),(14,23),-0.842538 # DEPENDENCYPART_GRANDPAR
(3,15),(15,1),-0.713068 # DEPENDENCYPART_GRANDPAR
(3,15),(15,3),-0.615176 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,15),(15,5),0.0126033 # DEPENDENCYPART_GRANDPAR
(3,15),(15,6),0.178911 # DEPENDENCYPART_GRANDPAR
(3,15),(15,7),-0.0851164 # DEPENDENCYPART_GRANDPAR
(3,15),(15,8),0.200366 # DEPENDENCYPART_GRANDPAR
(3,15),(15,9),0.201046 # DEPENDENCYPART_GRANDPAR
(3,15),(15,11),-0.147322 # DEPENDENCYPART_GRANDPAR
(3,15),(15,12),-0.0848219 # DEPENDENCYPART_GRANDPAR
(3,15),(15,13),-0.0283777 # DEPENDENCYPART_GRANDPAR
(3,15),(15,14),0.0277836 # DEPENDENCYPART_GRANDPAR
(3,15),(15,16),-0.170329 # DEPENDENCYPART_GRANDPAR
(3,15),(15,17),0.066011 # DEPENDENCYPART_GRANDPAR
(3,15),(15,18),-0.393972 # DEPENDENCYPART_GRANDPAR
(3,15),(15,19),-0.361083 # DEPENDENCYPART_GRANDPAR
(3,15),(15,20),-0.273829 # DEPENDENCYPART_GRANDPAR
(3,15),(15,21),-0.22249 # DEPENDENCYPART_GRANDPAR
(3,15),(15,22),-0.286764 # DEPENDENCYPART_GRANDPAR
(3,15),(15,23),-0.852353 # DEPENDENCYPART_GRANDPAR
(3,18),(18,16),-0.0660086 # DEPENDENCYPART_GRANDPAR
(3,18),(18,17),-0.121948 # DEPENDENCYPART_GRANDPAR
(3,18),(18,19),-0.297714 # DEPENDENCYPART_GRANDPAR
(3,18),(18,20),-0.187727 # DEPENDENCYPART_GRANDPAR
(3,18),(18,21),-0.268755 # DEPENDENCYPART_GRANDPAR
(3,18),(18,22),-0.261078 # DEPENDENCYPART_GRANDPAR
(3,18),(18,23),-0.811338 # DEPENDENCYPART_GRANDPAR
(3,21),(21,17),-0.0974856 # DEPENDENCYPART_GRANDPAR
(3,21),(21,18),-0.456991 # DEPENDENCYPART_GRANDPAR
(3,21),(21,19),-0.272734 # DEPENDENCYPART_GRANDPAR
(3,21),(21,20),-0.409173 # DEPENDENCYPART_GRANDPAR
(3,21),(21,22),-0.382672 # DEPENDENCYPART_GRANDPAR
(3,23),(23,21),-0.357535 # DEPENDENCYPART_GRANDPAR
(4,1),(1,2),-0.212662 # DEPENDENCYPART_GRANDPAR
(4,1),(1,3),-0.343815 # DEPENDENCYPART_GRANDPAR
(4,1),(1,4),-1.00212 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,1),(1,5),0.503995 # DEPENDENCYPART_GRANDPAR
(4,1),(1,6),0.361429 # DEPENDENCYPART_GRANDPAR
(4,1),(1,8),-0.098979 # DEPENDENCYPART_GRANDPAR
(4,1),(1,9),-0.261394 # DEPENDENCYPART_GRANDPAR
(4,1),(1,12),-0.0233928 # DEPENDENCYPART_GRANDPAR
(4,1),(1,14),-0.155706 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),-0.0190014 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-1.00075 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,2),-0.630034 # DEPENDENCYPART_GRANDPAR
(4,5),(5,3),-0.749551 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),-0.651005 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,6),0.940013 # DEPENDENCYPART_GRANDPAR
(4,5),(5,8),0.345226 # DEPENDENCYPART_GRANDPAR
(4,5),(5,9),0.164852 # DEPENDENCYPART_GRANDPAR
(4,5),(5,10),-0.176726 # DEPENDENCYPART_GRANDPAR
(4,5),(5,11),0.0624653 # DEPENDENCYPART_GRANDPAR
(4,5),(5,12),0.555192 # DEPENDENCYPART_GRANDPAR
(4,5),(5,13),-0.0530751 # DEPENDENCYPART_GRANDPAR
(4,5),(5,14),0.289448 # DEPENDENCYPART_GRANDPAR
(4,5),(5,15),-0.0545228 # DEPENDENCYPART_GRANDPAR
(4,5),(5,18),-0.0737904 # DEPENDENCYPART_GRANDPAR
(4,5),(5,23),-0.40738 # DEPENDENCYPART_GRANDPAR
(4,8),(8,1),-0.519365 # DEPENDENCYPART_GRANDPAR
(4,8),(8,2),-0.628462 # DEPENDENCYPART_GRANDPAR
(4,8),(8,3),-0.747979 # DEPENDENCYPART_GRANDPAR
(4,8),(8,4),-0.644517 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,8),(8,5),1.09096 # DEPENDENCYPART_GRANDPAR
(4,8),(8,6),0.679535 # DEPENDENCYPART_GRANDPAR
(4,8),(8,7),-0.070085 # DEPENDENCYPART_GRANDPAR
(4,8),(8,9),0.180584 # DEPENDENCYPART_GRANDPAR
(4,8),(8,10),-0.161312 # DEPENDENCYPART_GRANDPAR
(4,8),(8,11),0.0785899 # DEPENDENCYPART_GRANDPAR
(4,8),(8,12),0.560474 # DEPENDENCYPART_GRANDPAR
(4,8),(8,13),-0.0369513 # DEPENDENCYPART_GRANDPAR
(4,8),(8,14),0.30518 # DEPENDENCYPART_GRANDPAR
(4,9),(9,1),-0.555747 # DEPENDENCYPART_GRANDPAR
(4,9),(9,3),-0.757443 # DEPENDENCYPART_GRANDPAR
(4,9),(9,4),-0.746496 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,9),(9,5),0.922946 # DEPENDENCYPART_GRANDPAR
(4,9),(9,6),0.640547 # DEPENDENCYPART_GRANDPAR
(4,9),(9,7),-0.101539 # DEPENDENCYPART_GRANDPAR
(4,9),(9,8),0.316594 # DEPENDENCYPART_GRANDPAR
(4,9),(9,10),-0.158773 # DEPENDENCYPART_GRANDPAR
(4,9),(9,11),0.197368 # DEPENDENCYPART_GRANDPAR
(4,9),(9,12),0.400305 # DEPENDENCYPART_GRANDPAR
(4,9),(9,13),0.10071 # DEPENDENCYPART_GRANDPAR
(4,9),(9,14),0.196003 # DEPENDENCYPART_GRANDPAR
(4,9),(9,15),-0.121606 # DEPENDENCYPART_GRANDPAR
(4,9),(9,17),-0.629069 # DEPENDENCYPART_GRANDPAR
(4,9),(9,18),-0.0326225 # DEPENDENCYPART_GRANDPAR
(4,9),(9,21),-0.194912 # DEPENDENCYPART_GRANDPAR
(4,9),(9,23),-0.458698 # DEPENDENCYPART_GRANDPAR
(4,11),(11,1),-0.52063 # DEPENDENCYPART_GRANDPAR
(4,11),(11,4),-0.662826 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,11),(11,5),1.00282 # DEPENDENCYPART_GRANDPAR
(4,11),(11,6),0.605788 # DEPENDENCYPART_GRANDPAR
(4,11),(11,8),0.402036 # DEPENDENCYPART_GRANDPAR
(4,11),(11,9),0.267874 # DEPENDENCYPART_GRANDPAR
(4,11),(11,10),-0.461008 # DEPENDENCYPART_GRANDPAR
(4,11),(11,12),0.530226 # DEPENDENCYPART_GRANDPAR
(4,11),(11,13),-0.054629 # DEPENDENCYPART_GRANDPAR
(4,11),(11,14),0.246212 # DEPENDENCYPART_GRANDPAR
(4,11),(11,15),-0.0977573 # DEPENDENCYPART_GRANDPAR
(4,11),(11,17),-0.787993 # DEPENDENCYPART_GRANDPAR
(4,11),(11,20),-0.961074 # DEPENDENCYPART_GRANDPAR
(4,11),(11,22),-0.852869 # DEPENDENCYPART_GRANDPAR
(4,11),(11,23),-0.425235 # DEPENDENCYPART_GRANDPAR
(4,13),(13,1),-0.519365 # DEPENDENCYPART_GRANDPAR
(4,13),(13,4),-0.644517 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,13),(13,5),1.09096 # DEPENDENCYPART_GRANDPAR
(4,13),(13,7),-0.070085 # DEPENDENCYPART_GRANDPAR
(4,13),(13,8),0.490156 # DEPENDENCYPART_GRANDPAR
(4,13),(13,9),0.346237 # DEPENDENCYPART_GRANDPAR
(4,13),(13,10),-0.350265 # DEPENDENCYPART_GRANDPAR
(4,13),(13,11),0.250989 # DEPENDENCYPART_GRANDPAR
(4,13),(13,12),0.294714 # DEPENDENCYPART_GRANDPAR
(4,13),(13,14),0.30518 # DEPENDENCYPART_GRANDPAR
(4,13),(13,15),-0.0387907 # DEPENDENCYPART_GRANDPAR
(4,13),(13,17),-0.774143 # DEPENDENCYPART_GRANDPAR
(4,13),(13,18),-0.0507739 # DEPENDENCYPART_GRANDPAR
(5,2),(2,1),-0.670519 # DEPENDENCYPART_GRANDPAR
(5,2),(2,4),-0.710277 # DEPENDENCYPART_GRANDPAR
(5,3),(3,1),-0.717873 # DEPENDENCYPART_GRANDPAR
(5,3),(3,2),-0.491036 # DEPENDENCYPART_GRANDPAR
(5,3),(3,4),-0.534454 # DEPENDENCYPART_GRANDPAR
(5,3),(3,5),-1.16008 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,3),(3,6),-0.330749 # DEPENDENCYPART_GRANDPAR
(5,3),(3,8),-0.16402 # DEPENDENCYPART_GRANDPAR
(5,3),(3,9),-0.292916 # DEPENDENCYPART_GRANDPAR
(5,3),(3,11),-0.484294 # DEPENDENCYPART_GRANDPAR
(5,3),(3,12),-0.516647 # DEPENDENCYPART_GRANDPAR
(5,3),(3,13),-0.368549 # DEPENDENCYPART_GRANDPAR
(5,3),(3,14),-0.4144 # DEPENDENCYPART_GRANDPAR
(5,3),(3,15),-0.631555 # DEPENDENCYPART_GRANDPAR
(5,3),(3,18),-0.661719 # DEPENDENCYPART_GRANDPAR
(5,3),(3,21),-0.510053 # DEPENDENCYPART_GRANDPAR
(5,3),(3,23),-1.09211 # DEPENDENCYPART_GRANDPAR
(5,4),(4,1),-0.53341 # DEPENDENCYPART_GRANDPAR
(5,4),(4,2),-0.389191 # DEPENDENCYPART_GRANDPAR
(5,4),(4,5),-1.20679 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,4),(4,6),-0.241725 # DEPENDENCYPART_GRANDPAR
(5,4),(4,8),-0.210738 # DEPENDENCYPART_GRANDPAR
(5,4),(4,9),-0.233495 # DEPENDENCYPART_GRANDPAR
(5,4),(4,11),-0.528062 # DEPENDENCYPART_GRANDPAR
(5,4),(4,13),-0.415267 # DEPENDENCYPART_GRANDPAR
(5,8),(8,1),-1.14383 # DEPENDENCYPART_GRANDPAR
(5,8),(8,2),-0.941685 # DEPENDENCYPART_GRANDPAR
(5,8),(8,3),-1.00874 # DEPENDENCYPART_GRANDPAR
(5,8),(8,4),-1.08387 # DEPENDENCYPART_GRANDPAR
(5,8),(8,5),-0.631242 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,8),(8,6),0.277041 # DEPENDENCYPART_GRANDPAR
(5,8),(8,7),0.198209 # DEPENDENCYPART_GRANDPAR
(5,8),(8,9),0.19924 # DEPENDENCYPART_GRANDPAR
(5,8),(8,10),0.20606 # DEPENDENCYPART_GRANDPAR
(5,8),(8,11),0.0664323 # DEPENDENCYPART_GRANDPAR
(5,8),(8,12),0.12301 # DEPENDENCYPART_GRANDPAR
(5,8),(8,13),0.201823 # DEPENDENCYPART_GRANDPAR
(5,8),(8,14),0.0879372 # DEPENDENCYPART_GRANDPAR
(5,9),(9,1),-1.30009 # DEPENDENCYPART_GRANDPAR
(5,9),(9,3),-1.14739 # DEPENDENCYPART_GRANDPAR
(5,9),(9,4),-1.23732 # DEPENDENCYPART_GRANDPAR
(5,9),(9,5),-0.73175 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,9),(9,6),0.163734 # DEPENDENCYPART_GRANDPAR
(5,9),(9,7),0.144047 # DEPENDENCYPART_GRANDPAR
(5,9),(9,8),0.259836 # DEPENDENCYPART_GRANDPAR
(5,9),(9,10),0.212873 # DEPENDENCYPART_GRANDPAR
(5,9),(9,11),0.0345266 # DEPENDENCYPART_GRANDPAR
(5,9),(9,12),0.0123056 # DEPENDENCYPART_GRANDPAR
(5,9),(9,13),0.202886 # DEPENDENCYPART_GRANDPAR
(5,9),(9,14),0.0605092 # DEPENDENCYPART_GRANDPAR
(5,9),(9,15),-0.16062 # DEPENDENCYPART_GRANDPAR
(5,9),(9,17),-0.0634802 # DEPENDENCYPART_GRANDPAR
(5,9),(9,18),-0.115186 # DEPENDENCYPART_GRANDPAR
(5,9),(9,21),0.0665996 # DEPENDENCYPART_GRANDPAR
(5,9),(9,23),-0.695392 # DEPENDENCYPART_GRANDPAR
(5,10),(10,11),-0.130848 # DEPENDENCYPART_GRANDPAR
(5,10),(10,12),-0.00427432 # DEPENDENCYPART_GRANDPAR
(5,11),(11,1),-1.14518 # DEPENDENCYPART_GRANDPAR
(5,11),(11,4),-1.08542 # DEPENDENCYPART_GRANDPAR
(5,11),(11,5),-0.62302 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,11),(11,6),0.288204 # DEPENDENCYPART_GRANDPAR
(5,11),(11,8),0.374652 # DEPENDENCYPART_GRANDPAR
(5,11),(11,9),0.378443 # DEPENDENCYPART_GRANDPAR
(5,11),(11,10),0.220192 # DEPENDENCYPART_GRANDPAR
(5,11),(11,12),0.185771 # DEPENDENCYPART_GRANDPAR
(5,11),(11,13),0.28965 # DEPENDENCYPART_GRANDPAR
(5,11),(11,14),0.128354 # DEPENDENCYPART_GRANDPAR
