# _root_ Those withdrawals , most of which were transferred to other T. Rowe Price funds , followed little change in the fund 's sales picture this year through August .
#goldHeads=2,16,2,5,7,5,2,7,8,14,14,14,14,9,2,0,18,16,18,21,24,21,24,19,26,16,26,27,16,
#predictedHeads=2,16,2,5,7,5,2,7,8,14,14,14,14,9,2,0,18,16,18,21,24,21,24,19,26,16,16,27,16,
(16,14),(14,19),0.305276 # DEPENDENCYPART_GRANDPAR
(16,14),(14,24),-0.0504416 # DEPENDENCYPART_GRANDPAR
(16,14),(14,26),-0.205279 # DEPENDENCYPART_GRANDPAR
(16,14),(14,29),-0.951251 # DEPENDENCYPART_GRANDPAR
(16,17),(17,9),-0.2239 # DEPENDENCYPART_GRANDPAR
(16,17),(17,18),0.602932 # DEPENDENCYPART_GRANDPAR
(16,17),(17,19),0.341735 # DEPENDENCYPART_GRANDPAR
(16,17),(17,21),0.204064 # DEPENDENCYPART_GRANDPAR
(16,17),(17,24),0.223667 # DEPENDENCYPART_GRANDPAR
(16,18),(18,2),-0.0767991 # DEPENDENCYPART_GRANDPAR
(16,18),(18,10),0.177587 # DEPENDENCYPART_GRANDPAR
(16,18),(18,11),0.13526 # DEPENDENCYPART_GRANDPAR
(16,18),(18,12),0.134445 # DEPENDENCYPART_GRANDPAR
(16,18),(18,13),0.0513213 # DEPENDENCYPART_GRANDPAR
(16,18),(18,14),-0.09044 # DEPENDENCYPART_GRANDPAR
(16,18),(18,15),0.0241786 # DEPENDENCYPART_GRANDPAR
(16,18),(18,16),-0.392671 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,18),(18,17),0.457625 # DEPENDENCYPART_GRANDPAR
(16,18),(18,19),0.405896 # DEPENDENCYPART_GRANDPAR
(16,18),(18,21),0.330698 # DEPENDENCYPART_GRANDPAR
(16,18),(18,23),0.00540626 # DEPENDENCYPART_GRANDPAR
(16,18),(18,24),0.357568 # DEPENDENCYPART_GRANDPAR
(16,18),(18,26),0.202903 # DEPENDENCYPART_GRANDPAR
(16,18),(18,27),0.171388 # DEPENDENCYPART_GRANDPAR
(16,18),(18,28),0.464151 # DEPENDENCYPART_GRANDPAR
(16,18),(18,29),-0.517366 # DEPENDENCYPART_GRANDPAR
(16,19),(19,17),0.282195 # DEPENDENCYPART_GRANDPAR
(16,19),(19,18),0.593022 # DEPENDENCYPART_GRANDPAR
(16,19),(19,20),-0.166297 # DEPENDENCYPART_GRANDPAR
(16,19),(19,21),0.336007 # DEPENDENCYPART_GRANDPAR
(16,19),(19,23),-0.04609 # DEPENDENCYPART_GRANDPAR
(16,19),(19,24),0.342696 # DEPENDENCYPART_GRANDPAR
(16,19),(19,26),0.197117 # DEPENDENCYPART_GRANDPAR
(16,19),(19,27),0.296419 # DEPENDENCYPART_GRANDPAR
(16,19),(19,28),0.510096 # DEPENDENCYPART_GRANDPAR
(16,21),(21,17),0.439999 # DEPENDENCYPART_GRANDPAR
(16,21),(21,18),0.610127 # DEPENDENCYPART_GRANDPAR
(16,21),(21,19),0.375484 # DEPENDENCYPART_GRANDPAR
(16,21),(21,20),-0.116103 # DEPENDENCYPART_GRANDPAR
(16,21),(21,22),-0.566654 # DEPENDENCYPART_GRANDPAR
(16,21),(21,23),0.0471661 # DEPENDENCYPART_GRANDPAR
(16,21),(21,24),0.399328 # DEPENDENCYPART_GRANDPAR
(16,21),(21,26),0.244663 # DEPENDENCYPART_GRANDPAR
(16,21),(21,27),0.202082 # DEPENDENCYPART_GRANDPAR
(16,21),(21,28),0.505911 # DEPENDENCYPART_GRANDPAR
(16,23),(23,20),-0.0780461 # DEPENDENCYPART_GRANDPAR
(16,23),(23,21),0.272042 # DEPENDENCYPART_GRANDPAR
(16,23),(23,22),-0.162033 # DEPENDENCYPART_GRANDPAR
(16,23),(23,24),0.364907 # DEPENDENCYPART_GRANDPAR
(16,23),(23,26),0.206833 # DEPENDENCYPART_GRANDPAR
(16,23),(23,27),0.198229 # DEPENDENCYPART_GRANDPAR
(16,23),(23,28),0.47149 # DEPENDENCYPART_GRANDPAR
(16,24),(24,17),0.446445 # DEPENDENCYPART_GRANDPAR
(16,24),(24,18),0.602962 # DEPENDENCYPART_GRANDPAR
(16,24),(24,19),0.374541 # DEPENDENCYPART_GRANDPAR
(16,24),(24,20),-0.108235 # DEPENDENCYPART_GRANDPAR
(16,24),(24,21),0.210513 # DEPENDENCYPART_GRANDPAR
(16,24),(24,22),-0.201841 # DEPENDENCYPART_GRANDPAR
(16,24),(24,23),-0.0331092 # DEPENDENCYPART_GRANDPAR
(16,24),(24,25),0.507774 # DEPENDENCYPART_GRANDPAR
(16,24),(24,26),0.194195 # DEPENDENCYPART_GRANDPAR
(16,24),(24,27),0.165161 # DEPENDENCYPART_GRANDPAR
(16,24),(24,28),0.455443 # DEPENDENCYPART_GRANDPAR
(16,24),(24,29),-0.510939 # DEPENDENCYPART_GRANDPAR
(16,26),(26,20),-0.125352 # DEPENDENCYPART_GRANDPAR
(16,26),(26,21),0.14619 # DEPENDENCYPART_GRANDPAR
(16,26),(26,23),-0.0979613 # DEPENDENCYPART_GRANDPAR
(16,26),(26,24),0.176267 # DEPENDENCYPART_GRANDPAR
(16,26),(26,25),0.722788 # DEPENDENCYPART_GRANDPAR
(16,26),(26,27),0.163852 # DEPENDENCYPART_GRANDPAR
(16,26),(26,28),0.407395 # DEPENDENCYPART_GRANDPAR
(16,26),(26,29),-0.532126 # DEPENDENCYPART_GRANDPAR
(16,27),(27,24),0.204582 # DEPENDENCYPART_GRANDPAR
(16,27),(27,25),0.39072 # DEPENDENCYPART_GRANDPAR
(16,27),(27,26),0.0868302 # DEPENDENCYPART_GRANDPAR
(16,27),(27,28),0.569116 # DEPENDENCYPART_GRANDPAR
(16,28),(28,21),0.214774 # DEPENDENCYPART_GRANDPAR
(16,28),(28,23),-0.0288475 # DEPENDENCYPART_GRANDPAR
(16,28),(28,24),0.244851 # DEPENDENCYPART_GRANDPAR
(16,28),(28,25),0.680146 # DEPENDENCYPART_GRANDPAR
(16,28),(28,26),0.0898067 # DEPENDENCYPART_GRANDPAR
(16,28),(28,29),-0.517623 # DEPENDENCYPART_GRANDPAR
(16,29),(29,28),0.197199 # DEPENDENCYPART_GRANDPAR
(17,9),(9,5),0.0128156 # DEPENDENCYPART_GRANDPAR
(17,9),(9,10),-0.0335746 # DEPENDENCYPART_GRANDPAR
(17,9),(9,11),-0.465944 # DEPENDENCYPART_GRANDPAR
(17,9),(9,12),-0.431331 # DEPENDENCYPART_GRANDPAR
(17,9),(9,13),-0.404866 # DEPENDENCYPART_GRANDPAR
(17,9),(9,14),-0.431839 # DEPENDENCYPART_GRANDPAR
(17,9),(9,15),-0.178759 # DEPENDENCYPART_GRANDPAR
(17,9),(9,16),-0.269103 # DEPENDENCYPART_GRANDPAR
(17,9),(9,18),-0.157616 # DEPENDENCYPART_GRANDPAR
(17,9),(9,19),-0.284485 # DEPENDENCYPART_GRANDPAR
(17,18),(18,2),-1.11409 # DEPENDENCYPART_GRANDPAR
(17,18),(18,10),-0.452317 # DEPENDENCYPART_GRANDPAR
(17,18),(18,11),-0.829894 # DEPENDENCYPART_GRANDPAR
(17,18),(18,12),-0.795282 # DEPENDENCYPART_GRANDPAR
(17,18),(18,13),-0.766423 # DEPENDENCYPART_GRANDPAR
(17,18),(18,14),-0.796893 # DEPENDENCYPART_GRANDPAR
(17,18),(18,15),-0.697092 # DEPENDENCYPART_GRANDPAR
(17,18),(18,16),-0.690353 # DEPENDENCYPART_GRANDPAR
(17,18),(18,17),-0.968426 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,18),(18,19),0.0302129 # DEPENDENCYPART_GRANDPAR
(17,18),(18,21),-0.109949 # DEPENDENCYPART_GRANDPAR
(17,18),(18,23),-0.12405 # DEPENDENCYPART_GRANDPAR
(17,18),(18,24),-0.122925 # DEPENDENCYPART_GRANDPAR
(17,18),(18,26),-0.342048 # DEPENDENCYPART_GRANDPAR
(17,18),(18,27),0.0783328 # DEPENDENCYPART_GRANDPAR
(17,18),(18,28),-0.452017 # DEPENDENCYPART_GRANDPAR
(17,18),(18,29),-0.323228 # DEPENDENCYPART_GRANDPAR
(17,19),(19,17),-1.0664 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,19),(19,18),0.284712 # DEPENDENCYPART_GRANDPAR
(17,19),(19,20),-0.0998179 # DEPENDENCYPART_GRANDPAR
(17,19),(19,21),-0.0811149 # DEPENDENCYPART_GRANDPAR
(17,19),(19,23),-0.0985513 # DEPENDENCYPART_GRANDPAR
(17,19),(19,24),-0.108623 # DEPENDENCYPART_GRANDPAR
(17,19),(19,26),-0.335902 # DEPENDENCYPART_GRANDPAR
(17,19),(19,27),0.10502 # DEPENDENCYPART_GRANDPAR
(17,19),(19,28),-0.418015 # DEPENDENCYPART_GRANDPAR
(17,21),(21,17),-0.96913 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,21),(21,18),0.286356 # DEPENDENCYPART_GRANDPAR
(17,21),(21,19),0.0811442 # DEPENDENCYPART_GRANDPAR
(17,21),(21,20),-0.0452536 # DEPENDENCYPART_GRANDPAR
(17,21),(21,22),-0.238713 # DEPENDENCYPART_GRANDPAR
(17,21),(21,23),-0.107614 # DEPENDENCYPART_GRANDPAR
(17,21),(21,24),-0.106488 # DEPENDENCYPART_GRANDPAR
(17,21),(21,26),-0.325611 # DEPENDENCYPART_GRANDPAR
(17,21),(21,27),0.0884109 # DEPENDENCYPART_GRANDPAR
(17,21),(21,28),-0.435581 # DEPENDENCYPART_GRANDPAR
(17,24),(24,17),-0.967746 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,24),(24,18),0.288445 # DEPENDENCYPART_GRANDPAR
(17,24),(24,19),0.0798909 # DEPENDENCYPART_GRANDPAR
(17,24),(24,20),-0.0425768 # DEPENDENCYPART_GRANDPAR
(17,24),(24,21),-0.173014 # DEPENDENCYPART_GRANDPAR
(17,24),(24,22),0.122704 # DEPENDENCYPART_GRANDPAR
(17,24),(24,23),-0.212351 # DEPENDENCYPART_GRANDPAR
(17,24),(24,25),-0.18947 # DEPENDENCYPART_GRANDPAR
(17,24),(24,26),-0.337858 # DEPENDENCYPART_GRANDPAR
(17,24),(24,27),0.0777548 # DEPENDENCYPART_GRANDPAR
(17,24),(24,28),-0.447828 # DEPENDENCYPART_GRANDPAR
(17,24),(24,29),-0.31361 # DEPENDENCYPART_GRANDPAR
(18,2),(2,1),-0.524065 # DEPENDENCYPART_GRANDPAR
(18,2),(2,3),-0.0399438 # DEPENDENCYPART_GRANDPAR
(18,2),(2,4),-0.379943 # DEPENDENCYPART_GRANDPAR
(18,2),(2,5),-0.279084 # DEPENDENCYPART_GRANDPAR
(18,2),(2,7),-0.531209 # DEPENDENCYPART_GRANDPAR
(18,2),(2,8),-0.468793 # DEPENDENCYPART_GRANDPAR
(18,2),(2,9),-0.383521 # DEPENDENCYPART_GRANDPAR
(18,2),(2,14),-0.429943 # DEPENDENCYPART_GRANDPAR
(18,2),(2,15),0.127727 # DEPENDENCYPART_GRANDPAR
(18,2),(2,16),0.0769316 # DEPENDENCYPART_GRANDPAR
(18,2),(2,18),-1.26373 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,2),(2,19),-0.0840584 # DEPENDENCYPART_GRANDPAR
(18,2),(2,29),-0.911972 # DEPENDENCYPART_GRANDPAR
(18,10),(10,5),-0.342072 # DEPENDENCYPART_GRANDPAR
(18,10),(10,9),-0.179141 # DEPENDENCYPART_GRANDPAR
(18,10),(10,11),-0.603561 # DEPENDENCYPART_GRANDPAR
(18,10),(10,12),-0.525004 # DEPENDENCYPART_GRANDPAR
(18,11),(11,10),-0.440746 # DEPENDENCYPART_GRANDPAR
(18,11),(11,12),-0.425039 # DEPENDENCYPART_GRANDPAR
(18,11),(11,13),-0.334714 # DEPENDENCYPART_GRANDPAR
(18,11),(11,14),-0.43199 # DEPENDENCYPART_GRANDPAR
(18,11),(11,15),0.125359 # DEPENDENCYPART_GRANDPAR
(18,11),(11,16),0.0769307 # DEPENDENCYPART_GRANDPAR
(18,12),(12,10),-0.440555 # DEPENDENCYPART_GRANDPAR
(18,12),(12,11),-0.453429 # DEPENDENCYPART_GRANDPAR
(18,12),(12,13),-0.332668 # DEPENDENCYPART_GRANDPAR
(18,12),(12,14),-0.429944 # DEPENDENCYPART_GRANDPAR
(18,12),(12,15),0.127727 # DEPENDENCYPART_GRANDPAR
(18,12),(12,16),0.0769316 # DEPENDENCYPART_GRANDPAR
(18,13),(13,8),-0.613917 # DEPENDENCYPART_GRANDPAR
(18,13),(13,10),-0.457791 # DEPENDENCYPART_GRANDPAR
(18,13),(13,11),-0.454819 # DEPENDENCYPART_GRANDPAR
(18,13),(13,12),-0.374158 # DEPENDENCYPART_GRANDPAR
(18,13),(13,14),-0.425738 # DEPENDENCYPART_GRANDPAR
(18,13),(13,15),0.125548 # DEPENDENCYPART_GRANDPAR
(18,13),(13,16),0.0735506 # DEPENDENCYPART_GRANDPAR
(18,13),(13,18),-1.26379 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,14),(14,3),-0.0323572 # DEPENDENCYPART_GRANDPAR
(18,14),(14,5),-0.478426 # DEPENDENCYPART_GRANDPAR
(18,14),(14,8),-0.604773 # DEPENDENCYPART_GRANDPAR
(18,14),(14,9),-0.323856 # DEPENDENCYPART_GRANDPAR
(18,14),(14,10),-0.450361 # DEPENDENCYPART_GRANDPAR
(18,14),(14,11),-0.462566 # DEPENDENCYPART_GRANDPAR
(18,14),(14,12),-0.381905 # DEPENDENCYPART_GRANDPAR
(18,14),(14,13),-0.327805 # DEPENDENCYPART_GRANDPAR
(18,14),(14,15),0.115176 # DEPENDENCYPART_GRANDPAR
(18,14),(14,16),0.0679677 # DEPENDENCYPART_GRANDPAR
(18,14),(14,17),0.549344 # DEPENDENCYPART_GRANDPAR
(18,14),(14,18),-1.26375 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,14),(14,19),-0.0804259 # DEPENDENCYPART_GRANDPAR
(18,14),(14,24),-0.226598 # DEPENDENCYPART_GRANDPAR
(18,14),(14,26),-0.301236 # DEPENDENCYPART_GRANDPAR
(18,14),(14,29),-0.911972 # DEPENDENCYPART_GRANDPAR
(18,16),(16,1),-0.430138 # DEPENDENCYPART_GRANDPAR
(18,16),(16,2),-0.316199 # DEPENDENCYPART_GRANDPAR
(18,16),(16,3),-0.0778489 # DEPENDENCYPART_GRANDPAR
(18,16),(16,4),-0.480172 # DEPENDENCYPART_GRANDPAR
(18,16),(16,5),-0.371958 # DEPENDENCYPART_GRANDPAR
(18,16),(16,6),-0.115503 # DEPENDENCYPART_GRANDPAR
(18,16),(16,7),-0.684771 # DEPENDENCYPART_GRANDPAR
(18,16),(16,8),-0.625455 # DEPENDENCYPART_GRANDPAR
(18,16),(16,9),-0.368051 # DEPENDENCYPART_GRANDPAR
(18,16),(16,10),-0.342455 # DEPENDENCYPART_GRANDPAR
(18,16),(16,11),-0.420593 # DEPENDENCYPART_GRANDPAR
(18,16),(16,12),-0.340781 # DEPENDENCYPART_GRANDPAR
(18,16),(16,13),-0.286291 # DEPENDENCYPART_GRANDPAR
(18,16),(16,14),-0.346819 # DEPENDENCYPART_GRANDPAR
(18,16),(16,15),0.089822 # DEPENDENCYPART_GRANDPAR
(18,16),(16,17),0.317393 # DEPENDENCYPART_GRANDPAR
(18,16),(16,18),-1.41988 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,16),(16,19),-0.202231 # DEPENDENCYPART_GRANDPAR
(18,16),(16,21),-0.53214 # DEPENDENCYPART_GRANDPAR
(18,16),(16,23),-0.395614 # DEPENDENCYPART_GRANDPAR
(18,16),(16,24),-0.38208 # DEPENDENCYPART_GRANDPAR
(18,16),(16,26),-0.453995 # DEPENDENCYPART_GRANDPAR
(18,16),(16,27),-0.45489 # DEPENDENCYPART_GRANDPAR
(18,16),(16,28),-0.634451 # DEPENDENCYPART_GRANDPAR
(18,16),(16,29),-0.96002 # DEPENDENCYPART_GRANDPAR
(18,17),(17,9),-0.165785 # DEPENDENCYPART_GRANDPAR
(18,17),(17,18),-1.26683 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,17),(17,19),-0.00703857 # DEPENDENCYPART_GRANDPAR
(18,17),(17,21),-0.379944 # DEPENDENCYPART_GRANDPAR
(18,17),(17,24),-0.229878 # DEPENDENCYPART_GRANDPAR
(18,19),(19,17),-0.100609 # DEPENDENCYPART_GRANDPAR
(18,19),(19,18),-0.675546 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,19),(19,20),-0.0518204 # DEPENDENCYPART_GRANDPAR
(18,19),(19,21),0.378303 # DEPENDENCYPART_GRANDPAR
(18,19),(19,23),0.524994 # DEPENDENCYPART_GRANDPAR
(18,19),(19,24),0.518086 # DEPENDENCYPART_GRANDPAR
(18,19),(19,26),0.428521 # DEPENDENCYPART_GRANDPAR
(18,19),(19,27),0.271254 # DEPENDENCYPART_GRANDPAR
(18,19),(19,28),0.237797 # DEPENDENCYPART_GRANDPAR
(18,21),(21,17),-0.154686 # DEPENDENCYPART_GRANDPAR
(18,21),(21,18),-0.664055 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,21),(21,19),0.53457 # DEPENDENCYPART_GRANDPAR
(18,21),(21,20),0.208158 # DEPENDENCYPART_GRANDPAR
(18,21),(21,22),-0.515046 # DEPENDENCYPART_GRANDPAR
(18,21),(21,23),0.45454 # DEPENDENCYPART_GRANDPAR
(18,21),(21,24),0.481598 # DEPENDENCYPART_GRANDPAR
(18,21),(21,26),0.417957 # DEPENDENCYPART_GRANDPAR
(18,21),(21,27),0.214559 # DEPENDENCYPART_GRANDPAR
(18,21),(21,28),0.213552 # DEPENDENCYPART_GRANDPAR
(18,23),(23,20),0.207334 # DEPENDENCYPART_GRANDPAR
(18,23),(23,21),0.247649 # DEPENDENCYPART_GRANDPAR
(18,23),(23,22),0.188189 # DEPENDENCYPART_GRANDPAR
(18,23),(23,24),0.42173 # DEPENDENCYPART_GRANDPAR
(18,23),(23,26),0.355726 # DEPENDENCYPART_GRANDPAR
(18,23),(23,27),0.15819 # DEPENDENCYPART_GRANDPAR
(18,23),(23,28),0.153684 # DEPENDENCYPART_GRANDPAR
(18,24),(24,17),-0.154645 # DEPENDENCYPART_GRANDPAR
(18,24),(24,18),-0.659474 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,24),(24,19),0.535507 # DEPENDENCYPART_GRANDPAR
(18,24),(24,20),0.217039 # DEPENDENCYPART_GRANDPAR
(18,24),(24,21),0.239291 # DEPENDENCYPART_GRANDPAR
(18,24),(24,22),0.194389 # DEPENDENCYPART_GRANDPAR
(18,24),(24,23),0.373874 # DEPENDENCYPART_GRANDPAR
(18,24),(24,25),0.0670426 # DEPENDENCYPART_GRANDPAR
(18,24),(24,26),0.382165 # DEPENDENCYPART_GRANDPAR
(18,24),(24,27),0.183858 # DEPENDENCYPART_GRANDPAR
(18,24),(24,28),0.17776 # DEPENDENCYPART_GRANDPAR
(18,24),(24,29),-0.267613 # DEPENDENCYPART_GRANDPAR
(18,26),(26,20),0.26849 # DEPENDENCYPART_GRANDPAR
(18,26),(26,21),0.233167 # DEPENDENCYPART_GRANDPAR
(18,26),(26,23),0.367216 # DEPENDENCYPART_GRANDPAR
(18,26),(26,24),0.389669 # DEPENDENCYPART_GRANDPAR
(18,26),(26,25),0.462098 # DEPENDENCYPART_GRANDPAR
(18,26),(26,27),0.166601 # DEPENDENCYPART_GRANDPAR
(18,26),(26,28),0.146378 # DEPENDENCYPART_GRANDPAR
(18,26),(26,29),-0.282829 # DEPENDENCYPART_GRANDPAR
(18,27),(27,24),0.361756 # DEPENDENCYPART_GRANDPAR
(18,27),(27,25),0.267877 # DEPENDENCYPART_GRANDPAR
(18,27),(27,26),0.302028 # DEPENDENCYPART_GRANDPAR
(18,27),(27,28),0.184464 # DEPENDENCYPART_GRANDPAR
(18,28),(28,21),0.239948 # DEPENDENCYPART_GRANDPAR
(18,28),(28,23),0.374531 # DEPENDENCYPART_GRANDPAR
(18,28),(28,24),0.39645 # DEPENDENCYPART_GRANDPAR
(18,28),(28,25),0.395409 # DEPENDENCYPART_GRANDPAR
(18,28),(28,26),0.312247 # DEPENDENCYPART_GRANDPAR
(18,28),(28,29),-0.267312 # DEPENDENCYPART_GRANDPAR
(18,29),(29,28),-0.0113445 # DEPENDENCYPART_GRANDPAR
(19,17),(17,9),-0.0140915 # DEPENDENCYPART_GRANDPAR
(19,17),(17,18),-0.187616 # DEPENDENCYPART_GRANDPAR
(19,17),(17,19),-1.23276 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,17),(17,21),0.334058 # DEPENDENCYPART_GRANDPAR
(19,17),(17,24),0.0688111 # DEPENDENCYPART_GRANDPAR
(19,18),(18,2),-0.677682 # DEPENDENCYPART_GRANDPAR
(19,18),(18,10),-0.143387 # DEPENDENCYPART_GRANDPAR
(19,18),(18,11),-0.484194 # DEPENDENCYPART_GRANDPAR
(19,18),(18,12),-0.411424 # DEPENDENCYPART_GRANDPAR
(19,18),(18,13),-0.380663 # DEPENDENCYPART_GRANDPAR
(19,18),(18,14),-0.358711 # DEPENDENCYPART_GRANDPAR
(19,18),(18,15),0.0338456 # DEPENDENCYPART_GRANDPAR
(19,18),(18,16),-0.0879465 # DEPENDENCYPART_GRANDPAR
(19,18),(18,17),0.0874169 # DEPENDENCYPART_GRANDPAR
(19,18),(18,19),-1.30972 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,18),(18,21),0.33703 # DEPENDENCYPART_GRANDPAR
(19,18),(18,23),-0.0202009 # DEPENDENCYPART_GRANDPAR
(19,18),(18,24),0.0718128 # DEPENDENCYPART_GRANDPAR
(19,18),(18,26),-0.528659 # DEPENDENCYPART_GRANDPAR
(19,18),(18,27),-0.141319 # DEPENDENCYPART_GRANDPAR
(19,18),(18,28),-0.448301 # DEPENDENCYPART_GRANDPAR
(19,18),(18,29),-0.533323 # DEPENDENCYPART_GRANDPAR
(19,21),(21,17),-0.479029 # DEPENDENCYPART_GRANDPAR
(19,21),(21,18),-0.69862 # DEPENDENCYPART_GRANDPAR
(19,21),(21,19),-0.790908 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,21),(21,20),0.949589 # DEPENDENCYPART_GRANDPAR
(19,21),(21,22),-0.798334 # DEPENDENCYPART_GRANDPAR
(19,21),(21,23),0.528487 # DEPENDENCYPART_GRANDPAR
(19,21),(21,24),0.649524 # DEPENDENCYPART_GRANDPAR
(19,21),(21,26),0.0530481 # DEPENDENCYPART_GRANDPAR
(19,21),(21,27),0.412415 # DEPENDENCYPART_GRANDPAR
(19,21),(21,28),0.143851 # DEPENDENCYPART_GRANDPAR
(19,23),(23,20),0.913801 # DEPENDENCYPART_GRANDPAR
(19,23),(23,21),0.946846 # DEPENDENCYPART_GRANDPAR
(19,23),(23,22),-0.365374 # DEPENDENCYPART_GRANDPAR
(19,23),(23,24),0.61626 # DEPENDENCYPART_GRANDPAR
(19,23),(23,26),0.0161261 # DEPENDENCYPART_GRANDPAR
(19,23),(23,27),0.370384 # DEPENDENCYPART_GRANDPAR
(19,23),(23,28),0.110588 # DEPENDENCYPART_GRANDPAR
(19,24),(24,17),-0.479028 # DEPENDENCYPART_GRANDPAR
(19,24),(24,18),-0.698503 # DEPENDENCYPART_GRANDPAR
(19,24),(24,19),-0.806462 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,24),(24,20),0.929643 # DEPENDENCYPART_GRANDPAR
(19,24),(24,21),0.944322 # DEPENDENCYPART_GRANDPAR
(19,24),(24,22),-0.349929 # DEPENDENCYPART_GRANDPAR
(19,24),(24,23),0.557848 # DEPENDENCYPART_GRANDPAR
(19,24),(24,25),-0.466912 # DEPENDENCYPART_GRANDPAR
(19,24),(24,26),0.0344857 # DEPENDENCYPART_GRANDPAR
(19,24),(24,27),0.389274 # DEPENDENCYPART_GRANDPAR
(19,24),(24,28),0.125289 # DEPENDENCYPART_GRANDPAR
(19,24),(24,29),0.0273047 # DEPENDENCYPART_GRANDPAR
(19,26),(26,20),0.99777 # DEPENDENCYPART_GRANDPAR
(19,26),(26,21),0.914309 # DEPENDENCYPART_GRANDPAR
(19,26),(26,23),0.52678 # DEPENDENCYPART_GRANDPAR
(19,26),(26,24),0.630742 # DEPENDENCYPART_GRANDPAR
(19,26),(26,25),-0.312537 # DEPENDENCYPART_GRANDPAR
(19,26),(26,27),0.403251 # DEPENDENCYPART_GRANDPAR
(19,26),(26,28),0.118928 # DEPENDENCYPART_GRANDPAR
(19,26),(26,29),0.0404409 # DEPENDENCYPART_GRANDPAR
(19,27),(27,24),0.578902 # DEPENDENCYPART_GRANDPAR
(19,27),(27,25),-0.64482 # DEPENDENCYPART_GRANDPAR
(19,27),(27,26),0.0192902 # DEPENDENCYPART_GRANDPAR
(19,27),(27,28),0.199225 # DEPENDENCYPART_GRANDPAR
(19,28),(28,21),0.945391 # DEPENDENCYPART_GRANDPAR
(19,28),(28,23),0.558917 # DEPENDENCYPART_GRANDPAR
(19,28),(28,24),0.661825 # DEPENDENCYPART_GRANDPAR
(19,28),(28,25),-0.405067 # DEPENDENCYPART_GRANDPAR
(19,28),(28,26),0.0732168 # DEPENDENCYPART_GRANDPAR
(19,28),(28,29),0.0254677 # DEPENDENCYPART_GRANDPAR
(21,17),(17,9),-0.367663 # DEPENDENCYPART_GRANDPAR
(21,17),(17,18),-0.343175 # DEPENDENCYPART_GRANDPAR
(21,17),(17,19),-0.250558 # DEPENDENCYPART_GRANDPAR
(21,17),(17,21),-1.3616 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,17),(17,24),-0.368837 # DEPENDENCYPART_GRANDPAR
(21,18),(18,2),-0.431111 # DEPENDENCYPART_GRANDPAR
(21,18),(18,10),-0.718719 # DEPENDENCYPART_GRANDPAR
(21,18),(18,11),-0.583184 # DEPENDENCYPART_GRANDPAR
(21,18),(18,12),-0.576573 # DEPENDENCYPART_GRANDPAR
(21,18),(18,13),-0.690382 # DEPENDENCYPART_GRANDPAR
(21,18),(18,14),-0.691084 # DEPENDENCYPART_GRANDPAR
(21,18),(18,15),-0.302167 # DEPENDENCYPART_GRANDPAR
(21,18),(18,16),-0.299142 # DEPENDENCYPART_GRANDPAR
(21,18),(18,17),0.0195496 # DEPENDENCYPART_GRANDPAR
(21,18),(18,19),-0.108436 # DEPENDENCYPART_GRANDPAR
(21,18),(18,21),-1.35883 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,18),(18,23),-0.369353 # DEPENDENCYPART_GRANDPAR
(21,18),(18,24),-0.366034 # DEPENDENCYPART_GRANDPAR
(21,18),(18,26),-0.477764 # DEPENDENCYPART_GRANDPAR
(21,18),(18,27),-0.510664 # DEPENDENCYPART_GRANDPAR
(21,18),(18,28),-0.765018 # DEPENDENCYPART_GRANDPAR
(21,18),(18,29),-0.969788 # DEPENDENCYPART_GRANDPAR
(21,19),(19,17),0.191689 # DEPENDENCYPART_GRANDPAR
(21,19),(19,18),-0.150027 # DEPENDENCYPART_GRANDPAR
(21,19),(19,20),0.226697 # DEPENDENCYPART_GRANDPAR
(21,19),(19,21),-1.40742 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,19),(19,23),-0.424143 # DEPENDENCYPART_GRANDPAR
(21,19),(19,24),-0.414651 # DEPENDENCYPART_GRANDPAR
(21,19),(19,26),-0.524988 # DEPENDENCYPART_GRANDPAR
(21,19),(19,27),-0.472074 # DEPENDENCYPART_GRANDPAR
