# _root_ `` For $ 10 million , you can move $ 100 million of stocks , '' a specialist on the Big Board gripes .
#goldHeads=8,8,2,3,3,8,8,23,8,9,10,10,10,13,8,8,18,23,18,22,22,19,0,23,
#predictedHeads=23,8,2,3,3,8,8,23,8,9,10,10,10,13,23,23,18,23,18,22,22,19,0,23,
(4,3),(3,5),(3,19),-0.125655 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,5),(3,25),-0.152289 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,6),(3,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,9),-0.125044 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,6),(3,25),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,8),(3,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,8),(3,25),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,9),(3,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,9),(3,25),-0.125189 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,10),(3,11),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,10),(3,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,10),(3,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,10),(3,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,10),(3,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,10),(3,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,10),(3,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,10),(3,25),-0.125364 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,11),(3,12),-0.13682 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,11),(3,13),-0.125655 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,11),(3,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,11),(3,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,11),(3,19),-0.125398 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,11),(3,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,11),(3,25),-0.149372 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,12),(3,13),-0.125911 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,12),(3,15),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,12),(3,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,12),(3,19),-0.125655 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,12),(3,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,12),(3,25),-0.152289 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,13),(3,15),-0.124901 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,13),(3,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,13),(3,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,13),(3,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,13),(3,25),-0.127522 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,15),(3,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,15),(3,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,15),(3,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,15),(3,25),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,18),(3,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,18),(3,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,18),(3,25),-0.127738 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,19),(3,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,19),(3,25),-0.127059 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,24),(3,25),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,3),(3,2),-0.0679676 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,1),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,3),(3,3),(3,-1),0.16781 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,3),(3,2),(3,1),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,3),(3,2),(3,-1),-0.0653502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,3),(3,1),(3,-1),-0.0419988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,5),(5,6),-0.0279384 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,8),-0.0419994 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,9),-0.0275445 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,25),-0.0204657 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,5),(5,6),(5,8),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,9),-0.0421849 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,6),(5,25),-0.044568 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,8),(5,9),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,8),(5,25),-0.0419994 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,9),(5,25),-0.0275959 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,5),(5,4),0.114717 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,5),(5,5),(5,3),-0.124887 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,5),(5,-1),-0.193857 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,5),(5,4),(5,3),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,4),(5,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,5),(5,4),(5,-1),-0.1287 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,5),(5,3),(5,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,5),(5,3),(5,-1),-0.076686 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,2),(5,-1),-0.130371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,6),(6,25),-0.0029025 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,6),(6,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,-1),-0.086551 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,2),(6,-1),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,8),(8,9),-0.0310404 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,13),-0.0419992 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,15),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,16),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,23),-0.0310404 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,25),-0.0423451 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,8),(8,9),(8,13),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,15),-0.0421498 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,16),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,25),-0.0395551 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,13),(8,15),-0.0420031 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,13),(8,16),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,13),(8,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,13),(8,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,13),(8,25),-0.0419992 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,15),(8,16),-0.0419997 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,15),(8,23),-0.0420286 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,15),(8,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,15),(8,25),-0.0421806 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,16),(8,23),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,16),(8,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,16),(8,25),-0.0419997 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,23),(8,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,23),(8,25),-0.0395551 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,24),(8,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,8),(8,7),0.120177 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,6),0.119013 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,5),0.119153 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,4),0.119157 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,8),(8,8),(8,3),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,-1),-0.141305 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,8),(8,7),(8,6),0.119163 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,5),0.119164 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,4),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,7),(8,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,-1),-0.120434 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,6),(8,5),0.119164 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,6),(8,4),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,6),(8,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,6),(8,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,6),(8,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,6),(8,-1),-0.125062 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,5),(8,4),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,5),(8,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,5),(8,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,5),(8,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,5),(8,-1),-0.124897 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,4),(8,3),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,4),(8,2),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,4),(8,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,4),(8,-1),-0.124893 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,8),(8,3),(8,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,3),(8,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,3),(8,-1),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,2),(8,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,2),(8,-1),-0.1302 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,1),(8,-1),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,9),(9,10),-0.057195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,11),-0.0692273 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,12),-0.0630601 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,13),-0.0138609 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,14),-0.022794 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,15),-0.043571 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,16),-0.0421451 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,18),-0.022794 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,19),-0.013356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,22),-0.022794 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,23),-0.0310736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,24),-0.0420176 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,25),-0.0293922 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,9),(9,10),(9,11),-0.0425363 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,12),-0.0425363 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,13),-0.0432686 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,14),-0.0423035 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,15),-0.0420187 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,16),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,18),-0.0423035 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,19),-0.0434603 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,22),-0.0423035 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,23),-0.041999 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,25),-0.0540835 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,11),(9,12),-0.042272 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,13),-0.0426965 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,14),-0.0420031 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,15),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,16),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,18),-0.0420031 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,19),-0.042692 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,22),-0.0420031 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,23),-0.0419995 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,25),-0.0680576 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,12),(9,13),-0.0427009 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,14),-0.0420031 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,15),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,16),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,18),-0.0420031 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,19),-0.0426965 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,22),-0.0420031 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,23),-0.0419995 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,25),-0.0618904 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,13),(9,14),-0.045087 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,15),-0.0387767 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,16),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,18),-0.045087 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,19),-0.0421753 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,22),-0.045087 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,23),-0.0396685 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,24),-0.042293 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,25),-0.0254841 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,14),(9,15),-0.045853 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,14),(9,16),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,14),(9,18),-0.0419171 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,14),(9,19),-0.0439064 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,14),(9,22),-0.0419171 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,14),(9,23),-0.0428915 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,14),(9,24),-0.0424111 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,14),(9,25),-0.0419721 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,15),(9,16),-0.0435911 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,15),(9,18),-0.0425446 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,15),(9,19),-0.0377743 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,15),(9,22),-0.0425446 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,15),(9,23),-0.0454104 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,15),(9,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,15),(9,25),-0.0440863 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,16),(9,18),-0.0420248 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,16),(9,19),-0.0420527 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,16),(9,22),-0.0420248 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,16),(9,23),-0.0420007 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,16),(9,24),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,16),(9,25),-0.0438352 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,18),(9,19),-0.0439064 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,18),(9,22),-0.0419171 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,18),(9,23),-0.0428915 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,18),(9,24),-0.0424111 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,18),(9,25),-0.0419721 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,19),(9,22),-0.04375 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,19),(9,23),-0.0396685 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,19),(9,24),-0.042293 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,19),(9,25),-0.0278761 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,22),(9,23),-0.0428915 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,22),(9,24),-0.0424111 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,22),(9,25),-0.0419721 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,23),(9,24),-0.0428479 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,23),(9,25),-0.0258851 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,24),(9,25),-0.0442068 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,9),(9,8),0.119164 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,7),0.125139 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,6),0.114011 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,5),0.116034 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,2),-0.12493 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,-1),-0.188374 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,9),(9,8),(9,7),0.119164 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,6),0.119164 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,5),0.119164 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,-1),-0.125182 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,7),(9,6),0.118826 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,7),(9,5),0.119164 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,7),(9,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,7),(9,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,7),(9,-1),-0.116317 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,6),(9,5),0.119009 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,6),(9,2),-0.124918 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,6),(9,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,6),(9,-1),-0.130982 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,5),(9,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,5),(9,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,5),(9,-1),-0.130865 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,2),(9,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,2),(9,-1),-0.133405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,1),(9,-1),-0.125022 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,2),(2,3),0.118777 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,4),0.103547 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,5),-0.125031 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,2),(2,2),(2,6),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,8),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,9),-0.126058 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,13),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,16),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,2),(2,2),(2,25),-0.183481 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,2),(2,3),(2,4),0.119164 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,5),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,2),(2,3),(2,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,8),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,9),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,13),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(5,2),(2,3),(2,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
