# _root_ `` We 're encouraged that talks are scheduled again but beyond that , we have made no expression of expectations , '' a Boeing spokesman said .
#goldHeads=26,3,26,3,4,7,5,7,8,3,15,11,15,15,10,15,18,16,18,19,26,26,25,25,26,0,26,
#predictedHeads=26,3,26,3,4,7,5,7,8,3,15,11,15,15,10,15,18,16,18,19,26,26,25,25,26,0,26,
(15,4),(15,19),-0.0983999 # DEPENDENCYPART_SIBL
(15,4),(15,20),-0.0671331 # DEPENDENCYPART_SIBL
(15,4),(15,21),-0.117456 # DEPENDENCYPART_SIBL
(15,4),(15,22),-0.0566796 # DEPENDENCYPART_SIBL
(15,4),(15,24),-0.0743803 # DEPENDENCYPART_SIBL
(15,4),(15,25),-0.0930113 # DEPENDENCYPART_SIBL
(15,4),(15,26),-0.0643464 # DEPENDENCYPART_SIBL
(15,4),(15,27),-0.0398212 # DEPENDENCYPART_SIBL
(15,5),(15,6),-0.0837787 # DEPENDENCYPART_SIBL
(15,5),(15,7),-0.0481441 # DEPENDENCYPART_SIBL
(15,5),(15,8),-0.0757981 # DEPENDENCYPART_SIBL
(15,5),(15,9),-0.0414286 # DEPENDENCYPART_SIBL
(15,5),(15,10),-0.210321 # DEPENDENCYPART_SIBL
(15,5),(15,11),-0.0267454 # DEPENDENCYPART_SIBL
(15,5),(15,12),-0.218463 # DEPENDENCYPART_SIBL
(15,5),(15,13),0.171032 # DEPENDENCYPART_SIBL
(15,5),(15,14),0.0866152 # DEPENDENCYPART_SIBL
(15,5),(15,16),-0.0179353 # DEPENDENCYPART_SIBL
(15,5),(15,17),-0.146912 # DEPENDENCYPART_SIBL
(15,5),(15,18),-0.120191 # DEPENDENCYPART_SIBL
(15,5),(15,19),-0.0992749 # DEPENDENCYPART_SIBL
(15,5),(15,20),-0.0955881 # DEPENDENCYPART_SIBL
(15,5),(15,21),-0.154227 # DEPENDENCYPART_SIBL
(15,5),(15,22),-0.15584 # DEPENDENCYPART_SIBL
(15,5),(15,24),-0.141105 # DEPENDENCYPART_SIBL
(15,5),(15,25),-0.125462 # DEPENDENCYPART_SIBL
(15,5),(15,26),-0.103571 # DEPENDENCYPART_SIBL
(15,5),(15,27),-0.183603 # DEPENDENCYPART_SIBL
(15,6),(15,7),-0.210225 # DEPENDENCYPART_SIBL
(15,6),(15,8),-0.219301 # DEPENDENCYPART_SIBL
(15,6),(15,9),-0.0933993 # DEPENDENCYPART_SIBL
(15,6),(15,10),-0.356597 # DEPENDENCYPART_SIBL
(15,6),(15,11),-0.0720066 # DEPENDENCYPART_SIBL
(15,6),(15,12),-0.518327 # DEPENDENCYPART_SIBL
(15,6),(15,13),-0.193043 # DEPENDENCYPART_SIBL
(15,6),(15,14),-0.63366 # DEPENDENCYPART_SIBL
(15,6),(15,16),-0.0381047 # DEPENDENCYPART_SIBL
(15,6),(15,17),-0.130483 # DEPENDENCYPART_SIBL
(15,6),(15,18),-0.0504401 # DEPENDENCYPART_SIBL
(15,6),(15,19),-0.100235 # DEPENDENCYPART_SIBL
(15,6),(15,20),-0.0804244 # DEPENDENCYPART_SIBL
(15,6),(15,21),-0.0711854 # DEPENDENCYPART_SIBL
(15,6),(15,22),0.00953976 # DEPENDENCYPART_SIBL
(15,6),(15,24),-0.0621632 # DEPENDENCYPART_SIBL
(15,6),(15,25),-0.0509997 # DEPENDENCYPART_SIBL
(15,6),(15,26),0.00510107 # DEPENDENCYPART_SIBL
(15,6),(15,27),-0.0550994 # DEPENDENCYPART_SIBL
(15,7),(15,8),-0.0846023 # DEPENDENCYPART_SIBL
(15,7),(15,9),-0.0605753 # DEPENDENCYPART_SIBL
(15,7),(15,10),-0.152712 # DEPENDENCYPART_SIBL
(15,7),(15,11),-0.113875 # DEPENDENCYPART_SIBL
(15,7),(15,12),-0.215005 # DEPENDENCYPART_SIBL
(15,7),(15,13),0.0351582 # DEPENDENCYPART_SIBL
(15,7),(15,14),0.040463 # DEPENDENCYPART_SIBL
(15,7),(15,16),-0.0100176 # DEPENDENCYPART_SIBL
(15,7),(15,17),-0.0842727 # DEPENDENCYPART_SIBL
(15,7),(15,18),-0.0383398 # DEPENDENCYPART_SIBL
(15,7),(15,19),-0.138045 # DEPENDENCYPART_SIBL
(15,7),(15,20),-0.0601841 # DEPENDENCYPART_SIBL
(15,7),(15,21),-0.0482212 # DEPENDENCYPART_SIBL
(15,7),(15,22),-0.0476937 # DEPENDENCYPART_SIBL
(15,7),(15,24),-0.0387046 # DEPENDENCYPART_SIBL
(15,7),(15,25),-0.0387534 # DEPENDENCYPART_SIBL
(15,7),(15,26),-0.0514935 # DEPENDENCYPART_SIBL
(15,7),(15,27),-0.00329434 # DEPENDENCYPART_SIBL
(15,8),(15,9),-0.0682915 # DEPENDENCYPART_SIBL
(15,8),(15,10),-0.110175 # DEPENDENCYPART_SIBL
(15,8),(15,11),-0.0755874 # DEPENDENCYPART_SIBL
(15,8),(15,12),-0.218924 # DEPENDENCYPART_SIBL
(15,8),(15,13),0.194281 # DEPENDENCYPART_SIBL
(15,8),(15,14),0.0224501 # DEPENDENCYPART_SIBL
(15,8),(15,16),-0.0801853 # DEPENDENCYPART_SIBL
(15,8),(15,17),-0.133884 # DEPENDENCYPART_SIBL
(15,8),(15,18),-0.0974446 # DEPENDENCYPART_SIBL
(15,8),(15,19),-0.0801864 # DEPENDENCYPART_SIBL
(15,8),(15,20),-0.067207 # DEPENDENCYPART_SIBL
(15,8),(15,21),-0.119884 # DEPENDENCYPART_SIBL
(15,8),(15,22),-0.0579627 # DEPENDENCYPART_SIBL
(15,8),(15,24),-0.0744779 # DEPENDENCYPART_SIBL
(15,8),(15,25),-0.098239 # DEPENDENCYPART_SIBL
(15,8),(15,26),-0.0644618 # DEPENDENCYPART_SIBL
(15,8),(15,27),-0.0454787 # DEPENDENCYPART_SIBL
(15,9),(15,10),-0.0999898 # DEPENDENCYPART_SIBL
(15,9),(15,11),0.0494884 # DEPENDENCYPART_SIBL
(15,9),(15,12),-0.159171 # DEPENDENCYPART_SIBL
(15,9),(15,13),0.10252 # DEPENDENCYPART_SIBL
(15,9),(15,14),0.0194941 # DEPENDENCYPART_SIBL
(15,9),(15,16),0.0126815 # DEPENDENCYPART_SIBL
(15,9),(15,17),-0.0829657 # DEPENDENCYPART_SIBL
(15,9),(15,18),-0.0731964 # DEPENDENCYPART_SIBL
(15,9),(15,19),-0.084046 # DEPENDENCYPART_SIBL
(15,9),(15,20),-0.0661917 # DEPENDENCYPART_SIBL
(15,9),(15,21),-0.0626942 # DEPENDENCYPART_SIBL
(15,9),(15,22),-0.0133664 # DEPENDENCYPART_SIBL
(15,9),(15,24),-0.0531136 # DEPENDENCYPART_SIBL
(15,9),(15,25),-0.0762825 # DEPENDENCYPART_SIBL
(15,9),(15,26),-0.0243295 # DEPENDENCYPART_SIBL
(15,9),(15,27),0.109218 # DEPENDENCYPART_SIBL
(15,10),(15,11),0.13617 # DEPENDENCYPART_SIBL
(15,10),(15,12),-0.119796 # DEPENDENCYPART_SIBL
(15,10),(15,13),0.102871 # DEPENDENCYPART_SIBL
(15,10),(15,14),0.0505462 # DEPENDENCYPART_SIBL
(15,10),(15,16),0.171876 # DEPENDENCYPART_SIBL
(15,10),(15,17),-0.00978862 # DEPENDENCYPART_SIBL
(15,10),(15,18),0.067903 # DEPENDENCYPART_SIBL
(15,10),(15,19),0.133586 # DEPENDENCYPART_SIBL
(15,10),(15,20),-0.0014525 # DEPENDENCYPART_SIBL
(15,10),(15,21),0.098208 # DEPENDENCYPART_SIBL
(15,10),(15,22),0.107559 # DEPENDENCYPART_SIBL
(15,10),(15,24),0.0347229 # DEPENDENCYPART_SIBL
(15,10),(15,25),0.0677094 # DEPENDENCYPART_SIBL
(15,10),(15,26),0.149628 # DEPENDENCYPART_SIBL
(15,10),(15,27),0.415686 # DEPENDENCYPART_SIBL
(15,11),(15,12),-0.121596 # DEPENDENCYPART_SIBL
(15,11),(15,13),0.275322 # DEPENDENCYPART_SIBL
(15,11),(15,14),0.224123 # DEPENDENCYPART_SIBL
(15,11),(15,16),0.0397626 # DEPENDENCYPART_SIBL
(15,11),(15,17),-0.109459 # DEPENDENCYPART_SIBL
(15,11),(15,18),-0.0738858 # DEPENDENCYPART_SIBL
(15,11),(15,19),-0.0454927 # DEPENDENCYPART_SIBL
(15,11),(15,20),-0.0691661 # DEPENDENCYPART_SIBL
(15,11),(15,21),-0.0807592 # DEPENDENCYPART_SIBL
(15,11),(15,22),-0.0252387 # DEPENDENCYPART_SIBL
(15,11),(15,24),-0.0460103 # DEPENDENCYPART_SIBL
(15,11),(15,25),-0.0791103 # DEPENDENCYPART_SIBL
(15,11),(15,26),-0.0148571 # DEPENDENCYPART_SIBL
(15,11),(15,27),0.0313172 # DEPENDENCYPART_SIBL
(15,12),(15,13),-0.347415 # DEPENDENCYPART_SIBL
(15,12),(15,14),-0.505018 # DEPENDENCYPART_SIBL
(15,12),(15,16),-0.0360324 # DEPENDENCYPART_SIBL
(15,12),(15,17),-0.128444 # DEPENDENCYPART_SIBL
(15,12),(15,18),-0.0479204 # DEPENDENCYPART_SIBL
(15,12),(15,19),-0.0119618 # DEPENDENCYPART_SIBL
(15,12),(15,20),-0.0395718 # DEPENDENCYPART_SIBL
(15,12),(15,21),-0.0832063 # DEPENDENCYPART_SIBL
(15,12),(15,22),-0.130732 # DEPENDENCYPART_SIBL
(15,12),(15,24),-0.135506 # DEPENDENCYPART_SIBL
(15,12),(15,25),-0.0505183 # DEPENDENCYPART_SIBL
(15,12),(15,26),-0.071765 # DEPENDENCYPART_SIBL
(15,12),(15,27),-0.23366 # DEPENDENCYPART_SIBL
(15,13),(15,14),0.229793 # DEPENDENCYPART_SIBL
(15,13),(15,16),0.0516012 # DEPENDENCYPART_SIBL
(15,13),(15,17),-0.113755 # DEPENDENCYPART_SIBL
(15,13),(15,18),-0.0961644 # DEPENDENCYPART_SIBL
(15,13),(15,19),-0.0944421 # DEPENDENCYPART_SIBL
(15,13),(15,20),-0.0718331 # DEPENDENCYPART_SIBL
(15,13),(15,21),-0.0144428 # DEPENDENCYPART_SIBL
(15,13),(15,22),-0.010867 # DEPENDENCYPART_SIBL
(15,13),(15,24),-0.021231 # DEPENDENCYPART_SIBL
(15,13),(15,25),-0.0706419 # DEPENDENCYPART_SIBL
(15,13),(15,26),0.220851 # DEPENDENCYPART_SIBL
(15,13),(15,27),0.0788231 # DEPENDENCYPART_SIBL
(15,14),(15,16),0.162818 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.0713016 # DEPENDENCYPART_SIBL
(15,14),(15,18),0.0818422 # DEPENDENCYPART_SIBL
(15,14),(15,19),-0.128992 # DEPENDENCYPART_SIBL
(15,14),(15,20),-0.0487848 # DEPENDENCYPART_SIBL
(15,14),(15,21),0.0255145 # DEPENDENCYPART_SIBL
(15,14),(15,22),-0.0426658 # DEPENDENCYPART_SIBL
(15,14),(15,24),0.104072 # DEPENDENCYPART_SIBL
(15,14),(15,25),0.0800952 # DEPENDENCYPART_SIBL
(15,14),(15,26),0.0547075 # DEPENDENCYPART_SIBL
(15,14),(15,27),0.0901021 # DEPENDENCYPART_SIBL
(15,16),(15,17),-0.236519 # DEPENDENCYPART_SIBL
(15,16),(15,18),-0.45034 # DEPENDENCYPART_SIBL
(15,16),(15,19),-0.388733 # DEPENDENCYPART_SIBL
(15,16),(15,20),-0.475149 # DEPENDENCYPART_SIBL
(15,16),(15,21),-0.00535822 # DEPENDENCYPART_SIBL
(15,16),(15,22),0.0514422 # DEPENDENCYPART_SIBL
(15,16),(15,24),-0.272103 # DEPENDENCYPART_SIBL
(15,16),(15,25),-0.451341 # DEPENDENCYPART_SIBL
(15,16),(15,26),-0.24762 # DEPENDENCYPART_SIBL
(15,16),(15,27),0.0973148 # DEPENDENCYPART_SIBL
(15,17),(15,18),-0.172981 # DEPENDENCYPART_SIBL
(15,17),(15,19),-0.141564 # DEPENDENCYPART_SIBL
(15,17),(15,20),-0.234193 # DEPENDENCYPART_SIBL
(15,17),(15,21),-0.112773 # DEPENDENCYPART_SIBL
(15,17),(15,22),-0.128234 # DEPENDENCYPART_SIBL
(15,17),(15,24),-0.0953288 # DEPENDENCYPART_SIBL
(15,17),(15,25),-0.173987 # DEPENDENCYPART_SIBL
(15,17),(15,26),-0.0830154 # DEPENDENCYPART_SIBL
(15,17),(15,27),-0.0847433 # DEPENDENCYPART_SIBL
(15,18),(15,19),-0.0357574 # DEPENDENCYPART_SIBL
(15,18),(15,20),-0.349901 # DEPENDENCYPART_SIBL
(15,18),(15,21),0.036977 # DEPENDENCYPART_SIBL
(15,18),(15,22),-0.0112014 # DEPENDENCYPART_SIBL
(15,18),(15,24),0.0388403 # DEPENDENCYPART_SIBL
(15,18),(15,25),-0.22414 # DEPENDENCYPART_SIBL
(15,18),(15,26),-0.124029 # DEPENDENCYPART_SIBL
(15,18),(15,27),-0.0258721 # DEPENDENCYPART_SIBL
(15,19),(15,20),-0.130714 # DEPENDENCYPART_SIBL
(15,19),(15,21),0.000677613 # DEPENDENCYPART_SIBL
(15,19),(15,22),-0.197322 # DEPENDENCYPART_SIBL
(15,19),(15,24),-0.0730046 # DEPENDENCYPART_SIBL
(15,19),(15,25),-0.0989674 # DEPENDENCYPART_SIBL
(15,19),(15,26),-0.212377 # DEPENDENCYPART_SIBL
(15,19),(15,27),-0.100051 # DEPENDENCYPART_SIBL
(15,20),(15,21),0.0668072 # DEPENDENCYPART_SIBL
(15,20),(15,22),-0.0802683 # DEPENDENCYPART_SIBL
(15,20),(15,24),0.0535375 # DEPENDENCYPART_SIBL
(15,20),(15,25),-0.151467 # DEPENDENCYPART_SIBL
(15,20),(15,26),-0.116107 # DEPENDENCYPART_SIBL
(15,20),(15,27),-0.0478859 # DEPENDENCYPART_SIBL
(15,21),(15,22),0.0478597 # DEPENDENCYPART_SIBL
(15,21),(15,24),0.532898 # DEPENDENCYPART_SIBL
(15,21),(15,25),0.0747351 # DEPENDENCYPART_SIBL
(15,21),(15,26),-0.0261996 # DEPENDENCYPART_SIBL
(15,21),(15,27),0.0182149 # DEPENDENCYPART_SIBL
(15,22),(15,24),0.0583318 # DEPENDENCYPART_SIBL
(15,22),(15,25),-0.0308344 # DEPENDENCYPART_SIBL
(15,22),(15,26),-0.148066 # DEPENDENCYPART_SIBL
(15,22),(15,27),-0.183299 # DEPENDENCYPART_SIBL
(15,24),(15,25),-0.323884 # DEPENDENCYPART_SIBL
(15,24),(15,26),-0.21316 # DEPENDENCYPART_SIBL
(15,24),(15,27),-0.00920255 # DEPENDENCYPART_SIBL
(15,25),(15,26),-0.125999 # DEPENDENCYPART_SIBL
(15,25),(15,27),-0.0189467 # DEPENDENCYPART_SIBL
(15,26),(15,27),0.135362 # DEPENDENCYPART_SIBL
(16,3),(16,5),-0.0720167 # DEPENDENCYPART_SIBL
(16,3),(16,6),0.0703848 # DEPENDENCYPART_SIBL
(16,3),(16,9),0.012993 # DEPENDENCYPART_SIBL
(16,3),(16,11),-0.0647821 # DEPENDENCYPART_SIBL
(16,3),(16,12),-0.00474822 # DEPENDENCYPART_SIBL
(16,3),(16,14),0.0997116 # DEPENDENCYPART_SIBL
(16,3),(16,17),-0.0235852 # DEPENDENCYPART_SIBL
(16,3),(16,18),-0.00813023 # DEPENDENCYPART_SIBL
(16,3),(16,19),-0.0770774 # DEPENDENCYPART_SIBL
(16,3),(16,20),0.0167665 # DEPENDENCYPART_SIBL
(16,3),(16,21),0.0104071 # DEPENDENCYPART_SIBL
(16,3),(16,22),-0.0579945 # DEPENDENCYPART_SIBL
(16,3),(16,24),-0.0175487 # DEPENDENCYPART_SIBL
(16,3),(16,25),-0.00730621 # DEPENDENCYPART_SIBL
(16,3),(16,26),-0.104042 # DEPENDENCYPART_SIBL
(16,3),(16,27),0.0112308 # DEPENDENCYPART_SIBL
(16,5),(16,6),-0.00631876 # DEPENDENCYPART_SIBL
(16,5),(16,9),-0.0654154 # DEPENDENCYPART_SIBL
(16,5),(16,11),-0.0343871 # DEPENDENCYPART_SIBL
(16,5),(16,12),-0.0278821 # DEPENDENCYPART_SIBL
(16,5),(16,14),0.0488924 # DEPENDENCYPART_SIBL
(16,5),(16,17),0.0279271 # DEPENDENCYPART_SIBL
(16,5),(16,18),0.026341 # DEPENDENCYPART_SIBL
(16,5),(16,19),0.0514988 # DEPENDENCYPART_SIBL
(16,5),(16,20),0.0357323 # DEPENDENCYPART_SIBL
(16,5),(16,21),-0.00508424 # DEPENDENCYPART_SIBL
(16,5),(16,22),-0.0737739 # DEPENDENCYPART_SIBL
(16,5),(16,24),-0.000450278 # DEPENDENCYPART_SIBL
(16,5),(16,25),0.021001 # DEPENDENCYPART_SIBL
(16,5),(16,26),-0.0727908 # DEPENDENCYPART_SIBL
(16,5),(16,27),0.0239625 # DEPENDENCYPART_SIBL
(16,6),(16,9),0.0337952 # DEPENDENCYPART_SIBL
(16,6),(16,11),0.00161049 # DEPENDENCYPART_SIBL
(16,6),(16,12),-0.159631 # DEPENDENCYPART_SIBL
(16,6),(16,14),-0.247093 # DEPENDENCYPART_SIBL
(16,6),(16,17),0.0127313 # DEPENDENCYPART_SIBL
(16,6),(16,18),-0.00402623 # DEPENDENCYPART_SIBL
(16,6),(16,19),-0.0783043 # DEPENDENCYPART_SIBL
(16,6),(16,20),0.0433297 # DEPENDENCYPART_SIBL
(16,6),(16,21),0.0398103 # DEPENDENCYPART_SIBL
(16,6),(16,22),-0.0375763 # DEPENDENCYPART_SIBL
(16,6),(16,24),0.0530942 # DEPENDENCYPART_SIBL
(16,6),(16,25),-0.00463277 # DEPENDENCYPART_SIBL
(16,6),(16,26),-0.035705 # DEPENDENCYPART_SIBL
(16,6),(16,27),0.140066 # DEPENDENCYPART_SIBL
(16,9),(16,11),-0.00660358 # DEPENDENCYPART_SIBL
(16,9),(16,12),0.00500086 # DEPENDENCYPART_SIBL
(16,9),(16,14),0.054126 # DEPENDENCYPART_SIBL
(16,9),(16,17),0.0335215 # DEPENDENCYPART_SIBL
(16,9),(16,18),-0.0465679 # DEPENDENCYPART_SIBL
(16,9),(16,19),-0.0303055 # DEPENDENCYPART_SIBL
(16,9),(16,20),0.0211814 # DEPENDENCYPART_SIBL
(16,9),(16,21),0.138879 # DEPENDENCYPART_SIBL
(16,9),(16,22),-0.0339842 # DEPENDENCYPART_SIBL
(16,9),(16,24),0.00290651 # DEPENDENCYPART_SIBL
(16,9),(16,25),-0.0498215 # DEPENDENCYPART_SIBL
(16,9),(16,26),-0.082586 # DEPENDENCYPART_SIBL
(16,9),(16,27),0.0895746 # DEPENDENCYPART_SIBL
(16,11),(16,12),0.0255708 # DEPENDENCYPART_SIBL
(16,11),(16,14),0.130436 # DEPENDENCYPART_SIBL
(16,11),(16,17),-0.0441454 # DEPENDENCYPART_SIBL
(16,11),(16,18),-0.0269651 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.00205608 # DEPENDENCYPART_SIBL
(16,11),(16,20),-0.0113572 # DEPENDENCYPART_SIBL
(16,11),(16,21),-0.0367926 # DEPENDENCYPART_SIBL
(16,11),(16,22),-0.0756357 # DEPENDENCYPART_SIBL
(16,11),(16,24),-0.0320223 # DEPENDENCYPART_SIBL
(16,11),(16,25),-0.032258 # DEPENDENCYPART_SIBL
(16,11),(16,26),-0.0932174 # DEPENDENCYPART_SIBL
(16,11),(16,27),0.0398084 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.21207 # DEPENDENCYPART_SIBL
(16,12),(16,17),0.0601486 # DEPENDENCYPART_SIBL
(16,12),(16,18),0.00835888 # DEPENDENCYPART_SIBL
(16,12),(16,19),0.127803 # DEPENDENCYPART_SIBL
(16,12),(16,20),0.0413007 # DEPENDENCYPART_SIBL
(16,12),(16,21),0.0821662 # DEPENDENCYPART_SIBL
(16,12),(16,22),-0.0447065 # DEPENDENCYPART_SIBL
(16,12),(16,24),0.0453108 # DEPENDENCYPART_SIBL
(16,12),(16,25),0.00569467 # DEPENDENCYPART_SIBL
(16,12),(16,26),-0.0135096 # DEPENDENCYPART_SIBL
(16,12),(16,27),0.0122467 # DEPENDENCYPART_SIBL
(16,14),(16,17),0.0435042 # DEPENDENCYPART_SIBL
(16,14),(16,18),-0.079902 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.1795 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.0290711 # DEPENDENCYPART_SIBL
(16,14),(16,21),0.0237245 # DEPENDENCYPART_SIBL
(16,14),(16,22),-0.0791863 # DEPENDENCYPART_SIBL
(16,14),(16,24),0.00392227 # DEPENDENCYPART_SIBL
(16,14),(16,25),-0.0814374 # DEPENDENCYPART_SIBL
(16,14),(16,26),-0.0466921 # DEPENDENCYPART_SIBL
(16,14),(16,27),0.0697798 # DEPENDENCYPART_SIBL
(16,17),(16,18),-0.11749 # DEPENDENCYPART_SIBL
(16,17),(16,19),-0.0488043 # DEPENDENCYPART_SIBL
(16,17),(16,20),-0.125079 # DEPENDENCYPART_SIBL
(16,17),(16,21),-0.0671591 # DEPENDENCYPART_SIBL
(16,17),(16,22),-0.105318 # DEPENDENCYPART_SIBL
(16,17),(16,24),-0.0251752 # DEPENDENCYPART_SIBL
(16,17),(16,25),-0.11773 # DEPENDENCYPART_SIBL
(16,17),(16,26),-0.0372643 # DEPENDENCYPART_SIBL
(16,17),(16,27),-0.00669506 # DEPENDENCYPART_SIBL
(16,18),(16,19),0.0356099 # DEPENDENCYPART_SIBL
(16,18),(16,20),-0.249864 # DEPENDENCYPART_SIBL
(16,18),(16,21),-0.00554821 # DEPENDENCYPART_SIBL
(16,18),(16,22),-0.043423 # DEPENDENCYPART_SIBL
(16,18),(16,24),0.0567733 # DEPENDENCYPART_SIBL
(16,18),(16,25),-0.163606 # DEPENDENCYPART_SIBL
(16,18),(16,26),-0.0452488 # DEPENDENCYPART_SIBL
(16,18),(16,27),0.113115 # DEPENDENCYPART_SIBL
(16,19),(16,20),-0.161055 # DEPENDENCYPART_SIBL
(16,19),(16,21),-0.205585 # DEPENDENCYPART_SIBL
(16,19),(16,22),-0.226707 # DEPENDENCYPART_SIBL
(16,19),(16,24),-0.10777 # DEPENDENCYPART_SIBL
(16,19),(16,25),-0.135549 # DEPENDENCYPART_SIBL
(16,19),(16,26),-0.255191 # DEPENDENCYPART_SIBL
(16,19),(16,27),-0.0791189 # DEPENDENCYPART_SIBL
(16,20),(16,21),0.109818 # DEPENDENCYPART_SIBL
(16,20),(16,22),0.0403972 # DEPENDENCYPART_SIBL
(16,20),(16,24),0.137331 # DEPENDENCYPART_SIBL
(16,20),(16,25),-0.0943576 # DEPENDENCYPART_SIBL
(16,20),(16,26),0.0104306 # DEPENDENCYPART_SIBL
(16,20),(16,27),0.125631 # DEPENDENCYPART_SIBL
(16,21),(16,22),0.138367 # DEPENDENCYPART_SIBL
(16,21),(16,24),0.748549 # DEPENDENCYPART_SIBL
(16,21),(16,25),0.134894 # DEPENDENCYPART_SIBL
(16,21),(16,26),0.0939039 # DEPENDENCYPART_SIBL
(16,21),(16,27),0.0214644 # DEPENDENCYPART_SIBL
(16,22),(16,24),0.30631 # DEPENDENCYPART_SIBL
(16,22),(16,25),0.141169 # DEPENDENCYPART_SIBL
(16,22),(16,26),0.0369905 # DEPENDENCYPART_SIBL
(16,22),(16,27),-0.010449 # DEPENDENCYPART_SIBL
(16,24),(16,25),-0.267294 # DEPENDENCYPART_SIBL
(16,24),(16,26),-0.142503 # DEPENDENCYPART_SIBL
(16,24),(16,27),0.00868689 # DEPENDENCYPART_SIBL
(16,25),(16,26),-0.0466504 # DEPENDENCYPART_SIBL
(16,25),(16,27),0.121114 # DEPENDENCYPART_SIBL
(16,26),(16,27),0.0153976 # DEPENDENCYPART_SIBL
(18,12),(18,16),0.236948 # DEPENDENCYPART_SIBL
(18,12),(18,17),-0.636237 # DEPENDENCYPART_SIBL
(18,12),(18,19),-0.0725647 # DEPENDENCYPART_SIBL
(18,12),(18,20),-0.0958388 # DEPENDENCYPART_SIBL
(18,12),(18,21),-0.0817767 # DEPENDENCYPART_SIBL
(18,12),(18,22),-0.122473 # DEPENDENCYPART_SIBL
(18,12),(18,24),0.037957 # DEPENDENCYPART_SIBL
(18,12),(18,25),-0.0653072 # DEPENDENCYPART_SIBL
(18,12),(18,26),-0.0392605 # DEPENDENCYPART_SIBL
(18,16),(18,17),-0.301508 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.071396 # DEPENDENCYPART_SIBL
(18,16),(18,20),-0.00137118 # DEPENDENCYPART_SIBL
(18,16),(18,21),-0.0312965 # DEPENDENCYPART_SIBL
(18,16),(18,22),-0.00533076 # DEPENDENCYPART_SIBL
(18,16),(18,24),-0.000536581 # DEPENDENCYPART_SIBL
(18,16),(18,25),-0.0170485 # DEPENDENCYPART_SIBL
(18,16),(18,26),-0.0260942 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.197892 # DEPENDENCYPART_SIBL
(18,17),(18,20),-0.0541288 # DEPENDENCYPART_SIBL
(18,17),(18,21),-0.0663878 # DEPENDENCYPART_SIBL
(18,17),(18,22),-0.0693216 # DEPENDENCYPART_SIBL
(18,17),(18,24),0.0787051 # DEPENDENCYPART_SIBL
(18,17),(18,25),0.000438564 # DEPENDENCYPART_SIBL
(18,17),(18,26),0.0303405 # DEPENDENCYPART_SIBL
(18,19),(18,20),0.0230851 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.0693118 # DEPENDENCYPART_SIBL
(18,19),(18,22),-0.244835 # DEPENDENCYPART_SIBL
(18,19),(18,24),-0.0741403 # DEPENDENCYPART_SIBL
(18,19),(18,25),-0.0129921 # DEPENDENCYPART_SIBL
(18,19),(18,26),-0.238288 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.041331 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.0371143 # DEPENDENCYPART_SIBL
(18,20),(18,24),-0.0135775 # DEPENDENCYPART_SIBL
(18,20),(18,25),-0.0984741 # DEPENDENCYPART_SIBL
(18,20),(18,26),-0.114352 # DEPENDENCYPART_SIBL
(18,21),(18,22),0.283206 # DEPENDENCYPART_SIBL
(18,21),(18,24),0.488948 # DEPENDENCYPART_SIBL
(18,21),(18,25),0.641742 # DEPENDENCYPART_SIBL
(18,21),(18,26),0.2796 # DEPENDENCYPART_SIBL
(18,22),(18,24),0.250121 # DEPENDENCYPART_SIBL
(18,22),(18,25),0.2611 # DEPENDENCYPART_SIBL
(18,22),(18,26),0.0266165 # DEPENDENCYPART_SIBL
(18,24),(18,25),-0.0488268 # DEPENDENCYPART_SIBL
(18,24),(18,26),-0.0727815 # DEPENDENCYPART_SIBL
(18,25),(18,26),-0.0797568 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.229335 # DEPENDENCYPART_SIBL
(19,17),(19,25),-0.139475 # DEPENDENCYPART_SIBL
(19,20),(19,25),-0.968115 # DEPENDENCYPART_SIBL
(20,17),(20,18),0.110037 # DEPENDENCYPART_SIBL
(20,17),(20,21),-0.0483356 # DEPENDENCYPART_SIBL
(20,17),(20,22),-0.0472075 # DEPENDENCYPART_SIBL
(20,17),(20,23),0.0153321 # DEPENDENCYPART_SIBL
(20,17),(20,24),-0.0223031 # DEPENDENCYPART_SIBL
(20,17),(20,25),-0.0279288 # DEPENDENCYPART_SIBL
(20,17),(20,26),-0.0391666 # DEPENDENCYPART_SIBL
(20,18),(20,21),-0.025149 # DEPENDENCYPART_SIBL
(20,18),(20,22),-0.00346263 # DEPENDENCYPART_SIBL
(20,18),(20,23),-0.0566502 # DEPENDENCYPART_SIBL
(20,18),(20,24),-0.0515801 # DEPENDENCYPART_SIBL
(20,18),(20,25),-0.0172658 # DEPENDENCYPART_SIBL
(20,18),(20,26),-0.0247408 # DEPENDENCYPART_SIBL
