# _root_ The establishment of the separate company , to be called Courtaulds Textiles , could be effective as early as next year 's first quarter .
#goldHeads=2,14,2,6,6,3,6,9,6,9,12,10,6,0,14,15,15,17,17,21,24,21,24,19,14,
#predictedHeads=2,14,2,6,6,3,6,9,6,9,12,10,6,0,14,15,15,17,17,21,24,21,24,19,14,
(2,9),(9,9),(9,2),0.160457 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,9),(9,9),(9,-1),0.034862 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,9),(9,8),(9,7),0.113422 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,8),(9,6),0.127023 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,8),(9,3),0.110926 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,8),(9,2),0.127027 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,8),(9,-1),-0.056439 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,7),(9,6),0.117596 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,7),(9,3),0.148133 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,7),(9,2),0.117607 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,7),(9,-1),-0.188877 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,6),(9,3),0.0864162 # DEPENDENCYPART_GRANDSIBL
(2,9),(9,6),(9,2),0.0943627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,6),(9,-1),-0.0302201 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,3),(9,2),0.109497 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,3),(9,-1),-0.161637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,9),(9,2),(9,-1),-0.0348201 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,10),(10,10),(10,11),0.027311 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,12),0.0273119 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,13),-0.0734388 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,14),-0.030658 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,15),-0.0524372 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,16),-0.0031209 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,17),0.0197265 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,18),-0.00315445 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,24),0.0312675 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,25),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,26),0.0439332 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,10),(10,11),(10,12),-0.0357378 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,13),-0.0668645 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,14),-0.0354147 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,15),-0.0577946 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,16),-0.0396178 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,17),-0.0325997 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,18),-0.0328722 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,24),-0.0357382 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,25),-0.0553958 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,11),(10,26),-0.00390503 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,12),(10,13),-0.0668645 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,12),(10,14),-0.0354147 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,12),(10,15),-0.0577946 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,12),(10,16),-0.0396178 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,12),(10,17),-0.0325997 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,12),(10,18),-0.0328722 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,12),(10,24),-0.0357382 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,12),(10,25),-0.0553958 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,12),(10,26),-0.00390415 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,13),(10,14),-0.035988 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,13),(10,15),-0.072546 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,13),(10,16),-0.0402241 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,13),(10,17),-0.0484661 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,13),(10,18),-0.0457145 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,13),(10,24),-0.0359316 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,13),(10,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,13),(10,26),-0.0933477 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,14),(10,15),-0.0428988 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,14),(10,16),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,14),(10,17),-0.0421419 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,14),(10,18),-0.0421403 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,14),(10,24),-0.037444 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,14),(10,25),-0.042001 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,14),(10,26),-0.0405567 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,15),(10,16),-0.043663 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,15),(10,17),-0.0451645 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,15),(10,18),-0.042298 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,15),(10,24),-0.047009 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,15),(10,25),-0.0419652 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,15),(10,26),-0.107287 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,16),(10,17),-0.0480763 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,16),(10,18),-0.0435532 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,16),(10,24),-0.0398299 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,16),(10,25),-0.0428785 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,16),(10,26),0.0363326 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,17),(10,18),-0.0491257 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,17),(10,24),-0.0404122 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,17),(10,25),-0.0453517 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,17),(10,26),0.0142444 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,18),(10,24),-0.0448113 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,18),(10,25),-0.0452914 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,18),(10,26),0.00819577 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,24),(10,25),-0.0553958 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,24),(10,26),-0.00154766 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,25),(10,26),-0.087443 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,10),(10,8),0.152982 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,7),0.139884 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,2),0.159619 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,10),(10,10),(10,-1),0.071115 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,10),(10,8),(10,7),0.114206 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,2),0.133335 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,8),(10,-1),-0.0800996 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,7),(10,2),0.117642 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,7),(10,-1),-0.188082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,2),(10,-1),-0.0272671 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,12),(12,12),(12,13),0.138962 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,14),-0.0493623 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,15),0.0511363 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,16),-0.0652846 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,17),-0.0736278 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,19),-0.0407039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,21),-0.184512 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,24),-0.182988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,25),0.0853674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,26),0.0974947 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,12),(12,13),(12,14),-0.0540011 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,15),-0.117429 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,16),-0.0511123 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,17),-0.0514181 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,19),-0.0290421 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,21),0.132737 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,24),0.134197 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,25),-0.0439761 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,26),-0.0437622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,14),(12,15),-0.0432865 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,16),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,17),-0.0420034 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,19),-0.0423829 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,21),-0.0420073 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,24),-0.0420073 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,25),-0.0419991 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,26),-0.0729678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,15),(12,16),-0.0439428 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,17),-0.0421359 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,19),-0.0510581 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,21),-0.0484663 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,24),-0.0484081 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,25),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,26),-0.00816082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,16),(12,17),-0.0484417 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,19),-0.0433646 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,21),-0.0605546 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,24),-0.0605546 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,25),-0.0421103 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,26),-0.049766 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,17),(12,19),-0.0480998 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,17),(12,21),-0.0440274 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,17),(12,24),-0.0440256 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,17),(12,25),-0.0425368 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,17),(12,26),-0.0868041 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,19),(12,21),-0.0390069 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,19),(12,24),-0.0409742 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,19),(12,25),-0.0454342 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,19),(12,26),-0.0810171 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,21),(12,24),-0.0133073 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,21),(12,25),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,21),(12,26),-0.00274637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,24),(12,25),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,24),(12,26),0.00286728 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,25),(12,26),0.0957853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,12),(12,11),0.152161 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,10),0.122214 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,9),0.125878 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,7),0.165796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,5),0.0924993 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,4),0.113198 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,-1),0.0220346 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,12),(12,11),(12,10),0.113872 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,11),(12,9),0.114164 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,11),(12,7),0.122624 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,11),(12,5),0.150788 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,11),(12,4),0.132622 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,11),(12,-1),-0.143132 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,10),(12,9),0.118217 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,10),(12,7),0.12303 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,10),(12,5),0.119798 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,10),(12,4),0.115195 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,10),(12,-1),-0.174652 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,9),(12,7),0.12322 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,9),(12,5),0.119795 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,9),(12,4),0.115213 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,9),(12,-1),-0.173851 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,7),(12,5),0.0939621 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,7),(12,4),0.112259 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,7),(12,-1),-0.00337174 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,5),(12,4),0.175445 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,5),(12,-1),-0.157394 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,4),(12,-1),-0.162419 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,13),(13,26),-0.00657812 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,13),(13,13),(13,-1),-0.0914485 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,14),(14,14),(14,15),-0.0320384 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,16),-0.0452176 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,17),-0.0151503 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,18),-0.0151218 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,19),-0.040375 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,21),-0.0494418 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,25),-0.0427861 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,26),-0.10319 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,14),(14,15),(14,16),-0.0420048 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,15),(14,17),-0.0439847 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,15),(14,18),-0.0439816 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,15),(14,19),-0.0454572 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,15),(14,21),-0.0450454 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,15),(14,25),-0.0550491 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,15),(14,26),0.0362919 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,16),(14,17),-0.0419998 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,16),(14,18),-0.0419998 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,16),(14,19),-0.042001 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,16),(14,21),-0.0422836 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,16),(14,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,16),(14,26),-0.0446508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,17),(14,18),-0.0401702 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,17),(14,19),-0.0356523 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,17),(14,21),-0.0420458 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,17),(14,25),-0.0419996 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,17),(14,26),-0.0375536 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,18),(14,19),-0.0356523 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,18),(14,21),-0.0420458 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,18),(14,25),-0.0419996 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,18),(14,26),-0.0374302 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,19),(14,21),-0.0421412 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,19),(14,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,19),(14,26),-0.0480897 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,21),(14,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,21),(14,26),-0.0528587 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,25),(14,26),-0.0625861 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,14),(14,13),0.123637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,12),0.182976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,11),0.182976 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,10),0.104997 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,9),0.104997 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,7),0.123637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,6),0.178402 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,5),0.112034 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,3),0.132472 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,2),0.182976 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,14),(14,14),(14,1),-0.124892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,14),(14,-1),-0.350597 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,14),(14,13),(14,12),0.103072 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,13),(14,11),0.103072 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,13),(14,10),0.134155 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,13),(14,9),0.134143 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,13),(14,7),0.119164 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,13),(14,6),0.103031 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,13),(14,5),0.11848 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,13),(14,3),0.140037 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,13),(14,2),0.103072 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,13),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,13),(14,-1),-0.146641 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,12),(14,11),0.112864 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,12),(14,10),0.120904 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,12),(14,9),0.120904 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,12),(14,7),0.104153 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,12),(14,6),0.112725 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,12),(14,5),0.117963 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,12),(14,3),0.0977668 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,12),(14,2),0.112864 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,12),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,12),(14,-1),-0.00893051 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,11),(14,10),0.120904 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,11),(14,9),0.120904 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,11),(14,7),0.104153 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,11),(14,6),0.112725 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,11),(14,5),0.117963 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,11),(14,3),0.0977668 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,11),(14,2),0.112864 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,11),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,11),(14,-1),-0.00893051 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,10),(14,9),0.118992 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,10),(14,7),0.130602 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,10),(14,6),0.115201 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,10),(14,5),0.119116 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,10),(14,3),0.119814 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,10),(14,2),0.11546 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,10),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,10),(14,-1),-0.120105 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,9),(14,7),0.1306 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,9),(14,6),0.115198 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,9),(14,5),0.119116 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,9),(14,3),0.119811 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,9),(14,2),0.115457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,9),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,9),(14,-1),-0.120113 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,7),(14,6),0.103031 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,7),(14,5),0.11848 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,7),(14,3),0.140037 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,7),(14,2),0.103072 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,7),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,7),(14,-1),-0.146641 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,6),(14,5),0.117963 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,6),(14,3),0.0938522 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,6),(14,2),0.112859 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,6),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,6),(14,-1),-0.00968446 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,5),(14,3),0.118373 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,5),(14,2),0.11859 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,5),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,5),(14,-1),-0.133324 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,3),(14,2),0.117982 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,3),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,14),(14,3),(14,-1),-0.158124 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,14),(14,2),(14,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,14),(14,2),(14,-1),-0.00893051 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,14),(14,1),(14,-1),-0.116749 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,15),(15,15),(15,16),-0.0158627 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,15),(15,15),(15,17),0.0177194 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,15),(15,15),(15,18),-0.00516157 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,15),(15,15),(15,19),-0.0199547 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,15),(15,15),(15,20),-0.018612 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,15),(15,15),(15,21),-0.00384654 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,15),(15,15),(15,23),-0.0189533 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,15),(15,15),(15,24),-0.0193509 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
