# _root_ Nashua Corp. , rumored a potential takeover target for six months , said that a Dutch company has sought U.S. approval to buy up to 25 % of Nashua 's shares .
#goldHeads=2,13,2,2,8,8,8,4,4,11,9,2,0,18,17,17,18,13,18,21,19,23,21,27,24,24,23,27,31,29,28,13,
#predictedHeads=2,13,2,2,8,8,8,4,4,11,9,2,0,18,17,17,18,13,18,21,19,23,21,27,24,24,23,27,31,29,28,13,
(4,5),(5,9),(5,33),-0.0676762 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,5),(5,5),(5,-1),-0.299784 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,6),(6,7),-0.0271193 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,9),-0.108469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,10),-0.0573358 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,11),-0.0276163 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,33),-0.0608826 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,7),(6,9),-0.0286567 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,10),-0.043179 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,11),-0.0429076 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,7),(6,33),-0.0727149 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,9),(6,10),-0.0422882 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,11),-0.0445476 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,33),-0.026998 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,10),(6,11),-0.0423154 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,33),-0.049096 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,11),(6,33),-0.073212 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,6),(6,5),0.0626964 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,3),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,2),-0.119189 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,-1),-0.204175 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,5),(6,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,5),(6,2),-0.124888 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,5),(6,-1),-0.196957 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,3),(6,2),-0.124888 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,3),(6,-1),-0.119238 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,2),(6,-1),-0.00845354 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,7),(7,8),0.00331545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,9),-0.0795061 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,10),-0.0498949 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,11),0.00405777 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,13),-0.0332357 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,33),0.0510285 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,7),(7,8),(7,9),-0.0651649 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,10),-0.0195593 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,11),-0.0435818 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,13),-0.0137605 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,8),(7,33),-0.0224528 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,9),(7,10),-0.0492435 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,11),-0.0706837 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,13),-0.0651885 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,9),(7,33),-0.0270188 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,10),(7,11),-0.0447829 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,13),-0.043576 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,10),(7,33),0.00443491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,11),(7,13),-0.0137607 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,11),(7,33),-0.0222228 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,13),(7,33),-0.0655057 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,7),(7,6),0.131941 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,5),0.0901063 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,4),0.174302 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,7),(7,7),(7,2),-0.00697921 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,7),(7,-1),-0.159039 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,7),(7,6),(7,5),0.151213 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,6),(7,4),0.0963818 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,6),(7,2),-0.12666 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,6),(7,-1),-0.0615233 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,5),(7,4),0.119373 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,5),(7,2),-0.132282 # DEPENDENCYPART_GRANDSIBL
(4,7),(7,5),(7,-1),-0.168009 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,7),(7,4),(7,2),-0.12541 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,7),(7,4),(7,-1),-0.0822069 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,7),(7,2),(7,-1),-0.110781 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,8),(8,9),-0.0812266 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,10),-0.0498949 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,11),0.00560631 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,12),0.0401425 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,13),-0.0327354 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,17),0.00784408 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,18),-0.0166734 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,33),0.0524756 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,8),(8,9),(8,10),-0.0492435 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,11),-0.0735064 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,12),0.0330522 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,13),-0.0651885 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,17),-0.0739763 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,18),-0.0744241 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,33),-0.0267263 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,10),(8,11),-0.0447829 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,12),-0.0591266 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,13),-0.043576 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,17),-0.0458324 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,18),-0.0431738 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,33),0.00443491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,11),(8,12),-0.0582777 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,11),(8,13),-0.0137601 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,11),(8,17),-0.0412407 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,11),(8,18),-0.0132651 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,11),(8,33),-0.0235406 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,12),(8,13),-0.0227283 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,12),(8,17),-0.101355 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,12),(8,18),-0.0345766 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,12),(8,33),-0.0311972 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,13),(8,17),-0.0639951 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,13),(8,18),-0.0125572 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,13),(8,33),-0.0653793 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,17),(8,18),-0.0134343 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,17),(8,33),-0.0300304 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,18),(8,33),-0.0802739 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,8),(8,7),0.0431919 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,6),0.137172 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,5),0.0933726 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,4),0.176968 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,8),(8,8),(8,3),-0.127499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,2),-0.00698101 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,1),-0.00687007 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,-1),-0.160321 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,8),(8,7),(8,6),0.121997 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,5),0.0668517 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,4),0.124872 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,7),(8,3),-0.140211 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,2),-0.10657 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,1),-0.10657 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,-1),-0.110795 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,6),(8,5),0.156749 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,6),(8,4),0.0963818 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,6),(8,3),-0.125188 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,6),(8,2),-0.12666 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,6),(8,1),-0.12666 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,6),(8,-1),-0.0613194 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,5),(8,4),0.119373 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,5),(8,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,5),(8,2),-0.132282 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,5),(8,1),-0.132282 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,5),(8,-1),-0.159378 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,4),(8,3),-0.143505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,4),(8,2),-0.12541 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,4),(8,1),-0.12541 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,4),(8,-1),-0.0795435 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,8),(8,3),(8,2),-0.142251 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,3),(8,1),-0.142251 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,3),(8,-1),-0.124082 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,2),(8,1),-0.10657 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,2),(8,-1),-0.110881 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,1),(8,-1),-0.110445 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,9),(9,10),0.0300028 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,11),0.0742777 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,12),-0.0558396 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,13),0.00559379 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,14),-0.0660911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,33),-0.101095 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,9),(9,10),(9,11),-0.0428304 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,12),-0.0339503 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,13),-0.0446656 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,14),-0.0278502 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,33),-0.00275489 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,11),(9,12),-0.0575543 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,13),-0.0528806 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,14),0.0344065 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,33),0.0724977 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,12),(9,13),-0.0493815 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,14),-0.0439096 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,33),0.0266759 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,13),(9,14),-0.0389646 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,33),-0.074666 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,14),(9,33),-0.0898489 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,9),(9,8),0.108835 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,7),0.108906 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,-1),0.0694707 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,9),(9,8),(9,7),0.115381 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,-1),-0.171332 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,7),(9,-1),-0.171261 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,10),(10,11),-0.104069 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,12),-0.0624128 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,13),-0.0424788 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,33),-0.157974 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,10),(10,11),(10,12),-0.0480824 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,13),-0.0428077 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,33),-0.101907 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,12),(10,13),-0.04793 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,12),(10,33),-0.0640529 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,13),(10,33),-0.0472047 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,10),(10,8),0.133502 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,-1),-0.398493 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,10),(10,8),(10,-1),-0.0973396 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,11),(11,12),0.0394609 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,13),-0.0302558 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,17),0.00666815 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,18),-0.0141938 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,19),-0.024338 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,21),0.00472698 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,27),0.00955092 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,33),0.0509161 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,11),(11,12),(11,13),-0.0229415 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,17),-0.101519 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,18),-0.0347897 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,19),-0.0301836 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,21),-0.090181 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,27),-0.0926052 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,12),(11,33),-0.0318571 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,13),(11,17),-0.0639962 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,13),(11,18),-0.0125572 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,13),(11,19),-0.0118588 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,13),(11,21),-0.0622875 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,13),(11,27),-0.0639407 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,13),(11,33),-0.0621891 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,17),(11,18),-0.0134346 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,17),(11,19),-0.0119425 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,17),(11,21),-0.0424552 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,17),(11,27),-0.0302799 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,17),(11,33),-0.031233 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,18),(11,19),-0.00995764 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,18),(11,21),-0.0599701 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,18),(11,27),-0.0616233 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,18),(11,33),-0.0770837 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,19),(11,21),-0.0597638 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,19),(11,27),-0.061417 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,19),(11,33),-0.06902 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,21),(11,27),-0.0313607 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,21),(11,33),-0.0238388 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,27),(11,33),-0.0231206 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,11),(11,10),0.14911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,9),0.172958 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,8),0.0393672 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,7),0.0424517 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,6),0.128788 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,5),0.0932488 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,3),-0.127499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,2),-0.00698351 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,11),(11,11),(11,-1),-0.164945 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,11),(11,10),(11,9),0.0979087 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,10),(11,8),0.117216 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,10),(11,7),0.117216 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,10),(11,6),0.119467 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,10),(11,5),0.133799 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,10),(11,3),-0.124926 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,10),(11,2),-0.124886 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,10),(11,-1),-0.0702577 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,9),(11,8),0.12733 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,9),(11,7),0.127348 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,9),(11,6),0.0944121 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,9),(11,5),0.111019 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,9),(11,3),-0.127086 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,9),(11,2),-0.124615 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,9),(11,-1),0.00231953 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,8),(11,7),0.119879 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,8),(11,6),0.122116 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,8),(11,5),0.0592541 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,8),(11,3),-0.140211 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,8),(11,2),-0.10657 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,8),(11,-1),-0.110993 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,7),(11,6),0.121495 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,7),(11,5),0.0647473 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,7),(11,3),-0.140211 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,7),(11,2),-0.10657 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,7),(11,-1),-0.111541 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,6),(11,5),0.153687 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,6),(11,3),-0.125188 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,6),(11,2),-0.12666 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,6),(11,-1),-0.0651949 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,5),(11,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,5),(11,2),-0.132282 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,5),(11,-1),-0.163015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,3),(11,2),-0.14225 # DEPENDENCYPART_GRANDSIBL
(4,11),(11,3),(11,-1),-0.125849 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,11),(11,2),(11,-1),-0.111628 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,12),(12,33),0.00961091 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,12),(12,12),(12,-1),-0.0782616 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,13),(13,13),(13,14),-0.0681937 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,15),-0.0329407 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,16),0.00826093 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,17),-0.00340561 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,18),-0.0558292 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,19),-0.032973 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,22),0.0656943 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,23),-0.0358518 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,24),-0.0791119 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,25),0.0656943 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,32),-0.0712111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,13),(13,13),(13,33),0.0247543 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,13),(13,14),(13,15),-0.0383264 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,14),(13,16),-0.0225341 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,14),(13,17),-0.0227262 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,14),(13,18),-0.0715279 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,14),(13,19),-0.0704029 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,14),(13,22),-0.0672474 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,14),(13,23),-0.0655553 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,14),(13,24),-0.0878342 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,14),(13,25),-0.0672474 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,14),(13,32),-0.0501752 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,14),(13,33),-0.0369158 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,15),(13,16),-0.0474515 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,15),(13,17),-0.0475755 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,15),(13,18),-0.0495042 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,15),(13,19),-0.0495042 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,15),(13,22),-0.0405344 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,15),(13,23),-0.0495042 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,15),(13,24),-0.0309477 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,15),(13,25),-0.0405344 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,15),(13,32),-0.0428512 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,15),(13,33),-0.0496256 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,13),(13,16),(13,17),-0.00856116 # DEPENDENCYPART_GRANDSIBL
(4,13),(13,16),(13,18),-0.0907878 # DEPENDENCYPART_GRANDSIBL
