# _root_ Ways and Means veteran Gephardt ( D. , Mo . ) moves to the House Budget Committee ; Rep. Cardin ( D. , Md . ) replaces him ... .
#goldHeads=2,5,2,5,12,7,5,7,7,9,7,0,12,17,17,17,13,12,20,27,22,20,22,22,24,22,12,27,12,12,
#predictedHeads=2,12,5,5,2,7,5,7,7,9,7,0,12,17,17,17,13,12,20,27,22,20,22,22,24,22,12,27,12,12,
(3,12),(12,12),(12,31),0.063706 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,12),(12,13),(12,14),-0.0420054 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,15),-0.0631862 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,16),-0.0631862 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,17),-0.0631862 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,18),-0.0429219 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,19),-0.0631862 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,20),-0.0631862 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,23),-0.0532386 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,25),-0.0432707 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,26),-0.0417397 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,27),-0.0593019 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,29),-0.0428041 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,30),-0.0432707 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,13),(12,31),-0.0490788 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,14),(12,15),-0.0440846 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,16),-0.0440846 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,17),-0.0440846 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,18),-0.0349225 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,19),-0.0440846 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,20),-0.0440846 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,23),-0.042167 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,25),-0.0430447 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,26),-0.0420293 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,27),-0.038842 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,29),-0.0349225 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,30),-0.0430447 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,14),(12,31),-0.0355705 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,15),(12,16),-0.0349211 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,17),-0.0349211 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,18),-0.0495606 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,19),-0.0349211 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,20),-0.0349211 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,23),-0.0669407 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,25),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,26),-0.0242322 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,27),-0.0521379 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,29),-0.0500812 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,30),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,15),(12,31),-0.0509633 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,16),(12,17),-0.0343832 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,16),(12,18),-0.0495606 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,16),(12,19),-0.0343832 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,16),(12,20),-0.0343832 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,16),(12,23),-0.0669406 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,16),(12,25),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,16),(12,26),-0.0242341 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,16),(12,27),-0.054173 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,16),(12,29),-0.0500812 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,16),(12,30),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,16),(12,31),-0.0489524 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,17),(12,18),-0.0495606 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,17),(12,19),-0.0343832 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,17),(12,20),-0.0343832 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,17),(12,23),-0.0669406 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,17),(12,25),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,17),(12,26),-0.0242322 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,17),(12,27),-0.0541732 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,17),(12,29),-0.0500812 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,17),(12,30),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,17),(12,31),-0.0492696 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,18),(12,19),-0.0488059 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,18),(12,20),-0.0488059 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,18),(12,23),-0.0427604 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,18),(12,25),-0.042003 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,18),(12,26),-0.0423135 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,18),(12,27),-0.0361476 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,18),(12,29),-0.0429169 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,18),(12,30),-0.042003 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,18),(12,31),-0.0331497 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,19),(12,20),-0.0343832 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,19),(12,23),-0.0669406 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,19),(12,25),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,19),(12,26),-0.0242889 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,19),(12,27),-0.054173 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,19),(12,29),-0.0500812 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,19),(12,30),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,19),(12,31),-0.0489115 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,20),(12,23),-0.0669406 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,20),(12,25),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,20),(12,26),-0.0242322 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,20),(12,27),-0.054173 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,20),(12,29),-0.0500812 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,20),(12,30),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,20),(12,31),-0.0489115 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,23),(12,25),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,23),(12,26),-0.0456619 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,23),(12,27),-0.0738132 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,23),(12,29),-0.0422247 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,23),(12,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,23),(12,31),-0.0944359 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,25),(12,26),-0.0368478 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,25),(12,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,25),(12,29),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,25),(12,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,25),(12,31),-0.0871039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,26),(12,27),-0.0410079 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,26),(12,29),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,26),(12,30),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,26),(12,31),0.00326707 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,27),(12,29),-0.0422153 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,27),(12,30),-0.0419652 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,27),(12,31),-0.0756469 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,29),(12,30),-0.0420049 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,29),(12,31),-0.0323715 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,30),(12,31),-0.0871039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,12),(12,11),0.09359 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,10),0.118165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,9),0.171343 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,8),0.139025 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,7),0.171162 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,6),0.135657 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,5),0.171343 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,4),0.171334 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,3),0.1713 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,12),(12,12),(12,2),-0.162738 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,1),-0.175717 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,12),(12,-1),0.0429266 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,12),(12,11),(12,10),0.119164 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,11),(12,9),0.114398 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,11),(12,8),0.118908 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,11),(12,7),0.114398 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,11),(12,6),0.119153 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,11),(12,5),0.114398 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,11),(12,4),0.114398 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,11),(12,3),0.114398 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,11),(12,2),-0.124894 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,11),(12,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,11),(12,-1),-0.136644 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,10),(12,9),0.116571 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,10),(12,8),0.119164 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,10),(12,7),0.116571 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,10),(12,6),0.11916 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,10),(12,5),0.116571 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,10),(12,4),0.116571 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,10),(12,3),0.116571 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,10),(12,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,10),(12,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,10),(12,-1),-0.127823 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,9),(12,8),0.0567425 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,9),(12,7),0.094502 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,9),(12,6),0.116979 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,9),(12,5),0.094502 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,9),(12,4),0.0945012 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,9),(12,3),0.094502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,9),(12,2),-0.125032 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,9),(12,1),-0.124895 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,9),(12,-1),-0.0235619 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,8),(12,7),0.117311 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,8),(12,6),0.117663 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,8),(12,5),0.117637 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,8),(12,4),0.117637 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,8),(12,3),0.117637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,8),(12,2),-0.124954 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,8),(12,1),-0.125259 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,8),(12,-1),-0.189313 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,7),(12,6),0.116543 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,7),(12,5),0.094502 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,7),(12,4),0.0945012 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,7),(12,3),0.094502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,7),(12,2),-0.125032 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,7),(12,1),-0.124895 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,7),(12,-1),-0.0236335 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,6),(12,5),0.119299 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,6),(12,4),0.119299 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,6),(12,3),0.119299 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,6),(12,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,6),(12,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,6),(12,-1),-0.0940332 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,5),(12,4),0.0945012 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,5),(12,3),0.094502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,5),(12,2),-0.125032 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,5),(12,1),-0.124895 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,5),(12,-1),-0.0235619 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,4),(12,3),0.094502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,4),(12,2),-0.125032 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,4),(12,1),-0.124895 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,4),(12,-1),-0.0235708 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,3),(12,2),-0.125032 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,3),(12,1),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,12),(12,3),(12,-1),-0.0236694 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,12),(12,2),(12,1),0.0947605 # DEPENDENCYPART_GRANDSIBL
(3,12),(12,2),(12,-1),-0.129466 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,12),(12,1),(12,-1),-0.0236834 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,1),(1,2),0.0423165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,3),0.150492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,4),-0.141313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,1),(1,1),(1,5),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,7),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,8),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,9),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,10),-0.125132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,12),-0.15429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,31),0.0228218 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,1),(1,2),(1,3),0.411898 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,4),-0.129985 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,2),(1,5),-0.0525598 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,7),-0.160519 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,8),-0.135625 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,9),-0.221776 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,10),-0.0847058 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,12),-0.0838474 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,31),-0.217966 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,3),(1,4),-0.125449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,3),(1,5),-0.125449 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,7),-0.125449 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,8),-0.126785 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,9),-0.125449 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,10),-0.125194 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,12),-0.125545 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,31),-0.144524 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,4),(1,5),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,7),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,8),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,9),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,10),-0.125194 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,12),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,31),-0.143148 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,1),(1,5),(1,7),-0.125449 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,8),-0.126785 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,9),-0.125449 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,10),-0.125194 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,12),-0.125545 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,31),-0.143132 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,7),(1,8),-0.126785 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,7),(1,9),-0.125449 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,7),(1,10),-0.125194 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,7),(1,12),-0.125545 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,7),(1,31),-0.143707 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,8),(1,9),-0.129532 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,8),(1,10),-0.124886 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,8),(1,12),-0.127045 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,8),(1,31),-0.0033866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,9),(1,10),-0.125194 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,9),(1,12),-0.125545 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,9),(1,31),-0.143132 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,10),(1,12),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,10),(1,31),-0.144995 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,12),(1,31),-0.173812 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,1),(1,-1),0.0975183 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,2),(2,2),(2,3),0.215562 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,4),-0.145575 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,2),(2,2),(2,5),-0.145575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,7),-0.145575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,8),-0.125566 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,9),-0.145575 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,11),-0.125231 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,12),-0.136584 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,18),-0.1249 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,23),-0.125566 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,25),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,27),-0.136584 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,30),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,31),-0.515856 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,2),(2,3),(2,4),-0.130147 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,2),(2,3),(2,5),-0.130147 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,7),-0.130147 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,8),-0.12646 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,9),-0.130147 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,11),-0.125777 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,12),-0.127112 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,18),-0.126264 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,23),-0.12646 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,27),-0.127112 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,31),-0.205679 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,2),(2,4),(2,5),-0.130147 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,4),(2,7),-0.130147 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,4),(2,8),-0.12646 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,4),(2,9),-0.130147 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,4),(2,10),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,4),(2,11),-0.125777 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,4),(2,12),-0.127112 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,4),(2,18),-0.126264 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,4),(2,23),-0.12646 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,4),(2,25),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,4),(2,27),-0.127112 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,4),(2,30),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,4),(2,31),-0.214223 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,2),(2,5),(2,7),-0.130147 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,5),(2,8),-0.12646 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,5),(2,9),-0.130147 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,5),(2,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,5),(2,11),-0.125777 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,5),(2,12),-0.127112 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,5),(2,18),-0.126264 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,5),(2,23),-0.12646 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,5),(2,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,5),(2,27),-0.127112 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,5),(2,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,5),(2,31),-0.214223 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,2),(2,7),(2,8),-0.12646 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,7),(2,9),-0.130147 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,7),(2,10),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,7),(2,11),-0.125777 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,7),(2,12),-0.127112 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,7),(2,18),-0.126264 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,7),(2,23),-0.12646 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,7),(2,25),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,7),(2,27),-0.127112 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,7),(2,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
