# _root_ Whether Polly Peck 's acquisition makes sense remains to be seen , but at the news conference , Mr. Nadir brimmed with self-confidence that he can turn Sansui around .
#goldHeads=6,3,5,3,6,8,6,13,10,8,10,13,0,21,17,17,14,21,20,21,13,21,22,26,26,23,26,27,27,13,
#predictedHeads=3,3,5,3,6,13,8,6,10,8,10,13,0,21,17,17,14,21,20,21,13,21,22,26,26,21,26,27,28,13,
(7,8),(8,12),(8,30),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,12),(8,31),-0.0246487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,13),(8,14),0.0425064 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,13),(8,18),0.141819 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,13),(8,21),0.168356 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,13),(8,22),0.214744 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,13),(8,26),0.0688162 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,13),(8,29),0.235266 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,13),(8,30),0.136199 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,13),(8,31),-0.0320422 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,14),(8,18),-0.0243748 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,14),(8,21),0.0128394 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,14),(8,22),-0.031576 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,14),(8,26),-0.0281197 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,14),(8,29),-0.0205214 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,14),(8,30),-0.0306913 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,14),(8,31),0.000730561 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,18),(8,21),-0.0158467 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,18),(8,22),-0.0446444 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,18),(8,26),-0.00767413 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,18),(8,29),-0.0415323 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,18),(8,30),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,18),(8,31),-0.0246487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,21),(8,22),-0.0260356 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,21),(8,26),-0.0186951 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,21),(8,29),-0.0253929 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,21),(8,30),-0.0229407 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,21),(8,31),-0.0274247 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,22),(8,26),-0.0268623 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,22),(8,29),-0.0104838 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,22),(8,30),-0.0306476 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,22),(8,31),0.00471024 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,26),(8,29),-0.0195249 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,26),(8,30),-0.0194428 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,26),(8,31),-0.0185997 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,29),(8,30),-0.0306476 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,29),(8,31),-0.011227 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,30),(8,31),-0.0609297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,8),(8,7),0.132991 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,6),-0.189765 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,5),-0.193418 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,3),-0.193418 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,2),-0.193418 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,1),-0.193418 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,8),(8,-1),-0.0215489 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,8),(8,7),(8,6),-0.146174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,7),(8,5),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,7),(8,3),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,7),(8,2),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,7),(8,1),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,8),(8,7),(8,-1),-0.0844313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,8),(8,6),(8,5),-0.144706 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,6),(8,3),-0.144706 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,6),(8,2),-0.144706 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,6),(8,1),-0.144706 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,6),(8,-1),-0.157572 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,5),(8,3),-0.144891 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,5),(8,2),-0.144891 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,5),(8,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,5),(8,-1),-0.0844765 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,3),(8,2),-0.144891 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,3),(8,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,3),(8,-1),-0.0842514 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,2),(8,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(7,8),(8,2),(8,-1),-0.0842514 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,8),(8,1),(8,-1),-0.0873879 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,9),(9,10),0.00793807 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,14),-0.028802 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,17),0.0275284 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,9),(9,9),(9,31),-0.218691 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,9),(9,10),(9,14),-0.0197675 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,17),-0.022223 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,10),(9,31),0.0067825 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,14),(9,17),-0.0205602 # DEPENDENCYPART_GRANDSIBL
(7,9),(9,14),(9,31),-0.0147529 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,17),(9,31),0.0451645 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,9),(9,9),(9,-1),-0.0990218 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,10),(10,10),(10,11),-0.0415462 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,12),-0.0408993 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,13),-0.00947736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,14),0.00926559 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,17),-0.0235316 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,20),-0.0231502 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,21),-0.0484116 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,26),-0.0207322 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,27),-0.0485819 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,30),-0.0230578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,31),0.0509162 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,10),(10,11),(10,12),-0.0186662 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,13),-0.0175954 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,14),-0.0264126 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,17),-0.0218316 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,20),-0.0218316 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,21),-0.0223406 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,26),-0.0186951 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,27),-0.0223406 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,30),-0.0229407 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,11),(10,31),-0.0194978 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,12),(10,13),-0.0229129 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,14),-0.0395226 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,17),-0.0362798 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,20),-0.0362798 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,21),-0.0158247 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,26),-0.00767583 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,27),-0.0158247 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,30),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,12),(10,31),-0.0247741 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,13),(10,14),0.0425063 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,17),-0.117504 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,20),-0.0949239 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,21),0.168356 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,26),0.0688162 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,27),0.277359 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,30),0.136199 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,13),(10,31),-0.0351094 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,14),(10,17),-0.0131628 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,14),(10,20),-0.0131628 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,14),(10,21),0.0127845 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,14),(10,26),-0.0281197 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,14),(10,27),0.0127845 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,14),(10,30),-0.0306913 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,14),(10,31),0.00211185 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,17),(10,20),-0.00100454 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,17),(10,21),-0.0342162 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,17),(10,26),-0.0134851 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,17),(10,27),-0.0342162 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,17),(10,30),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,17),(10,31),-0.0281732 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,20),(10,21),-0.0342162 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,20),(10,26),-0.0134851 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,20),(10,27),-0.0342162 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,20),(10,30),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,20),(10,31),-0.0277918 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,21),(10,26),-0.0186951 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,21),(10,27),-0.0223406 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,21),(10,30),-0.0229407 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,21),(10,31),-0.0268759 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,26),(10,27),-0.0201557 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,26),(10,30),-0.0194428 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,26),(10,31),-0.0186244 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,27),(10,30),-0.0229407 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,27),(10,31),-0.0270506 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,30),(10,31),-0.0609297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,10),(10,9),0.186564 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,8),0.135156 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,7),0.125666 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,6),-0.189763 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,5),-0.193423 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,3),-0.193423 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,2),-0.193423 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,1),-0.193423 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,10),(10,-1),-0.0259976 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,10),(10,9),(10,8),0.108721 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,9),(10,7),0.112604 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,9),(10,6),-0.144903 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,9),(10,5),-0.144744 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,9),(10,3),-0.144744 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,9),(10,2),-0.144744 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,9),(10,1),-0.144744 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,9),(10,-1),-0.0814087 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,8),(10,7),0.10747 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,8),(10,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,8),(10,5),-0.144706 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,8),(10,3),-0.144706 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,8),(10,2),-0.144706 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,8),(10,1),-0.144706 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,8),(10,-1),-0.157446 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,7),(10,6),-0.146174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,7),(10,5),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,7),(10,3),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,7),(10,2),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,7),(10,1),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,10),(10,7),(10,-1),-0.0890377 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,10),(10,6),(10,5),-0.144706 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,6),(10,3),-0.144706 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,6),(10,2),-0.144706 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,6),(10,1),-0.144706 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,6),(10,-1),-0.157447 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,5),(10,3),-0.144891 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,5),(10,2),-0.144891 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,5),(10,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,5),(10,-1),-0.0890829 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,3),(10,2),-0.144891 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,3),(10,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,3),(10,-1),-0.0888578 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,2),(10,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(7,10),(10,2),(10,-1),-0.0888578 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,10),(10,1),(10,-1),-0.0919943 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,11),(11,12),-0.0407767 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,13),-0.00775406 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,14),0.0129525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,17),-0.0218048 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,18),-0.0407767 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,21),-0.0450826 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,22),0.0164217 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,24),-0.0317486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,26),-0.0207101 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,27),-0.0452529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,29),-0.00724951 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,30),-0.0230578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,31),0.0517845 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,11),(11,12),(11,13),-0.0229129 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,14),-0.0395226 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,17),-0.0362797 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,18),-0.019595 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,21),-0.0158223 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,22),-0.0446444 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,24),-0.0415418 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,26),-0.00767413 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,27),-0.0158223 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,29),-0.0415323 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,30),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,12),(11,31),-0.0246487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,13),(11,14),0.0425064 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,17),-0.117497 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,18),0.141819 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,21),0.168356 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,22),0.214744 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,24),0.3599 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,26),0.0688162 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,27),0.277359 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,29),0.235266 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,30),0.136199 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,13),(11,31),-0.0333755 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,14),(11,17),-0.0125722 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,18),-0.0243748 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,21),0.0128394 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,22),-0.031576 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,24),-0.0210512 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,26),-0.0281197 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,27),0.0128394 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,29),-0.0205214 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,30),-0.0306913 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,14),(11,31),0.00732301 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,17),(11,18),-0.0346288 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,17),(11,21),-0.0342053 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,17),(11,22),0.0061218 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,17),(11,24),0.000656405 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,17),(11,26),-0.0134851 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,17),(11,27),-0.0342053 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,17),(11,29),0.00567443 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,17),(11,30),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,17),(11,31),-0.028164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,18),(11,21),-0.0158223 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,18),(11,22),-0.0446444 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,18),(11,24),-0.0415418 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,18),(11,26),-0.00767413 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,18),(11,27),-0.0158223 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,18),(11,29),-0.0415323 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,18),(11,30),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,18),(11,31),-0.0246487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,21),(11,22),-0.0260356 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,21),(11,24),-0.0253929 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,21),(11,26),-0.0186951 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,21),(11,27),-0.0223406 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,21),(11,29),-0.0253929 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,21),(11,30),-0.0229407 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,21),(11,31),-0.0261306 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,22),(11,24),-0.0110136 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,22),(11,26),-0.0268623 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,22),(11,27),-0.00705114 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,22),(11,29),-0.0104838 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,22),(11,30),-0.0306476 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,22),(11,31),0.0113027 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,24),(11,26),-0.0265283 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,24),(11,27),-0.00501621 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,24),(11,29),-0.0286217 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,24),(11,30),-0.0306476 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,24),(11,31),-0.0268309 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,26),(11,27),-0.020154 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,26),(11,29),-0.0195249 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,26),(11,30),-0.0194428 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,26),(11,31),-0.0185997 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,27),(11,29),-0.0253998 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,27),(11,30),-0.0229407 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,27),(11,31),-0.0263053 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,29),(11,30),-0.0306476 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,29),(11,31),-0.00463457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,30),(11,31),-0.0609297 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,11),(11,7),0.130651 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,5),-0.193413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,3),-0.193413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,1),-0.193413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,11),(11,-1),-0.017849 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,11),(11,7),(11,5),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,7),(11,3),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,7),(11,1),-0.144891 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(7,11),(11,7),(11,-1),-0.083803 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(7,11),(11,5),(11,3),-0.144891 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,5),(11,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,5),(11,-1),-0.0838482 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,3),(11,1),-0.144891 # DEPENDENCYPART_GRANDSIBL
(7,11),(11,3),(11,-1),-0.0836232 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(7,11),(11,1),(11,-1),-0.0867596 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(8,1),(1,1),(1,2),0.0207597 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,1),(1,1),(1,4),0.0983595 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(8,1),(1,1),(1,31),-0.178959 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(8,1),(1,2),(1,4),0.112125 # DEPENDENCYPART_GRANDSIBL
(8,1),(1,2),(1,31),-0.115263 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
