# _root_ Commodities : Dow Jones futures index 129.72 , off 0.15 ; spot index 130.16 , up 0.91 .
#goldHeads=0,1,6,6,6,1,6,7,7,9,6,13,6,13,14,14,16,1,
#predictedHeads=0,1,6,6,6,1,6,6,6,9,6,13,6,13,13,13,16,1,
(4,6),(4,9),-0.0875399 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0653534 # DEPENDENCYPART_SIBL
(4,6),(4,11),0.116175 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.314268 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.324543 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.0653534 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.099241 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.0623673 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0633159 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0656416 # DEPENDENCYPART_SIBL
(4,7),(4,10),0.00856589 # DEPENDENCYPART_SIBL
(4,7),(4,11),0.0604202 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.0134744 # DEPENDENCYPART_SIBL
(4,7),(4,13),-0.0222643 # DEPENDENCYPART_SIBL
(4,7),(4,14),0.00856589 # DEPENDENCYPART_SIBL
(4,7),(4,15),0.0633159 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.00772854 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.331337 # DEPENDENCYPART_SIBL
(4,8),(4,10),0.540225 # DEPENDENCYPART_SIBL
(4,8),(4,11),0.149324 # DEPENDENCYPART_SIBL
(4,8),(4,12),0.630549 # DEPENDENCYPART_SIBL
(4,8),(4,13),0.571988 # DEPENDENCYPART_SIBL
(4,8),(4,14),0.540226 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0444383 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.00932485 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.0527632 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0112968 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.100119 # DEPENDENCYPART_SIBL
(4,9),(4,13),-0.109336 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.0527632 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0767588 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.0677167 # DEPENDENCYPART_SIBL
(4,10),(4,11),0.0574989 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.0127982 # DEPENDENCYPART_SIBL
(4,10),(4,13),-0.0234865 # DEPENDENCYPART_SIBL
(4,10),(4,14),0.00859002 # DEPENDENCYPART_SIBL
(4,10),(4,15),0.0621668 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.00712809 # DEPENDENCYPART_SIBL
(4,11),(4,12),0.308535 # DEPENDENCYPART_SIBL
(4,11),(4,13),0.3326 # DEPENDENCYPART_SIBL
(4,11),(4,14),0.197139 # DEPENDENCYPART_SIBL
(4,11),(4,15),-0.151916 # DEPENDENCYPART_SIBL
(4,11),(4,18),0.478796 # DEPENDENCYPART_SIBL
(4,12),(4,13),-0.30413 # DEPENDENCYPART_SIBL
(4,12),(4,14),-0.045526 # DEPENDENCYPART_SIBL
(4,12),(4,15),0.121599 # DEPENDENCYPART_SIBL
(4,12),(4,18),0.108882 # DEPENDENCYPART_SIBL
(4,13),(4,14),-0.0653534 # DEPENDENCYPART_SIBL
(4,13),(4,15),0.099241 # DEPENDENCYPART_SIBL
(4,13),(4,18),0.0623673 # DEPENDENCYPART_SIBL
(4,14),(4,15),0.0621668 # DEPENDENCYPART_SIBL
(4,14),(4,18),-0.00712809 # DEPENDENCYPART_SIBL
(4,15),(4,18),0.00932485 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0567505 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0572903 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0574661 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.016975 # DEPENDENCYPART_SIBL
(5,1),(5,7),-0.0245789 # DEPENDENCYPART_SIBL
(5,1),(5,8),0.00719113 # DEPENDENCYPART_SIBL
(5,1),(5,9),-0.0483374 # DEPENDENCYPART_SIBL
(5,1),(5,11),-0.017296 # DEPENDENCYPART_SIBL
(5,1),(5,12),-0.00424493 # DEPENDENCYPART_SIBL
(5,1),(5,13),0.016975 # DEPENDENCYPART_SIBL
(5,1),(5,16),-0.0271579 # DEPENDENCYPART_SIBL
(5,1),(5,18),-0.00153335 # DEPENDENCYPART_SIBL
(5,2),(5,3),0.0541223 # DEPENDENCYPART_SIBL
(5,2),(5,4),0.0539031 # DEPENDENCYPART_SIBL
(5,2),(5,6),0.0104715 # DEPENDENCYPART_SIBL
(5,2),(5,7),0.0105224 # DEPENDENCYPART_SIBL
(5,2),(5,8),0.0112232 # DEPENDENCYPART_SIBL
(5,2),(5,9),0.0293167 # DEPENDENCYPART_SIBL
(5,2),(5,11),0.0699455 # DEPENDENCYPART_SIBL
(5,2),(5,12),0.0142948 # DEPENDENCYPART_SIBL
(5,2),(5,13),0.0104715 # DEPENDENCYPART_SIBL
(5,2),(5,16),-0.00104732 # DEPENDENCYPART_SIBL
(5,2),(5,18),0.108407 # DEPENDENCYPART_SIBL
(5,3),(5,4),0.0707002 # DEPENDENCYPART_SIBL
(5,3),(5,6),-0.0107714 # DEPENDENCYPART_SIBL
(5,3),(5,7),0.00425737 # DEPENDENCYPART_SIBL
(5,3),(5,8),-0.0408199 # DEPENDENCYPART_SIBL
(5,3),(5,9),-0.0906589 # DEPENDENCYPART_SIBL
(5,3),(5,11),0.123858 # DEPENDENCYPART_SIBL
(5,3),(5,12),-0.0174582 # DEPENDENCYPART_SIBL
(5,3),(5,13),-0.0107714 # DEPENDENCYPART_SIBL
(5,3),(5,16),-0.0161492 # DEPENDENCYPART_SIBL
(5,3),(5,18),0.0165335 # DEPENDENCYPART_SIBL
(5,4),(5,6),-0.0077443 # DEPENDENCYPART_SIBL
(5,4),(5,7),0.00371587 # DEPENDENCYPART_SIBL
(5,4),(5,8),-0.0179343 # DEPENDENCYPART_SIBL
(5,4),(5,9),-0.0837169 # DEPENDENCYPART_SIBL
(5,4),(5,11),0.10313 # DEPENDENCYPART_SIBL
(5,4),(5,12),-0.0166285 # DEPENDENCYPART_SIBL
(5,4),(5,13),-0.0077443 # DEPENDENCYPART_SIBL
(5,4),(5,16),-0.0240867 # DEPENDENCYPART_SIBL
(5,4),(5,18),0.0310772 # DEPENDENCYPART_SIBL
(5,6),(5,7),-0.0494151 # DEPENDENCYPART_SIBL
(5,6),(5,8),-0.00834403 # DEPENDENCYPART_SIBL
(5,6),(5,9),-0.0727116 # DEPENDENCYPART_SIBL
(5,6),(5,11),-0.0187197 # DEPENDENCYPART_SIBL
(5,6),(5,12),-0.111941 # DEPENDENCYPART_SIBL
(5,6),(5,13),-0.102967 # DEPENDENCYPART_SIBL
(5,6),(5,16),0.02069 # DEPENDENCYPART_SIBL
(5,6),(5,18),0.0199638 # DEPENDENCYPART_SIBL
(5,7),(5,8),-0.0152236 # DEPENDENCYPART_SIBL
(5,7),(5,9),-0.0944953 # DEPENDENCYPART_SIBL
(5,7),(5,11),-0.0173228 # DEPENDENCYPART_SIBL
(5,7),(5,12),-0.0203255 # DEPENDENCYPART_SIBL
(5,7),(5,13),-0.0185393 # DEPENDENCYPART_SIBL
(5,7),(5,16),0.0249704 # DEPENDENCYPART_SIBL
(5,7),(5,18),0.0258227 # DEPENDENCYPART_SIBL
(5,8),(5,9),0.339135 # DEPENDENCYPART_SIBL
(5,8),(5,11),-0.000982012 # DEPENDENCYPART_SIBL
(5,8),(5,12),0.537072 # DEPENDENCYPART_SIBL
(5,8),(5,13),0.483442 # DEPENDENCYPART_SIBL
(5,8),(5,16),0.435723 # DEPENDENCYPART_SIBL
(5,8),(5,18),-0.0189392 # DEPENDENCYPART_SIBL
(5,9),(5,11),-0.0293721 # DEPENDENCYPART_SIBL
(5,9),(5,12),-0.0519536 # DEPENDENCYPART_SIBL
(5,9),(5,13),-0.0514957 # DEPENDENCYPART_SIBL
(5,9),(5,16),-0.0123815 # DEPENDENCYPART_SIBL
(5,9),(5,18),0.0411457 # DEPENDENCYPART_SIBL
(5,11),(5,12),0.356147 # DEPENDENCYPART_SIBL
(5,11),(5,13),0.410778 # DEPENDENCYPART_SIBL
(5,11),(5,16),-0.0288711 # DEPENDENCYPART_SIBL
(5,11),(5,18),0.313841 # DEPENDENCYPART_SIBL
(5,12),(5,13),-0.114398 # DEPENDENCYPART_SIBL
(5,12),(5,16),0.0086407 # DEPENDENCYPART_SIBL
(5,12),(5,18),0.0352051 # DEPENDENCYPART_SIBL
(5,13),(5,16),0.02069 # DEPENDENCYPART_SIBL
(5,13),(5,18),0.0199638 # DEPENDENCYPART_SIBL
(5,16),(5,18),-0.0473684 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.00990522 # DEPENDENCYPART_SIBL
(6,1),(6,3),-0.0994481 # DEPENDENCYPART_SIBL
(6,1),(6,4),-0.0857904 # DEPENDENCYPART_SIBL
(6,1),(6,5),-0.184218 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0224623 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.0114331 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.00304972 # DEPENDENCYPART_SIBL
(6,1),(6,10),-0.0292903 # DEPENDENCYPART_SIBL
(6,1),(6,11),0.0312918 # DEPENDENCYPART_SIBL
(6,1),(6,12),-0.0420781 # DEPENDENCYPART_SIBL
(6,1),(6,13),0.0398605 # DEPENDENCYPART_SIBL
(6,1),(6,14),-0.0292903 # DEPENDENCYPART_SIBL
(6,1),(6,15),0.0114331 # DEPENDENCYPART_SIBL
(6,1),(6,16),-0.0105043 # DEPENDENCYPART_SIBL
(6,1),(6,17),-0.0292903 # DEPENDENCYPART_SIBL
(6,1),(6,18),0.0852164 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0255779 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.0390875 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.181603 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.07555 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.00047266 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.0308949 # DEPENDENCYPART_SIBL
(6,2),(6,10),-0.0801018 # DEPENDENCYPART_SIBL
(6,2),(6,11),-0.0201339 # DEPENDENCYPART_SIBL
(6,2),(6,12),-0.0945208 # DEPENDENCYPART_SIBL
(6,2),(6,13),-0.0485339 # DEPENDENCYPART_SIBL
(6,2),(6,14),-0.0801018 # DEPENDENCYPART_SIBL
(6,2),(6,15),-0.00047266 # DEPENDENCYPART_SIBL
(6,2),(6,16),-0.0742296 # DEPENDENCYPART_SIBL
(6,2),(6,17),-0.0801018 # DEPENDENCYPART_SIBL
(6,2),(6,18),0.102569 # DEPENDENCYPART_SIBL
(6,3),(6,4),0.275299 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.449788 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0805602 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.00901083 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0860211 # DEPENDENCYPART_SIBL
(6,3),(6,10),0.0699401 # DEPENDENCYPART_SIBL
(6,3),(6,11),0.216197 # DEPENDENCYPART_SIBL
(6,3),(6,12),0.0169008 # DEPENDENCYPART_SIBL
(6,3),(6,13),0.125882 # DEPENDENCYPART_SIBL
(6,3),(6,14),0.0699401 # DEPENDENCYPART_SIBL
(6,3),(6,15),-0.00901083 # DEPENDENCYPART_SIBL
(6,3),(6,16),0.0877619 # DEPENDENCYPART_SIBL
(6,3),(6,17),0.0699401 # DEPENDENCYPART_SIBL
(6,3),(6,18),0.0123349 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.414812 # DEPENDENCYPART_SIBL
(6,4),(6,7),0.0641536 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.028363 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0763075 # DEPENDENCYPART_SIBL
(6,4),(6,10),0.0535332 # DEPENDENCYPART_SIBL
(6,4),(6,11),0.17933 # DEPENDENCYPART_SIBL
(6,4),(6,12),0.00135614 # DEPENDENCYPART_SIBL
(6,4),(6,13),0.112515 # DEPENDENCYPART_SIBL
(6,4),(6,14),0.0535332 # DEPENDENCYPART_SIBL
(6,4),(6,15),-0.028363 # DEPENDENCYPART_SIBL
(6,4),(6,16),0.06258 # DEPENDENCYPART_SIBL
(6,4),(6,17),0.0535332 # DEPENDENCYPART_SIBL
(6,4),(6,18),0.0098115 # DEPENDENCYPART_SIBL
(6,5),(6,7),0.0138172 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0574479 # DEPENDENCYPART_SIBL
(6,5),(6,9),0.0526292 # DEPENDENCYPART_SIBL
(6,5),(6,10),0.00547162 # DEPENDENCYPART_SIBL
(6,5),(6,11),0.0963815 # DEPENDENCYPART_SIBL
(6,5),(6,12),0.0249249 # DEPENDENCYPART_SIBL
(6,5),(6,13),0.128856 # DEPENDENCYPART_SIBL
(6,5),(6,14),0.00547162 # DEPENDENCYPART_SIBL
(6,5),(6,15),0.0574479 # DEPENDENCYPART_SIBL
(6,5),(6,16),0.0202748 # DEPENDENCYPART_SIBL
(6,5),(6,17),0.00547162 # DEPENDENCYPART_SIBL
(6,5),(6,18),0.0803769 # DEPENDENCYPART_SIBL
(6,7),(6,8),0.0838433 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.0195085 # DEPENDENCYPART_SIBL
(6,7),(6,10),0.00271252 # DEPENDENCYPART_SIBL
(6,7),(6,11),0.0137522 # DEPENDENCYPART_SIBL
(6,7),(6,12),0.0360007 # DEPENDENCYPART_SIBL
(6,7),(6,13),0.100315 # DEPENDENCYPART_SIBL
(6,7),(6,14),0.00271252 # DEPENDENCYPART_SIBL
(6,7),(6,15),0.0838433 # DEPENDENCYPART_SIBL
(6,7),(6,16),0.0552561 # DEPENDENCYPART_SIBL
(6,7),(6,17),0.00271252 # DEPENDENCYPART_SIBL
(6,7),(6,18),-0.00563532 # DEPENDENCYPART_SIBL
(6,8),(6,9),0.473388 # DEPENDENCYPART_SIBL
(6,8),(6,10),0.293569 # DEPENDENCYPART_SIBL
(6,8),(6,11),0.107426 # DEPENDENCYPART_SIBL
(6,8),(6,12),0.656066 # DEPENDENCYPART_SIBL
(6,8),(6,13),0.662336 # DEPENDENCYPART_SIBL
(6,8),(6,14),0.293569 # DEPENDENCYPART_SIBL
(6,8),(6,15),0.0339766 # DEPENDENCYPART_SIBL
(6,8),(6,16),0.485715 # DEPENDENCYPART_SIBL
(6,8),(6,17),0.293569 # DEPENDENCYPART_SIBL
(6,8),(6,18),-0.012354 # DEPENDENCYPART_SIBL
(6,9),(6,10),-0.078312 # DEPENDENCYPART_SIBL
(6,9),(6,11),0.0100914 # DEPENDENCYPART_SIBL
(6,9),(6,12),-0.0231895 # DEPENDENCYPART_SIBL
(6,9),(6,13),0.0308521 # DEPENDENCYPART_SIBL
(6,9),(6,14),-0.078312 # DEPENDENCYPART_SIBL
(6,9),(6,15),-0.00818455 # DEPENDENCYPART_SIBL
(6,9),(6,16),-0.0489356 # DEPENDENCYPART_SIBL
(6,9),(6,17),-0.078312 # DEPENDENCYPART_SIBL
(6,9),(6,18),-0.00409086 # DEPENDENCYPART_SIBL
(6,10),(6,11),0.000101169 # DEPENDENCYPART_SIBL
(6,10),(6,12),0.0307215 # DEPENDENCYPART_SIBL
(6,10),(6,13),0.0911887 # DEPENDENCYPART_SIBL
(6,10),(6,14),-0.00357434 # DEPENDENCYPART_SIBL
(6,10),(6,15),0.0746227 # DEPENDENCYPART_SIBL
(6,10),(6,16),0.0489083 # DEPENDENCYPART_SIBL
(6,10),(6,17),-0.00357434 # DEPENDENCYPART_SIBL
(6,10),(6,18),-0.0113741 # DEPENDENCYPART_SIBL
(6,11),(6,12),0.444804 # DEPENDENCYPART_SIBL
(6,11),(6,13),0.554045 # DEPENDENCYPART_SIBL
(6,11),(6,14),0.0767464 # DEPENDENCYPART_SIBL
(6,11),(6,15),-0.194003 # DEPENDENCYPART_SIBL
(6,11),(6,16),-0.0605724 # DEPENDENCYPART_SIBL
(6,11),(6,17),0.0767464 # DEPENDENCYPART_SIBL
(6,11),(6,18),0.309058 # DEPENDENCYPART_SIBL
(6,12),(6,13),-0.100423 # DEPENDENCYPART_SIBL
(6,12),(6,14),-0.0809343 # DEPENDENCYPART_SIBL
(6,12),(6,15),-0.0621294 # DEPENDENCYPART_SIBL
(6,12),(6,16),-0.0748807 # DEPENDENCYPART_SIBL
(6,12),(6,17),-0.0809343 # DEPENDENCYPART_SIBL
(6,12),(6,18),-0.0169837 # DEPENDENCYPART_SIBL
(6,13),(6,14),-0.0886498 # DEPENDENCYPART_SIBL
(6,13),(6,15),-0.0695163 # DEPENDENCYPART_SIBL
(6,13),(6,16),-0.0840454 # DEPENDENCYPART_SIBL
(6,13),(6,17),-0.0886498 # DEPENDENCYPART_SIBL
(6,13),(6,18),-0.0400009 # DEPENDENCYPART_SIBL
(6,14),(6,15),0.0746227 # DEPENDENCYPART_SIBL
(6,14),(6,16),0.0489083 # DEPENDENCYPART_SIBL
(6,14),(6,17),-0.00357434 # DEPENDENCYPART_SIBL
(6,14),(6,18),-0.0113741 # DEPENDENCYPART_SIBL
(6,15),(6,16),0.485715 # DEPENDENCYPART_SIBL
(6,15),(6,17),0.293569 # DEPENDENCYPART_SIBL
(6,15),(6,18),-0.012354 # DEPENDENCYPART_SIBL
(6,16),(6,17),-0.0185058 # DEPENDENCYPART_SIBL
(6,16),(6,18),-0.0528776 # DEPENDENCYPART_SIBL
(6,17),(6,18),-0.0113741 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0209608 # DEPENDENCYPART_SIBL
(7,1),(7,3),-0.158795 # DEPENDENCYPART_SIBL
(7,1),(7,4),-0.159635 # DEPENDENCYPART_SIBL
(7,1),(7,5),-0.380762 # DEPENDENCYPART_SIBL
(7,1),(7,6),-0.119551 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.0544032 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.0306042 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.00133324 # DEPENDENCYPART_SIBL
(7,1),(7,11),0.0582965 # DEPENDENCYPART_SIBL
(7,1),(7,12),0.0485251 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.0620533 # DEPENDENCYPART_SIBL
(7,1),(7,14),0.00133324 # DEPENDENCYPART_SIBL
(7,1),(7,16),0.0654927 # DEPENDENCYPART_SIBL
(7,1),(7,17),0.00133324 # DEPENDENCYPART_SIBL
(7,2),(7,3),-0.00524342 # DEPENDENCYPART_SIBL
(7,2),(7,4),-0.0061273 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.034354 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0101128 # DEPENDENCYPART_SIBL
(7,2),(7,8),0.0240142 # DEPENDENCYPART_SIBL
(7,2),(7,9),0.00133241 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.0481295 # DEPENDENCYPART_SIBL
(7,2),(7,11),0.0636892 # DEPENDENCYPART_SIBL
(7,2),(7,12),0.00299599 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.00218515 # DEPENDENCYPART_SIBL
(7,2),(7,14),-0.0481295 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0118782 # DEPENDENCYPART_SIBL
(7,2),(7,17),-0.0481295 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0543467 # DEPENDENCYPART_SIBL
(7,3),(7,5),-0.0140196 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.000783178 # DEPENDENCYPART_SIBL
(7,3),(7,8),0.0800106 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0293801 # DEPENDENCYPART_SIBL
(7,3),(7,10),0.0708757 # DEPENDENCYPART_SIBL
(7,3),(7,11),0.147671 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.0801968 # DEPENDENCYPART_SIBL
(7,3),(7,13),0.0865133 # DEPENDENCYPART_SIBL
(7,3),(7,14),0.0708757 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.130265 # DEPENDENCYPART_SIBL
(7,3),(7,17),0.0708757 # DEPENDENCYPART_SIBL
(7,4),(7,5),-0.0165219 # DEPENDENCYPART_SIBL
(7,4),(7,6),-2.02606e-05 # DEPENDENCYPART_SIBL
(7,4),(7,8),0.0954096 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0305435 # DEPENDENCYPART_SIBL
(7,4),(7,10),0.0639534 # DEPENDENCYPART_SIBL
(7,4),(7,11),0.121167 # DEPENDENCYPART_SIBL
(7,4),(7,12),0.0748566 # DEPENDENCYPART_SIBL
(7,4),(7,13),0.0833722 # DEPENDENCYPART_SIBL
(7,4),(7,14),0.0639534 # DEPENDENCYPART_SIBL
(7,4),(7,16),0.113817 # DEPENDENCYPART_SIBL
(7,4),(7,17),0.0639534 # DEPENDENCYPART_SIBL
(7,5),(7,6),-0.118276 # DEPENDENCYPART_SIBL
(7,5),(7,8),0.0493199 # DEPENDENCYPART_SIBL
(7,5),(7,9),0.042455 # DEPENDENCYPART_SIBL
(7,5),(7,10),-0.00146414 # DEPENDENCYPART_SIBL
(7,5),(7,11),0.0630804 # DEPENDENCYPART_SIBL
(7,5),(7,12),0.0663426 # DEPENDENCYPART_SIBL
(7,5),(7,13),0.0896434 # DEPENDENCYPART_SIBL
(7,5),(7,14),-0.00146414 # DEPENDENCYPART_SIBL
(7,5),(7,16),0.0636306 # DEPENDENCYPART_SIBL
(7,5),(7,17),-0.00146414 # DEPENDENCYPART_SIBL
(7,6),(7,8),0.0214851 # DEPENDENCYPART_SIBL
(7,6),(7,9),0.0894172 # DEPENDENCYPART_SIBL
(7,6),(7,10),0.0177608 # DEPENDENCYPART_SIBL
(7,6),(7,11),0.117536 # DEPENDENCYPART_SIBL
(7,6),(7,12),0.0666007 # DEPENDENCYPART_SIBL
(7,6),(7,13),0.0565836 # DEPENDENCYPART_SIBL
(7,6),(7,14),0.0177608 # DEPENDENCYPART_SIBL
(7,6),(7,16),0.184042 # DEPENDENCYPART_SIBL
(7,6),(7,17),0.0177608 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.526619 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.551334 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.260207 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.597507 # DEPENDENCYPART_SIBL
(7,8),(7,13),0.547077 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.551334 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.587432 # DEPENDENCYPART_SIBL
(7,8),(7,17),0.551334 # DEPENDENCYPART_SIBL
(7,9),(7,10),0.0464252 # DEPENDENCYPART_SIBL
(7,9),(7,11),0.0959302 # DEPENDENCYPART_SIBL
(7,9),(7,12),0.0590166 # DEPENDENCYPART_SIBL
(7,9),(7,13),0.0538483 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.0464252 # DEPENDENCYPART_SIBL
(7,9),(7,16),0.0275821 # DEPENDENCYPART_SIBL
(7,9),(7,17),0.0464252 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.0127396 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0200578 # DEPENDENCYPART_SIBL
(7,10),(7,13),-0.0242198 # DEPENDENCYPART_SIBL
(7,10),(7,14),0.00167402 # DEPENDENCYPART_SIBL
(7,10),(7,16),-0.000485353 # DEPENDENCYPART_SIBL
(7,10),(7,17),0.00167402 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.283245 # DEPENDENCYPART_SIBL
(7,11),(7,13),0.311028 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.165526 # DEPENDENCYPART_SIBL
(7,11),(7,16),-0.0450304 # DEPENDENCYPART_SIBL
(7,11),(7,17),0.165526 # DEPENDENCYPART_SIBL
(7,12),(7,13),-0.0818085 # DEPENDENCYPART_SIBL
(7,12),(7,14),0.0200584 # DEPENDENCYPART_SIBL
(7,12),(7,16),0.0354101 # DEPENDENCYPART_SIBL
(7,12),(7,17),0.0200584 # DEPENDENCYPART_SIBL
(7,13),(7,14),0.0155833 # DEPENDENCYPART_SIBL
(7,13),(7,16),0.0338444 # DEPENDENCYPART_SIBL
(7,13),(7,17),0.0155833 # DEPENDENCYPART_SIBL
(7,14),(7,16),-0.000485353 # DEPENDENCYPART_SIBL
(7,14),(7,17),0.00167402 # DEPENDENCYPART_SIBL
(7,16),(7,17),0.0433089 # DEPENDENCYPART_SIBL
(9,1),(9,2),-0.0595133 # DEPENDENCYPART_SIBL
(9,1),(9,4),-0.114851 # DEPENDENCYPART_SIBL
(9,1),(9,6),-0.177122 # DEPENDENCYPART_SIBL
(9,1),(9,7),-0.0988203 # DEPENDENCYPART_SIBL
(9,1),(9,8),0.155442 # DEPENDENCYPART_SIBL
(9,1),(9,10),0.0282917 # DEPENDENCYPART_SIBL
(9,1),(9,11),0.0997188 # DEPENDENCYPART_SIBL
(9,1),(9,12),0.0882591 # DEPENDENCYPART_SIBL
(9,1),(9,13),0.105757 # DEPENDENCYPART_SIBL
(9,1),(9,14),0.0282917 # DEPENDENCYPART_SIBL
(9,1),(9,15),0.0545501 # DEPENDENCYPART_SIBL
(9,1),(9,16),0.0290674 # DEPENDENCYPART_SIBL
(9,1),(9,17),0.0282917 # DEPENDENCYPART_SIBL
(9,1),(9,18),0.151761 # DEPENDENCYPART_SIBL
(9,2),(9,4),0.0890254 # DEPENDENCYPART_SIBL
(9,2),(9,6),0.000292539 # DEPENDENCYPART_SIBL
(9,2),(9,7),0.0465453 # DEPENDENCYPART_SIBL
(9,2),(9,8),0.194798 # DEPENDENCYPART_SIBL
(9,2),(9,10),-0.0385952 # DEPENDENCYPART_SIBL
(9,2),(9,11),0.0878599 # DEPENDENCYPART_SIBL
(9,2),(9,12),-0.0254138 # DEPENDENCYPART_SIBL
(9,2),(9,13),-0.0274111 # DEPENDENCYPART_SIBL
(9,2),(9,14),-0.0385952 # DEPENDENCYPART_SIBL
(9,2),(9,15),-0.000326525 # DEPENDENCYPART_SIBL
(9,2),(9,16),-0.064739 # DEPENDENCYPART_SIBL
(9,2),(9,17),-0.0385952 # DEPENDENCYPART_SIBL
(9,2),(9,18),0.0306042 # DEPENDENCYPART_SIBL
(9,4),(9,6),0.0662123 # DEPENDENCYPART_SIBL
(9,4),(9,7),0.0796617 # DEPENDENCYPART_SIBL
(9,4),(9,8),0.595963 # DEPENDENCYPART_SIBL
(9,4),(9,10),-0.0386813 # DEPENDENCYPART_SIBL
(9,4),(9,11),0.0590692 # DEPENDENCYPART_SIBL
(9,4),(9,12),-0.0330271 # DEPENDENCYPART_SIBL
(9,4),(9,13),-0.0213262 # DEPENDENCYPART_SIBL
(9,4),(9,14),-0.0386813 # DEPENDENCYPART_SIBL
(9,4),(9,15),-0.083991 # DEPENDENCYPART_SIBL
(9,4),(9,16),-0.0373759 # DEPENDENCYPART_SIBL
(9,4),(9,17),-0.0386813 # DEPENDENCYPART_SIBL
(9,4),(9,18),0.0225092 # DEPENDENCYPART_SIBL
(9,6),(9,7),0.0272047 # DEPENDENCYPART_SIBL
(9,6),(9,8),0.347191 # DEPENDENCYPART_SIBL
(9,6),(9,10),0.0101931 # DEPENDENCYPART_SIBL
(9,6),(9,11),0.0866903 # DEPENDENCYPART_SIBL
(9,6),(9,12),0.044345 # DEPENDENCYPART_SIBL
(9,6),(9,13),0.0405621 # DEPENDENCYPART_SIBL
(9,6),(9,14),0.0101931 # DEPENDENCYPART_SIBL
