# _root_ Financial markets quieted , with stock prices edging lower , bonds inching up and the dollar almost unchanged .
#goldHeads=2,3,0,3,3,7,8,14,8,14,12,14,12,5,16,18,18,14,3,
#predictedHeads=2,3,0,3,3,7,8,5,8,14,12,14,12,8,16,18,18,14,3,
(2,8),(8,8),(8,17),0.00485166 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,18),-0.00716527 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,19),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,20),0.0781796 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,8),(8,9),(8,10),-0.0467266 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,11),-0.0419621 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,12),-0.0298789 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,13),-0.0449658 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,14),-0.0115791 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,16),-0.0427023 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,17),-0.0449658 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,18),-0.0435706 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,19),-0.0452914 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,9),(8,20),0.015559 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,10),(8,11),-0.035674 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,12),-0.0757783 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,13),-0.0508183 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,14),-0.0249004 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,16),-0.035674 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,17),-0.0457203 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,18),-0.0402487 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,19),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,10),(8,20),-0.0932716 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,11),(8,12),-0.0538322 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,13),-0.0301225 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,14),-0.0661178 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,16),-0.0343296 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,17),-0.0327614 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,18),-0.038947 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,19),-0.0550567 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,11),(8,20),-0.0483338 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,12),(8,13),-0.0429205 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,14),-0.0296008 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,16),-0.0470011 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,17),-0.0423245 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,18),-0.0433435 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,19),-0.0419652 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,12),(8,20),-0.0773734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,13),(8,14),-0.00471291 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,13),(8,16),-0.0533535 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,13),(8,17),-0.0415886 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,13),(8,18),-0.0448124 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,13),(8,19),-0.0452915 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,13),(8,20),0.0013241 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,14),(8,16),-0.111662 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,14),(8,17),0.162147 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,14),(8,18),0.00349466 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,14),(8,19),-0.00519373 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,14),(8,20),-0.0480522 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,16),(8,17),-0.0311189 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,16),(8,18),-0.038947 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,16),(8,19),-0.0554835 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,16),(8,20),-0.0515048 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,17),(8,18),-0.0440042 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,17),(8,19),-0.0452914 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,17),(8,20),0.0156706 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,18),(8,19),-0.0428785 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,18),(8,20),0.0376986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,19),(8,20),-0.0871039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,8),(8,7),0.169525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,6),0.16492 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,5),0.206042 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,4),0.139977 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,3),0.167036 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,8),(8,8),(8,2),0.169516 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,8),(8,8),(8,-1),0.0485278 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,8),(8,7),(8,6),0.0944499 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,7),(8,5),0.111751 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,7),(8,4),0.0564959 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,7),(8,3),0.11091 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,7),(8,2),0.0944731 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,7),(8,-1),-0.0272473 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,6),(8,5),0.109211 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,6),(8,4),0.0565221 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,6),(8,3),0.11091 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,6),(8,2),0.0945834 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,6),(8,-1),-0.0333028 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,5),(8,4),0.167199 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,5),(8,3),0.118307 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,5),(8,2),0.110009 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,5),(8,-1),-0.169256 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,4),(8,3),0.127571 # DEPENDENCYPART_GRANDSIBL
(2,8),(8,4),(8,2),0.117622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,4),(8,-1),-0.188084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,3),(8,2),0.11633 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,3),(8,-1),-0.146226 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,8),(8,2),(8,-1),-0.0335968 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,10),(10,10),(10,20),-0.00602351 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,10),(10,10),(10,-1),-0.090879 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,11),(11,11),(11,12),0.0448895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,13),-0.07202 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,14),-0.051202 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,16),-0.182439 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,17),-0.0726742 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,18),-0.0668941 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,19),0.0853674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,20),0.0979265 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,11),(11,12),(11,13),-0.042131 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,12),(11,14),-0.0432391 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,12),(11,16),-0.0484471 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,12),(11,17),-0.042131 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,12),(11,18),-0.0438367 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,12),(11,19),-0.0421587 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,12),(11,20),-0.0125078 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,13),(11,14),-0.0420084 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,13),(11,16),-0.0448653 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,13),(11,17),-0.0428411 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,13),(11,18),-0.0421065 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,13),(11,19),-0.0427916 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,13),(11,20),-0.0732861 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,14),(11,16),-0.12398 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,14),(11,17),0.14369 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,14),(11,18),0.00846674 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,14),(11,19),-0.00520859 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,14),(11,20),-0.0338164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,16),(11,17),-0.0370397 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,16),(11,18),-0.0454727 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,16),(11,19),-0.0383558 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,16),(11,20),-9.16397e-05 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,17),(11,18),-0.0421065 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,17),(11,19),-0.0425367 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,17),(11,20),-0.0829866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,18),(11,19),-0.0421103 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,18),(11,20),-0.0516027 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,19),(11,20),0.0957853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,11),(11,10),0.16512 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,9),0.103715 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,8),0.125793 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,7),0.153378 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,6),0.151342 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,11),(11,11),(11,-1),0.0211756 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,11),(11,10),(11,9),0.112049 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,10),(11,8),0.119865 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,10),(11,7),0.112772 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,10),(11,6),0.112772 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,10),(11,-1),-0.00446003 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,9),(11,8),0.116554 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,9),(11,7),0.117229 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,9),(11,6),0.117229 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,9),(11,-1),-0.117338 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,8),(11,7),0.12953 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,8),(11,6),0.129529 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,8),(11,-1),-0.174734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,7),(11,6),0.10916 # DEPENDENCYPART_GRANDSIBL
(2,11),(11,7),(11,-1),-0.144583 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,11),(11,6),(11,-1),-0.14517 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,12),(12,13),-0.00428246 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,14),-0.0766523 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,15),-0.0388663 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,16),-0.0225318 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,17),0.00485166 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,18),-0.00716527 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,19),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,20),0.0781796 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,12),(12,13),(12,14),-0.00471291 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,15),-0.0442772 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,16),-0.0533535 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,17),-0.0415886 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,18),-0.0448124 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,19),-0.0452915 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,20),0.0013241 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,14),(12,15),-0.0864186 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,16),-0.111662 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,17),0.162147 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,18),0.00349466 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,19),-0.00519373 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,20),-0.0480522 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,15),(12,16),-0.0440846 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,17),-0.043454 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,18),-0.0405312 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,19),-0.0430447 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,20),-0.0355704 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,16),(12,17),-0.0311189 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,18),-0.038947 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,19),-0.0554835 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,20),-0.0515048 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,17),(12,18),-0.0440042 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,17),(12,19),-0.0452914 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,17),(12,20),0.0156706 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,18),(12,19),-0.0428785 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,18),(12,20),0.0376986 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,19),(12,20),-0.0871039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,12),(12,11),0.165834 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,10),0.139977 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,7),0.169525 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,5),0.206042 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,3),0.167036 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,2),0.169516 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,12),(12,12),(12,-1),0.0485278 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,12),(12,11),(12,10),0.0565243 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,11),(12,7),0.093863 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,11),(12,5),0.110542 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,11),(12,3),0.11091 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,11),(12,2),0.0946078 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,11),(12,-1),-0.0340536 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,10),(12,7),0.117636 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,10),(12,5),0.149426 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,10),(12,3),0.127571 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,10),(12,2),0.117622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,10),(12,-1),-0.188084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,7),(12,5),0.111751 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,7),(12,3),0.11091 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,7),(12,2),0.0944731 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,7),(12,-1),-0.0272473 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,5),(12,3),0.118307 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,5),(12,2),0.110009 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,5),(12,-1),-0.169256 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,3),(12,2),0.11633 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,3),(12,-1),-0.146226 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,2),(12,-1),-0.0335968 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,19),(19,19),(19,20),-0.00521462 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,19),(19,19),(19,18),0.116701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,19),(19,19),(19,-1),-0.0509972 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,19),(19,18),(19,-1),-0.125618 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,1),(1,2),0.147792 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,3),-0.111775 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,1),(1,1),(1,4),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,5),-0.0905362 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,20),-0.206056 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,1),(1,2),(1,3),-0.124888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,2),(1,4),-0.124896 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,5),-0.125037 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,20),-0.0130128 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,3),(1,4),-0.124889 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,3),(1,5),-0.124894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,3),(1,20),-0.0969038 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,1),(1,4),(1,5),-0.124898 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,4),(1,20),-0.119238 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,5),(1,20),-0.12379 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,1),(1,-1),-0.0728265 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,2),(2,3),-0.0934838 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,2),(2,4),-0.127499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,5),-0.0318742 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,7),-0.00750315 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,8),-0.0934838 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,10),-0.127499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,11),-0.0068712 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,12),-0.0934838 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,19),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,20),-0.168069 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,3),(2,4),-0.143505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,5),-0.12798 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,7),-0.12541 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,8),-0.122561 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,10),-0.143505 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,11),-0.12541 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,12),-0.122561 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,19),-0.124894 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,3),(2,20),-0.0801293 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,4),(2,5),-0.132755 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,7),-0.142257 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,8),-0.141135 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,10),-0.128777 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,11),-0.142257 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,12),-0.141135 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,19),-0.125335 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,4),(2,20),-0.119629 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,5),(2,7),-0.128196 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,5),(2,8),-0.117442 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,5),(2,10),-0.127146 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,5),(2,11),-0.128189 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,5),(2,12),-0.117442 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,5),(2,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,5),(2,20),-0.0433103 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,7),(2,8),-0.125993 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,10),-0.140211 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,11),-0.10657 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,12),-0.125993 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,7),(2,20),-0.113229 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,8),(2,10),-0.143505 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,8),(2,11),-0.12541 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,8),(2,12),-0.122561 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,8),(2,19),-0.124894 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,8),(2,20),-0.0801293 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,10),(2,11),-0.142257 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,10),(2,12),-0.141135 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,10),(2,19),-0.125335 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,10),(2,20),-0.119629 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,11),(2,12),-0.125993 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,11),(2,19),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,11),(2,20),-0.109624 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,12),(2,19),-0.124894 # DEPENDENCYPART_GRANDSIBL
(3,2),(2,12),(2,20),-0.0801293 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,19),(2,20),-0.139005 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,2),(2,2),(2,1),-0.0534128 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,-1),0.0453448 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,1),(2,-1),-0.0487492 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,4),(4,5),-0.0531333 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,4),(4,4),(4,20),0.0119431 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,4),(4,5),(4,20),-0.0593544 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,4),(4,4),(4,-1),-0.0759368 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,5),(5,5),(5,6),0.0238201 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,7),0.0191655 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,8),0.0554183 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,5),(5,5),(5,9),-0.0200499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
