# _root_ That debt would be paid off as the assets are sold , leaving the total spending for the bailout at $ 50 billion , or $ 166 billion including interest over 10 years .
#goldHeads=2,3,0,3,4,5,5,9,10,7,10,5,5,16,16,13,16,19,17,13,20,21,21,21,21,25,26,26,26,29,30,33,31,3,
#predictedHeads=2,3,0,3,4,5,5,9,10,7,10,11,11,16,16,13,16,19,17,13,20,21,21,21,21,25,26,26,16,29,30,33,31,3,
(13,9),(13,33),-0.0293612 # DEPENDENCYPART_SIBL
(13,9),(13,34),0.0360757 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.258288 # DEPENDENCYPART_SIBL
(13,11),(13,14),0.0025922 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0424788 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0158725 # DEPENDENCYPART_SIBL
(13,11),(13,17),0.0506142 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.0153396 # DEPENDENCYPART_SIBL
(13,11),(13,20),-0.0348821 # DEPENDENCYPART_SIBL
(13,11),(13,21),-0.0216106 # DEPENDENCYPART_SIBL
(13,11),(13,23),0.0377677 # DEPENDENCYPART_SIBL
(13,11),(13,24),-0.0285291 # DEPENDENCYPART_SIBL
(13,11),(13,25),-0.00731497 # DEPENDENCYPART_SIBL
(13,11),(13,26),-0.0216106 # DEPENDENCYPART_SIBL
(13,11),(13,29),-0.016281 # DEPENDENCYPART_SIBL
(13,11),(13,30),-0.0192444 # DEPENDENCYPART_SIBL
(13,11),(13,31),-0.000809255 # DEPENDENCYPART_SIBL
(13,11),(13,33),0.0114095 # DEPENDENCYPART_SIBL
(13,11),(13,34),0.0477811 # DEPENDENCYPART_SIBL
(13,12),(13,14),-0.026141 # DEPENDENCYPART_SIBL
(13,12),(13,15),-0.0183737 # DEPENDENCYPART_SIBL
(13,12),(13,16),-0.0227229 # DEPENDENCYPART_SIBL
(13,12),(13,17),0.00414199 # DEPENDENCYPART_SIBL
(13,12),(13,19),-0.0265031 # DEPENDENCYPART_SIBL
(13,12),(13,20),-0.00320953 # DEPENDENCYPART_SIBL
(13,12),(13,21),-0.0466946 # DEPENDENCYPART_SIBL
(13,12),(13,23),-0.0203162 # DEPENDENCYPART_SIBL
(13,12),(13,24),0.06566 # DEPENDENCYPART_SIBL
(13,12),(13,25),-0.0676283 # DEPENDENCYPART_SIBL
(13,12),(13,26),-0.0466946 # DEPENDENCYPART_SIBL
(13,12),(13,29),-0.0455001 # DEPENDENCYPART_SIBL
(13,12),(13,30),-0.00867459 # DEPENDENCYPART_SIBL
(13,12),(13,31),-0.0146476 # DEPENDENCYPART_SIBL
(13,12),(13,33),0.0127508 # DEPENDENCYPART_SIBL
(13,12),(13,34),0.126711 # DEPENDENCYPART_SIBL
(13,14),(13,15),-0.028296 # DEPENDENCYPART_SIBL
(13,14),(13,16),-0.159083 # DEPENDENCYPART_SIBL
(13,14),(13,17),-0.0303625 # DEPENDENCYPART_SIBL
(13,14),(13,19),-0.155352 # DEPENDENCYPART_SIBL
(13,14),(13,20),-0.046196 # DEPENDENCYPART_SIBL
(13,14),(13,21),-0.175332 # DEPENDENCYPART_SIBL
(13,14),(13,23),-0.0603201 # DEPENDENCYPART_SIBL
(13,14),(13,24),-0.113574 # DEPENDENCYPART_SIBL
(13,14),(13,25),-0.0423928 # DEPENDENCYPART_SIBL
(13,14),(13,26),-0.175332 # DEPENDENCYPART_SIBL
(13,14),(13,29),-0.142277 # DEPENDENCYPART_SIBL
(13,14),(13,30),-0.161118 # DEPENDENCYPART_SIBL
(13,14),(13,31),-0.081315 # DEPENDENCYPART_SIBL
(13,14),(13,33),-0.125608 # DEPENDENCYPART_SIBL
(13,14),(13,34),-0.111281 # DEPENDENCYPART_SIBL
(13,15),(13,16),-0.111722 # DEPENDENCYPART_SIBL
(13,15),(13,17),0.0408918 # DEPENDENCYPART_SIBL
(13,15),(13,19),-0.1137 # DEPENDENCYPART_SIBL
(13,15),(13,20),0.133386 # DEPENDENCYPART_SIBL
(13,15),(13,21),-0.129496 # DEPENDENCYPART_SIBL
(13,15),(13,23),-0.0866062 # DEPENDENCYPART_SIBL
(13,15),(13,24),-0.0371745 # DEPENDENCYPART_SIBL
(13,15),(13,25),0.0298101 # DEPENDENCYPART_SIBL
(13,15),(13,26),-0.129496 # DEPENDENCYPART_SIBL
(13,15),(13,29),-0.0782569 # DEPENDENCYPART_SIBL
(13,15),(13,30),-0.117579 # DEPENDENCYPART_SIBL
(13,15),(13,31),0.0260075 # DEPENDENCYPART_SIBL
(13,15),(13,33),-0.170706 # DEPENDENCYPART_SIBL
(13,15),(13,34),0.00642621 # DEPENDENCYPART_SIBL
(13,16),(13,17),0.0180915 # DEPENDENCYPART_SIBL
(13,16),(13,19),-0.149248 # DEPENDENCYPART_SIBL
(13,16),(13,20),0.17505 # DEPENDENCYPART_SIBL
(13,16),(13,21),-0.0497936 # DEPENDENCYPART_SIBL
(13,16),(13,23),-0.0409406 # DEPENDENCYPART_SIBL
(13,16),(13,24),-0.0162987 # DEPENDENCYPART_SIBL
(13,16),(13,25),0.076101 # DEPENDENCYPART_SIBL
(13,16),(13,26),-0.0497936 # DEPENDENCYPART_SIBL
(13,16),(13,29),-0.0798019 # DEPENDENCYPART_SIBL
(13,16),(13,30),-0.147308 # DEPENDENCYPART_SIBL
(13,16),(13,31),0.0374484 # DEPENDENCYPART_SIBL
(13,16),(13,33),-0.297721 # DEPENDENCYPART_SIBL
(13,16),(13,34),0.017236 # DEPENDENCYPART_SIBL
(13,17),(13,19),-0.0121457 # DEPENDENCYPART_SIBL
(13,17),(13,20),-0.0752343 # DEPENDENCYPART_SIBL
(13,17),(13,21),-0.172552 # DEPENDENCYPART_SIBL
(13,17),(13,23),-0.0892909 # DEPENDENCYPART_SIBL
(13,17),(13,24),-0.00707221 # DEPENDENCYPART_SIBL
(13,17),(13,25),-0.055624 # DEPENDENCYPART_SIBL
(13,17),(13,26),-0.172552 # DEPENDENCYPART_SIBL
(13,17),(13,29),-0.0756478 # DEPENDENCYPART_SIBL
(13,17),(13,30),-0.0133771 # DEPENDENCYPART_SIBL
(13,17),(13,31),-0.0391851 # DEPENDENCYPART_SIBL
(13,17),(13,33),-0.153679 # DEPENDENCYPART_SIBL
(13,17),(13,34),0.0275723 # DEPENDENCYPART_SIBL
(13,19),(13,20),0.128621 # DEPENDENCYPART_SIBL
(13,19),(13,21),-0.0831455 # DEPENDENCYPART_SIBL
(13,19),(13,23),-0.0746166 # DEPENDENCYPART_SIBL
(13,19),(13,24),-0.0416339 # DEPENDENCYPART_SIBL
(13,19),(13,25),0.0353859 # DEPENDENCYPART_SIBL
(13,19),(13,26),-0.0831455 # DEPENDENCYPART_SIBL
(13,19),(13,29),-0.119175 # DEPENDENCYPART_SIBL
(13,19),(13,30),-0.204069 # DEPENDENCYPART_SIBL
(13,19),(13,31),0.000546746 # DEPENDENCYPART_SIBL
(13,19),(13,33),-0.331364 # DEPENDENCYPART_SIBL
(13,19),(13,34),-0.0204479 # DEPENDENCYPART_SIBL
(13,20),(13,21),-0.218567 # DEPENDENCYPART_SIBL
(13,20),(13,23),-0.0967189 # DEPENDENCYPART_SIBL
(13,20),(13,24),0.0714054 # DEPENDENCYPART_SIBL
(13,20),(13,25),0.0936376 # DEPENDENCYPART_SIBL
(13,20),(13,26),-0.218567 # DEPENDENCYPART_SIBL
(13,20),(13,29),0.011593 # DEPENDENCYPART_SIBL
(13,20),(13,30),-0.0440239 # DEPENDENCYPART_SIBL
(13,20),(13,31),-0.0146218 # DEPENDENCYPART_SIBL
(13,20),(13,33),-0.216157 # DEPENDENCYPART_SIBL
(13,20),(13,34),-0.0269411 # DEPENDENCYPART_SIBL
(13,21),(13,23),-0.00236527 # DEPENDENCYPART_SIBL
(13,21),(13,24),-0.035325 # DEPENDENCYPART_SIBL
(13,21),(13,25),0.085445 # DEPENDENCYPART_SIBL
(13,21),(13,26),-0.298029 # DEPENDENCYPART_SIBL
(13,21),(13,29),-0.062203 # DEPENDENCYPART_SIBL
(13,21),(13,30),-0.162388 # DEPENDENCYPART_SIBL
(13,21),(13,31),0.0558768 # DEPENDENCYPART_SIBL
(13,21),(13,33),-0.323184 # DEPENDENCYPART_SIBL
(13,21),(13,34),0.00351646 # DEPENDENCYPART_SIBL
(13,23),(13,24),-0.122557 # DEPENDENCYPART_SIBL
(13,23),(13,25),0.0312892 # DEPENDENCYPART_SIBL
(13,23),(13,26),-0.0235236 # DEPENDENCYPART_SIBL
(13,23),(13,29),-0.0632043 # DEPENDENCYPART_SIBL
(13,23),(13,30),-0.145314 # DEPENDENCYPART_SIBL
(13,23),(13,31),-0.0773718 # DEPENDENCYPART_SIBL
(13,23),(13,33),-0.286281 # DEPENDENCYPART_SIBL
(13,23),(13,34),-0.0473955 # DEPENDENCYPART_SIBL
(13,24),(13,25),0.76224 # DEPENDENCYPART_SIBL
(13,24),(13,26),0.0166533 # DEPENDENCYPART_SIBL
(13,24),(13,29),0.786779 # DEPENDENCYPART_SIBL
(13,24),(13,30),0.185603 # DEPENDENCYPART_SIBL
(13,24),(13,31),0.222417 # DEPENDENCYPART_SIBL
(13,24),(13,33),0.0659796 # DEPENDENCYPART_SIBL
(13,24),(13,34),0.038339 # DEPENDENCYPART_SIBL
(13,25),(13,26),-0.144272 # DEPENDENCYPART_SIBL
(13,25),(13,29),-0.189668 # DEPENDENCYPART_SIBL
(13,25),(13,30),0.0151278 # DEPENDENCYPART_SIBL
(13,25),(13,31),-0.0980754 # DEPENDENCYPART_SIBL
(13,25),(13,33),0.0707103 # DEPENDENCYPART_SIBL
(13,25),(13,34),-0.175118 # DEPENDENCYPART_SIBL
(13,26),(13,29),-0.062203 # DEPENDENCYPART_SIBL
(13,26),(13,30),-0.162388 # DEPENDENCYPART_SIBL
(13,26),(13,31),0.0558768 # DEPENDENCYPART_SIBL
(13,26),(13,33),-0.323184 # DEPENDENCYPART_SIBL
(13,26),(13,34),0.00351646 # DEPENDENCYPART_SIBL
(13,29),(13,30),-0.260972 # DEPENDENCYPART_SIBL
(13,29),(13,31),-0.132252 # DEPENDENCYPART_SIBL
(13,29),(13,33),-0.261929 # DEPENDENCYPART_SIBL
(13,29),(13,34),-0.0764762 # DEPENDENCYPART_SIBL
(13,30),(13,31),-0.0627007 # DEPENDENCYPART_SIBL
(13,30),(13,33),-0.348286 # DEPENDENCYPART_SIBL
(13,30),(13,34),-0.00474904 # DEPENDENCYPART_SIBL
(13,31),(13,33),-0.181363 # DEPENDENCYPART_SIBL
(13,31),(13,34),-0.0259047 # DEPENDENCYPART_SIBL
(13,33),(13,34),0.0691088 # DEPENDENCYPART_SIBL
(15,14),(15,17),0.187711 # DEPENDENCYPART_SIBL
(16,8),(16,9),0.152657 # DEPENDENCYPART_SIBL
(16,8),(16,11),0.386648 # DEPENDENCYPART_SIBL
(16,8),(16,12),0.18031 # DEPENDENCYPART_SIBL
(16,8),(16,13),0.507679 # DEPENDENCYPART_SIBL
(16,8),(16,14),-0.889196 # DEPENDENCYPART_SIBL
(16,8),(16,15),0.201338 # DEPENDENCYPART_SIBL
(16,8),(16,17),-0.0118886 # DEPENDENCYPART_SIBL
(16,8),(16,19),-0.0120431 # DEPENDENCYPART_SIBL
(16,8),(16,20),-0.0633313 # DEPENDENCYPART_SIBL
(16,8),(16,21),-0.170165 # DEPENDENCYPART_SIBL
(16,8),(16,24),0.0509513 # DEPENDENCYPART_SIBL
(16,8),(16,25),-0.0295925 # DEPENDENCYPART_SIBL
(16,8),(16,29),0.0867734 # DEPENDENCYPART_SIBL
(16,8),(16,31),-0.101976 # DEPENDENCYPART_SIBL
(16,8),(16,34),-0.12843 # DEPENDENCYPART_SIBL
(16,9),(16,11),0.0217292 # DEPENDENCYPART_SIBL
(16,9),(16,12),0.0907477 # DEPENDENCYPART_SIBL
(16,9),(16,13),-0.00417785 # DEPENDENCYPART_SIBL
(16,9),(16,14),-0.224193 # DEPENDENCYPART_SIBL
(16,9),(16,15),-0.0418319 # DEPENDENCYPART_SIBL
(16,9),(16,17),-0.0103545 # DEPENDENCYPART_SIBL
(16,9),(16,19),-0.0385082 # DEPENDENCYPART_SIBL
(16,9),(16,20),-0.0501474 # DEPENDENCYPART_SIBL
(16,9),(16,21),-0.0590393 # DEPENDENCYPART_SIBL
(16,9),(16,24),-0.027015 # DEPENDENCYPART_SIBL
(16,9),(16,25),0.0374133 # DEPENDENCYPART_SIBL
(16,9),(16,29),0.0322704 # DEPENDENCYPART_SIBL
(16,9),(16,31),-0.0704205 # DEPENDENCYPART_SIBL
(16,9),(16,34),0.063368 # DEPENDENCYPART_SIBL
(16,11),(16,12),0.277428 # DEPENDENCYPART_SIBL
(16,11),(16,13),-0.0175102 # DEPENDENCYPART_SIBL
(16,11),(16,14),-0.405358 # DEPENDENCYPART_SIBL
(16,11),(16,15),0.0115011 # DEPENDENCYPART_SIBL
(16,11),(16,17),0.0613526 # DEPENDENCYPART_SIBL
(16,11),(16,19),-0.00515328 # DEPENDENCYPART_SIBL
(16,11),(16,20),-0.102951 # DEPENDENCYPART_SIBL
(16,11),(16,21),-0.0236995 # DEPENDENCYPART_SIBL
(16,11),(16,24),-0.0366199 # DEPENDENCYPART_SIBL
(16,11),(16,25),0.00521428 # DEPENDENCYPART_SIBL
(16,11),(16,29),0.0334425 # DEPENDENCYPART_SIBL
(16,11),(16,31),-0.0761517 # DEPENDENCYPART_SIBL
(16,11),(16,34),0.0415093 # DEPENDENCYPART_SIBL
(16,12),(16,13),-0.0294589 # DEPENDENCYPART_SIBL
(16,12),(16,14),-0.106726 # DEPENDENCYPART_SIBL
(16,12),(16,15),0.0837036 # DEPENDENCYPART_SIBL
(16,12),(16,17),-0.0908752 # DEPENDENCYPART_SIBL
(16,12),(16,19),-0.042562 # DEPENDENCYPART_SIBL
(16,12),(16,20),-0.111675 # DEPENDENCYPART_SIBL
(16,12),(16,21),-0.0625347 # DEPENDENCYPART_SIBL
(16,12),(16,24),-0.0238379 # DEPENDENCYPART_SIBL
(16,12),(16,25),-0.0492796 # DEPENDENCYPART_SIBL
(16,12),(16,29),0.0407098 # DEPENDENCYPART_SIBL
(16,12),(16,31),-0.10884 # DEPENDENCYPART_SIBL
(16,12),(16,34),0.0345952 # DEPENDENCYPART_SIBL
(16,13),(16,14),-0.219351 # DEPENDENCYPART_SIBL
(16,13),(16,15),0.0703215 # DEPENDENCYPART_SIBL
(16,13),(16,17),0.0201195 # DEPENDENCYPART_SIBL
(16,13),(16,19),-0.0302364 # DEPENDENCYPART_SIBL
(16,13),(16,20),-0.100888 # DEPENDENCYPART_SIBL
(16,13),(16,21),-0.0421842 # DEPENDENCYPART_SIBL
(16,13),(16,24),-0.035281 # DEPENDENCYPART_SIBL
(16,13),(16,25),-0.00549299 # DEPENDENCYPART_SIBL
(16,13),(16,29),-0.0303839 # DEPENDENCYPART_SIBL
(16,13),(16,31),-0.00358903 # DEPENDENCYPART_SIBL
(16,13),(16,34),0.0213299 # DEPENDENCYPART_SIBL
(16,14),(16,15),0.201338 # DEPENDENCYPART_SIBL
(16,14),(16,17),-0.0118886 # DEPENDENCYPART_SIBL
(16,14),(16,19),-0.0120431 # DEPENDENCYPART_SIBL
(16,14),(16,20),-0.0633313 # DEPENDENCYPART_SIBL
(16,14),(16,21),-0.170165 # DEPENDENCYPART_SIBL
(16,14),(16,24),0.0509513 # DEPENDENCYPART_SIBL
(16,14),(16,25),-0.0295925 # DEPENDENCYPART_SIBL
(16,14),(16,29),0.0867734 # DEPENDENCYPART_SIBL
(16,14),(16,31),-0.101976 # DEPENDENCYPART_SIBL
(16,14),(16,34),-0.12843 # DEPENDENCYPART_SIBL
(16,15),(16,17),0.144663 # DEPENDENCYPART_SIBL
(16,15),(16,19),0.0666362 # DEPENDENCYPART_SIBL
(16,15),(16,20),0.141245 # DEPENDENCYPART_SIBL
(16,15),(16,21),0.0825791 # DEPENDENCYPART_SIBL
(16,15),(16,24),0.0382587 # DEPENDENCYPART_SIBL
(16,15),(16,25),0.166166 # DEPENDENCYPART_SIBL
(16,15),(16,29),0.220731 # DEPENDENCYPART_SIBL
(16,15),(16,31),-0.018862 # DEPENDENCYPART_SIBL
(16,15),(16,34),0.0524195 # DEPENDENCYPART_SIBL
(16,17),(16,19),0.120356 # DEPENDENCYPART_SIBL
(16,17),(16,20),0.195191 # DEPENDENCYPART_SIBL
(16,17),(16,21),0.00865946 # DEPENDENCYPART_SIBL
(16,17),(16,24),0.0497088 # DEPENDENCYPART_SIBL
(16,17),(16,25),0.00368834 # DEPENDENCYPART_SIBL
(16,17),(16,29),0.189037 # DEPENDENCYPART_SIBL
(16,17),(16,31),0.25629 # DEPENDENCYPART_SIBL
(16,17),(16,34),0.110355 # DEPENDENCYPART_SIBL
(16,19),(16,20),0.0667284 # DEPENDENCYPART_SIBL
(16,19),(16,21),-0.00199706 # DEPENDENCYPART_SIBL
(16,19),(16,24),0.0136734 # DEPENDENCYPART_SIBL
(16,19),(16,25),0.00921121 # DEPENDENCYPART_SIBL
(16,19),(16,29),0.087022 # DEPENDENCYPART_SIBL
(16,19),(16,31),0.0613567 # DEPENDENCYPART_SIBL
(16,19),(16,34),0.0124674 # DEPENDENCYPART_SIBL
(16,20),(16,21),-0.076969 # DEPENDENCYPART_SIBL
(16,20),(16,24),0.036761 # DEPENDENCYPART_SIBL
(16,20),(16,25),0.158489 # DEPENDENCYPART_SIBL
(16,20),(16,29),0.226499 # DEPENDENCYPART_SIBL
(16,20),(16,31),0.180027 # DEPENDENCYPART_SIBL
(16,20),(16,34),0.0669308 # DEPENDENCYPART_SIBL
(16,21),(16,24),0.233707 # DEPENDENCYPART_SIBL
(16,21),(16,25),0.357979 # DEPENDENCYPART_SIBL
(16,21),(16,29),0.232339 # DEPENDENCYPART_SIBL
(16,21),(16,31),0.19392 # DEPENDENCYPART_SIBL
(16,21),(16,34),0.0992103 # DEPENDENCYPART_SIBL
(16,24),(16,25),1.13148 # DEPENDENCYPART_SIBL
(16,24),(16,29),1.04703 # DEPENDENCYPART_SIBL
(16,24),(16,31),0.246166 # DEPENDENCYPART_SIBL
(16,24),(16,34),-0.00189617 # DEPENDENCYPART_SIBL
(16,25),(16,29),-0.0028634 # DEPENDENCYPART_SIBL
(16,25),(16,31),-0.118446 # DEPENDENCYPART_SIBL
(16,25),(16,34),-0.246546 # DEPENDENCYPART_SIBL
(16,29),(16,31),0.0181908 # DEPENDENCYPART_SIBL
(16,29),(16,34),-0.027378 # DEPENDENCYPART_SIBL
(16,31),(16,34),-0.00587931 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.135966 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.138882 # DEPENDENCYPART_SIBL
(17,16),(17,20),-0.00634279 # DEPENDENCYPART_SIBL
(17,16),(17,21),-0.0894756 # DEPENDENCYPART_SIBL
(17,16),(17,23),-0.101209 # DEPENDENCYPART_SIBL
(17,16),(17,26),-0.0894756 # DEPENDENCYPART_SIBL
(17,16),(17,33),-0.0767928 # DEPENDENCYPART_SIBL
(17,16),(17,34),0.00697689 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.605581 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.0962487 # DEPENDENCYPART_SIBL
(17,18),(17,21),-0.405932 # DEPENDENCYPART_SIBL
(17,18),(17,23),-0.279507 # DEPENDENCYPART_SIBL
(17,18),(17,26),-0.405932 # DEPENDENCYPART_SIBL
(17,18),(17,33),-0.435576 # DEPENDENCYPART_SIBL
(17,18),(17,34),-0.153767 # DEPENDENCYPART_SIBL
(17,19),(17,20),0.0739568 # DEPENDENCYPART_SIBL
(17,19),(17,21),-0.505216 # DEPENDENCYPART_SIBL
(17,19),(17,23),-0.481004 # DEPENDENCYPART_SIBL
(17,19),(17,26),-0.505216 # DEPENDENCYPART_SIBL
(17,19),(17,33),-0.9904 # DEPENDENCYPART_SIBL
(17,19),(17,34),-0.014294 # DEPENDENCYPART_SIBL
(17,20),(17,21),-0.291628 # DEPENDENCYPART_SIBL
(17,20),(17,23),-0.165633 # DEPENDENCYPART_SIBL
(17,20),(17,26),-0.291628 # DEPENDENCYPART_SIBL
(17,20),(17,33),-0.317925 # DEPENDENCYPART_SIBL
(17,20),(17,34),0.0367081 # DEPENDENCYPART_SIBL
(17,21),(17,23),-0.300403 # DEPENDENCYPART_SIBL
(17,21),(17,26),-0.665786 # DEPENDENCYPART_SIBL
(17,21),(17,33),-0.842028 # DEPENDENCYPART_SIBL
(17,21),(17,34),-0.0683958 # DEPENDENCYPART_SIBL
(17,23),(17,26),-0.309695 # DEPENDENCYPART_SIBL
(17,23),(17,33),-0.747928 # DEPENDENCYPART_SIBL
(17,23),(17,34),-0.0944677 # DEPENDENCYPART_SIBL
(17,26),(17,33),-0.842028 # DEPENDENCYPART_SIBL
(17,26),(17,34),-0.0683958 # DEPENDENCYPART_SIBL
(17,33),(17,34),-0.0882885 # DEPENDENCYPART_SIBL
(19,14),(19,15),0.22847 # DEPENDENCYPART_SIBL
(19,14),(19,16),0.281642 # DEPENDENCYPART_SIBL
(19,14),(19,18),-0.860487 # DEPENDENCYPART_SIBL
(19,14),(19,20),-0.107584 # DEPENDENCYPART_SIBL
(19,14),(19,21),-0.220542 # DEPENDENCYPART_SIBL
(19,14),(19,23),-0.190108 # DEPENDENCYPART_SIBL
(19,14),(19,24),-0.0578153 # DEPENDENCYPART_SIBL
(19,14),(19,25),-0.117294 # DEPENDENCYPART_SIBL
(19,14),(19,29),0.027927 # DEPENDENCYPART_SIBL
(19,14),(19,31),-0.145769 # DEPENDENCYPART_SIBL
(19,15),(19,16),0.177865 # DEPENDENCYPART_SIBL
(19,15),(19,18),-0.589626 # DEPENDENCYPART_SIBL
(19,15),(19,20),0.137669 # DEPENDENCYPART_SIBL
(19,15),(19,21),0.0692365 # DEPENDENCYPART_SIBL
(19,15),(19,23),0.0237932 # DEPENDENCYPART_SIBL
(19,15),(19,24),0.00364282 # DEPENDENCYPART_SIBL
(19,15),(19,25),0.0949936 # DEPENDENCYPART_SIBL
(19,15),(19,29),0.200376 # DEPENDENCYPART_SIBL
(19,15),(19,31),-0.0219783 # DEPENDENCYPART_SIBL
(19,16),(19,18),-0.487116 # DEPENDENCYPART_SIBL
(19,16),(19,20),-0.0120083 # DEPENDENCYPART_SIBL
(19,16),(19,21),-0.0580801 # DEPENDENCYPART_SIBL
(19,16),(19,23),-0.0200387 # DEPENDENCYPART_SIBL
(19,16),(19,24),0.0524298 # DEPENDENCYPART_SIBL
(19,16),(19,25),-0.025942 # DEPENDENCYPART_SIBL
(19,16),(19,29),0.0192354 # DEPENDENCYPART_SIBL
(19,16),(19,31),-0.13616 # DEPENDENCYPART_SIBL
(19,18),(19,20),-0.107584 # DEPENDENCYPART_SIBL
(19,18),(19,21),-0.220542 # DEPENDENCYPART_SIBL
(19,18),(19,23),-0.190108 # DEPENDENCYPART_SIBL
(19,18),(19,24),-0.0578153 # DEPENDENCYPART_SIBL
(19,18),(19,25),-0.117294 # DEPENDENCYPART_SIBL
(19,18),(19,29),0.027927 # DEPENDENCYPART_SIBL
(19,18),(19,31),-0.145769 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.0775437 # DEPENDENCYPART_SIBL
(19,20),(19,23),0.00389075 # DEPENDENCYPART_SIBL
(19,20),(19,24),0.0443754 # DEPENDENCYPART_SIBL
(19,20),(19,25),0.151909 # DEPENDENCYPART_SIBL
(19,20),(19,29),0.202495 # DEPENDENCYPART_SIBL
(19,20),(19,31),0.18036 # DEPENDENCYPART_SIBL
(19,21),(19,23),0.210848 # DEPENDENCYPART_SIBL
(19,21),(19,24),0.198013 # DEPENDENCYPART_SIBL
(19,21),(19,25),0.31377 # DEPENDENCYPART_SIBL
(19,21),(19,29),0.174408 # DEPENDENCYPART_SIBL
(19,21),(19,31),0.141063 # DEPENDENCYPART_SIBL
(19,23),(19,24),-0.00712512 # DEPENDENCYPART_SIBL
(19,23),(19,25),0.0396429 # DEPENDENCYPART_SIBL
(19,23),(19,29),0.0816859 # DEPENDENCYPART_SIBL
(19,23),(19,31),-0.0544186 # DEPENDENCYPART_SIBL
(19,24),(19,25),1.1221 # DEPENDENCYPART_SIBL
(19,24),(19,29),1.02097 # DEPENDENCYPART_SIBL
(19,24),(19,31),0.233933 # DEPENDENCYPART_SIBL
(19,25),(19,29),-0.0233526 # DEPENDENCYPART_SIBL
(19,25),(19,31),-0.122927 # DEPENDENCYPART_SIBL
(19,29),(19,31),0.0141785 # DEPENDENCYPART_SIBL
(20,17),(20,19),-0.0268141 # DEPENDENCYPART_SIBL
(20,17),(20,21),-0.0773431 # DEPENDENCYPART_SIBL
(20,17),(20,22),-0.052343 # DEPENDENCYPART_SIBL
(20,17),(20,23),-0.071057 # DEPENDENCYPART_SIBL
(20,17),(20,24),-0.114097 # DEPENDENCYPART_SIBL
(20,17),(20,25),-0.186542 # DEPENDENCYPART_SIBL
(20,17),(20,26),-0.0773431 # DEPENDENCYPART_SIBL
(20,17),(20,28),-0.071057 # DEPENDENCYPART_SIBL
(20,17),(20,30),-0.0749602 # DEPENDENCYPART_SIBL
(20,17),(20,33),-0.165257 # DEPENDENCYPART_SIBL
(20,19),(20,21),-0.11629 # DEPENDENCYPART_SIBL
(20,19),(20,22),-0.10535 # DEPENDENCYPART_SIBL
(20,19),(20,23),-0.0967075 # DEPENDENCYPART_SIBL
(20,19),(20,24),-0.0921692 # DEPENDENCYPART_SIBL
(20,19),(20,25),-0.161197 # DEPENDENCYPART_SIBL
(20,19),(20,26),-0.11629 # DEPENDENCYPART_SIBL
(20,19),(20,28),-0.0967075 # DEPENDENCYPART_SIBL
(20,19),(20,30),-0.0494076 # DEPENDENCYPART_SIBL
(20,19),(20,33),-0.136451 # DEPENDENCYPART_SIBL
(20,21),(20,22),-0.205193 # DEPENDENCYPART_SIBL
(20,21),(20,23),-0.25522 # DEPENDENCYPART_SIBL
(20,21),(20,24),0.0568013 # DEPENDENCYPART_SIBL
(20,21),(20,25),0.0443297 # DEPENDENCYPART_SIBL
(20,21),(20,26),-0.643653 # DEPENDENCYPART_SIBL
(20,21),(20,28),-0.25522 # DEPENDENCYPART_SIBL
(20,21),(20,30),-0.559665 # DEPENDENCYPART_SIBL
(20,21),(20,33),-0.789529 # DEPENDENCYPART_SIBL
(20,22),(20,23),-0.343402 # DEPENDENCYPART_SIBL
(20,22),(20,24),-0.146732 # DEPENDENCYPART_SIBL
(20,22),(20,25),-0.0985798 # DEPENDENCYPART_SIBL
(20,22),(20,26),-0.402895 # DEPENDENCYPART_SIBL
(20,22),(20,28),-0.343402 # DEPENDENCYPART_SIBL
(20,22),(20,30),-0.598311 # DEPENDENCYPART_SIBL
(20,22),(20,33),-0.764681 # DEPENDENCYPART_SIBL
(20,23),(20,24),-0.193654 # DEPENDENCYPART_SIBL
(20,23),(20,25),-0.0675999 # DEPENDENCYPART_SIBL
(20,23),(20,26),-0.37667 # DEPENDENCYPART_SIBL
(20,23),(20,28),-0.380513 # DEPENDENCYPART_SIBL
(20,23),(20,30),-0.602979 # DEPENDENCYPART_SIBL
(20,23),(20,33),-0.772711 # DEPENDENCYPART_SIBL
(20,24),(20,25),0.859371 # DEPENDENCYPART_SIBL
(20,24),(20,26),-0.149341 # DEPENDENCYPART_SIBL
(20,24),(20,28),-0.0468311 # DEPENDENCYPART_SIBL
(20,24),(20,30),0.00220955 # DEPENDENCYPART_SIBL
(20,24),(20,33),-0.123175 # DEPENDENCYPART_SIBL
(20,25),(20,26),-0.187696 # DEPENDENCYPART_SIBL
(20,25),(20,28),-0.139142 # DEPENDENCYPART_SIBL
(20,25),(20,30),-0.0215743 # DEPENDENCYPART_SIBL
