# _root_ `` The earnings were fine and above expectations , '' said Michael W. Blumstein , an analyst at First Boston Corp .
#goldHeads=11,3,4,11,6,4,6,7,11,11,0,14,14,11,14,17,14,17,21,21,18,11,
#predictedHeads=11,3,4,11,6,8,6,4,11,11,0,14,14,11,14,17,14,17,21,21,18,11,
(14,17),(14,19),-0.87537 # DEPENDENCYPART_NEXTSIBL
(14,17),(14,20),-1.05517 # DEPENDENCYPART_NEXTSIBL
(14,17),(14,21),-1.10323 # DEPENDENCYPART_NEXTSIBL
(14,17),(14,22),-0.435425 # DEPENDENCYPART_NEXTSIBL
(14,17),(14,23),-0.826301 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,18),(14,19),-0.979198 # DEPENDENCYPART_NEXTSIBL
(14,18),(14,20),-0.848088 # DEPENDENCYPART_NEXTSIBL
(14,18),(14,21),-0.82544 # DEPENDENCYPART_NEXTSIBL
(14,18),(14,22),-0.635864 # DEPENDENCYPART_NEXTSIBL
(14,18),(14,23),-0.674608 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,19),(14,20),-1.24882 # DEPENDENCYPART_NEXTSIBL
(14,19),(14,21),-1.35351 # DEPENDENCYPART_NEXTSIBL
(14,19),(14,22),-0.926295 # DEPENDENCYPART_NEXTSIBL
(14,19),(14,23),-1.00805 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,20),(14,21),-1.10488 # DEPENDENCYPART_NEXTSIBL
(14,20),(14,22),-0.848933 # DEPENDENCYPART_NEXTSIBL
(14,20),(14,23),-1.38909 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,21),(14,22),-0.4499 # DEPENDENCYPART_NEXTSIBL
(14,21),(14,23),-1.22182 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,22),(14,23),-1.36508 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,14),(14,13),-0.161611 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,12),-0.117323 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,11),-0.300125 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,9),-1.50243 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,8),-0.262999 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,7),-0.30484 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,5),-0.132036 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,-1),-0.458656 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(14,13),(14,12),-0.224556 # DEPENDENCYPART_NEXTSIBL
(14,13),(14,11),-0.775641 # DEPENDENCYPART_NEXTSIBL
(14,13),(14,9),-1.30087 # DEPENDENCYPART_NEXTSIBL
(14,13),(14,8),-1.10665 # DEPENDENCYPART_NEXTSIBL
(14,13),(14,7),-1.05339 # DEPENDENCYPART_NEXTSIBL
(14,13),(14,5),-1.12803 # DEPENDENCYPART_NEXTSIBL
(14,13),(14,-1),-1.42449 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,12),(14,11),-0.549299 # DEPENDENCYPART_NEXTSIBL
(14,12),(14,9),-1.45599 # DEPENDENCYPART_NEXTSIBL
(14,12),(14,8),-1.286 # DEPENDENCYPART_NEXTSIBL
(14,12),(14,7),-1.02905 # DEPENDENCYPART_NEXTSIBL
(14,12),(14,5),-1.31166 # DEPENDENCYPART_NEXTSIBL
(14,12),(14,-1),-1.34283 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,11),(14,9),-0.92726 # DEPENDENCYPART_NEXTSIBL
(14,11),(14,8),-0.702237 # DEPENDENCYPART_NEXTSIBL
(14,11),(14,7),-0.857663 # DEPENDENCYPART_NEXTSIBL
(14,11),(14,5),-1.00531 # DEPENDENCYPART_NEXTSIBL
(14,11),(14,-1),-1.19915 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,9),(14,8),-0.628637 # DEPENDENCYPART_NEXTSIBL
(14,9),(14,7),-0.637718 # DEPENDENCYPART_NEXTSIBL
(14,9),(14,5),-0.704612 # DEPENDENCYPART_NEXTSIBL
(14,9),(14,-1),-1.16052 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,8),(14,7),-0.265501 # DEPENDENCYPART_NEXTSIBL
(14,8),(14,5),-0.732602 # DEPENDENCYPART_NEXTSIBL
(14,8),(14,-1),-0.618731 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,7),(14,5),-0.96805 # DEPENDENCYPART_NEXTSIBL
(14,7),(14,-1),-0.705451 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,5),(14,-1),-0.701756 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,15),(15,23),-0.136963 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(15,15),(15,-1),-0.233776 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(16,16),(16,18),-0.459504 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,23),-0.297808 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(16,18),(16,23),-0.763722 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,16),(16,15),-0.643716 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,-1),-0.34138 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(16,15),(16,-1),-1.06859 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,17),(17,18),-0.346956 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,19),-0.52718 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,20),0.00632046 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,21),-0.184166 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,22),-0.704317 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,23),-0.450006 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(17,18),(17,19),-0.971611 # DEPENDENCYPART_NEXTSIBL
(17,18),(17,20),-0.840501 # DEPENDENCYPART_NEXTSIBL
(17,18),(17,21),-0.817854 # DEPENDENCYPART_NEXTSIBL
(17,18),(17,22),-0.627336 # DEPENDENCYPART_NEXTSIBL
(17,18),(17,23),-0.638775 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,19),(17,20),-1.25063 # DEPENDENCYPART_NEXTSIBL
(17,19),(17,21),-1.35531 # DEPENDENCYPART_NEXTSIBL
(17,19),(17,22),-0.927745 # DEPENDENCYPART_NEXTSIBL
(17,19),(17,23),-1.0125 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,20),(17,21),-1.10668 # DEPENDENCYPART_NEXTSIBL
(17,20),(17,22),-0.850383 # DEPENDENCYPART_NEXTSIBL
(17,20),(17,23),-1.39353 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,21),(17,22),-0.45135 # DEPENDENCYPART_NEXTSIBL
(17,21),(17,23),-1.22626 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,22),(17,23),-1.36635 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,17),(17,16),-0.82168 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,15),-0.83354 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,14),-0.0851414 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,13),-0.175963 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,12),-0.131675 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,8),-0.27735 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,5),-0.134257 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,2),-0.379916 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,-1),-0.45301 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(17,16),(17,15),-0.598796 # DEPENDENCYPART_NEXTSIBL
(17,16),(17,14),-0.956597 # DEPENDENCYPART_NEXTSIBL
(17,16),(17,13),-0.942943 # DEPENDENCYPART_NEXTSIBL
(17,16),(17,12),-0.928877 # DEPENDENCYPART_NEXTSIBL
(17,16),(17,8),-0.77514 # DEPENDENCYPART_NEXTSIBL
(17,16),(17,5),-1.08109 # DEPENDENCYPART_NEXTSIBL
(17,16),(17,2),-1.24746 # DEPENDENCYPART_NEXTSIBL
(17,16),(17,-1),-0.544894 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,15),(17,14),-0.698109 # DEPENDENCYPART_NEXTSIBL
(17,15),(17,13),-0.847293 # DEPENDENCYPART_NEXTSIBL
(17,15),(17,12),-0.79802 # DEPENDENCYPART_NEXTSIBL
(17,15),(17,8),-0.797091 # DEPENDENCYPART_NEXTSIBL
(17,15),(17,5),-0.832033 # DEPENDENCYPART_NEXTSIBL
(17,15),(17,2),-1.40664 # DEPENDENCYPART_NEXTSIBL
(17,15),(17,-1),-1.16944 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,14),(17,13),-0.480277 # DEPENDENCYPART_NEXTSIBL
(17,14),(17,12),-0.618965 # DEPENDENCYPART_NEXTSIBL
(17,14),(17,8),-1.07914 # DEPENDENCYPART_NEXTSIBL
(17,14),(17,5),-1.04865 # DEPENDENCYPART_NEXTSIBL
(17,14),(17,2),-0.930805 # DEPENDENCYPART_NEXTSIBL
(17,14),(17,-1),-1.0913 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,13),(17,12),-0.244365 # DEPENDENCYPART_NEXTSIBL
(17,13),(17,8),-1.12646 # DEPENDENCYPART_NEXTSIBL
(17,13),(17,5),-1.13806 # DEPENDENCYPART_NEXTSIBL
(17,13),(17,2),-1.29071 # DEPENDENCYPART_NEXTSIBL
(17,13),(17,-1),-1.44375 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,12),(17,8),-1.30581 # DEPENDENCYPART_NEXTSIBL
(17,12),(17,5),-1.32169 # DEPENDENCYPART_NEXTSIBL
(17,12),(17,2),-1.38181 # DEPENDENCYPART_NEXTSIBL
(17,12),(17,-1),-1.36209 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,8),(17,5),-0.742629 # DEPENDENCYPART_NEXTSIBL
(17,8),(17,2),-1.15606 # DEPENDENCYPART_NEXTSIBL
(17,8),(17,-1),-0.63799 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,5),(17,2),-0.918682 # DEPENDENCYPART_NEXTSIBL
(17,5),(17,-1),-0.705229 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,2),(17,-1),-0.319648 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,18),(18,19),-0.171483 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,20),0.30235 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,21),0.12642 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,23),-0.923156 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,19),(18,20),-1.3438 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,21),-1.44041 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,23),-0.766385 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,20),(18,21),-1.21119 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,23),-1.20803 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,21),(18,23),-1.03309 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,18),(18,17),-0.634774 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,16),-0.955346 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,-1),-0.219986 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,17),(18,16),-0.62326 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,-1),-0.958904 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,16),(18,-1),-0.887694 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,19),(19,20),0.017395 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,23),-0.424037 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(19,20),(19,23),-1.37275 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,19),(19,-1),-0.465256 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,20),(20,21),-0.205508 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,23),-0.372955 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,21),(20,23),-1.24517 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,20),(20,19),-0.389927 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,16),-0.818159 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,-1),-0.493427 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,19),(20,16),-0.99811 # DEPENDENCYPART_NEXTSIBL
(20,19),(20,-1),-1.00407 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,16),(20,-1),-0.536659 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,21),(21,22),-0.66318 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,23),-0.421931 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(21,22),(21,23),-1.35061 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,21),(21,20),0.162139 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,19),-0.394127 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,17),-0.512424 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,16),-0.822205 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,15),-0.830084 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,14),-0.0474398 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,13),-0.138261 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,12),-0.093973 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,-1),-0.475316 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(21,20),(21,19),-0.136768 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,17),-0.987249 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,16),-0.706848 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,15),-1.01178 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,14),-1.01535 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,13),-0.755957 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,12),-0.727414 # DEPENDENCYPART_NEXTSIBL
(21,20),(21,-1),-1.30181 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,19),(21,17),-1.35855 # DEPENDENCYPART_NEXTSIBL
(21,19),(21,16),-1.00381 # DEPENDENCYPART_NEXTSIBL
(21,19),(21,15),-1.46369 # DEPENDENCYPART_NEXTSIBL
(21,19),(21,14),-1.39044 # DEPENDENCYPART_NEXTSIBL
(21,19),(21,13),-1.34928 # DEPENDENCYPART_NEXTSIBL
(21,19),(21,12),-1.32801 # DEPENDENCYPART_NEXTSIBL
(21,19),(21,-1),-0.992939 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,17),(21,16),-0.399093 # DEPENDENCYPART_NEXTSIBL
(21,17),(21,15),-0.456733 # DEPENDENCYPART_NEXTSIBL
(21,17),(21,14),-1.04999 # DEPENDENCYPART_NEXTSIBL
(21,17),(21,13),-1.07015 # DEPENDENCYPART_NEXTSIBL
(21,17),(21,12),-1.11397 # DEPENDENCYPART_NEXTSIBL
(21,17),(21,-1),-0.790427 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,16),(21,15),-0.59831 # DEPENDENCYPART_NEXTSIBL
(21,16),(21,14),-0.938348 # DEPENDENCYPART_NEXTSIBL
(21,16),(21,13),-0.924694 # DEPENDENCYPART_NEXTSIBL
(21,16),(21,12),-0.910628 # DEPENDENCYPART_NEXTSIBL
(21,16),(21,-1),-0.5488 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,15),(21,14),-0.670809 # DEPENDENCYPART_NEXTSIBL
(21,15),(21,13),-0.819993 # DEPENDENCYPART_NEXTSIBL
(21,15),(21,12),-0.77072 # DEPENDENCYPART_NEXTSIBL
(21,15),(21,-1),-1.16634 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,14),(21,13),-0.426461 # DEPENDENCYPART_NEXTSIBL
(21,14),(21,12),-0.56515 # DEPENDENCYPART_NEXTSIBL
(21,14),(21,-1),-1.02788 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,13),(21,12),-0.19055 # DEPENDENCYPART_NEXTSIBL
(21,13),(21,-1),-1.38034 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,12),(21,-1),-1.29867 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,22),(22,23),-0.458542 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(22,22),(22,21),-0.279278 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,-1),-0.0458803 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(22,21),(22,-1),-1.45697 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,3),(3,1),0.801607 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),0.0263652 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),0.651406 # DEPENDENCYPART_GRANDPAR
(0,3),(3,5),0.11016 # DEPENDENCYPART_GRANDPAR
(0,3),(3,6),0.194081 # DEPENDENCYPART_GRANDPAR
(0,3),(3,8),0.141062 # DEPENDENCYPART_GRANDPAR
(0,3),(3,9),0.340775 # DEPENDENCYPART_GRANDPAR
(0,3),(3,10),0.490061 # DEPENDENCYPART_GRANDPAR
(0,3),(3,11),1.06168 # DEPENDENCYPART_GRANDPAR
(0,3),(3,14),0.450531 # DEPENDENCYPART_GRANDPAR
(0,3),(3,15),-0.13786 # DEPENDENCYPART_GRANDPAR
(0,3),(3,17),0.159883 # DEPENDENCYPART_GRANDPAR
(0,3),(3,18),0.169159 # DEPENDENCYPART_GRANDPAR
(0,4),(4,1),0.897176 # DEPENDENCYPART_GRANDPAR
(0,4),(4,2),-0.131237 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),-0.106131 # DEPENDENCYPART_GRANDPAR
(0,4),(4,5),0.0980424 # DEPENDENCYPART_GRANDPAR
(0,4),(4,6),0.173552 # DEPENDENCYPART_GRANDPAR
(0,4),(4,7),0.00705912 # DEPENDENCYPART_GRANDPAR
(0,4),(4,8),0.0307914 # DEPENDENCYPART_GRANDPAR
(0,4),(4,9),0.36467 # DEPENDENCYPART_GRANDPAR
(0,4),(4,10),0.244479 # DEPENDENCYPART_GRANDPAR
(0,4),(4,11),1.01446 # DEPENDENCYPART_GRANDPAR
(0,4),(4,14),0.346235 # DEPENDENCYPART_GRANDPAR
(0,4),(4,15),-0.113966 # DEPENDENCYPART_GRANDPAR
(0,4),(4,17),0.0411945 # DEPENDENCYPART_GRANDPAR
(0,4),(4,18),0.18206 # DEPENDENCYPART_GRANDPAR
(0,4),(4,22),2.1334 # DEPENDENCYPART_GRANDPAR
(0,6),(6,1),0.91587 # DEPENDENCYPART_GRANDPAR
(0,6),(6,2),-0.125322 # DEPENDENCYPART_GRANDPAR
(0,6),(6,3),-0.1762 # DEPENDENCYPART_GRANDPAR
(0,6),(6,4),0.910325 # DEPENDENCYPART_GRANDPAR
(0,6),(6,5),-0.304016 # DEPENDENCYPART_GRANDPAR
(0,6),(6,7),-0.181766 # DEPENDENCYPART_GRANDPAR
(0,6),(6,8),-0.197554 # DEPENDENCYPART_GRANDPAR
(0,6),(6,9),0.320081 # DEPENDENCYPART_GRANDPAR
(0,6),(6,10),0.179645 # DEPENDENCYPART_GRANDPAR
(0,6),(6,11),1.31068 # DEPENDENCYPART_GRANDPAR
(0,6),(6,12),-0.106757 # DEPENDENCYPART_GRANDPAR
(0,6),(6,13),-0.00126815 # DEPENDENCYPART_GRANDPAR
(0,6),(6,14),0.113811 # DEPENDENCYPART_GRANDPAR
(0,6),(6,15),-0.158555 # DEPENDENCYPART_GRANDPAR
(0,6),(6,17),-0.191761 # DEPENDENCYPART_GRANDPAR
(0,6),(6,18),0.0835211 # DEPENDENCYPART_GRANDPAR
(0,6),(6,21),-0.35052 # DEPENDENCYPART_GRANDPAR
(0,6),(6,22),1.99268 # DEPENDENCYPART_GRANDPAR
(0,8),(8,1),0.803598 # DEPENDENCYPART_GRANDPAR
(0,8),(8,2),0.0328271 # DEPENDENCYPART_GRANDPAR
(0,8),(8,3),-0.250102 # DEPENDENCYPART_GRANDPAR
(0,8),(8,4),0.581651 # DEPENDENCYPART_GRANDPAR
(0,8),(8,5),-0.365267 # DEPENDENCYPART_GRANDPAR
(0,8),(8,6),0.199211 # DEPENDENCYPART_GRANDPAR
(0,8),(8,7),-0.488126 # DEPENDENCYPART_GRANDPAR
(0,8),(8,9),0.357475 # DEPENDENCYPART_GRANDPAR
(0,8),(8,10),0.492032 # DEPENDENCYPART_GRANDPAR
(0,8),(8,11),1.07302 # DEPENDENCYPART_GRANDPAR
(0,8),(8,13),0.342855 # DEPENDENCYPART_GRANDPAR
(0,8),(8,14),0.45851 # DEPENDENCYPART_GRANDPAR
(0,8),(8,15),-0.121161 # DEPENDENCYPART_GRANDPAR
(0,8),(8,17),0.167862 # DEPENDENCYPART_GRANDPAR
(0,8),(8,18),0.160337 # DEPENDENCYPART_GRANDPAR
(0,8),(8,21),-0.0168163 # DEPENDENCYPART_GRANDPAR
(0,11),(11,1),0.927876 # DEPENDENCYPART_GRANDPAR
(0,11),(11,3),-0.0992388 # DEPENDENCYPART_GRANDPAR
(0,11),(11,4),0.509645 # DEPENDENCYPART_GRANDPAR
(0,11),(11,5),-0.338699 # DEPENDENCYPART_GRANDPAR
(0,11),(11,6),0.304372 # DEPENDENCYPART_GRANDPAR
(0,11),(11,7),-0.485818 # DEPENDENCYPART_GRANDPAR
(0,11),(11,8),-0.290108 # DEPENDENCYPART_GRANDPAR
(0,11),(11,9),0.476161 # DEPENDENCYPART_GRANDPAR
(0,11),(11,10),0.479013 # DEPENDENCYPART_GRANDPAR
(0,11),(11,12),-0.0840506 # DEPENDENCYPART_GRANDPAR
(0,11),(11,13),0.020639 # DEPENDENCYPART_GRANDPAR
(0,11),(11,14),0.138294 # DEPENDENCYPART_GRANDPAR
(0,11),(11,15),-0.199269 # DEPENDENCYPART_GRANDPAR
(0,11),(11,16),0.108662 # DEPENDENCYPART_GRANDPAR
(0,11),(11,17),-0.164838 # DEPENDENCYPART_GRANDPAR
(0,11),(11,18),0.0817919 # DEPENDENCYPART_GRANDPAR
(0,11),(11,21),-0.332142 # DEPENDENCYPART_GRANDPAR
(0,11),(11,22),2.2406 # DEPENDENCYPART_GRANDPAR
(0,14),(14,5),-0.361785 # DEPENDENCYPART_GRANDPAR
(0,14),(14,7),-0.484645 # DEPENDENCYPART_GRANDPAR
(0,14),(14,8),-0.450664 # DEPENDENCYPART_GRANDPAR
(0,14),(14,9),0.397599 # DEPENDENCYPART_GRANDPAR
(0,14),(14,11),0.883154 # DEPENDENCYPART_GRANDPAR
(0,14),(14,12),-0.361249 # DEPENDENCYPART_GRANDPAR
(0,14),(14,13),-0.251356 # DEPENDENCYPART_GRANDPAR
(0,14),(14,15),-0.120847 # DEPENDENCYPART_GRANDPAR
(0,14),(14,17),0.167587 # DEPENDENCYPART_GRANDPAR
(0,14),(14,18),0.163419 # DEPENDENCYPART_GRANDPAR
(0,14),(14,19),0.219787 # DEPENDENCYPART_GRANDPAR
(0,14),(14,20),0.188146 # DEPENDENCYPART_GRANDPAR
(0,14),(14,21),-0.017091 # DEPENDENCYPART_GRANDPAR
(0,14),(14,22),2.0782 # DEPENDENCYPART_GRANDPAR
(2,4),(4,1),-0.495938 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-1.0224 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,3),0.213931 # DEPENDENCYPART_GRANDPAR
(2,4),(4,5),-0.0422595 # DEPENDENCYPART_GRANDPAR
(2,4),(4,6),0.0170042 # DEPENDENCYPART_GRANDPAR
(2,4),(4,7),-0.0928051 # DEPENDENCYPART_GRANDPAR
(2,4),(4,8),-0.218626 # DEPENDENCYPART_GRANDPAR
(2,4),(4,9),0.0226417 # DEPENDENCYPART_GRANDPAR
(2,4),(4,10),-0.156869 # DEPENDENCYPART_GRANDPAR
(2,4),(4,11),-0.144944 # DEPENDENCYPART_GRANDPAR
(2,4),(4,14),-0.418238 # DEPENDENCYPART_GRANDPAR
(2,4),(4,15),-0.0152611 # DEPENDENCYPART_GRANDPAR
(2,4),(4,17),-0.458749 # DEPENDENCYPART_GRANDPAR
(2,4),(4,18),-0.136595 # DEPENDENCYPART_GRANDPAR
(2,4),(4,22),-0.48898 # DEPENDENCYPART_GRANDPAR
(2,6),(6,1),-0.48368 # DEPENDENCYPART_GRANDPAR
(2,6),(6,2),-0.976231 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,6),(6,3),0.240713 # DEPENDENCYPART_GRANDPAR
(2,6),(6,4),0.309993 # DEPENDENCYPART_GRANDPAR
(2,6),(6,5),-0.102729 # DEPENDENCYPART_GRANDPAR
(2,6),(6,7),0.016904 # DEPENDENCYPART_GRANDPAR
(2,6),(6,8),-0.115297 # DEPENDENCYPART_GRANDPAR
(2,6),(6,9),0.034762 # DEPENDENCYPART_GRANDPAR
(2,6),(6,10),-0.163651 # DEPENDENCYPART_GRANDPAR
(2,6),(6,11),0.00593076 # DEPENDENCYPART_GRANDPAR
(2,6),(6,12),-0.260131 # DEPENDENCYPART_GRANDPAR
(2,6),(6,13),-0.292817 # DEPENDENCYPART_GRANDPAR
(2,6),(6,14),-0.317392 # DEPENDENCYPART_GRANDPAR
(2,6),(6,15),-0.00314077 # DEPENDENCYPART_GRANDPAR
(2,6),(6,17),-0.356989 # DEPENDENCYPART_GRANDPAR
(2,6),(6,18),-0.0929677 # DEPENDENCYPART_GRANDPAR
(2,6),(6,21),-0.352185 # DEPENDENCYPART_GRANDPAR
(2,6),(6,22),-0.400147 # DEPENDENCYPART_GRANDPAR
(3,2),(2,4),-0.407387 # DEPENDENCYPART_GRANDPAR
(3,2),(2,6),-0.207248 # DEPENDENCYPART_GRANDPAR
(3,2),(2,9),-0.448142 # DEPENDENCYPART_GRANDPAR
(3,4),(4,1),-0.532426 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),-0.339861 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-0.723534 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,5),-0.20013 # DEPENDENCYPART_GRANDPAR
(3,4),(4,6),0.479626 # DEPENDENCYPART_GRANDPAR
(3,4),(4,7),-0.292709 # DEPENDENCYPART_GRANDPAR
(3,4),(4,8),-0.0450742 # DEPENDENCYPART_GRANDPAR
(3,4),(4,9),0.0546984 # DEPENDENCYPART_GRANDPAR
(3,4),(4,10),0.1508 # DEPENDENCYPART_GRANDPAR
(3,4),(4,11),-0.232479 # DEPENDENCYPART_GRANDPAR
(3,4),(4,14),-0.215691 # DEPENDENCYPART_GRANDPAR
(3,4),(4,15),-0.145479 # DEPENDENCYPART_GRANDPAR
