# _root_ General unsecured creditors of Maxicare 's discontinued operations , whose claims total $ 110 million , initially will receive $ 17.8 million in cash and $ 10 million in senior notes .
#goldHeads=3,3,18,3,8,5,8,4,3,11,12,3,12,13,13,3,18,0,18,25,20,20,20,23,19,25,26,26,26,31,29,18,
#predictedHeads=3,3,18,3,8,5,8,4,8,11,12,8,12,13,13,18,18,0,18,25,20,20,20,23,19,25,26,26,26,31,29,18,
(20,21),(20,33),-1.2289 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,22),(20,23),-0.104479 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,24),-0.529549 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,25),-0.754034 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,26),-0.434192 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,27),-0.833387 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,28),-0.564977 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,29),-0.310784 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,30),-0.673876 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,32),-0.431326 # DEPENDENCYPART_NEXTSIBL
(20,22),(20,33),-0.626062 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,23),(20,24),-0.771336 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,25),-0.878267 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,26),-0.773424 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,27),-0.790014 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,28),-0.74268 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,29),-0.991234 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,30),-0.606213 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,32),-0.691163 # DEPENDENCYPART_NEXTSIBL
(20,23),(20,33),-0.911761 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,24),(20,25),-1.43507 # DEPENDENCYPART_NEXTSIBL
(20,24),(20,26),-1.2806 # DEPENDENCYPART_NEXTSIBL
(20,24),(20,27),-1.32688 # DEPENDENCYPART_NEXTSIBL
(20,24),(20,28),-1.22474 # DEPENDENCYPART_NEXTSIBL
(20,24),(20,29),-0.857953 # DEPENDENCYPART_NEXTSIBL
(20,24),(20,30),-1.26779 # DEPENDENCYPART_NEXTSIBL
(20,24),(20,32),-1.14944 # DEPENDENCYPART_NEXTSIBL
(20,24),(20,33),-0.943697 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,25),(20,26),-0.842391 # DEPENDENCYPART_NEXTSIBL
(20,25),(20,27),-0.875449 # DEPENDENCYPART_NEXTSIBL
(20,25),(20,28),-0.789179 # DEPENDENCYPART_NEXTSIBL
(20,25),(20,29),-0.80165 # DEPENDENCYPART_NEXTSIBL
(20,25),(20,30),-0.75987 # DEPENDENCYPART_NEXTSIBL
(20,25),(20,32),-0.508638 # DEPENDENCYPART_NEXTSIBL
(20,25),(20,33),-0.48202 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,26),(20,27),-0.87351 # DEPENDENCYPART_NEXTSIBL
(20,26),(20,28),-0.987885 # DEPENDENCYPART_NEXTSIBL
(20,26),(20,29),-0.867612 # DEPENDENCYPART_NEXTSIBL
(20,26),(20,30),-0.978364 # DEPENDENCYPART_NEXTSIBL
(20,26),(20,32),-0.861857 # DEPENDENCYPART_NEXTSIBL
(20,26),(20,33),-0.875304 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,27),(20,28),0.443533 # DEPENDENCYPART_NEXTSIBL
(20,27),(20,29),-0.342036 # DEPENDENCYPART_NEXTSIBL
(20,27),(20,30),-0.450484 # DEPENDENCYPART_NEXTSIBL
(20,27),(20,32),-0.558324 # DEPENDENCYPART_NEXTSIBL
(20,27),(20,33),-1.41059 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,28),(20,29),-0.00710749 # DEPENDENCYPART_NEXTSIBL
(20,28),(20,30),-0.625976 # DEPENDENCYPART_NEXTSIBL
(20,28),(20,32),-0.656889 # DEPENDENCYPART_NEXTSIBL
(20,28),(20,33),-0.645637 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,29),(20,30),-0.533218 # DEPENDENCYPART_NEXTSIBL
(20,29),(20,32),-0.408971 # DEPENDENCYPART_NEXTSIBL
(20,29),(20,33),-0.789139 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,30),(20,32),-1.05639 # DEPENDENCYPART_NEXTSIBL
(20,30),(20,33),-0.979602 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,32),(20,33),-2.19565 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(20,20),(20,17),-0.530257 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(20,20),(20,-1),-0.337996 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(20,17),(20,-1),-0.801415 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,21),(21,22),-0.481201 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,23),-0.653174 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,24),-0.335881 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,25),-0.069468 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,27),-0.273785 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,31),-0.0178454 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,33),-0.351927 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(21,22),(21,23),-0.283749 # DEPENDENCYPART_NEXTSIBL
(21,22),(21,24),-0.734992 # DEPENDENCYPART_NEXTSIBL
(21,22),(21,25),-0.876521 # DEPENDENCYPART_NEXTSIBL
(21,22),(21,27),-1.13525 # DEPENDENCYPART_NEXTSIBL
(21,22),(21,31),-0.980059 # DEPENDENCYPART_NEXTSIBL
(21,22),(21,33),-0.917884 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,23),(21,24),-0.754007 # DEPENDENCYPART_NEXTSIBL
(21,23),(21,25),-0.855614 # DEPENDENCYPART_NEXTSIBL
(21,23),(21,27),-0.81796 # DEPENDENCYPART_NEXTSIBL
(21,23),(21,31),-0.752831 # DEPENDENCYPART_NEXTSIBL
(21,23),(21,33),-0.780223 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,24),(21,25),-1.44408 # DEPENDENCYPART_NEXTSIBL
(21,24),(21,27),-1.41838 # DEPENDENCYPART_NEXTSIBL
(21,24),(21,31),-1.77746 # DEPENDENCYPART_NEXTSIBL
(21,24),(21,33),-0.934083 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,25),(21,27),-0.948586 # DEPENDENCYPART_NEXTSIBL
(21,25),(21,31),-1.00029 # DEPENDENCYPART_NEXTSIBL
(21,25),(21,33),-0.547493 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,27),(21,31),-0.557497 # DEPENDENCYPART_NEXTSIBL
(21,27),(21,33),-1.50682 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,31),(21,33),-0.521435 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(21,21),(21,20),0.192235 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(21,21),(21,-1),-0.470759 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(21,20),(21,-1),-0.478714 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,22),(22,23),-0.68106 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,24),-0.317113 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,25),-0.0713626 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,26),-0.0670147 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,31),0.00197551 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,33),-0.28979 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(22,23),(22,24),-0.75286 # DEPENDENCYPART_NEXTSIBL
(22,23),(22,25),-0.858985 # DEPENDENCYPART_NEXTSIBL
(22,23),(22,26),-0.747385 # DEPENDENCYPART_NEXTSIBL
(22,23),(22,31),-0.751166 # DEPENDENCYPART_NEXTSIBL
(22,23),(22,33),-0.799323 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,24),(22,25),-1.44068 # DEPENDENCYPART_NEXTSIBL
(22,24),(22,26),-1.25611 # DEPENDENCYPART_NEXTSIBL
(22,24),(22,31),-1.77087 # DEPENDENCYPART_NEXTSIBL
(22,24),(22,33),-0.922643 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,25),(22,26),-0.830165 # DEPENDENCYPART_NEXTSIBL
(22,25),(22,31),-0.996372 # DEPENDENCYPART_NEXTSIBL
(22,25),(22,33),-0.549865 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,26),(22,31),-0.993952 # DEPENDENCYPART_NEXTSIBL
(22,26),(22,33),-0.845285 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,31),(22,33),-0.508948 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,22),(22,21),-0.0778749 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,20),0.107552 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,-1),-0.465554 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(22,21),(22,20),-0.649346 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,-1),-1.15059 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,20),(22,-1),-0.542598 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,23),(23,24),-0.0539588 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,25),-0.0626904 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,26),-0.0779365 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,27),-0.0161291 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,28),-0.146072 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,29),-0.694532 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,31),0.371478 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,33),-1.03506 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(23,24),(23,25),-1.53036 # DEPENDENCYPART_NEXTSIBL
(23,24),(23,26),-1.31336 # DEPENDENCYPART_NEXTSIBL
(23,24),(23,27),-1.32006 # DEPENDENCYPART_NEXTSIBL
(23,24),(23,28),-1.28076 # DEPENDENCYPART_NEXTSIBL
(23,24),(23,29),-0.810221 # DEPENDENCYPART_NEXTSIBL
(23,24),(23,31),-1.75572 # DEPENDENCYPART_NEXTSIBL
(23,24),(23,33),-0.733018 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,25),(23,26),-0.951688 # DEPENDENCYPART_NEXTSIBL
(23,25),(23,27),-0.945575 # DEPENDENCYPART_NEXTSIBL
(23,25),(23,28),-0.922475 # DEPENDENCYPART_NEXTSIBL
(23,25),(23,29),-0.910358 # DEPENDENCYPART_NEXTSIBL
(23,25),(23,31),-1.03466 # DEPENDENCYPART_NEXTSIBL
(23,25),(23,33),-0.572301 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,26),(23,27),-0.913533 # DEPENDENCYPART_NEXTSIBL
(23,26),(23,28),-1.0939 # DEPENDENCYPART_NEXTSIBL
(23,26),(23,29),-0.872447 # DEPENDENCYPART_NEXTSIBL
(23,26),(23,31),-0.994256 # DEPENDENCYPART_NEXTSIBL
(23,26),(23,33),-0.887724 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,27),(23,28),0.157181 # DEPENDENCYPART_NEXTSIBL
(23,27),(23,29),-0.322051 # DEPENDENCYPART_NEXTSIBL
(23,27),(23,31),-0.377669 # DEPENDENCYPART_NEXTSIBL
(23,27),(23,33),-1.29971 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,28),(23,29),-0.0659635 # DEPENDENCYPART_NEXTSIBL
(23,28),(23,31),-0.692661 # DEPENDENCYPART_NEXTSIBL
(23,28),(23,33),-0.683404 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,29),(23,31),-0.580185 # DEPENDENCYPART_NEXTSIBL
(23,29),(23,33),-0.786823 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,31),(23,33),-0.217943 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,23),(23,22),-0.461996 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,21),-0.310916 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,20),0.0616532 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,-1),-0.221153 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(23,22),(23,21),-0.549995 # DEPENDENCYPART_NEXTSIBL
(23,22),(23,20),-0.912758 # DEPENDENCYPART_NEXTSIBL
(23,22),(23,-1),-0.99485 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,21),(23,20),-0.731611 # DEPENDENCYPART_NEXTSIBL
(23,21),(23,-1),-1.35709 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,20),(23,-1),-0.669421 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(24,24),(24,27),-0.108145 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(24,24),(24,33),-0.415095 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(24,27),(24,33),-1.44373 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(24,24),(24,23),-0.612097 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(24,24),(24,22),-0.441563 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(24,24),(24,21),-0.237128 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(24,24),(24,20),0.185315 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(24,24),(24,-1),-0.4419 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(24,23),(24,22),-1.06353 # DEPENDENCYPART_NEXTSIBL
(24,23),(24,21),-1.2056 # DEPENDENCYPART_NEXTSIBL
(24,23),(24,20),-1.25882 # DEPENDENCYPART_NEXTSIBL
(24,23),(24,-1),-0.947142 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(24,22),(24,21),-0.526907 # DEPENDENCYPART_NEXTSIBL
(24,22),(24,20),-0.921777 # DEPENDENCYPART_NEXTSIBL
(24,22),(24,-1),-0.809171 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(24,21),(24,20),-0.724749 # DEPENDENCYPART_NEXTSIBL
(24,21),(24,-1),-1.16727 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(24,20),(24,-1),-0.787638 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,25),(25,26),0.0179437 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,27),-0.217034 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,28),-0.359896 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,29),-0.61061 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,30),-0.709177 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,31),-0.0174814 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,32),-0.953803 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,33),-0.724195 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(25,26),(25,27),-0.830185 # DEPENDENCYPART_NEXTSIBL
(25,26),(25,28),-1.00806 # DEPENDENCYPART_NEXTSIBL
(25,26),(25,29),-0.86569 # DEPENDENCYPART_NEXTSIBL
(25,26),(25,30),-0.983756 # DEPENDENCYPART_NEXTSIBL
(25,26),(25,31),-0.955249 # DEPENDENCYPART_NEXTSIBL
(25,26),(25,32),-0.80869 # DEPENDENCYPART_NEXTSIBL
(25,26),(25,33),-0.895878 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,27),(25,28),0.0741081 # DEPENDENCYPART_NEXTSIBL
(25,27),(25,29),-0.439888 # DEPENDENCYPART_NEXTSIBL
(25,27),(25,30),-0.527234 # DEPENDENCYPART_NEXTSIBL
(25,27),(25,31),-0.452911 # DEPENDENCYPART_NEXTSIBL
(25,27),(25,32),-0.552976 # DEPENDENCYPART_NEXTSIBL
(25,27),(25,33),-1.41588 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,28),(25,29),-0.191702 # DEPENDENCYPART_NEXTSIBL
(25,28),(25,30),-0.753864 # DEPENDENCYPART_NEXTSIBL
(25,28),(25,31),-0.755997 # DEPENDENCYPART_NEXTSIBL
(25,28),(25,32),-0.709511 # DEPENDENCYPART_NEXTSIBL
(25,28),(25,33),-0.827467 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,29),(25,30),-0.566517 # DEPENDENCYPART_NEXTSIBL
(25,29),(25,31),-0.631939 # DEPENDENCYPART_NEXTSIBL
(25,29),(25,32),-0.415122 # DEPENDENCYPART_NEXTSIBL
(25,29),(25,33),-0.777406 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,30),(25,31),-1.02692 # DEPENDENCYPART_NEXTSIBL
(25,30),(25,32),-1.12045 # DEPENDENCYPART_NEXTSIBL
(25,30),(25,33),-1.09322 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,31),(25,32),-0.647804 # DEPENDENCYPART_NEXTSIBL
(25,31),(25,33),-0.451634 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,32),(25,33),-2.09535 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,25),(25,24),-0.268845 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,23),-0.676267 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,22),-0.302717 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,21),-0.273367 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,20),0.0140665 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,19),0.721857 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,18),0.0850214 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,17),-0.676211 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,16),-1.0205 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,15),-0.203125 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,14),-0.377917 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,13),-0.114136 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,12),0.417929 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,11),-0.490999 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,9),-0.845509 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,8),-0.604367 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,7),0.284731 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,5),-0.773478 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,4),-0.35465 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,3),-0.481986 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,1),-0.734573 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,-1),-1.089 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(25,24),(25,23),-1.06898 # DEPENDENCYPART_NEXTSIBL
(25,24),(25,22),-1.14237 # DEPENDENCYPART_NEXTSIBL
(25,24),(25,21),-1.38049 # DEPENDENCYPART_NEXTSIBL
(25,24),(25,20),-0.880619 # DEPENDENCYPART_NEXTSIBL
(25,24),(25,19),-1.41178 # DEPENDENCYPART_NEXTSIBL
(25,24),(25,18),-1.45679 # DEPENDENCYPART_NEXTSIBL
(25,24),(25,17),-1.49063 # DEPENDENCYPART_NEXTSIBL
(25,24),(25,16),-1.72467 # DEPENDENCYPART_NEXTSIBL
(25,24),(25,15),-1.62679 # DEPENDENCYPART_NEXTSIBL
(25,24),(25,14),-1.64454 # DEPENDENCYPART_NEXTSIBL
(25,24),(25,13),-1.19471 # DEPENDENCYPART_NEXTSIBL
(25,24),(25,12),-1.14302 # DEPENDENCYPART_NEXTSIBL
(25,24),(25,11),-1.86024 # DEPENDENCYPART_NEXTSIBL
(25,24),(25,9),-1.80528 # DEPENDENCYPART_NEXTSIBL
(25,24),(25,8),-1.83743 # DEPENDENCYPART_NEXTSIBL
(25,24),(25,7),-0.8658 # DEPENDENCYPART_NEXTSIBL
(25,24),(25,5),-1.66433 # DEPENDENCYPART_NEXTSIBL
(25,24),(25,4),-2.30002 # DEPENDENCYPART_NEXTSIBL
(25,24),(25,3),-1.9892 # DEPENDENCYPART_NEXTSIBL
(25,24),(25,1),-1.46989 # DEPENDENCYPART_NEXTSIBL
(25,24),(25,-1),-0.855369 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,23),(25,22),-1.01391 # DEPENDENCYPART_NEXTSIBL
(25,23),(25,21),-1.20225 # DEPENDENCYPART_NEXTSIBL
(25,23),(25,20),-1.2952 # DEPENDENCYPART_NEXTSIBL
(25,23),(25,19),-1.40979 # DEPENDENCYPART_NEXTSIBL
(25,23),(25,18),-1.25974 # DEPENDENCYPART_NEXTSIBL
(25,23),(25,17),-1.37206 # DEPENDENCYPART_NEXTSIBL
(25,23),(25,16),-1.32514 # DEPENDENCYPART_NEXTSIBL
(25,23),(25,15),-1.54028 # DEPENDENCYPART_NEXTSIBL
(25,23),(25,14),-1.53892 # DEPENDENCYPART_NEXTSIBL
(25,23),(25,13),-1.515 # DEPENDENCYPART_NEXTSIBL
(25,23),(25,12),-1.44625 # DEPENDENCYPART_NEXTSIBL
(25,23),(25,11),-1.44724 # DEPENDENCYPART_NEXTSIBL
(25,23),(25,9),-1.4471 # DEPENDENCYPART_NEXTSIBL
(25,23),(25,8),-1.3794 # DEPENDENCYPART_NEXTSIBL
(25,23),(25,7),-1.39516 # DEPENDENCYPART_NEXTSIBL
(25,23),(25,5),-1.43376 # DEPENDENCYPART_NEXTSIBL
(25,23),(25,4),-1.71307 # DEPENDENCYPART_NEXTSIBL
(25,23),(25,3),-1.408 # DEPENDENCYPART_NEXTSIBL
(25,23),(25,1),-1.42264 # DEPENDENCYPART_NEXTSIBL
(25,23),(25,-1),-0.804864 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,22),(25,21),-0.458558 # DEPENDENCYPART_NEXTSIBL
(25,22),(25,20),-0.871382 # DEPENDENCYPART_NEXTSIBL
(25,22),(25,19),-0.935866 # DEPENDENCYPART_NEXTSIBL
(25,22),(25,18),-0.947396 # DEPENDENCYPART_NEXTSIBL
(25,22),(25,17),-1.08875 # DEPENDENCYPART_NEXTSIBL
(25,22),(25,16),-1.0209 # DEPENDENCYPART_NEXTSIBL
(25,22),(25,15),-1.11001 # DEPENDENCYPART_NEXTSIBL
(25,22),(25,14),-1.04379 # DEPENDENCYPART_NEXTSIBL
(25,22),(25,13),-1.22619 # DEPENDENCYPART_NEXTSIBL
(25,22),(25,12),-1.05304 # DEPENDENCYPART_NEXTSIBL
(25,22),(25,11),-1.22011 # DEPENDENCYPART_NEXTSIBL
(25,22),(25,9),-1.07199 # DEPENDENCYPART_NEXTSIBL
(25,22),(25,8),-1.1732 # DEPENDENCYPART_NEXTSIBL
(25,22),(25,7),-0.914727 # DEPENDENCYPART_NEXTSIBL
(25,22),(25,5),-1.11026 # DEPENDENCYPART_NEXTSIBL
(25,22),(25,4),-0.928675 # DEPENDENCYPART_NEXTSIBL
(25,22),(25,3),-1.18372 # DEPENDENCYPART_NEXTSIBL
(25,22),(25,1),-1.17275 # DEPENDENCYPART_NEXTSIBL
(25,22),(25,-1),-0.891496 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,21),(25,20),-0.718576 # DEPENDENCYPART_NEXTSIBL
(25,21),(25,19),-1.14526 # DEPENDENCYPART_NEXTSIBL
(25,21),(25,18),-1.20363 # DEPENDENCYPART_NEXTSIBL
(25,21),(25,17),-1.33527 # DEPENDENCYPART_NEXTSIBL
(25,21),(25,16),-1.18895 # DEPENDENCYPART_NEXTSIBL
(25,21),(25,15),-1.49878 # DEPENDENCYPART_NEXTSIBL
(25,21),(25,14),-1.46441 # DEPENDENCYPART_NEXTSIBL
(25,21),(25,13),-1.32121 # DEPENDENCYPART_NEXTSIBL
(25,21),(25,12),-1.33157 # DEPENDENCYPART_NEXTSIBL
(25,21),(25,11),-1.49242 # DEPENDENCYPART_NEXTSIBL
(25,21),(25,9),-1.38037 # DEPENDENCYPART_NEXTSIBL
(25,21),(25,8),-1.51044 # DEPENDENCYPART_NEXTSIBL
(25,21),(25,7),-1.18676 # DEPENDENCYPART_NEXTSIBL
(25,21),(25,5),-1.47329 # DEPENDENCYPART_NEXTSIBL
(25,21),(25,4),-1.36769 # DEPENDENCYPART_NEXTSIBL
(25,21),(25,3),-1.49103 # DEPENDENCYPART_NEXTSIBL
(25,21),(25,1),-1.44722 # DEPENDENCYPART_NEXTSIBL
(25,21),(25,-1),-1.32098 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,20),(25,19),-0.508596 # DEPENDENCYPART_NEXTSIBL
(25,20),(25,18),-0.660938 # DEPENDENCYPART_NEXTSIBL
(25,20),(25,17),-0.910388 # DEPENDENCYPART_NEXTSIBL
(25,20),(25,16),-0.618166 # DEPENDENCYPART_NEXTSIBL
(25,20),(25,15),-0.952274 # DEPENDENCYPART_NEXTSIBL
(25,20),(25,14),-1.07043 # DEPENDENCYPART_NEXTSIBL
(25,20),(25,13),-1.04505 # DEPENDENCYPART_NEXTSIBL
(25,20),(25,12),-0.916181 # DEPENDENCYPART_NEXTSIBL
(25,20),(25,11),-0.743182 # DEPENDENCYPART_NEXTSIBL
(25,20),(25,9),-0.908762 # DEPENDENCYPART_NEXTSIBL
(25,20),(25,8),-0.778182 # DEPENDENCYPART_NEXTSIBL
(25,20),(25,7),-0.810383 # DEPENDENCYPART_NEXTSIBL
(25,20),(25,5),-0.695165 # DEPENDENCYPART_NEXTSIBL
(25,20),(25,4),-1.23989 # DEPENDENCYPART_NEXTSIBL
(25,20),(25,3),-0.730257 # DEPENDENCYPART_NEXTSIBL
(25,20),(25,1),-0.825738 # DEPENDENCYPART_NEXTSIBL
(25,20),(25,-1),-0.722022 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,19),(25,18),-1.06458 # DEPENDENCYPART_NEXTSIBL
(25,19),(25,17),-0.861143 # DEPENDENCYPART_NEXTSIBL
(25,19),(25,16),-0.87996 # DEPENDENCYPART_NEXTSIBL
(25,19),(25,15),-1.15664 # DEPENDENCYPART_NEXTSIBL
(25,19),(25,14),-1.20879 # DEPENDENCYPART_NEXTSIBL
(25,19),(25,13),-1.33597 # DEPENDENCYPART_NEXTSIBL
(25,19),(25,12),-1.52901 # DEPENDENCYPART_NEXTSIBL
(25,19),(25,11),-1.05809 # DEPENDENCYPART_NEXTSIBL
(25,19),(25,9),-1.30706 # DEPENDENCYPART_NEXTSIBL
(25,19),(25,8),-0.939169 # DEPENDENCYPART_NEXTSIBL
