# _root_ Even if the gross national product is either flat or in the growth range of 2 % to 2.5 % , `` we can handle that , '' Mr. Marous said .
#goldHeads=7,7,6,6,6,7,24,10,10,7,10,14,14,11,14,20,20,20,20,15,24,24,24,31,24,25,31,31,30,31,0,31,
#predictedHeads=7,7,6,6,6,7,24,10,10,7,10,14,14,11,14,17,15,15,20,18,24,24,24,31,24,25,31,31,30,31,0,31,
(29,31),(29,33),-0.391119 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,29),(29,28),-0.994993 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(29,29),(29,26),0.335084 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(29,29),(29,-1),-0.291743 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(29,28),(29,26),-0.647642 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,-1),-1.41536 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,26),(29,-1),-0.222325 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(30,30),(30,31),0.296345 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(30,30),(30,33),-0.258338 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(30,31),(30,33),-0.385286 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(30,30),(30,29),0.478427 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(30,30),(30,28),-0.994629 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(30,30),(30,27),-1.47879 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(30,30),(30,26),0.343537 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(30,30),(30,-1),-0.330509 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(30,29),(30,28),-0.409172 # DEPENDENCYPART_NEXTSIBL
(30,29),(30,27),-0.573642 # DEPENDENCYPART_NEXTSIBL
(30,29),(30,26),-0.79206 # DEPENDENCYPART_NEXTSIBL
(30,29),(30,-1),0.163394 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(30,28),(30,27),-0.0966915 # DEPENDENCYPART_NEXTSIBL
(30,28),(30,26),-0.641968 # DEPENDENCYPART_NEXTSIBL
(30,28),(30,-1),-1.41522 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(30,27),(30,26),-0.657159 # DEPENDENCYPART_NEXTSIBL
(30,27),(30,-1),-1.16422 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(30,26),(30,-1),-0.205747 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,31),(31,32),-0.923213 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,33),-0.688046 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(31,32),(31,33),-2.05716 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,31),(31,30),0.256802 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,29),0.46168 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,28),-1.07166 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,27),-1.61648 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,26),0.533883 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,25),-0.571354 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,24),-0.769973 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,23),-0.0368026 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,22),-0.784558 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,21),-1.52472 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,20),0.0612244 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,19),-0.279496 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,18),-0.187676 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,17),0.152443 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,14),0.203052 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,13),-0.041233 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,11),-0.333956 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,10),-0.0637162 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,8),-0.349556 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,7),0.040497 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,6),0.013554 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,2),-0.599305 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,1),-0.338154 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(31,31),(31,-1),-0.661508 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(31,30),(31,29),-0.428063 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,28),-0.136575 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,27),-0.415493 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,26),-0.450158 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,25),-0.497183 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,24),-0.796759 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,23),-0.799809 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,22),-0.737756 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,21),-0.861625 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,20),-0.829156 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,19),-0.902432 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,18),-1.15076 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,17),-0.876956 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,14),-0.895743 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,13),-0.856208 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,11),-0.575112 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,10),-1.0367 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,8),-1.04026 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,7),-0.616758 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,6),-0.966077 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,2),-0.61211 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,1),-1.07642 # DEPENDENCYPART_NEXTSIBL
(31,30),(31,-1),-0.880609 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,29),(31,28),-0.442687 # DEPENDENCYPART_NEXTSIBL
(31,29),(31,27),-0.532437 # DEPENDENCYPART_NEXTSIBL
(31,29),(31,26),-0.794761 # DEPENDENCYPART_NEXTSIBL
(31,29),(31,25),-0.794297 # DEPENDENCYPART_NEXTSIBL
(31,29),(31,24),-1.01219 # DEPENDENCYPART_NEXTSIBL
(31,29),(31,23),-1.17988 # DEPENDENCYPART_NEXTSIBL
(31,29),(31,22),-1.05457 # DEPENDENCYPART_NEXTSIBL
(31,29),(31,21),-1.37055 # DEPENDENCYPART_NEXTSIBL
(31,29),(31,20),-1.37873 # DEPENDENCYPART_NEXTSIBL
(31,29),(31,19),-1.19245 # DEPENDENCYPART_NEXTSIBL
(31,29),(31,18),-1.49919 # DEPENDENCYPART_NEXTSIBL
(31,29),(31,17),-1.42927 # DEPENDENCYPART_NEXTSIBL
(31,29),(31,14),-1.43839 # DEPENDENCYPART_NEXTSIBL
(31,29),(31,13),-1.3101 # DEPENDENCYPART_NEXTSIBL
(31,29),(31,11),-1.21068 # DEPENDENCYPART_NEXTSIBL
(31,29),(31,10),-1.32182 # DEPENDENCYPART_NEXTSIBL
(31,29),(31,8),-1.31224 # DEPENDENCYPART_NEXTSIBL
(31,29),(31,7),-0.984757 # DEPENDENCYPART_NEXTSIBL
(31,29),(31,6),-1.49958 # DEPENDENCYPART_NEXTSIBL
(31,29),(31,2),-1.23889 # DEPENDENCYPART_NEXTSIBL
(31,29),(31,1),-1.38509 # DEPENDENCYPART_NEXTSIBL
(31,29),(31,-1),-0.261052 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,28),(31,27),0.144508 # DEPENDENCYPART_NEXTSIBL
(31,28),(31,26),-0.56893 # DEPENDENCYPART_NEXTSIBL
(31,28),(31,25),-0.592814 # DEPENDENCYPART_NEXTSIBL
(31,28),(31,24),-0.7228 # DEPENDENCYPART_NEXTSIBL
(31,28),(31,23),-0.77462 # DEPENDENCYPART_NEXTSIBL
(31,28),(31,22),-0.979543 # DEPENDENCYPART_NEXTSIBL
(31,28),(31,21),-0.506752 # DEPENDENCYPART_NEXTSIBL
(31,28),(31,20),-0.697056 # DEPENDENCYPART_NEXTSIBL
(31,28),(31,19),-0.835847 # DEPENDENCYPART_NEXTSIBL
(31,28),(31,18),-0.755113 # DEPENDENCYPART_NEXTSIBL
(31,28),(31,17),-0.717717 # DEPENDENCYPART_NEXTSIBL
(31,28),(31,14),-0.690449 # DEPENDENCYPART_NEXTSIBL
(31,28),(31,13),-0.662275 # DEPENDENCYPART_NEXTSIBL
(31,28),(31,11),-0.978276 # DEPENDENCYPART_NEXTSIBL
(31,28),(31,10),-0.628913 # DEPENDENCYPART_NEXTSIBL
(31,28),(31,8),-0.909492 # DEPENDENCYPART_NEXTSIBL
(31,28),(31,7),-0.336947 # DEPENDENCYPART_NEXTSIBL
(31,28),(31,6),-0.777876 # DEPENDENCYPART_NEXTSIBL
(31,28),(31,2),-0.974723 # DEPENDENCYPART_NEXTSIBL
(31,28),(31,1),-0.9494 # DEPENDENCYPART_NEXTSIBL
(31,28),(31,-1),-1.37309 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,27),(31,26),-0.532755 # DEPENDENCYPART_NEXTSIBL
(31,27),(31,25),-0.418043 # DEPENDENCYPART_NEXTSIBL
(31,27),(31,24),-0.0903318 # DEPENDENCYPART_NEXTSIBL
(31,27),(31,23),-0.793222 # DEPENDENCYPART_NEXTSIBL
(31,27),(31,22),-0.527541 # DEPENDENCYPART_NEXTSIBL
(31,27),(31,21),-1.1101 # DEPENDENCYPART_NEXTSIBL
(31,27),(31,20),-0.604746 # DEPENDENCYPART_NEXTSIBL
(31,27),(31,19),-0.640718 # DEPENDENCYPART_NEXTSIBL
(31,27),(31,18),-0.323749 # DEPENDENCYPART_NEXTSIBL
(31,27),(31,17),-0.518307 # DEPENDENCYPART_NEXTSIBL
(31,27),(31,14),-0.579723 # DEPENDENCYPART_NEXTSIBL
(31,27),(31,13),-0.60433 # DEPENDENCYPART_NEXTSIBL
(31,27),(31,11),-0.573103 # DEPENDENCYPART_NEXTSIBL
(31,27),(31,10),-0.42063 # DEPENDENCYPART_NEXTSIBL
(31,27),(31,8),-0.841049 # DEPENDENCYPART_NEXTSIBL
(31,27),(31,7),0.651846 # DEPENDENCYPART_NEXTSIBL
(31,27),(31,6),-0.595604 # DEPENDENCYPART_NEXTSIBL
(31,27),(31,2),-1.48634 # DEPENDENCYPART_NEXTSIBL
(31,27),(31,1),-0.77577 # DEPENDENCYPART_NEXTSIBL
(31,27),(31,-1),-0.863626 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,26),(31,25),-0.506785 # DEPENDENCYPART_NEXTSIBL
(31,26),(31,24),-0.54727 # DEPENDENCYPART_NEXTSIBL
(31,26),(31,23),-0.612174 # DEPENDENCYPART_NEXTSIBL
(31,26),(31,22),-0.466571 # DEPENDENCYPART_NEXTSIBL
(31,26),(31,21),-0.510241 # DEPENDENCYPART_NEXTSIBL
(31,26),(31,20),-0.839733 # DEPENDENCYPART_NEXTSIBL
(31,26),(31,19),-0.785284 # DEPENDENCYPART_NEXTSIBL
(31,26),(31,18),-0.654432 # DEPENDENCYPART_NEXTSIBL
(31,26),(31,17),-0.777606 # DEPENDENCYPART_NEXTSIBL
(31,26),(31,14),-0.821511 # DEPENDENCYPART_NEXTSIBL
(31,26),(31,13),-0.814248 # DEPENDENCYPART_NEXTSIBL
(31,26),(31,11),-0.671729 # DEPENDENCYPART_NEXTSIBL
(31,26),(31,10),-0.616082 # DEPENDENCYPART_NEXTSIBL
(31,26),(31,8),-0.76793 # DEPENDENCYPART_NEXTSIBL
(31,26),(31,7),-0.603259 # DEPENDENCYPART_NEXTSIBL
(31,26),(31,6),-0.841942 # DEPENDENCYPART_NEXTSIBL
(31,26),(31,2),-0.695483 # DEPENDENCYPART_NEXTSIBL
(31,26),(31,1),-0.762082 # DEPENDENCYPART_NEXTSIBL
(31,26),(31,-1),-0.0475794 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,25),(31,24),-0.934769 # DEPENDENCYPART_NEXTSIBL
(31,25),(31,23),-0.920119 # DEPENDENCYPART_NEXTSIBL
(31,25),(31,22),-0.675838 # DEPENDENCYPART_NEXTSIBL
(31,25),(31,21),-0.965001 # DEPENDENCYPART_NEXTSIBL
(31,25),(31,20),-1.01447 # DEPENDENCYPART_NEXTSIBL
(31,25),(31,19),-1.12312 # DEPENDENCYPART_NEXTSIBL
(31,25),(31,18),-1.04043 # DEPENDENCYPART_NEXTSIBL
(31,25),(31,17),-0.95895 # DEPENDENCYPART_NEXTSIBL
(31,25),(31,14),-1.06286 # DEPENDENCYPART_NEXTSIBL
(31,25),(31,13),-0.997972 # DEPENDENCYPART_NEXTSIBL
(31,25),(31,11),-1.27215 # DEPENDENCYPART_NEXTSIBL
(31,25),(31,10),-1.07345 # DEPENDENCYPART_NEXTSIBL
(31,25),(31,8),-1.09343 # DEPENDENCYPART_NEXTSIBL
(31,25),(31,7),-1.20399 # DEPENDENCYPART_NEXTSIBL
(31,25),(31,6),-1.01589 # DEPENDENCYPART_NEXTSIBL
(31,25),(31,2),-1.38326 # DEPENDENCYPART_NEXTSIBL
(31,25),(31,1),-1.11664 # DEPENDENCYPART_NEXTSIBL
(31,25),(31,-1),-0.594347 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,24),(31,23),-0.366517 # DEPENDENCYPART_NEXTSIBL
(31,24),(31,22),-0.417104 # DEPENDENCYPART_NEXTSIBL
(31,24),(31,21),-0.84459 # DEPENDENCYPART_NEXTSIBL
(31,24),(31,20),-0.844347 # DEPENDENCYPART_NEXTSIBL
(31,24),(31,19),-0.856287 # DEPENDENCYPART_NEXTSIBL
(31,24),(31,18),-0.901628 # DEPENDENCYPART_NEXTSIBL
(31,24),(31,17),-0.84355 # DEPENDENCYPART_NEXTSIBL
(31,24),(31,14),-0.901917 # DEPENDENCYPART_NEXTSIBL
(31,24),(31,13),-0.91215 # DEPENDENCYPART_NEXTSIBL
(31,24),(31,11),-1.1008 # DEPENDENCYPART_NEXTSIBL
(31,24),(31,10),-0.733225 # DEPENDENCYPART_NEXTSIBL
(31,24),(31,8),-1.01435 # DEPENDENCYPART_NEXTSIBL
(31,24),(31,7),-1.16034 # DEPENDENCYPART_NEXTSIBL
(31,24),(31,6),-1.05191 # DEPENDENCYPART_NEXTSIBL
(31,24),(31,2),-1.12054 # DEPENDENCYPART_NEXTSIBL
(31,24),(31,1),-1.0038 # DEPENDENCYPART_NEXTSIBL
(31,24),(31,-1),-0.287871 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,23),(31,22),-0.264003 # DEPENDENCYPART_NEXTSIBL
(31,23),(31,21),-0.610962 # DEPENDENCYPART_NEXTSIBL
(31,23),(31,20),-0.791899 # DEPENDENCYPART_NEXTSIBL
(31,23),(31,19),-0.876513 # DEPENDENCYPART_NEXTSIBL
(31,23),(31,18),-0.77774 # DEPENDENCYPART_NEXTSIBL
(31,23),(31,17),-0.837931 # DEPENDENCYPART_NEXTSIBL
(31,23),(31,14),-0.838918 # DEPENDENCYPART_NEXTSIBL
(31,23),(31,13),-0.852205 # DEPENDENCYPART_NEXTSIBL
(31,23),(31,11),-0.831638 # DEPENDENCYPART_NEXTSIBL
(31,23),(31,10),-0.890915 # DEPENDENCYPART_NEXTSIBL
(31,23),(31,8),-0.873929 # DEPENDENCYPART_NEXTSIBL
(31,23),(31,7),-0.18669 # DEPENDENCYPART_NEXTSIBL
(31,23),(31,6),-0.915816 # DEPENDENCYPART_NEXTSIBL
(31,23),(31,2),-1.01761 # DEPENDENCYPART_NEXTSIBL
(31,23),(31,1),-0.993873 # DEPENDENCYPART_NEXTSIBL
(31,23),(31,-1),-0.543743 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,22),(31,21),-0.477499 # DEPENDENCYPART_NEXTSIBL
(31,22),(31,20),-0.618654 # DEPENDENCYPART_NEXTSIBL
(31,22),(31,19),-0.769335 # DEPENDENCYPART_NEXTSIBL
(31,22),(31,18),-0.632748 # DEPENDENCYPART_NEXTSIBL
(31,22),(31,17),-0.726668 # DEPENDENCYPART_NEXTSIBL
(31,22),(31,14),-0.617971 # DEPENDENCYPART_NEXTSIBL
(31,22),(31,13),-0.559497 # DEPENDENCYPART_NEXTSIBL
(31,22),(31,11),-1.09921 # DEPENDENCYPART_NEXTSIBL
(31,22),(31,10),-0.87036 # DEPENDENCYPART_NEXTSIBL
(31,22),(31,8),-0.895928 # DEPENDENCYPART_NEXTSIBL
(31,22),(31,7),-0.600271 # DEPENDENCYPART_NEXTSIBL
(31,22),(31,6),-0.548661 # DEPENDENCYPART_NEXTSIBL
(31,22),(31,2),-1.4119 # DEPENDENCYPART_NEXTSIBL
(31,22),(31,1),-0.876915 # DEPENDENCYPART_NEXTSIBL
(31,22),(31,-1),-0.782202 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,21),(31,20),-0.484194 # DEPENDENCYPART_NEXTSIBL
(31,21),(31,19),-0.804717 # DEPENDENCYPART_NEXTSIBL
(31,21),(31,18),-0.344881 # DEPENDENCYPART_NEXTSIBL
(31,21),(31,17),-0.666486 # DEPENDENCYPART_NEXTSIBL
(31,21),(31,14),-0.598832 # DEPENDENCYPART_NEXTSIBL
(31,21),(31,13),-0.650977 # DEPENDENCYPART_NEXTSIBL
(31,21),(31,11),-0.32677 # DEPENDENCYPART_NEXTSIBL
(31,21),(31,10),-0.484733 # DEPENDENCYPART_NEXTSIBL
(31,21),(31,8),-0.807194 # DEPENDENCYPART_NEXTSIBL
(31,21),(31,7),0.910022 # DEPENDENCYPART_NEXTSIBL
(31,21),(31,6),-0.583031 # DEPENDENCYPART_NEXTSIBL
(31,21),(31,2),-0.974428 # DEPENDENCYPART_NEXTSIBL
(31,21),(31,1),-0.68872 # DEPENDENCYPART_NEXTSIBL
(31,21),(31,-1),-1.16779 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,20),(31,19),-0.515391 # DEPENDENCYPART_NEXTSIBL
(31,20),(31,18),-0.955148 # DEPENDENCYPART_NEXTSIBL
(31,20),(31,17),-1.01492 # DEPENDENCYPART_NEXTSIBL
(31,20),(31,14),-1.19061 # DEPENDENCYPART_NEXTSIBL
(31,20),(31,13),-0.965474 # DEPENDENCYPART_NEXTSIBL
(31,20),(31,11),-0.778463 # DEPENDENCYPART_NEXTSIBL
(31,20),(31,10),-1.01047 # DEPENDENCYPART_NEXTSIBL
(31,20),(31,8),-1.11591 # DEPENDENCYPART_NEXTSIBL
(31,20),(31,7),-1.0429 # DEPENDENCYPART_NEXTSIBL
(31,20),(31,6),-1.09915 # DEPENDENCYPART_NEXTSIBL
(31,20),(31,2),-0.928112 # DEPENDENCYPART_NEXTSIBL
(31,20),(31,1),-1.19803 # DEPENDENCYPART_NEXTSIBL
(31,20),(31,-1),-0.766364 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,19),(31,18),-0.531581 # DEPENDENCYPART_NEXTSIBL
(31,19),(31,17),-0.956848 # DEPENDENCYPART_NEXTSIBL
(31,19),(31,14),-1.14324 # DEPENDENCYPART_NEXTSIBL
(31,19),(31,13),-1.11634 # DEPENDENCYPART_NEXTSIBL
(31,19),(31,11),-1.2011 # DEPENDENCYPART_NEXTSIBL
(31,19),(31,10),-1.03983 # DEPENDENCYPART_NEXTSIBL
(31,19),(31,8),-1.18591 # DEPENDENCYPART_NEXTSIBL
(31,19),(31,7),-1.08305 # DEPENDENCYPART_NEXTSIBL
(31,19),(31,6),-1.19889 # DEPENDENCYPART_NEXTSIBL
(31,19),(31,2),-1.20906 # DEPENDENCYPART_NEXTSIBL
(31,19),(31,1),-1.22751 # DEPENDENCYPART_NEXTSIBL
(31,19),(31,-1),-0.775703 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,18),(31,17),-0.0146995 # DEPENDENCYPART_NEXTSIBL
(31,18),(31,14),-0.625911 # DEPENDENCYPART_NEXTSIBL
(31,18),(31,13),-0.650455 # DEPENDENCYPART_NEXTSIBL
(31,18),(31,11),-0.90512 # DEPENDENCYPART_NEXTSIBL
(31,18),(31,10),-0.462514 # DEPENDENCYPART_NEXTSIBL
(31,18),(31,8),-0.916212 # DEPENDENCYPART_NEXTSIBL
(31,18),(31,7),-0.847957 # DEPENDENCYPART_NEXTSIBL
(31,18),(31,6),-0.590807 # DEPENDENCYPART_NEXTSIBL
(31,18),(31,2),-1.0961 # DEPENDENCYPART_NEXTSIBL
(31,18),(31,1),-0.979463 # DEPENDENCYPART_NEXTSIBL
(31,18),(31,-1),-0.613295 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,17),(31,14),-1.28973 # DEPENDENCYPART_NEXTSIBL
(31,17),(31,13),-1.27652 # DEPENDENCYPART_NEXTSIBL
(31,17),(31,11),-1.01728 # DEPENDENCYPART_NEXTSIBL
(31,17),(31,10),-1.21263 # DEPENDENCYPART_NEXTSIBL
(31,17),(31,8),-1.28401 # DEPENDENCYPART_NEXTSIBL
(31,17),(31,7),-1.35211 # DEPENDENCYPART_NEXTSIBL
(31,17),(31,6),-1.40372 # DEPENDENCYPART_NEXTSIBL
(31,17),(31,2),-1.02638 # DEPENDENCYPART_NEXTSIBL
(31,17),(31,1),-1.40145 # DEPENDENCYPART_NEXTSIBL
(31,17),(31,-1),-0.841663 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,14),(31,13),-0.756434 # DEPENDENCYPART_NEXTSIBL
(31,14),(31,11),-0.489052 # DEPENDENCYPART_NEXTSIBL
(31,14),(31,10),-0.878504 # DEPENDENCYPART_NEXTSIBL
(31,14),(31,8),-1.13139 # DEPENDENCYPART_NEXTSIBL
(31,14),(31,7),-1.32002 # DEPENDENCYPART_NEXTSIBL
(31,14),(31,6),-1.3723 # DEPENDENCYPART_NEXTSIBL
(31,14),(31,2),-0.833462 # DEPENDENCYPART_NEXTSIBL
(31,14),(31,1),-1.21817 # DEPENDENCYPART_NEXTSIBL
(31,14),(31,-1),-0.857229 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,13),(31,11),-0.51707 # DEPENDENCYPART_NEXTSIBL
(31,13),(31,10),-0.944277 # DEPENDENCYPART_NEXTSIBL
(31,13),(31,8),-1.02056 # DEPENDENCYPART_NEXTSIBL
(31,13),(31,7),-1.40286 # DEPENDENCYPART_NEXTSIBL
(31,13),(31,6),-1.46003 # DEPENDENCYPART_NEXTSIBL
(31,13),(31,2),-1.03778 # DEPENDENCYPART_NEXTSIBL
(31,13),(31,1),-1.30737 # DEPENDENCYPART_NEXTSIBL
(31,13),(31,-1),-1.13413 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,11),(31,10),-0.391279 # DEPENDENCYPART_NEXTSIBL
(31,11),(31,8),-0.894093 # DEPENDENCYPART_NEXTSIBL
(31,11),(31,7),-1.13086 # DEPENDENCYPART_NEXTSIBL
(31,11),(31,6),-1.12706 # DEPENDENCYPART_NEXTSIBL
(31,11),(31,2),-1.18102 # DEPENDENCYPART_NEXTSIBL
(31,11),(31,1),-0.915204 # DEPENDENCYPART_NEXTSIBL
(31,11),(31,-1),-0.620094 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,10),(31,8),-0.533226 # DEPENDENCYPART_NEXTSIBL
(31,10),(31,7),-0.725709 # DEPENDENCYPART_NEXTSIBL
(31,10),(31,6),-0.854854 # DEPENDENCYPART_NEXTSIBL
(31,10),(31,2),-0.92127 # DEPENDENCYPART_NEXTSIBL
(31,10),(31,1),-0.779213 # DEPENDENCYPART_NEXTSIBL
(31,10),(31,-1),-0.666833 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,8),(31,7),-0.935686 # DEPENDENCYPART_NEXTSIBL
(31,8),(31,6),-0.687132 # DEPENDENCYPART_NEXTSIBL
(31,8),(31,2),-1.03902 # DEPENDENCYPART_NEXTSIBL
(31,8),(31,1),-1.05854 # DEPENDENCYPART_NEXTSIBL
(31,8),(31,-1),-0.590302 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,7),(31,6),-0.504463 # DEPENDENCYPART_NEXTSIBL
(31,7),(31,2),-0.534685 # DEPENDENCYPART_NEXTSIBL
(31,7),(31,1),-0.941266 # DEPENDENCYPART_NEXTSIBL
(31,7),(31,-1),-0.402637 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,6),(31,2),0.1749 # DEPENDENCYPART_NEXTSIBL
(31,6),(31,1),-0.601975 # DEPENDENCYPART_NEXTSIBL
(31,6),(31,-1),-0.846415 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,2),(31,1),0.163875 # DEPENDENCYPART_NEXTSIBL
(31,2),(31,-1),-0.174917 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(31,1),(31,-1),-0.116839 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(32,32),(32,33),-0.332142 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(32,32),(32,-1),0.0114219 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(0,1),(1,2),0.0578159 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),-0.0323734 # DEPENDENCYPART_GRANDPAR
(0,1),(1,4),0.184815 # DEPENDENCYPART_GRANDPAR
(0,1),(1,5),0.155871 # DEPENDENCYPART_GRANDPAR
(0,1),(1,6),0.193567 # DEPENDENCYPART_GRANDPAR
(0,1),(1,7),0.692911 # DEPENDENCYPART_GRANDPAR
(0,1),(1,8),0.0486324 # DEPENDENCYPART_GRANDPAR
(0,7),(7,1),0.681352 # DEPENDENCYPART_GRANDPAR
(0,7),(7,2),-0.542592 # DEPENDENCYPART_GRANDPAR
(0,7),(7,3),-0.21052 # DEPENDENCYPART_GRANDPAR
(0,7),(7,4),0.144859 # DEPENDENCYPART_GRANDPAR
(0,7),(7,5),0.117298 # DEPENDENCYPART_GRANDPAR
(0,7),(7,6),0.0253972 # DEPENDENCYPART_GRANDPAR
(0,7),(7,8),0.374451 # DEPENDENCYPART_GRANDPAR
(0,7),(7,9),0.440213 # DEPENDENCYPART_GRANDPAR
(0,7),(7,10),0.828888 # DEPENDENCYPART_GRANDPAR
(0,7),(7,11),0.560768 # DEPENDENCYPART_GRANDPAR
(0,7),(7,13),0.463868 # DEPENDENCYPART_GRANDPAR
(0,7),(7,14),0.425579 # DEPENDENCYPART_GRANDPAR
(0,7),(7,15),0.177945 # DEPENDENCYPART_GRANDPAR
(0,7),(7,17),0.482044 # DEPENDENCYPART_GRANDPAR
(0,7),(7,20),0.545595 # DEPENDENCYPART_GRANDPAR
(0,7),(7,21),1.13942 # DEPENDENCYPART_GRANDPAR
(0,7),(7,22),-0.271505 # DEPENDENCYPART_GRANDPAR
(0,7),(7,24),0.376072 # DEPENDENCYPART_GRANDPAR
(0,7),(7,27),0.499512 # DEPENDENCYPART_GRANDPAR
(0,7),(7,28),0.453402 # DEPENDENCYPART_GRANDPAR
