# _root_ Dun & Bradstreet Corp. said business failures fell 17.8 % to 11,586 in the third quarter from 14,099 in the year-earlier period .
#goldHeads=2,4,2,5,0,7,8,5,10,8,8,11,11,16,16,13,8,17,17,22,22,19,5,
#predictedHeads=2,4,2,5,0,7,8,5,10,8,8,11,8,16,16,13,8,17,17,22,22,19,5,
(8,13),(13,22),0.492122 # DEPENDENCYPART_GRANDPAR
(8,15),(15,10),0.686783 # DEPENDENCYPART_GRANDPAR
(8,15),(15,11),0.489365 # DEPENDENCYPART_GRANDPAR
(8,15),(15,14),-0.0990565 # DEPENDENCYPART_GRANDPAR
(8,15),(15,17),0.42866 # DEPENDENCYPART_GRANDPAR
(8,15),(15,18),0.0164878 # DEPENDENCYPART_GRANDPAR
(8,15),(15,19),0.406557 # DEPENDENCYPART_GRANDPAR
(8,16),(16,9),0.48102 # DEPENDENCYPART_GRANDPAR
(8,16),(16,10),0.65316 # DEPENDENCYPART_GRANDPAR
(8,16),(16,12),0.244745 # DEPENDENCYPART_GRANDPAR
(8,16),(16,14),0.0629271 # DEPENDENCYPART_GRANDPAR
(8,16),(16,15),0.30228 # DEPENDENCYPART_GRANDPAR
(8,16),(16,17),0.378449 # DEPENDENCYPART_GRANDPAR
(8,16),(16,18),0.152187 # DEPENDENCYPART_GRANDPAR
(8,16),(16,19),0.343964 # DEPENDENCYPART_GRANDPAR
(8,16),(16,21),0.134014 # DEPENDENCYPART_GRANDPAR
(8,16),(16,22),0.330546 # DEPENDENCYPART_GRANDPAR
(8,17),(17,11),0.623497 # DEPENDENCYPART_GRANDPAR
(8,17),(17,15),0.166217 # DEPENDENCYPART_GRANDPAR
(8,17),(17,16),0.239012 # DEPENDENCYPART_GRANDPAR
(8,17),(17,18),0.292082 # DEPENDENCYPART_GRANDPAR
(8,17),(17,19),0.654155 # DEPENDENCYPART_GRANDPAR
(8,17),(17,21),0.285363 # DEPENDENCYPART_GRANDPAR
(8,17),(17,22),0.569051 # DEPENDENCYPART_GRANDPAR
(8,19),(19,11),0.596239 # DEPENDENCYPART_GRANDPAR
(8,19),(19,16),0.287109 # DEPENDENCYPART_GRANDPAR
(8,19),(19,17),0.483032 # DEPENDENCYPART_GRANDPAR
(8,19),(19,18),-0.056551 # DEPENDENCYPART_GRANDPAR
(8,19),(19,20),-0.317796 # DEPENDENCYPART_GRANDPAR
(8,19),(19,21),0.237213 # DEPENDENCYPART_GRANDPAR
(8,19),(19,22),0.492122 # DEPENDENCYPART_GRANDPAR
(8,21),(21,11),0.496202 # DEPENDENCYPART_GRANDPAR
(8,21),(21,16),0.272291 # DEPENDENCYPART_GRANDPAR
(8,21),(21,20),-0.471777 # DEPENDENCYPART_GRANDPAR
(8,22),(22,13),0.537827 # DEPENDENCYPART_GRANDPAR
(8,22),(22,14),0.0520084 # DEPENDENCYPART_GRANDPAR
(8,22),(22,15),0.291017 # DEPENDENCYPART_GRANDPAR
(8,22),(22,17),0.445545 # DEPENDENCYPART_GRANDPAR
(8,22),(22,18),-0.0490147 # DEPENDENCYPART_GRANDPAR
(8,22),(22,20),-0.315619 # DEPENDENCYPART_GRANDPAR
(8,22),(22,21),0.0642701 # DEPENDENCYPART_GRANDPAR
(9,10),(10,2),-0.737009 # DEPENDENCYPART_GRANDPAR
(9,10),(10,4),-0.673768 # DEPENDENCYPART_GRANDPAR
(9,10),(10,5),-0.746271 # DEPENDENCYPART_GRANDPAR
(9,10),(10,6),-0.685385 # DEPENDENCYPART_GRANDPAR
(9,10),(10,7),-0.667564 # DEPENDENCYPART_GRANDPAR
(9,10),(10,8),-0.673787 # DEPENDENCYPART_GRANDPAR
(9,10),(10,9),-0.948939 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,10),(10,11),-0.0127886 # DEPENDENCYPART_GRANDPAR
(9,10),(10,12),0.167126 # DEPENDENCYPART_GRANDPAR
(9,10),(10,13),-0.33779 # DEPENDENCYPART_GRANDPAR
(9,10),(10,16),0.0717116 # DEPENDENCYPART_GRANDPAR
(9,10),(10,17),-0.187794 # DEPENDENCYPART_GRANDPAR
(9,10),(10,18),0.0418379 # DEPENDENCYPART_GRANDPAR
(9,10),(10,19),-0.298958 # DEPENDENCYPART_GRANDPAR
(9,10),(10,22),-0.260261 # DEPENDENCYPART_GRANDPAR
(9,10),(10,23),-0.107134 # DEPENDENCYPART_GRANDPAR
(9,12),(12,9),-0.963661 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,12),(12,10),0.433667 # DEPENDENCYPART_GRANDPAR
(9,12),(12,11),-0.0718649 # DEPENDENCYPART_GRANDPAR
(9,12),(12,13),-0.268464 # DEPENDENCYPART_GRANDPAR
(9,12),(12,14),-0.0249042 # DEPENDENCYPART_GRANDPAR
(9,12),(12,15),-0.0601268 # DEPENDENCYPART_GRANDPAR
(9,12),(12,16),-0.045338 # DEPENDENCYPART_GRANDPAR
(9,12),(12,17),-0.118109 # DEPENDENCYPART_GRANDPAR
(9,12),(12,18),0.0177678 # DEPENDENCYPART_GRANDPAR
(9,12),(12,19),-0.229632 # DEPENDENCYPART_GRANDPAR
(9,12),(12,22),-0.373465 # DEPENDENCYPART_GRANDPAR
(9,13),(13,10),0.305054 # DEPENDENCYPART_GRANDPAR
(9,13),(13,11),0.0614347 # DEPENDENCYPART_GRANDPAR
(9,13),(13,12),0.0290509 # DEPENDENCYPART_GRANDPAR
(9,13),(13,14),-0.0501871 # DEPENDENCYPART_GRANDPAR
(9,13),(13,15),0.0115975 # DEPENDENCYPART_GRANDPAR
(9,13),(13,16),0.198919 # DEPENDENCYPART_GRANDPAR
(9,13),(13,17),-0.0355704 # DEPENDENCYPART_GRANDPAR
(9,13),(13,18),0.103841 # DEPENDENCYPART_GRANDPAR
(9,13),(13,19),-0.147625 # DEPENDENCYPART_GRANDPAR
(9,13),(13,21),-0.0173849 # DEPENDENCYPART_GRANDPAR
(9,13),(13,22),-0.14475 # DEPENDENCYPART_GRANDPAR
(9,18),(18,13),-0.203679 # DEPENDENCYPART_GRANDPAR
(9,18),(18,14),-0.0142721 # DEPENDENCYPART_GRANDPAR
(9,18),(18,15),-0.0123266 # DEPENDENCYPART_GRANDPAR
(9,18),(18,16),0.122318 # DEPENDENCYPART_GRANDPAR
(9,18),(18,19),-0.229632 # DEPENDENCYPART_GRANDPAR
(9,18),(18,20),0.117017 # DEPENDENCYPART_GRANDPAR
(9,18),(18,21),-0.0892434 # DEPENDENCYPART_GRANDPAR
(9,18),(18,22),-0.373465 # DEPENDENCYPART_GRANDPAR
(10,2),(2,1),-0.205415 # DEPENDENCYPART_GRANDPAR
(10,2),(2,3),0.0200919 # DEPENDENCYPART_GRANDPAR
(10,2),(2,4),-0.439203 # DEPENDENCYPART_GRANDPAR
(10,2),(2,5),-0.140742 # DEPENDENCYPART_GRANDPAR
(10,2),(2,6),0.142927 # DEPENDENCYPART_GRANDPAR
(10,2),(2,7),-0.214972 # DEPENDENCYPART_GRANDPAR
(10,2),(2,8),0.112414 # DEPENDENCYPART_GRANDPAR
(10,2),(2,9),0.604024 # DEPENDENCYPART_GRANDPAR
(10,2),(2,10),-1.74551 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,2),(2,13),-0.714877 # DEPENDENCYPART_GRANDPAR
(10,2),(2,19),-1.04606 # DEPENDENCYPART_GRANDPAR
(10,2),(2,23),-1.0327 # DEPENDENCYPART_GRANDPAR
(10,4),(4,1),-0.332285 # DEPENDENCYPART_GRANDPAR
(10,4),(4,2),-0.493849 # DEPENDENCYPART_GRANDPAR
(10,4),(4,3),-0.0313728 # DEPENDENCYPART_GRANDPAR
(10,4),(4,5),-0.128015 # DEPENDENCYPART_GRANDPAR
(10,4),(4,7),-0.234659 # DEPENDENCYPART_GRANDPAR
(10,4),(4,8),0.123086 # DEPENDENCYPART_GRANDPAR
(10,4),(4,23),-1.06319 # DEPENDENCYPART_GRANDPAR
(10,5),(5,1),-0.44301 # DEPENDENCYPART_GRANDPAR
(10,5),(5,2),-0.407527 # DEPENDENCYPART_GRANDPAR
(10,5),(5,3),-0.140753 # DEPENDENCYPART_GRANDPAR
(10,5),(5,4),-0.584979 # DEPENDENCYPART_GRANDPAR
(10,5),(5,6),-0.00520346 # DEPENDENCYPART_GRANDPAR
(10,5),(5,7),-0.378878 # DEPENDENCYPART_GRANDPAR
(10,5),(5,8),-0.0388004 # DEPENDENCYPART_GRANDPAR
(10,5),(5,9),0.505277 # DEPENDENCYPART_GRANDPAR
(10,5),(5,10),-1.81415 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,5),(5,11),-0.284553 # DEPENDENCYPART_GRANDPAR
(10,5),(5,13),-0.794728 # DEPENDENCYPART_GRANDPAR
(10,5),(5,17),-0.796269 # DEPENDENCYPART_GRANDPAR
(10,5),(5,23),-1.11282 # DEPENDENCYPART_GRANDPAR
(10,6),(6,2),-0.50303 # DEPENDENCYPART_GRANDPAR
(10,6),(6,4),-0.491834 # DEPENDENCYPART_GRANDPAR
(10,6),(6,5),-0.312338 # DEPENDENCYPART_GRANDPAR
(10,6),(6,8),0.101343 # DEPENDENCYPART_GRANDPAR
(10,6),(6,12),-0.382911 # DEPENDENCYPART_GRANDPAR
(10,7),(7,1),-0.355203 # DEPENDENCYPART_GRANDPAR
(10,7),(7,2),-0.494334 # DEPENDENCYPART_GRANDPAR
(10,7),(7,3),-0.0542905 # DEPENDENCYPART_GRANDPAR
(10,7),(7,4),-0.487211 # DEPENDENCYPART_GRANDPAR
(10,7),(7,5),-0.311846 # DEPENDENCYPART_GRANDPAR
(10,7),(7,6),0.132485 # DEPENDENCYPART_GRANDPAR
(10,7),(7,8),0.102745 # DEPENDENCYPART_GRANDPAR
(10,7),(7,9),0.619001 # DEPENDENCYPART_GRANDPAR
(10,7),(7,10),-1.64737 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,7),(7,11),-0.2087 # DEPENDENCYPART_GRANDPAR
(10,7),(7,12),-0.382375 # DEPENDENCYPART_GRANDPAR
(10,7),(7,13),-0.669622 # DEPENDENCYPART_GRANDPAR
(10,8),(8,1),-0.304987 # DEPENDENCYPART_GRANDPAR
(10,8),(8,2),-0.382756 # DEPENDENCYPART_GRANDPAR
(10,8),(8,3),-0.00272955 # DEPENDENCYPART_GRANDPAR
(10,8),(8,4),-0.44504 # DEPENDENCYPART_GRANDPAR
(10,8),(8,5),-0.31215 # DEPENDENCYPART_GRANDPAR
(10,8),(8,6),0.217381 # DEPENDENCYPART_GRANDPAR
(10,8),(8,7),-0.205192 # DEPENDENCYPART_GRANDPAR
(10,8),(8,9),0.509196 # DEPENDENCYPART_GRANDPAR
(10,8),(8,10),-1.8119 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,8),(8,11),-0.282594 # DEPENDENCYPART_GRANDPAR
(10,8),(8,12),-0.420174 # DEPENDENCYPART_GRANDPAR
(10,8),(8,13),-0.786457 # DEPENDENCYPART_GRANDPAR
(10,8),(8,15),-0.612695 # DEPENDENCYPART_GRANDPAR
(10,8),(8,16),-0.797651 # DEPENDENCYPART_GRANDPAR
(10,8),(8,17),-0.789968 # DEPENDENCYPART_GRANDPAR
(10,8),(8,19),-1.11764 # DEPENDENCYPART_GRANDPAR
(10,8),(8,21),-0.659575 # DEPENDENCYPART_GRANDPAR
(10,8),(8,22),-1.05852 # DEPENDENCYPART_GRANDPAR
(10,8),(8,23),-1.11031 # DEPENDENCYPART_GRANDPAR
(10,9),(9,10),-1.62638 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,9),(9,12),-0.290866 # DEPENDENCYPART_GRANDPAR
(10,9),(9,13),-0.594938 # DEPENDENCYPART_GRANDPAR
(10,9),(9,18),-0.573849 # DEPENDENCYPART_GRANDPAR
(10,11),(11,9),0.11139 # DEPENDENCYPART_GRANDPAR
(10,11),(11,10),-1.22502 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,11),(11,12),0.20667 # DEPENDENCYPART_GRANDPAR
(10,11),(11,13),-0.130808 # DEPENDENCYPART_GRANDPAR
(10,11),(11,16),-0.0795827 # DEPENDENCYPART_GRANDPAR
(10,11),(11,17),-0.121045 # DEPENDENCYPART_GRANDPAR
(10,11),(11,19),-0.461987 # DEPENDENCYPART_GRANDPAR
(10,11),(11,22),-0.322829 # DEPENDENCYPART_GRANDPAR
(10,12),(12,9),0.127146 # DEPENDENCYPART_GRANDPAR
(10,12),(12,10),-0.851209 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,12),(12,11),0.220612 # DEPENDENCYPART_GRANDPAR
(10,12),(12,13),-0.142792 # DEPENDENCYPART_GRANDPAR
(10,12),(12,14),-0.172208 # DEPENDENCYPART_GRANDPAR
(10,12),(12,15),-0.14043 # DEPENDENCYPART_GRANDPAR
(10,12),(12,16),-0.254403 # DEPENDENCYPART_GRANDPAR
(10,12),(12,17),-0.161054 # DEPENDENCYPART_GRANDPAR
(10,12),(12,18),-0.0738864 # DEPENDENCYPART_GRANDPAR
(10,12),(12,19),-0.473972 # DEPENDENCYPART_GRANDPAR
(10,12),(12,22),-0.498833 # DEPENDENCYPART_GRANDPAR
(10,13),(13,10),-1.01514 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,13),(13,11),0.465629 # DEPENDENCYPART_GRANDPAR
(10,13),(13,12),0.183956 # DEPENDENCYPART_GRANDPAR
(10,13),(13,14),-0.0831641 # DEPENDENCYPART_GRANDPAR
(10,13),(13,15),0.0639522 # DEPENDENCYPART_GRANDPAR
(10,13),(13,16),-0.090266 # DEPENDENCYPART_GRANDPAR
(10,13),(13,17),-0.0342694 # DEPENDENCYPART_GRANDPAR
(10,13),(13,18),0.0751428 # DEPENDENCYPART_GRANDPAR
(10,13),(13,19),-0.343873 # DEPENDENCYPART_GRANDPAR
(10,13),(13,21),0.0126137 # DEPENDENCYPART_GRANDPAR
(10,13),(13,22),-0.275881 # DEPENDENCYPART_GRANDPAR
(10,16),(16,9),0.0356248 # DEPENDENCYPART_GRANDPAR
(10,16),(16,10),-0.957495 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,16),(16,12),0.212832 # DEPENDENCYPART_GRANDPAR
(10,16),(16,14),0.198237 # DEPENDENCYPART_GRANDPAR
(10,16),(16,15),0.159154 # DEPENDENCYPART_GRANDPAR
(10,16),(16,17),-0.147342 # DEPENDENCYPART_GRANDPAR
(10,16),(16,18),-0.0948116 # DEPENDENCYPART_GRANDPAR
(10,16),(16,19),-0.516717 # DEPENDENCYPART_GRANDPAR
(10,16),(16,21),-0.167979 # DEPENDENCYPART_GRANDPAR
(10,16),(16,22),-0.273301 # DEPENDENCYPART_GRANDPAR
(10,17),(17,11),0.48544 # DEPENDENCYPART_GRANDPAR
(10,17),(17,15),-0.0456157 # DEPENDENCYPART_GRANDPAR
(10,17),(17,16),-0.114178 # DEPENDENCYPART_GRANDPAR
(10,17),(17,18),0.0232835 # DEPENDENCYPART_GRANDPAR
(10,17),(17,19),-0.350655 # DEPENDENCYPART_GRANDPAR
(10,17),(17,21),0.0196751 # DEPENDENCYPART_GRANDPAR
(10,17),(17,22),-0.205308 # DEPENDENCYPART_GRANDPAR
(10,18),(18,13),-0.130217 # DEPENDENCYPART_GRANDPAR
(10,18),(18,14),-0.0192881 # DEPENDENCYPART_GRANDPAR
(10,18),(18,15),0.0210022 # DEPENDENCYPART_GRANDPAR
(10,18),(18,16),0.0497567 # DEPENDENCYPART_GRANDPAR
(10,18),(18,19),-0.473972 # DEPENDENCYPART_GRANDPAR
(10,18),(18,20),-0.372365 # DEPENDENCYPART_GRANDPAR
(10,18),(18,21),-0.187375 # DEPENDENCYPART_GRANDPAR
(10,18),(18,22),-0.498833 # DEPENDENCYPART_GRANDPAR
(10,19),(19,11),0.465629 # DEPENDENCYPART_GRANDPAR
(10,19),(19,16),-0.0421233 # DEPENDENCYPART_GRANDPAR
(10,19),(19,17),-0.146466 # DEPENDENCYPART_GRANDPAR
(10,19),(19,18),-0.0990266 # DEPENDENCYPART_GRANDPAR
(10,19),(19,20),-0.283321 # DEPENDENCYPART_GRANDPAR
(10,19),(19,21),0.0126137 # DEPENDENCYPART_GRANDPAR
(10,19),(19,22),-0.275881 # DEPENDENCYPART_GRANDPAR
(10,22),(22,13),-0.0533318 # DEPENDENCYPART_GRANDPAR
(10,22),(22,14),0.178422 # DEPENDENCYPART_GRANDPAR
(10,22),(22,15),0.13884 # DEPENDENCYPART_GRANDPAR
(10,22),(22,17),-0.127001 # DEPENDENCYPART_GRANDPAR
(10,22),(22,18),-0.0750708 # DEPENDENCYPART_GRANDPAR
(10,22),(22,20),-0.0217348 # DEPENDENCYPART_GRANDPAR
(10,22),(22,21),0.103212 # DEPENDENCYPART_GRANDPAR
(11,9),(9,10),0.0981441 # DEPENDENCYPART_GRANDPAR
(11,9),(9,12),0.100817 # DEPENDENCYPART_GRANDPAR
(11,9),(9,13),-0.109653 # DEPENDENCYPART_GRANDPAR
(11,9),(9,18),-0.481441 # DEPENDENCYPART_GRANDPAR
(11,10),(10,2),-0.120322 # DEPENDENCYPART_GRANDPAR
(11,10),(10,4),-0.200298 # DEPENDENCYPART_GRANDPAR
(11,10),(10,5),-0.061028 # DEPENDENCYPART_GRANDPAR
(11,10),(10,6),-0.154533 # DEPENDENCYPART_GRANDPAR
(11,10),(10,7),-0.0954375 # DEPENDENCYPART_GRANDPAR
(11,10),(10,8),0.0271354 # DEPENDENCYPART_GRANDPAR
(11,10),(10,9),0.164711 # DEPENDENCYPART_GRANDPAR
(11,10),(10,11),-1.30856 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,10),(10,12),0.0671333 # DEPENDENCYPART_GRANDPAR
(11,10),(10,13),-0.119262 # DEPENDENCYPART_GRANDPAR
(11,10),(10,16),0.0817551 # DEPENDENCYPART_GRANDPAR
(11,10),(10,17),-0.423057 # DEPENDENCYPART_GRANDPAR
(11,10),(10,18),-0.515125 # DEPENDENCYPART_GRANDPAR
(11,10),(10,19),-0.540859 # DEPENDENCYPART_GRANDPAR
(11,10),(10,22),-0.662415 # DEPENDENCYPART_GRANDPAR
(11,10),(10,23),-0.755477 # DEPENDENCYPART_GRANDPAR
(11,12),(12,9),-0.467266 # DEPENDENCYPART_GRANDPAR
(11,12),(12,10),-0.497415 # DEPENDENCYPART_GRANDPAR
(11,12),(12,11),-0.9726 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,12),(12,13),0.287519 # DEPENDENCYPART_GRANDPAR
(11,12),(12,14),-0.0196837 # DEPENDENCYPART_GRANDPAR
(11,12),(12,15),0.255045 # DEPENDENCYPART_GRANDPAR
(11,12),(12,16),0.443671 # DEPENDENCYPART_GRANDPAR
(11,12),(12,17),-0.068484 # DEPENDENCYPART_GRANDPAR
(11,12),(12,18),0.0430672 # DEPENDENCYPART_GRANDPAR
(11,12),(12,19),-0.134078 # DEPENDENCYPART_GRANDPAR
(11,12),(12,22),-0.310439 # DEPENDENCYPART_GRANDPAR
(11,13),(13,10),-0.53509 # DEPENDENCYPART_GRANDPAR
(11,13),(13,11),-0.830425 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,13),(13,12),0.489119 # DEPENDENCYPART_GRANDPAR
(11,13),(13,14),-0.0283185 # DEPENDENCYPART_GRANDPAR
(11,13),(13,15),0.330048 # DEPENDENCYPART_GRANDPAR
(11,13),(13,16),0.695509 # DEPENDENCYPART_GRANDPAR
(11,13),(13,17),0.0185671 # DEPENDENCYPART_GRANDPAR
(11,13),(13,18),0.116243 # DEPENDENCYPART_GRANDPAR
(11,13),(13,19),-0.042892 # DEPENDENCYPART_GRANDPAR
(11,13),(13,21),0.204306 # DEPENDENCYPART_GRANDPAR
(11,13),(13,22),-0.0717821 # DEPENDENCYPART_GRANDPAR
(11,16),(16,9),-0.500169 # DEPENDENCYPART_GRANDPAR
(11,16),(16,10),-0.455163 # DEPENDENCYPART_GRANDPAR
(11,16),(16,12),0.423142 # DEPENDENCYPART_GRANDPAR
(11,16),(16,14),0.0898048 # DEPENDENCYPART_GRANDPAR
(11,16),(16,15),0.357527 # DEPENDENCYPART_GRANDPAR
(11,16),(16,17),0.0145872 # DEPENDENCYPART_GRANDPAR
(11,16),(16,18),0.118962 # DEPENDENCYPART_GRANDPAR
(11,16),(16,19),-0.0457078 # DEPENDENCYPART_GRANDPAR
(11,16),(16,21),0.171357 # DEPENDENCYPART_GRANDPAR
(11,16),(16,22),-0.18144 # DEPENDENCYPART_GRANDPAR
(11,17),(17,11),-0.842836 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,17),(17,15),0.183077 # DEPENDENCYPART_GRANDPAR
(11,17),(17,16),0.480175 # DEPENDENCYPART_GRANDPAR
(11,17),(17,18),0.048938 # DEPENDENCYPART_GRANDPAR
(11,17),(17,19),-0.0877159 # DEPENDENCYPART_GRANDPAR
(11,17),(17,21),0.173622 # DEPENDENCYPART_GRANDPAR
(11,17),(17,22),-0.0986131 # DEPENDENCYPART_GRANDPAR
(11,19),(19,11),-0.830425 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,19),(19,16),0.586366 # DEPENDENCYPART_GRANDPAR
(11,19),(19,17),0.0387662 # DEPENDENCYPART_GRANDPAR
(11,19),(19,18),-0.0931391 # DEPENDENCYPART_GRANDPAR
(11,19),(19,20),-0.30853 # DEPENDENCYPART_GRANDPAR
(11,19),(19,21),0.204306 # DEPENDENCYPART_GRANDPAR
(11,19),(19,22),-0.0717821 # DEPENDENCYPART_GRANDPAR
(11,22),(22,13),0.385708 # DEPENDENCYPART_GRANDPAR
(11,22),(22,14),0.0902568 # DEPENDENCYPART_GRANDPAR
(11,22),(22,15),0.35924 # DEPENDENCYPART_GRANDPAR
(11,22),(22,17),0.0253958 # DEPENDENCYPART_GRANDPAR
(11,22),(22,18),-0.144971 # DEPENDENCYPART_GRANDPAR
(11,22),(22,20),-0.189954 # DEPENDENCYPART_GRANDPAR
(11,22),(22,21),0.225374 # DEPENDENCYPART_GRANDPAR
(12,9),(9,10),-0.0122326 # DEPENDENCYPART_GRANDPAR
(12,9),(9,12),-1.18604 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,9),(9,13),-0.311844 # DEPENDENCYPART_GRANDPAR
(12,9),(9,18),-0.328427 # DEPENDENCYPART_GRANDPAR
(12,10),(10,2),-0.219183 # DEPENDENCYPART_GRANDPAR
(12,10),(10,4),-0.18076 # DEPENDENCYPART_GRANDPAR
(12,10),(10,5),-0.30884 # DEPENDENCYPART_GRANDPAR
(12,10),(10,6),-0.141495 # DEPENDENCYPART_GRANDPAR
(12,10),(10,7),-0.177159 # DEPENDENCYPART_GRANDPAR
(12,10),(10,8),-0.228489 # DEPENDENCYPART_GRANDPAR
(12,10),(10,9),0.0400477 # DEPENDENCYPART_GRANDPAR
(12,10),(10,11),-0.112216 # DEPENDENCYPART_GRANDPAR
(12,10),(10,12),-1.21461 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,10),(10,13),-0.313033 # DEPENDENCYPART_GRANDPAR
(12,10),(10,16),-0.138904 # DEPENDENCYPART_GRANDPAR
(12,10),(10,17),-0.442388 # DEPENDENCYPART_GRANDPAR
(12,10),(10,18),-0.357001 # DEPENDENCYPART_GRANDPAR
(12,10),(10,19),-0.420458 # DEPENDENCYPART_GRANDPAR
(12,10),(10,22),-0.389249 # DEPENDENCYPART_GRANDPAR
(12,10),(10,23),-0.411292 # DEPENDENCYPART_GRANDPAR
(12,11),(11,9),0.0759305 # DEPENDENCYPART_GRANDPAR
(12,11),(11,10),-0.0631428 # DEPENDENCYPART_GRANDPAR
(12,11),(11,12),-1.19392 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,11),(11,13),-0.308243 # DEPENDENCYPART_GRANDPAR
(12,11),(11,16),-0.256953 # DEPENDENCYPART_GRANDPAR
(12,11),(11,17),-0.454593 # DEPENDENCYPART_GRANDPAR
(12,11),(11,19),-0.415669 # DEPENDENCYPART_GRANDPAR
(12,11),(11,22),-0.507565 # DEPENDENCYPART_GRANDPAR
(12,13),(13,10),-0.637376 # DEPENDENCYPART_GRANDPAR
(12,13),(13,11),-0.516045 # DEPENDENCYPART_GRANDPAR
(12,13),(13,12),-0.797048 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,13),(13,14),0.288441 # DEPENDENCYPART_GRANDPAR
(12,13),(13,15),0.145155 # DEPENDENCYPART_GRANDPAR
(12,13),(13,16),0.422674 # DEPENDENCYPART_GRANDPAR
(12,13),(13,17),0.00432014 # DEPENDENCYPART_GRANDPAR
(12,13),(13,18),0.26064 # DEPENDENCYPART_GRANDPAR
(12,13),(13,19),0.0260154 # DEPENDENCYPART_GRANDPAR
(12,13),(13,21),0.190497 # DEPENDENCYPART_GRANDPAR
(12,13),(13,22),0.146953 # DEPENDENCYPART_GRANDPAR
(12,14),(14,15),0.0768699 # DEPENDENCYPART_GRANDPAR
(12,15),(15,10),-0.605853 # DEPENDENCYPART_GRANDPAR
(12,15),(15,11),-0.49569 # DEPENDENCYPART_GRANDPAR
(12,15),(15,14),0.31978 # DEPENDENCYPART_GRANDPAR
(12,15),(15,17),-0.0169757 # DEPENDENCYPART_GRANDPAR
(12,15),(15,18),0.141301 # DEPENDENCYPART_GRANDPAR
(12,15),(15,19),-0.0291128 # DEPENDENCYPART_GRANDPAR
(12,16),(16,9),-0.514752 # DEPENDENCYPART_GRANDPAR
(12,16),(16,10),-0.544166 # DEPENDENCYPART_GRANDPAR
(12,16),(16,12),-0.736904 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,16),(16,14),0.47393 # DEPENDENCYPART_GRANDPAR
(12,16),(16,15),0.163669 # DEPENDENCYPART_GRANDPAR
(12,16),(16,17),-0.130281 # DEPENDENCYPART_GRANDPAR
(12,16),(16,18),0.171837 # DEPENDENCYPART_GRANDPAR
(12,16),(16,19),-0.13819 # DEPENDENCYPART_GRANDPAR
(12,16),(16,21),0.0919297 # DEPENDENCYPART_GRANDPAR
(12,16),(16,22),0.0291195 # DEPENDENCYPART_GRANDPAR
(12,17),(17,11),-0.514953 # DEPENDENCYPART_GRANDPAR
(12,17),(17,15),0.0461357 # DEPENDENCYPART_GRANDPAR
(12,17),(17,16),0.223482 # DEPENDENCYPART_GRANDPAR
(12,17),(17,18),0.206036 # DEPENDENCYPART_GRANDPAR
(12,17),(17,19),-4.21312e-05 # DEPENDENCYPART_GRANDPAR
(12,17),(17,21),0.179929 # DEPENDENCYPART_GRANDPAR
(12,17),(17,22),0.170675 # DEPENDENCYPART_GRANDPAR
(12,18),(18,13),0.116219 # DEPENDENCYPART_GRANDPAR
(12,18),(18,14),0.324356 # DEPENDENCYPART_GRANDPAR
(12,18),(18,15),0.121231 # DEPENDENCYPART_GRANDPAR
(12,18),(18,16),0.346073 # DEPENDENCYPART_GRANDPAR
(12,18),(18,19),-0.0559913 # DEPENDENCYPART_GRANDPAR
(12,18),(18,20),0.248007 # DEPENDENCYPART_GRANDPAR
(12,18),(18,21),0.118638 # DEPENDENCYPART_GRANDPAR
(12,18),(18,22),-0.081762 # DEPENDENCYPART_GRANDPAR
(12,19),(19,11),-0.516045 # DEPENDENCYPART_GRANDPAR
(12,19),(19,16),0.261286 # DEPENDENCYPART_GRANDPAR
(12,19),(19,17),-0.0783296 # DEPENDENCYPART_GRANDPAR
(12,19),(19,18),0.0605626 # DEPENDENCYPART_GRANDPAR
(12,19),(19,20),0.222724 # DEPENDENCYPART_GRANDPAR
(12,19),(19,21),0.190497 # DEPENDENCYPART_GRANDPAR
(12,19),(19,22),0.146953 # DEPENDENCYPART_GRANDPAR
