# _root_ For the year ended March 31 , Dentsu sales rose 19 % to $ 8.9 billion from $ 7.5 billion , and net income jumped 59 % to $ 102 million from $ 64 million .
#goldHeads=22,3,1,3,4,5,22,9,10,22,12,10,10,13,14,14,10,17,18,18,22,0,24,25,22,27,25,25,28,29,29,25,32,33,33,22,
#predictedHeads=10,3,1,3,4,5,10,9,10,22,12,10,10,13,14,14,10,17,18,18,22,0,24,25,22,27,25,25,28,29,29,25,32,33,33,22,
(15,12),(12,11),-0.12732 # DEPENDENCYPART_GRANDPAR
(15,12),(12,13),-0.310928 # DEPENDENCYPART_GRANDPAR
(15,12),(12,14),-0.222294 # DEPENDENCYPART_GRANDPAR
(15,12),(12,15),-1.26794 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,12),(12,16),-0.313082 # DEPENDENCYPART_GRANDPAR
(15,12),(12,17),-0.607869 # DEPENDENCYPART_GRANDPAR
(15,12),(12,19),-0.44809 # DEPENDENCYPART_GRANDPAR
(15,12),(12,27),-0.730148 # DEPENDENCYPART_GRANDPAR
(15,12),(12,36),-0.916141 # DEPENDENCYPART_GRANDPAR
(15,13),(13,11),-0.104499 # DEPENDENCYPART_GRANDPAR
(15,13),(13,12),-0.347193 # DEPENDENCYPART_GRANDPAR
(15,13),(13,14),-0.278607 # DEPENDENCYPART_GRANDPAR
(15,13),(13,15),-1.26304 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,13),(13,16),-0.307718 # DEPENDENCYPART_GRANDPAR
(15,13),(13,17),-0.651125 # DEPENDENCYPART_GRANDPAR
(15,13),(13,22),-0.392876 # DEPENDENCYPART_GRANDPAR
(15,13),(13,24),-0.652649 # DEPENDENCYPART_GRANDPAR
(15,13),(13,28),-0.786007 # DEPENDENCYPART_GRANDPAR
(15,14),(14,11),-0.100914 # DEPENDENCYPART_GRANDPAR
(15,14),(14,12),-0.410584 # DEPENDENCYPART_GRANDPAR
(15,14),(14,13),-0.348691 # DEPENDENCYPART_GRANDPAR
(15,14),(14,15),-1.31062 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,14),(14,16),-0.365592 # DEPENDENCYPART_GRANDPAR
(15,14),(14,17),-0.673262 # DEPENDENCYPART_GRANDPAR
(15,14),(14,18),-0.340012 # DEPENDENCYPART_GRANDPAR
(15,14),(14,21),-0.445801 # DEPENDENCYPART_GRANDPAR
(15,14),(14,23),-0.632686 # DEPENDENCYPART_GRANDPAR
(15,14),(14,24),-0.623928 # DEPENDENCYPART_GRANDPAR
(15,14),(14,25),-0.579889 # DEPENDENCYPART_GRANDPAR
(15,16),(16,14),-0.67933 # DEPENDENCYPART_GRANDPAR
(15,16),(16,15),-0.882722 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,16),(16,17),-0.300133 # DEPENDENCYPART_GRANDPAR
(15,16),(16,18),-0.0352604 # DEPENDENCYPART_GRANDPAR
(15,16),(16,19),0.0182055 # DEPENDENCYPART_GRANDPAR
(15,16),(16,20),-0.043494 # DEPENDENCYPART_GRANDPAR
(15,17),(17,12),-0.822975 # DEPENDENCYPART_GRANDPAR
(15,17),(17,13),-0.704968 # DEPENDENCYPART_GRANDPAR
(15,17),(17,14),-0.675028 # DEPENDENCYPART_GRANDPAR
(15,17),(17,15),-0.911004 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,17),(17,16),0.0457557 # DEPENDENCYPART_GRANDPAR
(15,17),(17,18),0.0428044 # DEPENDENCYPART_GRANDPAR
(15,17),(17,19),0.0397907 # DEPENDENCYPART_GRANDPAR
(15,17),(17,20),-0.0277687 # DEPENDENCYPART_GRANDPAR
(15,17),(17,21),-0.0171743 # DEPENDENCYPART_GRANDPAR
(15,17),(17,22),0.056065 # DEPENDENCYPART_GRANDPAR
(15,17),(17,23),-0.188989 # DEPENDENCYPART_GRANDPAR
(15,17),(17,24),-0.0546807 # DEPENDENCYPART_GRANDPAR
(15,17),(17,25),-0.228171 # DEPENDENCYPART_GRANDPAR
(15,17),(17,28),-0.387235 # DEPENDENCYPART_GRANDPAR
(15,17),(17,32),-0.261353 # DEPENDENCYPART_GRANDPAR
(15,18),(18,14),-0.691515 # DEPENDENCYPART_GRANDPAR
(15,18),(18,15),-0.898301 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,18),(18,16),0.0551064 # DEPENDENCYPART_GRANDPAR
(15,18),(18,17),-0.263783 # DEPENDENCYPART_GRANDPAR
(15,18),(18,19),0.057344 # DEPENDENCYPART_GRANDPAR
(15,18),(18,20),0.058498 # DEPENDENCYPART_GRANDPAR
(15,18),(18,21),-0.0877371 # DEPENDENCYPART_GRANDPAR
(15,18),(18,22),-0.00988481 # DEPENDENCYPART_GRANDPAR
(15,18),(18,23),-0.284369 # DEPENDENCYPART_GRANDPAR
(15,18),(18,24),-0.233428 # DEPENDENCYPART_GRANDPAR
(15,18),(18,25),-0.22599 # DEPENDENCYPART_GRANDPAR
(15,18),(18,27),-0.385603 # DEPENDENCYPART_GRANDPAR
(15,19),(19,15),-0.867032 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,19),(19,16),0.0874128 # DEPENDENCYPART_GRANDPAR
(15,19),(19,18),0.224937 # DEPENDENCYPART_GRANDPAR
(15,19),(19,20),-0.0660795 # DEPENDENCYPART_GRANDPAR
(15,19),(19,23),-0.250976 # DEPENDENCYPART_GRANDPAR
(15,19),(19,24),-0.283423 # DEPENDENCYPART_GRANDPAR
(15,19),(19,25),-0.191696 # DEPENDENCYPART_GRANDPAR
(15,20),(20,16),0.0705812 # DEPENDENCYPART_GRANDPAR
(15,20),(20,18),0.225897 # DEPENDENCYPART_GRANDPAR
(15,20),(20,19),-0.0641384 # DEPENDENCYPART_GRANDPAR
(15,20),(20,21),-0.0675295 # DEPENDENCYPART_GRANDPAR
(16,14),(14,11),0.00548179 # DEPENDENCYPART_GRANDPAR
(16,14),(14,12),-0.24212 # DEPENDENCYPART_GRANDPAR
(16,14),(14,13),-0.244848 # DEPENDENCYPART_GRANDPAR
(16,14),(14,15),-0.0723058 # DEPENDENCYPART_GRANDPAR
(16,14),(14,16),-1.16679 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,14),(14,17),-0.318501 # DEPENDENCYPART_GRANDPAR
(16,14),(14,18),-0.245613 # DEPENDENCYPART_GRANDPAR
(16,14),(14,21),-0.326658 # DEPENDENCYPART_GRANDPAR
(16,14),(14,23),-0.444475 # DEPENDENCYPART_GRANDPAR
(16,14),(14,24),-0.357959 # DEPENDENCYPART_GRANDPAR
(16,14),(14,25),-0.431577 # DEPENDENCYPART_GRANDPAR
(16,15),(15,11),-0.0608791 # DEPENDENCYPART_GRANDPAR
(16,15),(15,12),-0.332641 # DEPENDENCYPART_GRANDPAR
(16,15),(15,13),-0.165237 # DEPENDENCYPART_GRANDPAR
(16,15),(15,14),-0.343229 # DEPENDENCYPART_GRANDPAR
(16,15),(15,16),-1.08449 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,15),(15,17),-0.279063 # DEPENDENCYPART_GRANDPAR
(16,15),(15,18),-0.223537 # DEPENDENCYPART_GRANDPAR
(16,15),(15,19),-0.184205 # DEPENDENCYPART_GRANDPAR
(16,15),(15,20),-0.26011 # DEPENDENCYPART_GRANDPAR
(16,17),(17,12),-0.65356 # DEPENDENCYPART_GRANDPAR
(16,17),(17,13),-0.602792 # DEPENDENCYPART_GRANDPAR
(16,17),(17,14),-0.631127 # DEPENDENCYPART_GRANDPAR
(16,17),(17,15),-0.425535 # DEPENDENCYPART_GRANDPAR
(16,17),(17,16),-0.739724 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,17),(17,18),0.136579 # DEPENDENCYPART_GRANDPAR
(16,17),(17,19),0.296848 # DEPENDENCYPART_GRANDPAR
(16,17),(17,20),0.216505 # DEPENDENCYPART_GRANDPAR
(16,17),(17,21),0.106726 # DEPENDENCYPART_GRANDPAR
(16,17),(17,22),0.140883 # DEPENDENCYPART_GRANDPAR
(16,17),(17,23),0.00317303 # DEPENDENCYPART_GRANDPAR
(16,17),(17,24),0.214623 # DEPENDENCYPART_GRANDPAR
(16,17),(17,25),-0.0759614 # DEPENDENCYPART_GRANDPAR
(16,17),(17,28),-0.222386 # DEPENDENCYPART_GRANDPAR
(16,17),(17,32),-0.120603 # DEPENDENCYPART_GRANDPAR
(16,18),(18,14),-0.653673 # DEPENDENCYPART_GRANDPAR
(16,18),(18,15),-0.487385 # DEPENDENCYPART_GRANDPAR
(16,18),(18,16),-0.73862 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,18),(18,17),0.0960445 # DEPENDENCYPART_GRANDPAR
(16,18),(18,19),0.318365 # DEPENDENCYPART_GRANDPAR
(16,18),(18,20),0.308254 # DEPENDENCYPART_GRANDPAR
(16,18),(18,21),0.0393123 # DEPENDENCYPART_GRANDPAR
(16,18),(18,22),0.0798072 # DEPENDENCYPART_GRANDPAR
(16,18),(18,23),-0.0886571 # DEPENDENCYPART_GRANDPAR
(16,18),(18,24),0.0386175 # DEPENDENCYPART_GRANDPAR
(16,18),(18,25),-0.0706288 # DEPENDENCYPART_GRANDPAR
(16,18),(18,27),-0.174359 # DEPENDENCYPART_GRANDPAR
(16,19),(19,15),-0.418226 # DEPENDENCYPART_GRANDPAR
(16,19),(19,16),-0.700382 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,19),(19,18),0.318832 # DEPENDENCYPART_GRANDPAR
(16,19),(19,20),0.174607 # DEPENDENCYPART_GRANDPAR
(16,19),(19,23),-0.0620395 # DEPENDENCYPART_GRANDPAR
(16,19),(19,24),-0.0181096 # DEPENDENCYPART_GRANDPAR
(16,19),(19,25),-0.04311 # DEPENDENCYPART_GRANDPAR
(16,20),(20,16),-0.718415 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,20),(20,18),0.318132 # DEPENDENCYPART_GRANDPAR
(16,20),(20,19),0.180545 # DEPENDENCYPART_GRANDPAR
(16,20),(20,21),0.0521958 # DEPENDENCYPART_GRANDPAR
(17,12),(12,2),-0.105704 # DEPENDENCYPART_GRANDPAR
(17,12),(12,3),-0.628511 # DEPENDENCYPART_GRANDPAR
(17,12),(12,5),-0.520428 # DEPENDENCYPART_GRANDPAR
(17,12),(12,6),0.0794673 # DEPENDENCYPART_GRANDPAR
(17,12),(12,7),-0.0144847 # DEPENDENCYPART_GRANDPAR
(17,12),(12,8),-0.356257 # DEPENDENCYPART_GRANDPAR
(17,12),(12,9),-0.376163 # DEPENDENCYPART_GRANDPAR
(17,12),(12,10),-0.100535 # DEPENDENCYPART_GRANDPAR
(17,12),(12,11),0.145943 # DEPENDENCYPART_GRANDPAR
(17,12),(12,13),-0.290581 # DEPENDENCYPART_GRANDPAR
(17,12),(12,14),-0.0490318 # DEPENDENCYPART_GRANDPAR
(17,12),(12,15),-0.0603371 # DEPENDENCYPART_GRANDPAR
(17,12),(12,16),0.0302802 # DEPENDENCYPART_GRANDPAR
(17,12),(12,17),-0.875657 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,12),(12,19),0.132429 # DEPENDENCYPART_GRANDPAR
(17,12),(12,27),-0.609304 # DEPENDENCYPART_GRANDPAR
(17,12),(12,36),-0.86206 # DEPENDENCYPART_GRANDPAR
(17,13),(13,11),0.163461 # DEPENDENCYPART_GRANDPAR
(17,13),(13,12),-0.0285769 # DEPENDENCYPART_GRANDPAR
(17,13),(13,14),-0.0729139 # DEPENDENCYPART_GRANDPAR
(17,13),(13,15),-0.0841465 # DEPENDENCYPART_GRANDPAR
(17,13),(13,16),-0.014847 # DEPENDENCYPART_GRANDPAR
(17,13),(13,17),-0.868156 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,13),(13,22),-0.0958884 # DEPENDENCYPART_GRANDPAR
(17,13),(13,24),-0.10925 # DEPENDENCYPART_GRANDPAR
(17,13),(13,28),-0.885643 # DEPENDENCYPART_GRANDPAR
(17,14),(14,11),0.244967 # DEPENDENCYPART_GRANDPAR
(17,14),(14,12),-0.234167 # DEPENDENCYPART_GRANDPAR
(17,14),(14,13),-0.059337 # DEPENDENCYPART_GRANDPAR
(17,14),(14,15),0.0196968 # DEPENDENCYPART_GRANDPAR
(17,14),(14,16),0.0885924 # DEPENDENCYPART_GRANDPAR
(17,14),(14,17),-0.873071 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,14),(14,18),0.397514 # DEPENDENCYPART_GRANDPAR
(17,14),(14,21),0.0795862 # DEPENDENCYPART_GRANDPAR
(17,14),(14,23),-0.293087 # DEPENDENCYPART_GRANDPAR
(17,14),(14,24),-0.0688078 # DEPENDENCYPART_GRANDPAR
(17,14),(14,25),-0.407865 # DEPENDENCYPART_GRANDPAR
(17,15),(15,11),0.0868036 # DEPENDENCYPART_GRANDPAR
(17,15),(15,12),-0.327785 # DEPENDENCYPART_GRANDPAR
(17,15),(15,13),0.00610358 # DEPENDENCYPART_GRANDPAR
(17,15),(15,14),-0.036873 # DEPENDENCYPART_GRANDPAR
(17,15),(15,16),0.0967223 # DEPENDENCYPART_GRANDPAR
(17,15),(15,17),-0.863309 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,15),(15,18),0.39405 # DEPENDENCYPART_GRANDPAR
(17,15),(15,19),0.189787 # DEPENDENCYPART_GRANDPAR
(17,15),(15,20),0.123072 # DEPENDENCYPART_GRANDPAR
(17,16),(16,14),-0.0635584 # DEPENDENCYPART_GRANDPAR
(17,16),(16,15),0.149573 # DEPENDENCYPART_GRANDPAR
(17,16),(16,17),-0.863316 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,16),(16,18),0.390212 # DEPENDENCYPART_GRANDPAR
(17,16),(16,19),0.18978 # DEPENDENCYPART_GRANDPAR
(17,16),(16,20),0.123065 # DEPENDENCYPART_GRANDPAR
(17,18),(18,14),-0.450916 # DEPENDENCYPART_GRANDPAR
(17,18),(18,15),-0.379117 # DEPENDENCYPART_GRANDPAR
(17,18),(18,16),-0.310671 # DEPENDENCYPART_GRANDPAR
(17,18),(18,17),-0.457536 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,18),(18,19),0.841888 # DEPENDENCYPART_GRANDPAR
(17,18),(18,20),0.928405 # DEPENDENCYPART_GRANDPAR
(17,18),(18,21),0.469319 # DEPENDENCYPART_GRANDPAR
(17,18),(18,22),0.25821 # DEPENDENCYPART_GRANDPAR
(17,18),(18,23),0.0767587 # DEPENDENCYPART_GRANDPAR
(17,18),(18,24),0.409311 # DEPENDENCYPART_GRANDPAR
(17,18),(18,25),-0.0410168 # DEPENDENCYPART_GRANDPAR
(17,18),(18,27),-0.124799 # DEPENDENCYPART_GRANDPAR
(17,19),(19,15),-0.357679 # DEPENDENCYPART_GRANDPAR
(17,19),(19,16),-0.283952 # DEPENDENCYPART_GRANDPAR
(17,19),(19,18),0.937942 # DEPENDENCYPART_GRANDPAR
(17,19),(19,20),0.629485 # DEPENDENCYPART_GRANDPAR
(17,19),(19,23),0.0974331 # DEPENDENCYPART_GRANDPAR
(17,19),(19,24),0.368449 # DEPENDENCYPART_GRANDPAR
(17,19),(19,25),-0.0346144 # DEPENDENCYPART_GRANDPAR
(17,20),(20,16),-0.283959 # DEPENDENCYPART_GRANDPAR
(17,20),(20,18),0.926563 # DEPENDENCYPART_GRANDPAR
(17,20),(20,19),0.537576 # DEPENDENCYPART_GRANDPAR
(17,20),(20,21),0.533986 # DEPENDENCYPART_GRANDPAR
(17,22),(22,1),-0.638989 # DEPENDENCYPART_GRANDPAR
(17,22),(22,2),-0.649383 # DEPENDENCYPART_GRANDPAR
(17,22),(22,3),-1.19469 # DEPENDENCYPART_GRANDPAR
(17,22),(22,4),-0.619648 # DEPENDENCYPART_GRANDPAR
(17,22),(22,5),-1.11278 # DEPENDENCYPART_GRANDPAR
(17,22),(22,6),-0.5407 # DEPENDENCYPART_GRANDPAR
(17,22),(22,7),-0.676439 # DEPENDENCYPART_GRANDPAR
(17,22),(22,8),-0.936596 # DEPENDENCYPART_GRANDPAR
(17,22),(22,9),-0.930451 # DEPENDENCYPART_GRANDPAR
(17,22),(22,10),-0.59179 # DEPENDENCYPART_GRANDPAR
(17,22),(22,11),-0.448759 # DEPENDENCYPART_GRANDPAR
(17,22),(22,12),-0.814782 # DEPENDENCYPART_GRANDPAR
(17,22),(22,13),-0.519388 # DEPENDENCYPART_GRANDPAR
(17,22),(22,14),-0.488221 # DEPENDENCYPART_GRANDPAR
(17,22),(22,15),-0.401031 # DEPENDENCYPART_GRANDPAR
(17,22),(22,16),-0.327306 # DEPENDENCYPART_GRANDPAR
(17,22),(22,17),-0.715061 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,22),(22,18),0.687573 # DEPENDENCYPART_GRANDPAR
(17,22),(22,19),0.404177 # DEPENDENCYPART_GRANDPAR
(17,22),(22,20),0.318343 # DEPENDENCYPART_GRANDPAR
(17,22),(22,21),0.405954 # DEPENDENCYPART_GRANDPAR
(17,22),(22,23),0.244266 # DEPENDENCYPART_GRANDPAR
(17,22),(22,24),0.596713 # DEPENDENCYPART_GRANDPAR
(17,22),(22,25),0.0270535 # DEPENDENCYPART_GRANDPAR
(17,22),(22,26),0.0758059 # DEPENDENCYPART_GRANDPAR
(17,22),(22,27),0.0311206 # DEPENDENCYPART_GRANDPAR
(17,22),(22,28),-0.476998 # DEPENDENCYPART_GRANDPAR
(17,22),(22,32),-0.178011 # DEPENDENCYPART_GRANDPAR
(17,22),(22,36),-0.382456 # DEPENDENCYPART_GRANDPAR
(17,23),(23,24),0.50688 # DEPENDENCYPART_GRANDPAR
(17,23),(23,25),0.0172151 # DEPENDENCYPART_GRANDPAR
(17,23),(23,26),-0.048956 # DEPENDENCYPART_GRANDPAR
(17,24),(24,18),0.872538 # DEPENDENCYPART_GRANDPAR
(17,24),(24,19),0.589792 # DEPENDENCYPART_GRANDPAR
(17,24),(24,20),0.541435 # DEPENDENCYPART_GRANDPAR
(17,24),(24,21),0.471374 # DEPENDENCYPART_GRANDPAR
(17,24),(24,22),0.683609 # DEPENDENCYPART_GRANDPAR
(17,24),(24,23),0.249718 # DEPENDENCYPART_GRANDPAR
(17,24),(24,25),0.0201622 # DEPENDENCYPART_GRANDPAR
(17,24),(24,26),0.0134951 # DEPENDENCYPART_GRANDPAR
(17,24),(24,27),-0.137196 # DEPENDENCYPART_GRANDPAR
(17,24),(24,28),-0.412326 # DEPENDENCYPART_GRANDPAR
(17,24),(24,29),0.147956 # DEPENDENCYPART_GRANDPAR
(17,25),(25,1),-0.577608 # DEPENDENCYPART_GRANDPAR
(17,25),(25,3),-1.11521 # DEPENDENCYPART_GRANDPAR
(17,25),(25,4),-0.560135 # DEPENDENCYPART_GRANDPAR
(17,25),(25,5),-1.03597 # DEPENDENCYPART_GRANDPAR
(17,25),(25,7),-0.637173 # DEPENDENCYPART_GRANDPAR
(17,25),(25,9),-0.854016 # DEPENDENCYPART_GRANDPAR
(17,25),(25,10),-0.532854 # DEPENDENCYPART_GRANDPAR
(17,25),(25,11),-0.413679 # DEPENDENCYPART_GRANDPAR
(17,25),(25,12),-0.738767 # DEPENDENCYPART_GRANDPAR
(17,25),(25,13),-0.503193 # DEPENDENCYPART_GRANDPAR
(17,25),(25,14),-0.453259 # DEPENDENCYPART_GRANDPAR
(17,25),(25,15),-0.365951 # DEPENDENCYPART_GRANDPAR
(17,25),(25,16),-0.292223 # DEPENDENCYPART_GRANDPAR
(17,25),(25,17),-0.541468 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,25),(25,18),0.756501 # DEPENDENCYPART_GRANDPAR
(17,25),(25,19),0.467662 # DEPENDENCYPART_GRANDPAR
(17,25),(25,20),0.397408 # DEPENDENCYPART_GRANDPAR
(17,25),(25,21),0.352859 # DEPENDENCYPART_GRANDPAR
(17,25),(25,22),0.428675 # DEPENDENCYPART_GRANDPAR
(17,25),(25,23),0.0277673 # DEPENDENCYPART_GRANDPAR
(17,25),(25,24),0.30425 # DEPENDENCYPART_GRANDPAR
(17,25),(25,26),-0.0409022 # DEPENDENCYPART_GRANDPAR
(17,25),(25,27),-0.0647888 # DEPENDENCYPART_GRANDPAR
(17,25),(25,28),-0.455933 # DEPENDENCYPART_GRANDPAR
(17,25),(25,29),0.0841911 # DEPENDENCYPART_GRANDPAR
(17,25),(25,30),-0.28807 # DEPENDENCYPART_GRANDPAR
(17,25),(25,32),-0.160841 # DEPENDENCYPART_GRANDPAR
(17,25),(25,33),0.0733771 # DEPENDENCYPART_GRANDPAR
(17,25),(25,36),-0.501094 # DEPENDENCYPART_GRANDPAR
(17,28),(28,26),-0.249391 # DEPENDENCYPART_GRANDPAR
(17,28),(28,27),-0.201249 # DEPENDENCYPART_GRANDPAR
(17,28),(28,29),0.186258 # DEPENDENCYPART_GRANDPAR
(17,28),(28,30),-0.198771 # DEPENDENCYPART_GRANDPAR
(17,28),(28,31),-0.316617 # DEPENDENCYPART_GRANDPAR
(17,28),(28,32),-0.206086 # DEPENDENCYPART_GRANDPAR
(17,32),(32,27),-0.21897 # DEPENDENCYPART_GRANDPAR
(17,32),(32,28),-0.544341 # DEPENDENCYPART_GRANDPAR
(17,32),(32,29),0.0428494 # DEPENDENCYPART_GRANDPAR
(17,32),(32,30),-0.48844 # DEPENDENCYPART_GRANDPAR
(17,32),(32,31),-0.620445 # DEPENDENCYPART_GRANDPAR
(17,32),(32,33),0.158312 # DEPENDENCYPART_GRANDPAR
(17,32),(32,34),-0.274298 # DEPENDENCYPART_GRANDPAR
(17,32),(32,35),-0.490975 # DEPENDENCYPART_GRANDPAR
(18,14),(14,11),-0.349098 # DEPENDENCYPART_GRANDPAR
(18,14),(14,12),-0.457576 # DEPENDENCYPART_GRANDPAR
(18,14),(14,13),-0.337216 # DEPENDENCYPART_GRANDPAR
(18,14),(14,15),-0.400348 # DEPENDENCYPART_GRANDPAR
(18,14),(14,16),-0.338584 # DEPENDENCYPART_GRANDPAR
(18,14),(14,17),-0.181556 # DEPENDENCYPART_GRANDPAR
(18,14),(14,18),-1.06597 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,14),(14,21),-0.245457 # DEPENDENCYPART_GRANDPAR
(18,14),(14,23),-0.431372 # DEPENDENCYPART_GRANDPAR
(18,14),(14,24),-0.311172 # DEPENDENCYPART_GRANDPAR
(18,14),(14,25),-0.264466 # DEPENDENCYPART_GRANDPAR
(18,15),(15,11),-0.473694 # DEPENDENCYPART_GRANDPAR
(18,15),(15,12),-0.623939 # DEPENDENCYPART_GRANDPAR
(18,15),(15,13),-0.341848 # DEPENDENCYPART_GRANDPAR
(18,15),(15,14),-0.357782 # DEPENDENCYPART_GRANDPAR
(18,15),(15,16),-0.33357 # DEPENDENCYPART_GRANDPAR
(18,15),(15,17),-0.178171 # DEPENDENCYPART_GRANDPAR
(18,15),(15,18),-1.07167 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,15),(15,19),-0.224007 # DEPENDENCYPART_GRANDPAR
(18,15),(15,20),-0.391971 # DEPENDENCYPART_GRANDPAR
(18,16),(16,14),-0.387374 # DEPENDENCYPART_GRANDPAR
(18,16),(16,15),-0.401606 # DEPENDENCYPART_GRANDPAR
(18,16),(16,17),-0.182718 # DEPENDENCYPART_GRANDPAR
(18,16),(16,18),-1.07556 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,16),(16,19),-0.224059 # DEPENDENCYPART_GRANDPAR
(18,16),(16,20),-0.392023 # DEPENDENCYPART_GRANDPAR
(18,17),(17,12),-0.317331 # DEPENDENCYPART_GRANDPAR
(18,17),(17,13),-0.331306 # DEPENDENCYPART_GRANDPAR
(18,17),(17,14),-0.278543 # DEPENDENCYPART_GRANDPAR
(18,17),(17,15),-0.343412 # DEPENDENCYPART_GRANDPAR
(18,17),(17,16),-0.299589 # DEPENDENCYPART_GRANDPAR
(18,17),(17,18),-1.08024 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,17),(17,19),-0.240378 # DEPENDENCYPART_GRANDPAR
(18,17),(17,20),-0.408654 # DEPENDENCYPART_GRANDPAR
(18,17),(17,21),-0.257021 # DEPENDENCYPART_GRANDPAR
(18,17),(17,22),-0.168451 # DEPENDENCYPART_GRANDPAR
(18,17),(17,23),-0.443606 # DEPENDENCYPART_GRANDPAR
(18,17),(17,24),-0.358262 # DEPENDENCYPART_GRANDPAR
(18,17),(17,25),-0.277657 # DEPENDENCYPART_GRANDPAR
(18,17),(17,28),-0.462716 # DEPENDENCYPART_GRANDPAR
(18,17),(17,32),-0.477064 # DEPENDENCYPART_GRANDPAR
(18,19),(19,15),-0.724819 # DEPENDENCYPART_GRANDPAR
(18,19),(19,16),-0.656907 # DEPENDENCYPART_GRANDPAR
(18,19),(19,18),-0.615404 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,19),(19,20),-0.0880506 # DEPENDENCYPART_GRANDPAR
(18,19),(19,23),-0.138214 # DEPENDENCYPART_GRANDPAR
(18,19),(19,24),-0.109576 # DEPENDENCYPART_GRANDPAR
(18,19),(19,25),0.0261177 # DEPENDENCYPART_GRANDPAR
(18,20),(20,16),-0.656958 # DEPENDENCYPART_GRANDPAR
(18,20),(20,18),-0.61528 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,20),(20,19),0.0813583 # DEPENDENCYPART_GRANDPAR
(18,20),(20,21),0.0207677 # DEPENDENCYPART_GRANDPAR
(18,22),(22,1),-0.886041 # DEPENDENCYPART_GRANDPAR
(18,22),(22,2),-0.753524 # DEPENDENCYPART_GRANDPAR
(18,22),(22,3),-1.12564 # DEPENDENCYPART_GRANDPAR
(18,22),(22,4),-0.943277 # DEPENDENCYPART_GRANDPAR
(18,22),(22,5),-1.05507 # DEPENDENCYPART_GRANDPAR
(18,22),(22,6),-0.93246 # DEPENDENCYPART_GRANDPAR
(18,22),(22,7),-0.823722 # DEPENDENCYPART_GRANDPAR
(18,22),(22,8),-0.9474 # DEPENDENCYPART_GRANDPAR
(18,22),(22,9),-0.943498 # DEPENDENCYPART_GRANDPAR
(18,22),(22,10),-0.805953 # DEPENDENCYPART_GRANDPAR
(18,22),(22,11),-0.800756 # DEPENDENCYPART_GRANDPAR
(18,22),(22,12),-0.859421 # DEPENDENCYPART_GRANDPAR
(18,22),(22,13),-0.708236 # DEPENDENCYPART_GRANDPAR
(18,22),(22,14),-0.62966 # DEPENDENCYPART_GRANDPAR
(18,22),(22,15),-0.731004 # DEPENDENCYPART_GRANDPAR
(18,22),(22,16),-0.663096 # DEPENDENCYPART_GRANDPAR
(18,22),(22,17),-0.624066 # DEPENDENCYPART_GRANDPAR
(18,22),(22,18),-0.677847 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,22),(22,19),0.102319 # DEPENDENCYPART_GRANDPAR
(18,22),(22,20),-0.0665983 # DEPENDENCYPART_GRANDPAR
(18,22),(22,21),0.21877 # DEPENDENCYPART_GRANDPAR
(18,22),(22,23),0.057593 # DEPENDENCYPART_GRANDPAR
(18,22),(22,24),0.121167 # DEPENDENCYPART_GRANDPAR
(18,22),(22,25),0.161391 # DEPENDENCYPART_GRANDPAR
(18,22),(22,26),-0.133942 # DEPENDENCYPART_GRANDPAR
(18,22),(22,27),-0.00222332 # DEPENDENCYPART_GRANDPAR
(18,22),(22,28),-0.0785068 # DEPENDENCYPART_GRANDPAR
(18,22),(22,32),-0.0694999 # DEPENDENCYPART_GRANDPAR
(18,22),(22,36),-0.263615 # DEPENDENCYPART_GRANDPAR
