# _root_ These mainly involved such areas as materials -- advanced soldering machines , for example -- and medical developments derived from experimentation in space , such as artificial blood vessels .
#goldHeads=3,3,0,5,3,5,16,11,11,11,7,11,11,13,11,6,18,16,18,19,20,21,22,18,26,18,29,29,26,3,
#predictedHeads=3,3,0,5,3,5,6,16,11,11,16,16,16,13,16,7,18,16,18,19,20,21,22,21,26,21,29,29,26,3,
(22,23),(22,31),-0.327537 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,25),(22,26),-0.52632 # DEPENDENCYPART_NEXTSIBL
(22,25),(22,27),-0.502187 # DEPENDENCYPART_NEXTSIBL
(22,25),(22,29),-0.674672 # DEPENDENCYPART_NEXTSIBL
(22,25),(22,31),-0.428191 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,26),(22,27),-0.650159 # DEPENDENCYPART_NEXTSIBL
(22,26),(22,29),-0.574693 # DEPENDENCYPART_NEXTSIBL
(22,26),(22,31),-0.4498 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,27),(22,29),-1.06094 # DEPENDENCYPART_NEXTSIBL
(22,27),(22,31),-0.35863 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,29),(22,31),-0.200781 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,22),(22,21),-0.289435 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,20),-0.441516 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(22,22),(22,-1),-0.0679101 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(22,21),(22,20),-0.436985 # DEPENDENCYPART_NEXTSIBL
(22,21),(22,-1),-0.54089 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(22,20),(22,-1),-0.685905 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,23),(23,24),-0.681542 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,25),-0.0801078 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,26),0.179968 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,27),-0.121577 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,28),-0.344143 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,29),-0.0947206 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,30),-0.880484 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,31),-0.225235 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(23,24),(23,25),-0.0953872 # DEPENDENCYPART_NEXTSIBL
(23,24),(23,26),-0.0305751 # DEPENDENCYPART_NEXTSIBL
(23,24),(23,27),-0.261671 # DEPENDENCYPART_NEXTSIBL
(23,24),(23,28),-0.494088 # DEPENDENCYPART_NEXTSIBL
(23,24),(23,29),-0.320036 # DEPENDENCYPART_NEXTSIBL
(23,24),(23,30),-0.742608 # DEPENDENCYPART_NEXTSIBL
(23,24),(23,31),-1.06146 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,25),(23,26),-0.580912 # DEPENDENCYPART_NEXTSIBL
(23,25),(23,27),-0.602299 # DEPENDENCYPART_NEXTSIBL
(23,25),(23,28),-0.663799 # DEPENDENCYPART_NEXTSIBL
(23,25),(23,29),-0.743925 # DEPENDENCYPART_NEXTSIBL
(23,25),(23,30),-0.47508 # DEPENDENCYPART_NEXTSIBL
(23,25),(23,31),-0.552868 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,26),(23,27),-0.62076 # DEPENDENCYPART_NEXTSIBL
(23,26),(23,28),-0.678062 # DEPENDENCYPART_NEXTSIBL
(23,26),(23,29),-0.578258 # DEPENDENCYPART_NEXTSIBL
(23,26),(23,30),-0.382939 # DEPENDENCYPART_NEXTSIBL
(23,26),(23,31),-0.254574 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,27),(23,28),-0.865489 # DEPENDENCYPART_NEXTSIBL
(23,27),(23,29),-1.10105 # DEPENDENCYPART_NEXTSIBL
(23,27),(23,30),-0.876935 # DEPENDENCYPART_NEXTSIBL
(23,27),(23,31),-0.40704 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,28),(23,29),-0.833392 # DEPENDENCYPART_NEXTSIBL
(23,28),(23,30),-0.708862 # DEPENDENCYPART_NEXTSIBL
(23,28),(23,31),-0.720794 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,29),(23,30),-0.44645 # DEPENDENCYPART_NEXTSIBL
(23,29),(23,31),-0.461054 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,30),(23,31),-1.7908 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,23),(23,22),-0.34153 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,21),-0.162945 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(23,23),(23,-1),-0.324988 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(23,22),(23,21),-0.700078 # DEPENDENCYPART_NEXTSIBL
(23,22),(23,-1),-0.622582 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(23,21),(23,-1),-0.405501 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(24,24),(24,31),-0.0672377 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(24,24),(24,-1),-0.159702 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(25,25),(25,26),0.0908587 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,27),-0.0998962 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,28),-0.293171 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,29),-0.0420956 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,31),-0.201218 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(25,26),(25,27),-0.636676 # DEPENDENCYPART_NEXTSIBL
(25,26),(25,28),-0.680821 # DEPENDENCYPART_NEXTSIBL
(25,26),(25,29),-0.579564 # DEPENDENCYPART_NEXTSIBL
(25,26),(25,31),-0.389924 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,27),(25,28),-0.890563 # DEPENDENCYPART_NEXTSIBL
(25,27),(25,29),-1.12467 # DEPENDENCYPART_NEXTSIBL
(25,27),(25,31),-0.432987 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,28),(25,29),-0.893757 # DEPENDENCYPART_NEXTSIBL
(25,28),(25,31),-0.755725 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,29),(25,31),-0.491597 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,25),(25,24),-0.944467 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,23),-0.312111 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,22),-0.386632 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,21),-0.278298 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,20),-0.507022 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(25,25),(25,-1),-0.261265 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(25,24),(25,23),-0.12059 # DEPENDENCYPART_NEXTSIBL
(25,24),(25,22),-0.603079 # DEPENDENCYPART_NEXTSIBL
(25,24),(25,21),-0.54875 # DEPENDENCYPART_NEXTSIBL
(25,24),(25,20),-0.519264 # DEPENDENCYPART_NEXTSIBL
(25,24),(25,-1),-1.34478 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,23),(25,22),-0.606746 # DEPENDENCYPART_NEXTSIBL
(25,23),(25,21),-1.11769 # DEPENDENCYPART_NEXTSIBL
(25,23),(25,20),-0.890786 # DEPENDENCYPART_NEXTSIBL
(25,23),(25,-1),-0.598025 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,22),(25,21),-0.71747 # DEPENDENCYPART_NEXTSIBL
(25,22),(25,20),-0.902223 # DEPENDENCYPART_NEXTSIBL
(25,22),(25,-1),-0.662901 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,21),(25,20),-0.440853 # DEPENDENCYPART_NEXTSIBL
(25,21),(25,-1),-0.45886 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(25,20),(25,-1),-0.723691 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(26,26),(26,27),-0.030177 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(26,26),(26,28),-0.263056 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(26,26),(26,29),-0.0309913 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(26,26),(26,31),-0.497371 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(26,27),(26,28),-0.889607 # DEPENDENCYPART_NEXTSIBL
(26,27),(26,29),-1.13006 # DEPENDENCYPART_NEXTSIBL
(26,27),(26,31),-0.389864 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(26,28),(26,29),-1.00241 # DEPENDENCYPART_NEXTSIBL
(26,28),(26,31),-0.629708 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(26,29),(26,31),-0.38459 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(26,26),(26,25),0.403992 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(26,26),(26,24),-0.887277 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(26,26),(26,23),-0.276516 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(26,26),(26,22),-0.32359 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(26,26),(26,21),-0.243305 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(26,26),(26,-1),-0.179735 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(26,25),(26,24),-0.272176 # DEPENDENCYPART_NEXTSIBL
(26,25),(26,23),-0.683047 # DEPENDENCYPART_NEXTSIBL
(26,25),(26,22),-0.65335 # DEPENDENCYPART_NEXTSIBL
(26,25),(26,21),-0.950094 # DEPENDENCYPART_NEXTSIBL
(26,25),(26,-1),-0.0633684 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(26,24),(26,23),-0.161506 # DEPENDENCYPART_NEXTSIBL
(26,24),(26,22),-0.588102 # DEPENDENCYPART_NEXTSIBL
(26,24),(26,21),-0.589866 # DEPENDENCYPART_NEXTSIBL
(26,24),(26,-1),-1.27471 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(26,23),(26,22),-0.588371 # DEPENDENCYPART_NEXTSIBL
(26,23),(26,21),-1.17319 # DEPENDENCYPART_NEXTSIBL
(26,23),(26,-1),-0.667039 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(26,22),(26,21),-0.708693 # DEPENDENCYPART_NEXTSIBL
(26,22),(26,-1),-0.612082 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(26,21),(26,-1),-0.528476 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(27,27),(27,28),-0.289541 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(27,27),(27,31),-0.261055 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(27,28),(27,31),-0.767484 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(27,27),(27,25),0.153159 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(27,27),(27,23),-0.300839 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(27,27),(27,-1),-0.316702 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(27,25),(27,23),-0.751806 # DEPENDENCYPART_NEXTSIBL
(27,25),(27,-1),-0.29706 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(27,23),(27,-1),-0.583975 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(28,28),(28,29),-0.0926408 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(28,28),(28,31),-0.269708 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(28,29),(28,31),-0.454046 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(28,28),(28,27),-0.116964 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(28,28),(28,25),0.183469 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(28,28),(28,-1),-0.317513 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(28,27),(28,25),-0.814722 # DEPENDENCYPART_NEXTSIBL
(28,27),(28,-1),-0.383429 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(28,25),(28,-1),-0.243026 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,29),(29,30),-0.880418 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(29,29),(29,31),-0.257893 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(29,30),(29,31),-1.79064 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,29),(29,28),-0.144937 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(29,29),(29,27),-0.116492 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(29,29),(29,26),0.144911 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(29,29),(29,25),0.183942 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(29,29),(29,24),-1.08982 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(29,29),(29,23),-0.201164 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(29,29),(29,21),-0.165145 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(29,29),(29,-1),-0.326099 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(29,28),(29,27),-0.0497309 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,26),-0.443252 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,25),-0.806888 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,24),-1.09431 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,23),-0.987517 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,21),-1.12965 # DEPENDENCYPART_NEXTSIBL
(29,28),(29,-1),-0.666381 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,27),(29,26),-0.686506 # DEPENDENCYPART_NEXTSIBL
(29,27),(29,25),-0.81423 # DEPENDENCYPART_NEXTSIBL
(29,27),(29,24),-0.891877 # DEPENDENCYPART_NEXTSIBL
(29,27),(29,23),-1.04125 # DEPENDENCYPART_NEXTSIBL
(29,27),(29,21),-1.19793 # DEPENDENCYPART_NEXTSIBL
(29,27),(29,-1),-0.382692 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,26),(29,25),-0.603561 # DEPENDENCYPART_NEXTSIBL
(29,26),(29,24),-0.803776 # DEPENDENCYPART_NEXTSIBL
(29,26),(29,23),-0.944672 # DEPENDENCYPART_NEXTSIBL
(29,26),(29,21),-1.03794 # DEPENDENCYPART_NEXTSIBL
(29,26),(29,-1),-0.13325 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,25),(29,24),-0.361627 # DEPENDENCYPART_NEXTSIBL
(29,25),(29,23),-0.67491 # DEPENDENCYPART_NEXTSIBL
(29,25),(29,21),-0.940286 # DEPENDENCYPART_NEXTSIBL
(29,25),(29,-1),-0.242289 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,24),(29,23),-0.212617 # DEPENDENCYPART_NEXTSIBL
(29,24),(29,21),-0.639306 # DEPENDENCYPART_NEXTSIBL
(29,24),(29,-1),-1.41051 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,23),(29,21),-0.989214 # DEPENDENCYPART_NEXTSIBL
(29,23),(29,-1),-0.555351 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(29,21),(29,-1),-0.410042 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(30,30),(30,31),-0.329308 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(30,30),(30,-1),0.0142557 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(0,2),(2,1),0.211095 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),0.270418 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),-0.367967 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),-0.0981231 # DEPENDENCYPART_GRANDPAR
(0,2),(2,7),-0.401075 # DEPENDENCYPART_GRANDPAR
(0,2),(2,8),0.345153 # DEPENDENCYPART_GRANDPAR
(0,2),(2,11),-0.107359 # DEPENDENCYPART_GRANDPAR
(0,3),(3,1),0.243809 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),0.387569 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),-0.187452 # DEPENDENCYPART_GRANDPAR
(0,3),(3,5),0.162346 # DEPENDENCYPART_GRANDPAR
(0,3),(3,6),0.0893769 # DEPENDENCYPART_GRANDPAR
(0,3),(3,7),-0.162152 # DEPENDENCYPART_GRANDPAR
(0,3),(3,8),0.506832 # DEPENDENCYPART_GRANDPAR
(0,3),(3,9),-0.319149 # DEPENDENCYPART_GRANDPAR
(0,3),(3,10),-0.368137 # DEPENDENCYPART_GRANDPAR
(0,3),(3,11),0.144962 # DEPENDENCYPART_GRANDPAR
(0,3),(3,12),0.23387 # DEPENDENCYPART_GRANDPAR
(0,3),(3,13),0.154812 # DEPENDENCYPART_GRANDPAR
(0,3),(3,14),-0.520228 # DEPENDENCYPART_GRANDPAR
(0,3),(3,15),0.193573 # DEPENDENCYPART_GRANDPAR
(0,3),(3,16),-0.23439 # DEPENDENCYPART_GRANDPAR
(0,3),(3,17),-0.531082 # DEPENDENCYPART_GRANDPAR
(0,3),(3,19),0.0701585 # DEPENDENCYPART_GRANDPAR
(0,3),(3,20),-0.26482 # DEPENDENCYPART_GRANDPAR
(0,3),(3,22),-0.0943259 # DEPENDENCYPART_GRANDPAR
(0,3),(3,24),-0.420955 # DEPENDENCYPART_GRANDPAR
(0,3),(3,26),-0.364114 # DEPENDENCYPART_GRANDPAR
(0,3),(3,30),2.75225 # DEPENDENCYPART_GRANDPAR
(0,5),(5,1),0.238287 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),0.306973 # DEPENDENCYPART_GRANDPAR
(0,5),(5,3),0.234682 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),-0.474942 # DEPENDENCYPART_GRANDPAR
(0,5),(5,6),-0.0421431 # DEPENDENCYPART_GRANDPAR
(0,5),(5,7),-0.107558 # DEPENDENCYPART_GRANDPAR
(0,5),(5,8),0.575924 # DEPENDENCYPART_GRANDPAR
(0,5),(5,9),-0.354093 # DEPENDENCYPART_GRANDPAR
(0,5),(5,10),-0.398353 # DEPENDENCYPART_GRANDPAR
(0,5),(5,11),0.189695 # DEPENDENCYPART_GRANDPAR
(0,5),(5,12),0.226125 # DEPENDENCYPART_GRANDPAR
(0,5),(5,13),0.0569455 # DEPENDENCYPART_GRANDPAR
(0,5),(5,14),-0.472808 # DEPENDENCYPART_GRANDPAR
(0,5),(5,15),0.262665 # DEPENDENCYPART_GRANDPAR
(0,5),(5,16),-0.297769 # DEPENDENCYPART_GRANDPAR
(0,5),(5,18),-0.227911 # DEPENDENCYPART_GRANDPAR
(0,5),(5,19),0.0707801 # DEPENDENCYPART_GRANDPAR
(0,5),(5,30),2.71573 # DEPENDENCYPART_GRANDPAR
(0,16),(16,1),0.149409 # DEPENDENCYPART_GRANDPAR
(0,16),(16,2),0.386441 # DEPENDENCYPART_GRANDPAR
(0,16),(16,3),0.486054 # DEPENDENCYPART_GRANDPAR
(0,16),(16,4),-0.449083 # DEPENDENCYPART_GRANDPAR
(0,16),(16,5),-0.311534 # DEPENDENCYPART_GRANDPAR
(0,16),(16,6),-0.452774 # DEPENDENCYPART_GRANDPAR
(0,16),(16,7),-0.616376 # DEPENDENCYPART_GRANDPAR
(0,16),(16,8),0.323147 # DEPENDENCYPART_GRANDPAR
(0,16),(16,9),-0.57505 # DEPENDENCYPART_GRANDPAR
(0,16),(16,10),-0.641084 # DEPENDENCYPART_GRANDPAR
(0,16),(16,11),-0.295317 # DEPENDENCYPART_GRANDPAR
(0,16),(16,12),0.42369 # DEPENDENCYPART_GRANDPAR
(0,16),(16,13),-0.312181 # DEPENDENCYPART_GRANDPAR
(0,16),(16,14),-0.981401 # DEPENDENCYPART_GRANDPAR
(0,16),(16,15),0.00988751 # DEPENDENCYPART_GRANDPAR
(0,16),(16,17),-0.639779 # DEPENDENCYPART_GRANDPAR
(0,16),(16,18),-0.504807 # DEPENDENCYPART_GRANDPAR
(0,16),(16,19),0.249732 # DEPENDENCYPART_GRANDPAR
(0,16),(16,20),-0.4326 # DEPENDENCYPART_GRANDPAR
(0,16),(16,21),-0.909857 # DEPENDENCYPART_GRANDPAR
(0,16),(16,22),-0.279344 # DEPENDENCYPART_GRANDPAR
(0,16),(16,23),-0.941529 # DEPENDENCYPART_GRANDPAR
(0,16),(16,24),-0.421418 # DEPENDENCYPART_GRANDPAR
(0,16),(16,25),-1.04877 # DEPENDENCYPART_GRANDPAR
(0,16),(16,26),-0.540782 # DEPENDENCYPART_GRANDPAR
(0,16),(16,29),-0.655038 # DEPENDENCYPART_GRANDPAR
(0,16),(16,30),2.64151 # DEPENDENCYPART_GRANDPAR
(0,19),(19,3),0.19226 # DEPENDENCYPART_GRANDPAR
(0,19),(19,5),-0.210383 # DEPENDENCYPART_GRANDPAR
(0,19),(19,6),-0.64761 # DEPENDENCYPART_GRANDPAR
(0,19),(19,7),-0.503526 # DEPENDENCYPART_GRANDPAR
(0,19),(19,11),-0.186589 # DEPENDENCYPART_GRANDPAR
(0,19),(19,12),0.480691 # DEPENDENCYPART_GRANDPAR
(0,19),(19,13),-0.363845 # DEPENDENCYPART_GRANDPAR
(0,19),(19,14),-0.858537 # DEPENDENCYPART_GRANDPAR
(0,19),(19,17),-0.755409 # DEPENDENCYPART_GRANDPAR
(0,19),(19,18),-0.609149 # DEPENDENCYPART_GRANDPAR
(0,19),(19,20),-0.249674 # DEPENDENCYPART_GRANDPAR
(0,19),(19,21),-0.671498 # DEPENDENCYPART_GRANDPAR
(0,19),(19,22),-0.0829208 # DEPENDENCYPART_GRANDPAR
(0,19),(19,23),-0.697598 # DEPENDENCYPART_GRANDPAR
(0,19),(19,24),-0.400663 # DEPENDENCYPART_GRANDPAR
(0,19),(19,25),-0.96546 # DEPENDENCYPART_GRANDPAR
(0,19),(19,26),-0.349701 # DEPENDENCYPART_GRANDPAR
(0,19),(19,30),2.76594 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.714323 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),0.204825 # DEPENDENCYPART_GRANDPAR
(1,2),(2,4),-0.0690116 # DEPENDENCYPART_GRANDPAR
(1,2),(2,5),-0.125753 # DEPENDENCYPART_GRANDPAR
(1,2),(2,7),-0.186587 # DEPENDENCYPART_GRANDPAR
(1,2),(2,8),0.0926039 # DEPENDENCYPART_GRANDPAR
(1,2),(2,11),-0.236947 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-0.701099 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),0.372911 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),-0.0934808 # DEPENDENCYPART_GRANDPAR
(1,3),(3,5),-0.108588 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),0.0879071 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),-0.181498 # DEPENDENCYPART_GRANDPAR
(1,3),(3,8),0.081439 # DEPENDENCYPART_GRANDPAR
(1,3),(3,9),-0.165787 # DEPENDENCYPART_GRANDPAR
(1,3),(3,10),-0.174688 # DEPENDENCYPART_GRANDPAR
(1,3),(3,11),-0.223466 # DEPENDENCYPART_GRANDPAR
(1,3),(3,12),-0.23687 # DEPENDENCYPART_GRANDPAR
(1,3),(3,13),-0.0910296 # DEPENDENCYPART_GRANDPAR
(1,3),(3,14),-0.362168 # DEPENDENCYPART_GRANDPAR
(1,3),(3,15),-0.0194678 # DEPENDENCYPART_GRANDPAR
(1,3),(3,16),-0.0775057 # DEPENDENCYPART_GRANDPAR
(1,3),(3,17),-0.308586 # DEPENDENCYPART_GRANDPAR
(1,3),(3,19),-0.27738 # DEPENDENCYPART_GRANDPAR
(1,3),(3,20),-0.175774 # DEPENDENCYPART_GRANDPAR
(1,3),(3,22),0.0530306 # DEPENDENCYPART_GRANDPAR
(1,3),(3,24),-0.574235 # DEPENDENCYPART_GRANDPAR
(1,3),(3,26),-0.0530369 # DEPENDENCYPART_GRANDPAR
(1,3),(3,30),-0.528456 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-1.53971 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-0.594019 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-0.318086 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-1.13938 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),-0.436557 # DEPENDENCYPART_GRANDPAR
(2,3),(3,5),-0.512274 # DEPENDENCYPART_GRANDPAR
(2,3),(3,6),-0.264581 # DEPENDENCYPART_GRANDPAR
(2,3),(3,7),-0.488537 # DEPENDENCYPART_GRANDPAR
(2,3),(3,8),-0.291264 # DEPENDENCYPART_GRANDPAR
(2,3),(3,9),-0.591422 # DEPENDENCYPART_GRANDPAR
(2,3),(3,10),-0.633705 # DEPENDENCYPART_GRANDPAR
(2,3),(3,11),-0.669289 # DEPENDENCYPART_GRANDPAR
(2,3),(3,12),-0.494854 # DEPENDENCYPART_GRANDPAR
(2,3),(3,13),-0.468671 # DEPENDENCYPART_GRANDPAR
(2,3),(3,14),-0.798161 # DEPENDENCYPART_GRANDPAR
(2,3),(3,15),-0.437799 # DEPENDENCYPART_GRANDPAR
(2,3),(3,16),-0.679449 # DEPENDENCYPART_GRANDPAR
(2,3),(3,17),-0.884751 # DEPENDENCYPART_GRANDPAR
(2,3),(3,19),-0.623502 # DEPENDENCYPART_GRANDPAR
(2,3),(3,20),-0.455626 # DEPENDENCYPART_GRANDPAR
(2,3),(3,22),-0.331108 # DEPENDENCYPART_GRANDPAR
(2,3),(3,24),-0.676657 # DEPENDENCYPART_GRANDPAR
(2,3),(3,26),0.095517 # DEPENDENCYPART_GRANDPAR
(2,3),(3,30),-0.98688 # DEPENDENCYPART_GRANDPAR
(2,4),(4,1),-0.316474 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-1.19272 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,6),-0.354835 # DEPENDENCYPART_GRANDPAR
(2,4),(4,7),-0.504621 # DEPENDENCYPART_GRANDPAR
(2,4),(4,9),-0.59243 # DEPENDENCYPART_GRANDPAR
(2,4),(4,10),-0.633373 # DEPENDENCYPART_GRANDPAR
(2,5),(5,1),-0.34877 # DEPENDENCYPART_GRANDPAR
(2,5),(5,2),-1.18272 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,5),(5,3),-0.077556 # DEPENDENCYPART_GRANDPAR
(2,5),(5,4),-0.304822 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),-0.318238 # DEPENDENCYPART_GRANDPAR
(2,5),(5,7),-0.443216 # DEPENDENCYPART_GRANDPAR
(2,5),(5,8),-0.241327 # DEPENDENCYPART_GRANDPAR
(2,5),(5,9),-0.547696 # DEPENDENCYPART_GRANDPAR
(2,5),(5,10),-0.584987 # DEPENDENCYPART_GRANDPAR
(2,5),(5,11),-0.629333 # DEPENDENCYPART_GRANDPAR
(2,5),(5,12),-0.434274 # DEPENDENCYPART_GRANDPAR
(2,5),(5,13),-0.516638 # DEPENDENCYPART_GRANDPAR
(2,5),(5,14),-0.762793 # DEPENDENCYPART_GRANDPAR
