# _root_ Hughes Aircraft Co. , a General Motors Corp. unit , said the Intelsat VI commercial communications satellite is set to be launched Friday .
#goldHeads=3,3,11,3,9,9,9,9,3,3,0,17,17,17,17,17,18,11,18,21,19,21,22,11,
#predictedHeads=3,3,11,3,9,9,9,9,3,3,0,17,17,17,17,17,18,11,18,21,19,21,22,11,
(18,3),(3,2),0.197398 # DEPENDENCYPART_GRANDPAR
(18,3),(3,4),0.693406 # DEPENDENCYPART_GRANDPAR
(18,3),(3,6),0.109024 # DEPENDENCYPART_GRANDPAR
(18,3),(3,7),0.0708441 # DEPENDENCYPART_GRANDPAR
(18,3),(3,8),0.161038 # DEPENDENCYPART_GRANDPAR
(18,3),(3,9),0.035989 # DEPENDENCYPART_GRANDPAR
(18,3),(3,10),0.239612 # DEPENDENCYPART_GRANDPAR
(18,3),(3,11),-0.0214084 # DEPENDENCYPART_GRANDPAR
(18,3),(3,13),0.390841 # DEPENDENCYPART_GRANDPAR
(18,3),(3,14),0.279157 # DEPENDENCYPART_GRANDPAR
(18,3),(3,16),0.336533 # DEPENDENCYPART_GRANDPAR
(18,3),(3,17),0.193138 # DEPENDENCYPART_GRANDPAR
(18,3),(3,18),-0.737948 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,3),(3,21),0.390481 # DEPENDENCYPART_GRANDPAR
(18,3),(3,23),-0.0617988 # DEPENDENCYPART_GRANDPAR
(18,3),(3,24),-0.595911 # DEPENDENCYPART_GRANDPAR
(18,9),(9,1),0.39135 # DEPENDENCYPART_GRANDPAR
(18,9),(9,2),0.19141 # DEPENDENCYPART_GRANDPAR
(18,9),(9,3),0.344782 # DEPENDENCYPART_GRANDPAR
(18,9),(9,4),0.702209 # DEPENDENCYPART_GRANDPAR
(18,9),(9,5),0.410457 # DEPENDENCYPART_GRANDPAR
(18,9),(9,6),0.129812 # DEPENDENCYPART_GRANDPAR
(18,9),(9,7),0.122567 # DEPENDENCYPART_GRANDPAR
(18,9),(9,8),0.185234 # DEPENDENCYPART_GRANDPAR
(18,9),(9,10),0.248797 # DEPENDENCYPART_GRANDPAR
(18,9),(9,11),-0.010882 # DEPENDENCYPART_GRANDPAR
(18,9),(9,12),0.718933 # DEPENDENCYPART_GRANDPAR
(18,9),(9,14),0.27623 # DEPENDENCYPART_GRANDPAR
(18,9),(9,15),0.265459 # DEPENDENCYPART_GRANDPAR
(18,9),(9,17),0.190211 # DEPENDENCYPART_GRANDPAR
(18,9),(9,18),-0.73734 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,9),(9,23),-0.0604954 # DEPENDENCYPART_GRANDPAR
(18,11),(11,1),0.400818 # DEPENDENCYPART_GRANDPAR
(18,11),(11,2),0.20137 # DEPENDENCYPART_GRANDPAR
(18,11),(11,3),0.347053 # DEPENDENCYPART_GRANDPAR
(18,11),(11,4),0.951829 # DEPENDENCYPART_GRANDPAR
(18,11),(11,5),0.472409 # DEPENDENCYPART_GRANDPAR
(18,11),(11,6),0.13498 # DEPENDENCYPART_GRANDPAR
(18,11),(11,7),0.113261 # DEPENDENCYPART_GRANDPAR
(18,11),(11,8),0.19239 # DEPENDENCYPART_GRANDPAR
(18,11),(11,9),0.0500615 # DEPENDENCYPART_GRANDPAR
(18,11),(11,10),0.498035 # DEPENDENCYPART_GRANDPAR
(18,11),(11,12),0.380616 # DEPENDENCYPART_GRANDPAR
(18,11),(11,13),0.317971 # DEPENDENCYPART_GRANDPAR
(18,11),(11,14),0.206286 # DEPENDENCYPART_GRANDPAR
(18,11),(11,15),0.0454642 # DEPENDENCYPART_GRANDPAR
(18,11),(11,16),0.262399 # DEPENDENCYPART_GRANDPAR
(18,11),(11,17),0.135494 # DEPENDENCYPART_GRANDPAR
(18,11),(11,18),-0.950723 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,11),(11,19),0.206266 # DEPENDENCYPART_GRANDPAR
(18,11),(11,20),-0.220727 # DEPENDENCYPART_GRANDPAR
(18,11),(11,21),0.191308 # DEPENDENCYPART_GRANDPAR
(18,11),(11,22),-0.0346033 # DEPENDENCYPART_GRANDPAR
(18,11),(11,23),-0.406823 # DEPENDENCYPART_GRANDPAR
(18,11),(11,24),-0.734206 # DEPENDENCYPART_GRANDPAR
(18,13),(13,12),0.732872 # DEPENDENCYPART_GRANDPAR
(18,13),(13,14),0.256691 # DEPENDENCYPART_GRANDPAR
(18,13),(13,15),0.257633 # DEPENDENCYPART_GRANDPAR
(18,13),(13,18),-0.736063 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,13),(13,19),0.429828 # DEPENDENCYPART_GRANDPAR
(18,14),(14,11),0.0580872 # DEPENDENCYPART_GRANDPAR
(18,14),(14,12),0.732872 # DEPENDENCYPART_GRANDPAR
(18,14),(14,13),0.447786 # DEPENDENCYPART_GRANDPAR
(18,14),(14,15),0.257633 # DEPENDENCYPART_GRANDPAR
(18,14),(14,16),0.310119 # DEPENDENCYPART_GRANDPAR
(18,14),(14,17),0.170673 # DEPENDENCYPART_GRANDPAR
(18,14),(14,18),-0.736063 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,14),(14,19),0.429828 # DEPENDENCYPART_GRANDPAR
(18,14),(14,21),0.392366 # DEPENDENCYPART_GRANDPAR
(18,14),(14,22),0.167888 # DEPENDENCYPART_GRANDPAR
(18,14),(14,23),-0.0587138 # DEPENDENCYPART_GRANDPAR
(18,15),(15,9),-0.0739004 # DEPENDENCYPART_GRANDPAR
(18,15),(15,12),0.688667 # DEPENDENCYPART_GRANDPAR
(18,15),(15,13),0.314601 # DEPENDENCYPART_GRANDPAR
(18,15),(15,14),0.202917 # DEPENDENCYPART_GRANDPAR
(18,15),(15,16),0.376665 # DEPENDENCYPART_GRANDPAR
(18,15),(15,19),0.345643 # DEPENDENCYPART_GRANDPAR
(18,15),(15,21),0.335122 # DEPENDENCYPART_GRANDPAR
(18,15),(15,22),0.104731 # DEPENDENCYPART_GRANDPAR
(18,16),(16,11),0.0616494 # DEPENDENCYPART_GRANDPAR
(18,16),(16,12),0.741094 # DEPENDENCYPART_GRANDPAR
(18,16),(16,13),0.456579 # DEPENDENCYPART_GRANDPAR
(18,16),(16,14),0.344895 # DEPENDENCYPART_GRANDPAR
(18,16),(16,15),0.493893 # DEPENDENCYPART_GRANDPAR
(18,16),(16,17),0.156764 # DEPENDENCYPART_GRANDPAR
(18,16),(16,18),-0.736063 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,16),(16,19),0.429828 # DEPENDENCYPART_GRANDPAR
(18,16),(16,21),0.392366 # DEPENDENCYPART_GRANDPAR
(18,16),(16,22),0.167888 # DEPENDENCYPART_GRANDPAR
(18,17),(17,5),0.436064 # DEPENDENCYPART_GRANDPAR
(18,17),(17,6),0.167162 # DEPENDENCYPART_GRANDPAR
(18,17),(17,8),0.227253 # DEPENDENCYPART_GRANDPAR
(18,17),(17,9),0.0878904 # DEPENDENCYPART_GRANDPAR
(18,17),(17,11),0.0673332 # DEPENDENCYPART_GRANDPAR
(18,17),(17,12),0.742474 # DEPENDENCYPART_GRANDPAR
(18,17),(17,13),0.478 # DEPENDENCYPART_GRANDPAR
(18,17),(17,14),0.366316 # DEPENDENCYPART_GRANDPAR
(18,17),(17,15),0.500146 # DEPENDENCYPART_GRANDPAR
(18,17),(17,16),0.405197 # DEPENDENCYPART_GRANDPAR
(18,17),(17,18),-0.736846 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,17),(17,19),0.429045 # DEPENDENCYPART_GRANDPAR
(18,17),(17,21),0.391584 # DEPENDENCYPART_GRANDPAR
(18,17),(17,22),0.167106 # DEPENDENCYPART_GRANDPAR
(18,19),(19,4),0.0453718 # DEPENDENCYPART_GRANDPAR
(18,19),(19,9),-0.473869 # DEPENDENCYPART_GRANDPAR
(18,19),(19,10),-0.408423 # DEPENDENCYPART_GRANDPAR
(18,19),(19,11),-0.463956 # DEPENDENCYPART_GRANDPAR
(18,19),(19,13),-0.112766 # DEPENDENCYPART_GRANDPAR
(18,19),(19,14),-0.22445 # DEPENDENCYPART_GRANDPAR
(18,19),(19,15),-0.0720922 # DEPENDENCYPART_GRANDPAR
(18,19),(19,16),-0.168132 # DEPENDENCYPART_GRANDPAR
(18,19),(19,17),-0.308022 # DEPENDENCYPART_GRANDPAR
(18,19),(19,20),0.329251 # DEPENDENCYPART_GRANDPAR
(18,19),(19,21),0.602705 # DEPENDENCYPART_GRANDPAR
(18,19),(19,22),0.378316 # DEPENDENCYPART_GRANDPAR
(18,19),(19,23),0.252009 # DEPENDENCYPART_GRANDPAR
(18,19),(19,24),-0.23961 # DEPENDENCYPART_GRANDPAR
(18,20),(20,21),0.550558 # DEPENDENCYPART_GRANDPAR
(18,20),(20,23),0.146243 # DEPENDENCYPART_GRANDPAR
(18,21),(21,3),-0.172519 # DEPENDENCYPART_GRANDPAR
(18,21),(21,4),0.057645 # DEPENDENCYPART_GRANDPAR
(18,21),(21,9),-0.445857 # DEPENDENCYPART_GRANDPAR
(18,21),(21,12),0.0304233 # DEPENDENCYPART_GRANDPAR
(18,21),(21,13),-0.0847544 # DEPENDENCYPART_GRANDPAR
(18,21),(21,14),-0.196439 # DEPENDENCYPART_GRANDPAR
(18,21),(21,15),-0.057638 # DEPENDENCYPART_GRANDPAR
(18,21),(21,16),-0.14012 # DEPENDENCYPART_GRANDPAR
(18,21),(21,17),-0.280011 # DEPENDENCYPART_GRANDPAR
(18,21),(21,20),0.216414 # DEPENDENCYPART_GRANDPAR
(18,21),(21,22),0.322708 # DEPENDENCYPART_GRANDPAR
(18,21),(21,23),0.178026 # DEPENDENCYPART_GRANDPAR
(18,21),(21,24),-0.283293 # DEPENDENCYPART_GRANDPAR
(18,22),(22,10),-0.408079 # DEPENDENCYPART_GRANDPAR
(18,22),(22,13),-0.111908 # DEPENDENCYPART_GRANDPAR
(18,22),(22,16),-0.167274 # DEPENDENCYPART_GRANDPAR
(18,22),(22,17),-0.307164 # DEPENDENCYPART_GRANDPAR
(18,22),(22,20),0.122948 # DEPENDENCYPART_GRANDPAR
(18,22),(22,23),0.280935 # DEPENDENCYPART_GRANDPAR
(18,22),(22,24),-0.209825 # DEPENDENCYPART_GRANDPAR
(18,23),(23,15),0.031251 # DEPENDENCYPART_GRANDPAR
(18,23),(23,21),0.616155 # DEPENDENCYPART_GRANDPAR
(18,23),(23,22),0.414339 # DEPENDENCYPART_GRANDPAR
(18,24),(24,22),0.28355 # DEPENDENCYPART_GRANDPAR
(18,24),(24,23),-0.0177333 # DEPENDENCYPART_GRANDPAR
(19,9),(9,1),0.258905 # DEPENDENCYPART_GRANDPAR
(19,9),(9,2),0.00652514 # DEPENDENCYPART_GRANDPAR
(19,9),(9,3),0.0458976 # DEPENDENCYPART_GRANDPAR
(19,9),(9,4),0.222841 # DEPENDENCYPART_GRANDPAR
(19,9),(9,5),-0.22283 # DEPENDENCYPART_GRANDPAR
(19,9),(9,6),0.0216357 # DEPENDENCYPART_GRANDPAR
(19,9),(9,7),-0.10157 # DEPENDENCYPART_GRANDPAR
(19,9),(9,8),0.147645 # DEPENDENCYPART_GRANDPAR
(19,9),(9,10),0.0931535 # DEPENDENCYPART_GRANDPAR
(19,9),(9,11),-0.0525151 # DEPENDENCYPART_GRANDPAR
(19,9),(9,12),0.416036 # DEPENDENCYPART_GRANDPAR
(19,9),(9,14),0.00096586 # DEPENDENCYPART_GRANDPAR
(19,9),(9,15),0.292364 # DEPENDENCYPART_GRANDPAR
(19,9),(9,17),-0.0953364 # DEPENDENCYPART_GRANDPAR
(19,9),(9,18),0.2018 # DEPENDENCYPART_GRANDPAR
(19,9),(9,23),-0.279332 # DEPENDENCYPART_GRANDPAR
(19,11),(11,1),0.306619 # DEPENDENCYPART_GRANDPAR
(19,11),(11,2),0.056418 # DEPENDENCYPART_GRANDPAR
(19,11),(11,3),0.0869067 # DEPENDENCYPART_GRANDPAR
(19,11),(11,4),0.412601 # DEPENDENCYPART_GRANDPAR
(19,11),(11,5),-0.0862443 # DEPENDENCYPART_GRANDPAR
(19,11),(11,6),0.0667852 # DEPENDENCYPART_GRANDPAR
(19,11),(11,7),-0.0718977 # DEPENDENCYPART_GRANDPAR
(19,11),(11,8),0.189871 # DEPENDENCYPART_GRANDPAR
(19,11),(11,9),-0.151956 # DEPENDENCYPART_GRANDPAR
(19,11),(11,10),0.252631 # DEPENDENCYPART_GRANDPAR
(19,11),(11,12),0.068605 # DEPENDENCYPART_GRANDPAR
(19,11),(11,13),0.0953077 # DEPENDENCYPART_GRANDPAR
(19,11),(11,14),-0.103452 # DEPENDENCYPART_GRANDPAR
(19,11),(11,15),0.0749875 # DEPENDENCYPART_GRANDPAR
(19,11),(11,16),-0.0599523 # DEPENDENCYPART_GRANDPAR
(19,11),(11,17),-0.184319 # DEPENDENCYPART_GRANDPAR
(19,11),(11,18),-0.0908391 # DEPENDENCYPART_GRANDPAR
(19,11),(11,19),-1.04511 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,11),(11,20),0.315773 # DEPENDENCYPART_GRANDPAR
(19,11),(11,21),0.0510865 # DEPENDENCYPART_GRANDPAR
(19,11),(11,22),-0.055794 # DEPENDENCYPART_GRANDPAR
(19,11),(11,23),-0.562529 # DEPENDENCYPART_GRANDPAR
(19,11),(11,24),-0.777961 # DEPENDENCYPART_GRANDPAR
(19,13),(13,12),0.352491 # DEPENDENCYPART_GRANDPAR
(19,13),(13,14),-0.0192087 # DEPENDENCYPART_GRANDPAR
(19,13),(13,15),0.283887 # DEPENDENCYPART_GRANDPAR
(19,13),(13,18),0.195788 # DEPENDENCYPART_GRANDPAR
(19,13),(13,19),-0.885359 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,14),(14,11),-0.110218 # DEPENDENCYPART_GRANDPAR
(19,14),(14,12),0.352491 # DEPENDENCYPART_GRANDPAR
(19,14),(14,13),0.221532 # DEPENDENCYPART_GRANDPAR
(19,14),(14,15),0.283887 # DEPENDENCYPART_GRANDPAR
(19,14),(14,16),0.0216061 # DEPENDENCYPART_GRANDPAR
(19,14),(14,17),-0.115511 # DEPENDENCYPART_GRANDPAR
(19,14),(14,18),0.195788 # DEPENDENCYPART_GRANDPAR
(19,14),(14,19),-0.885359 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,14),(14,21),0.19582 # DEPENDENCYPART_GRANDPAR
(19,14),(14,22),0.0898798 # DEPENDENCYPART_GRANDPAR
(19,14),(14,23),-0.277899 # DEPENDENCYPART_GRANDPAR
(19,15),(15,9),-0.243511 # DEPENDENCYPART_GRANDPAR
(19,15),(15,12),0.380222 # DEPENDENCYPART_GRANDPAR
(19,15),(15,13),0.169432 # DEPENDENCYPART_GRANDPAR
(19,15),(15,14),-0.0293278 # DEPENDENCYPART_GRANDPAR
(19,15),(15,16),0.0348889 # DEPENDENCYPART_GRANDPAR
(19,15),(15,19),-0.903733 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,15),(15,21),0.196892 # DEPENDENCYPART_GRANDPAR
(19,15),(15,22),0.0855378 # DEPENDENCYPART_GRANDPAR
(19,16),(16,11),-0.106656 # DEPENDENCYPART_GRANDPAR
(19,16),(16,12),0.360713 # DEPENDENCYPART_GRANDPAR
(19,16),(16,13),0.230325 # DEPENDENCYPART_GRANDPAR
(19,16),(16,14),0.0315649 # DEPENDENCYPART_GRANDPAR
(19,16),(16,15),0.321839 # DEPENDENCYPART_GRANDPAR
(19,16),(16,17),-0.129419 # DEPENDENCYPART_GRANDPAR
(19,16),(16,18),0.19176 # DEPENDENCYPART_GRANDPAR
(19,16),(16,19),-0.885359 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,16),(16,21),0.19582 # DEPENDENCYPART_GRANDPAR
(19,16),(16,22),0.0898798 # DEPENDENCYPART_GRANDPAR
(19,17),(17,5),-0.209567 # DEPENDENCYPART_GRANDPAR
(19,17),(17,6),0.0369011 # DEPENDENCYPART_GRANDPAR
(19,17),(17,8),0.16758 # DEPENDENCYPART_GRANDPAR
(19,17),(17,9),-0.173041 # DEPENDENCYPART_GRANDPAR
(19,17),(17,11),-0.109119 # DEPENDENCYPART_GRANDPAR
(19,17),(17,12),0.355939 # DEPENDENCYPART_GRANDPAR
(19,17),(17,13),0.241429 # DEPENDENCYPART_GRANDPAR
(19,17),(17,14),0.0426693 # DEPENDENCYPART_GRANDPAR
(19,17),(17,15),0.321938 # DEPENDENCYPART_GRANDPAR
(19,17),(17,16),0.0689356 # DEPENDENCYPART_GRANDPAR
(19,17),(17,18),0.206801 # DEPENDENCYPART_GRANDPAR
(19,17),(17,19),-0.886142 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,17),(17,21),0.195037 # DEPENDENCYPART_GRANDPAR
(19,17),(17,22),0.0890971 # DEPENDENCYPART_GRANDPAR
(19,20),(20,21),0.513893 # DEPENDENCYPART_GRANDPAR
(19,20),(20,23),0.222255 # DEPENDENCYPART_GRANDPAR
(19,21),(21,3),-0.55967 # DEPENDENCYPART_GRANDPAR
(19,21),(21,4),-0.48168 # DEPENDENCYPART_GRANDPAR
(19,21),(21,9),-0.7736 # DEPENDENCYPART_GRANDPAR
(19,21),(21,12),-0.249296 # DEPENDENCYPART_GRANDPAR
(19,21),(21,13),-0.384774 # DEPENDENCYPART_GRANDPAR
(19,21),(21,14),-0.583534 # DEPENDENCYPART_GRANDPAR
(19,21),(21,15),-0.154472 # DEPENDENCYPART_GRANDPAR
(19,21),(21,16),-0.539828 # DEPENDENCYPART_GRANDPAR
(19,21),(21,17),-0.677614 # DEPENDENCYPART_GRANDPAR
(19,21),(21,20),0.969714 # DEPENDENCYPART_GRANDPAR
(19,21),(21,22),0.325268 # DEPENDENCYPART_GRANDPAR
(19,21),(21,23),0.15053 # DEPENDENCYPART_GRANDPAR
(19,21),(21,24),-0.332755 # DEPENDENCYPART_GRANDPAR
(19,22),(22,10),-0.654899 # DEPENDENCYPART_GRANDPAR
(19,22),(22,13),-0.413259 # DEPENDENCYPART_GRANDPAR
(19,22),(22,16),-0.568313 # DEPENDENCYPART_GRANDPAR
(19,22),(22,17),-0.706099 # DEPENDENCYPART_GRANDPAR
(19,22),(22,20),0.866888 # DEPENDENCYPART_GRANDPAR
(19,22),(22,23),0.235593 # DEPENDENCYPART_GRANDPAR
(19,22),(22,24),-0.269912 # DEPENDENCYPART_GRANDPAR
(19,23),(23,15),-0.107474 # DEPENDENCYPART_GRANDPAR
(19,23),(23,21),0.590218 # DEPENDENCYPART_GRANDPAR
(19,23),(23,22),0.494844 # DEPENDENCYPART_GRANDPAR
(19,24),(24,22),0.312257 # DEPENDENCYPART_GRANDPAR
(19,24),(24,23),-0.1101 # DEPENDENCYPART_GRANDPAR
(20,21),(21,3),-1.03638 # DEPENDENCYPART_GRANDPAR
(20,21),(21,4),-0.926864 # DEPENDENCYPART_GRANDPAR
(20,21),(21,9),-0.898148 # DEPENDENCYPART_GRANDPAR
(20,21),(21,12),-0.745958 # DEPENDENCYPART_GRANDPAR
(20,21),(21,13),-0.814709 # DEPENDENCYPART_GRANDPAR
(20,21),(21,14),-0.779394 # DEPENDENCYPART_GRANDPAR
(20,21),(21,15),-0.609965 # DEPENDENCYPART_GRANDPAR
(20,21),(21,16),-0.71885 # DEPENDENCYPART_GRANDPAR
(20,21),(21,17),-0.723852 # DEPENDENCYPART_GRANDPAR
(20,21),(21,20),-0.796453 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,21),(21,22),0.250373 # DEPENDENCYPART_GRANDPAR
(20,21),(21,23),0.0164927 # DEPENDENCYPART_GRANDPAR
(20,21),(21,24),-0.268454 # DEPENDENCYPART_GRANDPAR
(20,23),(23,15),-0.672936 # DEPENDENCYPART_GRANDPAR
(20,23),(23,21),0.574278 # DEPENDENCYPART_GRANDPAR
(20,23),(23,22),0.399404 # DEPENDENCYPART_GRANDPAR
(21,3),(3,1),0.275768 # DEPENDENCYPART_GRANDPAR
(21,3),(3,2),0.0268448 # DEPENDENCYPART_GRANDPAR
(21,3),(3,4),0.240406 # DEPENDENCYPART_GRANDPAR
(21,3),(3,6),-0.105542 # DEPENDENCYPART_GRANDPAR
(21,3),(3,7),-0.216067 # DEPENDENCYPART_GRANDPAR
(21,3),(3,8),0.0663023 # DEPENDENCYPART_GRANDPAR
(21,3),(3,9),-0.340977 # DEPENDENCYPART_GRANDPAR
(21,3),(3,10),0.0291391 # DEPENDENCYPART_GRANDPAR
(21,3),(3,11),-0.0421702 # DEPENDENCYPART_GRANDPAR
(21,3),(3,13),0.0611268 # DEPENDENCYPART_GRANDPAR
(21,3),(3,14),-0.130776 # DEPENDENCYPART_GRANDPAR
(21,3),(3,16),-0.023449 # DEPENDENCYPART_GRANDPAR
(21,3),(3,17),-0.218714 # DEPENDENCYPART_GRANDPAR
(21,3),(3,18),0.201698 # DEPENDENCYPART_GRANDPAR
(21,3),(3,21),-0.917308 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,3),(3,23),0.107433 # DEPENDENCYPART_GRANDPAR
(21,3),(3,24),-0.531555 # DEPENDENCYPART_GRANDPAR
(21,9),(9,1),0.293834 # DEPENDENCYPART_GRANDPAR
(21,9),(9,2),0.0449285 # DEPENDENCYPART_GRANDPAR
(21,9),(9,3),-0.0043206 # DEPENDENCYPART_GRANDPAR
(21,9),(9,4),0.356262 # DEPENDENCYPART_GRANDPAR
(21,9),(9,5),-0.138174 # DEPENDENCYPART_GRANDPAR
(21,9),(9,6),-0.0132824 # DEPENDENCYPART_GRANDPAR
(21,9),(9,7),-0.0965503 # DEPENDENCYPART_GRANDPAR
(21,9),(9,8),0.172689 # DEPENDENCYPART_GRANDPAR
(21,9),(9,10),0.0421792 # DEPENDENCYPART_GRANDPAR
(21,9),(9,11),-0.0278754 # DEPENDENCYPART_GRANDPAR
(21,9),(9,12),0.694594 # DEPENDENCYPART_GRANDPAR
(21,9),(9,14),-0.127747 # DEPENDENCYPART_GRANDPAR
(21,9),(9,15),0.120445 # DEPENDENCYPART_GRANDPAR
(21,9),(9,17),-0.215684 # DEPENDENCYPART_GRANDPAR
(21,9),(9,18),0.218584 # DEPENDENCYPART_GRANDPAR
(21,9),(9,23),0.109084 # DEPENDENCYPART_GRANDPAR
(21,13),(13,12),0.693038 # DEPENDENCYPART_GRANDPAR
(21,13),(13,14),-0.147921 # DEPENDENCYPART_GRANDPAR
(21,13),(13,15),0.111967 # DEPENDENCYPART_GRANDPAR
(21,13),(13,18),0.212572 # DEPENDENCYPART_GRANDPAR
(21,13),(13,19),0.0138196 # DEPENDENCYPART_GRANDPAR
(21,14),(14,11),0.0153367 # DEPENDENCYPART_GRANDPAR
(21,14),(14,12),0.693038 # DEPENDENCYPART_GRANDPAR
(21,14),(14,13),0.177115 # DEPENDENCYPART_GRANDPAR
(21,14),(14,15),0.111967 # DEPENDENCYPART_GRANDPAR
(21,14),(14,16),-0.0445434 # DEPENDENCYPART_GRANDPAR
(21,14),(14,17),-0.235859 # DEPENDENCYPART_GRANDPAR
(21,14),(14,18),0.212572 # DEPENDENCYPART_GRANDPAR
(21,14),(14,19),0.0138196 # DEPENDENCYPART_GRANDPAR
(21,14),(14,21),-0.915423 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,14),(14,22),0.287913 # DEPENDENCYPART_GRANDPAR
(21,14),(14,23),0.110517 # DEPENDENCYPART_GRANDPAR
(21,15),(15,9),-0.370659 # DEPENDENCYPART_GRANDPAR
(21,15),(15,12),0.655162 # DEPENDENCYPART_GRANDPAR
(21,15),(15,13),0.0645788 # DEPENDENCYPART_GRANDPAR
(21,15),(15,14),-0.127324 # DEPENDENCYPART_GRANDPAR
(21,15),(15,16),-0.0152036 # DEPENDENCYPART_GRANDPAR
(21,15),(15,19),-0.0460396 # DEPENDENCYPART_GRANDPAR
(21,15),(15,21),-0.909331 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,15),(15,22),0.288591 # DEPENDENCYPART_GRANDPAR
(21,16),(16,11),0.0188982 # DEPENDENCYPART_GRANDPAR
(21,16),(16,12),0.70126 # DEPENDENCYPART_GRANDPAR
(21,16),(16,13),0.185907 # DEPENDENCYPART_GRANDPAR
(21,16),(16,14),-0.005996 # DEPENDENCYPART_GRANDPAR
(21,16),(16,15),0.19185 # DEPENDENCYPART_GRANDPAR
(21,16),(16,17),-0.249767 # DEPENDENCYPART_GRANDPAR
(21,16),(16,18),0.208544 # DEPENDENCYPART_GRANDPAR
(21,16),(16,19),0.00979177 # DEPENDENCYPART_GRANDPAR
(21,16),(16,21),-0.915423 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,16),(16,22),0.287913 # DEPENDENCYPART_GRANDPAR
(21,17),(17,5),-0.124889 # DEPENDENCYPART_GRANDPAR
(21,17),(17,6),0.00200877 # DEPENDENCYPART_GRANDPAR
(21,17),(17,8),0.19265 # DEPENDENCYPART_GRANDPAR
(21,17),(17,9),-0.239753 # DEPENDENCYPART_GRANDPAR
(21,17),(17,11),0.0164364 # DEPENDENCYPART_GRANDPAR
(21,17),(17,12),0.696486 # DEPENDENCYPART_GRANDPAR
(21,17),(17,13),0.197012 # DEPENDENCYPART_GRANDPAR
(21,17),(17,14),0.00510887 # DEPENDENCYPART_GRANDPAR
(21,17),(17,15),0.191949 # DEPENDENCYPART_GRANDPAR
(21,17),(17,16),0.0939315 # DEPENDENCYPART_GRANDPAR
(21,17),(17,18),0.223586 # DEPENDENCYPART_GRANDPAR
(21,17),(17,19),0.0255189 # DEPENDENCYPART_GRANDPAR
(21,17),(17,21),-0.916206 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,17),(17,22),0.28713 # DEPENDENCYPART_GRANDPAR
(21,20),(20,21),-1.01064 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,20),(20,23),-0.193146 # DEPENDENCYPART_GRANDPAR
(21,22),(22,10),-0.633832 # DEPENDENCYPART_GRANDPAR
(21,22),(22,13),-0.464955 # DEPENDENCYPART_GRANDPAR
(21,22),(22,16),-0.550589 # DEPENDENCYPART_GRANDPAR
(21,22),(22,17),-0.742573 # DEPENDENCYPART_GRANDPAR
(21,22),(22,20),-0.324617 # DEPENDENCYPART_GRANDPAR
(21,22),(22,23),0.612262 # DEPENDENCYPART_GRANDPAR
(21,22),(22,24),-0.105331 # DEPENDENCYPART_GRANDPAR
(21,23),(23,15),-0.2948 # DEPENDENCYPART_GRANDPAR
(21,23),(23,21),-0.570135 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(21,23),(23,22),0.644213 # DEPENDENCYPART_GRANDPAR
(21,24),(24,22),0.50058 # DEPENDENCYPART_GRANDPAR
(21,24),(24,23),0.245276 # DEPENDENCYPART_GRANDPAR
(22,13),(13,12),0.782631 # DEPENDENCYPART_GRANDPAR
(22,13),(13,14),-0.0227392 # DEPENDENCYPART_GRANDPAR
(22,13),(13,15),0.238648 # DEPENDENCYPART_GRANDPAR
(22,13),(13,18),0.387389 # DEPENDENCYPART_GRANDPAR
(22,13),(13,19),0.251527 # DEPENDENCYPART_GRANDPAR
(22,16),(16,11),0.102239 # DEPENDENCYPART_GRANDPAR
(22,16),(16,12),0.790853 # DEPENDENCYPART_GRANDPAR
(22,16),(16,13),0.404662 # DEPENDENCYPART_GRANDPAR
(22,16),(16,14),0.0891415 # DEPENDENCYPART_GRANDPAR
(22,16),(16,15),0.306846 # DEPENDENCYPART_GRANDPAR
(22,16),(16,17),-0.130543 # DEPENDENCYPART_GRANDPAR
(22,16),(16,18),0.383361 # DEPENDENCYPART_GRANDPAR
