# _root_ Du Pont , unlike companies hurt badly by sharp price declines for basic chemicals and plastics , is benefiting from its broad range of businesses .
#goldHeads=2,18,18,18,4,5,6,6,11,11,8,11,15,15,12,15,18,0,18,19,23,23,20,23,24,18,
#predictedHeads=2,18,18,18,4,5,6,6,11,11,8,11,15,15,12,15,18,0,18,19,23,23,20,23,24,18,
(5,5),(5,4),-0.458436 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,3),-1.50238 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,2),-0.328849 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,1),-0.5004 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,-1),-0.58653 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,4),(5,3),-0.47657 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,2),-0.761549 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,1),-0.951354 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,-1),-0.772866 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,3),(5,2),-0.246652 # DEPENDENCYPART_NEXTSIBL
(5,3),(5,1),-0.832464 # DEPENDENCYPART_NEXTSIBL
(5,3),(5,-1),-1.18071 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,2),(5,1),-0.182423 # DEPENDENCYPART_NEXTSIBL
(5,2),(5,-1),-0.503778 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,1),(5,-1),-0.486392 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,7),-0.359787 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,8),-0.403302 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,9),-0.327967 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,10),-0.507924 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,11),-0.42049 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,12),-0.653204 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,13),-0.461028 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,14),-0.451107 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,15),0.190859 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,16),-0.532757 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,17),-1.28603 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,18),-0.492385 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,19),-0.339224 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,26),-1.35238 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,27),-0.802041 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,7),(6,8),-0.421572 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,9),-0.542289 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,10),-0.672034 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,11),-0.601844 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,12),-0.488932 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,13),-0.689082 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,14),-0.70288 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,15),-0.391426 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,16),-0.646404 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,17),-0.702814 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,18),-0.563874 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,19),-0.770754 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,26),-0.983419 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,27),-0.736974 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,8),(6,9),-0.593329 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,10),-0.672723 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,11),-0.578595 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,12),-0.418783 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,13),-0.684491 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,14),-0.544216 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,15),-0.671695 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,16),-0.53241 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,17),-0.491163 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,18),-0.666219 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,19),-0.735212 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,26),-1.26129 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,27),-0.620934 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,9),(6,10),-0.91064 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,11),-1.21107 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,12),-1.08377 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,13),-1.16783 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,14),-1.19191 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,15),-0.891229 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,16),-1.31541 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,17),-0.799365 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,18),-0.930489 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,19),-0.896472 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,26),-1.13438 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,27),-0.852179 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,10),(6,11),-0.745395 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,12),-1.07254 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,13),-1.14481 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,14),-1.28303 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,15),-1.13848 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,16),-1.27876 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,17),-0.793636 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,18),-1.12328 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,19),-1.19156 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,26),-1.09083 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,27),-1.01009 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,11),(6,12),-0.510541 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,13),-0.818477 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,14),-1.09699 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,15),-0.833958 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,16),-1.07511 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,17),-0.40452 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,18),-0.798848 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,19),-0.885477 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,26),-0.578618 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,27),-0.396815 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,12),(6,13),-0.741286 # DEPENDENCYPART_NEXTSIBL
(6,12),(6,14),-0.788294 # DEPENDENCYPART_NEXTSIBL
(6,12),(6,15),-0.985026 # DEPENDENCYPART_NEXTSIBL
(6,12),(6,16),-0.775335 # DEPENDENCYPART_NEXTSIBL
(6,12),(6,17),-0.325619 # DEPENDENCYPART_NEXTSIBL
(6,12),(6,18),-0.830954 # DEPENDENCYPART_NEXTSIBL
(6,12),(6,19),-0.821418 # DEPENDENCYPART_NEXTSIBL
(6,12),(6,26),-0.721085 # DEPENDENCYPART_NEXTSIBL
(6,12),(6,27),-0.527763 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,13),(6,14),-1.06945 # DEPENDENCYPART_NEXTSIBL
(6,13),(6,15),-1.09382 # DEPENDENCYPART_NEXTSIBL
(6,13),(6,16),-1.31788 # DEPENDENCYPART_NEXTSIBL
(6,13),(6,17),-0.957572 # DEPENDENCYPART_NEXTSIBL
(6,13),(6,18),-1.17595 # DEPENDENCYPART_NEXTSIBL
(6,13),(6,19),-1.07945 # DEPENDENCYPART_NEXTSIBL
(6,13),(6,26),-1.17001 # DEPENDENCYPART_NEXTSIBL
(6,13),(6,27),-0.674977 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,14),(6,15),-1.35808 # DEPENDENCYPART_NEXTSIBL
(6,14),(6,16),-1.24136 # DEPENDENCYPART_NEXTSIBL
(6,14),(6,17),-0.986316 # DEPENDENCYPART_NEXTSIBL
(6,14),(6,18),-1.32591 # DEPENDENCYPART_NEXTSIBL
(6,14),(6,19),-1.40903 # DEPENDENCYPART_NEXTSIBL
(6,14),(6,26),-1.06194 # DEPENDENCYPART_NEXTSIBL
(6,14),(6,27),-0.972112 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,15),(6,16),-1.22224 # DEPENDENCYPART_NEXTSIBL
(6,15),(6,17),-0.7036 # DEPENDENCYPART_NEXTSIBL
(6,15),(6,18),-1.18916 # DEPENDENCYPART_NEXTSIBL
(6,15),(6,19),-1.24627 # DEPENDENCYPART_NEXTSIBL
(6,15),(6,26),-1.20347 # DEPENDENCYPART_NEXTSIBL
(6,15),(6,27),-0.448647 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,16),(6,17),-0.689219 # DEPENDENCYPART_NEXTSIBL
(6,16),(6,18),-1.03637 # DEPENDENCYPART_NEXTSIBL
(6,16),(6,19),-1.09862 # DEPENDENCYPART_NEXTSIBL
(6,16),(6,26),-0.681036 # DEPENDENCYPART_NEXTSIBL
(6,16),(6,27),-0.877074 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,17),(6,18),-0.490835 # DEPENDENCYPART_NEXTSIBL
(6,17),(6,19),-0.639027 # DEPENDENCYPART_NEXTSIBL
(6,17),(6,26),-1.1636 # DEPENDENCYPART_NEXTSIBL
(6,17),(6,27),-0.466915 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,18),(6,19),-0.751657 # DEPENDENCYPART_NEXTSIBL
(6,18),(6,26),0.223543 # DEPENDENCYPART_NEXTSIBL
(6,18),(6,27),-0.742344 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,19),(6,26),0.193536 # DEPENDENCYPART_NEXTSIBL
(6,19),(6,27),-0.5705 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,26),(6,27),-1.86877 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,5),0.011279 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,4),-0.615728 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,3),-1.63781 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,2),-0.213775 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,-1),-0.778015 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,5),(6,4),-0.355077 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,3),-1.25168 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,2),-1.63337 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,-1),-0.80012 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,4),(6,3),-0.375226 # DEPENDENCYPART_NEXTSIBL
(6,4),(6,2),-0.779236 # DEPENDENCYPART_NEXTSIBL
(6,4),(6,-1),-0.810367 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,3),(6,2),-0.295901 # DEPENDENCYPART_NEXTSIBL
(6,3),(6,-1),-1.0917 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,2),(6,-1),-0.721383 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,8),-0.514738 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,9),-0.521089 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,10),-0.57971 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,11),-0.534332 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,12),-0.609493 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,14),-0.551554 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,15),0.116742 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,16),-0.656126 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,17),-1.34086 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,18),-0.458404 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,20),-0.389412 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,27),-0.367136 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,8),(7,9),-0.605148 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,10),-0.703281 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,11),-0.622401 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,12),-0.442688 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,14),-0.579435 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,15),-0.671564 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,16),-0.577099 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,17),-0.622874 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,18),-0.552612 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,20),-1.24836 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,27),-0.782178 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,9),(7,10),-0.90275 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,11),-1.21643 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,12),-1.09384 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,14),-1.18915 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,15),-0.904084 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,16),-1.32165 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,17),-0.831535 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,18),-0.803526 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,20),-1.06413 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,27),-0.918218 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,10),(7,11),-0.872143 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,12),-0.999529 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,14),-1.39701 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,15),-1.19946 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,16),-1.40158 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,17),-0.694282 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,18),-1.05745 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,20),-0.983867 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,27),-1.02172 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,11),(7,12),-0.466748 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,14),-1.22159 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,15),-0.908505 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,16),-1.20855 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,17),-0.316785 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,18),-0.747502 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,20),-0.646572 # DEPENDENCYPART_NEXTSIBL
(7,11),(7,27),-0.436508 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,12),(7,14),-0.769135 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,15),-0.922716 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,16),-0.765646 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,17),-0.415476 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,18),-0.683903 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,20),-0.939655 # DEPENDENCYPART_NEXTSIBL
(7,12),(7,27),-0.660056 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,14),(7,15),-1.42466 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,16),-1.36765 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,17),-0.890811 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,18),-1.26669 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,20),-0.979898 # DEPENDENCYPART_NEXTSIBL
(7,14),(7,27),-0.992355 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,15),(7,16),-1.25635 # DEPENDENCYPART_NEXTSIBL
(7,15),(7,17),-0.682696 # DEPENDENCYPART_NEXTSIBL
(7,15),(7,18),-1.12891 # DEPENDENCYPART_NEXTSIBL
(7,15),(7,20),-1.09733 # DEPENDENCYPART_NEXTSIBL
(7,15),(7,27),-0.370773 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,16),(7,17),-0.602557 # DEPENDENCYPART_NEXTSIBL
(7,16),(7,18),-0.985994 # DEPENDENCYPART_NEXTSIBL
(7,16),(7,20),-0.876906 # DEPENDENCYPART_NEXTSIBL
(7,16),(7,27),-0.923026 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,17),(7,18),-0.463807 # DEPENDENCYPART_NEXTSIBL
(7,17),(7,20),-1.26666 # DEPENDENCYPART_NEXTSIBL
(7,17),(7,27),-0.319923 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,18),(7,20),-0.451217 # DEPENDENCYPART_NEXTSIBL
(7,18),(7,27),-0.741297 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,20),(7,27),-0.349956 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,5),-0.206238 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,4),-0.483088 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,3),-1.18128 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,2),-0.402442 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,1),-0.576396 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,-1),-0.500549 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,5),(7,4),-0.479782 # DEPENDENCYPART_NEXTSIBL
(7,5),(7,3),-1.20319 # DEPENDENCYPART_NEXTSIBL
(7,5),(7,2),-1.5341 # DEPENDENCYPART_NEXTSIBL
(7,5),(7,1),-1.48638 # DEPENDENCYPART_NEXTSIBL
(7,5),(7,-1),-0.674113 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,4),(7,3),-0.352293 # DEPENDENCYPART_NEXTSIBL
(7,4),(7,2),-0.804896 # DEPENDENCYPART_NEXTSIBL
(7,4),(7,1),-0.995928 # DEPENDENCYPART_NEXTSIBL
(7,4),(7,-1),-0.873374 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,3),(7,2),-0.127437 # DEPENDENCYPART_NEXTSIBL
(7,3),(7,1),-0.714484 # DEPENDENCYPART_NEXTSIBL
(7,3),(7,-1),-1.04436 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,2),(7,1),-0.352506 # DEPENDENCYPART_NEXTSIBL
(7,2),(7,-1),-0.533872 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,1),(7,-1),-0.529245 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,9),-0.427274 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,10),-0.378014 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,11),-0.330779 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,12),-0.631353 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,13),-0.551572 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,14),-0.377609 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,15),0.192312 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,16),-0.487986 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,17),-1.42244 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,18),-0.323024 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,20),-0.570983 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,27),-1.0521 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,9),(8,10),-0.883914 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,11),-1.1966 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,12),-1.10485 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,13),-1.13898 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,14),-1.17954 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,15),-0.934489 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,16),-1.31397 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,17),-0.810889 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,18),-0.827532 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,20),-1.14919 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,27),-0.890854 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,10),(8,11),-0.898381 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,12),-0.898411 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,13),-1.12419 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,14),-1.43347 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,15),-1.25724 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,16),-1.43997 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,17),-0.646378 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,18),-1.06732 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,20),-0.991706 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,27),-0.837895 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,11),(8,12),-0.364087 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,13),-0.809629 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,14),-1.2577 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,15),-0.965292 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,16),-1.2466 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,17),-0.267245 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,18),-0.756365 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,20),-0.652866 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,27),-0.253733 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,12),(8,13),-0.714922 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,14),-0.739668 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,15),-0.947923 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,16),-0.738113 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,17),-0.384556 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,18),-0.71354 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,20),-1.03522 # DEPENDENCYPART_NEXTSIBL
(8,12),(8,27),-0.634798 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,13),(8,14),-1.05426 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,15),-1.13426 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,16),-1.31363 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,17),-0.963976 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,18),-1.07018 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,20),-1.23969 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,27),-0.707055 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,14),(8,15),-1.49293 # DEPENDENCYPART_NEXTSIBL
(8,14),(8,16),-1.41495 # DEPENDENCYPART_NEXTSIBL
(8,14),(8,17),-0.851501 # DEPENDENCYPART_NEXTSIBL
(8,14),(8,18),-1.28578 # DEPENDENCYPART_NEXTSIBL
(8,14),(8,20),-0.997077 # DEPENDENCYPART_NEXTSIBL
(8,14),(8,27),-0.838958 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,15),(8,16),-1.30712 # DEPENDENCYPART_NEXTSIBL
(8,15),(8,17),-0.667102 # DEPENDENCYPART_NEXTSIBL
(8,15),(8,18),-1.1838 # DEPENDENCYPART_NEXTSIBL
(8,15),(8,20),-1.26881 # DEPENDENCYPART_NEXTSIBL
(8,15),(8,27),-0.338704 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,16),(8,17),-0.565172 # DEPENDENCYPART_NEXTSIBL
(8,16),(8,18),-1.00701 # DEPENDENCYPART_NEXTSIBL
(8,16),(8,20),-0.895353 # DEPENDENCYPART_NEXTSIBL
(8,16),(8,27),-0.777607 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,17),(8,18),-0.471829 # DEPENDENCYPART_NEXTSIBL
(8,17),(8,20),-1.29643 # DEPENDENCYPART_NEXTSIBL
(8,17),(8,27),-0.24024 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,18),(8,20),-0.551894 # DEPENDENCYPART_NEXTSIBL
(8,18),(8,27),-0.755624 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,20),(8,27),-0.578881 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,7),-0.299448 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,5),-0.223781 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,4),-0.521034 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,-1),-0.382558 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,7),(8,5),-0.844471 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,4),-1.0268 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,-1),-0.633357 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,5),(8,4),-0.464882 # DEPENDENCYPART_NEXTSIBL
(8,5),(8,-1),-0.786953 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,4),(8,-1),-0.846732 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,9),(9,10),-0.63887 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,13),-0.587517 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,27),-0.475746 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(9,10),(9,13),-1.16395 # DEPENDENCYPART_NEXTSIBL
(9,10),(9,27),-1.05044 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,13),(9,27),-0.710317 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,9),(9,8),-0.461101 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,7),-0.276268 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
