# _root_ While Allianz officials were n't willing to comment in any detail on their plans , they said Allianz currently holds between 5 % and 10 % of Navigation Mixte , an apparent increase from the 5 % stake that Navigation Mixte officials had earlier announced .
#goldHeads=4,3,4,17,4,4,8,6,8,11,9,8,14,12,17,17,0,20,20,17,24,24,24,20,24,24,24,29,27,24,33,33,24,33,38,37,38,34,45,42,42,43,38,43,43,17,
#predictedHeads=4,3,4,17,4,4,8,6,8,11,9,11,14,12,17,17,0,20,20,17,24,24,24,20,24,24,26,29,27,24,33,33,24,33,38,37,38,34,43,42,42,43,38,45,43,17,
(17,9),(17,11),0.0613937 # DEPENDENCYPART_SIBL
(17,9),(17,12),0.0797147 # DEPENDENCYPART_SIBL
(17,9),(17,14),0.0364019 # DEPENDENCYPART_SIBL
(17,9),(17,15),0.0359191 # DEPENDENCYPART_SIBL
(17,9),(17,16),0.00586726 # DEPENDENCYPART_SIBL
(17,9),(17,18),0.00671252 # DEPENDENCYPART_SIBL
(17,9),(17,19),0.0743709 # DEPENDENCYPART_SIBL
(17,9),(17,20),0.0822693 # DEPENDENCYPART_SIBL
(17,9),(17,21),-0.0233321 # DEPENDENCYPART_SIBL
(17,9),(17,22),0.020562 # DEPENDENCYPART_SIBL
(17,9),(17,23),0.00392754 # DEPENDENCYPART_SIBL
(17,9),(17,24),0.0359178 # DEPENDENCYPART_SIBL
(17,9),(17,30),0.00344 # DEPENDENCYPART_SIBL
(17,9),(17,43),0.131577 # DEPENDENCYPART_SIBL
(17,9),(17,46),0.0622982 # DEPENDENCYPART_SIBL
(17,10),(17,11),-0.0474163 # DEPENDENCYPART_SIBL
(17,10),(17,12),-0.0269383 # DEPENDENCYPART_SIBL
(17,10),(17,14),-0.0557327 # DEPENDENCYPART_SIBL
(17,10),(17,15),-0.157804 # DEPENDENCYPART_SIBL
(17,10),(17,16),-0.138425 # DEPENDENCYPART_SIBL
(17,10),(17,18),-0.0399538 # DEPENDENCYPART_SIBL
(17,10),(17,19),-0.0381669 # DEPENDENCYPART_SIBL
(17,10),(17,20),-0.0200405 # DEPENDENCYPART_SIBL
(17,10),(17,21),0.0277068 # DEPENDENCYPART_SIBL
(17,10),(17,22),-0.0215781 # DEPENDENCYPART_SIBL
(17,10),(17,23),-0.0375131 # DEPENDENCYPART_SIBL
(17,10),(17,24),-0.0238236 # DEPENDENCYPART_SIBL
(17,10),(17,30),-0.0198615 # DEPENDENCYPART_SIBL
(17,10),(17,43),0.0483188 # DEPENDENCYPART_SIBL
(17,10),(17,46),0.0155796 # DEPENDENCYPART_SIBL
(17,11),(17,12),0.014986 # DEPENDENCYPART_SIBL
(17,11),(17,14),-0.145483 # DEPENDENCYPART_SIBL
(17,11),(17,15),-0.00975825 # DEPENDENCYPART_SIBL
(17,11),(17,16),-0.166158 # DEPENDENCYPART_SIBL
(17,11),(17,18),-0.128031 # DEPENDENCYPART_SIBL
(17,11),(17,19),-0.0139048 # DEPENDENCYPART_SIBL
(17,11),(17,20),-0.00851111 # DEPENDENCYPART_SIBL
(17,11),(17,21),-0.0537488 # DEPENDENCYPART_SIBL
(17,11),(17,22),-0.021329 # DEPENDENCYPART_SIBL
(17,11),(17,23),-0.116334 # DEPENDENCYPART_SIBL
(17,11),(17,24),0.019761 # DEPENDENCYPART_SIBL
(17,11),(17,30),-0.00417976 # DEPENDENCYPART_SIBL
(17,11),(17,43),0.0368278 # DEPENDENCYPART_SIBL
(17,11),(17,46),0.0231872 # DEPENDENCYPART_SIBL
(17,12),(17,14),-0.0192685 # DEPENDENCYPART_SIBL
(17,12),(17,15),0.0653636 # DEPENDENCYPART_SIBL
(17,12),(17,16),0.00517127 # DEPENDENCYPART_SIBL
(17,12),(17,18),0.00884168 # DEPENDENCYPART_SIBL
(17,12),(17,19),-0.04057 # DEPENDENCYPART_SIBL
(17,12),(17,20),0.00907172 # DEPENDENCYPART_SIBL
(17,12),(17,21),0.00205075 # DEPENDENCYPART_SIBL
(17,12),(17,22),0.00121368 # DEPENDENCYPART_SIBL
(17,12),(17,23),-0.0106409 # DEPENDENCYPART_SIBL
(17,12),(17,24),0.0455536 # DEPENDENCYPART_SIBL
(17,12),(17,30),-0.0381427 # DEPENDENCYPART_SIBL
(17,12),(17,43),0.0642869 # DEPENDENCYPART_SIBL
(17,12),(17,46),0.0365682 # DEPENDENCYPART_SIBL
(17,14),(17,15),-0.0398838 # DEPENDENCYPART_SIBL
(17,14),(17,16),-0.179564 # DEPENDENCYPART_SIBL
(17,14),(17,18),-0.10804 # DEPENDENCYPART_SIBL
(17,14),(17,19),-0.0223271 # DEPENDENCYPART_SIBL
(17,14),(17,20),0.00170424 # DEPENDENCYPART_SIBL
(17,14),(17,21),-0.0714213 # DEPENDENCYPART_SIBL
(17,14),(17,22),-0.028261 # DEPENDENCYPART_SIBL
(17,14),(17,23),-0.0963441 # DEPENDENCYPART_SIBL
(17,14),(17,24),0.0183488 # DEPENDENCYPART_SIBL
(17,14),(17,30),-0.0203155 # DEPENDENCYPART_SIBL
(17,14),(17,43),0.0470432 # DEPENDENCYPART_SIBL
(17,14),(17,46),-0.00748598 # DEPENDENCYPART_SIBL
(17,15),(17,16),-0.0096049 # DEPENDENCYPART_SIBL
(17,15),(17,18),0.0210875 # DEPENDENCYPART_SIBL
(17,15),(17,19),-0.0672302 # DEPENDENCYPART_SIBL
(17,15),(17,20),-0.0141653 # DEPENDENCYPART_SIBL
(17,15),(17,21),-0.066056 # DEPENDENCYPART_SIBL
(17,15),(17,22),-0.0331217 # DEPENDENCYPART_SIBL
(17,15),(17,23),0.0336137 # DEPENDENCYPART_SIBL
(17,15),(17,24),-0.02572 # DEPENDENCYPART_SIBL
(17,15),(17,30),0.302015 # DEPENDENCYPART_SIBL
(17,15),(17,43),0.085621 # DEPENDENCYPART_SIBL
(17,15),(17,46),0.0325208 # DEPENDENCYPART_SIBL
(17,16),(17,18),-0.128571 # DEPENDENCYPART_SIBL
(17,16),(17,19),-0.0670996 # DEPENDENCYPART_SIBL
(17,16),(17,20),-0.0877703 # DEPENDENCYPART_SIBL
(17,16),(17,21),-0.109221 # DEPENDENCYPART_SIBL
(17,16),(17,22),-0.116401 # DEPENDENCYPART_SIBL
(17,16),(17,23),-0.134381 # DEPENDENCYPART_SIBL
(17,16),(17,24),0.0541074 # DEPENDENCYPART_SIBL
(17,16),(17,30),-0.0423505 # DEPENDENCYPART_SIBL
(17,16),(17,43),-0.000396566 # DEPENDENCYPART_SIBL
(17,16),(17,46),-0.0653247 # DEPENDENCYPART_SIBL
(17,18),(17,19),-0.0466373 # DEPENDENCYPART_SIBL
(17,18),(17,20),-0.0748494 # DEPENDENCYPART_SIBL
(17,18),(17,21),-0.0750886 # DEPENDENCYPART_SIBL
(17,18),(17,22),-0.0355535 # DEPENDENCYPART_SIBL
(17,18),(17,23),-0.0671689 # DEPENDENCYPART_SIBL
(17,18),(17,24),-0.100733 # DEPENDENCYPART_SIBL
(17,18),(17,30),-0.0400079 # DEPENDENCYPART_SIBL
(17,18),(17,43),-0.0727982 # DEPENDENCYPART_SIBL
(17,18),(17,46),-0.0432783 # DEPENDENCYPART_SIBL
(17,19),(17,20),0.00820938 # DEPENDENCYPART_SIBL
(17,19),(17,21),-0.00458262 # DEPENDENCYPART_SIBL
(17,19),(17,22),-0.0119691 # DEPENDENCYPART_SIBL
(17,19),(17,23),-0.0191743 # DEPENDENCYPART_SIBL
(17,19),(17,24),-0.00940174 # DEPENDENCYPART_SIBL
(17,19),(17,30),-0.0195309 # DEPENDENCYPART_SIBL
(17,19),(17,43),0.02474 # DEPENDENCYPART_SIBL
(17,19),(17,46),0.024365 # DEPENDENCYPART_SIBL
(17,20),(17,21),-0.0695761 # DEPENDENCYPART_SIBL
(17,20),(17,22),-0.0667285 # DEPENDENCYPART_SIBL
(17,20),(17,23),-0.0612373 # DEPENDENCYPART_SIBL
(17,20),(17,24),-0.141471 # DEPENDENCYPART_SIBL
(17,20),(17,30),-0.0491528 # DEPENDENCYPART_SIBL
(17,20),(17,43),-0.0920208 # DEPENDENCYPART_SIBL
(17,20),(17,46),-0.0124353 # DEPENDENCYPART_SIBL
(17,21),(17,22),-0.0241297 # DEPENDENCYPART_SIBL
(17,21),(17,23),-0.0649588 # DEPENDENCYPART_SIBL
(17,21),(17,24),-0.0644004 # DEPENDENCYPART_SIBL
(17,21),(17,30),-0.00390313 # DEPENDENCYPART_SIBL
(17,21),(17,43),-0.0455789 # DEPENDENCYPART_SIBL
(17,21),(17,46),-0.034294 # DEPENDENCYPART_SIBL
(17,22),(17,23),-0.0396367 # DEPENDENCYPART_SIBL
(17,22),(17,24),-0.055681 # DEPENDENCYPART_SIBL
(17,22),(17,30),-0.0380093 # DEPENDENCYPART_SIBL
(17,22),(17,43),-0.0561918 # DEPENDENCYPART_SIBL
(17,22),(17,46),-0.0428173 # DEPENDENCYPART_SIBL
(17,23),(17,24),-0.125583 # DEPENDENCYPART_SIBL
(17,23),(17,30),-0.0165644 # DEPENDENCYPART_SIBL
(17,23),(17,43),-0.0619762 # DEPENDENCYPART_SIBL
(17,23),(17,46),-0.0743287 # DEPENDENCYPART_SIBL
(17,24),(17,30),-0.0175665 # DEPENDENCYPART_SIBL
(17,24),(17,43),-0.0444408 # DEPENDENCYPART_SIBL
(17,24),(17,46),0.0422941 # DEPENDENCYPART_SIBL
(17,30),(17,43),-0.0134981 # DEPENDENCYPART_SIBL
(17,30),(17,46),-0.0252113 # DEPENDENCYPART_SIBL
(17,43),(17,46),0.0320669 # DEPENDENCYPART_SIBL
(18,13),(18,16),-0.0426366 # DEPENDENCYPART_SIBL
(18,13),(18,17),0.0702487 # DEPENDENCYPART_SIBL
(18,13),(18,19),0.00192896 # DEPENDENCYPART_SIBL
(18,13),(18,20),-0.0906651 # DEPENDENCYPART_SIBL
(18,13),(18,21),0.0222445 # DEPENDENCYPART_SIBL
(18,13),(18,22),-0.114 # DEPENDENCYPART_SIBL
(18,13),(18,23),0.0178997 # DEPENDENCYPART_SIBL
(18,13),(18,24),0.0389319 # DEPENDENCYPART_SIBL
(18,13),(18,27),-0.0586545 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.0142717 # DEPENDENCYPART_SIBL
(18,16),(18,19),0.018546 # DEPENDENCYPART_SIBL
(18,16),(18,20),-0.0536198 # DEPENDENCYPART_SIBL
(18,16),(18,21),0.0171994 # DEPENDENCYPART_SIBL
(18,16),(18,22),-0.134205 # DEPENDENCYPART_SIBL
(18,16),(18,23),-0.0374277 # DEPENDENCYPART_SIBL
(18,16),(18,24),0.0303601 # DEPENDENCYPART_SIBL
(18,16),(18,27),-0.04792 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.0259754 # DEPENDENCYPART_SIBL
(18,17),(18,20),-0.0583849 # DEPENDENCYPART_SIBL
(18,17),(18,21),0.0525382 # DEPENDENCYPART_SIBL
(18,17),(18,22),-0.0979672 # DEPENDENCYPART_SIBL
(18,17),(18,23),-0.0394328 # DEPENDENCYPART_SIBL
(18,17),(18,24),-0.0146632 # DEPENDENCYPART_SIBL
(18,17),(18,27),-0.0194918 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.016849 # DEPENDENCYPART_SIBL
(18,19),(18,21),0.00834983 # DEPENDENCYPART_SIBL
(18,19),(18,22),-0.0194091 # DEPENDENCYPART_SIBL
(18,19),(18,23),-0.0155214 # DEPENDENCYPART_SIBL
(18,19),(18,24),0.00797334 # DEPENDENCYPART_SIBL
(18,19),(18,27),0.0036538 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.00936427 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.0176442 # DEPENDENCYPART_SIBL
(18,20),(18,23),-0.0374965 # DEPENDENCYPART_SIBL
(18,20),(18,24),-0.0302956 # DEPENDENCYPART_SIBL
(18,20),(18,27),-0.00627279 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.0258848 # DEPENDENCYPART_SIBL
(18,21),(18,23),-0.0615827 # DEPENDENCYPART_SIBL
(18,21),(18,24),-0.0430144 # DEPENDENCYPART_SIBL
(18,21),(18,27),-0.0502405 # DEPENDENCYPART_SIBL
(18,22),(18,23),-0.0189746 # DEPENDENCYPART_SIBL
(18,22),(18,24),-0.00825268 # DEPENDENCYPART_SIBL
(18,22),(18,27),0.0297697 # DEPENDENCYPART_SIBL
(18,23),(18,24),-0.0474904 # DEPENDENCYPART_SIBL
(18,23),(18,27),-0.0284009 # DEPENDENCYPART_SIBL
(18,24),(18,27),-0.0113469 # DEPENDENCYPART_SIBL
(19,3),(19,18),-0.0360864 # DEPENDENCYPART_SIBL
(19,3),(19,21),0.0239442 # DEPENDENCYPART_SIBL
(19,3),(19,22),0.010848 # DEPENDENCYPART_SIBL
(19,3),(19,23),0.169578 # DEPENDENCYPART_SIBL
(19,3),(19,25),0.00456274 # DEPENDENCYPART_SIBL
(19,3),(19,26),0.169578 # DEPENDENCYPART_SIBL
(19,3),(19,27),0.0326683 # DEPENDENCYPART_SIBL
(19,18),(19,21),0.0345587 # DEPENDENCYPART_SIBL
(19,18),(19,22),0.010865 # DEPENDENCYPART_SIBL
(19,18),(19,23),0.164825 # DEPENDENCYPART_SIBL
(19,18),(19,25),0.00457972 # DEPENDENCYPART_SIBL
(19,18),(19,26),0.164825 # DEPENDENCYPART_SIBL
(19,18),(19,27),0.0432017 # DEPENDENCYPART_SIBL
(19,21),(19,22),-0.0290677 # DEPENDENCYPART_SIBL
(19,21),(19,23),-0.0415223 # DEPENDENCYPART_SIBL
(19,21),(19,25),-0.0253885 # DEPENDENCYPART_SIBL
(19,21),(19,26),-0.0415223 # DEPENDENCYPART_SIBL
(19,21),(19,27),-0.0206149 # DEPENDENCYPART_SIBL
(19,22),(19,23),-0.0238897 # DEPENDENCYPART_SIBL
(19,22),(19,25),-0.00997969 # DEPENDENCYPART_SIBL
(19,22),(19,26),-0.0238897 # DEPENDENCYPART_SIBL
(19,22),(19,27),0.0497147 # DEPENDENCYPART_SIBL
(19,23),(19,25),-0.00902094 # DEPENDENCYPART_SIBL
(19,23),(19,26),0.00231283 # DEPENDENCYPART_SIBL
(19,23),(19,27),-0.0179651 # DEPENDENCYPART_SIBL
(19,25),(19,26),0.00223231 # DEPENDENCYPART_SIBL
(19,25),(19,27),0.0569055 # DEPENDENCYPART_SIBL
(19,26),(19,27),-0.0179651 # DEPENDENCYPART_SIBL
(20,1),(20,4),-0.0279532 # DEPENDENCYPART_SIBL
(20,1),(20,5),-0.0128385 # DEPENDENCYPART_SIBL
(20,1),(20,6),-0.00846733 # DEPENDENCYPART_SIBL
(20,1),(20,8),-0.0332459 # DEPENDENCYPART_SIBL
(20,1),(20,9),0.0193735 # DEPENDENCYPART_SIBL
(20,1),(20,10),-0.00462221 # DEPENDENCYPART_SIBL
(20,1),(20,11),0.0321139 # DEPENDENCYPART_SIBL
(20,1),(20,12),0.0158228 # DEPENDENCYPART_SIBL
(20,1),(20,14),0.0136246 # DEPENDENCYPART_SIBL
(20,1),(20,15),-0.0412733 # DEPENDENCYPART_SIBL
(20,1),(20,16),0.0572541 # DEPENDENCYPART_SIBL
(20,1),(20,17),-0.0323061 # DEPENDENCYPART_SIBL
(20,1),(20,18),0.0333645 # DEPENDENCYPART_SIBL
(20,1),(20,19),0.0128563 # DEPENDENCYPART_SIBL
(20,1),(20,21),-0.0752243 # DEPENDENCYPART_SIBL
(20,1),(20,22),-0.0134011 # DEPENDENCYPART_SIBL
(20,1),(20,23),0.0827429 # DEPENDENCYPART_SIBL
(20,1),(20,24),-0.00275511 # DEPENDENCYPART_SIBL
(20,1),(20,26),0.0827429 # DEPENDENCYPART_SIBL
(20,1),(20,27),-0.0565628 # DEPENDENCYPART_SIBL
(20,1),(20,30),-0.132659 # DEPENDENCYPART_SIBL
(20,1),(20,33),0.0645904 # DEPENDENCYPART_SIBL
(20,1),(20,34),-0.0652456 # DEPENDENCYPART_SIBL
(20,1),(20,39),-0.064382 # DEPENDENCYPART_SIBL
(20,1),(20,43),0.034781 # DEPENDENCYPART_SIBL
(20,1),(20,45),0.0642315 # DEPENDENCYPART_SIBL
(20,1),(20,46),-0.209778 # DEPENDENCYPART_SIBL
(20,4),(20,5),0.00386383 # DEPENDENCYPART_SIBL
(20,4),(20,6),-0.00145101 # DEPENDENCYPART_SIBL
(20,4),(20,8),-0.0372015 # DEPENDENCYPART_SIBL
(20,4),(20,9),0.00252887 # DEPENDENCYPART_SIBL
(20,4),(20,10),-0.00395368 # DEPENDENCYPART_SIBL
(20,4),(20,11),-0.00727802 # DEPENDENCYPART_SIBL
(20,4),(20,12),-0.00306302 # DEPENDENCYPART_SIBL
(20,4),(20,14),-0.0128527 # DEPENDENCYPART_SIBL
(20,4),(20,15),0.107693 # DEPENDENCYPART_SIBL
(20,4),(20,16),0.0612219 # DEPENDENCYPART_SIBL
(20,4),(20,17),0.00475604 # DEPENDENCYPART_SIBL
(20,4),(20,18),-0.0056625 # DEPENDENCYPART_SIBL
(20,4),(20,19),0.0113573 # DEPENDENCYPART_SIBL
(20,4),(20,21),-0.0663737 # DEPENDENCYPART_SIBL
(20,4),(20,22),-0.0496752 # DEPENDENCYPART_SIBL
(20,4),(20,23),0.0210714 # DEPENDENCYPART_SIBL
(20,4),(20,24),-0.00405898 # DEPENDENCYPART_SIBL
(20,4),(20,26),0.0210714 # DEPENDENCYPART_SIBL
(20,4),(20,27),-0.0352722 # DEPENDENCYPART_SIBL
(20,4),(20,30),-0.068363 # DEPENDENCYPART_SIBL
(20,4),(20,33),-7.36805e-05 # DEPENDENCYPART_SIBL
(20,4),(20,34),-0.0491087 # DEPENDENCYPART_SIBL
(20,4),(20,39),-0.0935781 # DEPENDENCYPART_SIBL
(20,4),(20,43),-0.0492117 # DEPENDENCYPART_SIBL
(20,4),(20,45),-0.0202295 # DEPENDENCYPART_SIBL
(20,4),(20,46),0.0517172 # DEPENDENCYPART_SIBL
(20,5),(20,6),-0.0364194 # DEPENDENCYPART_SIBL
(20,5),(20,8),-0.0112808 # DEPENDENCYPART_SIBL
(20,5),(20,9),-0.0323851 # DEPENDENCYPART_SIBL
(20,5),(20,10),-0.00516672 # DEPENDENCYPART_SIBL
(20,5),(20,11),-0.0180302 # DEPENDENCYPART_SIBL
(20,5),(20,12),-0.00752229 # DEPENDENCYPART_SIBL
(20,5),(20,14),-0.0239545 # DEPENDENCYPART_SIBL
(20,5),(20,15),0.0301533 # DEPENDENCYPART_SIBL
(20,5),(20,16),-0.0286089 # DEPENDENCYPART_SIBL
(20,5),(20,17),-0.0255906 # DEPENDENCYPART_SIBL
(20,5),(20,18),-0.0162335 # DEPENDENCYPART_SIBL
(20,5),(20,19),0.0221871 # DEPENDENCYPART_SIBL
(20,5),(20,21),-0.126053 # DEPENDENCYPART_SIBL
(20,5),(20,22),-0.0209515 # DEPENDENCYPART_SIBL
(20,5),(20,23),-0.0073597 # DEPENDENCYPART_SIBL
(20,5),(20,24),-0.0382231 # DEPENDENCYPART_SIBL
(20,5),(20,26),-0.0073597 # DEPENDENCYPART_SIBL
(20,5),(20,27),-0.0796942 # DEPENDENCYPART_SIBL
(20,5),(20,30),-0.135635 # DEPENDENCYPART_SIBL
(20,5),(20,33),-0.057115 # DEPENDENCYPART_SIBL
(20,5),(20,34),-0.0948538 # DEPENDENCYPART_SIBL
(20,5),(20,39),-0.137674 # DEPENDENCYPART_SIBL
(20,5),(20,43),-0.0645552 # DEPENDENCYPART_SIBL
(20,5),(20,45),-0.0586151 # DEPENDENCYPART_SIBL
(20,5),(20,46),-0.0510787 # DEPENDENCYPART_SIBL
(20,6),(20,8),-0.027271 # DEPENDENCYPART_SIBL
(20,6),(20,9),0.0258371 # DEPENDENCYPART_SIBL
(20,6),(20,10),-0.0535559 # DEPENDENCYPART_SIBL
(20,6),(20,11),-0.00482512 # DEPENDENCYPART_SIBL
(20,6),(20,12),0.0253688 # DEPENDENCYPART_SIBL
(20,6),(20,14),-0.00522577 # DEPENDENCYPART_SIBL
(20,6),(20,15),0.00891087 # DEPENDENCYPART_SIBL
(20,6),(20,16),-0.00919283 # DEPENDENCYPART_SIBL
(20,6),(20,17),-0.023632 # DEPENDENCYPART_SIBL
(20,6),(20,18),0.00744869 # DEPENDENCYPART_SIBL
(20,6),(20,19),0.0153325 # DEPENDENCYPART_SIBL
(20,6),(20,21),-0.0390567 # DEPENDENCYPART_SIBL
(20,6),(20,22),0.00568029 # DEPENDENCYPART_SIBL
(20,6),(20,23),0.0489018 # DEPENDENCYPART_SIBL
(20,6),(20,24),0.0141728 # DEPENDENCYPART_SIBL
(20,6),(20,26),0.0489018 # DEPENDENCYPART_SIBL
(20,6),(20,27),-0.0301894 # DEPENDENCYPART_SIBL
(20,6),(20,30),-0.0167853 # DEPENDENCYPART_SIBL
(20,6),(20,33),0.0207748 # DEPENDENCYPART_SIBL
(20,6),(20,34),-0.0263694 # DEPENDENCYPART_SIBL
(20,6),(20,39),-0.0780807 # DEPENDENCYPART_SIBL
(20,6),(20,43),0.00668291 # DEPENDENCYPART_SIBL
(20,6),(20,45),0.00750756 # DEPENDENCYPART_SIBL
(20,6),(20,46),0.00691501 # DEPENDENCYPART_SIBL
(20,8),(20,9),-0.0220137 # DEPENDENCYPART_SIBL
(20,8),(20,10),-0.0304573 # DEPENDENCYPART_SIBL
(20,8),(20,11),-0.0190813 # DEPENDENCYPART_SIBL
(20,8),(20,12),-0.0312019 # DEPENDENCYPART_SIBL
(20,8),(20,14),-0.024656 # DEPENDENCYPART_SIBL
(20,8),(20,15),0.0274677 # DEPENDENCYPART_SIBL
(20,8),(20,16),0.00513236 # DEPENDENCYPART_SIBL
(20,8),(20,17),-0.0139819 # DEPENDENCYPART_SIBL
(20,8),(20,18),-0.0174658 # DEPENDENCYPART_SIBL
(20,8),(20,19),-0.0168648 # DEPENDENCYPART_SIBL
(20,8),(20,21),-0.0758833 # DEPENDENCYPART_SIBL
(20,8),(20,22),-0.0518345 # DEPENDENCYPART_SIBL
(20,8),(20,23),0.0181599 # DEPENDENCYPART_SIBL
(20,8),(20,24),-0.0113902 # DEPENDENCYPART_SIBL
(20,8),(20,26),0.0181599 # DEPENDENCYPART_SIBL
(20,8),(20,27),-0.0435301 # DEPENDENCYPART_SIBL
(20,8),(20,30),-0.0697097 # DEPENDENCYPART_SIBL
(20,8),(20,33),-0.00016829 # DEPENDENCYPART_SIBL
(20,8),(20,34),-0.0574791 # DEPENDENCYPART_SIBL
(20,8),(20,39),-0.103179 # DEPENDENCYPART_SIBL
(20,8),(20,43),-0.0579076 # DEPENDENCYPART_SIBL
(20,8),(20,45),-0.0227121 # DEPENDENCYPART_SIBL
(20,8),(20,46),0.00665534 # DEPENDENCYPART_SIBL
(20,9),(20,10),-0.00180091 # DEPENDENCYPART_SIBL
(20,9),(20,11),0.0335789 # DEPENDENCYPART_SIBL
(20,9),(20,12),0.0487051 # DEPENDENCYPART_SIBL
(20,9),(20,14),0.011576 # DEPENDENCYPART_SIBL
(20,9),(20,15),0.0750036 # DEPENDENCYPART_SIBL
(20,9),(20,16),0.0677415 # DEPENDENCYPART_SIBL
(20,9),(20,17),-0.040626 # DEPENDENCYPART_SIBL
(20,9),(20,18),0.0348297 # DEPENDENCYPART_SIBL
(20,9),(20,19),0.0155971 # DEPENDENCYPART_SIBL
(20,9),(20,21),-0.0849021 # DEPENDENCYPART_SIBL
(20,9),(20,22),-0.0179203 # DEPENDENCYPART_SIBL
(20,9),(20,23),0.0380348 # DEPENDENCYPART_SIBL
(20,9),(20,24),0.00308009 # DEPENDENCYPART_SIBL
(20,9),(20,26),0.0380348 # DEPENDENCYPART_SIBL
(20,9),(20,27),-0.0652002 # DEPENDENCYPART_SIBL
(20,9),(20,30),-0.0610145 # DEPENDENCYPART_SIBL
(20,9),(20,33),0.00629352 # DEPENDENCYPART_SIBL
(20,9),(20,34),-0.0681641 # DEPENDENCYPART_SIBL
(20,9),(20,39),-0.0700199 # DEPENDENCYPART_SIBL
(20,9),(20,43),-0.00770576 # DEPENDENCYPART_SIBL
(20,9),(20,45),0.0271012 # DEPENDENCYPART_SIBL
(20,9),(20,46),0.0332957 # DEPENDENCYPART_SIBL
(20,10),(20,11),-0.0332023 # DEPENDENCYPART_SIBL
(20,10),(20,12),-0.0279083 # DEPENDENCYPART_SIBL
(20,10),(20,14),-0.0394227 # DEPENDENCYPART_SIBL
(20,10),(20,15),-0.107974 # DEPENDENCYPART_SIBL
(20,10),(20,16),-0.0914792 # DEPENDENCYPART_SIBL
(20,10),(20,17),-0.0409802 # DEPENDENCYPART_SIBL
(20,10),(20,18),-0.0311025 # DEPENDENCYPART_SIBL
(20,10),(20,19),-0.0248723 # DEPENDENCYPART_SIBL
(20,10),(20,21),0.0015111 # DEPENDENCYPART_SIBL
(20,10),(20,22),-0.0195795 # DEPENDENCYPART_SIBL
(20,10),(20,23),0.0112921 # DEPENDENCYPART_SIBL
(20,10),(20,24),-0.026532 # DEPENDENCYPART_SIBL
(20,10),(20,26),0.0112921 # DEPENDENCYPART_SIBL
(20,10),(20,27),0.136835 # DEPENDENCYPART_SIBL
(20,10),(20,30),-0.0541534 # DEPENDENCYPART_SIBL
(20,10),(20,33),-0.0155942 # DEPENDENCYPART_SIBL
(20,10),(20,34),-0.0726209 # DEPENDENCYPART_SIBL
(20,10),(20,39),-0.0796696 # DEPENDENCYPART_SIBL
(20,10),(20,43),-0.0165681 # DEPENDENCYPART_SIBL
(20,10),(20,45),-0.0328053 # DEPENDENCYPART_SIBL
(20,10),(20,46),0.0079161 # DEPENDENCYPART_SIBL
(20,11),(20,12),0.0164519 # DEPENDENCYPART_SIBL
(20,11),(20,14),-0.105864 # DEPENDENCYPART_SIBL
(20,11),(20,15),0.0206446 # DEPENDENCYPART_SIBL
(20,11),(20,16),-0.101794 # DEPENDENCYPART_SIBL
(20,11),(20,17),0.0211887 # DEPENDENCYPART_SIBL
(20,11),(20,18),-0.0935532 # DEPENDENCYPART_SIBL
(20,11),(20,19),0.043694 # DEPENDENCYPART_SIBL
(20,11),(20,21),-0.0267629 # DEPENDENCYPART_SIBL
(20,11),(20,22),0.0199607 # DEPENDENCYPART_SIBL
(20,11),(20,23),0.0692696 # DEPENDENCYPART_SIBL
(20,11),(20,24),0.0228864 # DEPENDENCYPART_SIBL
(20,11),(20,26),0.0692696 # DEPENDENCYPART_SIBL
(20,11),(20,27),-0.00288363 # DEPENDENCYPART_SIBL
(20,11),(20,30),-0.012493 # DEPENDENCYPART_SIBL
(20,11),(20,33),0.0235278 # DEPENDENCYPART_SIBL
(20,11),(20,34),-0.0373317 # DEPENDENCYPART_SIBL
(20,11),(20,39),-0.0830634 # DEPENDENCYPART_SIBL
(20,11),(20,43),-0.0179317 # DEPENDENCYPART_SIBL
(20,11),(20,45),-0.00832666 # DEPENDENCYPART_SIBL
(20,11),(20,46),0.0308616 # DEPENDENCYPART_SIBL
(20,12),(20,14),-0.0370463 # DEPENDENCYPART_SIBL
(20,12),(20,15),0.110772 # DEPENDENCYPART_SIBL
(20,12),(20,16),0.0554756 # DEPENDENCYPART_SIBL
(20,12),(20,17),0.00883272 # DEPENDENCYPART_SIBL
(20,12),(20,18),-0.0173601 # DEPENDENCYPART_SIBL
(20,12),(20,19),0.0341062 # DEPENDENCYPART_SIBL
(20,12),(20,21),-0.0462724 # DEPENDENCYPART_SIBL
(20,12),(20,22),-0.0213662 # DEPENDENCYPART_SIBL
(20,12),(20,23),0.0313064 # DEPENDENCYPART_SIBL
(20,12),(20,24),0.0326856 # DEPENDENCYPART_SIBL
(20,12),(20,26),0.0313064 # DEPENDENCYPART_SIBL
(20,12),(20,27),-0.0364462 # DEPENDENCYPART_SIBL
(20,12),(20,30),-0.0869949 # DEPENDENCYPART_SIBL
