# _root_ He said that even though virtually all corn seeds currently planted are hybrids , the genetic approach will obviate the need for mechanical emasculation of anthers , which costs U.S. seed producers about $ 70 million annually .
#goldHeads=2,0,18,12,12,7,9,9,12,11,9,18,12,18,17,17,18,2,18,21,19,21,24,22,24,25,24,29,24,32,32,29,34,29,34,34,29,2,
#predictedHeads=2,0,18,12,12,9,9,9,12,11,9,18,12,18,17,17,18,2,18,21,19,21,24,22,24,25,26,29,26,32,32,29,34,29,34,34,34,2,
(4,6),(6,9),(6,13),-0.0424757 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,14),-0.0422897 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,9),(6,39),-0.0702283 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,10),(6,12),-0.0445674 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,13),-0.0422389 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,14),-0.0442985 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,10),(6,39),-0.0066922 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,12),(6,13),-0.042185 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,12),(6,14),-0.0421231 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,12),(6,39),-0.0660284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,13),(6,14),-0.0422897 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,13),(6,39),-0.0702283 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,14),(6,39),-0.0312612 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,6),(6,5),0.0988063 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,4),0.129895 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,6),(6,3),-0.126071 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,6),(6,-1),-0.069219 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,5),(6,4),0.119163 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,5),(6,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,6),(6,5),(6,-1),-0.145969 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,6),(6,4),(6,3),-0.124899 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,6),(6,4),(6,-1),-0.124935 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,6),(6,3),(6,-1),-0.146621 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,8),(8,9),-0.0555021 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,10),-0.0451486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,11),-0.0264227 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,39),-0.101822 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,8),(8,9),(8,10),-0.0429102 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,11),-0.0430492 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,9),(8,39),-0.07768 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,10),(8,11),-0.0428558 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,10),(8,39),-0.0345577 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,11),(8,39),-0.00300571 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,8),(8,7),0.0958318 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,6),0.119485 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,5),0.132387 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,8),(8,8),(8,4),0.119485 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,8),(8,8),(8,-1),-0.160188 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,8),(8,7),(8,6),0.117536 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,5),0.118374 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,7),(8,4),0.117536 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,7),(8,-1),-0.139392 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,6),(8,5),0.118449 # DEPENDENCYPART_GRANDSIBL
(4,8),(8,6),(8,4),0.119024 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,6),(8,-1),-0.144705 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,5),(8,4),0.117828 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,5),(8,-1),-0.112262 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,8),(8,4),(8,-1),-0.14471 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,9),(9,9),(9,10),-0.0451486 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,11),-0.0264227 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,12),-0.026981 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,13),-0.0555021 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,14),-0.0366419 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,17),-0.0555021 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,18),-0.0503461 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,27),-0.0366419 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,39),-0.101817 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,9),(9,10),(9,11),-0.0428558 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,12),-0.0428592 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,13),-0.0420161 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,14),-0.0419993 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,17),-0.0420161 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,27),-0.0419993 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,10),(9,39),-0.0345577 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,11),(9,12),-0.0423358 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,13),-0.0380203 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,14),-0.043416 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,17),-0.0380203 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,27),-0.043416 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,11),(9,39),-0.00300571 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,12),(9,13),-0.0380203 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,14),-0.043416 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,17),-0.0380203 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,27),-0.043416 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,12),(9,39),-0.00356871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,13),(9,14),-0.0379094 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,17),-0.0359841 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,18),-0.0419998 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,27),-0.0379094 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,13),(9,39),-0.07768 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,14),(9,17),-0.041256 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,14),(9,18),-0.0420319 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,14),(9,27),-0.0421035 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,14),(9,39),-0.046019 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,17),(9,18),-0.0419998 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,17),(9,27),-0.0379094 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,17),(9,39),-0.07768 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,18),(9,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,18),(9,39),-0.0503988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,27),(9,39),-0.046019 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,9),(9,8),0.127049 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,7),0.0958318 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,6),0.119485 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,5),0.132387 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,4),0.119485 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,9),(9,9),(9,3),-0.128598 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,9),(9,-1),-0.160188 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,9),(9,8),(9,7),0.11966 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,6),0.118556 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,5),0.117621 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,4),0.118551 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,8),(9,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,8),(9,-1),-0.0830242 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,7),(9,6),0.117536 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,7),(9,5),0.118374 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,7),(9,4),0.117536 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,7),(9,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,7),(9,-1),-0.139392 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,6),(9,5),0.118449 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,6),(9,4),0.119024 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,6),(9,3),-0.124886 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,6),(9,-1),-0.144705 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,5),(9,4),0.117828 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,5),(9,3),-0.125735 # DEPENDENCYPART_GRANDSIBL
(4,9),(9,5),(9,-1),-0.112262 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,9),(9,4),(9,3),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,9),(9,4),(9,-1),-0.14471 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,9),(9,3),(9,-1),-0.115339 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,10),(10,11),-0.0602238 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,12),-0.0611718 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,13),-0.0602828 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,17),-0.0602828 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,18),-0.0478421 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,39),0.0861395 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,10),(10,11),(10,12),-0.0424426 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,13),-0.042185 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,17),-0.042185 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,11),(10,39),-0.0650804 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,12),(10,13),-0.042185 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,12),(10,17),-0.042185 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,12),(10,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,12),(10,39),-0.0660284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,13),(10,17),-0.0424757 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,13),(10,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,13),(10,39),-0.0702283 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,17),(10,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,17),(10,39),-0.0702283 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,18),(10,39),-0.0478587 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,10),(10,9),0.105869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,8),0.105869 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,7),0.112075 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,5),0.0988063 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,10),(10,10),(10,-1),-0.0770654 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,10),(10,9),(10,8),0.119164 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,9),(10,7),0.119164 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,9),(10,5),0.118536 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,9),(10,-1),-0.140309 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,8),(10,7),0.119164 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,8),(10,5),0.118536 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,8),(10,-1),-0.140309 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,7),(10,5),0.119164 # DEPENDENCYPART_GRANDSIBL
(4,10),(10,7),(10,-1),-0.134238 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,10),(10,5),(10,-1),-0.145969 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,12),(12,13),-0.0803772 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,12),(12,12),(12,14),-0.0437358 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,12),(12,12),(12,15),-0.0385794 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,12),(12,12),(12,16),-0.0546754 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,12),(12,12),(12,17),-0.0803772 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,12),(12,12),(12,18),-0.0368429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,12),(12,12),(12,19),-0.0585753 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,12),(12,12),(12,21),-0.0803772 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,12),(12,12),(12,22),-0.0479978 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,12),(12,12),(12,27),-0.0437358 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,12),(12,12),(12,29),-0.0590798 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,12),(12,12),(12,38),-0.0419988 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,12),(12,12),(12,39),0.0779395 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,12),(12,13),(12,14),-0.0453752 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,13),(12,15),-0.0419998 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,13),(12,16),-0.0420585 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,13),(12,17),-0.0437473 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,13),(12,18),-0.0420002 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,13),(12,19),-0.0305855 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,13),(12,21),-0.0437473 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,13),(12,22),-0.0475898 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,13),(12,27),-0.0453752 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,13),(12,29),-0.0305855 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,13),(12,38),-0.0453164 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,13),(12,39),-0.0734015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,14),(12,15),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,14),(12,16),-0.0421433 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,14),(12,17),-0.0425185 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,14),(12,18),-0.0423427 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,14),(12,19),-0.0460963 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,14),(12,21),-0.0425185 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,14),(12,22),-0.0450099 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,14),(12,27),-0.0420005 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,14),(12,29),-0.0460963 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,14),(12,38),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,14),(12,39),-0.0223371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,15),(12,16),-0.0420056 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,15),(12,17),-0.0429154 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,15),(12,18),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,15),(12,19),-0.0421038 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,15),(12,21),-0.0429154 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,15),(12,22),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,15),(12,27),-0.0420026 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,15),(12,29),-0.0421038 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,15),(12,38),-0.0420991 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,15),(12,39),-0.0367835 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,16),(12,17),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,16),(12,18),-0.0420019 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,16),(12,19),-0.0372027 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,16),(12,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,16),(12,22),-0.0400318 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,16),(12,27),-0.0420109 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,16),(12,29),-0.0372027 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,16),(12,38),-0.0421159 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,16),(12,39),-0.0660683 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,17),(12,18),-0.0420002 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,17),(12,19),-0.0305855 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,17),(12,21),-0.0437473 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,17),(12,22),-0.0475898 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,17),(12,27),-0.0453752 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,17),(12,29),-0.0305855 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,17),(12,38),-0.0453164 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,17),(12,39),-0.0734015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,18),(12,19),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,18),(12,21),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,18),(12,22),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,18),(12,27),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,18),(12,29),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,18),(12,38),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,18),(12,39),-0.037265 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,19),(12,21),-0.0420035 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,19),(12,22),-0.0424436 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,19),(12,27),-0.0420796 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,19),(12,29),-0.0422496 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,19),(12,38),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,19),(12,39),-0.0211028 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,21),(12,22),-0.0475898 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,21),(12,27),-0.0453752 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,21),(12,29),-0.0305855 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,21),(12,38),-0.0453164 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,21),(12,39),-0.0734048 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,22),(12,27),-0.0442916 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,22),(12,29),-0.0426266 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,22),(12,38),-0.0419998 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,22),(12,39),-0.0735762 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,27),(12,29),-0.0460963 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,27),(12,38),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,27),(12,39),-0.0223371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,29),(12,38),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,29),(12,39),-0.0216073 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,38),(12,39),-0.047371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,12),(12,11),0.110811 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,12),(12,12),(12,10),0.126776 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,12),(12,12),(12,9),0.143964 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,12),(12,12),(12,8),0.143962 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,12),(12,12),(12,7),0.111711 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,12),(12,12),(12,6),0.126781 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,12),(12,12),(12,5),0.0968346 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,12),(12,12),(12,4),0.125982 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,12),(12,12),(12,3),-0.125684 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,12),(12,12),(12,2),-0.125533 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,12),(12,12),(12,-1),-0.199928 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,12),(12,11),(12,10),0.118883 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,11),(12,9),0.118931 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,11),(12,8),0.118931 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,11),(12,7),0.119164 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,11),(12,6),0.118934 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,11),(12,5),0.118809 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,11),(12,4),0.118934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,11),(12,3),-0.12491 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,11),(12,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,11),(12,-1),-0.136825 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,10),(12,9),0.120936 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,10),(12,8),0.120936 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,10),(12,7),0.119164 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,10),(12,6),0.11635 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,10),(12,5),0.116177 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,10),(12,4),0.11635 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,10),(12,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,10),(12,2),-0.124886 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,10),(12,-1),-0.148871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,9),(12,8),0.117858 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,9),(12,7),0.119003 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,9),(12,6),0.12324 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,9),(12,5),0.149242 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,9),(12,4),0.12324 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,9),(12,3),-0.125076 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,9),(12,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,9),(12,-1),-0.166851 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,8),(12,7),0.119003 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,8),(12,6),0.12324 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,8),(12,5),0.149242 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,8),(12,4),0.12324 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,8),(12,3),-0.125076 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,8),(12,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,8),(12,-1),-0.166879 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,7),(12,6),0.119164 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,7),(12,5),0.118029 # DEPENDENCYPART_GRANDSIBL
(4,12),(12,7),(12,4),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,12),(12,7),(12,3),-0.124885 # DEPENDENCYPART_GRANDSIBL
