# _root_ The company , however , said orders in the U.S. showed `` good gains '' during the latest quarter .
#goldHeads=2,6,6,6,6,0,11,7,10,8,6,11,14,11,11,11,19,19,16,6,
#predictedHeads=2,6,6,6,6,0,11,7,10,8,6,14,14,11,14,11,19,19,16,6,
(7,6),(7,19),-0.00411909 # DEPENDENCYPART_SIBL
(7,8),(7,9),0.0238808 # DEPENDENCYPART_SIBL
(7,8),(7,10),0.0692065 # DEPENDENCYPART_SIBL
(7,8),(7,11),0.135959 # DEPENDENCYPART_SIBL
(7,8),(7,12),0.190176 # DEPENDENCYPART_SIBL
(7,8),(7,14),0.13527 # DEPENDENCYPART_SIBL
(7,8),(7,15),0.127325 # DEPENDENCYPART_SIBL
(7,8),(7,16),0.2937 # DEPENDENCYPART_SIBL
(7,8),(7,18),0.0479974 # DEPENDENCYPART_SIBL
(7,8),(7,19),0.0984906 # DEPENDENCYPART_SIBL
(7,9),(7,10),-0.110988 # DEPENDENCYPART_SIBL
(7,9),(7,11),-0.0849099 # DEPENDENCYPART_SIBL
(7,9),(7,12),-0.118744 # DEPENDENCYPART_SIBL
(7,9),(7,14),0.0170458 # DEPENDENCYPART_SIBL
(7,9),(7,15),-0.121747 # DEPENDENCYPART_SIBL
(7,9),(7,16),-0.0740068 # DEPENDENCYPART_SIBL
(7,9),(7,18),-0.110179 # DEPENDENCYPART_SIBL
(7,9),(7,19),-0.0752461 # DEPENDENCYPART_SIBL
(7,10),(7,11),-0.062486 # DEPENDENCYPART_SIBL
(7,10),(7,12),-0.0171334 # DEPENDENCYPART_SIBL
(7,10),(7,14),-0.0495165 # DEPENDENCYPART_SIBL
(7,10),(7,15),-0.0166925 # DEPENDENCYPART_SIBL
(7,10),(7,16),0.0102309 # DEPENDENCYPART_SIBL
(7,10),(7,18),-0.042662 # DEPENDENCYPART_SIBL
(7,10),(7,19),-0.0585662 # DEPENDENCYPART_SIBL
(7,11),(7,12),0.0302242 # DEPENDENCYPART_SIBL
(7,11),(7,14),0.0149723 # DEPENDENCYPART_SIBL
(7,11),(7,15),0.0381173 # DEPENDENCYPART_SIBL
(7,11),(7,16),0.00862714 # DEPENDENCYPART_SIBL
(7,11),(7,18),-0.0243744 # DEPENDENCYPART_SIBL
(7,11),(7,19),-0.00867782 # DEPENDENCYPART_SIBL
(7,12),(7,14),0.266866 # DEPENDENCYPART_SIBL
(7,12),(7,15),0.277514 # DEPENDENCYPART_SIBL
(7,12),(7,16),0.127589 # DEPENDENCYPART_SIBL
(7,12),(7,18),0.0331888 # DEPENDENCYPART_SIBL
(7,12),(7,19),0.176236 # DEPENDENCYPART_SIBL
(7,14),(7,15),-0.0322765 # DEPENDENCYPART_SIBL
(7,14),(7,16),0.0433375 # DEPENDENCYPART_SIBL
(7,14),(7,18),-0.0622165 # DEPENDENCYPART_SIBL
(7,14),(7,19),-0.0628717 # DEPENDENCYPART_SIBL
(7,15),(7,16),0.403195 # DEPENDENCYPART_SIBL
(7,15),(7,18),0.0951992 # DEPENDENCYPART_SIBL
(7,15),(7,19),0.30685 # DEPENDENCYPART_SIBL
(7,16),(7,18),0.0238791 # DEPENDENCYPART_SIBL
(7,16),(7,19),0.0498225 # DEPENDENCYPART_SIBL
(7,18),(7,19),-0.0454356 # DEPENDENCYPART_SIBL
(8,2),(8,3),-0.0338483 # DEPENDENCYPART_SIBL
(8,2),(8,4),0.166053 # DEPENDENCYPART_SIBL
(8,2),(8,5),-0.0338483 # DEPENDENCYPART_SIBL
(8,2),(8,6),-0.00799843 # DEPENDENCYPART_SIBL
(8,2),(8,7),-0.175784 # DEPENDENCYPART_SIBL
(8,2),(8,9),-0.119426 # DEPENDENCYPART_SIBL
(8,2),(8,10),-0.0709505 # DEPENDENCYPART_SIBL
(8,2),(8,11),0.0438385 # DEPENDENCYPART_SIBL
(8,2),(8,12),-0.0587196 # DEPENDENCYPART_SIBL
(8,2),(8,13),-0.0810494 # DEPENDENCYPART_SIBL
(8,2),(8,14),-0.127213 # DEPENDENCYPART_SIBL
(8,2),(8,15),-0.052122 # DEPENDENCYPART_SIBL
(8,2),(8,16),-0.0218958 # DEPENDENCYPART_SIBL
(8,2),(8,18),-0.0327526 # DEPENDENCYPART_SIBL
(8,2),(8,19),-0.0545474 # DEPENDENCYPART_SIBL
(8,3),(8,4),0.465857 # DEPENDENCYPART_SIBL
(8,3),(8,5),0.0703172 # DEPENDENCYPART_SIBL
(8,3),(8,6),0.0115119 # DEPENDENCYPART_SIBL
(8,3),(8,7),0.0914425 # DEPENDENCYPART_SIBL
(8,3),(8,9),0.0314199 # DEPENDENCYPART_SIBL
(8,3),(8,10),0.0123772 # DEPENDENCYPART_SIBL
(8,3),(8,11),-0.0333772 # DEPENDENCYPART_SIBL
(8,3),(8,12),-0.0484271 # DEPENDENCYPART_SIBL
(8,3),(8,13),0.00169954 # DEPENDENCYPART_SIBL
(8,3),(8,14),-0.043718 # DEPENDENCYPART_SIBL
(8,3),(8,15),-0.0809871 # DEPENDENCYPART_SIBL
(8,3),(8,16),-0.0039303 # DEPENDENCYPART_SIBL
(8,3),(8,18),0.0988461 # DEPENDENCYPART_SIBL
(8,3),(8,19),-0.0410448 # DEPENDENCYPART_SIBL
(8,4),(8,5),0.182422 # DEPENDENCYPART_SIBL
(8,4),(8,6),-0.0149638 # DEPENDENCYPART_SIBL
(8,4),(8,7),0.0109907 # DEPENDENCYPART_SIBL
(8,4),(8,9),-0.0909551 # DEPENDENCYPART_SIBL
(8,4),(8,10),-0.0902921 # DEPENDENCYPART_SIBL
(8,4),(8,11),-0.0387485 # DEPENDENCYPART_SIBL
(8,4),(8,12),-0.0527722 # DEPENDENCYPART_SIBL
(8,4),(8,13),-0.111296 # DEPENDENCYPART_SIBL
(8,4),(8,14),-0.0746725 # DEPENDENCYPART_SIBL
(8,4),(8,15),-0.0827777 # DEPENDENCYPART_SIBL
(8,4),(8,16),0.0136279 # DEPENDENCYPART_SIBL
(8,4),(8,18),-0.0597783 # DEPENDENCYPART_SIBL
(8,4),(8,19),-0.119416 # DEPENDENCYPART_SIBL
(8,5),(8,6),0.0115119 # DEPENDENCYPART_SIBL
(8,5),(8,7),0.0914425 # DEPENDENCYPART_SIBL
(8,5),(8,9),0.0314199 # DEPENDENCYPART_SIBL
(8,5),(8,10),0.0123772 # DEPENDENCYPART_SIBL
(8,5),(8,11),-0.0333772 # DEPENDENCYPART_SIBL
(8,5),(8,12),-0.0484271 # DEPENDENCYPART_SIBL
(8,5),(8,13),0.00169954 # DEPENDENCYPART_SIBL
(8,5),(8,14),-0.043718 # DEPENDENCYPART_SIBL
(8,5),(8,15),-0.0809871 # DEPENDENCYPART_SIBL
(8,5),(8,16),-0.0039303 # DEPENDENCYPART_SIBL
(8,5),(8,18),0.0988461 # DEPENDENCYPART_SIBL
(8,5),(8,19),-0.0410448 # DEPENDENCYPART_SIBL
(8,6),(8,7),0.128203 # DEPENDENCYPART_SIBL
(8,6),(8,9),-0.014366 # DEPENDENCYPART_SIBL
(8,6),(8,10),0.0419208 # DEPENDENCYPART_SIBL
(8,6),(8,11),0.0178901 # DEPENDENCYPART_SIBL
(8,6),(8,12),0.016161 # DEPENDENCYPART_SIBL
(8,6),(8,13),-0.00978129 # DEPENDENCYPART_SIBL
(8,6),(8,14),-0.100027 # DEPENDENCYPART_SIBL
(8,6),(8,15),-0.0164891 # DEPENDENCYPART_SIBL
(8,6),(8,16),0.057563 # DEPENDENCYPART_SIBL
(8,6),(8,18),0.0181519 # DEPENDENCYPART_SIBL
(8,6),(8,19),0.0657973 # DEPENDENCYPART_SIBL
(8,7),(8,9),-0.0996377 # DEPENDENCYPART_SIBL
(8,7),(8,10),-0.0268912 # DEPENDENCYPART_SIBL
(8,7),(8,11),0.112385 # DEPENDENCYPART_SIBL
(8,7),(8,12),-0.0622265 # DEPENDENCYPART_SIBL
(8,7),(8,13),-0.0763837 # DEPENDENCYPART_SIBL
(8,7),(8,14),-0.168831 # DEPENDENCYPART_SIBL
(8,7),(8,15),-0.0986593 # DEPENDENCYPART_SIBL
(8,7),(8,16),0.0239251 # DEPENDENCYPART_SIBL
(8,7),(8,18),-0.0353875 # DEPENDENCYPART_SIBL
(8,7),(8,19),-0.00328543 # DEPENDENCYPART_SIBL
(8,9),(8,10),-0.486745 # DEPENDENCYPART_SIBL
(8,9),(8,11),-0.407604 # DEPENDENCYPART_SIBL
(8,9),(8,12),-0.272668 # DEPENDENCYPART_SIBL
(8,9),(8,13),-0.23222 # DEPENDENCYPART_SIBL
(8,9),(8,14),-0.467232 # DEPENDENCYPART_SIBL
(8,9),(8,15),-0.173493 # DEPENDENCYPART_SIBL
(8,9),(8,16),-0.119569 # DEPENDENCYPART_SIBL
(8,9),(8,18),-0.227142 # DEPENDENCYPART_SIBL
(8,9),(8,19),-0.718968 # DEPENDENCYPART_SIBL
(8,10),(8,11),-0.622758 # DEPENDENCYPART_SIBL
(8,10),(8,12),-0.383538 # DEPENDENCYPART_SIBL
(8,10),(8,13),-0.447124 # DEPENDENCYPART_SIBL
(8,10),(8,14),-0.881949 # DEPENDENCYPART_SIBL
(8,10),(8,15),-0.111193 # DEPENDENCYPART_SIBL
(8,10),(8,16),-0.182948 # DEPENDENCYPART_SIBL
(8,10),(8,18),-0.378596 # DEPENDENCYPART_SIBL
(8,10),(8,19),-1.0289 # DEPENDENCYPART_SIBL
(8,11),(8,12),-0.0971045 # DEPENDENCYPART_SIBL
(8,11),(8,13),-0.200337 # DEPENDENCYPART_SIBL
(8,11),(8,14),-0.457801 # DEPENDENCYPART_SIBL
(8,11),(8,15),0.0614801 # DEPENDENCYPART_SIBL
(8,11),(8,16),0.0719774 # DEPENDENCYPART_SIBL
(8,11),(8,18),-0.0931183 # DEPENDENCYPART_SIBL
(8,11),(8,19),-0.576681 # DEPENDENCYPART_SIBL
(8,12),(8,13),0.0513821 # DEPENDENCYPART_SIBL
(8,12),(8,14),-0.0870948 # DEPENDENCYPART_SIBL
(8,12),(8,15),0.433882 # DEPENDENCYPART_SIBL
(8,12),(8,16),0.164595 # DEPENDENCYPART_SIBL
(8,12),(8,18),0.0559092 # DEPENDENCYPART_SIBL
(8,12),(8,19),-0.156409 # DEPENDENCYPART_SIBL
(8,13),(8,14),-0.561735 # DEPENDENCYPART_SIBL
(8,13),(8,15),-0.0669233 # DEPENDENCYPART_SIBL
(8,13),(8,16),-0.0726231 # DEPENDENCYPART_SIBL
(8,13),(8,18),-0.190578 # DEPENDENCYPART_SIBL
(8,13),(8,19),-0.643544 # DEPENDENCYPART_SIBL
(8,14),(8,15),-0.0290324 # DEPENDENCYPART_SIBL
(8,14),(8,16),0.012421 # DEPENDENCYPART_SIBL
(8,14),(8,18),-0.253496 # DEPENDENCYPART_SIBL
(8,14),(8,19),-0.878488 # DEPENDENCYPART_SIBL
(8,15),(8,16),0.205199 # DEPENDENCYPART_SIBL
(8,15),(8,18),-0.0921631 # DEPENDENCYPART_SIBL
(8,15),(8,19),-0.318982 # DEPENDENCYPART_SIBL
(8,16),(8,18),-0.057488 # DEPENDENCYPART_SIBL
(8,16),(8,19),-0.372954 # DEPENDENCYPART_SIBL
(8,18),(8,19),-0.592319 # DEPENDENCYPART_SIBL
(10,5),(10,7),0.141175 # DEPENDENCYPART_SIBL
(10,5),(10,8),0.0227273 # DEPENDENCYPART_SIBL
(10,5),(10,9),-0.0202362 # DEPENDENCYPART_SIBL
(10,5),(10,11),0.0609172 # DEPENDENCYPART_SIBL
(10,5),(10,14),-0.0670569 # DEPENDENCYPART_SIBL
(10,7),(10,8),0.0773677 # DEPENDENCYPART_SIBL
(10,7),(10,9),-0.0215504 # DEPENDENCYPART_SIBL
(10,7),(10,11),0.060634 # DEPENDENCYPART_SIBL
(10,7),(10,14),0.0117953 # DEPENDENCYPART_SIBL
(10,8),(10,9),0.0978988 # DEPENDENCYPART_SIBL
(10,8),(10,11),-0.0352291 # DEPENDENCYPART_SIBL
(10,8),(10,14),-0.0466138 # DEPENDENCYPART_SIBL
(10,9),(10,11),0.14577 # DEPENDENCYPART_SIBL
(10,9),(10,14),0.0306307 # DEPENDENCYPART_SIBL
(10,11),(10,14),-0.019936 # DEPENDENCYPART_SIBL
(11,2),(11,3),-0.173105 # DEPENDENCYPART_SIBL
(11,2),(11,4),0.174582 # DEPENDENCYPART_SIBL
(11,2),(11,5),-0.173105 # DEPENDENCYPART_SIBL
(11,2),(11,6),-0.24559 # DEPENDENCYPART_SIBL
(11,2),(11,7),-0.533868 # DEPENDENCYPART_SIBL
(11,2),(11,8),-0.0544128 # DEPENDENCYPART_SIBL
(11,2),(11,9),-0.467957 # DEPENDENCYPART_SIBL
(11,2),(11,10),-0.443681 # DEPENDENCYPART_SIBL
(11,2),(11,12),0.0196126 # DEPENDENCYPART_SIBL
(11,2),(11,13),-0.108526 # DEPENDENCYPART_SIBL
(11,2),(11,14),0.011499 # DEPENDENCYPART_SIBL
(11,2),(11,15),0.0649734 # DEPENDENCYPART_SIBL
(11,2),(11,16),0.0211872 # DEPENDENCYPART_SIBL
(11,2),(11,18),0.00555895 # DEPENDENCYPART_SIBL
(11,2),(11,19),-0.0540843 # DEPENDENCYPART_SIBL
(11,2),(11,20),-0.0133145 # DEPENDENCYPART_SIBL
(11,3),(11,4),0.659349 # DEPENDENCYPART_SIBL
(11,3),(11,5),0.0230192 # DEPENDENCYPART_SIBL
(11,3),(11,6),-0.00492955 # DEPENDENCYPART_SIBL
(11,3),(11,7),0.137072 # DEPENDENCYPART_SIBL
(11,3),(11,8),0.14467 # DEPENDENCYPART_SIBL
(11,3),(11,9),-0.0633123 # DEPENDENCYPART_SIBL
(11,3),(11,10),0.0767517 # DEPENDENCYPART_SIBL
(11,3),(11,12),-0.00783432 # DEPENDENCYPART_SIBL
(11,3),(11,13),-0.0641923 # DEPENDENCYPART_SIBL
(11,3),(11,14),0.0496988 # DEPENDENCYPART_SIBL
(11,3),(11,15),0.0446128 # DEPENDENCYPART_SIBL
(11,3),(11,16),0.0121792 # DEPENDENCYPART_SIBL
(11,3),(11,18),0.142582 # DEPENDENCYPART_SIBL
(11,3),(11,19),-0.022263 # DEPENDENCYPART_SIBL
(11,3),(11,20),0.100263 # DEPENDENCYPART_SIBL
(11,4),(11,5),0.446732 # DEPENDENCYPART_SIBL
(11,4),(11,6),0.00997464 # DEPENDENCYPART_SIBL
(11,4),(11,7),0.0353723 # DEPENDENCYPART_SIBL
(11,4),(11,8),0.0539665 # DEPENDENCYPART_SIBL
(11,4),(11,9),-0.000655391 # DEPENDENCYPART_SIBL
(11,4),(11,10),0.00159854 # DEPENDENCYPART_SIBL
(11,4),(11,12),0.0888772 # DEPENDENCYPART_SIBL
(11,4),(11,13),-0.0362573 # DEPENDENCYPART_SIBL
(11,4),(11,14),0.069949 # DEPENDENCYPART_SIBL
(11,4),(11,15),0.104606 # DEPENDENCYPART_SIBL
(11,4),(11,16),0.0443344 # DEPENDENCYPART_SIBL
(11,4),(11,18),0.0277311 # DEPENDENCYPART_SIBL
(11,4),(11,19),0.0466076 # DEPENDENCYPART_SIBL
(11,4),(11,20),0.242543 # DEPENDENCYPART_SIBL
(11,5),(11,6),-0.00492955 # DEPENDENCYPART_SIBL
(11,5),(11,7),0.137072 # DEPENDENCYPART_SIBL
(11,5),(11,8),0.14467 # DEPENDENCYPART_SIBL
(11,5),(11,9),-0.0633123 # DEPENDENCYPART_SIBL
(11,5),(11,10),0.0767517 # DEPENDENCYPART_SIBL
(11,5),(11,12),-0.00783432 # DEPENDENCYPART_SIBL
(11,5),(11,13),-0.0641923 # DEPENDENCYPART_SIBL
(11,5),(11,14),0.0496988 # DEPENDENCYPART_SIBL
(11,5),(11,15),0.0446128 # DEPENDENCYPART_SIBL
(11,5),(11,16),0.0121792 # DEPENDENCYPART_SIBL
(11,5),(11,18),0.142582 # DEPENDENCYPART_SIBL
(11,5),(11,19),-0.022263 # DEPENDENCYPART_SIBL
(11,5),(11,20),0.100263 # DEPENDENCYPART_SIBL
(11,6),(11,7),-0.0193668 # DEPENDENCYPART_SIBL
(11,6),(11,8),-0.19442 # DEPENDENCYPART_SIBL
(11,6),(11,9),-0.112272 # DEPENDENCYPART_SIBL
(11,6),(11,10),-0.0616352 # DEPENDENCYPART_SIBL
(11,6),(11,12),-0.0537065 # DEPENDENCYPART_SIBL
(11,6),(11,13),-0.080407 # DEPENDENCYPART_SIBL
(11,6),(11,14),-0.0756391 # DEPENDENCYPART_SIBL
(11,6),(11,15),0.0162909 # DEPENDENCYPART_SIBL
(11,6),(11,16),-0.0563704 # DEPENDENCYPART_SIBL
(11,6),(11,18),-0.0436406 # DEPENDENCYPART_SIBL
(11,6),(11,19),-0.0532133 # DEPENDENCYPART_SIBL
(11,6),(11,20),-0.0199925 # DEPENDENCYPART_SIBL
(11,7),(11,8),-0.026986 # DEPENDENCYPART_SIBL
(11,7),(11,9),-0.270179 # DEPENDENCYPART_SIBL
(11,7),(11,10),-0.533679 # DEPENDENCYPART_SIBL
(11,7),(11,12),-0.0342257 # DEPENDENCYPART_SIBL
(11,7),(11,13),-0.0662223 # DEPENDENCYPART_SIBL
(11,7),(11,14),0.0249646 # DEPENDENCYPART_SIBL
(11,7),(11,15),0.00275333 # DEPENDENCYPART_SIBL
(11,7),(11,16),0.035694 # DEPENDENCYPART_SIBL
(11,7),(11,18),0.00948816 # DEPENDENCYPART_SIBL
(11,7),(11,19),0.024689 # DEPENDENCYPART_SIBL
(11,7),(11,20),0.0542857 # DEPENDENCYPART_SIBL
(11,8),(11,9),-0.0492017 # DEPENDENCYPART_SIBL
(11,8),(11,10),-0.00258942 # DEPENDENCYPART_SIBL
(11,8),(11,12),-0.0390395 # DEPENDENCYPART_SIBL
(11,8),(11,13),-0.152586 # DEPENDENCYPART_SIBL
(11,8),(11,14),-0.0198161 # DEPENDENCYPART_SIBL
(11,8),(11,15),-0.000523585 # DEPENDENCYPART_SIBL
(11,8),(11,16),-0.0865127 # DEPENDENCYPART_SIBL
(11,8),(11,18),-0.00338407 # DEPENDENCYPART_SIBL
(11,8),(11,19),-0.0605998 # DEPENDENCYPART_SIBL
(11,8),(11,20),0.0163268 # DEPENDENCYPART_SIBL
(11,9),(11,10),-0.248171 # DEPENDENCYPART_SIBL
(11,9),(11,12),-0.145648 # DEPENDENCYPART_SIBL
(11,9),(11,13),-0.190229 # DEPENDENCYPART_SIBL
(11,9),(11,14),-0.111205 # DEPENDENCYPART_SIBL
(11,9),(11,15),-0.0304418 # DEPENDENCYPART_SIBL
(11,9),(11,16),-0.128226 # DEPENDENCYPART_SIBL
(11,9),(11,18),-0.0831396 # DEPENDENCYPART_SIBL
(11,9),(11,19),-0.198775 # DEPENDENCYPART_SIBL
(11,9),(11,20),-0.210246 # DEPENDENCYPART_SIBL
(11,10),(11,12),-0.114226 # DEPENDENCYPART_SIBL
(11,10),(11,13),-0.164238 # DEPENDENCYPART_SIBL
(11,10),(11,14),-0.135095 # DEPENDENCYPART_SIBL
(11,10),(11,15),-0.0337237 # DEPENDENCYPART_SIBL
(11,10),(11,16),-0.0567079 # DEPENDENCYPART_SIBL
(11,10),(11,18),-0.0714639 # DEPENDENCYPART_SIBL
(11,10),(11,19),-0.103124 # DEPENDENCYPART_SIBL
(11,10),(11,20),-0.158386 # DEPENDENCYPART_SIBL
(11,12),(11,13),0.0483351 # DEPENDENCYPART_SIBL
(11,12),(11,14),0.0446754 # DEPENDENCYPART_SIBL
(11,12),(11,15),0.051837 # DEPENDENCYPART_SIBL
(11,12),(11,16),0.0420145 # DEPENDENCYPART_SIBL
(11,12),(11,18),-0.0661922 # DEPENDENCYPART_SIBL
(11,12),(11,19),-0.0933699 # DEPENDENCYPART_SIBL
(11,12),(11,20),0.00275334 # DEPENDENCYPART_SIBL
(11,13),(11,14),-0.261481 # DEPENDENCYPART_SIBL
(11,13),(11,15),-0.032969 # DEPENDENCYPART_SIBL
(11,13),(11,16),-0.0691166 # DEPENDENCYPART_SIBL
(11,13),(11,18),-0.109389 # DEPENDENCYPART_SIBL
(11,13),(11,19),-0.123035 # DEPENDENCYPART_SIBL
(11,13),(11,20),-0.0493841 # DEPENDENCYPART_SIBL
(11,14),(11,15),0.118121 # DEPENDENCYPART_SIBL
(11,14),(11,16),0.157501 # DEPENDENCYPART_SIBL
(11,14),(11,18),0.0215437 # DEPENDENCYPART_SIBL
(11,14),(11,19),-0.097542 # DEPENDENCYPART_SIBL
(11,14),(11,20),0.0819252 # DEPENDENCYPART_SIBL
(11,15),(11,16),0.347688 # DEPENDENCYPART_SIBL
(11,15),(11,18),-0.0158539 # DEPENDENCYPART_SIBL
(11,15),(11,19),0.00947753 # DEPENDENCYPART_SIBL
(11,15),(11,20),-0.104196 # DEPENDENCYPART_SIBL
(11,16),(11,18),-0.0675049 # DEPENDENCYPART_SIBL
(11,16),(11,19),-0.129613 # DEPENDENCYPART_SIBL
(11,16),(11,20),-0.0425281 # DEPENDENCYPART_SIBL
(11,18),(11,19),-0.205844 # DEPENDENCYPART_SIBL
(11,18),(11,20),0.00465079 # DEPENDENCYPART_SIBL
(11,19),(11,20),-0.0870601 # DEPENDENCYPART_SIBL
(13,2),(13,4),0.206052 # DEPENDENCYPART_SIBL
(13,2),(13,7),-0.112752 # DEPENDENCYPART_SIBL
(13,2),(13,8),0.165832 # DEPENDENCYPART_SIBL
(13,2),(13,9),-0.0628292 # DEPENDENCYPART_SIBL
(13,2),(13,10),-0.0113304 # DEPENDENCYPART_SIBL
(13,2),(13,11),0.0643314 # DEPENDENCYPART_SIBL
(13,2),(13,12),0.248722 # DEPENDENCYPART_SIBL
(13,2),(13,14),0.0984861 # DEPENDENCYPART_SIBL
(13,2),(13,15),0.0605351 # DEPENDENCYPART_SIBL
(13,2),(13,16),-0.0484976 # DEPENDENCYPART_SIBL
(13,2),(13,19),-0.0473956 # DEPENDENCYPART_SIBL
(13,4),(13,7),0.0657846 # DEPENDENCYPART_SIBL
(13,4),(13,8),0.177552 # DEPENDENCYPART_SIBL
(13,4),(13,9),0.151846 # DEPENDENCYPART_SIBL
(13,4),(13,10),0.104389 # DEPENDENCYPART_SIBL
(13,4),(13,11),0.0558022 # DEPENDENCYPART_SIBL
(13,4),(13,12),0.137808 # DEPENDENCYPART_SIBL
(13,4),(13,14),0.00488919 # DEPENDENCYPART_SIBL
(13,4),(13,15),-0.0633539 # DEPENDENCYPART_SIBL
(13,4),(13,16),-0.00375307 # DEPENDENCYPART_SIBL
(13,4),(13,19),-0.103479 # DEPENDENCYPART_SIBL
(13,7),(13,8),0.102576 # DEPENDENCYPART_SIBL
(13,7),(13,9),0.0276512 # DEPENDENCYPART_SIBL
(13,7),(13,10),-0.12373 # DEPENDENCYPART_SIBL
(13,7),(13,11),-0.0365282 # DEPENDENCYPART_SIBL
(13,7),(13,12),0.145064 # DEPENDENCYPART_SIBL
(13,7),(13,14),0.0644169 # DEPENDENCYPART_SIBL
(13,7),(13,15),0.0443807 # DEPENDENCYPART_SIBL
(13,7),(13,16),0.0344774 # DEPENDENCYPART_SIBL
(13,7),(13,19),0.0316182 # DEPENDENCYPART_SIBL
(13,8),(13,9),0.204199 # DEPENDENCYPART_SIBL
(13,8),(13,10),0.0376677 # DEPENDENCYPART_SIBL
(13,8),(13,11),-0.019028 # DEPENDENCYPART_SIBL
(13,8),(13,12),-0.00252441 # DEPENDENCYPART_SIBL
(13,8),(13,14),-0.0024909 # DEPENDENCYPART_SIBL
(13,8),(13,15),-0.0480721 # DEPENDENCYPART_SIBL
(13,8),(13,16),-0.095856 # DEPENDENCYPART_SIBL
(13,8),(13,19),-0.0421895 # DEPENDENCYPART_SIBL
(13,9),(13,10),0.0231545 # DEPENDENCYPART_SIBL
(13,9),(13,11),0.00764175 # DEPENDENCYPART_SIBL
(13,9),(13,12),0.345028 # DEPENDENCYPART_SIBL
(13,9),(13,14),0.0662555 # DEPENDENCYPART_SIBL
(13,9),(13,15),0.131242 # DEPENDENCYPART_SIBL
(13,9),(13,16),-0.0500688 # DEPENDENCYPART_SIBL
(13,9),(13,19),0.0362972 # DEPENDENCYPART_SIBL
(13,10),(13,11),0.104274 # DEPENDENCYPART_SIBL
(13,10),(13,12),0.174956 # DEPENDENCYPART_SIBL
(13,10),(13,14),-0.0486522 # DEPENDENCYPART_SIBL
(13,10),(13,15),-0.019166 # DEPENDENCYPART_SIBL
(13,10),(13,16),-0.0586056 # DEPENDENCYPART_SIBL
(13,10),(13,19),-0.0687279 # DEPENDENCYPART_SIBL
(13,11),(13,12),0.0171303 # DEPENDENCYPART_SIBL
(13,11),(13,14),-0.021952 # DEPENDENCYPART_SIBL
(13,11),(13,15),-0.0105346 # DEPENDENCYPART_SIBL
(13,11),(13,16),-0.0286429 # DEPENDENCYPART_SIBL
(13,11),(13,19),-0.0455077 # DEPENDENCYPART_SIBL
(13,12),(13,14),0.0362086 # DEPENDENCYPART_SIBL
(13,12),(13,15),0.646782 # DEPENDENCYPART_SIBL
(13,12),(13,16),0.0494767 # DEPENDENCYPART_SIBL
(13,12),(13,19),0.0440625 # DEPENDENCYPART_SIBL
(13,14),(13,15),0.0824477 # DEPENDENCYPART_SIBL
(13,14),(13,16),0.0881505 # DEPENDENCYPART_SIBL
(13,14),(13,19),-0.0592552 # DEPENDENCYPART_SIBL
(13,15),(13,16),0.418138 # DEPENDENCYPART_SIBL
(13,15),(13,19),0.327152 # DEPENDENCYPART_SIBL
(13,16),(13,19),0.0386703 # DEPENDENCYPART_SIBL
(14,2),(14,3),0.0697058 # DEPENDENCYPART_SIBL
(14,2),(14,4),0.143789 # DEPENDENCYPART_SIBL
(14,2),(14,5),0.0697058 # DEPENDENCYPART_SIBL
(14,2),(14,6),0.101613 # DEPENDENCYPART_SIBL
(14,2),(14,7),-0.00119497 # DEPENDENCYPART_SIBL
(14,2),(14,8),0.069534 # DEPENDENCYPART_SIBL
(14,2),(14,9),-0.435278 # DEPENDENCYPART_SIBL
(14,2),(14,10),-0.0354969 # DEPENDENCYPART_SIBL
(14,2),(14,11),0.120513 # DEPENDENCYPART_SIBL
(14,2),(14,12),0.279637 # DEPENDENCYPART_SIBL
(14,2),(14,13),0.0134518 # DEPENDENCYPART_SIBL
(14,2),(14,15),-0.0644485 # DEPENDENCYPART_SIBL
(14,2),(14,16),-0.262257 # DEPENDENCYPART_SIBL
(14,2),(14,17),-0.248 # DEPENDENCYPART_SIBL
(14,2),(14,18),-0.125856 # DEPENDENCYPART_SIBL
(14,2),(14,19),-0.108878 # DEPENDENCYPART_SIBL
(14,3),(14,4),0.388271 # DEPENDENCYPART_SIBL
(14,3),(14,5),0.339332 # DEPENDENCYPART_SIBL
(14,3),(14,6),0.0239611 # DEPENDENCYPART_SIBL
(14,3),(14,7),0.142308 # DEPENDENCYPART_SIBL
(14,3),(14,8),0.123028 # DEPENDENCYPART_SIBL
(14,3),(14,9),-0.197522 # DEPENDENCYPART_SIBL
(14,3),(14,10),0.0861613 # DEPENDENCYPART_SIBL
(14,3),(14,11),0.0506448 # DEPENDENCYPART_SIBL
(14,3),(14,12),0.136411 # DEPENDENCYPART_SIBL
(14,3),(14,13),0.122377 # DEPENDENCYPART_SIBL
(14,3),(14,15),0.0313887 # DEPENDENCYPART_SIBL
(14,3),(14,16),-0.0339667 # DEPENDENCYPART_SIBL
(14,3),(14,17),-0.0798334 # DEPENDENCYPART_SIBL
(14,3),(14,18),0.053584 # DEPENDENCYPART_SIBL
(14,3),(14,19),-0.0254711 # DEPENDENCYPART_SIBL
(14,4),(14,5),0.175651 # DEPENDENCYPART_SIBL
(14,4),(14,6),-0.0204358 # DEPENDENCYPART_SIBL
(14,4),(14,7),-0.00159524 # DEPENDENCYPART_SIBL
(14,4),(14,8),-0.0338808 # DEPENDENCYPART_SIBL
