# _root_ `` I find myself in an adversary relationship with Laurel Bank , and I am not inclined to extend myself as far as any favors are concerned , '' the judge wrote back in a letter attached to the grand jury 's report .
#goldHeads=32,3,13,3,3,8,8,5,8,11,9,13,32,15,13,15,15,19,17,19,19,21,26,25,26,21,26,32,32,31,32,0,32,32,36,34,36,37,41,41,43,41,38,32,
#predictedHeads=32,3,13,3,3,8,8,5,8,11,9,13,32,15,13,15,15,19,17,19,19,21,26,25,26,21,26,32,32,31,32,0,32,32,36,34,36,37,41,41,43,41,38,32,
(3,15),(15,17),(15,22),-0.0193794 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,17),(15,23),-0.00733787 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,17),(15,25),-0.0354459 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,17),(15,26),-0.0203756 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,17),(15,27),-0.0223831 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,17),(15,28),0.000400394 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,17),(15,29),-0.031954 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,17),(15,32),-0.0223831 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,17),(15,34),-0.0103426 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,17),(15,44),-0.0198773 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,17),(15,45),0.00836413 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,18),(15,19),-0.0138998 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,18),(15,21),-0.0247299 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,18),(15,22),-0.0226774 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,18),(15,23),0.0248894 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,18),(15,25),-0.0314874 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,18),(15,26),-0.0120835 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,18),(15,27),-0.0138998 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,18),(15,28),0.00218521 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,18),(15,29),-0.0253648 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,18),(15,32),-0.0138998 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,18),(15,34),0.042051 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,18),(15,44),-0.0195035 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,18),(15,45),-0.0241357 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,19),(15,21),-0.0228081 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,19),(15,22),-0.0256429 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,19),(15,23),-0.0273247 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,19),(15,25),-0.0291389 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,19),(15,26),0.00458711 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,19),(15,27),0.00513617 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,19),(15,28),-0.00525913 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,19),(15,29),-0.0132531 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,19),(15,32),0.00511631 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,19),(15,34),-0.0267904 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,19),(15,44),-0.00237462 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,19),(15,45),-0.0357336 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,21),(15,22),-0.0344041 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,21),(15,23),-0.084031 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,21),(15,25),-0.0469327 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,21),(15,26),-0.0215254 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,21),(15,27),-0.0183513 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,21),(15,28),0.0394129 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,21),(15,29),-0.00771731 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,21),(15,32),-0.0197208 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,21),(15,34),-0.0671916 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,21),(15,44),-0.0233707 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,21),(15,45),0.024655 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,22),(15,23),-0.0770668 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,22),(15,25),-0.0360974 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,22),(15,26),-0.0160454 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,22),(15,27),-0.0128712 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,22),(15,28),0.0364114 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,22),(15,29),-0.00771731 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,22),(15,32),-0.0142407 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,22),(15,34),-0.0602274 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,22),(15,44),-0.0233504 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,22),(15,45),-0.00155013 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,23),(15,25),-0.0235384 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,23),(15,26),-0.0345664 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,23),(15,27),-0.0321919 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,23),(15,28),0.059091 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,23),(15,29),-0.0198202 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,23),(15,32),-0.0300339 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,23),(15,34),-0.0565242 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,23),(15,44),-0.0302757 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,23),(15,45),0.0490153 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,25),(15,26),-0.0562766 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,25),(15,27),-0.0521591 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,25),(15,28),-0.0559873 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,25),(15,29),-0.00716375 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,25),(15,32),-0.0526156 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,25),(15,34),-0.0367673 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,25),(15,44),-0.0145716 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,25),(15,45),-0.0298615 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,26),(15,27),0.00459607 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,26),(15,28),-0.001579 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,26),(15,29),-0.0132953 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,26),(15,32),0.00457621 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,26),(15,34),-0.026325 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,26),(15,44),-0.00237462 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,26),(15,45),-0.0328373 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,27),(15,28),-0.00696774 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,27),(15,29),-0.0141741 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,27),(15,32),0.00510874 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,27),(15,34),-0.0254766 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,27),(15,44),-0.00237462 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,27),(15,45),-0.0343479 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,28),(15,29),-0.0137029 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,28),(15,32),0.0489402 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,28),(15,34),-0.0146267 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,28),(15,44),-0.0194414 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,28),(15,45),0.107313 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,29),(15,32),0.00686026 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,29),(15,34),-0.0380348 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,29),(15,44),-0.0195097 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,29),(15,45),-0.0500693 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,32),(15,34),-0.0254473 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,32),(15,44),-0.00237462 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,32),(15,45),-0.0357888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,34),(15,44),-0.0338955 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,34),(15,45),0.00789372 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,44),(15,45),-0.0327537 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,15),(15,14),0.08263 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,13),0.018059 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,12),0.111998 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,11),0.160699 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,9),-0.0196867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,8),0.160108 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,6),0.076098 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,5),-0.0438452 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,3),0.138288 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,1),-0.144714 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,-1),-0.251622 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,15),(15,14),(15,13),0.103471 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,12),0.116602 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,11),0.0958192 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,9),0.123693 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,8),0.0958192 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,6),0.107091 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,5),0.116445 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,3),0.111887 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,-1),-0.132557 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,13),(15,12),0.0411878 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,11),-0.0252456 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,9),0.331472 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,8),0.0421681 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,6),0.352456 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,5),0.310973 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,3),0.241185 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,1),0.0237641 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,-1),-0.203925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,12),(15,11),0.119099 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,12),(15,9),0.0606527 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,12),(15,8),0.1191 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,12),(15,6),0.107249 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,12),(15,5),0.0670554 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,12),(15,3),0.136284 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,12),(15,1),-0.14564 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,12),(15,-1),-0.119576 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,11),(15,9),0.212714 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,11),(15,8),0.100941 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,11),(15,6),0.137158 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,11),(15,5),0.210624 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,11),(15,3),0.101366 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,11),(15,1),-0.14531 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,11),(15,-1),-0.151395 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,9),(15,8),0.110478 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,9),(15,6),0.112127 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,9),(15,5),0.106855 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,9),(15,3),0.108436 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,9),(15,1),-0.144764 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,9),(15,-1),-0.138901 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,8),(15,6),0.137158 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,8),(15,5),0.205116 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,8),(15,3),0.101366 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,8),(15,1),-0.14531 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,8),(15,-1),-0.157181 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,6),(15,5),0.120846 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,6),(15,3),0.105587 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,6),(15,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,6),(15,-1),-0.133479 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,5),(15,3),0.107996 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,5),(15,1),-0.144762 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,5),(15,-1),-0.134017 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,3),(15,1),-0.146529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,3),(15,-1),-0.150283 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,15),(15,1),(15,-1),-0.105857 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,16),(16,17),-0.080776 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,18),0.00261567 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,19),-0.0420887 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,25),0.00595472 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,32),-0.0420887 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,45),0.0990448 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,16),(16,17),(16,18),-0.00670693 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,17),(16,19),-0.0127711 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,17),(16,25),-0.0241994 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,17),(16,32),-0.0127711 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,17),(16,45),-0.101208 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,18),(16,19),0.0030749 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,18),(16,25),-0.0230093 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,18),(16,32),0.0030749 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,18),(16,45),0.0366482 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,19),(16,25),-0.00845806 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,19),(16,32),-0.0197019 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,19),(16,45),-0.060469 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,25),(16,32),-0.0215383 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,25),(16,45),0.0692312 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,32),(16,45),-0.060456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,16),(16,15),0.0916235 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,14),0.08838 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,16),(16,16),(16,-1),-0.0688628 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,16),(16,15),(16,14),0.109503 # DEPENDENCYPART_GRANDSIBL
(3,16),(16,15),(16,-1),-0.158551 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,16),(16,14),(16,-1),-0.162475 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,19),(19,19),(19,20),-0.0320223 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,19),(19,19),(19,21),-0.0685868 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,19),(19,19),(19,22),-0.0637864 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,19),(19,19),(19,23),-0.0796445 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,19),(19,19),(19,24),-0.0352082 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,19),(19,19),(19,25),0.0331895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,19),(19,19),(19,26),-0.0501011 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,19),(19,19),(19,27),-0.0649636 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,19),(19,19),(19,28),-0.105261 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,19),(19,19),(19,29),-0.0239737 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,19),(19,19),(19,31),0.0327615 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,19),(19,19),(19,32),-0.0690818 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,19),(19,19),(19,33),-0.0580649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,19),(19,19),(19,34),-0.0566208 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,19),(19,19),(19,44),-0.0411165 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,19),(19,19),(19,45),0.0783406 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,19),(19,20),(19,21),0.0119203 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,20),(19,22),-0.00369395 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,20),(19,23),0.00187203 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,20),(19,24),-0.0206841 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,20),(19,25),-0.0119938 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,20),(19,26),-0.0159778 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,20),(19,27),-0.0146926 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,20),(19,28),0.0131426 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,20),(19,29),-0.0178819 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,20),(19,31),-0.0119938 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,20),(19,32),-0.0146926 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,20),(19,33),0.000583034 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,20),(19,34),-0.0272919 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,20),(19,44),-0.0199591 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,20),(19,45),-0.12097 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,19),(19,21),(19,22),-0.0379627 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,21),(19,23),-0.0821793 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,21),(19,24),-0.019452 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,21),(19,25),-0.0469327 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,21),(19,26),-0.0207908 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,21),(19,27),-0.0176167 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,21),(19,28),0.0394129 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,21),(19,29),-0.00771731 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,21),(19,31),-0.0469331 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,21),(19,32),-0.0189862 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,21),(19,33),-0.0408214 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,21),(19,34),-0.0653398 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,21),(19,44),-0.0233707 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,21),(19,45),0.0247954 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,19),(19,22),(19,23),-0.0752151 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,22),(19,24),-0.0226066 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,22),(19,25),-0.0360974 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,22),(19,26),-0.0153108 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,22),(19,27),-0.0121366 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,22),(19,28),0.0364114 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,22),(19,29),-0.00771731 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,22),(19,31),-0.0360977 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,22),(19,32),-0.0135061 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,22),(19,33),-0.0402019 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,22),(19,34),-0.0583756 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,22),(19,44),-0.0233504 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,22),(19,45),-0.00140977 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,19),(19,23),(19,24),-0.0124971 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,23),(19,25),-0.0235384 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,23),(19,26),-0.0344217 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,23),(19,27),-0.0320472 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,23),(19,28),0.0590419 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,23),(19,29),-0.0198202 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,23),(19,31),-0.0236566 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,23),(19,32),-0.0298893 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,23),(19,33),-0.0287116 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,23),(19,34),-0.0570377 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,23),(19,44),-0.0302757 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,23),(19,45),0.0563089 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,19),(19,24),(19,25),-0.0233566 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,24),(19,26),-0.0241591 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,24),(19,27),-0.0241591 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,24),(19,28),-0.0190943 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,24),(19,29),-0.0196926 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,24),(19,31),-0.0233566 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,24),(19,32),-0.0241591 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,24),(19,33),-0.016805 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,24),(19,34),-0.0160276 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,24),(19,44),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,24),(19,45),-0.0376635 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,19),(19,25),(19,26),-0.0562619 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,25),(19,27),-0.0521444 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,25),(19,28),-0.0554914 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,25),(19,29),-0.00716375 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,25),(19,31),-0.00305777 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,25),(19,32),-0.0526009 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,25),(19,33),-0.0336432 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,25),(19,34),-0.0324309 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,25),(19,44),-0.0145716 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,25),(19,45),-0.0347897 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,19),(19,26),(19,27),0.00459607 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,26),(19,28),-0.001579 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,26),(19,29),-0.0132953 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,26),(19,31),-0.0293827 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,26),(19,32),0.00457621 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,26),(19,33),-0.0256445 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,26),(19,34),-0.0261815 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,26),(19,44),-0.00237462 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,26),(19,45),-0.0334183 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,19),(19,27),(19,28),-0.00696774 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,27),(19,29),-0.0141741 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,27),(19,31),-0.0291588 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,27),(19,32),0.00510874 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,27),(19,33),-0.0256429 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,27),(19,34),-0.0253332 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,27),(19,44),-0.00237462 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,27),(19,45),-0.0349289 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,19),(19,28),(19,29),-0.0137029 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,28),(19,31),-0.0527924 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,28),(19,32),0.048392 # DEPENDENCYPART_GRANDSIBL
(3,19),(19,28),(19,33),-0.0276943 # DEPENDENCYPART_GRANDSIBL
