# _root_ Among active stocks , MCI Communications rose 7\/8 to 43 on 2.2 million shares , Mentor Graphics added 1\/8 to 16 3\/8 on turnover of 1.5 million shares .
#goldHeads=7,3,1,7,6,7,0,7,7,9,7,14,14,11,7,17,18,7,18,18,22,20,18,23,24,27,28,25,7,
#predictedHeads=7,3,1,7,6,7,18,7,7,9,7,13,14,11,18,17,18,0,18,18,22,20,18,23,24,27,28,25,18,
(10,10),(10,8),-0.219786 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,-1),-0.266416 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(10,9),(10,8),0.083422 # DEPENDENCYPART_NEXTSIBL
(10,9),(10,-1),-0.831744 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,8),(10,-1),-0.567916 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,11),(11,12),-0.027515 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,13),-0.273466 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,14),0.342386 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,15),-0.879362 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,16),0.069828 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,18),0.496422 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,20),-0.760559 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,23),-1.00929 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,25),0.668222 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,30),-0.704538 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(11,12),(11,13),-0.416281 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,14),-0.712329 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,15),-0.767248 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,16),-0.923858 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,18),-0.892017 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,20),-0.875297 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,23),-1.16324 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,25),-1.1747 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,30),-0.699252 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,13),(11,14),-0.679898 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,15),-0.892695 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,16),-0.952614 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,18),-0.961193 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,20),-0.888771 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,23),-1.16932 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,25),-1.23033 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,30),-0.474342 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,14),(11,15),-0.786012 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,16),-0.938581 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,18),-0.858442 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,20),-0.705716 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,23),-0.669083 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,25),-0.673386 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,30),-0.329311 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,15),(11,16),-0.57325 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,18),-0.654478 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,20),-0.799656 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,23),-1.17363 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,25),-1.30712 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,30),-0.770123 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,16),(11,18),-0.736667 # DEPENDENCYPART_NEXTSIBL
(11,16),(11,20),-0.753114 # DEPENDENCYPART_NEXTSIBL
(11,16),(11,23),-0.824529 # DEPENDENCYPART_NEXTSIBL
(11,16),(11,25),-0.770685 # DEPENDENCYPART_NEXTSIBL
(11,16),(11,30),-0.478722 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,18),(11,20),-0.75153 # DEPENDENCYPART_NEXTSIBL
(11,18),(11,23),-0.365117 # DEPENDENCYPART_NEXTSIBL
(11,18),(11,25),-0.386495 # DEPENDENCYPART_NEXTSIBL
(11,18),(11,30),-0.966326 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,20),(11,23),-0.352199 # DEPENDENCYPART_NEXTSIBL
(11,20),(11,25),-0.540787 # DEPENDENCYPART_NEXTSIBL
(11,20),(11,30),-0.601867 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,23),(11,25),-0.589093 # DEPENDENCYPART_NEXTSIBL
(11,23),(11,30),-0.708447 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,25),(11,30),-0.45772 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,11),(11,10),-0.20878 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,9),-0.290989 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,-1),-0.0550703 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(11,10),(11,9),-0.573493 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,-1),-0.732943 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,9),(11,-1),-0.725173 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,12),(12,13),-0.5474 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,15),-0.781117 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,18),0.426673 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,19),0.203182 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,30),-0.141614 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(12,13),(12,15),-0.97265 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,18),-1.03682 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,19),-1.02231 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,30),-0.682197 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,15),(12,18),-0.618227 # DEPENDENCYPART_NEXTSIBL
(12,15),(12,19),-0.668807 # DEPENDENCYPART_NEXTSIBL
(12,15),(12,30),-0.895002 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,18),(12,19),-0.694016 # DEPENDENCYPART_NEXTSIBL
(12,18),(12,30),-0.948114 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,19),(12,30),-0.998097 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,12),(12,11),-0.717025 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,10),0.0164994 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,8),-0.219333 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,-1),-0.266281 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(12,11),(12,10),-0.64454 # DEPENDENCYPART_NEXTSIBL
(12,11),(12,8),-0.975315 # DEPENDENCYPART_NEXTSIBL
(12,11),(12,-1),-0.666588 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,10),(12,8),-0.628025 # DEPENDENCYPART_NEXTSIBL
(12,10),(12,-1),-0.522891 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,8),(12,-1),-0.566558 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,13),(13,18),0.431712 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,30),-0.094666 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(13,18),(13,30),-0.9275 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,13),(13,12),0.101404 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,11),-0.71485 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,10),0.077647 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,-1),-0.269756 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(13,12),(13,11),-0.56655 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,10),-0.705035 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,-1),-0.632117 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,11),(13,10),-0.619518 # DEPENDENCYPART_NEXTSIBL
(13,11),(13,-1),-0.652647 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,10),(13,-1),-0.484579 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,14),(14,15),-0.583136 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,16),-0.211697 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,18),0.442047 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,19),0.434611 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,20),-0.76737 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,21),0.210495 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,22),0.150025 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,23),-0.838131 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,24),-0.0445481 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,28),0.380753 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,29),-0.681079 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,30),-0.256434 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(14,15),(14,16),-0.290586 # DEPENDENCYPART_NEXTSIBL
(14,15),(14,18),-0.511997 # DEPENDENCYPART_NEXTSIBL
(14,15),(14,19),-0.47346 # DEPENDENCYPART_NEXTSIBL
(14,15),(14,20),-0.784905 # DEPENDENCYPART_NEXTSIBL
(14,15),(14,21),-0.491037 # DEPENDENCYPART_NEXTSIBL
(14,15),(14,22),-0.474894 # DEPENDENCYPART_NEXTSIBL
(14,15),(14,23),-1.01647 # DEPENDENCYPART_NEXTSIBL
(14,15),(14,24),-0.798933 # DEPENDENCYPART_NEXTSIBL
(14,15),(14,28),-1.04811 # DEPENDENCYPART_NEXTSIBL
(14,15),(14,29),-1.13489 # DEPENDENCYPART_NEXTSIBL
(14,15),(14,30),-0.748411 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,16),(14,18),-0.715374 # DEPENDENCYPART_NEXTSIBL
(14,16),(14,19),-0.89943 # DEPENDENCYPART_NEXTSIBL
(14,16),(14,20),-0.808626 # DEPENDENCYPART_NEXTSIBL
(14,16),(14,21),-0.915313 # DEPENDENCYPART_NEXTSIBL
(14,16),(14,22),-0.899252 # DEPENDENCYPART_NEXTSIBL
(14,16),(14,23),-0.864805 # DEPENDENCYPART_NEXTSIBL
(14,16),(14,24),-1.06165 # DEPENDENCYPART_NEXTSIBL
(14,16),(14,28),-1.13221 # DEPENDENCYPART_NEXTSIBL
(14,16),(14,29),-0.54574 # DEPENDENCYPART_NEXTSIBL
(14,16),(14,30),-0.71363 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,18),(14,19),-0.649551 # DEPENDENCYPART_NEXTSIBL
(14,18),(14,20),-0.769992 # DEPENDENCYPART_NEXTSIBL
(14,18),(14,21),-0.611345 # DEPENDENCYPART_NEXTSIBL
(14,18),(14,22),-0.602452 # DEPENDENCYPART_NEXTSIBL
(14,18),(14,23),-0.350003 # DEPENDENCYPART_NEXTSIBL
(14,18),(14,24),-0.648663 # DEPENDENCYPART_NEXTSIBL
(14,18),(14,28),-0.635243 # DEPENDENCYPART_NEXTSIBL
(14,18),(14,29),0.656807 # DEPENDENCYPART_NEXTSIBL
(14,18),(14,30),-0.952497 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,19),(14,20),-0.467724 # DEPENDENCYPART_NEXTSIBL
(14,19),(14,21),-0.559323 # DEPENDENCYPART_NEXTSIBL
(14,19),(14,22),-0.594599 # DEPENDENCYPART_NEXTSIBL
(14,19),(14,23),-0.700996 # DEPENDENCYPART_NEXTSIBL
(14,19),(14,24),-0.748591 # DEPENDENCYPART_NEXTSIBL
(14,19),(14,28),-0.815778 # DEPENDENCYPART_NEXTSIBL
(14,19),(14,29),-0.384246 # DEPENDENCYPART_NEXTSIBL
(14,19),(14,30),-0.88077 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,20),(14,21),-0.393209 # DEPENDENCYPART_NEXTSIBL
(14,20),(14,22),-0.535297 # DEPENDENCYPART_NEXTSIBL
(14,20),(14,23),-0.327409 # DEPENDENCYPART_NEXTSIBL
(14,20),(14,24),-0.847604 # DEPENDENCYPART_NEXTSIBL
(14,20),(14,28),-0.915838 # DEPENDENCYPART_NEXTSIBL
(14,20),(14,29),-0.367782 # DEPENDENCYPART_NEXTSIBL
(14,20),(14,30),-0.59103 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,21),(14,22),-0.537193 # DEPENDENCYPART_NEXTSIBL
(14,21),(14,23),-0.860954 # DEPENDENCYPART_NEXTSIBL
(14,21),(14,24),-0.914805 # DEPENDENCYPART_NEXTSIBL
(14,21),(14,28),-0.98568 # DEPENDENCYPART_NEXTSIBL
(14,21),(14,29),-0.602146 # DEPENDENCYPART_NEXTSIBL
(14,21),(14,30),-0.656368 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,22),(14,23),-0.355436 # DEPENDENCYPART_NEXTSIBL
(14,22),(14,24),-0.570081 # DEPENDENCYPART_NEXTSIBL
(14,22),(14,28),-0.753107 # DEPENDENCYPART_NEXTSIBL
(14,22),(14,29),-0.337015 # DEPENDENCYPART_NEXTSIBL
(14,22),(14,30),-0.779815 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,23),(14,24),-0.743424 # DEPENDENCYPART_NEXTSIBL
(14,23),(14,28),-0.743735 # DEPENDENCYPART_NEXTSIBL
(14,23),(14,29),-0.255599 # DEPENDENCYPART_NEXTSIBL
(14,23),(14,30),-0.546552 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,24),(14,28),-0.981281 # DEPENDENCYPART_NEXTSIBL
(14,24),(14,29),-0.478677 # DEPENDENCYPART_NEXTSIBL
(14,24),(14,30),-0.482438 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,28),(14,29),-0.371825 # DEPENDENCYPART_NEXTSIBL
(14,28),(14,30),-0.711473 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,29),(14,30),-2.0075 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,14),(14,13),-0.355493 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,12),-0.0458944 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,11),-0.657985 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,10),-0.0711031 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,9),-0.386889 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,8),-0.331407 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,1),-0.474591 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,-1),-0.393656 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(14,13),(14,12),-0.472662 # DEPENDENCYPART_NEXTSIBL
(14,13),(14,11),-0.873115 # DEPENDENCYPART_NEXTSIBL
(14,13),(14,10),-0.850127 # DEPENDENCYPART_NEXTSIBL
(14,13),(14,9),-0.979283 # DEPENDENCYPART_NEXTSIBL
(14,13),(14,8),-0.904231 # DEPENDENCYPART_NEXTSIBL
(14,13),(14,1),-1.17246 # DEPENDENCYPART_NEXTSIBL
(14,13),(14,-1),-0.462633 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,12),(14,11),-0.669737 # DEPENDENCYPART_NEXTSIBL
(14,12),(14,10),-0.826772 # DEPENDENCYPART_NEXTSIBL
(14,12),(14,9),-1.03266 # DEPENDENCYPART_NEXTSIBL
(14,12),(14,8),-1.01093 # DEPENDENCYPART_NEXTSIBL
(14,12),(14,1),-1.28946 # DEPENDENCYPART_NEXTSIBL
(14,12),(14,-1),-0.634123 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,11),(14,10),-0.681764 # DEPENDENCYPART_NEXTSIBL
(14,11),(14,9),-0.95456 # DEPENDENCYPART_NEXTSIBL
(14,11),(14,8),-1.01746 # DEPENDENCYPART_NEXTSIBL
(14,11),(14,1),-1.32557 # DEPENDENCYPART_NEXTSIBL
(14,11),(14,-1),-0.591126 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,10),(14,9),-0.557519 # DEPENDENCYPART_NEXTSIBL
(14,10),(14,8),-0.714498 # DEPENDENCYPART_NEXTSIBL
(14,10),(14,1),-1.11291 # DEPENDENCYPART_NEXTSIBL
(14,10),(14,-1),-0.4906 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,9),(14,8),-0.0272025 # DEPENDENCYPART_NEXTSIBL
(14,9),(14,1),-1.02921 # DEPENDENCYPART_NEXTSIBL
(14,9),(14,-1),-0.701039 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,8),(14,1),-1.20727 # DEPENDENCYPART_NEXTSIBL
(14,8),(14,-1),-0.546131 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,1),(14,-1),-0.359438 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,15),(15,30),-0.0351105 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(15,15),(15,-1),-0.127575 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(16,16),(16,17),-0.22942 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,18),0.440526 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,19),0.424561 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,21),0.200445 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,22),0.139975 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,29),-0.665544 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,30),-0.215824 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(16,17),(16,18),-0.806983 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,19),-0.968631 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,21),-1.01358 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,22),-1.01698 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,29),-0.543716 # DEPENDENCYPART_NEXTSIBL
(16,17),(16,30),-0.55942 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,18),(16,19),-0.654094 # DEPENDENCYPART_NEXTSIBL
(16,18),(16,21),-0.615889 # DEPENDENCYPART_NEXTSIBL
(16,18),(16,22),-0.606996 # DEPENDENCYPART_NEXTSIBL
(16,18),(16,29),0.66583 # DEPENDENCYPART_NEXTSIBL
(16,18),(16,30),-0.956401 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,19),(16,21),-0.567903 # DEPENDENCYPART_NEXTSIBL
(16,19),(16,22),-0.603178 # DEPENDENCYPART_NEXTSIBL
(16,19),(16,29),-0.38152 # DEPENDENCYPART_NEXTSIBL
(16,19),(16,30),-0.895975 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,21),(16,22),-0.545772 # DEPENDENCYPART_NEXTSIBL
(16,21),(16,29),-0.59942 # DEPENDENCYPART_NEXTSIBL
(16,21),(16,30),-0.671573 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,22),(16,29),-0.334289 # DEPENDENCYPART_NEXTSIBL
(16,22),(16,30),-0.79502 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,29),(16,30),-1.98933 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,16),(16,14),0.033193 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,13),-0.402064 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,12),-0.0737513 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,-1),-0.293942 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(16,14),(16,13),-0.529026 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,12),-0.659361 # DEPENDENCYPART_NEXTSIBL
(16,14),(16,-1),-0.638559 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,13),(16,12),-0.487217 # DEPENDENCYPART_NEXTSIBL
(16,13),(16,-1),-0.549495 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(16,12),(16,-1),-0.686752 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,17),(17,18),0.440526 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,29),-0.665276 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,30),-0.215006 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(17,18),(17,29),0.666098 # DEPENDENCYPART_NEXTSIBL
(17,18),(17,30),-0.956401 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,29),(17,30),-1.98853 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,17),(17,16),-0.0766101 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,15),-1.10156 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,-1),-0.299215 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(17,16),(17,15),-0.552527 # DEPENDENCYPART_NEXTSIBL
(17,16),(17,-1),-0.703635 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,15),(17,-1),-1.11292 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,18),(18,19),0.428606 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,20),-0.784095 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,21),0.182575 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,22),0.117753 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,23),-0.975116 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,24),0.172291 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,25),0.478586 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,28),0.56057 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,29),-0.963817 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,30),-0.568626 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,19),(18,20),-0.357869 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,21),-0.573507 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,22),-0.599539 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,23),-0.681743 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,24),-0.760738 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,25),-0.860109 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,28),-0.845196 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,29),-0.435389 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,30),-0.876357 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,20),(18,21),-0.359472 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,22),-0.498106 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,23),-0.230953 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,24),-0.777226 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,25),-0.571613 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,28),-0.86254 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,29),-0.313038 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,30),-0.428548 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,21),(18,22),-0.551584 # DEPENDENCYPART_NEXTSIBL
(18,21),(18,23),-0.850189 # DEPENDENCYPART_NEXTSIBL
(18,21),(18,24),-0.935642 # DEPENDENCYPART_NEXTSIBL
(18,21),(18,25),-0.98091 # DEPENDENCYPART_NEXTSIBL
(18,21),(18,28),-1.02379 # DEPENDENCYPART_NEXTSIBL
(18,21),(18,29),-0.65811 # DEPENDENCYPART_NEXTSIBL
(18,21),(18,30),-0.66391 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,22),(18,23),-0.342701 # DEPENDENCYPART_NEXTSIBL
(18,22),(18,24),-0.586835 # DEPENDENCYPART_NEXTSIBL
(18,22),(18,25),-0.713669 # DEPENDENCYPART_NEXTSIBL
(18,22),(18,28),-0.787131 # DEPENDENCYPART_NEXTSIBL
(18,22),(18,29),-0.392914 # DEPENDENCYPART_NEXTSIBL
(18,22),(18,30),-0.780146 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,23),(18,24),-0.729687 # DEPENDENCYPART_NEXTSIBL
(18,23),(18,25),-0.652342 # DEPENDENCYPART_NEXTSIBL
(18,23),(18,28),-0.748614 # DEPENDENCYPART_NEXTSIBL
(18,23),(18,29),-0.279394 # DEPENDENCYPART_NEXTSIBL
(18,23),(18,30),-0.492629 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,24),(18,25),-0.572653 # DEPENDENCYPART_NEXTSIBL
(18,24),(18,28),-0.94829 # DEPENDENCYPART_NEXTSIBL
(18,24),(18,29),-0.542649 # DEPENDENCYPART_NEXTSIBL
(18,24),(18,30),-0.489841 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,25),(18,28),-0.824978 # DEPENDENCYPART_NEXTSIBL
(18,25),(18,29),-0.307296 # DEPENDENCYPART_NEXTSIBL
(18,25),(18,30),-0.425905 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,28),(18,29),-0.473259 # DEPENDENCYPART_NEXTSIBL
(18,28),(18,30),-0.786611 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,29),(18,30),-2.03744 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,18),(18,17),-0.00424017 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,16),0.00651605 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,15),-1.24488 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,14),0.205283 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,13),-0.421478 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,12),-0.158033 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,11),-0.726178 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,10),-0.187712 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,9),-0.0454585 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,8),-0.419591 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,7),-0.0634748 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
