# _root_ Money funds invest in such things as short-term Treasury securities , commercial paper and certificates of deposit , all of which have been posting lower interest rates since last spring .
#goldHeads=2,3,0,3,6,4,6,10,10,14,14,13,14,7,14,15,16,14,20,22,20,14,22,23,27,27,24,24,30,28,3,
#predictedHeads=2,3,0,3,6,4,6,10,10,14,14,13,14,7,14,15,16,17,20,22,20,17,22,23,27,27,24,24,30,28,3,
(26,28),(28,26),-0.693879 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(26,28),(28,27),0.511711 # DEPENDENCYPART_GRANDPAR
(26,28),(28,29),0.245785 # DEPENDENCYPART_GRANDPAR
(26,28),(28,30),0.153763 # DEPENDENCYPART_GRANDPAR
(26,29),(29,25),-0.341877 # DEPENDENCYPART_GRANDPAR
(26,29),(29,26),-0.675297 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(26,29),(29,27),0.529737 # DEPENDENCYPART_GRANDPAR
(26,30),(30,25),-0.401636 # DEPENDENCYPART_GRANDPAR
(26,30),(30,26),-0.627644 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(26,30),(30,27),0.584565 # DEPENDENCYPART_GRANDPAR
(26,30),(30,28),0.174147 # DEPENDENCYPART_GRANDPAR
(26,30),(30,29),0.346058 # DEPENDENCYPART_GRANDPAR
(26,30),(30,31),0.123174 # DEPENDENCYPART_GRANDPAR
(27,19),(19,18),-0.100487 # DEPENDENCYPART_GRANDPAR
(27,19),(19,20),-0.391115 # DEPENDENCYPART_GRANDPAR
(27,19),(19,22),-0.049118 # DEPENDENCYPART_GRANDPAR
(27,19),(19,23),-0.0128784 # DEPENDENCYPART_GRANDPAR
(27,19),(19,24),-0.0239226 # DEPENDENCYPART_GRANDPAR
(27,19),(19,28),-0.239192 # DEPENDENCYPART_GRANDPAR
(27,20),(20,16),-0.0844924 # DEPENDENCYPART_GRANDPAR
(27,20),(20,17),-0.164581 # DEPENDENCYPART_GRANDPAR
(27,20),(20,18),0.00590271 # DEPENDENCYPART_GRANDPAR
(27,20),(20,19),-0.221156 # DEPENDENCYPART_GRANDPAR
(27,20),(20,21),0.975766 # DEPENDENCYPART_GRANDPAR
(27,20),(20,22),-0.0441745 # DEPENDENCYPART_GRANDPAR
(27,20),(20,24),-0.0110755 # DEPENDENCYPART_GRANDPAR
(27,20),(20,25),0.267288 # DEPENDENCYPART_GRANDPAR
(27,20),(20,26),0.190715 # DEPENDENCYPART_GRANDPAR
(27,20),(20,27),-1.10346 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(27,20),(20,30),-0.429927 # DEPENDENCYPART_GRANDPAR
(27,23),(23,4),-0.65081 # DEPENDENCYPART_GRANDPAR
(27,23),(23,19),-0.324513 # DEPENDENCYPART_GRANDPAR
(27,23),(23,20),-0.257766 # DEPENDENCYPART_GRANDPAR
(27,23),(23,21),0.241487 # DEPENDENCYPART_GRANDPAR
(27,23),(23,24),0.00185567 # DEPENDENCYPART_GRANDPAR
(27,23),(23,25),0.238568 # DEPENDENCYPART_GRANDPAR
(27,23),(23,26),0.226332 # DEPENDENCYPART_GRANDPAR
(27,23),(23,27),-1.19568 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(27,23),(23,28),-0.407042 # DEPENDENCYPART_GRANDPAR
(27,23),(23,29),-0.428285 # DEPENDENCYPART_GRANDPAR
(27,23),(23,30),-0.522044 # DEPENDENCYPART_GRANDPAR
(27,23),(23,31),-0.471499 # DEPENDENCYPART_GRANDPAR
(27,24),(24,10),-0.716721 # DEPENDENCYPART_GRANDPAR
(27,24),(24,20),-0.267229 # DEPENDENCYPART_GRANDPAR
(27,24),(24,21),0.236497 # DEPENDENCYPART_GRANDPAR
(27,24),(24,23),-0.146075 # DEPENDENCYPART_GRANDPAR
(27,24),(24,25),0.220537 # DEPENDENCYPART_GRANDPAR
(27,24),(24,26),0.21494 # DEPENDENCYPART_GRANDPAR
(27,24),(24,27),-1.19624 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(27,24),(24,28),-0.401784 # DEPENDENCYPART_GRANDPAR
(27,24),(24,29),-0.428878 # DEPENDENCYPART_GRANDPAR
(27,24),(24,30),-0.522605 # DEPENDENCYPART_GRANDPAR
(27,24),(24,31),-0.472167 # DEPENDENCYPART_GRANDPAR
(27,25),(25,26),0.292104 # DEPENDENCYPART_GRANDPAR
(27,25),(25,28),-0.224324 # DEPENDENCYPART_GRANDPAR
(27,25),(25,29),-0.336768 # DEPENDENCYPART_GRANDPAR
(27,25),(25,30),-0.3804 # DEPENDENCYPART_GRANDPAR
(27,26),(26,21),0.342584 # DEPENDENCYPART_GRANDPAR
(27,26),(26,24),-0.117656 # DEPENDENCYPART_GRANDPAR
(27,26),(26,25),0.215781 # DEPENDENCYPART_GRANDPAR
(27,26),(26,27),-1.05716 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(27,26),(26,28),-0.260823 # DEPENDENCYPART_GRANDPAR
(27,26),(26,29),-0.397495 # DEPENDENCYPART_GRANDPAR
(27,26),(26,30),-0.383797 # DEPENDENCYPART_GRANDPAR
(27,28),(28,25),-0.151785 # DEPENDENCYPART_GRANDPAR
(27,28),(28,26),-0.235992 # DEPENDENCYPART_GRANDPAR
(27,28),(28,27),-0.609863 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(27,28),(28,29),0.0809733 # DEPENDENCYPART_GRANDPAR
(27,28),(28,30),0.134817 # DEPENDENCYPART_GRANDPAR
(27,29),(29,25),-0.137169 # DEPENDENCYPART_GRANDPAR
(27,29),(29,26),-0.194865 # DEPENDENCYPART_GRANDPAR
(27,29),(29,27),-0.586651 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(27,30),(30,25),-0.196967 # DEPENDENCYPART_GRANDPAR
(27,30),(30,26),-0.197654 # DEPENDENCYPART_GRANDPAR
(27,30),(30,27),-0.596126 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(27,30),(30,28),0.142052 # DEPENDENCYPART_GRANDPAR
(27,30),(30,29),0.141853 # DEPENDENCYPART_GRANDPAR
(27,30),(30,31),0.139824 # DEPENDENCYPART_GRANDPAR
(27,31),(31,29),0.0921649 # DEPENDENCYPART_GRANDPAR
(27,31),(31,30),0.0264501 # DEPENDENCYPART_GRANDPAR
(28,25),(25,26),-0.346305 # DEPENDENCYPART_GRANDPAR
(28,25),(25,28),-1.03021 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(28,25),(25,29),0.175709 # DEPENDENCYPART_GRANDPAR
(28,25),(25,30),0.242178 # DEPENDENCYPART_GRANDPAR
(28,26),(26,21),-0.154564 # DEPENDENCYPART_GRANDPAR
(28,26),(26,24),-0.213319 # DEPENDENCYPART_GRANDPAR
(28,26),(26,25),-0.208236 # DEPENDENCYPART_GRANDPAR
(28,26),(26,27),-0.260799 # DEPENDENCYPART_GRANDPAR
(28,26),(26,28),-1.06065 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(28,26),(26,29),0.119578 # DEPENDENCYPART_GRANDPAR
(28,26),(26,30),0.243989 # DEPENDENCYPART_GRANDPAR
(28,27),(27,19),-0.181594 # DEPENDENCYPART_GRANDPAR
(28,27),(27,20),-0.00737046 # DEPENDENCYPART_GRANDPAR
(28,27),(27,23),-0.19078 # DEPENDENCYPART_GRANDPAR
(28,27),(27,24),-0.194762 # DEPENDENCYPART_GRANDPAR
(28,27),(27,25),-0.218536 # DEPENDENCYPART_GRANDPAR
(28,27),(27,26),-0.374446 # DEPENDENCYPART_GRANDPAR
(28,27),(27,28),-1.05133 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(28,27),(27,29),0.119563 # DEPENDENCYPART_GRANDPAR
(28,27),(27,30),0.243952 # DEPENDENCYPART_GRANDPAR
(28,27),(27,31),-0.511996 # DEPENDENCYPART_GRANDPAR
(28,29),(29,25),-0.645984 # DEPENDENCYPART_GRANDPAR
(28,29),(29,26),-0.81399 # DEPENDENCYPART_GRANDPAR
(28,29),(29,27),-0.752428 # DEPENDENCYPART_GRANDPAR
(28,30),(30,25),-0.701867 # DEPENDENCYPART_GRANDPAR
(28,30),(30,26),-0.812251 # DEPENDENCYPART_GRANDPAR
(28,30),(30,27),-0.750835 # DEPENDENCYPART_GRANDPAR
(28,30),(30,28),-0.752438 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(28,30),(30,29),0.603027 # DEPENDENCYPART_GRANDPAR
(28,30),(30,31),-0.0192631 # DEPENDENCYPART_GRANDPAR
(29,25),(25,26),-0.343957 # DEPENDENCYPART_GRANDPAR
(29,25),(25,28),-0.156205 # DEPENDENCYPART_GRANDPAR
(29,25),(25,29),-1.38409 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(29,25),(25,30),-0.192683 # DEPENDENCYPART_GRANDPAR
(29,26),(26,21),0.139007 # DEPENDENCYPART_GRANDPAR
(29,26),(26,24),-0.592672 # DEPENDENCYPART_GRANDPAR
(29,26),(26,25),-0.289486 # DEPENDENCYPART_GRANDPAR
(29,26),(26,27),-0.346522 # DEPENDENCYPART_GRANDPAR
(29,26),(26,28),-0.188509 # DEPENDENCYPART_GRANDPAR
(29,26),(26,29),-1.41035 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(29,26),(26,30),-0.153363 # DEPENDENCYPART_GRANDPAR
(29,27),(27,19),-0.545555 # DEPENDENCYPART_GRANDPAR
(29,27),(27,20),-0.284282 # DEPENDENCYPART_GRANDPAR
(29,27),(27,23),-0.584094 # DEPENDENCYPART_GRANDPAR
(29,27),(27,24),-0.571506 # DEPENDENCYPART_GRANDPAR
(29,27),(27,25),-0.289604 # DEPENDENCYPART_GRANDPAR
(29,27),(27,26),-0.373431 # DEPENDENCYPART_GRANDPAR
(29,27),(27,28),-0.184432 # DEPENDENCYPART_GRANDPAR
(29,27),(27,29),-1.41035 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(29,27),(27,30),-0.153384 # DEPENDENCYPART_GRANDPAR
(29,27),(27,31),-0.444163 # DEPENDENCYPART_GRANDPAR
(30,25),(25,26),-0.174602 # DEPENDENCYPART_GRANDPAR
(30,25),(25,28),-0.276755 # DEPENDENCYPART_GRANDPAR
(30,25),(25,29),0.325548 # DEPENDENCYPART_GRANDPAR
(30,25),(25,30),-1.23676 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(30,26),(26,21),0.129943 # DEPENDENCYPART_GRANDPAR
(30,26),(26,24),-0.606066 # DEPENDENCYPART_GRANDPAR
(30,26),(26,25),-0.284164 # DEPENDENCYPART_GRANDPAR
(30,26),(26,27),-0.28909 # DEPENDENCYPART_GRANDPAR
(30,26),(26,28),-0.262191 # DEPENDENCYPART_GRANDPAR
(30,26),(26,29),0.367158 # DEPENDENCYPART_GRANDPAR
(30,26),(26,30),-1.24008 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(30,27),(27,19),-0.697878 # DEPENDENCYPART_GRANDPAR
(30,27),(27,20),-0.681466 # DEPENDENCYPART_GRANDPAR
(30,27),(27,23),-0.611722 # DEPENDENCYPART_GRANDPAR
(30,27),(27,24),-0.600854 # DEPENDENCYPART_GRANDPAR
(30,27),(27,25),-0.306791 # DEPENDENCYPART_GRANDPAR
(30,27),(27,26),-0.0783509 # DEPENDENCYPART_GRANDPAR
(30,27),(27,28),-0.260525 # DEPENDENCYPART_GRANDPAR
(30,27),(27,29),0.37302 # DEPENDENCYPART_GRANDPAR
(30,27),(27,30),-1.23959 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(30,27),(27,31),-0.246073 # DEPENDENCYPART_GRANDPAR
(30,28),(28,25),-0.203582 # DEPENDENCYPART_GRANDPAR
(30,28),(28,26),-0.10564 # DEPENDENCYPART_GRANDPAR
(30,28),(28,27),-0.231487 # DEPENDENCYPART_GRANDPAR
(30,28),(28,29),0.325415 # DEPENDENCYPART_GRANDPAR
(30,28),(28,30),-1.27799 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(30,29),(29,25),-0.177329 # DEPENDENCYPART_GRANDPAR
(30,29),(29,26),-0.057136 # DEPENDENCYPART_GRANDPAR
(30,29),(29,27),-0.193491 # DEPENDENCYPART_GRANDPAR
(30,31),(31,29),-0.146218 # DEPENDENCYPART_GRANDPAR
(30,31),(31,30),-0.828166 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(31,29),(29,25),-0.353795 # DEPENDENCYPART_GRANDPAR
(31,29),(29,26),-0.445828 # DEPENDENCYPART_GRANDPAR
(31,29),(29,27),-0.384843 # DEPENDENCYPART_GRANDPAR
(31,30),(30,25),-0.422142 # DEPENDENCYPART_GRANDPAR
(31,30),(30,26),-0.45829 # DEPENDENCYPART_GRANDPAR
(31,30),(30,27),-0.406436 # DEPENDENCYPART_GRANDPAR
(31,30),(30,28),-0.199079 # DEPENDENCYPART_GRANDPAR
(31,30),(30,29),-0.247401 # DEPENDENCYPART_GRANDPAR
(31,30),(30,31),-0.95924 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(0,1),(1,1),(1,2),-0.0208045 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,3),-0.0877434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,4),-0.0645535 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,6),-0.0203685 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,7),-0.0580396 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,32),-0.0458627 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,1),(1,2),(1,3),-0.0264561 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,4),-0.0237812 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,6),0.00335548 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,7),-0.0237979 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,2),(1,32),-0.0279941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,3),(1,4),-0.0157219 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,6),-0.0214097 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,7),-0.0157097 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,3),(1,32),-0.0342686 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,4),(1,6),-0.0196243 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,4),(1,7),0.00317491 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,4),(1,32),-0.0778405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,6),(1,7),-0.0237979 # DEPENDENCYPART_GRANDSIBL
(0,1),(1,6),(1,32),-0.0279941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,7),(1,32),-0.0754433 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,1),(1,-1),-0.275735 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,2),(2,2),(2,3),-0.0877439 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,4),-0.0645778 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,5),-0.0214263 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,6),-0.0203691 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,7),-0.0580639 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,10),-0.0216096 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,11),-0.0577807 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,14),-0.0755172 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,18),-0.0577807 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,19),-0.0195508 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,23),-0.0877448 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,31),0.00810305 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,32),-0.0470728 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,2),(2,3),(2,4),-0.0157219 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,5),-0.0195551 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,6),-0.0214097 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,7),-0.0157097 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,10),-0.0214097 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,11),-0.0544907 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,14),-0.0197017 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,18),-0.0544907 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,19),-0.0194445 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,23),-0.000402507 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,31),-0.138336 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,3),(2,32),-0.0342926 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,4),(2,5),-0.0111452 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,6),-0.0196252 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,7),0.00317491 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,10),-0.0196252 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,11),-0.00880202 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,14),-0.021174 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,18),-0.00880202 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,23),-0.0298477 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,31),0.0038829 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,4),(2,32),-0.0778405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,5),(2,6),-0.0201429 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,7),-0.0196463 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,10),-0.0201429 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,11),-0.0084275 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,14),-0.0206515 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,18),-0.0084275 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,23),-0.0206008 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,31),-0.00919404 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,5),(2,32),-0.0304649 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,6),(2,7),-0.0237979 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,10),0.00321238 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,11),-0.0177963 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,14),-0.0203337 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,18),-0.0177963 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,19),-0.0194489 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,23),-0.0264556 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,31),0.0670035 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,6),(2,32),-0.0285901 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,7),(2,10),-0.0186018 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,7),(2,11),-0.00902089 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,7),(2,14),-0.0211298 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,7),(2,18),-0.00902089 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,7),(2,19),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,7),(2,23),-0.0315407 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,7),(2,31),0.00585227 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,7),(2,32),-0.0754433 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,10),(2,11),-0.0177963 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,14),-0.0203337 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,18),-0.0177963 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,19),-0.0194489 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,23),-0.0264556 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,31),0.0669998 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,10),(2,32),-0.0298273 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,11),(2,14),-0.0181501 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,11),(2,18),-0.0203913 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,11),(2,19),-0.0204448 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,11),(2,23),-0.0651075 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,11),(2,31),-0.0384841 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,11),(2,32),-0.0393271 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,14),(2,18),-0.161422 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,14),(2,19),-0.130899 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,14),(2,23),0.0411609 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,14),(2,31),0.294214 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,14),(2,32),-0.052972 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,18),(2,19),-0.0204448 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,18),(2,23),-0.0651075 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,18),(2,31),-0.0384841 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,18),(2,32),-0.0393271 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,19),(2,23),-0.0194445 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,19),(2,31),-0.0204042 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,19),(2,32),-0.0197319 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,23),(2,31),-0.138377 # DEPENDENCYPART_GRANDSIBL
(0,2),(2,23),(2,32),-0.0342976 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,31),(2,32),-0.0103958 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,2),(2,2),(2,1),0.233426 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,-1),-0.275756 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,2),(2,1),(2,-1),-0.109633 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,3),(3,4),-0.165635 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,5),0.0582499 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,6),-0.0324712 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,7),-0.189281 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,8),0.0614191 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,10),-0.0308358 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,11),0.0139113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,12),0.0614153 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,14),0.0875272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,18),0.0139113 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,22),-0.0450796 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,24),-0.0454404 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,28),-0.167802 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,31),-0.111076 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,3),(3,3),(3,32),-0.195809 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,3),(3,4),(3,5),-0.0310113 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,6),-0.00345167 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,7),-0.0154958 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,8),-0.0310113 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,10),-0.00127562 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,11),0.0316811 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,12),-0.0310113 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,14),-0.0680043 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,18),0.0316811 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,22),-0.0450338 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,24),-0.0497703 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,28),-0.0174737 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,31),0.111623 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,4),(3,32),-0.0620234 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,5),(3,6),-0.0206409 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,7),-0.00886026 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,8),-0.0219434 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,10),-0.0206409 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,11),-0.0672847 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,12),-0.0219434 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,14),-0.0266165 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,18),-0.0672847 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,22),-0.033535 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,24),-0.0295603 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,28),0.00193282 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,31),0.0666349 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,5),(3,32),-0.0328276 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,3),(3,6),(3,7),0.0964763 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,8),-0.0350245 # DEPENDENCYPART_GRANDSIBL
(0,3),(3,6),(3,10),0.0259364 # DEPENDENCYPART_GRANDSIBL
