# _root_ Jerome Kern , Tele-Communications ' chief outside counsel , said he was n't aware of Time 's legal plans .
#goldHeads=2,10,2,8,4,8,8,2,2,0,12,10,12,12,14,19,16,19,15,10,
#predictedHeads=2,10,2,8,4,8,8,2,2,0,12,10,12,12,14,19,16,19,15,10,
(2,10),(10,18),(10,20),-0.0428785 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,18),(10,21),0.032703 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,19),(10,20),-0.055061 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,19),(10,21),-0.0665015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,20),(10,21),-0.0871039 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,10),(10,9),0.137605 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,8),0.163151 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,7),0.0455558 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,6),0.0458248 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,4),0.162553 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,3),0.137605 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,2),0.163153 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,10),(10,10),(10,1),-0.175323 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,10),(10,-1),0.00686374 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,10),(10,9),(10,8),0.117201 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,9),(10,7),0.114381 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,9),(10,6),0.114392 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,9),(10,4),0.117201 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,9),(10,3),0.118649 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,9),(10,2),0.117201 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,9),(10,1),-0.125319 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,9),(10,-1),-0.191154 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,8),(10,7),0.115691 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,6),0.116152 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,4),0.09363 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,3),0.0555256 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,2),0.09363 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,8),(10,1),-0.124895 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,8),(10,-1),-0.0161376 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,7),(10,6),0.117954 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,7),(10,4),0.118035 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,7),(10,3),0.120706 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,7),(10,2),0.118035 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,7),(10,1),-0.124907 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,7),(10,-1),-0.205466 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,6),(10,4),0.11805 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,6),(10,3),0.120703 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,6),(10,2),0.11805 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,6),(10,1),-0.124907 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,6),(10,-1),-0.205008 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,4),(10,3),0.0555256 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,4),(10,2),0.0936301 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,4),(10,1),-0.124895 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,4),(10,-1),-0.0167357 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,3),(10,2),0.117201 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,3),(10,1),-0.125319 # DEPENDENCYPART_GRANDSIBL
(2,10),(10,3),(10,-1),-0.191154 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,10),(10,2),(10,1),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,10),(10,2),(10,-1),-0.0161355 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,10),(10,1),(10,-1),-0.0161355 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,12),(12,13),-0.0080519 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,14),-0.00297368 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,15),-0.0448614 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,16),-0.0271812 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,18),-0.00205628 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,19),-0.0281205 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,20),-0.048883 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,21),0.0694651 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,12),(12,13),(12,14),-0.0481215 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,15),-0.0268505 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,16),-0.0374385 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,18),-0.0477678 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,19),-0.0368763 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,20),-0.0467789 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,13),(12,21),0.00761232 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,14),(12,15),-0.0558366 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,16),-0.0377882 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,18),-0.0454799 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,19),-0.0377882 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,20),-0.0429337 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,14),(12,21),0.0465659 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,15),(12,16),-0.0435287 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,18),-0.046124 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,19),-0.043247 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,20),-0.053067 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,15),(12,21),-0.0418804 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,16),(12,18),-0.0389477 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,19),-0.0355017 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,20),-0.0554613 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,16),(12,21),-0.0515387 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,18),(12,19),-0.0377882 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,18),(12,20),-0.0429337 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,18),(12,21),0.0478307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,19),(12,20),-0.0554613 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,19),(12,21),-0.0452115 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,20),(12,21),-0.0875764 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,12),(12,11),0.1218 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,10),0.167282 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,9),0.14433 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,8),0.167893 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,7),0.0425042 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,6),0.0427733 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,3),0.14433 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,2),0.167895 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,12),(12,12),(12,1),-0.175608 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,12),(12,-1),0.0255893 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,12),(12,11),(12,10),0.115707 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,11),(12,9),0.104692 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,11),(12,8),0.116088 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,11),(12,7),0.121805 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,11),(12,6),0.121805 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,11),(12,3),0.104692 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,11),(12,2),0.116088 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,11),(12,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,11),(12,-1),0.0511977 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,10),(12,9),0.129846 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,10),(12,8),0.116115 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,10),(12,7),0.118506 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,10),(12,6),0.118506 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,10),(12,3),0.129846 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,10),(12,2),0.116115 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,10),(12,1),-0.124893 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,10),(12,-1),-0.147778 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,9),(12,8),0.119015 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,9),(12,7),0.114369 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,9),(12,6),0.11438 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,9),(12,3),0.11865 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,9),(12,2),0.119015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,9),(12,1),-0.125259 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,9),(12,-1),-0.191256 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,8),(12,7),0.115675 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,8),(12,6),0.116136 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,8),(12,3),0.0524131 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,8),(12,2),0.092243 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,8),(12,1),-0.124895 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,8),(12,-1),-0.0143878 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,7),(12,6),0.117964 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,7),(12,3),0.120659 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,7),(12,2),0.117992 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,7),(12,1),-0.124907 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,7),(12,-1),-0.206157 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,6),(12,3),0.120656 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,6),(12,2),0.118008 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,6),(12,1),-0.124907 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,6),(12,-1),-0.2057 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,3),(12,2),0.119015 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,3),(12,1),-0.125259 # DEPENDENCYPART_GRANDSIBL
(2,12),(12,3),(12,-1),-0.191256 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,12),(12,2),(12,1),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,12),(12,2),(12,-1),-0.0143857 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,12),(12,1),(12,-1),-0.0143857 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,13),(13,14),-0.0232646 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,15),-0.062811 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,16),0.00840294 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,18),-0.0232646 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,19),0.00843405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,21),-0.0313371 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,13),(13,14),(13,15),-0.047132 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,14),(13,16),-0.0395313 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,14),(13,18),-0.0419994 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,14),(13,19),-0.0395313 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,14),(13,21),-0.00984965 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,15),(13,16),-0.0511586 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,15),(13,18),-0.0438334 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,15),(13,19),-0.0511586 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,15),(13,21),-0.0311506 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,16),(13,18),-0.0360016 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,16),(13,19),-0.0430067 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,16),(13,21),-0.0917589 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,18),(13,19),-0.0395313 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,18),(13,21),-0.00984965 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,19),(13,21),-0.0917604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,13),(13,11),0.114341 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,9),0.157847 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,8),0.108557 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,13),(13,13),(13,2),0.108557 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,13),(13,13),(13,-1),-0.210296 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,13),(13,11),(13,9),0.119155 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,11),(13,8),0.119164 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,11),(13,2),0.119164 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,11),(13,-1),-0.126738 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,9),(13,8),0.104393 # DEPENDENCYPART_GRANDSIBL
(2,13),(13,9),(13,2),0.104393 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,9),(13,-1),-0.114962 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,8),(13,2),0.118858 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,8),(13,-1),-0.133733 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,13),(13,2),(13,-1),-0.133733 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,15),(15,15),(15,16),0.0607713 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,15),(15,15),(15,18),-0.0321366 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,15),(15,15),(15,19),0.112875 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,15),(15,15),(15,21),-0.417469 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,15),(15,16),(15,18),-0.0448559 # DEPENDENCYPART_GRANDSIBL
(2,15),(15,16),(15,19),-0.086331 # DEPENDENCYPART_GRANDSIBL
(2,15),(15,16),(15,21),0.00637555 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,15),(15,18),(15,19),-0.0439844 # DEPENDENCYPART_GRANDSIBL
(2,15),(15,18),(15,21),-0.0137631 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,15),(15,19),(15,21),0.0595791 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,15),(15,15),(15,14),0.123999 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,15),(15,15),(15,13),0.108822 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,15),(15,15),(15,-1),0.0159618 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,15),(15,14),(15,13),0.105873 # DEPENDENCYPART_GRANDSIBL
(2,15),(15,14),(15,-1),-0.171051 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,15),(15,13),(15,-1),-0.189216 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,19),(19,19),(19,20),0.0853674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,19),(19,19),(19,21),0.102007 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,19),(19,20),(19,21),0.0957853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,19),(19,19),(19,18),0.0929026 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,19),(19,19),(19,17),0.233032 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,19),(19,19),(19,16),0.150123 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,19),(19,19),(19,15),0.255215 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,19),(19,19),(19,14),0.0925063 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,19),(19,19),(19,13),0.104981 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,19),(19,19),(19,9),0.165769 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,19),(19,19),(19,-1),0.0241344 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,19),(19,18),(19,17),0.121763 # DEPENDENCYPART_GRANDSIBL
(2,19),(19,18),(19,16),0.135849 # DEPENDENCYPART_GRANDSIBL
(2,19),(19,18),(19,15),0.115596 # DEPENDENCYPART_GRANDSIBL
(2,19),(19,18),(19,14),0.131007 # DEPENDENCYPART_GRANDSIBL
(2,19),(19,18),(19,13),0.124414 # DEPENDENCYPART_GRANDSIBL
(2,19),(19,18),(19,9),0.090421 # DEPENDENCYPART_GRANDSIBL
(2,19),(19,18),(19,-1),-0.15738 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,19),(19,17),(19,16),0.112199 # DEPENDENCYPART_GRANDSIBL
(2,19),(19,17),(19,15),0.119033 # DEPENDENCYPART_GRANDSIBL
(2,19),(19,17),(19,14),0.112587 # DEPENDENCYPART_GRANDSIBL
(2,19),(19,17),(19,13),0.115989 # DEPENDENCYPART_GRANDSIBL
(2,19),(19,17),(19,9),0.118673 # DEPENDENCYPART_GRANDSIBL
(2,19),(19,17),(19,-1),0.0745079 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,19),(19,16),(19,15),0.1096 # DEPENDENCYPART_GRANDSIBL
(2,19),(19,16),(19,14),0.150802 # DEPENDENCYPART_GRANDSIBL
(2,19),(19,16),(19,13),0.111072 # DEPENDENCYPART_GRANDSIBL
(2,19),(19,16),(19,9),0.122622 # DEPENDENCYPART_GRANDSIBL
(2,19),(19,16),(19,-1),-0.1418 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,19),(19,15),(19,14),0.119719 # DEPENDENCYPART_GRANDSIBL
(2,19),(19,15),(19,13),0.118102 # DEPENDENCYPART_GRANDSIBL
(2,19),(19,15),(19,9),0.111334 # DEPENDENCYPART_GRANDSIBL
(2,19),(19,15),(19,-1),-0.0689903 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,19),(19,14),(19,13),0.124414 # DEPENDENCYPART_GRANDSIBL
(2,19),(19,14),(19,9),0.090421 # DEPENDENCYPART_GRANDSIBL
(2,19),(19,14),(19,-1),-0.157366 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,19),(19,13),(19,9),0.115504 # DEPENDENCYPART_GRANDSIBL
(2,19),(19,13),(19,-1),-0.119138 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,19),(19,9),(19,-1),-0.00375411 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,20),(20,20),(20,21),-0.00516429 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,20),(20,20),(20,-1),-0.0509467 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,1),(1,1),(1,2),0.152147 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,3),0.165792 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,4),-0.141313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,1),(1,1),(1,5),-0.127667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,6),-0.126121 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,8),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,9),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,1),(1,21),0.0235358 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,1),(1,2),(1,3),0.122624 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,4),-0.125449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,2),(1,5),-0.124925 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,6),-0.125358 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,8),-0.125449 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,9),-0.126785 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,2),(1,21),-0.142013 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,3),(1,4),-0.129532 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,3),(1,5),-0.124886 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,6),-0.127312 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,8),-0.129532 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,9),-0.125325 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,3),(1,21),-0.00337565 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,4),(1,5),-0.124925 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,6),-0.125358 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,8),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,9),-0.126785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,1),(1,4),(1,21),-0.142034 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,1),(1,5),(1,6),-0.124885 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,8),-0.124899 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,9),-0.125245 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,5),(1,21),0.00301572 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,6),(1,8),-0.124914 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,6),(1,9),-0.125225 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,6),(1,21),-0.152952 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,8),(1,9),-0.126785 # DEPENDENCYPART_GRANDSIBL
(4,1),(1,8),(1,21),-0.142693 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,9),(1,21),-0.00337565 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,1),(1,1),(1,-1),0.0989869 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,2),(2,2),(2,3),0.165792 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,4),-0.141313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,2),(2,2),(2,5),-0.127667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,6),-0.126121 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,7),-0.126121 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,8),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,9),-0.129725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,10),-0.15429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,12),-0.154371 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,13),-0.124906 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,15),-0.150131 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,19),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,20),-0.125132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(4,2),(2,2),(2,21),0.0227726 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(4,2),(2,3),(2,4),-0.129532 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(4,2),(2,3),(2,5),-0.124886 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,6),-0.127312 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,7),-0.12731 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,8),-0.129532 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,9),-0.125325 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,10),-0.127045 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,12),-0.127235 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,13),-0.126135 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,15),-0.125645 # DEPENDENCYPART_GRANDSIBL
(4,2),(2,3),(2,19),-0.129535 # DEPENDENCYPART_GRANDSIBL
