# _root_ The Dutch unit , known as Celtona B.V. , is a leading maker of consumer and away-from-home tissue products for the Benelux region .
#goldHeads=3,3,10,3,3,5,8,6,3,0,13,13,10,13,16,19,16,19,14,19,23,23,20,10,
#predictedHeads=3,3,10,3,3,5,8,6,3,0,13,13,10,13,16,14,19,19,16,19,23,23,20,10,
(3,3),(3,8),-0.661982 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,9),-0.805451 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,10),0.0056731 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,11),-1.04613 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,12),-0.0304162 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,13),-0.0693075 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,14),0.0182286 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,24),-0.598559 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,25),-0.236511 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,4),(3,5),0.409746 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,6),-0.275859 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,8),-0.294402 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,9),-1.26578 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,10),-0.0806338 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,11),-0.563577 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,12),-0.406045 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,13),-0.361664 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,14),-0.903647 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,24),-1.32271 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,25),-1.02643 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,5),(3,6),-0.315366 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,8),-0.512089 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,9),0.291127 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,10),-0.542094 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,11),-0.619681 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,12),-0.532003 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,13),-0.498882 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,14),-0.359911 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,24),-0.101361 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,25),-0.604305 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,6),(3,8),-0.671608 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,9),-0.46796 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,10),-0.842805 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,11),-0.957513 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,12),-0.784772 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,13),-0.729412 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,14),-0.998202 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,24),-0.803201 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,25),-0.715954 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,8),(3,9),-0.111306 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,10),-0.895412 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,11),-1.01225 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,12),-1.03349 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,13),-1.12232 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,14),-0.757118 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,24),-0.312835 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,25),-0.682348 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,9),(3,10),0.0813555 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,11),-0.662033 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,12),-0.52123 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,13),-0.514647 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,14),-0.753041 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,24),-1.32752 # DEPENDENCYPART_NEXTSIBL
(3,9),(3,25),-0.41293 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,10),(3,11),-0.464804 # DEPENDENCYPART_NEXTSIBL
(3,10),(3,12),-0.543768 # DEPENDENCYPART_NEXTSIBL
(3,10),(3,13),-0.436992 # DEPENDENCYPART_NEXTSIBL
(3,10),(3,14),-0.344403 # DEPENDENCYPART_NEXTSIBL
(3,10),(3,24),0.551602 # DEPENDENCYPART_NEXTSIBL
(3,10),(3,25),-0.553713 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,11),(3,12),-0.521295 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,13),-0.705906 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,14),-0.792611 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,24),-1.01891 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,25),-1.02276 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,12),(3,13),-0.884253 # DEPENDENCYPART_NEXTSIBL
(3,12),(3,14),-0.808275 # DEPENDENCYPART_NEXTSIBL
(3,12),(3,24),-0.140307 # DEPENDENCYPART_NEXTSIBL
(3,12),(3,25),-0.71865 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,13),(3,14),-0.254382 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,24),-0.0833542 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,25),-0.744021 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,14),(3,24),-0.47377 # DEPENDENCYPART_NEXTSIBL
(3,14),(3,25),-0.251437 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,24),(3,25),-1.39809 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,2),-0.337078 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,1),-0.322449 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,-1),-0.338253 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,2),(3,1),-0.120048 # DEPENDENCYPART_NEXTSIBL
(3,2),(3,-1),-0.740348 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,1),(3,-1),0.0301271 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,4),(4,25),-0.0570091 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,4),(4,-1),-0.149473 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,5),(5,6),-0.343779 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,7),-0.250348 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,8),-0.443078 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,9),-0.872493 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,10),-0.119441 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,12),-0.0889801 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,24),-0.946724 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,25),-0.550514 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,6),(5,7),-0.83779 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,8),-0.683209 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,9),-0.488273 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,10),-0.974065 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,12),-0.900521 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,24),-0.822254 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,25),-0.727921 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,7),(5,8),-1.1644 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,9),-1.06384 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,10),-1.26577 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,12),-1.3776 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,24),-0.99147 # DEPENDENCYPART_NEXTSIBL
(5,7),(5,25),-0.640036 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,8),(5,9),-0.399889 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,10),-0.941775 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,12),-1.07682 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,24),-0.406463 # DEPENDENCYPART_NEXTSIBL
(5,8),(5,25),-0.67699 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,9),(5,10),-0.108657 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,12),-0.646031 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,24),-1.45164 # DEPENDENCYPART_NEXTSIBL
(5,9),(5,25),-0.56136 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,10),(5,12),-0.644732 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,24),0.436087 # DEPENDENCYPART_NEXTSIBL
(5,10),(5,25),-0.537528 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,12),(5,24),-0.176073 # DEPENDENCYPART_NEXTSIBL
(5,12),(5,25),-0.666029 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,24),(5,25),-1.49544 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,4),-1.36278 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,3),-0.254523 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,2),-0.341906 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,-1),-0.521999 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,4),(5,3),-0.547389 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,2),-0.556542 # DEPENDENCYPART_NEXTSIBL
(5,4),(5,-1),-1.24496 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,3),(5,2),-0.405514 # DEPENDENCYPART_NEXTSIBL
(5,3),(5,-1),-0.648776 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,2),(5,-1),-0.846 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,7),-0.420684 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,8),-0.613298 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,9),-0.998673 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,10),-0.123791 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,13),0.00604874 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,16),0.256957 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,25),-0.487142 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,7),(6,8),-1.41418 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,9),-1.01171 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,10),-1.35661 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,13),-1.64422 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,16),-1.41172 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,25),-0.592417 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,8),(6,9),-0.347642 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,10),-1.0325 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,13),-1.31073 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,16),-1.16381 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,25),-0.629215 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,9),(6,10),-0.145184 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,13),-0.864709 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,16),-0.343552 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,25),-0.442266 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,10),(6,13),-0.559951 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,16),-0.782216 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,25),-0.708545 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,13),(6,16),-0.678586 # DEPENDENCYPART_NEXTSIBL
(6,13),(6,25),-0.669192 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,16),(6,25),-0.188128 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,5),-0.178203 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,4),-1.01601 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,3),-0.351901 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,-1),-0.169506 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,5),(6,4),-0.45774 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,3),-0.63632 # DEPENDENCYPART_NEXTSIBL
(6,5),(6,-1),-0.866805 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,4),(6,3),-0.450094 # DEPENDENCYPART_NEXTSIBL
(6,4),(6,-1),-1.25026 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,3),(6,-1),-0.543146 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,8),-0.672852 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,9),-0.792254 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,10),0.0106059 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,13),-0.0801695 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,25),-0.243295 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,8),(7,9),-0.115212 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,10),-0.898411 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,13),-1.1321 # DEPENDENCYPART_NEXTSIBL
(7,8),(7,25),-0.693869 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,9),(7,10),0.0960801 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,13),-0.521429 # DEPENDENCYPART_NEXTSIBL
(7,9),(7,25),-0.414047 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,10),(7,13),-0.439915 # DEPENDENCYPART_NEXTSIBL
(7,10),(7,25),-0.543097 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,13),(7,25),-0.755534 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,7),(7,6),-0.252457 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,5),-0.21164 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,4),-1.21582 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(7,7),(7,-1),-0.31584 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(7,6),(7,5),-0.847536 # DEPENDENCYPART_NEXTSIBL
(7,6),(7,4),-0.865072 # DEPENDENCYPART_NEXTSIBL
(7,6),(7,-1),-0.614508 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,5),(7,4),-0.4849 # DEPENDENCYPART_NEXTSIBL
(7,5),(7,-1),-0.871141 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,4),(7,-1),-1.38333 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,9),-0.792254 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,10),0.0105882 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,13),-0.0801834 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,14),-0.0077162 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,16),0.0161285 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,24),-0.597549 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,25),-0.233579 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,9),(8,10),0.0960742 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,13),-0.521436 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,14),-0.754023 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,16),-0.0850072 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,24),-1.32214 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,25),-0.414047 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,10),(8,13),-0.439929 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,14),-0.35048 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,16),-0.71049 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,24),0.55566 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,25),-0.543114 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,13),(8,14),-0.267182 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,16),-0.582104 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,24),-0.0872485 # DEPENDENCYPART_NEXTSIBL
(8,13),(8,25),-0.755557 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,14),(8,16),-0.906148 # DEPENDENCYPART_NEXTSIBL
(8,14),(8,24),-0.480782 # DEPENDENCYPART_NEXTSIBL
(8,14),(8,25),-0.277927 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,16),(8,24),-1.21548 # DEPENDENCYPART_NEXTSIBL
(8,16),(8,25),-0.273208 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,24),(8,25),-1.39556 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,7),-0.336652 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,6),-0.252457 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,5),-0.21164 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,4),-1.21582 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,3),-0.27896 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,2),-0.332404 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,1),-0.35052 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,-1),-0.314819 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,7),(8,6),-0.409517 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,5),-0.837753 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,4),-1.35786 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,3),-1.21738 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,2),-0.855626 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,1),-1.17467 # DEPENDENCYPART_NEXTSIBL
(8,7),(8,-1),-0.62301 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,6),(8,5),-0.847536 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,4),-0.865072 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,3),-1.03038 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,2),-1.12221 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,1),-1.1632 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,-1),-0.614508 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,5),(8,4),-0.4849 # DEPENDENCYPART_NEXTSIBL
(8,5),(8,3),-0.515986 # DEPENDENCYPART_NEXTSIBL
(8,5),(8,2),-0.699872 # DEPENDENCYPART_NEXTSIBL
(8,5),(8,1),-0.686885 # DEPENDENCYPART_NEXTSIBL
(8,5),(8,-1),-0.871141 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,4),(8,3),-0.496832 # DEPENDENCYPART_NEXTSIBL
(8,4),(8,2),-0.494697 # DEPENDENCYPART_NEXTSIBL
(8,4),(8,1),-0.950704 # DEPENDENCYPART_NEXTSIBL
(8,4),(8,-1),-1.38333 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,3),(8,2),-0.18531 # DEPENDENCYPART_NEXTSIBL
(8,3),(8,1),-0.312867 # DEPENDENCYPART_NEXTSIBL
(8,3),(8,-1),-0.423648 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,2),(8,1),-0.14077 # DEPENDENCYPART_NEXTSIBL
(8,2),(8,-1),-0.722477 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,1),(8,-1),-0.03888 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,9),(9,25),-0.0570091 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(9,9),(9,-1),-0.149473 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(10,10),(10,11),-1.07245 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,12),-0.0631733 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,13),0.122854 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,14),-0.288247 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,15),-0.135377 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,16),0.27469 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,17),0.0300796 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,18),-0.241778 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,19),-0.366403 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,20),-0.491809 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,23),-0.134695 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,24),-0.905594 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(10,10),(10,25),-0.748143 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(10,11),(10,12),-0.558864 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,13),-0.732135 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,14),-0.922647 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,15),-0.822524 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,16),-0.689621 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,17),-0.827789 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,18),-0.816033 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,19),-0.802768 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,20),-0.780417 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,23),-0.830367 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,24),-1.02345 # DEPENDENCYPART_NEXTSIBL
(10,11),(10,25),-1.00153 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,12),(10,13),-0.955418 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,14),-0.995878 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,15),-1.03754 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,16),-1.04163 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,17),-0.990745 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,18),-0.975048 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,19),-0.877178 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,20),-0.744867 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,23),-0.869805 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,24),-0.0781324 # DEPENDENCYPART_NEXTSIBL
(10,12),(10,25),-0.649751 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,13),(10,14),-0.452122 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,15),-0.668838 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,16),-0.52723 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,17),-0.598626 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,18),-0.84395 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,19),-0.82776 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,20),-0.272704 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,23),-0.898051 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,24),-0.0488665 # DEPENDENCYPART_NEXTSIBL
(10,13),(10,25),-0.736658 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,14),(10,15),-0.912003 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,16),-0.994481 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,17),-0.822959 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,18),-0.829772 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,19),-0.823839 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,20),-0.441643 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,23),-0.806704 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,24),-0.519304 # DEPENDENCYPART_NEXTSIBL
(10,14),(10,25),-0.488508 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,15),(10,16),-1.26231 # DEPENDENCYPART_NEXTSIBL
(10,15),(10,17),-1.22587 # DEPENDENCYPART_NEXTSIBL
(10,15),(10,18),-1.48692 # DEPENDENCYPART_NEXTSIBL
(10,15),(10,19),-1.44478 # DEPENDENCYPART_NEXTSIBL
(10,15),(10,20),-0.815634 # DEPENDENCYPART_NEXTSIBL
(10,15),(10,23),-1.51528 # DEPENDENCYPART_NEXTSIBL
(10,15),(10,24),-0.830374 # DEPENDENCYPART_NEXTSIBL
(10,15),(10,25),-0.964572 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,16),(10,17),-0.835305 # DEPENDENCYPART_NEXTSIBL
(10,16),(10,18),-1.06993 # DEPENDENCYPART_NEXTSIBL
(10,16),(10,19),-1.06646 # DEPENDENCYPART_NEXTSIBL
(10,16),(10,20),-0.569522 # DEPENDENCYPART_NEXTSIBL
(10,16),(10,23),-1.05466 # DEPENDENCYPART_NEXTSIBL
(10,16),(10,24),-1.28806 # DEPENDENCYPART_NEXTSIBL
(10,16),(10,25),-0.220317 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,17),(10,18),-0.55762 # DEPENDENCYPART_NEXTSIBL
(10,17),(10,19),-0.940909 # DEPENDENCYPART_NEXTSIBL
(10,17),(10,20),-0.941703 # DEPENDENCYPART_NEXTSIBL
(10,17),(10,23),-1.17392 # DEPENDENCYPART_NEXTSIBL
(10,17),(10,24),-0.648839 # DEPENDENCYPART_NEXTSIBL
(10,17),(10,25),-0.540004 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,18),(10,19),-0.683438 # DEPENDENCYPART_NEXTSIBL
(10,18),(10,20),-0.952932 # DEPENDENCYPART_NEXTSIBL
(10,18),(10,23),-1.00764 # DEPENDENCYPART_NEXTSIBL
(10,18),(10,24),-0.519908 # DEPENDENCYPART_NEXTSIBL
(10,18),(10,25),-1.02325 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,19),(10,20),-0.681056 # DEPENDENCYPART_NEXTSIBL
(10,19),(10,23),-0.892491 # DEPENDENCYPART_NEXTSIBL
(10,19),(10,24),-0.43346 # DEPENDENCYPART_NEXTSIBL
