# _root_ `` It 's impossible to overstate how much this means to the families of these patients , '' said Samuel Broder , director of the National Cancer Institute and a main developer of AZT .
#goldHeads=19,3,19,3,6,3,8,10,10,6,10,13,11,13,16,14,19,19,0,21,19,21,29,23,28,28,28,24,21,32,32,29,32,33,19,
#predictedHeads=19,3,19,3,6,3,10,7,10,6,10,13,11,13,16,14,19,19,0,21,19,21,21,23,28,28,28,29,24,32,32,29,32,33,19,
(29,31),(29,34),-0.000417126 # DEPENDENCYPART_SIBL
(29,31),(29,35),-0.108969 # DEPENDENCYPART_SIBL
(29,32),(29,33),0.0479748 # DEPENDENCYPART_SIBL
(29,32),(29,34),-0.0177659 # DEPENDENCYPART_SIBL
(29,32),(29,35),-0.0448073 # DEPENDENCYPART_SIBL
(29,33),(29,34),0.00368253 # DEPENDENCYPART_SIBL
(29,33),(29,35),-0.0280171 # DEPENDENCYPART_SIBL
(29,34),(29,35),-0.04338 # DEPENDENCYPART_SIBL
(30,31),(30,33),-0.00290131 # DEPENDENCYPART_SIBL
(31,27),(31,28),0.00935332 # DEPENDENCYPART_SIBL
(31,27),(31,30),0.0215078 # DEPENDENCYPART_SIBL
(31,27),(31,33),-0.00829879 # DEPENDENCYPART_SIBL
(31,27),(31,34),0.0270441 # DEPENDENCYPART_SIBL
(31,28),(31,30),0.02151 # DEPENDENCYPART_SIBL
(31,28),(31,33),-0.00945153 # DEPENDENCYPART_SIBL
(31,28),(31,34),0.0162991 # DEPENDENCYPART_SIBL
(31,30),(31,33),0.244508 # DEPENDENCYPART_SIBL
(31,30),(31,34),0.00200041 # DEPENDENCYPART_SIBL
(31,33),(31,34),0.0975768 # DEPENDENCYPART_SIBL
(32,24),(32,25),-0.0134375 # DEPENDENCYPART_SIBL
(32,24),(32,26),-0.00486448 # DEPENDENCYPART_SIBL
(32,24),(32,27),-0.000554603 # DEPENDENCYPART_SIBL
(32,24),(32,28),-0.00260787 # DEPENDENCYPART_SIBL
(32,24),(32,30),-0.00227491 # DEPENDENCYPART_SIBL
(32,24),(32,31),0.00164436 # DEPENDENCYPART_SIBL
(32,24),(32,33),-0.0566197 # DEPENDENCYPART_SIBL
(32,24),(32,34),-0.017936 # DEPENDENCYPART_SIBL
(32,24),(32,35),0.0102638 # DEPENDENCYPART_SIBL
(32,25),(32,26),0.0263047 # DEPENDENCYPART_SIBL
(32,25),(32,27),0.0467262 # DEPENDENCYPART_SIBL
(32,25),(32,28),0.0637024 # DEPENDENCYPART_SIBL
(32,25),(32,30),-0.292249 # DEPENDENCYPART_SIBL
(32,25),(32,31),0.0648314 # DEPENDENCYPART_SIBL
(32,25),(32,33),0.267323 # DEPENDENCYPART_SIBL
(32,25),(32,34),0.0207367 # DEPENDENCYPART_SIBL
(32,25),(32,35),-0.116994 # DEPENDENCYPART_SIBL
(32,26),(32,27),0.0233259 # DEPENDENCYPART_SIBL
(32,26),(32,28),0.017951 # DEPENDENCYPART_SIBL
(32,26),(32,30),-0.048524 # DEPENDENCYPART_SIBL
(32,26),(32,31),0.0390947 # DEPENDENCYPART_SIBL
(32,26),(32,33),0.0316718 # DEPENDENCYPART_SIBL
(32,26),(32,34),0.00113961 # DEPENDENCYPART_SIBL
(32,26),(32,35),0.00443418 # DEPENDENCYPART_SIBL
(32,27),(32,28),-0.00131776 # DEPENDENCYPART_SIBL
(32,27),(32,30),-0.0616155 # DEPENDENCYPART_SIBL
(32,27),(32,31),0.018636 # DEPENDENCYPART_SIBL
(32,27),(32,33),0.0403921 # DEPENDENCYPART_SIBL
(32,27),(32,34),0.032463 # DEPENDENCYPART_SIBL
(32,27),(32,35),0.00804713 # DEPENDENCYPART_SIBL
(32,28),(32,30),-0.06013 # DEPENDENCYPART_SIBL
(32,28),(32,31),0.0221757 # DEPENDENCYPART_SIBL
(32,28),(32,33),0.0333387 # DEPENDENCYPART_SIBL
(32,28),(32,34),0.0158987 # DEPENDENCYPART_SIBL
(32,28),(32,35),0.00257782 # DEPENDENCYPART_SIBL
(32,30),(32,31),0.0508057 # DEPENDENCYPART_SIBL
(32,30),(32,33),0.205683 # DEPENDENCYPART_SIBL
(32,30),(32,34),-0.00893094 # DEPENDENCYPART_SIBL
(32,30),(32,35),-0.0357946 # DEPENDENCYPART_SIBL
(32,31),(32,33),0.0165675 # DEPENDENCYPART_SIBL
(32,31),(32,34),0.0281146 # DEPENDENCYPART_SIBL
(32,31),(32,35),-0.0036529 # DEPENDENCYPART_SIBL
(32,33),(32,34),0.00569899 # DEPENDENCYPART_SIBL
(32,33),(32,35),-0.0112069 # DEPENDENCYPART_SIBL
(32,34),(32,35),0.0200074 # DEPENDENCYPART_SIBL
(33,31),(33,34),-0.115185 # DEPENDENCYPART_SIBL
(34,25),(34,30),-0.305126 # DEPENDENCYPART_SIBL
(34,25),(34,31),0.0477446 # DEPENDENCYPART_SIBL
(34,25),(34,35),-0.127011 # DEPENDENCYPART_SIBL
(34,30),(34,31),0.0364037 # DEPENDENCYPART_SIBL
(34,30),(34,35),-0.04079 # DEPENDENCYPART_SIBL
(34,31),(34,35),-0.00669257 # DEPENDENCYPART_SIBL
(0,0),(0,3),0.0720927 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,6),0.0386152 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,7),-0.586385 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,8),-0.190195 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,10),-0.0311208 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,19),0.23544 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,36),-0.818273 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(0,3),(0,6),-0.989248 # DEPENDENCYPART_NEXTSIBL
(0,3),(0,7),-0.724315 # DEPENDENCYPART_NEXTSIBL
(0,3),(0,8),-0.944605 # DEPENDENCYPART_NEXTSIBL
(0,3),(0,10),-1.01024 # DEPENDENCYPART_NEXTSIBL
(0,3),(0,19),-1.05447 # DEPENDENCYPART_NEXTSIBL
(0,3),(0,36),-0.302545 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,6),(0,7),-0.753112 # DEPENDENCYPART_NEXTSIBL
(0,6),(0,8),-0.980379 # DEPENDENCYPART_NEXTSIBL
(0,6),(0,10),-0.971638 # DEPENDENCYPART_NEXTSIBL
(0,6),(0,19),-0.913677 # DEPENDENCYPART_NEXTSIBL
(0,6),(0,36),-0.634591 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,7),(0,8),-0.783051 # DEPENDENCYPART_NEXTSIBL
(0,7),(0,10),-0.778421 # DEPENDENCYPART_NEXTSIBL
(0,7),(0,19),-0.822416 # DEPENDENCYPART_NEXTSIBL
(0,7),(0,36),-0.511031 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,8),(0,10),-0.609126 # DEPENDENCYPART_NEXTSIBL
(0,8),(0,19),-0.553695 # DEPENDENCYPART_NEXTSIBL
(0,8),(0,36),-0.811245 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,10),(0,19),-0.69183 # DEPENDENCYPART_NEXTSIBL
(0,10),(0,36),-0.382426 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,19),(0,36),-0.193735 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,0),(0,-1),-0.343405 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,1),(1,36),-0.354808 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,1),(1,-1),-0.343405 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,2),(2,6),-0.190768 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,36),-0.179444 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,6),(2,36),-0.830648 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(2,2),(2,-1),-0.300371 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,3),(3,4),0.0370539 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,5),-0.466819 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,6),-0.279506 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,8),0.100236 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,10),-0.334929 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,11),-0.257898 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,13),-0.327438 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,17),-1.11499 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,18),-0.873398 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,19),-0.344871 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,22),-0.483415 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,29),0.199931 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,35),-0.987204 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,36),-0.486904 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,4),(3,5),-0.463825 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,6),-0.304421 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,8),-0.782459 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,10),-0.520674 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,11),-0.529978 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,13),-0.846376 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,17),-0.508269 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,18),-0.759711 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,19),-0.549876 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,22),-0.531537 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,29),-0.361738 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,35),-0.930678 # DEPENDENCYPART_NEXTSIBL
(3,4),(3,36),-0.800183 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,5),(3,6),-0.913295 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,8),-0.901226 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,10),-0.887438 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,11),-0.818859 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,13),-0.76217 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,17),-0.572953 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,18),-1.04874 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,19),-0.759435 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,22),-0.51346 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,29),-0.846245 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,35),-0.498783 # DEPENDENCYPART_NEXTSIBL
(3,5),(3,36),-0.599205 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,6),(3,8),-0.928443 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,10),-0.895332 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,11),-0.887457 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,13),-0.763848 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,17),-0.463297 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,18),-0.850209 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,19),-0.928001 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,22),-0.4824 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,29),-1.34696 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,35),-0.463153 # DEPENDENCYPART_NEXTSIBL
(3,6),(3,36),-0.754767 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,8),(3,10),-0.549316 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,11),-0.54571 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,13),-0.872424 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,17),-0.654762 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,18),-0.843863 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,19),-0.587286 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,22),-0.673725 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,29),-0.391404 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,35),-0.922543 # DEPENDENCYPART_NEXTSIBL
(3,8),(3,36),-0.66219 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,10),(3,11),-0.777485 # DEPENDENCYPART_NEXTSIBL
(3,10),(3,13),-0.674667 # DEPENDENCYPART_NEXTSIBL
(3,10),(3,17),-0.328256 # DEPENDENCYPART_NEXTSIBL
(3,10),(3,18),-0.565555 # DEPENDENCYPART_NEXTSIBL
(3,10),(3,19),-0.699656 # DEPENDENCYPART_NEXTSIBL
(3,10),(3,22),-0.441644 # DEPENDENCYPART_NEXTSIBL
(3,10),(3,29),-1.1698 # DEPENDENCYPART_NEXTSIBL
(3,10),(3,35),-0.0289793 # DEPENDENCYPART_NEXTSIBL
(3,10),(3,36),-0.503107 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,11),(3,13),-0.627701 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,17),-0.340283 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,18),-0.875031 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,19),-0.548742 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,22),-0.386007 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,29),-0.919112 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,35),-0.418645 # DEPENDENCYPART_NEXTSIBL
(3,11),(3,36),-0.613039 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,13),(3,17),-0.379817 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,18),-0.608391 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,19),-0.769866 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,22),-0.525119 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,29),-0.47367 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,35),-0.341853 # DEPENDENCYPART_NEXTSIBL
(3,13),(3,36),-0.538072 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,17),(3,18),0.193227 # DEPENDENCYPART_NEXTSIBL
(3,17),(3,19),-0.38295 # DEPENDENCYPART_NEXTSIBL
(3,17),(3,22),-1.40222 # DEPENDENCYPART_NEXTSIBL
(3,17),(3,29),-0.152819 # DEPENDENCYPART_NEXTSIBL
(3,17),(3,35),-1.61722 # DEPENDENCYPART_NEXTSIBL
(3,17),(3,36),-0.881234 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,18),(3,19),-0.519849 # DEPENDENCYPART_NEXTSIBL
(3,18),(3,22),-0.935234 # DEPENDENCYPART_NEXTSIBL
(3,18),(3,29),-0.756008 # DEPENDENCYPART_NEXTSIBL
(3,18),(3,35),-3.08184 # DEPENDENCYPART_NEXTSIBL
(3,18),(3,36),-0.710892 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,19),(3,22),-0.36645 # DEPENDENCYPART_NEXTSIBL
(3,19),(3,29),-1.18522 # DEPENDENCYPART_NEXTSIBL
(3,19),(3,35),0.171844 # DEPENDENCYPART_NEXTSIBL
(3,19),(3,36),-0.569043 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,22),(3,29),0.0671723 # DEPENDENCYPART_NEXTSIBL
(3,22),(3,35),-1.34854 # DEPENDENCYPART_NEXTSIBL
(3,22),(3,36),-1.07349 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,29),(3,35),-0.74116 # DEPENDENCYPART_NEXTSIBL
(3,29),(3,36),-0.14739 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,35),(3,36),-2.00745 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,3),(3,2),-0.322153 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,1),-1.05067 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(3,3),(3,-1),-0.473744 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(3,2),(3,1),-0.246953 # DEPENDENCYPART_NEXTSIBL
(3,2),(3,-1),-0.207582 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(3,1),(3,-1),-0.658253 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,4),(4,5),-0.371588 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,6),-0.23476 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,8),-0.0729968 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,10),-0.318558 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,14),-0.263419 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,19),-0.286323 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,36),-0.277319 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,5),(4,6),-0.849263 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,8),-0.893047 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,10),-0.829763 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,14),-0.984526 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,19),-0.699921 # DEPENDENCYPART_NEXTSIBL
(4,5),(4,36),-0.591241 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,6),(4,8),-0.908169 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,10),-0.845848 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,14),-0.657121 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,19),-0.872189 # DEPENDENCYPART_NEXTSIBL
(4,6),(4,36),-0.809984 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,8),(4,10),-0.539809 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,14),-0.790954 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,19),-0.573564 # DEPENDENCYPART_NEXTSIBL
(4,8),(4,36),-0.683782 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,10),(4,14),-0.553101 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,19),-0.655967 # DEPENDENCYPART_NEXTSIBL
(4,10),(4,36),-0.571929 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,14),(4,19),-0.450716 # DEPENDENCYPART_NEXTSIBL
(4,14),(4,36),-0.364585 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,19),(4,36),-0.63163 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,4),(4,2),-0.510653 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,1),-1.11882 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(4,4),(4,-1),-0.359885 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(4,2),(4,1),-0.336465 # DEPENDENCYPART_NEXTSIBL
(4,2),(4,-1),-0.401151 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(4,1),(4,-1),-0.784387 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,6),-0.272895 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,11),-0.263349 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,13),-0.237968 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,36),-0.648154 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,6),(5,11),-0.911372 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,13),-0.763531 # DEPENDENCYPART_NEXTSIBL
(5,6),(5,36),-0.88233 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,11),(5,13),-0.661197 # DEPENDENCYPART_NEXTSIBL
(5,11),(5,36),-0.771405 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,13),(5,36),-0.35851 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(5,5),(5,4),-0.297728 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(5,5),(5,-1),-0.194368 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(5,4),(5,-1),-0.898726 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,6),(6,7),-0.684341 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,8),0.0820293 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,9),0.00649123 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,10),-0.257273 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,11),-0.246661 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,13),-0.30751 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,14),-0.522293 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,16),-0.199888 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,17),-1.08596 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,18),-0.859954 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,22),-0.454389 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,29),0.144092 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,35),-0.990808 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(6,6),(6,36),-0.590235 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(6,7),(6,8),-0.784358 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,9),-0.816802 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,10),-0.800727 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,11),-0.816035 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,13),-0.986352 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,14),-0.976332 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,16),-0.979298 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,17),-0.906261 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,18),-1.01727 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,22),-0.97539 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,29),-0.798245 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,35),-0.62348 # DEPENDENCYPART_NEXTSIBL
(6,7),(6,36),-0.603409 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,8),(6,9),-0.56054 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,10),-0.580351 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,11),-0.540102 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,13),-0.880566 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,14),-0.857394 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,16),-0.980824 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,17),-0.641736 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,18),-0.846885 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,22),-0.660699 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,29),-0.426331 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,35),-0.946596 # DEPENDENCYPART_NEXTSIBL
(6,8),(6,36),-0.653934 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,9),(6,10),-0.809305 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,11),-1.00616 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,13),-1.13034 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,14),-1.09722 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,16),-1.15362 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,17),-1.17434 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,18),-1.12265 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,22),-1.27911 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,29),-0.651375 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,35),-1.65002 # DEPENDENCYPART_NEXTSIBL
(6,9),(6,36),-0.347737 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,10),(6,11),-0.755172 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,13),-0.661317 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,14),-0.669505 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,16),-0.631235 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,17),-0.288166 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,18),-0.531802 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,22),-0.401554 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,29),-1.17483 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,35),-0.00453241 # DEPENDENCYPART_NEXTSIBL
(6,10),(6,36),-0.487804 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,11),(6,13),-0.617849 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,14),-0.695995 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,16),-0.584372 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,17),-0.305549 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,18),-0.853964 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,22),-0.351273 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,29),-0.930477 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,35),-0.416672 # DEPENDENCYPART_NEXTSIBL
(6,11),(6,36),-0.592532 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,13),(6,14),-0.65253 # DEPENDENCYPART_NEXTSIBL
(6,13),(6,16),-0.788619 # DEPENDENCYPART_NEXTSIBL
(6,13),(6,17),-0.35345 # DEPENDENCYPART_NEXTSIBL
(6,13),(6,18),-0.590979 # DEPENDENCYPART_NEXTSIBL
(6,13),(6,22),-0.498753 # DEPENDENCYPART_NEXTSIBL
(6,13),(6,29),-0.491226 # DEPENDENCYPART_NEXTSIBL
(6,13),(6,35),-0.369211 # DEPENDENCYPART_NEXTSIBL
(6,13),(6,36),-0.524538 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,14),(6,16),-0.660198 # DEPENDENCYPART_NEXTSIBL
(6,14),(6,17),-0.472393 # DEPENDENCYPART_NEXTSIBL
(6,14),(6,18),-0.709178 # DEPENDENCYPART_NEXTSIBL
(6,14),(6,22),-0.598261 # DEPENDENCYPART_NEXTSIBL
(6,14),(6,29),-0.615985 # DEPENDENCYPART_NEXTSIBL
(6,14),(6,35),-0.748674 # DEPENDENCYPART_NEXTSIBL
(6,14),(6,36),-0.46333 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,16),(6,17),-0.63427 # DEPENDENCYPART_NEXTSIBL
(6,16),(6,18),-0.7557 # DEPENDENCYPART_NEXTSIBL
(6,16),(6,22),-0.890628 # DEPENDENCYPART_NEXTSIBL
(6,16),(6,29),-0.782251 # DEPENDENCYPART_NEXTSIBL
(6,16),(6,35),-0.610964 # DEPENDENCYPART_NEXTSIBL
(6,16),(6,36),-0.48825 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(6,17),(6,18),0.243235 # DEPENDENCYPART_NEXTSIBL
(6,17),(6,22),-1.35047 # DEPENDENCYPART_NEXTSIBL
