# _root_ The `` anti-hooligan '' law , which would deprive troublemakers of cards , must be ratified by the House of Lords and is expected to become effective early next year .
#goldHeads=5,5,5,5,22,5,8,5,8,9,9,11,5,22,14,15,16,19,17,19,20,0,22,23,26,24,26,30,30,26,22,
#predictedHeads=5,5,5,5,14,5,8,5,8,9,10,11,5,0,14,15,16,19,22,19,20,17,22,23,26,24,26,30,30,26,14,
(3,15),(15,26),(15,31),-0.0197872 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,26),(15,32),-0.0217026 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,27),(15,31),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,27),(15,32),-0.0043767 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,31),(15,32),-0.0262895 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,15),(15,14),0.109526 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,13),0.103824 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,12),0.0999886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,11),0.117716 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,10),0.0999886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,9),0.108198 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,8),0.109526 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,7),0.11586 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,6),0.103824 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,5),0.0999885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,-1),-0.201561 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,15),(15,14),(15,13),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,12),0.109538 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,11),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,10),0.109538 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,9),0.109539 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,8),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,7),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,6),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,5),0.109538 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,-1),-0.147593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,13),(15,12),0.108535 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,11),0.104056 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,10),0.108535 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,9),0.107249 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,8),0.109155 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,7),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,6),0.109355 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,5),0.108535 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,-1),-0.154275 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,12),(15,11),0.105588 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,12),(15,10),0.1151 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,12),(15,9),0.109506 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,12),(15,8),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,12),(15,7),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,12),(15,6),0.104169 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,12),(15,5),0.1151 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,12),(15,-1),-0.146386 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,11),(15,10),0.108405 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,11),(15,9),0.109425 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,11),(15,8),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,11),(15,7),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,11),(15,6),0.105433 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,11),(15,5),0.108405 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,11),(15,-1),-0.104304 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,10),(15,9),0.109506 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,10),(15,8),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,10),(15,7),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,10),(15,6),0.104169 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,10),(15,5),0.1151 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,10),(15,-1),-0.146386 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,9),(15,8),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,9),(15,7),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,9),(15,6),0.109222 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,9),(15,5),0.109391 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,9),(15,-1),-0.149118 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,8),(15,7),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,8),(15,6),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,8),(15,5),0.109538 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,8),(15,-1),-0.148832 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,7),(15,6),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,7),(15,5),0.10954 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,7),(15,-1),-0.127704 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,6),(15,5),0.108535 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,6),(15,-1),-0.154275 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,5),(15,-1),-0.146387 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,1),(1,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,1),(1,1),(1,32),0.0982694 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,1),(1,6),(1,32),-0.142147 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,1),(1,1),(1,-1),0.217456 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,2),(2,2),(2,32),-0.181187 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,2),(2,2),(2,-1),-0.0595521 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,3),(3,3),(3,4),0.103911 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,5),-0.146105 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,8),-0.146146 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,9),-0.153177 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,11),-0.150127 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,14),-0.146157 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,15),-0.153457 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,32),-0.00708789 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,3),(3,4),(3,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,4),(3,32),-0.150796 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,5),(3,6),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,8),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,9),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,11),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,14),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,15),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,5),(3,32),-0.121731 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,3),(3,6),(3,8),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,6),(3,32),-0.136689 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,8),(3,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,8),(3,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,8),(3,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,8),(3,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,8),(3,32),-0.148031 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,9),(3,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,9),(3,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,9),(3,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,9),(3,32),-0.146541 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,11),(3,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,11),(3,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,11),(3,32),-0.18714 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,14),(3,15),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,14),(3,32),-0.148086 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,15),(3,32),-0.146828 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,3),(3,2),-0.0241668 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,1),-0.0438366 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,3),(3,3),(3,-1),0.0443661 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,3),(3,2),(3,1),-0.0211227 # DEPENDENCYPART_GRANDSIBL
(5,3),(3,2),(3,-1),-0.0271951 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,3),(3,1),(3,-1),-0.0499205 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,4),(4,4),(4,32),-0.151687 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,4),(4,4),(4,-1),-0.027777 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,6),(6,6),(6,32),-0.0497353 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,6),(6,6),(6,-1),-0.19017 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,8),(8,8),(8,9),-0.0111844 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,10),-0.0265259 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,11),-0.0174122 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,13),-0.0118115 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,14),-0.0218464 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,15),-0.0144429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,16),-0.0111844 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,22),0.0165786 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,31),-0.0199685 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,32),-0.0738179 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,8),(8,9),(8,10),-0.0205047 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,11),-0.0233279 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,13),-0.0250502 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,14),-0.0194626 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,15),-0.0230919 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,16),-0.0230917 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,22),-0.0197841 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,31),-0.0261033 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,9),(8,32),0.0247855 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,10),(8,11),-0.0194414 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,13),-0.0195056 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,15),-0.0209622 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,16),-0.0209622 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,22),-0.0201959 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,31),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,10),(8,32),-0.0260371 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,11),(8,13),-0.0207779 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,11),(8,14),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,11),(8,15),-0.0141763 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,11),(8,16),-0.0141754 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,11),(8,22),-0.0194945 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,11),(8,31),-0.0194414 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,11),(8,32),-0.0265306 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,13),(8,14),-0.0215992 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,13),(8,15),-0.0156174 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,13),(8,16),-0.0156133 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,13),(8,22),-0.0146017 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,13),(8,31),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,13),(8,32),-0.0254351 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,14),(8,15),-0.0194928 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,14),(8,16),-0.0194841 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,14),(8,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,14),(8,31),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,14),(8,32),-0.0217065 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,15),(8,16),-0.0264141 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,15),(8,22),-0.0199142 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,15),(8,31),-0.0262815 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,15),(8,32),0.0334013 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,16),(8,22),-0.0197841 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,16),(8,31),-0.0261033 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,16),(8,32),0.0263887 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,22),(8,31),0.119856 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,22),(8,32),0.0165171 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,31),(8,32),-0.0295723 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,8),(8,7),0.141336 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,6),0.111658 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,5),0.160819 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,3),-0.144711 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,1),-0.144722 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,8),(8,-1),-0.329993 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,8),(8,7),(8,6),0.109531 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,7),(8,5),0.109512 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,7),(8,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,7),(8,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,7),(8,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,7),(8,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,7),(8,-1),-0.093652 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,6),(8,5),0.0992253 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,6),(8,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,6),(8,3),-0.144751 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,6),(8,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,6),(8,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,6),(8,-1),-0.153545 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,5),(8,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,5),(8,3),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,5),(8,2),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,5),(8,1),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,8),(8,5),(8,-1),-0.0609453 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,8),(8,4),(8,3),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,4),(8,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,4),(8,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,4),(8,-1),-0.148997 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,3),(8,2),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,3),(8,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,3),(8,-1),-0.154758 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,2),(8,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(5,8),(8,2),(8,-1),-0.150365 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,8),(8,1),(8,-1),-0.136415 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,9),(9,10),-0.0224801 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,11),0.00044454 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,12),-0.0211526 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,13),-0.0407696 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,14),-0.0204417 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,15),-0.0446853 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,16),-0.0367514 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,17),0.073327 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,22),0.0115451 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,26),-0.0364686 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,31),-0.0230578 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(5,9),(9,9),(9,32),0.0516952 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(5,9),(9,10),(9,11),-0.00265894 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,12),-0.00157645 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,13),-0.0346766 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,14),-0.0156863 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,15),-0.0336858 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,16),-0.0321855 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,17),0.0121879 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,22),-0.0420594 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,26),-0.0325794 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,31),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,10),(9,32),-0.0294885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,11),(9,12),-0.0147364 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,13),-0.0236606 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,14),-0.0252039 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,15),0.00137217 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,16),0.0019168 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,17),-0.0354435 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,22),-0.0165943 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,26),0.00188446 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,31),-0.0306476 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,11),(9,32),-0.00109774 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,12),(9,13),-0.0346766 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,12),(9,14),-0.0156863 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,12),(9,15),-0.0339624 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,12),(9,16),-0.0324621 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,12),(9,17),0.0121879 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,12),(9,22),-0.0420594 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,12),(9,26),-0.032856 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,12),(9,31),-0.0253691 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,12),(9,32),-0.0278858 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,13),(9,14),-0.0107311 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,13),(9,15),-0.0158255 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,13),(9,16),-0.0158223 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,13),(9,17),-0.042559 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,13),(9,22),-0.0239371 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,13),(9,26),-0.0158223 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,13),(9,31),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,13),(9,32),-0.0246894 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,14),(9,15),-0.0202133 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,14),(9,16),-0.0201872 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,14),(9,17),-0.0195248 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,14),(9,22),-0.0207935 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,14),(9,26),-0.0201872 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,14),(9,31),-0.0194428 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,14),(9,32),-0.0211875 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,15),(9,16),-0.0225147 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,15),(9,17),-0.0315922 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,15),(9,22),-0.0153817 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,15),(9,26),-0.0225147 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,15),(9,31),-0.0229407 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,15),(9,32),-0.0297473 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,16),(9,17),-0.0309199 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,16),(9,22),-0.0153817 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,16),(9,26),-0.0223406 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,16),(9,31),-0.0229407 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,16),(9,32),-0.0130014 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,17),(9,22),-0.0175247 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,17),(9,26),0.00398501 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,17),(9,31),-0.0306476 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,17),(9,32),0.0307049 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,22),(9,26),0.287901 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,22),(9,31),0.119249 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,22),(9,32),-0.0320615 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(5,9),(9,26),(9,31),-0.0229407 # DEPENDENCYPART_GRANDSIBL
(5,9),(9,26),(9,32),-0.0127375 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
