# _root_ The company 's conduct `` does not even raise a question of wrongful corporate intent , ratification or cover-up , '' GE 's brief asserts .
#goldHeads=2,4,2,6,6,25,6,6,6,11,9,11,18,18,18,18,18,12,18,25,25,24,22,25,0,25,
#predictedHeads=2,4,2,6,6,25,6,6,6,11,9,11,15,15,18,18,18,12,18,25,25,24,22,25,0,25,
(15,25),(25,18),0.460168 # DEPENDENCYPART_GRANDPAR
(15,25),(25,19),0.111401 # DEPENDENCYPART_GRANDPAR
(15,25),(25,20),0.0853677 # DEPENDENCYPART_GRANDPAR
(15,25),(25,21),0.0410412 # DEPENDENCYPART_GRANDPAR
(15,25),(25,22),0.145732 # DEPENDENCYPART_GRANDPAR
(15,25),(25,24),0.220602 # DEPENDENCYPART_GRANDPAR
(15,25),(25,26),-0.295823 # DEPENDENCYPART_GRANDPAR
(17,10),(10,9),-0.486646 # DEPENDENCYPART_GRANDPAR
(17,10),(10,12),-0.267394 # DEPENDENCYPART_GRANDPAR
(17,13),(13,4),-0.505078 # DEPENDENCYPART_GRANDPAR
(17,13),(13,7),-0.0967416 # DEPENDENCYPART_GRANDPAR
(17,13),(13,8),-0.0255099 # DEPENDENCYPART_GRANDPAR
(17,13),(13,11),0.116561 # DEPENDENCYPART_GRANDPAR
(17,13),(13,12),-0.106685 # DEPENDENCYPART_GRANDPAR
(17,13),(13,14),0.156745 # DEPENDENCYPART_GRANDPAR
(17,13),(13,24),-0.477973 # DEPENDENCYPART_GRANDPAR
(17,14),(14,8),-0.0334661 # DEPENDENCYPART_GRANDPAR
(17,14),(14,10),-0.236355 # DEPENDENCYPART_GRANDPAR
(17,14),(14,11),0.108304 # DEPENDENCYPART_GRANDPAR
(17,14),(14,13),0.248453 # DEPENDENCYPART_GRANDPAR
(17,15),(15,4),-0.589688 # DEPENDENCYPART_GRANDPAR
(17,15),(15,5),-0.297006 # DEPENDENCYPART_GRANDPAR
(17,15),(15,10),-0.429804 # DEPENDENCYPART_GRANDPAR
(17,15),(15,11),0.0332449 # DEPENDENCYPART_GRANDPAR
(17,15),(15,12),-0.21784 # DEPENDENCYPART_GRANDPAR
(17,15),(15,13),0.133672 # DEPENDENCYPART_GRANDPAR
(17,15),(15,14),0.0293233 # DEPENDENCYPART_GRANDPAR
(17,15),(15,16),0.643681 # DEPENDENCYPART_GRANDPAR
(17,15),(15,17),-1.28695 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,15),(15,18),-0.0325311 # DEPENDENCYPART_GRANDPAR
(17,15),(15,19),-0.548892 # DEPENDENCYPART_GRANDPAR
(17,15),(15,20),-0.432354 # DEPENDENCYPART_GRANDPAR
(17,15),(15,21),-0.491435 # DEPENDENCYPART_GRANDPAR
(17,15),(15,22),-0.568678 # DEPENDENCYPART_GRANDPAR
(17,15),(15,24),-0.480801 # DEPENDENCYPART_GRANDPAR
(17,15),(15,25),-0.776564 # DEPENDENCYPART_GRANDPAR
(17,15),(15,26),-0.92306 # DEPENDENCYPART_GRANDPAR
(17,19),(19,10),-0.774357 # DEPENDENCYPART_GRANDPAR
(17,19),(19,15),-0.456865 # DEPENDENCYPART_GRANDPAR
(17,19),(19,16),0.0352449 # DEPENDENCYPART_GRANDPAR
(17,19),(19,17),-0.749519 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,19),(19,18),0.590598 # DEPENDENCYPART_GRANDPAR
(17,19),(19,20),0.203425 # DEPENDENCYPART_GRANDPAR
(17,19),(19,21),0.0213857 # DEPENDENCYPART_GRANDPAR
(17,19),(19,22),0.00213226 # DEPENDENCYPART_GRANDPAR
(17,19),(19,24),0.0981056 # DEPENDENCYPART_GRANDPAR
(17,19),(19,25),-0.283041 # DEPENDENCYPART_GRANDPAR
(17,22),(22,13),-0.260455 # DEPENDENCYPART_GRANDPAR
(17,22),(22,14),-0.369979 # DEPENDENCYPART_GRANDPAR
(17,22),(22,15),-0.456865 # DEPENDENCYPART_GRANDPAR
(17,22),(22,17),-0.758929 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,22),(22,18),0.585761 # DEPENDENCYPART_GRANDPAR
(17,22),(22,19),-0.0221056 # DEPENDENCYPART_GRANDPAR
(17,22),(22,20),0.174005 # DEPENDENCYPART_GRANDPAR
(17,22),(22,21),-0.0922434 # DEPENDENCYPART_GRANDPAR
(17,22),(22,23),-0.780676 # DEPENDENCYPART_GRANDPAR
(17,22),(22,24),0.101612 # DEPENDENCYPART_GRANDPAR
(17,22),(22,25),-0.278588 # DEPENDENCYPART_GRANDPAR
(17,22),(22,26),-0.370926 # DEPENDENCYPART_GRANDPAR
(17,24),(24,10),-0.774357 # DEPENDENCYPART_GRANDPAR
(17,24),(24,14),-0.369979 # DEPENDENCYPART_GRANDPAR
(17,24),(24,15),-0.456865 # DEPENDENCYPART_GRANDPAR
(17,24),(24,17),-0.756456 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,24),(24,18),0.587866 # DEPENDENCYPART_GRANDPAR
(17,24),(24,19),-0.0196325 # DEPENDENCYPART_GRANDPAR
(17,24),(24,21),-0.0901514 # DEPENDENCYPART_GRANDPAR
(17,24),(24,22),-0.0397172 # DEPENDENCYPART_GRANDPAR
(17,24),(24,23),-0.161626 # DEPENDENCYPART_GRANDPAR
(17,24),(24,25),-0.28542 # DEPENDENCYPART_GRANDPAR
(18,2),(2,1),-0.223255 # DEPENDENCYPART_GRANDPAR
(18,2),(2,3),-0.0345508 # DEPENDENCYPART_GRANDPAR
(18,2),(2,4),-0.665968 # DEPENDENCYPART_GRANDPAR
(18,2),(2,5),-0.261958 # DEPENDENCYPART_GRANDPAR
(18,2),(2,6),-0.220711 # DEPENDENCYPART_GRANDPAR
(18,2),(2,7),-0.190435 # DEPENDENCYPART_GRANDPAR
(18,2),(2,8),-0.373064 # DEPENDENCYPART_GRANDPAR
(18,2),(2,9),-0.0384606 # DEPENDENCYPART_GRANDPAR
(18,2),(2,26),-0.940402 # DEPENDENCYPART_GRANDPAR
(18,4),(4,1),-0.250022 # DEPENDENCYPART_GRANDPAR
(18,4),(4,2),-0.529262 # DEPENDENCYPART_GRANDPAR
(18,4),(4,3),-0.322121 # DEPENDENCYPART_GRANDPAR
(18,4),(4,5),-0.230445 # DEPENDENCYPART_GRANDPAR
(18,4),(4,6),-0.204177 # DEPENDENCYPART_GRANDPAR
(18,4),(4,7),-0.164295 # DEPENDENCYPART_GRANDPAR
(18,4),(4,8),-0.348423 # DEPENDENCYPART_GRANDPAR
(18,4),(4,9),-0.022759 # DEPENDENCYPART_GRANDPAR
(18,4),(4,11),-0.206398 # DEPENDENCYPART_GRANDPAR
(18,4),(4,12),-0.274701 # DEPENDENCYPART_GRANDPAR
(18,4),(4,16),-0.260983 # DEPENDENCYPART_GRANDPAR
(18,4),(4,20),-0.351213 # DEPENDENCYPART_GRANDPAR
(18,4),(4,26),-0.939209 # DEPENDENCYPART_GRANDPAR
(18,6),(6,1),-0.45821 # DEPENDENCYPART_GRANDPAR
(18,6),(6,2),-0.666417 # DEPENDENCYPART_GRANDPAR
(18,6),(6,4),-0.603981 # DEPENDENCYPART_GRANDPAR
(18,6),(6,5),-0.220863 # DEPENDENCYPART_GRANDPAR
(18,6),(6,7),-0.148535 # DEPENDENCYPART_GRANDPAR
(18,6),(6,8),-0.402119 # DEPENDENCYPART_GRANDPAR
(18,6),(6,9),-0.0825837 # DEPENDENCYPART_GRANDPAR
(18,6),(6,11),-0.3805 # DEPENDENCYPART_GRANDPAR
(18,6),(6,12),-0.407749 # DEPENDENCYPART_GRANDPAR
(18,6),(6,13),-0.308624 # DEPENDENCYPART_GRANDPAR
(18,6),(6,14),-0.37556 # DEPENDENCYPART_GRANDPAR
(18,6),(6,15),-0.444508 # DEPENDENCYPART_GRANDPAR
(18,6),(6,16),-0.441177 # DEPENDENCYPART_GRANDPAR
(18,6),(6,18),-1.28038 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,6),(6,19),0.148367 # DEPENDENCYPART_GRANDPAR
(18,6),(6,20),-0.314056 # DEPENDENCYPART_GRANDPAR
(18,6),(6,21),-0.460118 # DEPENDENCYPART_GRANDPAR
(18,6),(6,25),-0.788996 # DEPENDENCYPART_GRANDPAR
(18,6),(6,26),-0.94928 # DEPENDENCYPART_GRANDPAR
(18,7),(7,2),-0.721181 # DEPENDENCYPART_GRANDPAR
(18,7),(7,4),-0.678141 # DEPENDENCYPART_GRANDPAR
(18,7),(7,5),-0.257784 # DEPENDENCYPART_GRANDPAR
(18,7),(7,6),-0.351685 # DEPENDENCYPART_GRANDPAR
(18,7),(7,8),-0.255929 # DEPENDENCYPART_GRANDPAR
(18,7),(7,9),-0.0979971 # DEPENDENCYPART_GRANDPAR
(18,7),(7,11),-0.305454 # DEPENDENCYPART_GRANDPAR
(18,7),(7,12),-0.313934 # DEPENDENCYPART_GRANDPAR
(18,7),(7,18),-1.21215 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,8),(8,2),-0.724638 # DEPENDENCYPART_GRANDPAR
(18,8),(8,4),-0.681619 # DEPENDENCYPART_GRANDPAR
(18,8),(8,6),-0.333211 # DEPENDENCYPART_GRANDPAR
(18,8),(8,7),-0.116494 # DEPENDENCYPART_GRANDPAR
(18,8),(8,9),-0.124628 # DEPENDENCYPART_GRANDPAR
(18,8),(8,11),-0.337486 # DEPENDENCYPART_GRANDPAR
(18,9),(9,2),-0.65633 # DEPENDENCYPART_GRANDPAR
(18,9),(9,4),-0.593894 # DEPENDENCYPART_GRANDPAR
(18,9),(9,5),-0.203327 # DEPENDENCYPART_GRANDPAR
(18,9),(9,6),-0.304732 # DEPENDENCYPART_GRANDPAR
(18,9),(9,7),-0.0446482 # DEPENDENCYPART_GRANDPAR
(18,9),(9,8),-0.112173 # DEPENDENCYPART_GRANDPAR
(18,9),(9,10),-0.529055 # DEPENDENCYPART_GRANDPAR
(18,9),(9,11),-0.399702 # DEPENDENCYPART_GRANDPAR
(18,9),(9,12),-0.408921 # DEPENDENCYPART_GRANDPAR
(18,9),(9,13),-0.312483 # DEPENDENCYPART_GRANDPAR
(18,9),(9,14),-0.379419 # DEPENDENCYPART_GRANDPAR
(18,9),(9,15),-0.463709 # DEPENDENCYPART_GRANDPAR
(18,9),(9,16),-0.46689 # DEPENDENCYPART_GRANDPAR
(18,9),(9,17),-0.274804 # DEPENDENCYPART_GRANDPAR
(18,9),(9,18),-1.27969 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,9),(9,19),0.149831 # DEPENDENCYPART_GRANDPAR
(18,9),(9,20),-0.313699 # DEPENDENCYPART_GRANDPAR
(18,9),(9,21),-0.459762 # DEPENDENCYPART_GRANDPAR
(18,9),(9,24),-0.498357 # DEPENDENCYPART_GRANDPAR
(18,9),(9,25),-0.788422 # DEPENDENCYPART_GRANDPAR
(18,9),(9,26),-0.948916 # DEPENDENCYPART_GRANDPAR
(18,10),(10,9),-0.153767 # DEPENDENCYPART_GRANDPAR
(18,10),(10,12),-0.425831 # DEPENDENCYPART_GRANDPAR
(18,11),(11,2),-0.534396 # DEPENDENCYPART_GRANDPAR
(18,11),(11,5),-0.125826 # DEPENDENCYPART_GRANDPAR
(18,11),(11,7),0.0471188 # DEPENDENCYPART_GRANDPAR
(18,11),(11,8),-0.0292392 # DEPENDENCYPART_GRANDPAR
(18,11),(11,9),-0.064127 # DEPENDENCYPART_GRANDPAR
(18,11),(11,10),-0.39672 # DEPENDENCYPART_GRANDPAR
(18,11),(11,12),-0.300918 # DEPENDENCYPART_GRANDPAR
(18,11),(11,13),-0.125895 # DEPENDENCYPART_GRANDPAR
(18,11),(11,14),-0.189821 # DEPENDENCYPART_GRANDPAR
(18,11),(11,15),-0.289073 # DEPENDENCYPART_GRANDPAR
(18,11),(11,16),-0.273394 # DEPENDENCYPART_GRANDPAR
(18,11),(11,17),-0.0949908 # DEPENDENCYPART_GRANDPAR
(18,11),(11,18),-1.24714 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,11),(11,19),0.172496 # DEPENDENCYPART_GRANDPAR
(18,11),(11,20),-0.351214 # DEPENDENCYPART_GRANDPAR
(18,11),(11,21),-0.449353 # DEPENDENCYPART_GRANDPAR
(18,11),(11,22),-0.236562 # DEPENDENCYPART_GRANDPAR
(18,11),(11,24),-0.475626 # DEPENDENCYPART_GRANDPAR
(18,11),(11,25),-0.755871 # DEPENDENCYPART_GRANDPAR
(18,11),(11,26),-0.93921 # DEPENDENCYPART_GRANDPAR
(18,12),(12,10),-0.424194 # DEPENDENCYPART_GRANDPAR
(18,12),(12,13),-0.383459 # DEPENDENCYPART_GRANDPAR
(18,12),(12,14),-0.450395 # DEPENDENCYPART_GRANDPAR
(18,12),(12,15),-0.538444 # DEPENDENCYPART_GRANDPAR
(18,12),(12,16),-0.431193 # DEPENDENCYPART_GRANDPAR
(18,12),(12,17),-0.343159 # DEPENDENCYPART_GRANDPAR
(18,12),(12,18),-1.2263 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,12),(12,19),0.130696 # DEPENDENCYPART_GRANDPAR
(18,12),(12,21),-0.43531 # DEPENDENCYPART_GRANDPAR
(18,12),(12,22),-0.278428 # DEPENDENCYPART_GRANDPAR
(18,12),(12,24),-0.517492 # DEPENDENCYPART_GRANDPAR
(18,12),(12,25),-0.726147 # DEPENDENCYPART_GRANDPAR
(18,13),(13,4),-0.652771 # DEPENDENCYPART_GRANDPAR
(18,13),(13,7),-0.0724144 # DEPENDENCYPART_GRANDPAR
(18,13),(13,8),-0.171072 # DEPENDENCYPART_GRANDPAR
(18,13),(13,11),-0.228053 # DEPENDENCYPART_GRANDPAR
(18,13),(13,12),-0.364943 # DEPENDENCYPART_GRANDPAR
(18,13),(13,14),-0.30179 # DEPENDENCYPART_GRANDPAR
(18,13),(13,24),-0.484448 # DEPENDENCYPART_GRANDPAR
(18,14),(14,8),-0.171154 # DEPENDENCYPART_GRANDPAR
(18,14),(14,10),-0.390536 # DEPENDENCYPART_GRANDPAR
(18,14),(14,11),-0.22832 # DEPENDENCYPART_GRANDPAR
(18,14),(14,13),-0.182055 # DEPENDENCYPART_GRANDPAR
(18,15),(15,4),-0.488632 # DEPENDENCYPART_GRANDPAR
(18,15),(15,5),-0.117576 # DEPENDENCYPART_GRANDPAR
(18,15),(15,10),-0.381225 # DEPENDENCYPART_GRANDPAR
(18,15),(15,11),-0.064315 # DEPENDENCYPART_GRANDPAR
(18,15),(15,12),-0.294762 # DEPENDENCYPART_GRANDPAR
(18,15),(15,13),-0.033356 # DEPENDENCYPART_GRANDPAR
(18,15),(15,14),-0.101772 # DEPENDENCYPART_GRANDPAR
(18,15),(15,16),-0.266296 # DEPENDENCYPART_GRANDPAR
(18,15),(15,17),-0.0849476 # DEPENDENCYPART_GRANDPAR
(18,15),(15,18),-1.24717 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,15),(15,19),0.172496 # DEPENDENCYPART_GRANDPAR
(18,15),(15,20),-0.351214 # DEPENDENCYPART_GRANDPAR
(18,15),(15,21),-0.449353 # DEPENDENCYPART_GRANDPAR
(18,15),(15,22),-0.236562 # DEPENDENCYPART_GRANDPAR
(18,15),(15,24),-0.475626 # DEPENDENCYPART_GRANDPAR
(18,15),(15,25),-0.755874 # DEPENDENCYPART_GRANDPAR
(18,15),(15,26),-0.93921 # DEPENDENCYPART_GRANDPAR
(18,17),(17,10),-0.380287 # DEPENDENCYPART_GRANDPAR
(18,17),(17,13),-0.0324175 # DEPENDENCYPART_GRANDPAR
(18,17),(17,14),-0.100834 # DEPENDENCYPART_GRANDPAR
(18,17),(17,15),-0.124796 # DEPENDENCYPART_GRANDPAR
(18,17),(17,16),-0.276349 # DEPENDENCYPART_GRANDPAR
(18,17),(17,19),0.172497 # DEPENDENCYPART_GRANDPAR
(18,17),(17,20),-0.351213 # DEPENDENCYPART_GRANDPAR
(18,17),(17,22),-0.236562 # DEPENDENCYPART_GRANDPAR
(18,17),(17,24),-0.475626 # DEPENDENCYPART_GRANDPAR
(18,19),(19,10),-0.902512 # DEPENDENCYPART_GRANDPAR
(18,19),(19,15),-0.689746 # DEPENDENCYPART_GRANDPAR
(18,19),(19,16),-0.897565 # DEPENDENCYPART_GRANDPAR
(18,19),(19,17),-0.493659 # DEPENDENCYPART_GRANDPAR
(18,19),(19,18),-0.717087 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,19),(19,20),0.268864 # DEPENDENCYPART_GRANDPAR
(18,19),(19,21),0.104087 # DEPENDENCYPART_GRANDPAR
(18,19),(19,22),0.323731 # DEPENDENCYPART_GRANDPAR
(18,19),(19,24),0.11111 # DEPENDENCYPART_GRANDPAR
(18,19),(19,25),-0.223522 # DEPENDENCYPART_GRANDPAR
(18,22),(22,13),-0.626899 # DEPENDENCYPART_GRANDPAR
(18,22),(22,14),-0.697088 # DEPENDENCYPART_GRANDPAR
(18,22),(22,15),-0.689746 # DEPENDENCYPART_GRANDPAR
(18,22),(22,17),-0.493659 # DEPENDENCYPART_GRANDPAR
(18,22),(22,18),-0.717474 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,22),(22,19),0.580657 # DEPENDENCYPART_GRANDPAR
(18,22),(22,20),0.276866 # DEPENDENCYPART_GRANDPAR
(18,22),(22,21),-0.0646905 # DEPENDENCYPART_GRANDPAR
(18,22),(22,23),-0.33338 # DEPENDENCYPART_GRANDPAR
(18,22),(22,24),0.111665 # DEPENDENCYPART_GRANDPAR
(18,22),(22,25),-0.220988 # DEPENDENCYPART_GRANDPAR
(18,22),(22,26),-0.381462 # DEPENDENCYPART_GRANDPAR
(18,24),(24,10),-0.902512 # DEPENDENCYPART_GRANDPAR
(18,24),(24,14),-0.697088 # DEPENDENCYPART_GRANDPAR
(18,24),(24,15),-0.689746 # DEPENDENCYPART_GRANDPAR
(18,24),(24,17),-0.493659 # DEPENDENCYPART_GRANDPAR
(18,24),(24,18),-0.717088 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,24),(24,19),0.581573 # DEPENDENCYPART_GRANDPAR
(18,24),(24,21),-0.0643176 # DEPENDENCYPART_GRANDPAR
(18,24),(24,22),0.16969 # DEPENDENCYPART_GRANDPAR
(18,24),(24,23),-0.0549566 # DEPENDENCYPART_GRANDPAR
(18,24),(24,25),-0.22336 # DEPENDENCYPART_GRANDPAR
(18,25),(25,2),-1.12608 # DEPENDENCYPART_GRANDPAR
(18,25),(25,4),-1.07333 # DEPENDENCYPART_GRANDPAR
(18,25),(25,5),-0.688175 # DEPENDENCYPART_GRANDPAR
(18,25),(25,6),-0.781389 # DEPENDENCYPART_GRANDPAR
(18,25),(25,7),-0.546207 # DEPENDENCYPART_GRANDPAR
(18,25),(25,8),-0.667861 # DEPENDENCYPART_GRANDPAR
(18,25),(25,9),-0.600985 # DEPENDENCYPART_GRANDPAR
(18,25),(25,11),-0.643653 # DEPENDENCYPART_GRANDPAR
(18,25),(25,12),-0.762654 # DEPENDENCYPART_GRANDPAR
(18,25),(25,13),-0.610282 # DEPENDENCYPART_GRANDPAR
(18,25),(25,15),-0.712408 # DEPENDENCYPART_GRANDPAR
(18,25),(25,16),-0.859983 # DEPENDENCYPART_GRANDPAR
(18,25),(25,17),-0.516321 # DEPENDENCYPART_GRANDPAR
(18,25),(25,18),-0.829249 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,25),(25,19),0.377618 # DEPENDENCYPART_GRANDPAR
(18,25),(25,20),0.0692073 # DEPENDENCYPART_GRANDPAR
(18,25),(25,21),-0.132548 # DEPENDENCYPART_GRANDPAR
(18,25),(25,22),-0.0350568 # DEPENDENCYPART_GRANDPAR
(18,25),(25,24),-0.276342 # DEPENDENCYPART_GRANDPAR
(18,25),(25,26),-0.59541 # DEPENDENCYPART_GRANDPAR
(19,10),(10,9),-1.02392 # DEPENDENCYPART_GRANDPAR
(19,10),(10,12),-0.811503 # DEPENDENCYPART_GRANDPAR
(19,15),(15,4),-1.19791 # DEPENDENCYPART_GRANDPAR
(19,15),(15,5),-0.800981 # DEPENDENCYPART_GRANDPAR
(19,15),(15,10),-0.803687 # DEPENDENCYPART_GRANDPAR
(19,15),(15,11),-0.631198 # DEPENDENCYPART_GRANDPAR
(19,15),(15,12),-0.763295 # DEPENDENCYPART_GRANDPAR
(19,15),(15,13),-0.501207 # DEPENDENCYPART_GRANDPAR
(19,15),(15,14),-0.492044 # DEPENDENCYPART_GRANDPAR
(19,15),(15,16),-0.239766 # DEPENDENCYPART_GRANDPAR
(19,15),(15,17),-0.307697 # DEPENDENCYPART_GRANDPAR
(19,15),(15,18),-0.24761 # DEPENDENCYPART_GRANDPAR
(19,15),(15,19),-1.35302 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,15),(15,20),-0.573371 # DEPENDENCYPART_GRANDPAR
(19,15),(15,21),-0.635597 # DEPENDENCYPART_GRANDPAR
(19,15),(15,22),-0.495408 # DEPENDENCYPART_GRANDPAR
(19,15),(15,24),-0.462566 # DEPENDENCYPART_GRANDPAR
(19,15),(15,25),-0.824725 # DEPENDENCYPART_GRANDPAR
(19,15),(15,26),-0.865192 # DEPENDENCYPART_GRANDPAR
(19,17),(17,10),-0.802747 # DEPENDENCYPART_GRANDPAR
(19,17),(17,13),-0.500266 # DEPENDENCYPART_GRANDPAR
(19,17),(17,14),-0.491103 # DEPENDENCYPART_GRANDPAR
(19,17),(17,15),-0.502032 # DEPENDENCYPART_GRANDPAR
(19,17),(17,16),-0.207745 # DEPENDENCYPART_GRANDPAR
(19,17),(17,19),-1.35302 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,17),(17,20),-0.573371 # DEPENDENCYPART_GRANDPAR
(19,17),(17,22),-0.495408 # DEPENDENCYPART_GRANDPAR
(19,17),(17,24),-0.462566 # DEPENDENCYPART_GRANDPAR
(19,18),(18,1),-0.309119 # DEPENDENCYPART_GRANDPAR
(19,18),(18,2),-1.0259 # DEPENDENCYPART_GRANDPAR
(19,18),(18,4),-1.14274 # DEPENDENCYPART_GRANDPAR
(19,18),(18,5),-0.620218 # DEPENDENCYPART_GRANDPAR
(19,18),(18,6),-0.961458 # DEPENDENCYPART_GRANDPAR
(19,18),(18,7),-0.665702 # DEPENDENCYPART_GRANDPAR
(19,18),(18,8),-0.529004 # DEPENDENCYPART_GRANDPAR
(19,18),(18,9),-0.854251 # DEPENDENCYPART_GRANDPAR
(19,18),(18,10),-0.579579 # DEPENDENCYPART_GRANDPAR
(19,18),(18,11),-0.576412 # DEPENDENCYPART_GRANDPAR
(19,18),(18,12),-0.593049 # DEPENDENCYPART_GRANDPAR
(19,18),(18,13),-0.261828 # DEPENDENCYPART_GRANDPAR
(19,18),(18,14),-0.253723 # DEPENDENCYPART_GRANDPAR
(19,18),(18,15),-0.449979 # DEPENDENCYPART_GRANDPAR
(19,18),(18,16),-0.23056 # DEPENDENCYPART_GRANDPAR
(19,18),(18,17),-0.208676 # DEPENDENCYPART_GRANDPAR
(19,18),(18,19),-1.42183 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,18),(18,20),-0.509926 # DEPENDENCYPART_GRANDPAR
(19,18),(18,21),-0.618901 # DEPENDENCYPART_GRANDPAR
(19,18),(18,22),-0.564325 # DEPENDENCYPART_GRANDPAR
(19,18),(18,24),-0.531483 # DEPENDENCYPART_GRANDPAR
(19,18),(18,25),-0.81477 # DEPENDENCYPART_GRANDPAR
(19,18),(18,26),-0.846878 # DEPENDENCYPART_GRANDPAR
(19,22),(22,13),-0.893945 # DEPENDENCYPART_GRANDPAR
(19,22),(22,14),-0.889956 # DEPENDENCYPART_GRANDPAR
(19,22),(22,15),-1.07571 # DEPENDENCYPART_GRANDPAR
(19,22),(22,17),-0.833001 # DEPENDENCYPART_GRANDPAR
(19,22),(22,18),-0.86546 # DEPENDENCYPART_GRANDPAR
(19,22),(22,19),-0.830716 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,22),(22,20),0.0302167 # DEPENDENCYPART_GRANDPAR
(19,22),(22,21),-0.238923 # DEPENDENCYPART_GRANDPAR
(19,22),(22,23),-0.823185 # DEPENDENCYPART_GRANDPAR
(19,22),(22,24),0.115009 # DEPENDENCYPART_GRANDPAR
(19,22),(22,25),-0.32825 # DEPENDENCYPART_GRANDPAR
(19,22),(22,26),-0.314454 # DEPENDENCYPART_GRANDPAR
(19,24),(24,10),-1.14685 # DEPENDENCYPART_GRANDPAR
(19,24),(24,14),-0.889956 # DEPENDENCYPART_GRANDPAR
(19,24),(24,15),-1.07571 # DEPENDENCYPART_GRANDPAR
(19,24),(24,17),-0.833001 # DEPENDENCYPART_GRANDPAR
(19,24),(24,18),-0.86546 # DEPENDENCYPART_GRANDPAR
(19,24),(24,19),-0.828243 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,24),(24,21),-0.236831 # DEPENDENCYPART_GRANDPAR
(19,24),(24,22),0.0290728 # DEPENDENCYPART_GRANDPAR
(19,24),(24,23),-0.205262 # DEPENDENCYPART_GRANDPAR
(19,24),(24,25),-0.335082 # DEPENDENCYPART_GRANDPAR
(19,25),(25,2),-1.79545 # DEPENDENCYPART_GRANDPAR
(19,25),(25,4),-1.90533 # DEPENDENCYPART_GRANDPAR
(19,25),(25,5),-1.28352 # DEPENDENCYPART_GRANDPAR
(19,25),(25,6),-1.70492 # DEPENDENCYPART_GRANDPAR
(19,25),(25,7),-1.30488 # DEPENDENCYPART_GRANDPAR
(19,25),(25,8),-1.20332 # DEPENDENCYPART_GRANDPAR
(19,25),(25,9),-1.58902 # DEPENDENCYPART_GRANDPAR
(19,25),(25,11),-1.33753 # DEPENDENCYPART_GRANDPAR
(19,25),(25,12),-1.34342 # DEPENDENCYPART_GRANDPAR
(19,25),(25,13),-0.92351 # DEPENDENCYPART_GRANDPAR
(19,25),(25,15),-1.21417 # DEPENDENCYPART_GRANDPAR
(19,25),(25,16),-0.854347 # DEPENDENCYPART_GRANDPAR
(19,25),(25,17),-0.971459 # DEPENDENCYPART_GRANDPAR
(19,25),(25,18),-0.938424 # DEPENDENCYPART_GRANDPAR
(19,25),(25,19),-0.939717 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,25),(25,20),-0.0984328 # DEPENDENCYPART_GRANDPAR
(19,25),(25,21),-0.27332 # DEPENDENCYPART_GRANDPAR
(19,25),(25,22),-0.0830998 # DEPENDENCYPART_GRANDPAR
(19,25),(25,24),-0.0500037 # DEPENDENCYPART_GRANDPAR
(19,25),(25,26),-0.455536 # DEPENDENCYPART_GRANDPAR
(22,13),(13,4),-0.621416 # DEPENDENCYPART_GRANDPAR
(22,13),(13,7),-0.571206 # DEPENDENCYPART_GRANDPAR
(22,13),(13,8),-0.542534 # DEPENDENCYPART_GRANDPAR
(22,13),(13,11),-0.13922 # DEPENDENCYPART_GRANDPAR
(22,13),(13,12),-0.378166 # DEPENDENCYPART_GRANDPAR
(22,13),(13,14),-0.3411 # DEPENDENCYPART_GRANDPAR
(22,13),(13,24),-0.406892 # DEPENDENCYPART_GRANDPAR
(22,14),(14,8),-0.55049 # DEPENDENCYPART_GRANDPAR
(22,14),(14,10),-0.65993 # DEPENDENCYPART_GRANDPAR
(22,14),(14,11),-0.147478 # DEPENDENCYPART_GRANDPAR
(22,14),(14,13),-0.2402 # DEPENDENCYPART_GRANDPAR
(22,15),(15,4),-0.706934 # DEPENDENCYPART_GRANDPAR
(22,15),(15,5),-0.5929 # DEPENDENCYPART_GRANDPAR
(22,15),(15,10),-0.854505 # DEPENDENCYPART_GRANDPAR
(22,15),(15,11),-0.223445 # DEPENDENCYPART_GRANDPAR
