# _root_ Two old friends , George Bush and Deng Xiaoping , are trying to limit further damage to U.S.-China ties .
#goldHeads=3,3,11,3,6,7,3,9,7,3,0,11,14,12,16,14,16,19,17,11,
#predictedHeads=3,3,11,3,6,7,3,9,7,3,0,11,14,12,16,14,16,19,17,11,
(2,3),(3,3),(3,10),-0.0357519 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,11),-0.040304 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,12),-0.0400776 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,13),-0.0209921 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,14),-0.0400776 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,15),-0.0259446 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,19),-0.0361573 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,20),-0.0194814 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,21),-0.0397483 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,4),(3,5),-0.0251995 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,6),-0.0251995 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,7),-0.0196911 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,8),-0.0251995 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,9),-0.0251995 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,10),-0.0203959 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,11),-0.0277542 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,12),-0.026847 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,13),-0.0194523 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,14),-0.026847 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,15),-0.0198919 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,19),-0.0251995 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,4),(3,21),-0.0304108 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,5),(3,6),-0.0206812 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,7),-0.0208265 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,8),-0.0203466 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,9),-0.0203466 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,10),-0.020591 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,11),-0.0195035 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,12),-0.0195035 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,13),-0.0194577 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,14),-0.0195035 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,15),-0.0191879 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,19),-0.0203466 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,5),(3,21),-0.0471627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,6),(3,7),-0.0208265 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,8),-0.0203466 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,9),-0.0203466 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,10),-0.020591 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,11),-0.0195035 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,12),-0.0195035 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,13),-0.0194577 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,14),-0.0195035 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,15),-0.0191879 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,19),-0.0203466 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,6),(3,21),-0.0458796 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,7),(3,8),0.0789035 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,9),0.0452259 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,10),0.124487 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,11),0.302403 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,12),0.30654 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,13),0.193776 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,14),0.323422 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,15),0.113785 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,19),0.00974017 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,20),0.087697 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,7),(3,21),-0.0198778 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,8),(3,9),-0.0203466 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,10),-0.020591 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,11),-0.0195035 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,12),-0.0195035 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,13),-0.0194577 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,14),-0.0195035 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,15),-0.0191879 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,19),-0.0203466 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,8),(3,21),-0.0471627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,9),(3,10),-0.020591 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,11),-0.0195035 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,12),-0.0195035 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,13),-0.0194577 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,14),-0.0195035 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,15),-0.0191879 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,19),-0.0203466 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,9),(3,21),-0.0471627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,10),(3,11),-0.0277542 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,12),-0.026847 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,13),-0.0194523 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,14),-0.026847 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,15),-0.0198919 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,19),-0.0251995 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,10),(3,21),-0.0304108 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,11),(3,12),-0.0194517 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,14),-0.0194517 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,15),-0.0196352 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,19),-0.0194556 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,20),-0.0194423 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,11),(3,21),-0.0364556 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,12),(3,13),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,12),(3,14),-0.0194517 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,12),(3,15),-0.0196352 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,12),(3,19),-0.0194556 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,12),(3,20),-0.0194423 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,12),(3,21),-0.0353267 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,13),(3,14),-0.0200203 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,13),(3,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,13),(3,19),-0.0118489 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,13),(3,20),-0.0194417 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,13),(3,21),-0.0184752 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,14),(3,15),-0.0196352 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,14),(3,19),-0.0194556 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,14),(3,20),-0.0194423 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,14),(3,21),-0.0353267 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,15),(3,19),-0.0195561 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,15),(3,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,15),(3,21),-0.0480795 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,19),(3,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,3),(3,19),(3,21),-0.0471627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,20),(3,21),-0.0194806 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,3),(3,3),(3,2),0.0936917 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,1),-0.14703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,3),(3,-1),-0.0720886 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,2),(3,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,3),(3,2),(3,-1),-0.170603 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,3),(3,1),(3,-1),-0.151737 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,4),(4,4),(4,21),-0.0596706 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,4),(4,4),(4,-1),-0.18624 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,5),(5,6),-0.0348753 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,7),-0.0229925 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,9),-0.0361573 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,10),-0.0357519 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,11),-0.040304 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,21),-0.0397448 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,6),(5,7),-0.0208265 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,9),-0.0203466 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,10),-0.020591 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,11),-0.0195035 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,6),(5,21),-0.0458796 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,7),(5,9),0.0452259 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,10),0.124487 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,11),0.302403 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,7),(5,21),-0.0198778 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,9),(5,10),-0.020591 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,11),-0.0195035 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,9),(5,21),-0.0471627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,10),(5,11),-0.0277542 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,10),(5,21),-0.0304108 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,11),(5,21),-0.0364556 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,5),(5,4),0.0998227 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,3),0.119517 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,2),0.0936917 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,1),-0.14703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,5),(5,-1),-0.0720872 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,4),(5,3),0.107535 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,4),(5,2),0.108435 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,4),(5,1),-0.144714 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,4),(5,-1),-0.148106 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,3),(5,2),0.1134 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,3),(5,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,5),(5,3),(5,-1),-0.152384 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,5),(5,2),(5,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,5),(5,2),(5,-1),-0.170603 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,5),(5,1),(5,-1),-0.151737 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,7),(7,8),-0.0565248 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,9),-0.0565248 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,10),-0.0324034 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,11),0.00302754 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,12),0.00492422 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,14),0.00492422 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,15),-0.0609785 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,16),-0.0565248 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,19),-0.0565248 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,21),0.0229543 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,7),(7,8),(7,9),-0.00712405 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,10),-0.0157087 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,11),-0.029931 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,12),-0.0275179 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,14),-0.0275179 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,15),-0.0194452 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,16),-0.00712405 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,19),-0.00712405 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,8),(7,21),-0.0555652 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,9),(7,10),-0.0157087 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,11),-0.029931 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,12),-0.0275179 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,14),-0.0275179 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,15),-0.0194452 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,16),-0.00712405 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,19),-0.00712405 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,9),(7,21),-0.0555652 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,10),(7,11),-0.0106106 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,10),(7,12),-0.0105896 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,10),(7,14),-0.0105896 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,10),(7,15),-0.0194485 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,10),(7,16),-0.0204544 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,10),(7,19),-0.0204544 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,10),(7,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,10),(7,21),-0.0177888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,11),(7,12),-0.0173741 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,11),(7,14),-0.0173741 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,11),(7,15),-0.0194945 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,11),(7,16),-0.0170312 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,11),(7,19),-0.0170312 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,11),(7,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,11),(7,21),-0.0100475 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,12),(7,14),-0.0172918 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,12),(7,15),-0.0194945 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,12),(7,16),-0.0170312 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,12),(7,19),-0.0170312 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,12),(7,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,12),(7,21),-0.00721199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,14),(7,15),-0.0194945 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,14),(7,16),-0.0170312 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,14),(7,19),-0.0170312 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,14),(7,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,14),(7,21),-0.00721199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,15),(7,16),-0.0197938 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,15),(7,19),-0.0197938 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,15),(7,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,15),(7,21),-0.0451587 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,16),(7,19),-0.00712405 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,16),(7,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,16),(7,21),-0.0555652 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,19),(7,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,19),(7,21),-0.0555652 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,20),(7,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,7),(7,6),0.0799244 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,5),0.0799244 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,4),0.13955 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,3),0.0799244 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,2),0.104919 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,1),-0.144948 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,7),(7,-1),-0.168254 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,7),(7,6),(7,5),0.11599 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,6),(7,4),0.101442 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,6),(7,3),0.11599 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,6),(7,2),0.108964 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,6),(7,1),-0.144708 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,6),(7,-1),-0.134881 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,5),(7,4),0.101442 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,5),(7,3),0.11599 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,5),(7,2),0.108964 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,5),(7,1),-0.144708 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,5),(7,-1),-0.134881 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,4),(7,3),0.131122 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,4),(7,2),0.108231 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,4),(7,1),-0.144701 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,4),(7,-1),-0.148475 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,3),(7,2),0.108964 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,3),(7,1),-0.144708 # DEPENDENCYPART_GRANDSIBL
(2,7),(7,3),(7,-1),-0.134881 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(2,7),(7,2),(7,1),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,7),(7,2),(7,-1),-0.152555 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,7),(7,1),(7,-1),-0.145133 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,1),(1,2),0.0956174 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,5),-0.145666 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,6),-0.145666 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,7),-0.147532 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,9),-0.145666 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,10),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,12),-0.144705 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,1),(1,1),(1,21),-0.0192873 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,1),(1,2),(1,4),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,5),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,6),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,9),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,2),(1,21),-0.157042 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,4),(1,5),-0.144717 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,4),(1,6),-0.144717 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,4),(1,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,4),(1,9),-0.144717 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,4),(1,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,4),(1,12),-0.14562 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,4),(1,21),-0.158333 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,5),(1,6),-0.144703 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,5),(1,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,5),(1,9),-0.144703 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,5),(1,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,5),(1,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,5),(1,21),-0.0829529 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,6),(1,7),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,6),(1,9),-0.144703 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,6),(1,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,6),(1,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,6),(1,21),-0.0829534 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,7),(1,9),-0.314973 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,7),(1,10),-0.112713 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,7),(1,12),0.007916 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,7),(1,21),-0.111356 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,9),(1,10),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,9),(1,12),-0.144701 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,9),(1,21),-0.0829529 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,10),(1,12),-0.14562 # DEPENDENCYPART_GRANDSIBL
(3,1),(1,10),(1,21),-0.158333 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,12),(1,21),-0.149724 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,1),(1,1),(1,-1),0.20064 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,2),(2,2),(2,3),-0.146105 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,4),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,5),-0.146105 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,7),-0.147163 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,2),(2,2),(2,21),-0.0216922 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
