# _root_ `` We are still only half way through the turnaround of this company , and there are many more things to do , '' President Kume says .
#goldHeads=27,3,15,3,7,7,8,3,10,8,10,13,11,15,27,17,15,19,20,17,22,20,27,27,26,27,0,27,
#predictedHeads=27,3,15,3,7,7,3,3,10,8,10,13,11,15,27,17,15,19,20,17,22,20,27,27,26,27,0,27,
(3,11),(11,15),(11,29),-0.00323139 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,17),(11,18),-0.0437109 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,17),(11,20),-0.0490866 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,17),(11,29),-0.0709632 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,18),(11,20),-0.0449495 # DEPENDENCYPART_GRANDSIBL
(3,11),(11,18),(11,29),0.00257158 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,20),(11,29),-0.00310418 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,11),(11,11),(11,9),0.0856309 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,11),(11,11),(11,-1),-0.082962 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,11),(11,9),(11,-1),-0.193715 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,13),(13,14),0.0295047 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,13),(13,13),(13,15),0.0150974 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,13),(13,13),(13,17),-0.0343151 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,13),(13,13),(13,18),-0.0484023 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,13),(13,13),(13,20),-0.0281313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,13),(13,13),(13,23),0.0295047 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,13),(13,13),(13,29),0.0565236 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,13),(13,14),(13,15),0.0423159 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,14),(13,17),-0.04399 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,14),(13,18),-0.111675 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,14),(13,20),-0.0971667 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,14),(13,23),-0.0514534 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,14),(13,29),-0.0300203 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,15),(13,17),0.286108 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,15),(13,18),0.139553 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,15),(13,20),-0.108694 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,15),(13,23),-0.0113501 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,15),(13,29),-0.0249384 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,17),(13,18),-0.0405932 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,17),(13,20),-0.0484248 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,17),(13,23),-0.0712294 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,17),(13,29),-0.0759249 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,18),(13,20),-0.0549166 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,18),(13,23),-0.0431511 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,18),(13,29),-0.0445954 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,20),(13,23),-0.0602845 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,20),(13,29),-0.0742128 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,23),(13,29),-0.0300203 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,13),(13,12),0.163595 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,13),(13,13),(13,11),0.122235 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,13),(13,13),(13,10),0.0328464 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,13),(13,13),(13,9),0.111807 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,13),(13,13),(13,6),0.139071 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,13),(13,13),(13,3),0.194233 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,13),(13,13),(13,-1),-0.201066 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,13),(13,12),(13,11),0.129258 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,12),(13,10),0.138554 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,12),(13,9),0.116069 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,12),(13,6),0.0981234 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,12),(13,3),0.119175 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,12),(13,-1),-0.100369 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,11),(13,10),0.111937 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,11),(13,9),0.107369 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,11),(13,6),0.0905194 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,11),(13,3),0.119025 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,11),(13,-1),-0.0170794 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,10),(13,9),0.0378751 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,10),(13,6),0.129237 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,10),(13,3),0.120262 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,10),(13,-1),-0.0867865 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,9),(13,6),0.101827 # DEPENDENCYPART_GRANDSIBL
(3,13),(13,9),(13,3),0.124241 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,9),(13,-1),-0.19889 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,6),(13,3),0.0920622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,6),(13,-1),-0.0772123 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,13),(13,3),(13,-1),-0.0709709 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,14),(14,14),(14,29),0.0136167 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,14),(14,14),(14,-1),-0.0757592 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,15),(15,15),(15,17),-0.152732 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,18),0.0238707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,19),-0.0809789 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,20),-0.0199773 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,21),-0.00145961 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,22),-0.125532 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,23),0.0252543 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,24),-0.0549065 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,26),-0.0199069 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,27),-0.137314 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,28),-0.0236736 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,29),-0.210565 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,15),(15,17),(15,18),-0.0472422 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,17),(15,19),-0.0559566 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,17),(15,20),-0.0784908 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,17),(15,21),-0.0428938 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,17),(15,22),-0.0457689 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,17),(15,23),-0.0636312 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,17),(15,24),-0.0391891 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,17),(15,26),-0.0784908 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,17),(15,27),-0.0447987 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,17),(15,28),-0.0613033 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,17),(15,29),-0.16202 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,18),(15,19),-0.057636 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,18),(15,20),-0.0345702 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,18),(15,21),-0.0286717 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,18),(15,22),-0.0428581 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,18),(15,23),-0.0196445 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,18),(15,24),-0.0433357 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,18),(15,26),-0.0345702 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,18),(15,27),-0.0414128 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,18),(15,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,18),(15,29),0.0100279 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,19),(15,20),-0.101181 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,19),(15,21),-0.0408664 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,19),(15,22),-0.009177 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,19),(15,23),-0.0839843 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,19),(15,24),-0.0437364 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,19),(15,26),-0.101181 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,19),(15,27),-0.0091643 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,19),(15,28),-0.0427942 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,19),(15,29),-0.0703214 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,20),(15,21),-0.0800726 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,20),(15,22),-0.0445325 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,20),(15,23),-0.106156 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,20),(15,24),-0.0535631 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,20),(15,26),0.0186496 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,20),(15,27),-0.0464554 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,20),(15,28),-0.0420619 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,20),(15,29),0.0159409 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,21),(15,22),-0.0494202 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,21),(15,23),-0.0436637 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,21),(15,24),-0.0422448 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,21),(15,26),-0.0415865 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,21),(15,27),-0.0494202 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,21),(15,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,21),(15,29),-0.00838892 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,22),(15,23),-0.0601093 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,22),(15,24),-0.0391853 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,22),(15,26),-0.0815513 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,22),(15,27),-0.0426422 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,22),(15,28),-0.0613033 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,22),(15,29),-0.140623 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,23),(15,24),-0.0367921 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,23),(15,26),0.00362677 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,23),(15,27),0.00999032 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,23),(15,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,23),(15,29),-0.020804 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,24),(15,26),-0.0291313 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,24),(15,27),-0.029244 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,24),(15,28),-0.0421382 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,24),(15,29),-0.0911336 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,26),(15,27),-0.0464554 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,26),(15,28),-0.0420619 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,26),(15,29),0.0159525 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,27),(15,28),-0.0613033 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,27),(15,29),-0.142866 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,28),(15,29),-0.0583351 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,15),(15,14),0.0170028 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,13),0.166042 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,12),0.0780205 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,11),0.166342 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,10),0.178257 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,9),0.0783904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,8),0.19441 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,7),0.178957 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,6),0.195963 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,5),0.106938 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,4),0.107119 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,3),0.163175 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,15),(15,15),(15,2),-0.125384 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,1),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,15),(15,-1),-0.123749 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,15),(15,14),(15,13),0.217547 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,12),0.107724 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,11),0.103636 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,10),0.218869 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,9),0.107682 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,8),0.110219 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,7),0.218836 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,6),0.13965 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,5),0.0678126 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,4),0.0679933 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,3),0.119828 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,14),(15,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,1),-0.126148 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,14),(15,-1),-0.176462 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,13),(15,12),0.117996 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,11),0.0976912 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,10),0.124203 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,9),0.138622 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,8),0.101827 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,7),0.123621 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,6),0.131122 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,5),0.125679 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,4),0.126299 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,3),0.101472 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,13),(15,2),-0.125389 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,1),-0.126144 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,13),(15,-1),-0.0942165 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,12),(15,11),0.127254 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,12),(15,10),0.117866 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,12),(15,9),0.119164 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,12),(15,8),0.128007 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,12),(15,7),0.117866 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,12),(15,6),0.118093 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,12),(15,5),0.116456 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,12),(15,4),0.116308 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,12),(15,3),0.112455 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,12),(15,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,12),(15,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,12),(15,-1),-0.0952348 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,11),(15,10),0.111169 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,11),(15,9),0.113873 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,11),(15,8),0.107447 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,11),(15,7),0.111169 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,11),(15,6),0.113098 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,11),(15,5),0.135849 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,11),(15,4),0.135211 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,11),(15,3),0.108106 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,11),(15,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,11),(15,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,11),(15,-1),-0.0975439 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,10),(15,9),0.139213 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,10),(15,8),0.0974299 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,10),(15,7),0.124497 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,10),(15,6),0.131221 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,10),(15,5),0.126574 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,10),(15,4),0.127194 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,10),(15,3),0.103033 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,10),(15,2),-0.125389 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,10),(15,1),-0.126144 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,10),(15,-1),-0.107835 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,9),(15,8),0.127462 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,9),(15,7),0.117634 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,9),(15,6),0.118844 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,9),(15,5),0.116685 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,9),(15,4),0.116538 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,9),(15,3),0.111572 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,9),(15,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,9),(15,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,9),(15,-1),-0.0864601 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,8),(15,7),0.111747 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,8),(15,6),0.113156 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,8),(15,5),0.140288 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,8),(15,4),0.139651 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,8),(15,3),0.108725 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,8),(15,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,8),(15,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,8),(15,-1),-0.0666022 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,7),(15,6),0.131219 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,7),(15,5),0.126574 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,7),(15,4),0.127194 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,7),(15,3),0.10257 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,7),(15,2),-0.125389 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,7),(15,1),-0.126144 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,7),(15,-1),-0.106897 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,6),(15,5),0.107971 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,6),(15,4),0.10506 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,6),(15,3),0.111093 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,6),(15,2),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,6),(15,1),-0.124904 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,6),(15,-1),-0.13553 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,5),(15,4),0.135634 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,5),(15,3),0.0985481 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,5),(15,2),-0.125153 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,5),(15,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,5),(15,-1),-0.0344634 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,4),(15,3),0.0992308 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,4),(15,2),-0.125153 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,4),(15,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,4),(15,-1),-0.0420941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,3),(15,2),-0.125528 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,3),(15,1),-0.126096 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,15),(15,3),(15,-1),-0.158192 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,15),(15,2),(15,1),-0.124885 # DEPENDENCYPART_GRANDSIBL
(3,15),(15,2),(15,-1),-0.14836 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,15),(15,1),(15,-1),-0.152926 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,17),(17,17),(17,18),-0.088637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,17),(17,17),(17,19),-0.0460962 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,17),(17,17),(17,20),0.0245239 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,17),(17,17),(17,21),0.0689529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,17),(17,17),(17,22),-0.0617385 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,17),(17,17),(17,23),-0.130515 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,17),(17,17),(17,24),-0.0316731 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,17),(17,17),(17,27),-0.0740944 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,17),(17,17),(17,28),-0.0701279 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(3,17),(17,17),(17,29),0.0644174 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(3,17),(17,18),(17,19),-0.0550308 # DEPENDENCYPART_GRANDSIBL
(3,17),(17,18),(17,20),-0.0545408 # DEPENDENCYPART_GRANDSIBL
(3,17),(17,18),(17,21),-0.0532177 # DEPENDENCYPART_GRANDSIBL
(3,17),(17,18),(17,22),-0.0413059 # DEPENDENCYPART_GRANDSIBL
(3,17),(17,18),(17,23),0.0103169 # DEPENDENCYPART_GRANDSIBL
(3,17),(17,18),(17,24),-0.026023 # DEPENDENCYPART_GRANDSIBL
(3,17),(17,18),(17,27),-0.0309565 # DEPENDENCYPART_GRANDSIBL
(3,17),(17,18),(17,28),-0.0443176 # DEPENDENCYPART_GRANDSIBL
(3,17),(17,18),(17,29),-0.0218402 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,17),(17,19),(17,20),-0.0790728 # DEPENDENCYPART_GRANDSIBL
(3,17),(17,19),(17,21),-0.0500222 # DEPENDENCYPART_GRANDSIBL
(3,17),(17,19),(17,22),-0.0602088 # DEPENDENCYPART_GRANDSIBL
(3,17),(17,19),(17,23),-0.0193294 # DEPENDENCYPART_GRANDSIBL
(3,17),(17,19),(17,24),-0.0519223 # DEPENDENCYPART_GRANDSIBL
(3,17),(17,19),(17,27),-0.0599296 # DEPENDENCYPART_GRANDSIBL
(3,17),(17,19),(17,28),-0.0253548 # DEPENDENCYPART_GRANDSIBL
(3,17),(17,19),(17,29),-0.0370456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,17),(17,20),(17,21),-0.0460984 # DEPENDENCYPART_GRANDSIBL
(3,17),(17,20),(17,22),-0.0763236 # DEPENDENCYPART_GRANDSIBL
(3,17),(17,20),(17,23),-0.100585 # DEPENDENCYPART_GRANDSIBL
(3,17),(17,20),(17,24),-0.0238707 # DEPENDENCYPART_GRANDSIBL
(3,17),(17,20),(17,27),-0.0649271 # DEPENDENCYPART_GRANDSIBL
(3,17),(17,20),(17,28),-0.0328666 # DEPENDENCYPART_GRANDSIBL
(3,17),(17,20),(17,29),-0.107554 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(3,17),(17,21),(17,22),-0.0355525 # DEPENDENCYPART_GRANDSIBL
(3,17),(17,21),(17,23),0.0189098 # DEPENDENCYPART_GRANDSIBL
(3,17),(17,21),(17,24),-0.048319 # DEPENDENCYPART_GRANDSIBL
