# _root_ Terms for the venture , which would be jointly owned by both companies , were n't disclosed .
#goldHeads=15,1,4,2,4,7,4,7,10,8,10,13,11,4,0,15,15,15,
#predictedHeads=15,1,4,2,4,7,4,7,10,8,10,13,11,4,0,15,15,15,
(4,2),(2,8),-0.113902 # DEPENDENCYPART_GRANDPAR
(4,2),(2,9),-0.259159 # DEPENDENCYPART_GRANDPAR
(4,2),(2,18),-0.877886 # DEPENDENCYPART_GRANDPAR
(4,3),(3,5),-0.207522 # DEPENDENCYPART_GRANDPAR
(4,7),(7,1),-0.717531 # DEPENDENCYPART_GRANDPAR
(4,7),(7,2),-0.63521 # DEPENDENCYPART_GRANDPAR
(4,7),(7,4),-0.577362 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,7),(7,5),0.329397 # DEPENDENCYPART_GRANDPAR
(4,7),(7,6),0.462893 # DEPENDENCYPART_GRANDPAR
(4,7),(7,8),0.429671 # DEPENDENCYPART_GRANDPAR
(4,7),(7,9),0.305525 # DEPENDENCYPART_GRANDPAR
(4,7),(7,10),0.49651 # DEPENDENCYPART_GRANDPAR
(4,7),(7,11),0.296334 # DEPENDENCYPART_GRANDPAR
(4,7),(7,14),0.3276 # DEPENDENCYPART_GRANDPAR
(4,7),(7,15),0.133715 # DEPENDENCYPART_GRANDPAR
(4,7),(7,16),-0.101214 # DEPENDENCYPART_GRANDPAR
(4,7),(7,18),-0.334682 # DEPENDENCYPART_GRANDPAR
(4,8),(8,1),-0.881484 # DEPENDENCYPART_GRANDPAR
(4,8),(8,2),-0.82191 # DEPENDENCYPART_GRANDPAR
(4,8),(8,5),0.19258 # DEPENDENCYPART_GRANDPAR
(4,8),(8,6),0.463593 # DEPENDENCYPART_GRANDPAR
(4,8),(8,7),0.127634 # DEPENDENCYPART_GRANDPAR
(4,8),(8,9),0.379223 # DEPENDENCYPART_GRANDPAR
(4,8),(8,10),0.497895 # DEPENDENCYPART_GRANDPAR
(4,8),(8,11),0.489657 # DEPENDENCYPART_GRANDPAR
(4,8),(8,12),-0.00447982 # DEPENDENCYPART_GRANDPAR
(4,8),(8,13),0.264549 # DEPENDENCYPART_GRANDPAR
(4,8),(8,14),0.383743 # DEPENDENCYPART_GRANDPAR
(4,8),(8,15),0.122912 # DEPENDENCYPART_GRANDPAR
(4,8),(8,16),-0.0289888 # DEPENDENCYPART_GRANDPAR
(4,8),(8,17),0.163903 # DEPENDENCYPART_GRANDPAR
(4,8),(8,18),-0.391469 # DEPENDENCYPART_GRANDPAR
(4,9),(9,1),-0.72163 # DEPENDENCYPART_GRANDPAR
(4,9),(9,5),0.288243 # DEPENDENCYPART_GRANDPAR
(4,9),(9,8),0.531789 # DEPENDENCYPART_GRANDPAR
(4,9),(9,10),0.469527 # DEPENDENCYPART_GRANDPAR
(4,9),(9,11),0.270163 # DEPENDENCYPART_GRANDPAR
(4,9),(9,13),0.181324 # DEPENDENCYPART_GRANDPAR
(4,9),(9,14),0.397108 # DEPENDENCYPART_GRANDPAR
(4,9),(9,15),0.11254 # DEPENDENCYPART_GRANDPAR
(4,10),(10,1),-0.88711 # DEPENDENCYPART_GRANDPAR
(4,10),(10,2),-0.826157 # DEPENDENCYPART_GRANDPAR
(4,10),(10,5),0.218933 # DEPENDENCYPART_GRANDPAR
(4,10),(10,6),0.487545 # DEPENDENCYPART_GRANDPAR
(4,10),(10,9),0.289532 # DEPENDENCYPART_GRANDPAR
(4,10),(10,11),0.506584 # DEPENDENCYPART_GRANDPAR
(4,10),(10,12),-0.0202968 # DEPENDENCYPART_GRANDPAR
(4,10),(10,13),0.230335 # DEPENDENCYPART_GRANDPAR
(4,10),(10,14),0.363275 # DEPENDENCYPART_GRANDPAR
(4,10),(10,15),0.0611184 # DEPENDENCYPART_GRANDPAR
(4,10),(10,16),-0.025263 # DEPENDENCYPART_GRANDPAR
(4,10),(10,17),0.101957 # DEPENDENCYPART_GRANDPAR
(4,10),(10,18),-0.411057 # DEPENDENCYPART_GRANDPAR
(4,11),(11,6),0.635217 # DEPENDENCYPART_GRANDPAR
(4,11),(11,9),0.289572 # DEPENDENCYPART_GRANDPAR
(4,11),(11,10),0.533939 # DEPENDENCYPART_GRANDPAR
(4,11),(11,12),0.0235085 # DEPENDENCYPART_GRANDPAR
(4,11),(11,13),0.29735 # DEPENDENCYPART_GRANDPAR
(4,11),(11,14),0.365354 # DEPENDENCYPART_GRANDPAR
(4,11),(11,15),-0.0219171 # DEPENDENCYPART_GRANDPAR
(4,11),(11,16),-0.130565 # DEPENDENCYPART_GRANDPAR
(4,11),(11,18),-0.396288 # DEPENDENCYPART_GRANDPAR
(4,13),(13,9),0.277443 # DEPENDENCYPART_GRANDPAR
(4,13),(13,10),0.597615 # DEPENDENCYPART_GRANDPAR
(4,13),(13,11),0.142652 # DEPENDENCYPART_GRANDPAR
(4,13),(13,12),0.137623 # DEPENDENCYPART_GRANDPAR
(4,13),(13,14),0.393465 # DEPENDENCYPART_GRANDPAR
(4,13),(13,15),0.0840359 # DEPENDENCYPART_GRANDPAR
(4,13),(13,16),-0.173427 # DEPENDENCYPART_GRANDPAR
(4,13),(13,17),0.101105 # DEPENDENCYPART_GRANDPAR
(4,14),(14,11),0.0512764 # DEPENDENCYPART_GRANDPAR
(4,15),(15,1),-0.892125 # DEPENDENCYPART_GRANDPAR
(4,15),(15,2),-0.832687 # DEPENDENCYPART_GRANDPAR
(4,15),(15,4),-0.634212 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,15),(15,5),0.18358 # DEPENDENCYPART_GRANDPAR
(4,15),(15,6),0.496047 # DEPENDENCYPART_GRANDPAR
(4,15),(15,7),0.140838 # DEPENDENCYPART_GRANDPAR
(4,15),(15,8),0.487127 # DEPENDENCYPART_GRANDPAR
(4,15),(15,9),0.261568 # DEPENDENCYPART_GRANDPAR
(4,15),(15,10),0.472853 # DEPENDENCYPART_GRANDPAR
(4,15),(15,11),0.141296 # DEPENDENCYPART_GRANDPAR
(4,15),(15,12),0.00590888 # DEPENDENCYPART_GRANDPAR
(4,15),(15,13),0.121163 # DEPENDENCYPART_GRANDPAR
(4,15),(15,14),0.216319 # DEPENDENCYPART_GRANDPAR
(4,15),(15,16),-0.0270724 # DEPENDENCYPART_GRANDPAR
(4,15),(15,17),0.0969062 # DEPENDENCYPART_GRANDPAR
(4,15),(15,18),-0.404419 # DEPENDENCYPART_GRANDPAR
(4,16),(16,1),-0.721633 # DEPENDENCYPART_GRANDPAR
(4,16),(16,13),0.179327 # DEPENDENCYPART_GRANDPAR
(4,16),(16,17),0.122877 # DEPENDENCYPART_GRANDPAR
(4,16),(16,18),-0.395556 # DEPENDENCYPART_GRANDPAR
(4,17),(17,2),-0.815189 # DEPENDENCYPART_GRANDPAR
(4,17),(17,4),-0.64492 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,17),(17,5),0.212672 # DEPENDENCYPART_GRANDPAR
(4,17),(17,6),0.484658 # DEPENDENCYPART_GRANDPAR
(4,17),(17,11),0.091246 # DEPENDENCYPART_GRANDPAR
(4,17),(17,13),0.113909 # DEPENDENCYPART_GRANDPAR
(4,17),(17,14),0.245411 # DEPENDENCYPART_GRANDPAR
(4,17),(17,16),-0.0875205 # DEPENDENCYPART_GRANDPAR
(4,17),(17,18),-0.394202 # DEPENDENCYPART_GRANDPAR
(4,18),(18,17),0.0692536 # DEPENDENCYPART_GRANDPAR
(7,1),(1,2),0.0478238 # DEPENDENCYPART_GRANDPAR
(7,1),(1,3),0.0221429 # DEPENDENCYPART_GRANDPAR
(7,1),(1,4),-0.329691 # DEPENDENCYPART_GRANDPAR
(7,1),(1,5),0.230428 # DEPENDENCYPART_GRANDPAR
(7,1),(1,7),-1.14038 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,1),(1,8),0.447544 # DEPENDENCYPART_GRANDPAR
(7,1),(1,9),-0.0144019 # DEPENDENCYPART_GRANDPAR
(7,1),(1,10),0.0652917 # DEPENDENCYPART_GRANDPAR
(7,1),(1,11),-0.125254 # DEPENDENCYPART_GRANDPAR
(7,1),(1,13),0.0354407 # DEPENDENCYPART_GRANDPAR
(7,1),(1,14),-0.0479363 # DEPENDENCYPART_GRANDPAR
(7,1),(1,15),-0.200229 # DEPENDENCYPART_GRANDPAR
(7,1),(1,17),-0.354539 # DEPENDENCYPART_GRANDPAR
(7,1),(1,18),-0.824322 # DEPENDENCYPART_GRANDPAR
(7,2),(2,1),-0.139325 # DEPENDENCYPART_GRANDPAR
(7,2),(2,3),-0.266907 # DEPENDENCYPART_GRANDPAR
(7,2),(2,4),-0.43013 # DEPENDENCYPART_GRANDPAR
(7,2),(2,5),0.0566977 # DEPENDENCYPART_GRANDPAR
(7,2),(2,7),-1.20077 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,2),(2,8),0.3839 # DEPENDENCYPART_GRANDPAR
(7,2),(2,9),-0.0838971 # DEPENDENCYPART_GRANDPAR
(7,2),(2,18),-0.882093 # DEPENDENCYPART_GRANDPAR
(7,4),(4,1),-0.154366 # DEPENDENCYPART_GRANDPAR
(7,4),(4,2),0.157507 # DEPENDENCYPART_GRANDPAR
(7,4),(4,3),0.159167 # DEPENDENCYPART_GRANDPAR
(7,4),(4,5),0.294185 # DEPENDENCYPART_GRANDPAR
(7,4),(4,7),-1.14038 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,4),(4,8),0.447668 # DEPENDENCYPART_GRANDPAR
(7,4),(4,9),-0.0144023 # DEPENDENCYPART_GRANDPAR
(7,4),(4,10),0.0654162 # DEPENDENCYPART_GRANDPAR
(7,4),(4,11),-0.125214 # DEPENDENCYPART_GRANDPAR
(7,4),(4,13),0.0354414 # DEPENDENCYPART_GRANDPAR
(7,4),(4,14),-0.047945 # DEPENDENCYPART_GRANDPAR
(7,4),(4,15),-0.200099 # DEPENDENCYPART_GRANDPAR
(7,4),(4,16),-0.15006 # DEPENDENCYPART_GRANDPAR
(7,4),(4,17),-0.354414 # DEPENDENCYPART_GRANDPAR
(7,4),(4,18),-0.824323 # DEPENDENCYPART_GRANDPAR
(7,8),(8,1),-0.508359 # DEPENDENCYPART_GRANDPAR
(7,8),(8,2),-0.179812 # DEPENDENCYPART_GRANDPAR
(7,8),(8,5),-0.25265 # DEPENDENCYPART_GRANDPAR
(7,8),(8,6),-0.197368 # DEPENDENCYPART_GRANDPAR
(7,8),(8,7),-0.999995 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,8),(8,9),0.496586 # DEPENDENCYPART_GRANDPAR
(7,8),(8,10),0.589852 # DEPENDENCYPART_GRANDPAR
(7,8),(8,11),0.427887 # DEPENDENCYPART_GRANDPAR
(7,8),(8,12),0.145615 # DEPENDENCYPART_GRANDPAR
(7,8),(8,13),0.373224 # DEPENDENCYPART_GRANDPAR
(7,8),(8,14),0.515955 # DEPENDENCYPART_GRANDPAR
(7,8),(8,15),0.302345 # DEPENDENCYPART_GRANDPAR
(7,8),(8,16),0.357012 # DEPENDENCYPART_GRANDPAR
(7,8),(8,17),0.167985 # DEPENDENCYPART_GRANDPAR
(7,8),(8,18),-0.406478 # DEPENDENCYPART_GRANDPAR
(7,9),(9,1),-0.639112 # DEPENDENCYPART_GRANDPAR
(7,9),(9,5),-0.35363 # DEPENDENCYPART_GRANDPAR
(7,9),(9,8),0.826693 # DEPENDENCYPART_GRANDPAR
(7,9),(9,10),0.522374 # DEPENDENCYPART_GRANDPAR
(7,9),(9,11),0.323458 # DEPENDENCYPART_GRANDPAR
(7,9),(9,13),0.248005 # DEPENDENCYPART_GRANDPAR
(7,9),(9,14),0.456848 # DEPENDENCYPART_GRANDPAR
(7,9),(9,15),0.255157 # DEPENDENCYPART_GRANDPAR
(7,10),(10,1),-0.506003 # DEPENDENCYPART_GRANDPAR
(7,10),(10,2),-0.182125 # DEPENDENCYPART_GRANDPAR
(7,10),(10,5),-0.245817 # DEPENDENCYPART_GRANDPAR
(7,10),(10,6),-0.18342 # DEPENDENCYPART_GRANDPAR
(7,10),(10,9),0.209119 # DEPENDENCYPART_GRANDPAR
(7,10),(10,11),0.461275 # DEPENDENCYPART_GRANDPAR
(7,10),(10,12),0.148282 # DEPENDENCYPART_GRANDPAR
(7,10),(10,13),0.363046 # DEPENDENCYPART_GRANDPAR
(7,10),(10,14),0.547509 # DEPENDENCYPART_GRANDPAR
(7,10),(10,15),0.25449 # DEPENDENCYPART_GRANDPAR
(7,10),(10,16),0.374247 # DEPENDENCYPART_GRANDPAR
(7,10),(10,17),0.121313 # DEPENDENCYPART_GRANDPAR
(7,10),(10,18),-0.41035 # DEPENDENCYPART_GRANDPAR
(7,11),(11,6),-0.417856 # DEPENDENCYPART_GRANDPAR
(7,11),(11,9),0.297631 # DEPENDENCYPART_GRANDPAR
(7,11),(11,10),0.415812 # DEPENDENCYPART_GRANDPAR
(7,11),(11,12),0.111188 # DEPENDENCYPART_GRANDPAR
(7,11),(11,13),0.365132 # DEPENDENCYPART_GRANDPAR
(7,11),(11,14),0.476503 # DEPENDENCYPART_GRANDPAR
(7,11),(11,15),0.147239 # DEPENDENCYPART_GRANDPAR
(7,11),(11,16),0.2658 # DEPENDENCYPART_GRANDPAR
(7,11),(11,18),-0.443234 # DEPENDENCYPART_GRANDPAR
(7,14),(14,11),0.122656 # DEPENDENCYPART_GRANDPAR
(7,15),(15,1),-0.509777 # DEPENDENCYPART_GRANDPAR
(7,15),(15,2),-0.188014 # DEPENDENCYPART_GRANDPAR
(7,15),(15,4),-0.521107 # DEPENDENCYPART_GRANDPAR
(7,15),(15,5),-0.247395 # DEPENDENCYPART_GRANDPAR
(7,15),(15,6),-0.172694 # DEPENDENCYPART_GRANDPAR
(7,15),(15,7),-0.968575 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,15),(15,8),0.681074 # DEPENDENCYPART_GRANDPAR
(7,15),(15,9),0.182009 # DEPENDENCYPART_GRANDPAR
(7,15),(15,10),0.293164 # DEPENDENCYPART_GRANDPAR
(7,15),(15,11),-0.00181444 # DEPENDENCYPART_GRANDPAR
(7,15),(15,12),-0.22415 # DEPENDENCYPART_GRANDPAR
(7,15),(15,13),0.0261284 # DEPENDENCYPART_GRANDPAR
(7,15),(15,14),0.348624 # DEPENDENCYPART_GRANDPAR
(7,15),(15,16),0.400171 # DEPENDENCYPART_GRANDPAR
(7,15),(15,17),0.130014 # DEPENDENCYPART_GRANDPAR
(7,15),(15,18),-0.385459 # DEPENDENCYPART_GRANDPAR
(7,16),(16,1),-0.639113 # DEPENDENCYPART_GRANDPAR
(7,16),(16,13),0.188062 # DEPENDENCYPART_GRANDPAR
(7,16),(16,17),0.0862133 # DEPENDENCYPART_GRANDPAR
(7,16),(16,18),-0.465514 # DEPENDENCYPART_GRANDPAR
(7,18),(18,17),-0.0122463 # DEPENDENCYPART_GRANDPAR
(8,1),(1,2),0.21791 # DEPENDENCYPART_GRANDPAR
(8,1),(1,3),0.0405745 # DEPENDENCYPART_GRANDPAR
(8,1),(1,4),-0.139517 # DEPENDENCYPART_GRANDPAR
(8,1),(1,5),0.114895 # DEPENDENCYPART_GRANDPAR
(8,1),(1,7),0.133332 # DEPENDENCYPART_GRANDPAR
(8,1),(1,8),-0.912366 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,1),(1,9),0.128793 # DEPENDENCYPART_GRANDPAR
(8,1),(1,10),0.0846442 # DEPENDENCYPART_GRANDPAR
(8,1),(1,11),0.351669 # DEPENDENCYPART_GRANDPAR
(8,1),(1,13),-0.252113 # DEPENDENCYPART_GRANDPAR
(8,1),(1,14),-0.223329 # DEPENDENCYPART_GRANDPAR
(8,1),(1,15),0.174412 # DEPENDENCYPART_GRANDPAR
(8,1),(1,17),-0.0685074 # DEPENDENCYPART_GRANDPAR
(8,1),(1,18),-0.914451 # DEPENDENCYPART_GRANDPAR
(8,2),(2,1),0.175623 # DEPENDENCYPART_GRANDPAR
(8,2),(2,3),-0.23342 # DEPENDENCYPART_GRANDPAR
(8,2),(2,4),-0.192397 # DEPENDENCYPART_GRANDPAR
(8,2),(2,5),-0.0923212 # DEPENDENCYPART_GRANDPAR
(8,2),(2,7),0.0524541 # DEPENDENCYPART_GRANDPAR
(8,2),(2,8),-0.929058 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,2),(2,9),0.104862 # DEPENDENCYPART_GRANDPAR
(8,2),(2,18),-0.918419 # DEPENDENCYPART_GRANDPAR
(8,7),(7,1),0.0988601 # DEPENDENCYPART_GRANDPAR
(8,7),(7,2),0.348265 # DEPENDENCYPART_GRANDPAR
(8,7),(7,4),0.0119941 # DEPENDENCYPART_GRANDPAR
(8,7),(7,5),0.175241 # DEPENDENCYPART_GRANDPAR
(8,7),(7,6),0.404736 # DEPENDENCYPART_GRANDPAR
(8,7),(7,8),-1.06057 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,7),(7,9),0.00322508 # DEPENDENCYPART_GRANDPAR
(8,7),(7,10),-0.0675586 # DEPENDENCYPART_GRANDPAR
(8,7),(7,11),0.173871 # DEPENDENCYPART_GRANDPAR
(8,7),(7,14),-0.209915 # DEPENDENCYPART_GRANDPAR
(8,7),(7,15),0.0238452 # DEPENDENCYPART_GRANDPAR
(8,7),(7,16),-0.391853 # DEPENDENCYPART_GRANDPAR
(8,7),(7,18),-1.01715 # DEPENDENCYPART_GRANDPAR
(8,9),(9,1),-0.49021 # DEPENDENCYPART_GRANDPAR
(8,9),(9,5),-0.472317 # DEPENDENCYPART_GRANDPAR
(8,9),(9,8),-0.606557 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,9),(9,10),0.407185 # DEPENDENCYPART_GRANDPAR
(8,9),(9,11),0.543088 # DEPENDENCYPART_GRANDPAR
(8,9),(9,13),0.0167946 # DEPENDENCYPART_GRANDPAR
(8,9),(9,14),0.404003 # DEPENDENCYPART_GRANDPAR
(8,9),(9,15),0.524523 # DEPENDENCYPART_GRANDPAR
(8,10),(10,1),-0.570625 # DEPENDENCYPART_GRANDPAR
(8,10),(10,2),-0.0598533 # DEPENDENCYPART_GRANDPAR
(8,10),(10,5),-0.554778 # DEPENDENCYPART_GRANDPAR
(8,10),(10,6),0.121902 # DEPENDENCYPART_GRANDPAR
(8,10),(10,9),0.378117 # DEPENDENCYPART_GRANDPAR
(8,10),(10,11),0.767303 # DEPENDENCYPART_GRANDPAR
(8,10),(10,12),0.0465914 # DEPENDENCYPART_GRANDPAR
(8,10),(10,13),0.0820357 # DEPENDENCYPART_GRANDPAR
(8,10),(10,14),0.613672 # DEPENDENCYPART_GRANDPAR
(8,10),(10,15),0.471643 # DEPENDENCYPART_GRANDPAR
(8,10),(10,16),0.203552 # DEPENDENCYPART_GRANDPAR
(8,10),(10,17),0.223774 # DEPENDENCYPART_GRANDPAR
(8,10),(10,18),-0.514393 # DEPENDENCYPART_GRANDPAR
(8,11),(11,6),0.119205 # DEPENDENCYPART_GRANDPAR
(8,11),(11,9),0.482886 # DEPENDENCYPART_GRANDPAR
(8,11),(11,10),0.486463 # DEPENDENCYPART_GRANDPAR
(8,11),(11,12),0.110217 # DEPENDENCYPART_GRANDPAR
(8,11),(11,13),0.137161 # DEPENDENCYPART_GRANDPAR
(8,11),(11,14),0.531348 # DEPENDENCYPART_GRANDPAR
(8,11),(11,15),0.507332 # DEPENDENCYPART_GRANDPAR
(8,11),(11,16),0.109232 # DEPENDENCYPART_GRANDPAR
(8,11),(11,18),-0.508555 # DEPENDENCYPART_GRANDPAR
(8,12),(12,15),0.474899 # DEPENDENCYPART_GRANDPAR
(8,13),(13,9),0.431588 # DEPENDENCYPART_GRANDPAR
(8,13),(13,10),0.56927 # DEPENDENCYPART_GRANDPAR
(8,13),(13,11),0.454503 # DEPENDENCYPART_GRANDPAR
(8,13),(13,12),0.0369853 # DEPENDENCYPART_GRANDPAR
(8,13),(13,14),0.508067 # DEPENDENCYPART_GRANDPAR
(8,13),(13,15),0.596274 # DEPENDENCYPART_GRANDPAR
(8,13),(13,16),0.127536 # DEPENDENCYPART_GRANDPAR
(8,13),(13,17),0.357284 # DEPENDENCYPART_GRANDPAR
(8,14),(14,11),0.51327 # DEPENDENCYPART_GRANDPAR
(8,15),(15,1),-0.569274 # DEPENDENCYPART_GRANDPAR
(8,15),(15,2),-0.0557962 # DEPENDENCYPART_GRANDPAR
(8,15),(15,4),-0.646786 # DEPENDENCYPART_GRANDPAR
(8,15),(15,5),-0.548767 # DEPENDENCYPART_GRANDPAR
(8,15),(15,6),0.151745 # DEPENDENCYPART_GRANDPAR
(8,15),(15,7),-0.368891 # DEPENDENCYPART_GRANDPAR
(8,15),(15,8),-0.643724 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,15),(15,9),0.35833 # DEPENDENCYPART_GRANDPAR
(8,15),(15,10),0.353315 # DEPENDENCYPART_GRANDPAR
(8,15),(15,11),0.569799 # DEPENDENCYPART_GRANDPAR
(8,15),(15,12),-0.102543 # DEPENDENCYPART_GRANDPAR
(8,15),(15,13),-0.0163691 # DEPENDENCYPART_GRANDPAR
(8,15),(15,14),0.205778 # DEPENDENCYPART_GRANDPAR
(8,15),(15,16),0.174323 # DEPENDENCYPART_GRANDPAR
(8,15),(15,17),0.17678 # DEPENDENCYPART_GRANDPAR
(8,15),(15,18),-0.560653 # DEPENDENCYPART_GRANDPAR
(8,16),(16,1),-0.49088 # DEPENDENCYPART_GRANDPAR
(8,16),(16,13),0.0872607 # DEPENDENCYPART_GRANDPAR
(8,16),(16,17),0.186255 # DEPENDENCYPART_GRANDPAR
(8,16),(16,18),-0.621663 # DEPENDENCYPART_GRANDPAR
(8,17),(17,2),-0.0232723 # DEPENDENCYPART_GRANDPAR
(8,17),(17,4),-0.636437 # DEPENDENCYPART_GRANDPAR
(8,17),(17,5),-0.543082 # DEPENDENCYPART_GRANDPAR
(8,17),(17,6),0.126086 # DEPENDENCYPART_GRANDPAR
(8,17),(17,11),0.467149 # DEPENDENCYPART_GRANDPAR
(8,17),(17,13),-0.0203993 # DEPENDENCYPART_GRANDPAR
(8,17),(17,14),0.236303 # DEPENDENCYPART_GRANDPAR
(8,17),(17,16),-0.0325612 # DEPENDENCYPART_GRANDPAR
(8,17),(17,18),-0.515687 # DEPENDENCYPART_GRANDPAR
(8,18),(18,17),0.137693 # DEPENDENCYPART_GRANDPAR
(9,1),(1,2),-0.0625112 # DEPENDENCYPART_GRANDPAR
(9,1),(1,3),0.0804948 # DEPENDENCYPART_GRANDPAR
(9,1),(1,4),-0.060244 # DEPENDENCYPART_GRANDPAR
(9,1),(1,5),-0.150976 # DEPENDENCYPART_GRANDPAR
(9,1),(1,7),-0.0802759 # DEPENDENCYPART_GRANDPAR
(9,1),(1,8),-0.0203638 # DEPENDENCYPART_GRANDPAR
(9,1),(1,9),-1.27416 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,1),(1,10),-0.139306 # DEPENDENCYPART_GRANDPAR
(9,1),(1,11),-0.321888 # DEPENDENCYPART_GRANDPAR
(9,1),(1,13),-0.306465 # DEPENDENCYPART_GRANDPAR
(9,1),(1,14),-0.361829 # DEPENDENCYPART_GRANDPAR
(9,1),(1,15),-0.445218 # DEPENDENCYPART_GRANDPAR
(9,1),(1,17),-0.465714 # DEPENDENCYPART_GRANDPAR
(9,1),(1,18),-0.71544 # DEPENDENCYPART_GRANDPAR
(9,8),(8,1),-0.269629 # DEPENDENCYPART_GRANDPAR
(9,8),(8,2),-0.1076 # DEPENDENCYPART_GRANDPAR
(9,8),(8,5),-0.183336 # DEPENDENCYPART_GRANDPAR
(9,8),(8,6),-0.0448665 # DEPENDENCYPART_GRANDPAR
(9,8),(8,7),-0.167421 # DEPENDENCYPART_GRANDPAR
(9,8),(8,9),-1.3022 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,8),(8,10),-0.15682 # DEPENDENCYPART_GRANDPAR
(9,8),(8,11),-0.408971 # DEPENDENCYPART_GRANDPAR
(9,8),(8,12),-0.379039 # DEPENDENCYPART_GRANDPAR
(9,8),(8,13),-0.401541 # DEPENDENCYPART_GRANDPAR
(9,8),(8,14),-0.306633 # DEPENDENCYPART_GRANDPAR
(9,8),(8,15),-0.462922 # DEPENDENCYPART_GRANDPAR
(9,8),(8,16),-0.379746 # DEPENDENCYPART_GRANDPAR
(9,8),(8,17),-0.483253 # DEPENDENCYPART_GRANDPAR
(9,8),(8,18),-0.711995 # DEPENDENCYPART_GRANDPAR
(9,10),(10,1),-0.762488 # DEPENDENCYPART_GRANDPAR
(9,10),(10,2),-0.608791 # DEPENDENCYPART_GRANDPAR
(9,10),(10,5),-0.67311 # DEPENDENCYPART_GRANDPAR
(9,10),(10,6),-0.303262 # DEPENDENCYPART_GRANDPAR
(9,10),(10,9),-0.788661 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,10),(10,11),0.148196 # DEPENDENCYPART_GRANDPAR
(9,10),(10,12),0.0409952 # DEPENDENCYPART_GRANDPAR
(9,10),(10,13),0.040777 # DEPENDENCYPART_GRANDPAR
(9,10),(10,14),0.184088 # DEPENDENCYPART_GRANDPAR
(9,10),(10,15),-0.0438125 # DEPENDENCYPART_GRANDPAR
(9,10),(10,16),0.131155 # DEPENDENCYPART_GRANDPAR
(9,10),(10,17),-0.0522622 # DEPENDENCYPART_GRANDPAR
(9,10),(10,18),-0.318912 # DEPENDENCYPART_GRANDPAR
(9,11),(11,6),-0.351611 # DEPENDENCYPART_GRANDPAR
(9,11),(11,9),-0.870238 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,11),(11,10),0.334845 # DEPENDENCYPART_GRANDPAR
(9,11),(11,12),0.130355 # DEPENDENCYPART_GRANDPAR
(9,11),(11,13),0.19419 # DEPENDENCYPART_GRANDPAR
(9,11),(11,14),0.253814 # DEPENDENCYPART_GRANDPAR
(9,11),(11,15),-0.0191039 # DEPENDENCYPART_GRANDPAR
(9,11),(11,16),0.130166 # DEPENDENCYPART_GRANDPAR
(9,11),(11,18),-0.253371 # DEPENDENCYPART_GRANDPAR
(9,13),(13,9),-0.860134 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,13),(13,10),0.438874 # DEPENDENCYPART_GRANDPAR
(9,13),(13,11),0.16138 # DEPENDENCYPART_GRANDPAR
(9,13),(13,12),0.123943 # DEPENDENCYPART_GRANDPAR
(9,13),(13,14),0.263817 # DEPENDENCYPART_GRANDPAR
(9,13),(13,15),0.0756416 # DEPENDENCYPART_GRANDPAR
(9,13),(13,16),0.159601 # DEPENDENCYPART_GRANDPAR
(9,13),(13,17),0.054798 # DEPENDENCYPART_GRANDPAR
(9,14),(14,11),0.156838 # DEPENDENCYPART_GRANDPAR
(9,15),(15,1),-0.765466 # DEPENDENCYPART_GRANDPAR
(9,15),(15,2),-0.613364 # DEPENDENCYPART_GRANDPAR
(9,15),(15,4),-0.633913 # DEPENDENCYPART_GRANDPAR
(9,15),(15,5),-0.673898 # DEPENDENCYPART_GRANDPAR
(9,15),(15,6),-0.291745 # DEPENDENCYPART_GRANDPAR
(9,15),(15,7),-0.581538 # DEPENDENCYPART_GRANDPAR
(9,15),(15,8),-0.566733 # DEPENDENCYPART_GRANDPAR
(9,15),(15,9),-0.816542 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,15),(15,10),0.364394 # DEPENDENCYPART_GRANDPAR
(9,15),(15,11),0.303009 # DEPENDENCYPART_GRANDPAR
(9,15),(15,12),0.0883079 # DEPENDENCYPART_GRANDPAR
(9,15),(15,13),0.168126 # DEPENDENCYPART_GRANDPAR
(9,15),(15,14),0.12994 # DEPENDENCYPART_GRANDPAR
