# _root_ `` The price of poker has gone up , '' crows Charles M. Neinas , the College Football Association 's executive director .
#goldHeads=11,3,6,3,4,11,6,7,11,11,0,14,14,11,14,19,19,19,22,19,22,14,11,
#predictedHeads=11,3,6,3,4,11,6,7,11,11,0,14,14,11,14,19,19,19,22,19,22,14,11,
(7,4),(7,3),-1.03769 # DEPENDENCYPART_NEXTSIBL
(7,4),(7,1),-1.43994 # DEPENDENCYPART_NEXTSIBL
(7,4),(7,-1),-0.957003 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,3),(7,1),-0.380547 # DEPENDENCYPART_NEXTSIBL
(7,3),(7,-1),-0.786675 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(7,1),(7,-1),-0.744265 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,9),-1.19649 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,10),-0.852599 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,11),-0.33169 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,14),-0.0832342 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,24),-0.360186 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,9),(8,10),-0.0206951 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,11),-0.440534 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,14),-0.75073 # DEPENDENCYPART_NEXTSIBL
(8,9),(8,24),-0.779517 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,10),(8,11),-0.458147 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,14),-0.576555 # DEPENDENCYPART_NEXTSIBL
(8,10),(8,24),-0.999381 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,11),(8,14),-0.766328 # DEPENDENCYPART_NEXTSIBL
(8,11),(8,24),-0.985596 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,14),(8,24),-0.919148 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,8),(8,6),-0.115747 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,5),-0.396315 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,4),-0.0919495 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,3),-0.491762 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(8,8),(8,-1),-0.389325 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(8,6),(8,5),-0.525455 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,4),-0.600348 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,3),-0.793157 # DEPENDENCYPART_NEXTSIBL
(8,6),(8,-1),-0.566541 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,5),(8,4),-0.748132 # DEPENDENCYPART_NEXTSIBL
(8,5),(8,3),-1.32384 # DEPENDENCYPART_NEXTSIBL
(8,5),(8,-1),-0.588308 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,4),(8,3),-1.01462 # DEPENDENCYPART_NEXTSIBL
(8,4),(8,-1),-0.913947 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(8,3),(8,-1),-0.622801 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(9,9),(9,24),-0.136963 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(9,9),(9,8),-0.695421 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(9,9),(9,-1),-0.233776 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(9,8),(9,-1),-0.80647 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(10,10),(10,24),-0.458542 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(10,10),(10,-1),-0.434983 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(11,11),(11,12),-0.22108 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,13),-0.0886143 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,14),-0.0705816 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,15),-0.410273 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,17),-0.0929602 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,18),-0.0138657 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,19),-0.266568 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,21),-0.152749 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,22),-0.440208 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,23),-1.02615 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,24),-0.721785 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(11,12),(11,13),-1.14973 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,14),-1.23026 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,15),-1.10356 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,17),-1.24959 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,18),-1.33437 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,19),-1.34011 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,21),-1.39694 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,22),-1.42499 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,23),-1.05945 # DEPENDENCYPART_NEXTSIBL
(11,12),(11,24),-1.19325 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,13),(11,14),-0.998122 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,15),-0.98852 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,17),-1.0835 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,18),-1.1483 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,19),-1.12627 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,21),-1.24163 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,22),-1.22741 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,23),-0.888648 # DEPENDENCYPART_NEXTSIBL
(11,13),(11,24),-0.99747 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,14),(11,15),-0.682732 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,17),-0.89763 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,18),-0.993221 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,19),-0.979467 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,21),-1.04716 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,22),-1.12124 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,23),-0.347942 # DEPENDENCYPART_NEXTSIBL
(11,14),(11,24),-0.942719 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,15),(11,17),-0.382926 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,18),-0.227127 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,19),-0.144813 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,21),-0.179425 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,22),0.178602 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,23),-0.869215 # DEPENDENCYPART_NEXTSIBL
(11,15),(11,24),-1.13077 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,17),(11,18),-1.10097 # DEPENDENCYPART_NEXTSIBL
(11,17),(11,19),-1.13354 # DEPENDENCYPART_NEXTSIBL
(11,17),(11,21),-1.37445 # DEPENDENCYPART_NEXTSIBL
(11,17),(11,22),-1.32799 # DEPENDENCYPART_NEXTSIBL
(11,17),(11,23),-0.92465 # DEPENDENCYPART_NEXTSIBL
(11,17),(11,24),-0.831053 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,18),(11,19),-0.962101 # DEPENDENCYPART_NEXTSIBL
(11,18),(11,21),-1.27505 # DEPENDENCYPART_NEXTSIBL
(11,18),(11,22),-1.24215 # DEPENDENCYPART_NEXTSIBL
(11,18),(11,23),-0.863086 # DEPENDENCYPART_NEXTSIBL
(11,18),(11,24),-1.03077 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,19),(11,21),-0.801991 # DEPENDENCYPART_NEXTSIBL
(11,19),(11,22),-1.00456 # DEPENDENCYPART_NEXTSIBL
(11,19),(11,23),-0.61641 # DEPENDENCYPART_NEXTSIBL
(11,19),(11,24),-0.0697096 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,21),(11,22),-0.904823 # DEPENDENCYPART_NEXTSIBL
(11,21),(11,23),-0.844428 # DEPENDENCYPART_NEXTSIBL
(11,21),(11,24),-0.928014 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,22),(11,23),-0.484442 # DEPENDENCYPART_NEXTSIBL
(11,22),(11,24),-0.663183 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,23),(11,24),-1.35192 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,11),(11,10),-1.06406 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,9),-1.72369 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,8),-0.513025 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,7),-0.38702 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,6),-0.310018 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,5),-0.20893 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,4),-0.233301 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,3),-0.287583 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,1),-1.03801 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(11,11),(11,-1),-0.682968 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(11,10),(11,9),0.164078 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,8),-0.59916 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,7),-0.462225 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,6),-0.547472 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,5),-0.772935 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,4),-0.915546 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,3),-0.697377 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,1),-0.919111 # DEPENDENCYPART_NEXTSIBL
(11,10),(11,-1),-1.36681 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,9),(11,8),-0.46215 # DEPENDENCYPART_NEXTSIBL
(11,9),(11,7),-0.443048 # DEPENDENCYPART_NEXTSIBL
(11,9),(11,6),-0.0685039 # DEPENDENCYPART_NEXTSIBL
(11,9),(11,5),-0.810254 # DEPENDENCYPART_NEXTSIBL
(11,9),(11,4),-0.581584 # DEPENDENCYPART_NEXTSIBL
(11,9),(11,3),-0.803347 # DEPENDENCYPART_NEXTSIBL
(11,9),(11,1),-0.827879 # DEPENDENCYPART_NEXTSIBL
(11,9),(11,-1),-1.00356 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,8),(11,7),-0.850528 # DEPENDENCYPART_NEXTSIBL
(11,8),(11,6),-1.09138 # DEPENDENCYPART_NEXTSIBL
(11,8),(11,5),-0.791272 # DEPENDENCYPART_NEXTSIBL
(11,8),(11,4),-0.96971 # DEPENDENCYPART_NEXTSIBL
(11,8),(11,3),-0.83004 # DEPENDENCYPART_NEXTSIBL
(11,8),(11,1),-0.844813 # DEPENDENCYPART_NEXTSIBL
(11,8),(11,-1),-0.654545 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,7),(11,6),-1.31703 # DEPENDENCYPART_NEXTSIBL
(11,7),(11,5),-1.0727 # DEPENDENCYPART_NEXTSIBL
(11,7),(11,4),-1.18409 # DEPENDENCYPART_NEXTSIBL
(11,7),(11,3),-1.15802 # DEPENDENCYPART_NEXTSIBL
(11,7),(11,1),-0.644956 # DEPENDENCYPART_NEXTSIBL
(11,7),(11,-1),-0.708809 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,6),(11,5),-0.669018 # DEPENDENCYPART_NEXTSIBL
(11,6),(11,4),-0.661252 # DEPENDENCYPART_NEXTSIBL
(11,6),(11,3),-0.93033 # DEPENDENCYPART_NEXTSIBL
(11,6),(11,1),-0.281694 # DEPENDENCYPART_NEXTSIBL
(11,6),(11,-1),-0.668336 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,5),(11,4),-0.748309 # DEPENDENCYPART_NEXTSIBL
(11,5),(11,3),-1.42736 # DEPENDENCYPART_NEXTSIBL
(11,5),(11,1),-0.861388 # DEPENDENCYPART_NEXTSIBL
(11,5),(11,-1),-0.780923 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,4),(11,3),-1.03584 # DEPENDENCYPART_NEXTSIBL
(11,4),(11,1),-1.43946 # DEPENDENCYPART_NEXTSIBL
(11,4),(11,-1),-0.955549 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,3),(11,1),-0.379181 # DEPENDENCYPART_NEXTSIBL
(11,3),(11,-1),-0.782666 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(11,1),(11,-1),-0.744265 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,12),(12,13),-0.313715 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,14),-0.297355 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,15),-0.385124 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,22),-0.638282 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,24),-0.416819 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(12,13),(12,14),-1.05631 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,15),-0.708963 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,22),-1.26182 # DEPENDENCYPART_NEXTSIBL
(12,13),(12,24),-1.01732 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,14),(12,15),-0.40364 # DEPENDENCYPART_NEXTSIBL
(12,14),(12,22),-1.15617 # DEPENDENCYPART_NEXTSIBL
(12,14),(12,24),-0.963978 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,15),(12,22),0.524886 # DEPENDENCYPART_NEXTSIBL
(12,15),(12,24),-0.925448 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,22),(12,24),-0.594405 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(12,12),(12,10),-0.965824 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(12,12),(12,-1),-0.453669 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(12,10),(12,-1),-1.39491 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,13),(13,14),-0.295395 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,15),-0.383533 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,19),-0.527865 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,22),-0.636322 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,24),-0.418436 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(13,14),(13,15),-0.400721 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,19),-1.0462 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,22),-1.15497 # DEPENDENCYPART_NEXTSIBL
(13,14),(13,24),-0.962885 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,15),(13,19),0.13004 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,22),0.526931 # DEPENDENCYPART_NEXTSIBL
(13,15),(13,24),-0.922519 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,19),(13,22),-1.04751 # DEPENDENCYPART_NEXTSIBL
(13,19),(13,24),-0.129259 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,22),(13,24),-0.593312 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,13),(13,12),-0.353673 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,10),-0.965824 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,9),-1.5945 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(13,13),(13,-1),-0.451502 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(13,12),(13,10),-0.74382 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,9),-1.31759 # DEPENDENCYPART_NEXTSIBL
(13,12),(13,-1),-1.21522 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,10),(13,9),-0.00766547 # DEPENDENCYPART_NEXTSIBL
(13,10),(13,-1),-1.39491 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(13,9),(13,-1),-1.09837 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,14),(14,15),-0.382827 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,17),-0.317966 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,18),-0.234646 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,19),-0.526669 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,20),-0.573236 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,21),-0.357424 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,22),-0.635126 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,23),-0.6696 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,24),-0.420345 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(14,15),(14,17),-0.0975497 # DEPENDENCYPART_NEXTSIBL
(14,15),(14,18),0.0594405 # DEPENDENCYPART_NEXTSIBL
(14,15),(14,19),0.13111 # DEPENDENCYPART_NEXTSIBL
(14,15),(14,20),-0.541855 # DEPENDENCYPART_NEXTSIBL
(14,15),(14,21),0.138996 # DEPENDENCYPART_NEXTSIBL
(14,15),(14,22),0.528001 # DEPENDENCYPART_NEXTSIBL
(14,15),(14,23),-0.808988 # DEPENDENCYPART_NEXTSIBL
(14,15),(14,24),-0.921739 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,17),(14,18),-1.15688 # DEPENDENCYPART_NEXTSIBL
(14,17),(14,19),-1.19939 # DEPENDENCYPART_NEXTSIBL
(14,17),(14,20),-0.965341 # DEPENDENCYPART_NEXTSIBL
(14,17),(14,21),-1.41764 # DEPENDENCYPART_NEXTSIBL
(14,17),(14,22),-1.36084 # DEPENDENCYPART_NEXTSIBL
(14,17),(14,23),-0.829161 # DEPENDENCYPART_NEXTSIBL
(14,17),(14,24),-0.8523 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,18),(14,19),-1.0272 # DEPENDENCYPART_NEXTSIBL
(14,18),(14,20),-0.855741 # DEPENDENCYPART_NEXTSIBL
(14,18),(14,21),-1.31748 # DEPENDENCYPART_NEXTSIBL
(14,18),(14,22),-1.27425 # DEPENDENCYPART_NEXTSIBL
(14,18),(14,23),-0.768876 # DEPENDENCYPART_NEXTSIBL
(14,18),(14,24),-1.04523 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,19),(14,20),-0.413579 # DEPENDENCYPART_NEXTSIBL
(14,19),(14,21),-0.854369 # DEPENDENCYPART_NEXTSIBL
(14,19),(14,22),-1.04659 # DEPENDENCYPART_NEXTSIBL
(14,19),(14,23),-0.52376 # DEPENDENCYPART_NEXTSIBL
(14,19),(14,24),-0.128078 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,20),(14,21),-0.692858 # DEPENDENCYPART_NEXTSIBL
(14,20),(14,22),-0.651888 # DEPENDENCYPART_NEXTSIBL
(14,20),(14,23),-0.719616 # DEPENDENCYPART_NEXTSIBL
(14,20),(14,24),-0.316465 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,21),(14,22),-0.923705 # DEPENDENCYPART_NEXTSIBL
(14,21),(14,23),-0.736178 # DEPENDENCYPART_NEXTSIBL
(14,21),(14,24),-0.907146 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,22),(14,23),-0.372782 # DEPENDENCYPART_NEXTSIBL
(14,22),(14,24),-0.592131 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,23),(14,24),-1.26111 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,14),(14,13),-0.195763 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,12),-0.345841 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,9),-1.5945 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,3),-0.375515 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(14,14),(14,-1),-0.458656 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(14,13),(14,12),-0.237586 # DEPENDENCYPART_NEXTSIBL
(14,13),(14,9),-1.25049 # DEPENDENCYPART_NEXTSIBL
(14,13),(14,3),-1.19125 # DEPENDENCYPART_NEXTSIBL
(14,13),(14,-1),-0.993535 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,12),(14,9),-1.31453 # DEPENDENCYPART_NEXTSIBL
(14,12),(14,3),-1.34927 # DEPENDENCYPART_NEXTSIBL
(14,12),(14,-1),-1.20875 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,9),(14,3),-0.759429 # DEPENDENCYPART_NEXTSIBL
(14,9),(14,-1),-1.09837 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(14,3),(14,-1),-0.573253 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(15,15),(15,24),-0.136963 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(15,15),(15,-1),-0.233776 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(16,16),(16,24),-0.138844 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(16,16),(16,15),-0.694928 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(16,16),(16,-1),-0.272736 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(16,15),(16,-1),-1.22605 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,17),(17,18),-0.236334 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,19),-0.528357 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,20),-0.573236 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,23),-0.670526 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,24),-0.414885 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(17,18),(17,19),-1.02929 # DEPENDENCYPART_NEXTSIBL
(17,18),(17,20),-0.856782 # DEPENDENCYPART_NEXTSIBL
(17,18),(17,23),-0.771768 # DEPENDENCYPART_NEXTSIBL
(17,18),(17,24),-1.04631 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,19),(17,20),-0.41462 # DEPENDENCYPART_NEXTSIBL
(17,19),(17,23),-0.526652 # DEPENDENCYPART_NEXTSIBL
(17,19),(17,24),-0.129162 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,20),(17,23),-0.720542 # DEPENDENCYPART_NEXTSIBL
(17,20),(17,24),-0.316465 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,23),(17,24),-1.26342 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(17,17),(17,16),-0.772335 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(17,17),(17,-1),-0.439986 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(17,16),(17,-1),-0.225762 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,18),(18,19),-0.531801 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,20),-0.577529 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,22),-0.640258 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,24),-0.410639 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,19),(18,20),-0.417489 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,22),-1.05098 # DEPENDENCYPART_NEXTSIBL
(18,19),(18,24),-0.134308 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,20),(18,22),-0.655798 # DEPENDENCYPART_NEXTSIBL
(18,20),(18,24),-0.320759 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,22),(18,24),-0.598361 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,18),(18,17),-0.202021 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,16),-0.781982 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(18,18),(18,-1),-0.457934 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(18,17),(18,16),-0.42181 # DEPENDENCYPART_NEXTSIBL
(18,17),(18,-1),-0.829426 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(18,16),(18,-1),-0.23652 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,19),(19,20),-0.573238 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,21),-0.363354 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,22),-0.641055 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,23),-0.663808 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,24),-0.393112 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(19,20),(19,21),-0.69004 # DEPENDENCYPART_NEXTSIBL
(19,20),(19,22),-0.649071 # DEPENDENCYPART_NEXTSIBL
(19,20),(19,23),-0.713825 # DEPENDENCYPART_NEXTSIBL
(19,20),(19,24),-0.316467 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,21),(19,22),-0.917588 # DEPENDENCYPART_NEXTSIBL
(19,21),(19,23),-0.72028 # DEPENDENCYPART_NEXTSIBL
(19,21),(19,24),-0.912949 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,22),(19,23),-0.356883 # DEPENDENCYPART_NEXTSIBL
(19,22),(19,24),-0.597935 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,23),(19,24),-1.24646 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(19,19),(19,18),-0.167884 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,17),-0.214316 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,16),-0.742277 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,15),-0.878296 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,14),-0.212174 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,13),-0.211459 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,12),-0.361536 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,5),-0.325932 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(19,19),(19,-1),-0.460989 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(19,18),(19,17),-0.180207 # DEPENDENCYPART_NEXTSIBL
(19,18),(19,16),-0.530854 # DEPENDENCYPART_NEXTSIBL
(19,18),(19,15),-0.79517 # DEPENDENCYPART_NEXTSIBL
(19,18),(19,14),-0.896017 # DEPENDENCYPART_NEXTSIBL
